[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[31:56.000 --> 32:02.000]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[32:02.000 --> 32:08.000]  Find out why this system is so revolutionary today at m4warstore.com.
[32:08.000 --> 32:14.000]  Today I'm excited to announce the new limited shipment of DNA Forces Finally Arrived, the M4's warehouse in Austin, Texas.
[32:14.000 --> 32:20.000]  We have thousands of listeners on the waiting list who've signed up for Auto Ship to receive out of stock products like DNA Force.
[32:20.000 --> 32:23.000]  And we are now once again expected to sell out very, very soon.
[32:23.000 --> 32:31.000]  And when it comes to a formula that is such a game changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[32:31.000 --> 32:40.000]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ-10, systematic enzymes, NAR-lipolic acid, BIO-PQQ and many others.
[32:40.000 --> 32:49.000]  BIO-PQQ alone is backed by an unprecedented 175 clinical studies, and just one batch of this stuff costs us more than $30,000.
[32:49.000 --> 32:52.000]  Visit m4warstore.com and read the reviews for yourself.
[32:52.000 --> 33:00.000]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through a third party certified review agency Power Review.
[33:00.000 --> 33:05.000]  Get the advantage of this new limited shipment and get DNA Force today at m4warstore.com before it sells out again.
[33:05.000 --> 33:30.000]  That's m4warstore.com.
[33:30.000 --> 33:42.000]  Live from the m4warstore.com studios, it's Alex Jones.
[33:42.000 --> 33:46.000]  There's no more speculation. It's all confirmed.
[33:46.000 --> 33:50.000]  We can see the whole thing. A group of arrogant criminals.
[33:50.000 --> 33:53.000]  Brennan Clapper.
[33:53.000 --> 33:55.000]  The Clintons.
[33:55.000 --> 33:59.000]  Chucky Schumer. Maxine Waters.
[33:59.000 --> 34:00.000]  Nancy Pelosi.
[34:00.000 --> 34:09.000]  A bunch of doddering, arrogant, sycophants in power so long, they thought Hillary was going to win.
[34:09.000 --> 34:16.000]  It had hundreds of thousands of Madam President Newsweeks printed up.
[34:16.000 --> 34:19.000]  They knew Trump was 15 points ahead in all the internal polls.
[34:19.000 --> 34:21.000]  Some of them higher.
[34:21.000 --> 34:27.000]  But they tried to steal the election that night, but state officials in six states in the south were there watching them.
[34:27.000 --> 34:29.000]  They were already trying to break in in live time.
[34:29.000 --> 34:34.000]  And to activate the computer programs they'd already put into the software to steal the election.
[34:34.000 --> 34:38.000]  Election officials in five states blocked it.
[34:38.000 --> 34:43.000]  They were not able to block it in some areas of the west.
[34:43.000 --> 34:45.000]  Trump won.
[34:45.000 --> 34:46.000]  They panicked.
[34:46.000 --> 34:49.000]  Signed an executive order to federalize all elections.
[34:49.000 --> 34:53.000]  All 50 attorney generals, including Democrats in what, 19 states.
[34:53.000 --> 35:03.000]  Sent letters saying, don't do this, this breaks the federalist system of 1798.
[35:03.000 --> 35:05.000]  But they don't care.
[35:05.000 --> 35:07.000]  They're going ahead with it.
[35:07.000 --> 35:08.000]  They lost.
[35:08.000 --> 35:09.000]  They can't stand it.
[35:09.000 --> 35:20.000]  And you've got this group of criminals openly saying they want a military coup, a sudden removal of the president.
[35:20.000 --> 35:27.000]  Just two days ago, it's big national news that a top evangelical pastor, it's Trump's friend, Mr. Brown,
[35:27.000 --> 35:36.000]  who's been in tyranny before fled South Africa as it collapsed.
[35:36.000 --> 35:46.000]  Said he met with a senior congressman who said they're planning a violent coup soon, the armed removal of the president.
[35:46.000 --> 35:53.000]  Then he went and told 700 Club the details, the 700 Club taped it, but wouldn't air it out of fear.
[35:53.000 --> 35:56.000]  Because again, people are scared.
[35:56.000 --> 35:59.000]  You better be scared of not being all in.
[35:59.000 --> 36:03.000]  We will win 100% if people just aren't cowards.
[36:03.000 --> 36:06.000]  Everyone should be scared of being cowards.
[36:06.000 --> 36:13.000]  Everyone should be scared of not being vocal right now and calling C-SPAN and shooting your own videos.
[36:13.000 --> 36:16.000]  Have you never been on YouTube? Call your neighbor that knows how to get online.
[36:16.000 --> 36:19.000]  I don't care if you're 80 years old or 15.
[36:19.000 --> 36:22.000]  Go shoot a video saying we don't want a coup against Trump.
[36:22.000 --> 36:28.000]  Imagine if our listeners, millions of them, all went and just shot videos saying we don't want martial law.
[36:28.000 --> 36:29.000]  We don't want a coup.
[36:29.000 --> 36:31.000]  Don't kill our president.
[36:31.000 --> 36:35.000]  Or if you just shot videos saying pray for our president and then explain why.
[36:35.000 --> 36:41.000]  If there were millions of YouTube videos, it would change the world because it would flood YouTube.
[36:41.000 --> 36:43.000]  And many of the videos would get hundreds of thousands of views.
[36:43.000 --> 36:45.000]  Some would get millions of views.
[36:45.000 --> 36:47.000]  They would get hundreds of millions of views together.
[36:47.000 --> 36:54.000]  And just that type of mass action by you would derail everything they're doing.
[36:54.000 --> 37:00.000]  In fact, the new contest we announced for $20,000, we just paid out last week on the last one.
[37:00.000 --> 37:07.000]  It's almost a distraction, you know, the song and making jokes out of it and exposing Hillary and the whole martial law plan and the Islamic invasion.
[37:07.000 --> 37:11.000]  You know, anything you want in the video, just remake the song, add new lyrics, I don't care.
[37:11.000 --> 37:12.000]  It's whatever's the best.
[37:12.000 --> 37:15.000]  It's going to win $10,000 for one place, $5,000 for the other two places.
[37:15.000 --> 37:16.000]  So there's three prizes.
[37:16.000 --> 37:20.000]  There's like a first big prize and there's two other sub prizes.
[37:20.000 --> 37:22.000]  We really should just not even have to pay for this.
[37:22.000 --> 37:26.000]  I just had money to make it exciting and to honor, you know, folks to take action.
[37:26.000 --> 37:27.000]  Just makes it more fun.
[37:27.000 --> 37:30.000]  But everybody should be calling their local talk radio.
[37:30.000 --> 37:32.000]  They should be calling C-Span.
[37:32.000 --> 37:45.000]  That's why we put together little videos that show all these major leaders admitting there's a plan for martial law, a plan to shut down the free press, a plan to kill Trump, a plan for a coup.
[37:45.000 --> 37:54.000]  That is sensational and we just can't let them go around and normalize it and go, all reasonable Americans agree, we've got to have a coup against the president.
[37:54.000 --> 38:00.000]  And if he refuses to go, it's going to have to be sudden and it's not going to be pretty.
[38:00.000 --> 38:02.000]  You know, we're going to have to kill the president.
[38:02.000 --> 38:04.000]  It's what they're talking about.
[38:04.000 --> 38:05.000]  It's liberal.
[38:05.000 --> 38:07.000]  We told him to shut his mouth.
[38:07.000 --> 38:12.000]  We told you the voter to shut your GD mouth.
[38:12.000 --> 38:13.000]  That's basically what they're saying.
[38:13.000 --> 38:17.000]  No, no, no, no blasphemy intended.
[38:17.000 --> 38:18.000]  That's what they're saying.
[38:18.000 --> 38:24.000]  They are damned to hell and they want to damn us to hell.
[38:24.000 --> 38:29.000]  You know, if somebody's trying to damn us to communist hell, it's not taking the Lord's name in vain when that's what they're doing.
[38:29.000 --> 38:34.000]  It's in vain to say GD just to say it because you stubbed your toe.
[38:34.000 --> 38:39.000]  When you're explaining that these people want to help us be damned to hell, that's what it is.
[38:39.000 --> 38:55.000]  A living hell under them with senile, insane narcissistic fruit loops like Nancy Pelosi running around thinking you can't have guns and you can't have prosperity because she's going to run your life because she's worth a billion dollars.
