[00:00:03.752 --> 00:00:04.893]  He just signed it!
[00:25:42.704 --> 00:25:48.471]  It is important from day one, while people are paying attention to this issue, before it fades off into the distance.
[00:25:49.721 --> 00:25:51.242]  Then we have a chance of defeating it.
[00:25:51.242 --> 00:25:55.766]  I got a couple emails last night and I saw a comment on one of my YouTube videos.
[00:25:55.766 --> 00:26:05.073]  Somebody saying, Alex, you said this thing was going to put massive taxes on us and make us lose jobs and that there's implantable microchips in the legislation.
[00:26:05.073 --> 00:26:10.798]  If I don't see this happen in the next few days, I'm going to expose you.
[00:26:10.798 --> 00:26:13.360]  What a fool you are, and the globalists know you're a fool.
[00:26:15.339 --> 00:26:18.040]  Those of you that sent me those emails and made those comments.
[00:26:18.040 --> 00:26:20.402]  This doesn't start kicking in until 2013.
[00:26:20.402 --> 00:26:22.963]  They know you're going to forget about it.
[00:26:22.963 --> 00:26:26.465]  So they can quietly sneak in under stealth and implement it.
[00:26:26.465 --> 00:26:31.027]  We got the SPP documents three years ago through four-year lawsuits.
[00:26:31.027 --> 00:26:33.348]  North American Union.
[00:26:33.348 --> 00:26:34.289]  What did it state?
[00:26:34.289 --> 00:26:36.130]  That it had to be done by stealth.
[00:26:36.130 --> 00:26:38.071]  That was the first item on the agenda.
[00:26:38.071 --> 00:26:41.773]  The European Union, three years ago, celebrated its 50th anniversary.
[00:26:42.557 --> 00:26:45.318]  It didn't supposedly start until 2000.
[00:26:45.318 --> 00:26:48.660]  But they set it up in 57 by stealth.
[00:26:48.660 --> 00:26:51.982]  And those documents have now been released to the BBC.
[00:26:51.982 --> 00:26:53.842]  They do this stuff slowly.
[00:26:53.842 --> 00:26:56.304]  Now the taxes are going to hit right away.
[00:26:56.304 --> 00:26:57.304]  On people making over $125,000 a year.
[00:26:57.304 --> 00:26:57.904]  It's joint incomes of $250,000.
[00:27:02.853 --> 00:27:10.534]  It goes as high as a 5% added tax on top of the other tax increase Obama's ramming through.
[00:27:10.534 --> 00:27:12.355]  Getting rid of the last tax cut.
[00:27:12.355 --> 00:27:14.815]  So there will be Americans for the first time in U.S.
[00:27:14.815 --> 00:27:27.178]  history in a 45% tax bracket and all the big money people, all the big banks, they're offshore, they get most your tax money, they don't pay it!
[00:27:27.178 --> 00:27:28.738]  This is gonna be the restaurant owner.
[00:27:29.790 --> 00:27:32.171]  You know, who makes $300,000 a year.
[00:27:32.171 --> 00:27:33.812]  They're just going to let people go.
[00:27:33.812 --> 00:27:36.573]  This is going to be the guy that owns a car lot.
[00:27:36.573 --> 00:27:42.115]  This is going to be the person that owns a tanning salon or owns a workout gym.
[00:27:42.115 --> 00:27:46.556]  This is going to be the people that own a car rental place or a hotel.
[00:27:46.556 --> 00:27:48.517]  All the big corporations are for this.
[00:27:48.517 --> 00:27:53.719]  That's why Business Week reported that the big corporations are celebrating because this will vertically integrate the market.
[00:27:59.147 --> 00:28:06.810]  Now not only is it important that we all get the facts and that every one of you become extremely educated on the facts.
[00:28:06.810 --> 00:28:09.291]  I know most of you are, but some of the new listeners aren't.
[00:28:09.291 --> 00:28:15.874]  So you can speak to this issue at City Council, County Commissioners, the State House, on a soapbox, at your church.
[00:28:15.874 --> 00:28:17.835]  Never shut up about it!
[00:28:17.835 --> 00:28:21.677]  Because if they get away with this, the sky is the limit!
[00:28:21.677 --> 00:28:25.699]  But when we come back, I want to talk about the pincer attack.
[00:28:25.699 --> 00:28:28.460]  How the Democrats are going to hit us and try to keep this in place.
[00:28:29.878 --> 00:28:33.195]  And more importantly, how the controlled opposition Republicans are.
[00:28:33.195 --> 00:28:34.240]  And I'm going to get to this report.
[00:28:38.453 --> 00:28:43.416]  Obama plans propaganda blitz to boost acceptance of health care bill.
[00:28:43.416 --> 00:28:55.564]  They're announcing a giant blitzkrieg with taxpayer money, because now that's law they can do this, telling you how great it is and lying about it year after year after year.
[00:28:55.564 --> 00:29:00.388]  And I'm already seeing TV ads by special interest being run telling you how great this is.
[00:29:00.388 --> 00:29:05.051]  Because they know in every major poll it's upwards or higher than 70% against it.
[00:29:05.051 --> 00:29:05.451]  They know.
[00:29:07.125 --> 00:29:08.426]  So we're going to break that down.
[00:29:08.426 --> 00:29:22.216]  I'm also going to go over 17 taxes that are in the bill from the subsections.
[00:29:22.216 --> 00:29:29.162]  And then I'm going to go over 50 depressing facts about the health care system that will make you beg for reform.
[00:29:31.323 --> 00:29:37.325]  But then, it's not just all the taxes and regulations and surveilling the self-employed and harassing you.
[00:29:37.325 --> 00:29:40.806]  The way this bill's written, they can every year just start raising the taxes.
[00:29:40.806 --> 00:29:45.348]  There's also the IRS enforcing it and all the surveillance and regulation and control.
[00:29:45.348 --> 00:29:48.729]  This is going to be a bombshell broadcast today.
[00:29:48.729 --> 00:29:50.950]  Stay with us.
[00:29:50.950 --> 00:29:52.350]  We're on the march.
[00:29:52.350 --> 00:29:54.891]  The empire's on the run.
[00:29:54.891 --> 00:29:57.552]  Alex Jones and the GCN Radio Network.
[00:30:00.319 --> 00:30:01.640]  Hi, this is Alex Jones.
[00:30:01.640 --> 00:30:07.222]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:30:07.222 --> 00:30:12.245]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:30:12.245 --> 00:30:17.808]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:30:17.808 --> 00:30:23.050]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:30:23.050 --> 00:30:29.954]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:30:30.154 --> 00:30:31.255]  And here's the best part.
[00:30:31.255 --> 00:30:34.337]  These seeds have not been genetically modified in any way.
[00:30:34.337 --> 00:30:37.959]  And you actually get enough seeds to plant a full acre crisis garden.
[00:30:37.959 --> 00:30:41.141]  So visit them today at survivalseedbank.com.
[00:30:41.141 --> 00:30:43.363]  That's survivalseedbank.com.
[00:30:43.363 --> 00:30:44.303]  Or give them a call at 877-327-0365.
[00:30:44.303 --> 00:30:44.503]  That's 877-327-0365.
[00:30:44.503 --> 00:30:47.945]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:30:47.945 --> 00:30:49.707]  This is Alex Jones for survivalseedbank.com.
[00:31:02.418 --> 00:31:06.447]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:31:06.447 --> 00:31:09.714]  This is our last chance to not relive history.
[00:31:09.714 --> 00:31:11.116]  As we're finishing off this agenda...
[00:31:11.812 --> 00:31:14.513]  They'll be pulling the rug from underneath Americans at home.
[00:31:14.513 --> 00:31:20.875]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:31:20.875 --> 00:31:26.437]  I think it's incumbent upon all of us as American citizens to pay attention.
[00:31:26.437 --> 00:31:36.061]  For the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[00:31:36.181 --> 00:31:38.522]  Tim Geithner, Bernanke, they're arsonists!
[00:31:38.522 --> 00:31:40.122]  They're asking for more matches!
[00:31:40.122 --> 00:31:42.563]  And the Congress is saying, who do we make the check out to?
[00:31:42.563 --> 00:31:44.703]  Today seems like nobody does care.
[00:31:44.703 --> 00:31:49.844]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:31:49.844 --> 00:31:58.967]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:32:01.641 --> 00:32:04.644]  Hello, this is Alex Jones with some important questions.
[00:32:04.644 --> 00:32:09.990]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:32:09.990 --> 00:32:12.032]  My answer would be all I can get.
[00:32:12.032 --> 00:32:16.797]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:32:17.017 --> 00:32:17.458]  We're good to go.
[00:32:34.793 --> 00:32:35.293]  We're good to go!
[00:33:04.229 --> 00:33:05.210]  Don't worry.
[00:33:05.210 --> 00:33:07.252]  This show is documented.
[00:33:07.252 --> 00:33:10.016]  Alex Jones on the GCN Radio Network.
[00:33:10.016 --> 00:33:16.563]  Okay, I'm going to walk through every facet of the bill right now.
[00:33:16.563 --> 00:33:21.368]  Then I'm getting into how the establishment, both parties, plan on keeping this in place.
[00:33:21.929 --> 00:33:24.191]  The Republicans will play the part of the opposition.
[00:33:24.191 --> 00:33:31.738]  Just like the Democrats played the part of opposition against torture, secret arrest, lobbyists, and illegal wars, now they're all for it.
[00:33:31.738 --> 00:33:37.183]  You will see the exact same thing on Obama's agenda when he leaves office.
[00:33:37.183 --> 00:33:41.106]  And I don't see any way he's going to be in office in three years.
[00:33:41.106 --> 00:33:47.652]  Unless the Republicans run another dead horse like Bob Dole against Bill Clinton in 1996.
[00:33:50.572 --> 00:33:52.993]  Now let's go through it very simply.
[00:33:52.993 --> 00:34:02.015]  Here's how Obama is going to raise your taxes by $1.9 trillion.
[00:34:02.015 --> 00:34:08.737]  $9.154 billion, number one, disclosing all payments over $600 to anybody.
[00:34:08.737 --> 00:34:14.719]  Total surveillance over all private business, the IRS expanding by an order of magnitude.
[00:34:14.719 --> 00:34:18.220]  I mean, it's unspeakable the unconstitutional power they're giving this group.
[00:34:19.079 --> 00:34:20.000]  What is the tax?
[00:34:20.000 --> 00:34:34.147]  By re-establishing reporting rules of deals over $600 between individuals or businesses, compliance in terms of paying proper taxes on such deals would increase, making far fewer losses in the tax system.
[00:34:34.147 --> 00:34:35.668]  That's what the bill says.
[00:34:35.668 --> 00:34:37.229]  So total surveillance and control.
[00:34:37.229 --> 00:34:46.934]  $14.196 billion permanent increase in unemployment payroll tax.
[00:34:46.934 --> 00:34:47.815]  Just separate.
[00:34:49.221 --> 00:34:55.366]  Everybody's got to pay more to the unemployment tax, which is run at the state level but controlled by the feds.
[00:34:55.366 --> 00:34:59.890]  And I got my letter last year saying it's now part of the North American Union reporting system.
[00:34:59.890 --> 00:35:05.155]  I don't report to the feds or the state of Texas, I report to the Security Prosperity Partnership.
[00:35:05.155 --> 00:35:05.975]  What is the tax?
[00:35:05.975 --> 00:35:15.744]  This is a proposal for the permanent extension of 0.2% increase to the original 6% unemployment insurance on the first 7,000 paid to employees annually.
[00:35:17.827 --> 00:35:19.128]  $14.196 billion.
[00:35:19.128 --> 00:35:25.132]  Now law.
[00:35:25.132 --> 00:35:27.373]  $14.413 billion.
[00:35:27.373 --> 00:35:31.136]  Closed tax loopholes for insurance companies and their products.
[00:35:31.136 --> 00:35:34.018]  This is meant to shut down the smaller companies while the big ones wrote it.
[00:35:34.915 --> 00:35:35.636]  What is the tax?
[00:35:35.636 --> 00:35:35.856]  Continuing...
[00:35:52.227 --> 00:35:53.448]  18.965 billion.
[00:35:53.448 --> 00:35:55.790]  Reinstate superfund taxes.
[00:35:55.790 --> 00:36:00.674]  Certain taxes on the production and use of dangerous chemicals were eliminated after 96.
[00:36:00.674 --> 00:36:05.998]  They were previously held in a fund for the purpose of paying for the damage from any dangerous chemical leak or spill.
[00:36:05.998 --> 00:36:07.599]  Now that fund is to be renewed.
