[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[33:17.000 --> 33:24.000]  Subscribe now by sending $19 to The Nationalist Times, 10161 Park Run Drive, Suite 150, Las Vegas, Nevada, 89145.
[33:24.000 --> 33:28.000]  And we have a short time left with Governor Minteros. I'm going to try to move quickly.
[33:28.000 --> 33:36.000]  Governor, final comment on 9-11. I want to play you a clip that came out and was in major newspapers last week.
[33:36.000 --> 33:46.000]  You may have missed it, where I'm sure you've heard about how they, all these major quote, wartime correspondence or experts they have on Fox, CNN, MSNBC,
[33:46.000 --> 33:50.000]  are really on the Pentagon payroll. They're all former generals, of course, and colonels.
[33:50.000 --> 33:56.000]  And that they're putting out unified propaganda. They've now released hundreds of hours of these tapes and on the tape,
[33:56.000 --> 33:59.000]  they say, wouldn't another terror attack get the people behind the war?
[33:59.000 --> 34:01.000]  We have Republican memos saying the same thing.
[34:01.000 --> 34:07.000]  And Rumsfeld says, yeah, the cure for the people not wanting to go into Iran or other places is another attack.
[34:07.000 --> 34:11.000]  Here's that one minute clip. I want to get your take on this.
[34:11.000 --> 34:17.000]  I mean, this president is pretty much a victim of success. We haven't had an attack here in five years.
[34:17.000 --> 34:32.000]  Help. The perception of the threat is so low in the society that it's not surprising that the behavior pattern reflects a low threat assessment.
[34:32.000 --> 34:43.000]  And the same thing is in Europe with a low threat perception. The correction for that, I suppose, is an attack.
[34:43.000 --> 34:54.000]  And when that happens, then everyone gets energized for another person. And it's a shame. We don't have the maturity to recognize.
[34:54.000 --> 34:58.000]  So the American people don't have the maturity to give up their liberty, so there's got to be another attack.
[34:58.000 --> 35:06.000]  The PNAC documents written by Dick Cheney in September of 2000 called for massive Pearl Harbor events to mobilize the empire.
[35:06.000 --> 35:13.000]  The Brazilian Brzezinski's book, Grand Chess Board, calls for giant terror attacks. Your take on that, sir?
[35:13.000 --> 35:17.000]  Well, first of all, I got to apologize. There was a lot of static out there.
[35:17.000 --> 35:24.000]  And my years are not any better than they used to be before I had a hard time hearing it clearly.
[35:24.000 --> 35:32.000]  Kevin, let me just tell you what he says. He says, quote, the correction for the people not wanting military action is another attack.
[35:32.000 --> 35:38.000]  And he said that's the cure for it. But barring having another one of those, the people don't support the war.
[35:38.000 --> 35:39.000]  And who said this?
[35:39.000 --> 35:40.000]  Donald Rumsfeld.
[35:40.000 --> 35:51.000]  Wow. Well, if this stuff's true, then my book is right on. We've got to have a revolution and take our country back.
[35:51.000 --> 35:59.000]  Well, I agree. The book is on a bunch of the bestseller list. I mean, why did you decide to write the book? Don't start a revolution without me.
[35:59.000 --> 36:08.000]  Well, as a wake-up call, I actually, with two New York Times bestsellers, I, you know, I got paid great front money and all that to do those books.
[36:08.000 --> 36:13.000]  This book I did with none. I wanted to do it down in Mexico with Dick Russell.
[36:13.000 --> 36:22.000]  And we got together every week, and we'd work on it. And I wanted it to be more of a message and a wake-up call to try to wake up the United States of America,
[36:22.000 --> 36:30.000]  that the two-party system is corrupt, and that the two-party system, that you have to change the system in which to change the government.
[36:30.000 --> 36:40.000]  And we've got to wake up to that fact, because if we don't, we could very much lose the Republic, because that's what Thomas Jefferson warned about.
[36:40.000 --> 36:51.000]  That's what John Adams warned about, that political parties would eventually strangle the Republic, because decisions would be made on behalf of the political party,
[36:51.000 --> 36:55.000]  not on behalf of the Republic. And that's what we're getting today.
[36:55.000 --> 37:00.000]  An interesting case in point, you know, and we'll tie it back to 9-11 a little.
[37:00.000 --> 37:10.000]  I find it very interesting that the Whitewater investigation, which, you know, in the end, that it was turned up that the president cheated on his wife with an intern,
[37:10.000 --> 37:17.000]  they spent $100 million on that. For 9-11, they only spent $9 million.
[37:17.000 --> 37:25.000]  And I find that peculiar that, you know, thousands of people were killed in one, and nobody died.
[37:25.000 --> 37:33.000]  And I know of where they couldn't prove maybe one person did. I guess they talk about it, but they spent $100 million to investigate that.
[37:33.000 --> 37:38.000]  What do you think of Barack Obama and Hillary wanting socialized health care?
[37:38.000 --> 37:42.000]  And Barack Obama is saying, we need to have the government control how many calories we eat.
[37:42.000 --> 37:50.000]  I mean, if you think the Nanny State's bad with San Francisco saying you can't drink bottled water, and most cities banning smoking cigarettes even outside,
[37:50.000 --> 37:58.000]  and not letting people smoke in their own houses in some cities, cops are getting fired who get caught and reported by other officers for smoking cigars on their bass boat.
[37:58.000 --> 38:03.000]  I'm sure you've heard about those cases. What do you think of the Nanny State that's being pushed by the Democrats?
[38:03.000 --> 38:12.000]  Well, and that's just as bad. You know, I know that I come down hard on the Republicans probably a great deal more because they're in power right now.
[38:12.000 --> 38:22.000]  But the Democrats will be no better. In fact, they will be even worse because Democrats, they want no liberties for you at all, hardly.
[38:22.000 --> 38:31.000]  They want everything government controlled. I remember when I ran for governor, Hubert Skip Humphrey, no matter what subject came up during the race,
[38:31.000 --> 38:35.000]  he had a government program waiting to take care of it.
[38:35.000 --> 38:42.000]  And it was like I looked at him at one point and said, Skip, who pays for all this, you know? Government laws and moral laws.
[38:42.000 --> 38:50.000]  What people need to understand, Alex, is that every time a legislature passes a law, there's a money tag with that.
[38:50.000 --> 38:59.000]  It costs money to implement that law. As a chief executive of a state or country or whatever, you have to do it.
[38:59.000 --> 39:07.000]  You can't arbitrarily, to yourself, go, well, this is a stupid damn law. I won't implement it. You're not given that ability.
[39:07.000 --> 39:10.000]  Absolutely. Folks, find out more about his new bestselling book.
[39:10.000 --> 39:15.000]  We're out for about a month. He's already a bestseller up on infowars.com. We have links through to where you can get.
[39:15.000 --> 39:18.000]  Jesse Ventura, don't start the revolution without me.
[39:18.000 --> 39:25.000]  Governor, I'm not trying to press you because I know you haven't made the decision yet, but what are you leaning towards?
[39:25.000 --> 39:30.000]  I guess you're saying we're going to find out if you're going to run for the Minnesota seat for the U.S. Senate.
[39:30.000 --> 39:32.000]  We're going to find out if you're going to...
[39:32.000 --> 39:33.000]  July.
[39:33.000 --> 39:34.000]  We're going to find out in July and right now...
[39:34.000 --> 39:40.000]  July is when filing takes place. And see, I won't just run to win.
[39:40.000 --> 39:45.000]  I'll run to set an example to turn around America, and that will be this.
[39:45.000 --> 39:53.000]  Whenever I run for office, I do not spend more money than what the office will pay me.
[39:53.000 --> 39:59.000]  I did it as governor. I only raised $300,000. I was paid $480,000.
[39:59.000 --> 40:03.000]  You know why I do that? Because of what my dad said to me when I was a kid.
[40:03.000 --> 40:11.000]  When I was a little kid growing up, my dad was a World War II vet, eighth grade education, but he gets smarter every day.
[40:11.000 --> 40:16.000]  And he said to me one day, he said, you know, our politicians are crooks.
[40:16.000 --> 40:21.000]  And I said, Dad, come on, how can you say that? That's a blanket statement like that.
[40:21.000 --> 40:27.000]  And he said easy. He said because they spend a million dollars for a job that pays a hundred grand a year.
[40:27.000 --> 40:32.000]  Absolutely. The evidence is right there. That's what one of my grandpas would always say.
[40:32.000 --> 40:38.000]  And so I make it a point that when I run for office, I do not spend more money than what I will make.
[40:38.000 --> 40:46.000]  Now, as a U.S. senator, I will make close to $950,000 through the course of that six-year thing.
[40:46.000 --> 40:51.000]  So that means I could probably spend about three-quarters of a million to get the job.
