[00:00.000 --> 00:04.000]  President Bush is speaking today about the new financial rescue package.
[1:44:38.000 --> 1:44:41.000]  With shipping throughout the world, check out mainmilitary.com
[1:44:41.000 --> 1:44:45.000]  or call 877-608-0179.
[1:44:45.000 --> 1:44:48.000]  That's 877-608-0179.
[1:44:48.000 --> 1:45:11.000]  Call today.
[1:45:19.000 --> 1:45:24.000]  If you are not prepared, the last place you want to be is standing in FEMA lines.
[1:45:24.000 --> 1:45:26.000]  Invest in your future now.
[1:45:26.000 --> 1:45:31.000]  Visit survivalgearsource.com or call 877-231-1925.
[1:45:31.000 --> 1:45:35.000]  That's 877-231-1925.
[1:45:35.000 --> 1:45:37.000]  Survivalgearsource.com.
[1:45:37.000 --> 1:45:43.000]  That's survivalgearsource.com or call 877-231-1925.
[1:45:43.000 --> 1:45:48.000]  877-231-1925.
[1:46:13.000 --> 1:46:15.000]  That's 877-231-1925.
[1:46:15.000 --> 1:46:44.000]  That's 877-231-1925.
[1:46:44.000 --> 1:46:49.000]  It's clear now by calling Ripple Creek at 203-331-0363
[1:46:49.000 --> 1:46:52.000]  or go to RippleCreek.com.
[1:46:52.000 --> 1:46:56.000]  Thank you for listening to GCN.
[1:46:56.000 --> 1:47:04.000]  Visit GCNLive.com today.
[1:47:04.000 --> 1:47:08.000]  There is a story attributed to Marie Antoinette,
[1:47:08.000 --> 1:47:11.000]  the Queen of Spain right before the French Revolution.
[1:47:11.000 --> 1:47:14.000]  It started, it was a famine across France.
[1:47:14.000 --> 1:47:17.000]  The people were starving to death and they came to her and they said,
[1:47:17.000 --> 1:47:20.000]  the people were asking for bread.
[1:47:20.000 --> 1:47:26.000]  And she said, in her opulence, she said, let them eat cake.
[1:47:26.000 --> 1:47:31.000]  And so they rioted, overtook the police station, the garrison, the Bastille,
[1:47:31.000 --> 1:47:34.000]  the prison and slaughtered everybody.
[1:47:34.000 --> 1:47:40.000]  And then hundreds of thousands had their heads chopped off.
[1:47:40.000 --> 1:47:43.000]  And the establishment knows they're setting something up
[1:47:43.000 --> 1:47:46.000]  that will trigger something like that, a French Revolution.
[1:47:46.000 --> 1:47:49.000]  We don't want that, by the way.
[1:47:49.000 --> 1:47:51.000]  And that's why internationally they're globalists.
[1:47:51.000 --> 1:47:54.000]  They can do it to a country like Argentina in 2001
[1:47:54.000 --> 1:47:57.000]  and then pull back from the nation.
[1:47:57.000 --> 1:47:58.000]  And they have a plan to do that.
[1:47:58.000 --> 1:48:01.000]  That's what Northcom is a for.
[1:48:01.000 --> 1:48:06.000]  But an example of let them eat cake, how about let them eat melamine?
[1:48:06.000 --> 1:48:09.000]  We have stories up on infowars.com about two weeks ago,
[1:48:09.000 --> 1:48:11.000]  hundreds of thousands of Chinese got sick.
[1:48:11.000 --> 1:48:15.000]  Some have died because of a liquid plastic known as melamine,
[1:48:15.000 --> 1:48:19.000]  which is a high protein value, shows as protein,
[1:48:19.000 --> 1:48:21.000]  because people would test the milk.
[1:48:21.000 --> 1:48:22.000]  It was really just powder.
[1:48:22.000 --> 1:48:25.000]  It wasn't even milk with melamine in it.
[1:48:25.000 --> 1:48:29.000]  And then now it turns out that some U.S. companies put melamine on the shelves.
[1:48:29.000 --> 1:48:30.000]  And what's the FDA come out and do?
[1:48:30.000 --> 1:48:33.000]  They came out and said, melamine's actually good for you in small amounts.
[1:48:33.000 --> 1:48:34.000]  You can eat it.
[1:48:34.000 --> 1:48:35.000]  It's not going to hurt you.
[1:48:35.000 --> 1:48:38.000]  Now, the real study said a taxor kidneys and kill should give you diabetes
[1:48:38.000 --> 1:48:39.000]  and fries.
[1:48:39.000 --> 1:48:41.000]  And there's melamine in a lot of the food now.
[1:48:41.000 --> 1:48:43.000]  And I have a MSNBC show.
[1:48:43.000 --> 1:48:45.000]  They did a year ago where they said, look, poison food is good.
[1:48:45.000 --> 1:48:46.000]  Poison toys are good.
[1:48:46.000 --> 1:48:47.000]  I'm not joking.
[1:48:47.000 --> 1:48:54.000]  In fact, YouTube news media poison and food good.
[1:48:54.000 --> 1:48:55.000]  Google that fast, guys.
[1:48:55.000 --> 1:48:59.000]  Jaren, Jaren, go to YouTube before the show ends.
[1:48:59.000 --> 1:49:00.000]  People are going to believe me.
[1:49:00.000 --> 1:49:09.000]  And I think the headline is reporter, poison and food good.
[1:49:09.000 --> 1:49:12.000]  And they actually said, if we don't have time, go Google it.
[1:49:12.000 --> 1:49:13.000]  You can't make this up.
[1:49:13.000 --> 1:49:15.000]  I have CBS News saying mercury is good for your brain.
[1:49:15.000 --> 1:49:16.000]  You can't make that up.
[1:49:16.000 --> 1:49:17.000]  Google that.
[1:49:17.000 --> 1:49:19.000]  CBS News says mercury is good for brain.
[1:49:19.000 --> 1:49:22.000]  I mean, they're entering a La La Land in China.
[1:49:22.000 --> 1:49:23.000]  They admit it's killing people.
[1:49:23.000 --> 1:49:26.000]  But there they say, oh, no, it's good for you.
[1:49:26.000 --> 1:49:29.000]  All right, let's move fast to your calls.
[1:49:29.000 --> 1:49:31.000]  I'll try to take a lot today.
[1:49:31.000 --> 1:49:33.000]  David in Las Vegas, you're on the air.
[1:49:33.000 --> 1:49:34.000]  Hey, Alex.
[1:49:34.000 --> 1:49:35.000]  There he is.
[1:49:35.000 --> 1:49:36.000]  Hi.
[1:49:36.000 --> 1:49:37.000]  Hi.
[1:49:37.000 --> 1:49:38.000]  I want to ask you a question here.
[1:49:38.000 --> 1:49:40.000]  How credible is the website?
[1:49:40.000 --> 1:49:41.000]  Whatdoesitmean.com?
[1:49:41.000 --> 1:49:42.000]  Have you heard of that one?
[1:49:42.000 --> 1:49:43.000]  I know.
[1:49:43.000 --> 1:49:44.000]  I don't know it.
[1:49:44.000 --> 1:49:45.000]  I think I've seen it or heard of it.
[1:49:45.000 --> 1:49:47.000]  But I can't place it mentally right now.
[1:49:47.000 --> 1:49:48.000]  Okay.
[1:49:48.000 --> 1:49:51.000]  Because I'm reading a report that a friend gave me this morning.
[1:49:51.000 --> 1:49:55.000]  It says Chinese police units begin entering US to protect assets.
[1:49:55.000 --> 1:50:00.000]  And it gets into the Emergency Economic Stabilization Act of 2008.
[1:50:00.000 --> 1:50:04.000]  And I guess this is being reported in Russia as well as China.
[1:50:04.000 --> 1:50:07.000]  Well, I remember what does it mean now?
[1:50:07.000 --> 1:50:09.000]  And it took me a minute to remember.
[1:50:09.000 --> 1:50:11.000]  I've seen some pretty credible reports out of it in the past,
[1:50:11.000 --> 1:50:13.000]  but I'll have to check it out.
[1:50:13.000 --> 1:50:15.000]  What's the headline?
[1:50:15.000 --> 1:50:19.000]  Chinese police units begin entering US to protect assets.
[1:50:19.000 --> 1:50:21.000]  There's another one from last week.
[1:50:21.000 --> 1:50:26.000]  US homeowners soon to be evicted by Chinese police under new law.
[1:50:26.000 --> 1:50:28.000]  Well, email it if you like.
[1:50:28.000 --> 1:50:29.000]  Yeah.
[1:50:29.000 --> 1:50:30.000]  We'll just go post it on the Prison Planet forum.
[1:50:30.000 --> 1:50:31.000]  That'd be a good place for it.
[1:50:31.000 --> 1:50:34.000]  I know that the government's talking about doing that.
[1:50:34.000 --> 1:50:37.000]  So you pay to bail the bankers out and then they come and take your house.
[1:50:37.000 --> 1:50:40.000]  And I know China owns trillions of it.
[1:50:40.000 --> 1:50:42.000]  So my goodness, I'll have to look into that, sir.
[1:50:42.000 --> 1:50:44.000]  I'll believe anything now, but we'll have to check it first.
[1:50:44.000 --> 1:50:46.000]  Let's talk to Forest in California.
[1:50:46.000 --> 1:50:48.000]  You're on the air, Forest.
[1:50:48.000 --> 1:50:49.000]  Yes, sir.
[1:50:49.000 --> 1:50:51.000]  Alex Jones.
[1:50:51.000 --> 1:50:54.000]  I really love this community that you all have.
[1:50:54.000 --> 1:50:55.000]  All these like-minded people.
[1:50:55.000 --> 1:50:58.000]  It's getting us all blessed.
[1:50:58.000 --> 1:51:02.000]  And we all understand how if we bring manufacturing back to America,
[1:51:02.000 --> 1:51:03.000]  we have awesome land.
[1:51:03.000 --> 1:51:06.000]  We can grow all the food from the entire world.
[1:51:06.000 --> 1:51:08.000]  I mean, by making America strong,
[1:51:08.000 --> 1:51:10.000]  it'll just make the whole world a better place.
[1:51:10.000 --> 1:51:13.000]  Well, I mean, this could backfire on the criminal crime syndicate.
[1:51:13.000 --> 1:51:16.000]  If we're able to expose as a banker's scam to the military and police,
[1:51:16.000 --> 1:51:18.000]  don't oppress the people for the bankers.
[1:51:18.000 --> 1:51:20.000]  They could actually lose control.
[1:51:20.000 --> 1:51:23.000]  That's why they put in this huge apparatus to try to stop that.
[1:51:23.000 --> 1:51:24.000]  Right.
[1:51:24.000 --> 1:51:30.000]  I'd also like to talk about having a guest on your show, Mark Cuban.
[1:51:30.000 --> 1:51:32.000]  He's a basketball fan of the NBA.
[1:51:32.000 --> 1:51:34.000]  And he had an anti-war movie.
[1:51:34.000 --> 1:51:36.000]  I just wanted to hear his point of view.
[1:51:36.000 --> 1:51:38.000]  But I want to say your show is amazing.
[1:51:38.000 --> 1:51:39.000]  Every day.
[1:51:39.000 --> 1:51:43.000]  Are you talking about Mark Cuban of 29, 29?
[1:51:43.000 --> 1:51:45.000]  He's of the Dallas Novritsch.
[1:51:45.000 --> 1:51:48.000]  Yeah, I know who Mark Cuban is.
[1:51:48.000 --> 1:51:51.000]  He was going to produce the loose change final cut.
[1:51:51.000 --> 1:51:54.000]  And then we screwed around and that didn't happen because of time constraints.
[1:51:54.000 --> 1:51:56.000]  Not my fault, but just that happened.
[1:51:56.000 --> 1:51:59.000]  So I actually have contact with Mark Cuban.
[1:51:59.000 --> 1:52:00.000]  I'll just leave it at that.
[1:52:00.000 --> 1:52:01.000]  Thank you.
[1:52:01.000 --> 1:52:03.000]  Yeah, Mark Cuban knows what's going on.
[1:52:03.000 --> 1:52:04.000]  But he also got intimidated.
[1:52:04.000 --> 1:52:06.000]  Bill O'Reilly called him up and threatened him and said,
[1:52:06.000 --> 1:52:07.000]  you better not produce that as well.
[1:52:07.000 --> 1:52:09.000]  That was big national news, by the way.
[1:52:09.000 --> 1:52:11.000]  Keith, in Austin, you're on the air.
[1:52:11.000 --> 1:52:12.000]  Go ahead.
[1:52:12.000 --> 1:52:13.000]  How you doing, Mr. Jones?
[1:52:13.000 --> 1:52:14.000]  Good, sir.
[1:52:14.000 --> 1:52:17.000]  I was just wondering, you know how he said,
[1:52:17.000 --> 1:52:20.000]  if they implemented our physical martial law,
[1:52:20.000 --> 1:52:22.000]  how will we prepare for that?
[1:52:22.000 --> 1:52:25.000]  Well, it's already martial law when they're arresting people
[1:52:25.000 --> 1:52:27.000]  and tasering them to death for no reason.
[1:52:27.000 --> 1:52:31.000]  And when you don't have due process and there's police everywhere
[1:52:31.000 --> 1:52:33.000]  and the Constitution's being ignored,
[1:52:33.000 --> 1:52:35.000]  it's what degree of martial law?
[1:52:35.000 --> 1:52:38.000]  But they threaten martial law to get the house to pass this.
[1:52:38.000 --> 1:52:39.000]  That's admitted.
[1:52:39.000 --> 1:52:43.000]  And then they went ahead and got financial martial law.
[1:52:43.000 --> 1:52:44.000]  Okay.
[1:52:44.000 --> 1:52:46.000]  And the former head of policy at the Treasury Friday,
[1:52:46.000 --> 1:52:48.000]  Dr. Paul Craig Roberts said that.
[1:52:48.000 --> 1:52:50.000]  He said, this is financial martial law.
[1:52:50.000 --> 1:52:52.000]  Well, can I say one more thing, too?
[1:52:52.000 --> 1:52:54.000]  I know you live in the Austin area,
[1:52:54.000 --> 1:52:57.000]  but I live in the U.S. station, but also this is the other station.
[1:52:57.000 --> 1:53:02.000]  They got this commercial promotion for this haunted house thing.
[1:53:02.000 --> 1:53:05.000]  And during the commercial, they kind of say,
[1:53:05.000 --> 1:53:09.000]  oh, martial law has declared, you know,
[1:53:09.000 --> 1:53:12.000]  it's for this haunted house to have here in Austin.
[1:53:12.000 --> 1:53:14.000]  It's a commercial.
[1:53:14.000 --> 1:53:18.000]  But I see how you say how martial law is becoming everywhere because...
[1:53:18.000 --> 1:53:19.000]  That's right.
[1:53:19.000 --> 1:53:20.000]  They're conditioning us for it.
[1:53:20.000 --> 1:53:23.000]  By the way, did you guys find that clip?
[1:53:23.000 --> 1:53:26.000]  The clip is, reporter says poison and food good.
[1:53:26.000 --> 1:53:29.000]  And it's a woman on MSNBC.
[1:53:29.000 --> 1:53:32.000]  You can't make this type stuff up.
[1:53:32.000 --> 1:53:34.000]  And if you can't find that one,
[1:53:34.000 --> 1:53:38.000]  CBS News says mercury good for brain.
[1:53:38.000 --> 1:53:40.000]  Mercury good for you.
[1:53:40.000 --> 1:53:43.000]  Infowars.com, that should find it.
[1:53:43.000 --> 1:53:45.000]  People won't believe me if I don't play it.
[1:53:45.000 --> 1:53:47.000]  I mean, you can't make this type stuff up.
[1:53:47.000 --> 1:53:49.000]  Let's talk to Dave and San Diego.
[1:53:49.000 --> 1:53:50.000]  Dave, you're on the air.
[1:53:50.000 --> 1:53:51.000]  Hi, how you doing?
[1:53:51.000 --> 1:53:52.000]  Good, sir.
[1:53:52.000 --> 1:53:54.000]  Hey, I got about three things.
[1:53:54.000 --> 1:53:57.000]  Listen, KCAA is San Bernardino, not San Diego.
[1:53:57.000 --> 1:53:59.000]  I know, but it covers part of San Diego.
[1:53:59.000 --> 1:54:02.000]  I wish I could get it with my radio if I had a ham radio, maybe.
[1:54:02.000 --> 1:54:03.000]  But hey...
[1:54:03.000 --> 1:54:04.000]  You know what?
[1:54:04.000 --> 1:54:05.000]  I've been in Los Angeles and heard it.
[1:54:05.000 --> 1:54:06.000]  You can't hear it in Northern Los Angeles,
[1:54:06.000 --> 1:54:08.000]  but you can hear it as a big coverage area.
[1:54:08.000 --> 1:54:10.000]  Well, there's a lot of mountains down here between us and there.
[1:54:10.000 --> 1:54:11.000]  But anyway, listen...
[1:54:11.000 --> 1:54:13.000]  But I mean, what's the point of that?
[1:54:13.000 --> 1:54:16.000]  I mean, KCAA's carried my show for like three or four years.
[1:54:16.000 --> 1:54:17.000]  It's a great station.
[1:54:17.000 --> 1:54:21.000]  And I get calls from San Diego and I've listened to it in LA.
[1:54:21.000 --> 1:54:23.000]  So I don't understand the point of your...
[1:54:23.000 --> 1:54:24.000]  Well, no, no, no.
[1:54:24.000 --> 1:54:26.000]  I'm just saying, you had mentioned it.
[1:54:26.000 --> 1:54:27.000]  I can't get that one here.
[1:54:27.000 --> 1:54:28.000]  It's really hard.
[1:54:28.000 --> 1:54:29.000]  Okay.
[1:54:29.000 --> 1:54:34.000]  But anyway, camera lights are going up everywhere in the last 60 days.
[1:54:34.000 --> 1:54:36.000]  Are these all privately owned?
[1:54:36.000 --> 1:54:38.000]  Let me explain.
[1:54:38.000 --> 1:54:40.000]  Lockheed Martin runs a lot of them in Southern California.
[1:54:40.000 --> 1:54:44.000]  It's the Defense Department and the Defense Contractors are privatizing their war.
[1:54:44.000 --> 1:54:47.000]  And there have been a bunch of headlines mainstream news the last three weeks where,
[1:54:47.000 --> 1:54:48.000]  oh, guess what?
[1:54:48.000 --> 1:54:53.000]  Red light cameras and traffic cameras are really homeland security and the feds paid for them
[1:54:53.000 --> 1:54:55.000]  and they're using them to watch you.
[1:54:55.000 --> 1:54:56.000]  So, yes, sir.
[1:54:56.000 --> 1:54:57.000]  You never found the clip?
[1:54:57.000 --> 1:54:58.000]  Go ahead and play it.
[1:54:58.000 --> 1:54:59.000]  Here it is.
[1:54:59.000 --> 1:55:04.000]  But inflation, that's another interesting point because a lot of people like to say,
[1:55:04.000 --> 1:55:06.000]  the scaremonger about China, right?
[1:55:06.000 --> 1:55:09.000]  A lot of politicians, and I know you talk about that issue all the time,
[1:55:09.000 --> 1:55:11.000]  I think people should be careful what they wish for on China.
[1:55:11.000 --> 1:55:15.000]  You know, if China were to revalue its currency or China is to start making, say,
[1:55:15.000 --> 1:55:18.000]  toys that don't have lead in them or food that isn't poisonous,
[1:55:18.000 --> 1:55:20.000]  their costs of production are going to go up.
[1:55:20.000 --> 1:55:23.000]  And that means prices at Walmart here in the United States are going to go up, too.
[1:55:23.000 --> 1:55:25.000]  So, I would say China is our greatest friend.
[1:55:25.000 --> 1:55:26.000]  All right.
[1:55:26.000 --> 1:55:27.000]  They're keeping prices low.
[1:55:27.000 --> 1:55:29.000]  Now, Google, I think we're going to have time.
[1:55:29.000 --> 1:55:32.000]  CBS News, mercury good for you.
[1:55:32.000 --> 1:55:35.000]  Mercury good for brain.
[1:55:35.000 --> 1:55:38.000]  You cannot, and this aired all over the country on local affiliates.
[1:55:38.000 --> 1:55:43.000]  It's like they have news packages where they send the video down satellite and all the locals,
[1:55:43.000 --> 1:55:48.000]  this was from Austin, but this was reported nationwide, then read with the video package over.
[1:55:48.000 --> 1:55:53.000]  But it was really a national news story and they said that mercury is good for your brain.
[1:55:53.000 --> 1:55:55.000]  You cannot make it up.
[1:55:55.000 --> 1:55:57.000]  Mike in New Jersey, go ahead.
[1:55:57.000 --> 1:55:59.000]  How are you doing, Alex?
[1:55:59.000 --> 1:56:00.000]  Good.
[1:56:00.000 --> 1:56:03.000]  Oh, I thought I lost you there for a second.
[1:56:03.000 --> 1:56:07.000]  Now, I'm in the car industry, but through the years, like we have watched,
[1:56:07.000 --> 1:56:13.000]  like how the between General Motors, Ford, everything has been moving out of the country
[1:56:13.000 --> 1:56:16.000]  between textile mills and everything.
[1:56:16.000 --> 1:56:20.000]  It would be nice to say to General Motors and Ford, stay where you're at.
[1:56:20.000 --> 1:56:22.000]  Let's take America back over.
[1:56:22.000 --> 1:56:23.000]  Let's rebuild it.
[1:56:23.000 --> 1:56:24.000]  Let's make new companies.
[1:56:24.000 --> 1:56:25.000]  The problem is globalism.
[1:56:25.000 --> 1:56:30.000]  They had tax incentives to move offshore so that when they did pull the financial rug out from under us,
[1:56:30.000 --> 1:56:31.000]  we couldn't rise.
[1:56:31.000 --> 1:56:34.000]  It's about destroying the middle class criminal consolidation of the wealth.
[1:56:34.000 --> 1:56:35.000]  Absolutely.
[1:56:35.000 --> 1:56:36.000]  Absolutely.
[1:56:36.000 --> 1:56:38.000]  Well, there's one other thing I just want to let you know.
[1:56:38.000 --> 1:56:42.000]  On YouTube, I've been doing the cam trails with my camcorder.
[1:56:42.000 --> 1:56:46.000]  We have our barbecues in the backyard and a couple of, I guess, two, three weeks ago,
[1:56:46.000 --> 1:56:51.000]  we were hit so bad in New Jersey that they were flying everywhere.
[1:56:51.000 --> 1:56:53.000]  No, the government admits they're spraying the atmosphere.
[1:56:53.000 --> 1:56:55.000]  They admit they're doing weather modification.
[1:56:55.000 --> 1:56:57.000]  They're also spraying a slow level.
[1:56:57.000 --> 1:57:01.000]  There are tens of thousands of examples of the criminals that run our government,
[1:57:01.000 --> 1:57:04.000]  grabbing foster children, radiating them to death and experiments.
[1:57:04.000 --> 1:57:05.000]  Don't believe me.
[1:57:05.000 --> 1:57:06.000]  Google that.
[1:57:06.000 --> 1:57:09.000]  Government radiated foster children to death, testing pesticides, drugs on them to death,
[1:57:09.000 --> 1:57:13.000]  marching our troops in a nerve gas chambers, nerve gassing them to death, projects shat.
[1:57:13.000 --> 1:57:15.000]  You guys never found the Mercury.
[1:57:15.000 --> 1:57:16.000]  It's good for you, Cliff.
[1:57:16.000 --> 1:57:17.000]  It doesn't matter.
[1:57:17.000 --> 1:57:18.000]  People Google that.
[1:57:18.000 --> 1:57:20.000]  They will find it.
[1:57:20.000 --> 1:57:22.000]  God bless you all.
[1:57:22.000 --> 1:57:25.000]  No, the criminal government's not legitimate.
[1:57:25.000 --> 1:57:26.000]  They're trying to take over.
[1:57:26.000 --> 1:57:29.000]  Know that the bailout was a criminal hand over a power to them.
[1:57:29.000 --> 1:57:32.000]  And know that you can resist them and defeat them.
[1:57:32.000 --> 1:57:37.000]  See you back live next Sunday, 4 to 6 p.m. in weekdays, at infowars.com.
[1:57:37.000 --> 1:57:38.000]  Stand up for liberty.
[1:57:38.000 --> 1:57:41.000]  If we recognize the enemy, they can be defeated.
[1:57:41.000 --> 1:57:45.000]  It's no secret that Genesis Communications Network depends on listeners like you.
[1:57:45.000 --> 1:57:48.000]  Now you can do even more to hear Genesis shows in your area.
[1:57:48.000 --> 1:57:53.000]  Simply call your local radio stations and tell them about your favorite GCN programs.
[1:57:53.000 --> 1:57:54.000]  It's easy.
[1:57:54.000 --> 1:58:00.000]  Log on to GCNLive.com or call us toll free 877-807-4048.
[1:58:00.000 --> 1:58:01.000]  Make a difference.
[1:58:01.000 --> 1:58:09.000]  Call your local stations and contact us through affiliate relations at GCNLive.com or call 877-807-4048.
[1:58:09.000 --> 1:58:11.000]  Call today.
[1:58:11.000 --> 1:58:14.000]  Are your Federal Reserve notes looking for a safe haven?
[1:58:14.000 --> 1:58:17.000]  Mine found it in precious metals.
[1:58:17.000 --> 1:58:21.000]  Not paper promises, but actual gold in my possession.
[1:58:21.000 --> 1:58:22.000]  It is liquid.
[1:58:22.000 --> 1:58:23.000]  It is private.
[1:58:23.000 --> 1:58:24.000]  It owes no one.
[1:58:24.000 --> 1:58:26.000]  It cannot go bankrupt.
[1:58:26.000 --> 1:58:28.000]  And it maintains its purchasing power.
[1:58:28.000 --> 1:58:31.000]  Find your answer at Midas Resources.
[1:58:31.000 --> 1:58:35.000]  That's 1-800-686-2237.
[1:58:35.000 --> 1:58:39.000]  The answer is at 1-800-686-2237.
[1:58:39.000 --> 1:58:46.000]  I had the opportunity to speak to my 90-year-old grandmother at some length here recently.
[1:58:46.000 --> 1:58:48.000]  And she was talking about the Great Depression.
[1:58:48.000 --> 1:58:52.000]  And we were talking about the gas prices, the food prices, this economic uncertainty.
[1:58:52.000 --> 1:58:54.000]  We're in these, you know, really kind of perilous times.
[1:58:54.000 --> 1:58:56.000]  No one knows where we're headed or where we might end up.
[1:58:56.000 --> 1:59:00.000]  And she was reminded of the Great Depression and how in those days folks who lived in the country
[1:59:00.000 --> 1:59:04.000]  did okay because they had chicken and eggs and they could grow gardens and can their food.
[1:59:04.000 --> 1:59:07.000]  But how difficult it was for people who lived in urban areas or in the cities
[1:59:07.000 --> 1:59:10.000]  because they didn't have the landscape for gardening or the know-how.
[1:59:10.000 --> 1:59:12.000]  They didn't have the chickens and the livestock.
[1:59:12.000 --> 1:59:13.000]  So it's a lot different for them.
[1:59:13.000 --> 1:59:15.000]  Well, we know one thing's certain right now.
[1:59:15.000 --> 1:59:19.000]  We're headed into much higher prices on food and there is a global food shortage.
[1:59:19.000 --> 1:59:20.000]  Now, what can you do to prepare?
[1:59:20.000 --> 1:59:21.000]  Do what I did.
[1:59:21.000 --> 1:59:23.000]  Sell some toys off in the garage.
[1:59:23.000 --> 1:59:25.000]  Go to the J. Michael Stevens, eFoodsDirect.com company.
[1:59:25.000 --> 1:59:27.000]  Get some food and put it away and be safe.
[1:59:27.000 --> 1:59:29.000]  Put a little security in your life.
[1:59:29.000 --> 1:59:30.000]  You deserve security.
[1:59:30.000 --> 1:59:32.000]  Go to eFoodsDirect.com.
[1:59:32.000 --> 1:59:37.000]  eFoodsDirect.com 1-800-409-5633. Put some food away. Do it now.
[1:59:37.000 --> 2:00:02.000]  1-800-409-5633.
