[00:00:25.865 --> 00:00:26.705]  The year is 2020.
[01:34:40.373 --> 01:34:53.698]  As if we needed more evidence that Facebook is biased against conservatives, it appears that the person in charge of deciding which entities are allowed to be fact-checkers for the social media site might not be as fair of an arbiter of content moderation as the company wants us to think.
[01:34:53.698 --> 01:34:54.639]  Oh, you don't say.
[01:34:54.639 --> 01:34:56.299]  Aw, jeez, what?
[01:34:56.299 --> 01:34:57.560]  Facebook being dishonest?
[01:34:58.320 --> 01:34:58.780]  I hope so.
[01:35:16.773 --> 01:35:33.339]  And American University School of Communication professor Margot Suska is unashamedly politically biased, but she was responsible for issuing 19 fact check licenses or reviews for organizations to become fact checkers.
[01:35:33.339 --> 01:35:40.562]  They include Check Your Fact, Associated Press, Decryptors, Lead Stories, MediaWise, and The Dispatch.
[01:35:42.130 --> 01:35:47.855]  Suska has made appearances on news outlets criticizing President Trump, saying I've been on Team Hillary since 08.
[01:35:47.855 --> 01:35:53.941]  In a conversation with Russia Today, Suska admitted that she has difficulty being objective about President Trump.
[01:35:53.941 --> 01:35:59.727]  She said, quote, it is hard for me to be an objective observer of the presidential administration for when years now
[01:36:00.467 --> 01:36:07.314]  They have continually tried to delegitimize and marginalize news reporters for doing their constitutionally protected jobs.
[01:36:07.314 --> 01:36:15.822]  Despite Suska's obvious bias, Facebook has given her power to decide which organizations be allowed to moderate content on the site.
[01:36:15.822 --> 01:36:17.583]  Truly, truly incredible.
[01:36:17.583 --> 01:36:20.546]  She's like, yes, I'm an extreme partisan.
[01:36:20.546 --> 01:36:22.308]  I think everything Donald Trump does is a
[01:36:23.447 --> 01:36:25.608]  As a major threat to democracy?
[01:36:25.608 --> 01:36:26.128]  Oh, well great.
[01:36:26.128 --> 01:36:29.289]  Go ahead and put her in charge of who's allowed to say things on Facebook.
[01:36:29.289 --> 01:36:30.930]  That's fantastic.
[01:36:30.930 --> 01:36:32.211]  YouTube, Facebook, they're all the same.
[01:36:32.211 --> 01:36:34.912]  YouTube deletes comments critical of Chinese Communist Party.
[01:36:34.912 --> 01:36:38.733]  And this was actually sort of a scandal a little while ago, but it's resurfaced.
[01:36:38.733 --> 01:36:43.395]  YouTube has been deleting comments critical of China's ruling party due to a software flaw.
[01:36:43.395 --> 01:36:45.296]  Yeah, just another little flaw, another little glitch.
[01:36:45.976 --> 01:36:48.177]  I actually was going to mention this earlier.
[01:36:48.177 --> 01:36:55.422]  When I do put together my year in review, I want you to take a shot every time a glitch goes in the favor of the Democrats.
[01:36:55.422 --> 01:36:57.263]  You'll be drunk by February.
[01:36:57.263 --> 01:36:58.143]  Alright?
[01:36:58.143 --> 01:37:09.971]  Every glitch, every software malfunction, every accident that happens in big tech or election engineering or just anything ever, every accident, every oopsie-daisy,
[01:37:10.831 --> 01:37:12.111]  is in one direction.
[01:37:12.111 --> 01:37:13.612]  It favors the Democrats.
[01:37:13.612 --> 01:37:17.153]  God, man, they must think we're really dumb, don't they?
[01:37:17.153 --> 01:37:25.995]  They really think we're so stupid that they can just go, ah, oopsie, every time they're caught, every single time they're caught, they're like, ah, turns out it was a glitch.
[01:37:25.995 --> 01:37:27.835]  Just another one of those glitches.
[01:37:27.835 --> 01:37:28.496]  Gosh darn it.
[01:37:28.496 --> 01:37:30.416]  And it's been going on the entire year.
[01:37:30.416 --> 01:37:32.917]  So yes, it was, it was a software flaw.
[01:37:33.937 --> 01:37:40.721]  The company said on Tuesday in response to criticism of the practice, the spokesperson said the issue was not the result of a policy change.
[01:37:40.721 --> 01:37:49.167]  Some comments posted in the Chinese language such as communist bandit or 50 cent party, a derogatory term for the ruling party, were deleted within seconds.
[01:37:49.167 --> 01:37:53.590]  YouTube's automatic filters eliminate contents that violate company policies.
[01:37:53.590 --> 01:37:55.731]  Very, very interesting.
[01:37:55.731 --> 01:37:57.952]  Just yet another one of these little glitches.
[01:37:57.952 --> 01:37:58.593]  Of course, YouTube
[01:37:59.742 --> 01:38:06.446]  There was speculation, that is, that there was outside influence, that somebody was maybe taking advantage of the way YouTube was set up.
[01:38:06.446 --> 01:38:14.490]  Maybe you had 10,000 Chinese people in a bot farm somewhere who were just, you know, automatically tagging anything that came up.
[01:38:14.490 --> 01:38:15.071]  But no, no, no.
[01:38:15.071 --> 01:38:19.033]  YouTube has clarified it did not happen from any sort of outside force.
[01:38:19.033 --> 01:38:22.155]  They say it was caused by internal activity.
[01:38:23.703 --> 01:38:25.564]  Okay, yeah, and of course they say it was an accident.
[01:38:25.564 --> 01:38:27.805]  Oopsie-daisy, sorry, our bad.
[01:38:27.805 --> 01:38:33.367]  Although YouTube comments today offer more detail than previously supplied, they leave important questions unanswered.
[01:38:33.367 --> 01:38:37.269]  How exactly did this error enter the system, and why did it go unnoticed for months?
[01:38:37.269 --> 01:38:44.992]  These aren't trivial issues, as YouTube's lack of proper explanation has enabled political figures to accuse the company of bias towards the CCP.
[01:38:44.992 --> 01:38:46.232]  Yeah, that's the problem.
[01:38:46.232 --> 01:38:47.113]  The problem is that
[01:38:47.873 --> 01:38:50.795]  People are pointing out that they have a bias for the CCP.
[01:38:50.795 --> 01:39:05.483]  Yeah, it's a real big issue when YouTube is deleting comments that are critical of the Chinese Communist Party, who keep Uyghurs in slave camps, who enslave their own people in work camps for Apple and Nike and others.
[01:39:05.483 --> 01:39:10.926]  It's a real big problem when that's revealed, when it's revealed that China is censoring people who are against that sort of thing.
[01:39:12.062 --> 01:39:14.384]  From the Geller Report, maybe this explains it all.
[01:39:14.384 --> 01:39:20.487]  YouTube employs Chinese Communist State Secrecy Bureau software engineers.
[01:39:20.487 --> 01:39:33.556]  A host of software engineers for the platform, YouTube, have formally worked for the Chinese Communist Party-run institutions, raising the question as to why a revolving door exists between YouTube and the China-based universities.
[01:39:33.556 --> 01:39:39.380]  The software engineer for the video platform previously worked as a project manager for Guangzhou Xin Technology.
[01:39:40.300 --> 01:39:40.761]  I don't know.
[01:39:57.051 --> 01:40:07.778]  YouTube engineer led software efforts on behalf of the PLA, appearing to reference the China's People Liberation Army, the Communist Army, and a host of Chinese government-led intelligence bodies.
[01:40:07.778 --> 01:40:14.882]  What's more, he notes he, quote, garnered numerous staff awards for excellent performance.
[01:40:14.882 --> 01:40:15.802]  And he's not the only one.
[01:40:15.802 --> 01:40:19.765]  It goes on to list employee after employee.
[01:40:20.649 --> 01:40:26.991]  Working at YouTube since February 2014 despite previously working as a developer for Beijing-based Peking University.
[01:40:26.991 --> 01:40:34.514]  Peking University which has seen its researchers sentenced by the FBI for stealing intellectual property and failing to disclose Chinese Communist Party ties.
[01:40:34.514 --> 01:40:37.474]  It's funded and controlled by the Chinese Communist Party.
[01:40:37.474 --> 01:40:38.735]  Fan Yang, another YouTube
[01:40:39.255 --> 01:40:40.296]  So, as this article puts it...
[01:40:57.757 --> 01:41:00.760]  Revolving door between them and big tech.
[01:41:00.760 --> 01:41:05.043]  There's also a revolving door between Joe Biden's administration and big tech.
[01:41:05.043 --> 01:41:06.744]  It's all one revolving door.
[01:41:06.744 --> 01:41:07.445]  It's not a door.
[01:41:07.445 --> 01:41:10.668]  It's one big building and they all live in it.
[01:41:10.668 --> 01:41:12.989]  There is no door.
[01:41:12.989 --> 01:41:23.298]  That leads us, of course, to the biggest story of the day, which is this leaked files expose a mass infiltration of UK firms by the China Chinese Communist Party.
[01:41:24.718 --> 01:41:27.441]  Party insiders in the ranks is the way the Australian puts it.
[01:41:27.441 --> 01:41:30.984]  The Chinese Communist Party has infiltrated the Australian, British and U.S.
[01:41:30.984 --> 01:41:39.692]  consulates in Shanghai with a government-run recruitment agency placing advisors into Western embassies for more than a decade.
[01:41:40.393 --> 01:41:53.997]  Foreign affairs experts warn the employment of China Communist Party members in the consulate, some for up to 16 years, could be a part of a state-sponsored spy ring, while intelligence officers labeled it a breach of protocol and a risk to national security.
[01:41:53.997 --> 01:42:09.182]  The database has also revealed that CCP members working in global companies such as Boeing, which has had billions of dollars in defense contracts, and inside Pfizer and AstraZeneca, pharmaceutical companies which are developing the coronavirus vaccines, and at Western universities.
[01:42:11.431 --> 01:42:15.538]  Is it all becoming clear to you what power we're up against?
[01:42:15.538 --> 01:42:17.221]  What the cabal looks like?
[01:42:20.154 --> 01:42:20.895]  Truly incredible.
[01:42:20.895 --> 01:42:24.217]  I almost say unbelievable, but it's perfectly believable, isn't it?
[01:42:24.217 --> 01:42:33.844]  We've had at least 16 years, more like 40 years, of people in our government who hate the American people and are seeking to sell us out at every opportunity.
[01:42:33.844 --> 01:42:42.130]  So it's not that unbelievable that they would welcome in members of the Chinese Communist Party, that they would brush aside any red flags that this might put up.
[01:42:42.955 --> 01:42:52.362]  Leaked files expose mass infiltration of UK firms by Chinese Communist Party, including AstraZeneca, Rolls-Royce, HSBC, and Jaguar Land Rover.
[01:42:52.362 --> 01:42:56.626]  Totally undetected for 16 years, 2 million Chinese agents.
[01:42:58.041 --> 01:43:01.723]  We are witnessing a perfect dichotomy of psychological warfare.
[01:43:01.723 --> 01:43:06.486]  The United Nations, the big corporations, the globalists, big tech and big pharma are all pushing.
[01:43:06.486 --> 01:43:11.409]  The COVID is the most deadly thing in history, even though statistically it's a very weak flu or cold.
[01:43:11.409 --> 01:43:14.671]  But if you are deficient, then you can actually die from it.
[01:43:14.671 --> 01:43:17.273]  That's why you see somebody dying in Southern nursing homes.
[01:43:17.273 --> 01:43:26.879]  Meanwhile, all these top scientists and researchers and former Pfizer head medical officers have come out and said that the COVID-19 vaccine, especially the mRNA ones,
[01:43:27.119 --> 01:43:27.519]  We're good to go.
[01:43:58.078 --> 01:44:03.944]  If you think 2020 has been an insane and dangerous year, just wait until you see the year 2021.
[01:44:03.944 --> 01:44:06.286]  I'm Alex Jones.
[01:44:06.286 --> 01:44:09.729]  I started InfoWars, but I couldn't have done any of this without you.
[01:44:09.729 --> 01:44:17.197]  And now InfoWars is more important than ever because the general population of the planet is weighing up the fact that we've done our research and we've been dead on.
[01:44:17.737 --> 01:44:28.364]  That's why it's so important for those of you out there that have supported the broadcast and the websites and the films and all the rest of the information we put out, to realize how important your work has been and to redouble your efforts.
[01:44:28.364 --> 01:44:30.166]  So I salute you and I thank you.
[01:44:30.166 --> 01:44:33.087]  Also, as Christmas is almost here, don't wait!
[01:44:33.087 --> 01:44:35.669]  Do your shopping at InfoWareStore.com.
[01:44:35.669 --> 01:44:42.374]  Get amazing good suiticals that boost your immune system and make your life so much better overall for adults and children.
[01:44:42.734 --> 01:44:53.939]  Get great water filtration, air filtration that enriches your life, books, films, t-shirts, survival gear, storable food, locket pockets, privacy pouches, and so much more at InfowarsStore.com.
[01:44:53.939 --> 01:44:56.180]  And again, thank you all for your support, and Merry Christmas.
[01:44:56.180 --> 01:44:56.540]  God bless.
[01:44:58.183 --> 01:45:01.965]  Three months ago we sold out of our privacy pouches.
[01:45:01.965 --> 01:45:12.850]  The reason we sold out is they are super high quality and it's all over the news that the UN and the Clintons and Microsoft and others with contact tracers are tracking everywhere you go and everything you do.
[01:45:12.850 --> 01:45:17.833]  They admit it's a cover for bringing in their cashless society AI system of total control.
[01:45:17.833 --> 01:45:25.277]  So to block the UN, to block the globals, to get in the habit of realizing what a surveillance system phones are, everybody needs a privacy pocket.
[01:45:25.277 --> 01:45:27.838]  They fit almost all sizes of droids and iPhones and
[01:45:27.978 --> 01:45:29.259]  From small to big.
[01:45:29.259 --> 01:45:33.381]  They also make a great gift to educate friends and family about what's going on.
[01:45:33.381 --> 01:45:36.362]  Now again, there's lots of privacy pocket type systems out there.
[01:45:36.362 --> 01:45:38.023]  Most of them are about 90% effective.
[01:45:38.023 --> 01:45:42.765]  We found a model that's actually pretty inexpensive and has around 99% effectiveness.
[01:45:42.765 --> 01:45:46.908]  If you're right under a cell tower, it'll still blast through the Faraday cage.
[01:45:46.908 --> 01:45:49.069]  They're at InfoWarsTore.com at $19.95.
[01:45:49.069 --> 01:45:52.630]  This exact same system is sold everywhere else for $29.
[01:45:52.630 --> 01:45:53.711]  That's still a great deal.
[01:45:53.711 --> 01:45:54.471]  We sell a lot of these.
[01:45:54.471 --> 01:45:55.512]  We have the best price.
[01:45:55.512 --> 01:45:57.393]  Give us a great Christmas gift at InfoWarsTore.com.
[01:45:58.629 --> 01:46:09.253]  During our war for independence, during some of the darkest days, Thomas Jefferson, the man credited with writing our Declaration of Independence and much of our Constitution later, said, look, this is not going to be an easy fight.
[01:46:09.253 --> 01:46:13.475]  We're not going to be transported to liberty on a bed of feathers.
[01:46:13.475 --> 01:46:20.757]  No, ladies and gentlemen, we've actually had incredible successes with Donald Trump and Bolsonaro and the liberty movement worldwide.
[01:46:20.757 --> 01:46:22.198]  We're going to have major setbacks, but
[01:46:22.518 --> 01:46:24.981]  There is a giant awakening happening.
[01:46:24.981 --> 01:46:34.171]  That's when the globals have gone ahead and launched their great reset, global collapse, worldwide social credit score, tracking app, microchip, forced inoculation, take over now.
[01:46:34.171 --> 01:46:36.494]  Because if they don't force it now, they're never going to get it.
[01:46:37.435 --> 01:46:38.575]  You're listening to the Alex Jones Show!
[01:47:10.959 --> 01:47:16.883]  Yeah, here's our new single record from Highwayman 2 album, Silver Stadium.
[01:47:16.883 --> 01:47:19.464]  Welcome back, ladies and gentlemen, to the Alex Jones Show.
[01:47:19.464 --> 01:47:23.387]  My name is Harrison Smith, sitting in for Alex today, folks.
[01:47:23.387 --> 01:47:34.494]  I have to remind you, everything you see here, and of course, the major trip to Washington, D.C., the several major trips we've taken over the last month to attempt to stop the steal, bringing with us upwards of a million
[01:47:35.154 --> 01:47:39.496]  Patriotic Americans to protest the blatant theft of their elections.
[01:47:39.496 --> 01:47:43.037]  All of this has been brought to you by InfoWarsStore.com.
[01:47:43.037 --> 01:47:47.219]  And might I suggest for the winter months, Winter Sun Plus.
[01:47:47.219 --> 01:47:49.520]  This is the D3 droplets.
[01:47:49.520 --> 01:47:52.861]  Get your extra ultimate vitamin D3.
[01:47:52.861 --> 01:47:59.524]  I do suggest that if you're looking for something to help you get through the winter and maintain your health as best as possible.
[01:47:59.524 --> 01:47:59.844]  And of course,
[01:48:00.811 --> 01:48:05.038]  Christmas is coming up and there are presents for everyone, even people that hate InfoWars.
[01:48:05.038 --> 01:48:07.482]  They'll love our presents and they don't have to know where you got it.
[01:48:08.621 --> 01:48:11.863]  They don't have to know where that amazing air filter came from.
[01:48:11.863 --> 01:48:12.824]  You don't have to tell them.
[01:48:12.824 --> 01:48:32.397]  Or you can tell them, and let them know, hey, these guys that you think are crazy conspiracy theorists, that you think are hateful bigots that are on Eurotola and stuff, hey, it turns out they're just really into health and human activity and helping people to live their best lives and to be safe and free and independent in an increasingly slavish world.
[01:48:33.277 --> 01:48:35.238]  So InfoWarsStore.com is how we do all of this.
[01:48:35.238 --> 01:48:37.680]  And we're going to circle back like I said we were.
[01:48:37.680 --> 01:48:53.611]  We're going to, as we've meandered on through the stolen election, to the violence being perpetrated, to the big tech censoring that violence, to big tech being in bed with the Chinese communists, to, it turns out, everybody's in bed with the Chinese communists with this incredible leak.
[01:48:53.611 --> 01:48:54.911]  The story from NationalFile.com.
[01:49:04.479 --> 01:49:07.482]  Literally everywhere.
[01:49:07.482 --> 01:49:12.909]  Invading every aspect of our government and our corporate structure.
[01:49:12.909 --> 01:49:20.639]  And of course this has gone on unopposed because the people that run things are globalists and they frankly don't care which country is giving them money as long as it's lining their pockets.
[01:49:22.082 --> 01:49:22.863]  Exclusive U.S.
[01:49:22.863 --> 01:49:26.925]  Treasury breached by hackers backed by foreign government sources.
[01:49:26.925 --> 01:49:30.347]  A sophisticated hacking group backed by a foreign government stole information from the U.S.
[01:49:30.347 --> 01:49:31.688]  Treasury Department and a U.S.
[01:49:31.688 --> 01:49:37.592]  agency responsible for deciding policy around the Internet and telecommunications, according to people familiar with this matter.
[01:49:37.592 --> 01:49:42.415]  That is all the information we have out of Reuters from a hack that occurred today.
[01:49:42.415 --> 01:49:44.577]  They don't tell us which foreign government it is, but let's
[01:49:45.057 --> 01:49:47.580]  Let's put all the pieces together, shall we, and speculate.
[01:49:47.580 --> 01:49:49.582]  Eh, it's probably the Communist Chinese.
[01:49:49.582 --> 01:49:51.144]  Probably the Communist Chinese.
[01:49:51.144 --> 01:49:51.925]  Probably not Russia.
[01:49:51.925 --> 01:49:54.608]  I'm going to come out and say, probably not Russia.
[01:49:54.608 --> 01:49:55.589]  Okay?
[01:49:55.589 --> 01:50:00.454]  And this is a lesson that we've had to learn over and over again for the last four years.
[01:50:00.454 --> 01:50:01.575]  But lo and behold...
[01:50:02.645 --> 01:50:07.967]  Yet another confirmation of what we here at InfoWars have been talking about forever.
[01:50:07.967 --> 01:50:12.048]  Hunter Biden, President-elect's son, says federal prosecutors probing his taxes.
[01:50:12.048 --> 01:50:19.170]  I want to take a moment to really reflect on this headline and its subtitle.
[01:50:19.170 --> 01:50:20.090]  Here's the headline.
[01:50:20.090 --> 01:50:26.072]  Hunter Biden, the President-elect's son, says federal prosecutors are probing his taxes.
[01:50:26.072 --> 01:50:26.852]  Here's the subtext.
[01:50:27.779 --> 01:50:39.190]  The probe was revealed weeks after an election in which President Donald Trump and his allies made unfounded and baseless claims of corruption regarding Hunter Biden and his father.
[01:50:39.190 --> 01:50:48.919]  So, if you're a normal person and you can read these two headlines and not have an aneurysm just from sheer cognitive dissidence,
[01:50:49.915 --> 01:50:55.218]  I'm not sure my explanation will do any more to further your ability to think critically.
[01:50:55.218 --> 01:50:59.000]  Because this is so obvious, it should be like a slap in the face.
[01:50:59.000 --> 01:50:59.760]  Right?
[01:50:59.760 --> 01:51:04.743]  Oh, he is under investigation, but the claims he was under investigation were unfounded.
[01:51:04.743 --> 01:51:07.084]  That's literally what they're telling you.
[01:51:07.084 --> 01:51:12.207]  You have to be dumb as a brick to actually believe this.
[01:51:12.207 --> 01:51:16.850]  To actually absorb this level of hypocrisy, this level of just blatant
[01:51:18.146 --> 01:51:24.351]  Obfuscation and not have some part of your brain set off an alarm that goes, hey, they're lying to you.
[01:51:24.351 --> 01:51:25.613]  Hey, they're full of crap.
[01:51:25.613 --> 01:51:30.397]  Hey, take everything they say with a grain of salt because they clearly are hiding something from you.
[01:51:30.397 --> 01:51:32.659]  It's just incredible, isn't it?
[01:51:32.659 --> 01:51:36.142]  Hunter Biden says federal prosecutors are probing his taxes.
[01:51:36.142 --> 01:51:41.606]  This comes weeks after an election where Trump and his allies made unfounded and baseless claims of corruption.
[01:51:42.501 --> 01:51:48.688]  Unfounded and baseless claims that turned out to be well-founded and have a rock-solid base.
[01:51:50.441 --> 01:51:51.362]  Incredible.
[01:51:51.362 --> 01:51:56.405]  Hunter Biden, President-elect Joe Biden's son, said Wednesday federal officials in Delaware are investigating his taxes.
[01:51:56.405 --> 01:52:02.249]  This news came weeks after an election campaign in which President Donald Trump and his allies made unfounded, baseless claims of corruption.
[01:52:02.249 --> 01:52:03.810]  They just repeated it over and over.
[01:52:03.810 --> 01:52:13.476]  They also alleged that Hunter Biden used his father's influence to enrich himself through business deals in Ukraine and China, and that his father not only facilitated that, but may have benefited financially.
[01:52:13.476 --> 01:52:15.398]  Trump provided no evidence of this claim.
[01:52:15.398 --> 01:52:17.539]  Like, this is the type of crap they say.
[01:52:17.539 --> 01:52:20.141]  Trump provided no evidence for their claims.
[01:52:21.381 --> 01:52:27.703]  So, I mean, they expect you to believe that Trump just made something up out of thin air, and this is what they always do.
[01:52:27.703 --> 01:52:30.443]  They're always just like, God, no evidence, no foundation.
[01:52:30.443 --> 01:52:31.444]  They're just making it up.
[01:52:31.444 --> 01:52:34.204]  It's like, we don't just sit here and make things up.
[01:52:34.204 --> 01:52:35.265]  How dumb would that be?
[01:52:35.265 --> 01:52:41.426]  To sit here and go, gosh, let's say, I don't know, let's say Hunter Biden, internationals.
[01:52:41.426 --> 01:52:41.786]  I don't know.
[01:52:41.786 --> 01:52:44.187]  Let's just like throw something out there and let's just like lie about it.
[01:52:45.347 --> 01:52:46.449]  We don't do that.
[01:52:46.449 --> 01:52:48.052]  We just don't do that.
[01:52:48.052 --> 01:52:56.967]  What we had was the New York Post receiving a laptop that showed incontrovertible proof that this is what was happening and then we reported on that.
[01:52:58.558 --> 01:53:04.382]  But according to the NBC paper here, Trump provided no evidence, no evidence for the claim.
[01:53:04.382 --> 01:53:07.724]  Well, he and his family remained under ethical scrutiny.
[01:53:07.724 --> 01:53:11.907]  Yeah, they've been under scrutiny the entire time they've been in office and even beforehand.
[01:53:11.907 --> 01:53:20.353]  And absolutely nothing has come of it because they're not crooked in the way that Biden and his family certainly are.
[01:53:20.353 --> 01:53:25.156]  Let's do some little little couple little comparisons on this story, shall we?
[01:53:25.156 --> 01:53:27.818]  Just in case, again, like the liberals, your
[01:53:28.679 --> 01:53:29.829]  Memory is that of a goldfish.
[01:53:31.069 --> 01:53:31.689]  from Sam Stein.
[01:54:02.010 --> 01:54:05.973]  They'll take something that you have evidence for, and they'll say it's baseless and you have no evidence.
[01:54:05.973 --> 01:54:13.659]  You can publish that evidence in a major newspaper, in fact the oldest newspaper in existence in America, and they'll censor that.
[01:54:13.659 --> 01:54:14.499]  They'll delete that.
[01:54:14.499 --> 01:54:21.204]  Facebook literally came out and said, we have no information to counter this claim, but we're going to censor it anyway.
[01:54:21.204 --> 01:54:25.387]  Out of an overabundance of caution, we're going to go ahead and censor our political enemies.
[01:54:25.387 --> 01:54:26.188]  It's for your safety.
[01:54:26.188 --> 01:54:28.890]  Trust us.
[01:54:28.890 --> 01:54:29.511]  Truly incredible.
[01:54:30.410 --> 01:54:31.591]  Went largely unnoticed.
[01:54:31.591 --> 01:54:37.936]  So they'll censor that information, and then later when they're forced to admit it, they'll go, oh, it went largely unnoticed.
[01:54:37.936 --> 01:54:41.399]  It went largely unnoticed, yeah, yeah.
[01:54:41.399 --> 01:54:45.562]  Yeah, the corpse you buried in the woods, it went largely unnoticed.
[01:54:45.562 --> 01:54:48.784]  The trash you swept under the rug went largely unnoticed.
[01:54:48.784 --> 01:54:53.528]  No, you hid it from us, you absolute scoundrels.
[01:54:53.528 --> 01:54:57.131]  Hunter Biden's story is Russian, this is so... Now let's look at political.
[01:54:57.131 --> 01:54:59.112]  Let's look at one particular outlet, shall we?
[01:54:59.909 --> 01:55:05.792]  Here's the story recently, Hunter Biden's story, or no, this is the old one, I have these out of order, but it's fine, it works either way.
[01:55:05.792 --> 01:55:06.633]  Here's the old story.
[01:55:06.633 --> 01:55:11.175]  Hunter Biden's story is Russian disinfo, dozens of former intel officials say.
[01:55:11.175 --> 01:55:20.721]  So this is when it came out, they censored it, they tried to say it was unsubstantiated, baseless, and then they went a step farther and said, no, actually it's Russian disinformation.
[01:55:20.721 --> 01:55:22.622]  That's right, that's how dumb they think you are.
[01:55:22.622 --> 01:55:27.045]  Hunter Biden's story is Russian disinfo, dozens of former intel officials say.
[01:55:27.967 --> 01:55:29.128]  Cut to... Oh dear!
[01:55:29.128 --> 01:55:30.550]  I mean, I mean, do you think...
[01:55:43.058 --> 01:55:44.619]  They believe this?
[01:55:44.619 --> 01:55:46.341]  Please tell me you don't think they believe this.
[01:55:46.341 --> 01:55:55.748]  Please tell me you don't think that the people running our major institutions and our major media outlets are this dumb, because they're not this dumb.
[01:55:55.748 --> 01:55:57.850]  They are this duplicitous.
[01:55:57.850 --> 01:56:00.272]  They are liars.
[01:56:00.272 --> 01:56:01.453]  So there you go.
[01:56:01.453 --> 01:56:05.816]  DOJ probe into Hunter Biden reportedly extends beyond Burisma to some other stuff.
[01:56:05.816 --> 01:56:10.060]  Hunter Biden requests keys for his new office mates, Joe Biden and a Chinese emissary.
[01:56:13.910 --> 01:56:21.273]  Hunter Biden emails reportedly named Kamala Harris, others as key contracts for joint venture with China Energy Company.
[01:56:21.273 --> 01:56:27.316]  And of course, Joe Biden's brother under federal investigation for role in bankrupt healthcare firm.
[01:56:27.316 --> 01:56:33.519]  So basically everybody in Joe Biden's family, Joe Biden's running mate and Joe Biden himself are all implicated in this.
[01:56:33.519 --> 01:56:38.822]  And it would have made a major difference if it had come out before the election in November.
[01:56:38.822 --> 01:56:40.343]  Big tech did everything it could.
[01:56:41.581 --> 01:56:43.362]  Completely suppressed this story.
[01:56:43.362 --> 01:56:48.746]  Now luckily we had the champions, the Republican Party.
[01:56:48.746 --> 01:56:51.768]  They came out and they said, we don't like this.
[01:56:53.442 --> 01:56:54.463]  And that was it.
[01:56:54.463 --> 01:56:55.104]  And that was it.
[01:56:55.104 --> 01:56:56.425]  That was all they did.
[01:56:56.425 --> 01:56:57.486]  That's what happened.
[01:56:57.486 --> 01:57:00.328]  The story continued to be shadow banned.
[01:57:00.328 --> 01:57:02.891]  The New York Post continued to be banned outright.
[01:57:02.891 --> 01:57:05.073]  The story continued to be swept under the rug.
[01:57:05.073 --> 01:57:16.764]  And now that they've successfully captured the American election in their own estimation, they've successfully captured the American election, now they can come out and say, gosh, if only we'd known about this beforehand.
[01:57:17.384 --> 01:57:34.550]  The level of lies, level of cognitive dissonance, level of just absolute BS that we're being fed day after day, it makes a hell of a lot of sense that every one of our institutions is currently under occupation by two million highly motivated Chinese communists, doesn't it?
[01:57:34.550 --> 01:57:36.131]  Really incredible stuff, folks.
[01:57:36.131 --> 01:57:40.552]  The Sunday night election countdown starts in just one minute.
[01:57:40.552 --> 01:57:42.193]  Signing off, this is Harrison Smith.
[01:57:42.193 --> 01:57:44.814]  Tom Papert takes over for me on the other side, folks.
[01:57:44.814 --> 01:57:45.914]  Thanks for joining us.
[01:57:48.021 --> 01:57:59.046]  The project for world government developed by the British Empire via Cecil Rhodes, then picked up by the Rockefeller family and the major robber barons of the planet by the 1920s, is all about corporate global governance.
[01:57:59.046 --> 01:58:00.647]  And now you're seeing it.
[01:58:00.647 --> 01:58:08.871]  It's not just the blue states, the blue cities, the communists and socialists, nations all working in unison under UN control to establish a medical planetary dictatorship.
[01:58:09.571 --> 01:58:17.173]  At the core of it is the Fortune 100 corporations, themselves funded by a handful of private central banking families.
[01:58:17.173 --> 01:58:20.074]  The Rothschilds, the Rockefellers, the Dutch and British Royalty.
[01:58:20.074 --> 01:58:21.855]  They hit the very heart of that.
[01:58:21.855 --> 01:58:26.176]  Then you learn the Dutch and British Royalty aren't even Dutch or British at the same time.
[01:58:26.176 --> 01:58:32.398]  But they go back to the literal Count Dracula and the wars in between Christendom and Islam.
[01:58:33.418 --> 01:58:36.982]  Those that don't know history really are doomed to repeat it.
[01:58:36.982 --> 01:58:39.064]  They're involved imploding the world economy.
[01:58:39.064 --> 01:58:41.387]  That's what the social distancing, the masks are all about.
[01:58:41.387 --> 01:58:43.849]  It's about bankrupting local small businesses.
[01:58:43.849 --> 01:58:46.532]  And those that comply are complying with your own destruction.
[01:58:46.532 --> 01:58:46.893]  Wake up!
[01:58:52.973 --> 01:58:55.975]  It's been said that you should strike while the iron is hot.
[01:58:55.975 --> 01:58:58.676]  Well, InfoWars is white hot right now.
[01:58:58.676 --> 01:59:04.179]  World government, globalist forces trying to take over the United States is mainstream news.
[01:59:04.179 --> 01:59:06.880]  And InfoWars credibility has gone through the roof.
[01:59:06.880 --> 01:59:12.123]  That's why now is the time to contact local radio, TV, and cable stations.
[01:59:12.123 --> 01:59:13.744]  If you don't have an affiliate in your area already,
[01:59:14.264 --> 01:59:23.069]  And to send them to InfoWars.com forward slash affiliates and say, pick up Alex Jones, pick up Owen Schroeder, pick up David Knight, pick up our other great programs.
[01:59:23.069 --> 01:59:24.389]  They're free to air.
[01:59:24.389 --> 01:59:28.191]  If you're on TV or you're on cable, you can cover up all the commercials for yourself.
[01:59:28.191 --> 01:59:29.292]  No contracts needed.
[01:59:29.292 --> 01:59:31.273]  This is your authorization stations.
[01:59:31.273 --> 01:59:33.254]  Pick up the InfoWars feed right now.
