[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[34:03.000 --> 34:16.000]  Any time that you can reduce the exposure risk of people going into the environment and being exposed to new novel diseases, you decrease the risk that that that pandemic or that initial outbreak will occur.
[34:16.000 --> 34:21.000]  So I thought that was exciting, is neat. They were looking for a senior scientist and dad in technology.
[34:21.000 --> 34:25.000]  So they wanted somebody who had modeling and simulation skills.
[34:25.000 --> 34:32.000]  So that was, you know, that was one skill set that I had. Machine learning or also artificial intelligence.
[34:32.000 --> 34:35.000]  That was back in 2014 or 15. That was a hot growing field.
[34:35.000 --> 34:41.000]  I'd been working in that. We were just coming off using Markov chain models, which was the latest, hottest thing.
[34:41.000 --> 34:44.000]  And they also wanted someone who was an epidemiologist, had some lab skills.
[34:44.000 --> 34:49.000]  I mean, they wanted basically their ask was for an impossible person or position that I fit.
[34:49.000 --> 34:54.000]  I fit it exactly. So I was flown out to Equal Alliance.
[34:54.000 --> 34:58.000]  I interviewed and I was offered the position within just a matter of a couple of days.
[34:58.000 --> 35:03.000]  This all went very quickly. And this is now we're in the fall of 2014.
[35:03.000 --> 35:13.000]  So September ish. And so I moved to New York City from New Mexico and I begin the job and I quickly learned that things are not quite like I was led to believe.
[35:13.000 --> 35:23.000]  So Equal Alliance is is doing some defense work in the department that I'm taking over has a failing defense contract.
[35:23.000 --> 35:28.000]  My predecessor left for similar reasons that I left to his name's Dr. Nico Preston.
[35:28.000 --> 35:34.000]  And we can get back to that in a little bit. But so I begin working, I begin turning the department around.
[35:34.000 --> 35:39.000]  I'm successful at that. I bring in an additional four and a half million dollars within my first year.
[35:39.000 --> 35:42.000]  And to put that in perspective, so I'm in my early 30s at this point.
[35:42.000 --> 35:52.000]  And I've already brought in six million dollars of money to a grungy, granola granola type research organization, which is which is huge.
[35:52.000 --> 36:00.000]  I'm able to transform the office in terms of technology. So new office equipment, new computers, new systems, new cloud computing, all these things.
[36:00.000 --> 36:05.000]  I dramatically increased the size of my staff. Plus, the work that I'm doing is high impact.
[36:06.000 --> 36:13.000]  So at that point, I was developing signals intelligence platforms or bio, which is also known by bio surveillance.
[36:13.000 --> 36:21.000]  So the idea is that how do we detect emerging infectious diseases like a diagram just put up the second that a person gets sick or an animal gets sick?
[36:21.000 --> 36:26.000]  How can you detect that? So we actually use digital disease detection methods.
[36:26.000 --> 36:31.000]  So you can take a lab sample, for example, from an animal and then put it into a computer.
[36:31.000 --> 36:34.000]  And when that information is transmitted, it now becomes a digital signal.
[36:34.000 --> 36:41.000]  So I developed methods to actually detect all these digital signals to make for public health intelligence purposes.
[36:41.000 --> 36:51.000]  And a lot of this stuff was highly predictive. My one feather in my cap was that I predicted the spread of the Zika virus globally.
[36:51.000 --> 36:56.000]  A priority meeting before it happened. And I was so confident how well my model performed.
[36:56.000 --> 37:00.000]  Actually, we had this published in The New York Times and one of the few scientists ever do it.
[37:00.000 --> 37:06.000]  And really, it's just by using good data and good models and methods and sticking to it.
[37:06.000 --> 37:11.000]  But that aside, because of all the success, I'm promoted to vice president.
[37:11.000 --> 37:14.000]  Equal Alliance, I want to promote it to the vice president.
[37:14.000 --> 37:21.000]  I asked to be added to the predict program, which was a large.
[37:21.000 --> 37:29.000]  Multi, I'd say, multi center, multi company project between UC Davis, Metabiota and Metabiota has been the news with the links to the Ukraine labs.
[37:29.000 --> 37:36.000]  And Hunter Binder, Hunter Biden's investment into those companies and my organization, Eco Alliance.
[37:36.000 --> 37:46.000]  And what we were actually doing is we were going around the planet hunting for Corona viruses and a few other types of viruses, but mainly Corona viruses.
[37:46.000 --> 37:54.000]  And then telling everyone or community to everyone that through this process, we were going to predict and prevent pandemics.
[37:54.000 --> 38:00.000]  And then also develop medical countermeasures measures or vaccines based on this work.
[38:00.000 --> 38:08.000]  Well, the program manual for predict, if we get back to screenshot my hands, probably three or four inches thick.
[38:08.000 --> 38:17.000]  It's a big, thick manual. If you actually go read through all the scientific work that's going on because it's in 30 countries, thousands of projects, multiple people involved.
[38:17.000 --> 38:19.000]  And it's very scientifically dense and broad.
[38:19.000 --> 38:25.000]  So after I'm promoted, I take it upon myself to actually take the time to read all these documents and I get into it.
[38:25.000 --> 38:31.000]  And then I realize I'm like, holy crap, this predict program, it can't do what it's saying.
[38:31.000 --> 38:38.000]  They weren't collecting the right types of data. They weren't collecting the right types of samples at the right sample frequency.
[38:38.000 --> 38:46.000]  The sample sizes were too small. And then when I'm assigned as a country coordinator to both Sudan and Jordan, I receive my budget.
[38:46.000 --> 38:51.000]  This is all heavily also heavily tied to the State Department and the diplomatic missions in each state.
[38:51.000 --> 38:55.000]  Like, wow, this is what they're asking us to do is just not scientifically not possible.
[38:55.000 --> 39:01.000]  So then I started naturally asking the question, you know, what is this in the back of my mind?
[39:01.000 --> 39:07.000]  But all of this is going on at Equal Alliance. I mean, there's a lot of strange things that sort of happen when I start working with Equal Alliance.
[39:07.000 --> 39:16.000]  So one, my boss, Dr. Peter Dasta, comes to me and he asked me to build a collaborator report.
