[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[31:12.000 --> 31:24.000]  So here I am telling people super-silver whitening toothpaste is by far the best toothpaste I've ever tried and I'm 45 years old and I've tried a lot of different toothpaste and it's fluoride free.
[31:24.000 --> 31:36.000]  I think the big difference, the game changer in this is the coral calcium because after I brush my teeth with this, they feel so clean and the toothpaste that I don't even like rinse out my mouth after I brush my teeth with this.
[31:36.000 --> 31:58.000]  It feels so good. It feels like good things are happening in my mouth. In fact, I find myself brushing my teeth three to four times a day rather than just twice a day now because I like the way it feels.
[32:06.000 --> 32:20.000]  As the answer, and we've got massive, huge censorship taking place, it's coordinated by big tech and banks against people that promote America and guns and freedom and Jesus and the family and the protection of the unborn.
[32:20.000 --> 32:30.000]  Wow. Yes, now we know we're right. The New World Order is real, Satanism is real, the pedophile leader real, but we're real as well and we love God and we're standing up and saying no.
[32:30.000 --> 32:38.000]  But I just want to make the point here, one month into 2020, that we have never been in Kansas. We have never been in some small, ill place that didn't matter.
[32:38.000 --> 32:45.000]  Everything we do, every decision we make governs the future of our species and everything we've gone through and everything we're going to go through.
[32:45.000 --> 32:57.000]  So it's an incredible time to be alive and I want to thank you all for being aware and being involved, but just remember, your action now via prayer, word of mouth and financial support of M4Shore.com is critical.
[32:57.000 --> 33:01.000]  So please take action.
[33:01.000 --> 33:09.000]  You're listening to the Alex Jones show.
[33:09.000 --> 33:32.000]  The Alex Jones show because there is a war on for your mind. All right, I want to get serious here and open the phones up and cover all the news and get into what's happening in Iowa and Democrats fight President Trump's anti human trafficking efforts.
[33:32.000 --> 33:46.000]  I'm not kidding. That is all coming up. I want to open the phones at 877789 Alex for first time callers again on any subject, any topic you want to discuss.
[33:46.000 --> 34:01.000]  Absolutely free fall free fall of your phone calls free for all 8777892539877789 Alex here on this live Tuesday transmission.
[34:01.000 --> 34:07.000]  But getting back to Hollywood.
[34:07.000 --> 34:16.000]  It really is ridiculous that we were caught by it like mods to flame but if you go back to the 20s.
[34:16.000 --> 34:38.000]  All they have a silent movies and then the talkies got developed and set up and then you had radio that proliferated and then by the 19 late 1940s TV began to become popular and it expanded and it was this box in our home.
[34:38.000 --> 34:47.000]  And now we don't eat around the table and talk about what happened in town or what happened at work or what happened at church or what happened in the backyard or talk about grandma.
[34:47.000 --> 34:50.000]  We talk about what's on that box.
[34:50.000 --> 35:03.000]  And at first it's putting out trusted messages and loving messages and, you know, nice things to get our trust like a worm on a hook looks delicious to a bass or a perch or a croppy or a catfish.
[35:03.000 --> 35:08.000]  Or some other little form of swimming creature.
[35:08.000 --> 35:12.000]  But once they get us on the hook we find out it's cold steel.
[35:12.000 --> 35:14.000]  It is a cultural takeover.
[35:14.000 --> 35:21.000]  And so yes our grandparents our parents to a certain extent some of them got mesmerized by it.
[35:21.000 --> 35:27.000]  But young people know that big deal you're on TV big deal you're on a screen that doesn't make you special.
[35:27.000 --> 35:30.000]  Exactly it isn't special.
[35:30.000 --> 35:39.000]  Yes that person is saving people from a burning house or shooting intruders or climbing a mountain or the breaking record at the Olympics.
[35:39.000 --> 35:52.000]  Yes that human endeavor of crossing a threshold of landing on the moon of going deeper than anyone ever has in a submarine that is documented and that is important.
[35:52.000 --> 35:59.000]  But not just because it's on a screen but because it happened.
[35:59.000 --> 36:07.000]  I believe Hollywood is the most effective and disastrous propaganda factory that has ever been the history of human beings.
[36:07.000 --> 36:10.000]  That's absolutely true.
[36:10.000 --> 36:15.000]  So it has taken our families away from us.
[36:15.000 --> 36:23.000]  It has taken our culture it has taken our soul it has taken the outdoors away it has taken even when I was a young person.
[36:23.000 --> 36:31.000]  Maybe somebody watched TV a couple times a week or you watch the news but man you were in the backyard cooking almost every night or you were over the neighbor's house cooking.
[36:31.000 --> 36:32.000]  You were playing pool.
[36:32.000 --> 36:34.000]  You were arm wrestling.
[36:34.000 --> 36:36.000]  You were playing board games.
[36:36.000 --> 36:49.000]  You were playing baseball or football touch football until 10 at night and I'd show up bloody and you know dirty and my dad say it's 10 o'clock.
[36:49.000 --> 37:00.000]  Get your butt in there and take a shower and go to bed but he'd give me a high five and laugh at me and sometimes we'd get back up and be playing baseball at 6 a.m. on the backyard throwing baseballs at each other.
[37:00.000 --> 37:08.000]  That was normal and man when I laid down I was exhausted.
[37:08.000 --> 37:13.000]  You drive around these neighborhoods there's almost nothing going on maybe a bike here a kid there.
[37:13.000 --> 37:21.000]  You kids run around with some Nerf guns or something thank God but you don't see it going on.
[37:21.000 --> 37:28.000]  When I was a kid everybody was out at night going to this person's house going to that person's house going to church.
[37:28.000 --> 37:35.000]  Where did all that go let's bring that back and whoever can bring that back.
[37:35.000 --> 37:43.000]  He's going to save the species and they're not just going to do that they're going to make a ton of money because everybody's into money.
[37:43.000 --> 37:53.000]  Well let me tell you going back to retro which isn't retro it's just human activity that is going to be the complete future getting off the phones getting out of the system getting out in rural areas getting out in the woods.
[37:53.000 --> 37:59.000]  That's where everything is.
[37:59.000 --> 38:01.000]  Why do we admire the military.
[38:01.000 --> 38:08.000]  Well it's the warrior class and they're out there on the cutting edge sometimes the mission is bad sometimes the war is illegal.
[38:08.000 --> 38:16.000]  The point is though that they're real people on the edge of things and all of us need to be real people on the edge of things.
[38:16.000 --> 38:22.000]  But the edge of things is making sure our children don't take fentanyl and die.
[38:22.000 --> 38:36.000]  Being involved being informed being interfaced not where oh I got to take care of my kids I want to go watch Netflix taking care of your children is going to empower you making them dinner going for a nighttime bike ride or hike.
[38:36.000 --> 38:46.000]  That's going to empower you and your children not going in together and watching Netflix and I'm not judging people if you know last night.
[38:46.000 --> 38:54.000]  My youngest daughter is almost three she won't go to sleep and I said well you know what let's watch some TV.
[38:54.000 --> 39:00.000]  So I said she's in her own room now so you don't go to your room you can stay with mommy and daddy tonight sleep with us in the bed.
[39:00.000 --> 39:07.000]  And we turned on it like nine at night World War two in color two hours later to live my wife's like you got to let her go to sleep.
[39:07.000 --> 39:11.000]  She was sitting there watching it like this.
[39:11.000 --> 39:21.000]  Now no one would think a three year old would want to watch that but no that's my daughter she wants to watch it but she knew it was real she was really interested.
[39:21.000 --> 39:26.000]  She was I like those mean tractors she thought tanks were.
[39:26.000 --> 39:31.000]  She's kind of a tomboy she likes things like that but I'm not going to digress about this all day.
[39:31.000 --> 39:34.000]  It's just that reality.
[39:34.000 --> 39:43.000]  She's a baby but she knew that's reality something happened she saw Hitler on the screen was like and went to Churchill she kind of sat up like who's that.
[39:43.000 --> 39:50.000]  I mean she knows archetypally that's an important person that's a bad person that's an interesting person.
[39:50.000 --> 39:54.000]  And.
[39:54.000 --> 39:58.000]  It's the reality we need to show people.
[39:58.000 --> 40:05.000]  If it's reality on the screen it's good does he call it reality TV when it's the fakest thing out there.
[40:05.000 --> 40:18.000]  Watch the battle of Britain like we did last night the second hour we watched that was real and that was empowering and she got like there's men in planes they're fighting there's a she got it because she already had all the art types.
[40:18.000 --> 40:24.000]  I'm going to stop babbling here and just get to this clip but it's true.
[40:24.000 --> 40:33.000]  The age of celebrity is dead ding dong the which is dead the which which which the which show which ding dong the wicked which is dead.
[40:33.000 --> 40:35.000]  This is a good thing.
[40:35.000 --> 40:45.000]  Now that said I'm not going to spend a lot of time on this but everybody saw this Trump event in San Francisco I guess drag queens for.
[40:45.000 --> 40:50.000]  Trump and I got to say these drag queens actually look like women and we're dressed nicely.
[40:50.000 --> 41:00.000]  The Democrat drag queens like giant obese fat men in clown outfits going after children in San Francisco though you've got a I guess a group for Trump.
[41:00.000 --> 41:16.000]  And the left to see this and become totally unhinged and then there is a probably a woman biologically but actual bat child people wonder since the 80s where the bat child was the bat child has been discovered and it's totally triggered.
[41:16.000 --> 41:22.000]  I guess by gay dudes that support Trump so let's roll that audio here it is.
[41:46.000 --> 41:56.000]  Well you can clap I promise you.
[41:56.000 --> 42:08.000]  Because it doesn't compute because they're the liberal trendies and the religion is if you're gay you're God well here's gay dudes who let their makeup on better than her and she doesn't know what to do.
[42:08.000 --> 42:20.000]  You're not cute you're fat and you're fat.
[42:20.000 --> 42:24.000]  Is that Rachel Maddow without the wig?
[42:24.000 --> 42:28.000]  Is that Anderson Cougar without his toupee?
