[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[00:25:39.224 --> 00:25:39.965]  That's going to brush you off.
[00:25:39.965 --> 00:25:40.945]  We're going to go to break.
[00:25:40.945 --> 00:25:41.946]  No, I know you're going to do something.
[00:25:41.946 --> 00:25:43.847]  We've got to stay on air now more than ever.
[00:25:43.847 --> 00:25:46.429]  I'd hope Trump could win and we could hopefully turn the tide back quicker.
[00:25:46.429 --> 00:25:48.951]  But you know, Revelation, you know what's going to happen.
[00:25:48.951 --> 00:25:51.833]  But we've got to build and be faithful and wake up as many as possible.
[00:25:51.833 --> 00:26:01.719]  And it'll get so bad that even those that are delusional in the end will wake up when they're being forced to be euthanized, when their children are being taken, when half their neighbors are dead from the vaccine.
[00:26:01.719 --> 00:26:05.342]  And they'll just finally go, oh, what's... And by then it'll be drone armies, robots.
[00:26:06.162 --> 00:26:09.865]  Nerve gas, helicopters flying over, nerve gassing everybody, because they've got a mop-up plan.
[00:26:09.865 --> 00:26:16.871]  So they're going to hit us with different waves of bio-attack over the years, locking us down tighter each time.
[00:26:16.871 --> 00:26:26.018]  And then, by the time they hit us with the real weapons, we'll be so absolutely outnumbered, outgunned, but it won't matter because humans are very strong when we start to fight back.
[00:26:26.018 --> 00:26:29.421]  And it's just going to be one hell of a savage war, my God, it's just going to be.
[00:26:29.421 --> 00:26:31.403]  Most of the people on Earth will be dead at the end of this, so.
[00:26:31.983 --> 00:26:33.143]  Hope you all enjoy it.
[00:26:33.143 --> 00:26:35.764]  World Government's coming to kill you and your family.
[00:26:35.764 --> 00:26:37.905]  And they are celebrating it with enjoyment.
[00:26:37.905 --> 00:26:43.007]  And all the little yuppies in Austin are dancing in the streets and running around screaming they love Satan.
[00:26:43.007 --> 00:26:43.587]  And they do.
[00:26:43.587 --> 00:26:47.728]  And so their God is going to hurt them so damn bad.
[00:26:47.728 --> 00:26:50.909]  Alright, Paul Joseph Watson's coming up on the other side.
[00:26:50.909 --> 00:26:51.670]  InfoWars.com.
[00:26:51.670 --> 00:26:52.610]  Spread those links.
[00:26:54.414 --> 00:26:54.874]  Warning!
[00:26:54.874 --> 00:26:55.935]  Warning!
[00:26:55.935 --> 00:26:56.796]  Warning!
[00:26:56.796 --> 00:27:12.390]  There is not long to stop the complete martial law takeover, the giant third world collapse, and a new world war that is going to be triggered by the new COVID lockdown announced by globalist systems in Europe, in Asia, and now in the United States.
[00:27:13.351 --> 00:27:28.062]  Joe Biden is set to announce today that he has a new COVID task force that is calling for a national mask mandate to prove your servitude, contact tracing, forced inoculations coming, but most importantly, a new lockdown.
[00:27:28.883 --> 00:27:36.170]  That way he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID.
[00:27:36.170 --> 00:27:42.175]  Then of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it.
[00:27:42.175 --> 00:27:46.339]  And that's when all the mass arrests start sometime towards the end of next year.
[00:27:46.339 --> 00:27:48.921]  This is a permanent martial law plan.
[00:27:48.921 --> 00:27:53.786]  Trump must repudiate it, expose Fauci and Gates and the UN takeover, not play games with it.
[00:27:54.795 --> 00:27:59.259]  Two Info Wars best-selling products are now back in stock for being sold out for months.
[00:27:59.259 --> 00:28:05.425]  BioTree Selenium from the mustard seed, essential in all electrochemical activity of the cells in the body.
[00:28:05.425 --> 00:28:07.286]  That's every human activity.
[00:28:07.286 --> 00:28:11.330]  And on top of it, Body's Ultimate Turmeric Formula with 95% Cuminoid.
[00:28:12.811 --> 00:28:13.391]  We're good to go.
[00:28:33.723 --> 00:28:34.263]  That's right.
[00:28:54.574 --> 00:28:59.978]  For those drinking the globalist Kool-Aid, what I call the Invincibly Ignorant, there is no hope.
[00:28:59.978 --> 00:29:04.241]  But for those of you that care and are informed, we have more than hope.
[00:29:04.241 --> 00:29:08.564]  We have history on our side if we take action and if we spread the truth.
[00:29:08.564 --> 00:29:09.865]  I have been warning everyone.
[00:29:10.465 --> 00:29:13.568]  Of exactly what was going to come in the exact order.
[00:29:13.568 --> 00:29:14.530]  How did I do that?
[00:29:14.530 --> 00:29:20.075]  Because the globalists war game it all in public and prepare the public with brainwashing on MSN.
[00:29:20.075 --> 00:29:25.781]  When they put out the 80 million ballots, we knew it was so they could stuff it after the polls closed.
[00:29:25.781 --> 00:29:30.326]  That's why they got federal courts to rule to keep it open for weeks if need be.
[00:29:30.326 --> 00:29:31.427]  Again, it was so simple.
[00:29:32.088 --> 00:29:36.050]  And of course, you see the media heat up saying Trump did a bad job on COVID.
[00:29:36.050 --> 00:29:44.294]  And that once Biden was, quote, President-elect, he would order Trump to admit that he did a bad job and admit that he needs a second lockdown.
[00:29:44.294 --> 00:29:50.536]  And if he doesn't go under Biden's immediate control and put that lockdown in place, he'll try to remove the President with the 25th Amendment.
[00:29:50.536 --> 00:29:57.340]  And all of that is to trick Trump to take the blame for COVID that's Chinese.
[00:29:57.340 --> 00:29:59.941]  You're listening to The Alex Jones Show.
[00:30:14.460 --> 00:30:35.818]  Well, you've got your diamonds And you've got your pretty clothes And the chauffeur drives your car You let everybody know But don't play with me Cause you're playing with fire
[00:30:40.491 --> 00:30:44.255]  We're about to go to Paul Joseph Watson for the next two segments.
[00:30:44.255 --> 00:30:47.238]  And Roger Stone called me up last night, very excited.
[00:30:47.238 --> 00:30:49.520]  He said Trump still has a path to victory.
[00:30:49.520 --> 00:30:51.022]  Massive fraud is coming out.
[00:30:51.022 --> 00:30:53.464]  The media is trying to cover all that up.
[00:30:53.464 --> 00:30:54.805]  But it's not working.
[00:30:54.805 --> 00:31:00.110]  A criminal investigation has been started by the Attorney General doing his job.
[00:31:00.110 --> 00:31:02.813]  There was a resignation over it, acting like that's a bad thing to do.
[00:31:02.813 --> 00:31:04.395]  Now under law he's charged to do that.
[00:31:05.819 --> 00:31:09.582]  Incredible evidence is just exploding like a volcano erupting.
[00:31:09.582 --> 00:31:11.664]  We'll cover that with Roger Stone next hour.
[00:31:11.664 --> 00:31:15.527]  But I wanted to get the real heart of what's running all this.
[00:31:15.527 --> 00:31:17.449]  Who's in charge of it?
[00:31:17.449 --> 00:31:19.070]  What's really behind the COVID lockdown?
[00:31:19.070 --> 00:31:26.517]  What is the great reset that Gregory's First eight months ago did a video about in March of this year for
[00:31:27.861 --> 00:31:29.441]  Banned on video.
[00:31:29.441 --> 00:31:31.702]  And suddenly, it's in major British newspapers.
[00:31:31.702 --> 00:31:34.822]  They're telling you, oh, this is to lower the carbon footprint.
[00:31:34.822 --> 00:31:39.503]  This is to permanently reset things and forgive your debt.
[00:31:39.503 --> 00:31:42.464]  But you sign on to be a ward of the state and do what they tell you.
[00:31:42.464 --> 00:31:43.724]  This is true slavery.
[00:31:43.724 --> 00:31:48.905]  You know, slaves got their free food, but it wasn't free, was it?
[00:31:48.905 --> 00:31:52.766]  We'll talk to Paul Joseph Watson about the flurry of powerful articles he's been putting out.
[00:31:52.766 --> 00:31:54.827]  Globalist Klaus Schwab.
[00:31:54.827 --> 00:31:56.887]  World will never return to normal after COVID.
[00:31:57.921 --> 00:32:02.404]  Archbishop writes open letter to Trump warning of COVID health dictatorship.
[00:32:02.404 --> 00:32:08.468]  There's a real risk of third world war being unleashed as top UK general over the COVID lockdown.
[00:32:08.468 --> 00:32:15.572]  This is the cover for the world's ruling class and financiers to consolidate power and vertically integrate, that is, consolidate and rob you.
[00:32:15.572 --> 00:32:17.573]  They call it the Great Reset that's coming up in a moment.
[00:32:17.573 --> 00:32:20.035]  That's why it's so important to keep InfoWars on the air.
[00:32:21.511 --> 00:32:25.234]  We're spending a lot of money to fly up to D.C.
[00:32:25.234 --> 00:32:27.015]  in the heart of the enemy's operation.
[00:32:27.015 --> 00:32:29.677]  The mayor said no protest for Trump allowed.
[00:32:29.677 --> 00:32:31.118]  Anyone outside town's not allowed.
[00:32:31.118 --> 00:32:33.020]  COVID-19, total BS.
[00:32:33.020 --> 00:32:34.641]  We're going.
[00:32:34.641 --> 00:32:38.264]  We got a caravan that's going to be in Tallahassee tonight at about 8 with Owen Troyer.
[00:32:38.264 --> 00:32:42.727]  That's where everybody in Florida better be and better drive up that East Coast and stay with us the next few days.
[00:32:42.727 --> 00:32:44.189]  And I'll see you in D.C.
[00:32:44.189 --> 00:32:45.249]  on Friday.
[00:32:45.249 --> 00:32:48.412]  Please, this is the time to be active.
[00:32:48.412 --> 00:32:49.933]  Rallying Point, Tallahassee tonight.
[00:32:49.933 --> 00:32:50.874]  Stop the steel caravan.
[00:32:51.823 --> 00:32:54.270]  That stopped the steel caravan on Parler.
[00:32:54.270 --> 00:32:55.272]  And share it, folks.
[00:32:55.272 --> 00:32:57.057]  This is an information war.
[00:32:57.057 --> 00:32:57.759]  We're fighting back.
[00:32:59.872 --> 00:33:01.413]  But we can't do it without your help and your prayers.
[00:33:01.413 --> 00:33:03.835]  So please, also financially support us.
[00:33:03.835 --> 00:33:05.776]  Infowarsstore.com.
[00:33:05.776 --> 00:33:07.457]  I don't know what to call this new special.
[00:33:07.457 --> 00:33:09.178]  Two months ago I said I think Biden's going to steal it.
[00:33:09.178 --> 00:33:10.419]  Trump's going to win in a landslide.
[00:33:10.419 --> 00:33:11.760]  Better internal numbers than ever.
[00:33:11.760 --> 00:33:13.621]  He won these states bigger than he did before.
[00:33:13.621 --> 00:33:16.023]  Then magically the polls closed and you saw what happened.
[00:33:16.023 --> 00:33:20.086]  So I'm calling it the American Crisis Emergency Lockdown 2 is coming.
[00:33:20.086 --> 00:33:25.189]  Support Infowars, the fight against total economic collapse and Biden's martial law disguised as lockdown 2.
[00:33:25.189 --> 00:33:25.950]  And people are listening.
[00:33:26.590 --> 00:33:36.133]  We have a chance to stop it, and as everybody gets censored off the internet now, and as Fox News turns against America as we knew they would, InfoWars is exploding right now.
[00:33:36.133 --> 00:33:38.454]  But all the new listeners aren't buying anything.
[00:33:38.454 --> 00:33:41.935]  So, it's you, the hardcore listeners, as usual, to keep us on air.
[00:33:43.717 --> 00:33:46.019]  InfoWarsTore.com.
[00:33:46.019 --> 00:33:49.543]  InfoWarsTore.com or 888-253-3139.
[00:33:49.543 --> 00:33:52.747]  Triple Patriot points, free shipping, up to 60% off.
[00:33:52.747 --> 00:33:54.609]  DNA Force Plus, back in stock.
[00:33:54.609 --> 00:33:56.250]  Alpha Power, sold out for a year.
[00:33:56.250 --> 00:33:58.513]  It's the powdered version of Super Bowl Vitality.
[00:33:58.513 --> 00:33:59.234]  Extremely strong.
[00:33:59.234 --> 00:33:59.314]  50% off.
[00:34:00.695 --> 00:34:03.397]  Bodies, ultimate turmeric formula, 50% off, back in stock.
[00:34:03.397 --> 00:34:05.078]  Ultra 12, back in stock.
[00:34:05.078 --> 00:34:05.738]  It's all there.
[00:34:05.738 --> 00:34:09.440]  But a lot of this is selling out, like the vitamin mineral fusion, the fish oil and more.
