[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[00:26:50.301 --> 00:26:53.963]  You'll go, yes, you most certainly did 10 seconds ago.
[00:26:53.963 --> 00:26:54.664]  No, I didn't say that.
[00:26:58.407 --> 00:27:02.169]  That is a tactic that we see more and more in this society.
[00:27:02.169 --> 00:27:12.715]  And I'll say it psychologically, and it's in the psychological research papers that are out there, women do that more often than men, and women are more susceptible to gaslighting.
[00:27:12.715 --> 00:27:16.257]  Women do it more, and they're more susceptible to it.
[00:27:16.257 --> 00:27:19.899]  Now, I'm not knocking women, just in the psychological archetypes, it's well known.
[00:27:21.212 --> 00:27:22.913]  Men are more likely to be psychopaths.
[00:27:22.913 --> 00:27:24.575]  Men are more likely to steal.
[00:27:24.575 --> 00:27:31.500]  Men are more likely to be into weird, deviant, bizarre stuff in the criminology.
[00:27:31.500 --> 00:27:36.524]  I think it's something like 25 to 1 men committing murders to women.
[00:27:36.524 --> 00:27:40.387]  It's almost 100 to 1 men being psychopaths versus women.
[00:27:40.387 --> 00:27:42.328]  So I'm not bashing women.
[00:27:42.328 --> 00:27:48.073]  But women are extremely suggestible and extremely manipulatable.
[00:27:48.894 --> 00:27:50.895]  When they're in an unconscious state.
[00:27:50.895 --> 00:27:53.716]  And the whole culture is about putting people in that state.
[00:27:53.716 --> 00:27:58.299]  So what the Pentagon's doing, going, there's no plan for the military on the streets.
[00:27:58.299 --> 00:28:00.480]  It's crazy and anti-military.
[00:28:00.480 --> 00:28:02.021]  There's no plan to militarize.
[00:28:02.021 --> 00:28:04.282]  There's no plan to take over.
[00:28:04.282 --> 00:28:06.383]  Alex thinks we're taking over this summer.
[00:28:06.383 --> 00:28:08.744]  We're not going to invade and take over the statehouse.
[00:28:10.046 --> 00:28:12.189]  We didn't say you were going to do that.
[00:28:12.189 --> 00:28:20.380]  We said in the John Warner Defense Authorization Act, it talks about putting down rebellions in the states, including governors and legislators.
[00:28:20.380 --> 00:28:20.901]  Look it up!
[00:28:22.483 --> 00:28:28.065]  We said there's a plan for Brigade Homeland to have brigades in every region to suppress the people.
[00:28:28.065 --> 00:28:39.148]  And in all your training manuals that we got and we broke that are now all over the news, from the Washington Post to Fox News, you train to take on your new number one enemy.
[00:28:39.148 --> 00:28:43.129]  And it isn't ISIS, it isn't Iran, it isn't Russia, it isn't China.
[00:28:44.011 --> 00:28:58.165]  It isn't drug lords, it is returning veterans, gun owners, conservatives, libertarians, evangelical Christians, anti-Fellow Reserve activists.
[00:28:58.165 --> 00:29:01.708]  And then you sit there and talk to me like I'm two years old.
[00:29:02.563 --> 00:29:08.545]  And say, Joe Biggs claims he was in the Army and he's on the Alex Jones Show.
[00:29:08.545 --> 00:29:10.925]  That's in the Army Times.
[00:29:10.925 --> 00:29:11.965]  Little stuff like that.
[00:29:11.965 --> 00:29:16.747]  Every line is written to deceive people.
[00:29:16.747 --> 00:29:29.470]  Joe Biggs is a famous soldier because he had Michael Hastings and other people embedded with him in major battles in Iraq and Afghanistan and was just, by the bad luck of it, blown up in armored vehicles twice in front of the media.
[00:29:32.938 --> 00:29:35.440]  And then everybody knows who Joe Biggs is.
[00:29:35.440 --> 00:29:36.702]  You can Google his name.
[00:29:36.702 --> 00:29:40.906]  You can see him in army reports, you know, loading munitions ten years ago.
[00:29:40.906 --> 00:29:44.869]  But they sit there and say, oh, how about this?
[00:29:44.869 --> 00:29:46.891]  How about I claim I'm a radio host too?
[00:29:46.891 --> 00:29:48.533]  How about I claim the world's round?
[00:29:48.533 --> 00:29:49.734]  Your garbage doesn't work on us.
[00:29:49.734 --> 00:29:50.815]  We're on the march.
[00:29:50.815 --> 00:29:53.357]  The empire's on the run.
[00:29:53.357 --> 00:29:56.020]  Alex Jones and the GCN Radio Network.
[00:30:00.276 --> 00:30:01.537]  Another major health threat.
[00:30:01.537 --> 00:30:06.519]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:30:06.519 --> 00:30:09.180]  Ohio's governor declaring a state of emergency.
[00:30:09.180 --> 00:30:16.223]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:30:16.223 --> 00:30:19.204]  If there's a water emergency, will you be prepared?
[00:30:19.204 --> 00:30:22.246]  Panicked residents forming long lines throughout the day.
[00:30:22.246 --> 00:30:24.187]  We're here at a supermarket in Toledo.
[00:30:24.187 --> 00:30:27.008]  You can see the shelves empty where water once was.
[00:30:27.108 --> 00:30:32.831]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:30:32.831 --> 00:30:36.353]  Water which will not be available at your local grocery store.
[00:30:36.353 --> 00:30:39.455]  There's a mad dash on right now to stock up on supplies.
[00:30:39.455 --> 00:30:43.737]  The ProPure Pro1 G2.0 water filtration system is a must-have.
[00:30:43.857 --> 00:30:46.760]  For every modern independently minded household.
[00:30:46.760 --> 00:30:49.984]  Protect your family's safety during an emergency.
[00:30:49.984 --> 00:30:56.971]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 water filtration system or call 1-888-253-3139.
[00:31:00.134 --> 00:31:04.737]  The average person's life is filled with unexpected challenges.
[00:31:04.737 --> 00:31:11.161]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:31:11.161 --> 00:31:20.507]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:31:20.507 --> 00:31:25.350]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:31:30.083 --> 00:31:33.745]  The government's Department of Homeland Security is buying up loads of ammo.
[00:31:33.745 --> 00:31:38.026]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:31:38.026 --> 00:31:39.787]  Can you put two and two together?
[00:31:39.787 --> 00:31:47.650]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:31:47.650 --> 00:31:48.791]  But for how long?
[00:31:48.791 --> 00:31:55.434]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:31:55.434 --> 00:31:58.255]  Infidel Body Armor just won't quit.
[00:31:59.998 --> 00:32:06.103]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:32:06.103 --> 00:32:10.706]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:32:10.706 --> 00:32:18.412]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:32:18.652 --> 00:32:24.177]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:32:24.177 --> 00:32:30.123]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:32:30.123 --> 00:32:35.087]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:32:35.087 --> 00:32:38.671]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:32:38.991 --> 00:32:45.616]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:32:45.616 --> 00:32:50.759]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:32:50.759 --> 00:32:54.502]  Now available in our limited first run at Infowarslife.com.
[00:32:54.502 --> 00:32:56.403]  That's Infowarslife.com or call 888-253-3139.
[00:33:17.612 --> 00:33:22.653]  Rallying patriots worldwide in defense of human liberty.
[00:33:22.653 --> 00:33:31.856]  It's Alex Jones.
[00:33:31.856 --> 00:33:37.437]  You're listening to the Alex Jones Show.
[00:33:37.437 --> 00:33:41.558]  I'm your host Alex Jones, dedicated American to our constitutional republic.
[00:33:42.893 --> 00:33:45.135]  Here is the headlines that are coming up.
[00:33:45.135 --> 00:33:50.700]  Conspiracy groups question USA South Com Mission in Texas.
[00:33:50.700 --> 00:33:55.664]  And boy, you talk about a disinfo piece, it's much worse than Stars and Stripes the day before.
[00:33:55.664 --> 00:34:02.711]  There are more than, let's not exaggerate, 20 major publications right now attacking us just on this front with disinformation.
[00:34:03.894 --> 00:34:04.134]  I think?
[00:34:25.799 --> 00:34:27.080]  Then, U.N.
[00:34:27.080 --> 00:34:31.461]  warns world could have 40% water shortfall by 2030.
[00:34:31.461 --> 00:34:34.142]  That's their new fear-mongering.
[00:34:34.142 --> 00:34:35.363]  But they don't discuss this.
[00:34:35.363 --> 00:34:37.384]  Another month of record cold.
[00:34:37.384 --> 00:34:43.266]  But reasons to be optimistic as more snowstorms hit from Chicago to New York.
[00:34:43.266 --> 00:34:44.787]  Our laws, not Sharia.
[00:34:44.787 --> 00:34:49.789]  Female mayor tells unhappy Muslims respect them, obey them, embrace them.
[00:34:49.789 --> 00:34:52.510]  The city's Muslim activists weren't happy.
[00:34:52.510 --> 00:34:55.051]  We've got video of that coming up in the next hour.
[00:34:55.939 --> 00:35:08.189]  And again, I'm not Islamophobic, but I am against radical Islam, and I don't like foreigners coming here and telling me, a libertarian constitutionalist, a real liberal, in the Thomas Jefferson vein, how to live.
[00:35:08.189 --> 00:35:11.272]  I'm tolerant, but you do not tell me how to live.
[00:35:12.219 --> 00:35:15.003]  And they got mad and said they want Sharia law.
[00:35:15.003 --> 00:35:17.287]  So see, this is smart of the City Council.
[00:35:17.287 --> 00:35:20.932]  They're showing, no, this isn't made up that people want Sharia law.
[00:35:20.932 --> 00:35:24.958]  There's really a push and people setting up their own courts.
[00:35:24.958 --> 00:35:28.002]  And you know, I'm sorry, my daughters aren't going to wear hoods on their heads.
[00:35:28.903 --> 00:35:44.018]  And, uh, I'm gonna do whatever I want, and nobody, not the government, or some islamicist, or some politically correct, see I don't like politically correct either, with their own kin pecking, you know, religion of talk like we talk, do what we do.
[00:35:44.018 --> 00:35:44.919]  No!
[00:35:44.919 --> 00:35:45.559]  No!
[00:35:45.559 --> 00:35:47.081]  I am not your slave!
[00:35:47.081 --> 00:35:48.622]  You do not control my mind!
[00:35:48.622 --> 00:35:49.964]  Got it?
[00:35:49.964 --> 00:35:51.025]  I'm an American!
[00:35:51.025 --> 00:35:51.825]  I'm into freedom!
[00:35:52.734 --> 00:35:59.220]  I'm into private property and my family and prosperity and 700 horsepower cars.
[00:35:59.220 --> 00:36:00.201]  That's what I'm into.
[00:36:00.201 --> 00:36:00.862]  Freedom!
[00:36:00.862 --> 00:36:03.304]  The Second Amendment, not being a slave.
[00:36:03.304 --> 00:36:04.946]  Excuse me, I'm ranting.
[00:36:04.946 --> 00:36:07.128]  I'm just getting sick of it.
[00:36:07.128 --> 00:36:11.392]  And this huge article I mentioned, robots replace almost half of jobs over the next 20 years.
[00:36:14.983 --> 00:36:18.945]  Former head of Apple comes out and says the future of AI is scary and very bad for people.
[00:36:18.945 --> 00:36:19.865]  That all ties together.
[00:36:19.865 --> 00:36:24.467]  12,000 more illegal kids already over the border in the last month.
[00:36:24.467 --> 00:36:26.728]  Apple soon to be a $1 trillion company.
[00:36:26.728 --> 00:36:28.369]  Report Israel spied on Iran.
[00:36:28.369 --> 00:36:29.710]  Nuke negotiations.
[00:36:30.430 --> 00:36:34.153]  Monsanto hit with fine for genetically contaminating wheat supply.
[00:36:34.153 --> 00:36:37.215]  Rand Paul, I'm the only Republican that beats Hillary Clinton.
