[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[00:26:22.339 --> 00:26:34.625]  I'm usually the skeptical one because I don't want to overstate a position and not only disappoint my supporters but I don't want to fool myself either.
[00:26:34.685 --> 00:26:40.987]  I'm rather conservative in my estimates but each day we go on I'm feeling better about it.
[00:26:42.945 --> 00:26:44.207]  I mean, you know this better than I do.
[00:26:44.227 --> 00:26:47.990]  You've lived longer, and you've seen a lot more than I have, but I've learned this in life.
[00:26:48.030 --> 00:26:50.073]  If you don't get in the game, you have no chance of winning.
[00:26:50.573 --> 00:26:56.419]  And you're in the game, you're suited up, and you've got the tools, and you're the man for the job, and so we've got to support you.
[00:26:56.439 --> 00:26:56.879]  That's right.
[00:26:56.919 --> 00:26:58.441]  Some people say, well, why do this?
[00:26:58.661 --> 00:27:01.324]  And they'll point out all the negatives, but you're right.
[00:27:02.144 --> 00:27:05.986]  If you don't do it, you know absolutely what the outcome is going to be.
[00:27:07.206 --> 00:27:09.467]  You make the point that time is running out.
[00:27:09.527 --> 00:27:14.049]  I talk about the financial situation that that's running out.
[00:27:14.309 --> 00:27:17.971]  We may lose our liberties to the point where we won't have these responses.
[00:27:18.311 --> 00:27:22.453]  There's nothing that guarantees that they'll allow you to have your radio show forever.
[00:27:24.206 --> 00:27:27.309]  Already trampled on our rights there.
[00:27:27.389 --> 00:27:32.373]  They talk about putting people in prison today without habeas corpus.
[00:27:32.413 --> 00:27:41.260]  Congressman, I've had probably four or five national TV hosts and radio hosts call for my imprisonment, call us all traitors if we question the war.
[00:27:41.280 --> 00:27:43.422]  I mean, this is getting scary.
[00:27:43.702 --> 00:27:45.124]  No, that is true.
[00:27:46.104 --> 00:27:47.766]  If we don't preserve our fundamental
[00:27:48.426 --> 00:27:50.648]  Freedom, we can't fight back.
[00:27:50.828 --> 00:27:54.791]  People say, well, you know, what you're saying is that the country's like it's bankrupt.
[00:27:55.092 --> 00:27:57.774]  And, you know, in many ways, that's the case.
[00:27:58.054 --> 00:28:03.518]  But I'm convinced that one thing, you know, we could all be poor tomorrow, very, very poor and start from scratch.
[00:28:03.538 --> 00:28:13.666]  But if we have our freedoms and we have our sound currency and we have the government off our back, this country would rebound so quickly and we would regain the jobs.
[00:28:13.706 --> 00:28:15.988]  You know, we would have our manufacturing base back.
[00:28:16.088 --> 00:28:16.989]  All these things would happen.
[00:28:17.589 --> 00:28:26.996]  I am absolutely positive on how freedom works, and I don't worry about us getting poor, even if it's just temporary, because I believe we would be very productive once again.
[00:28:27.036 --> 00:28:32.040]  Congressman Ron Paul, that is one of the questions I had for you, because I make the observation
[00:28:33.300 --> 00:28:51.171]  That the Federal Reserve debt that we have, most of it is based in fraud and you and others have a plan to basically discharge that during the depression that they would engineer to further consolidate control as they've done in 1933 and in other cases globally with the IMF and World Bank documents that came out via Joseph Stiglitz, their chief economist.
[00:28:51.631 --> 00:28:52.352]  A few years ago.
[00:28:52.992 --> 00:29:02.861]  And so if the people are aware of who is behind this financial implosion, this may be what catapults the Constitutionalists, you know, back into control of the nation to turn loose the people.
[00:29:03.321 --> 00:29:08.786]  And so it's one thing for them to claim ownership of us, it's another thing for them to actually execute that ownership.
[00:29:09.226 --> 00:29:13.470]  Right, and the laws of economics are much more powerful than the laws of government.
[00:29:13.530 --> 00:29:16.793]  I know how powerful the Fed is, and the government is, and the IRS is.
[00:29:17.393 --> 00:29:21.458]  But ultimately, the laws of economics prevail, no matter what they do.
[00:29:21.858 --> 00:29:26.764]  You recall, in the old days, they said, we will keep the dollar strong.
[00:29:26.824 --> 00:29:30.648]  This dollar is worth $35 to an ounce, and we'll do that.
[00:29:30.768 --> 00:29:33.591]  And yet, eventually, the laws of economics broke that down.
[00:29:33.651 --> 00:29:37.796]  It broke loose, and we had that horrendous inflation and recession of the 1970s.
[00:29:38.697 --> 00:29:39.697]  The same thing's happening now.
[00:29:39.757 --> 00:29:45.079]  We're moving into recession at the same time the inflation is coming back and yet they don't do anything in Washington.
[00:29:45.099 --> 00:29:46.659]  They keep spending and keep printing.
[00:29:46.859 --> 00:29:50.520]  Let's expand on that on the other side and take your calls with Congressman Ron Paul.
[00:29:52.760 --> 00:29:53.661]  We're on the march.
[00:29:54.121 --> 00:29:55.741]  The empire's on the run.
[00:29:56.661 --> 00:29:59.322]  Alex Jones and the GCN Radio Network.
[00:30:02.512 --> 00:30:05.213]  Do you owe back taxes to the IRS or to the state?
[00:30:05.753 --> 00:30:07.133]  You are not alone.
[00:30:07.693 --> 00:30:11.354]  Nationwide tax relief is here, and we can get you a fresh start.
[00:30:11.914 --> 00:30:16.875]  I'm Richard Boggs, founder and CEO of one of the largest tax resolution firms in the country.
[00:30:17.455 --> 00:30:27.397]  If you're suffering from wage garnishments, bank levies, an audit, or unfiled tax returns, my staff of expert tax attorneys will step in, step up, and settle your tax debt.
[00:30:27.917 --> 00:30:33.499]  Do not fall for the scams that promise everyone some fast, pennies-on-the-dollar compromise.
[00:30:33.979 --> 00:30:39.461]  If you owe more than $20,000 in any IRS or state taxes, you've got a serious tax problem.
[00:30:39.842 --> 00:30:40.842]  So get serious.
[00:30:41.122 --> 00:30:42.483]  Call Nationwide Tax Relief.
[00:30:42.883 --> 00:30:44.803]  We're honest and we'll treat you like family.
[00:30:45.143 --> 00:30:48.485]  Call us for your free, confidential consultation.
[00:30:48.985 --> 00:30:50.285]  Again, you're not alone.
[00:30:50.606 --> 00:30:51.726]  You've got Nationwide.
[00:30:52.106 --> 00:30:55.148]  Call Nationwide Tax Relief today at 1-800-958-2677.
[00:30:56.469 --> 00:31:01.152]  That's 1-800-958-2677.
[00:31:01.892 --> 00:31:05.514]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:31:05.754 --> 00:31:06.655]  Look no further!
[00:31:06.915 --> 00:31:09.477]  Northern Voice Bookstore has everything you need.
[00:31:09.917 --> 00:31:18.342]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:31:18.562 --> 00:31:31.016]  You can order everything you need on the web 24 hours a day at NorthernVoiceBookstore.com or send $2 for our latest catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood PA 15091.
[00:31:31.296 --> 00:31:35.981]  Northern Voice Bookstore offers a broad range of different perspectives
[00:31:36.161 --> 00:31:42.707]  And believe strongly that the American people need alternative sources of information in order to understand the society they live in today.
[00:31:42.907 --> 00:31:45.950]  You won't find a better selection of books or videos anywhere.
[00:31:46.150 --> 00:31:48.993]  So make Northern Voice Bookstore your bookstore.
[00:31:49.273 --> 00:31:56.440]  Visit us online at northernvoicebookstore.com or send two dollars for our latest catalog to Northern Voice Bookstore P.O.
[00:31:56.540 --> 00:31:57.361]  Box 281 Wildwood PA 15091.
[00:32:03.470 --> 00:32:07.592]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[00:32:07.832 --> 00:32:09.593]  Well, the glass has a natural resonance.
[00:32:09.853 --> 00:32:16.136]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[00:32:16.436 --> 00:32:22.559]  Using a similar principle, Royal Raymond Wright discovered that disease organisms can be destroyed using different resonant frequencies.
[00:32:22.799 --> 00:32:28.822]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions
[00:32:29.102 --> 00:32:35.526]  With no side effects, the 2006 Biosolutions Plus is the easiest to operate frequency instrument ever developed.
[00:32:35.666 --> 00:32:39.208]  It's easy reference guide will allow you to begin using the instrument within minutes.
[00:32:39.508 --> 00:32:43.211]  Simple step-by-step instructions using pictures are easy to follow.
[00:32:43.411 --> 00:32:45.932]  Customer satisfaction is guaranteed or your money back.
[00:32:46.072 --> 00:32:47.133]  Don't just treat symptoms.
[00:32:47.413 --> 00:32:48.974]  This is the end Beautiful friend
[00:33:17.339 --> 00:33:18.270]  This is the end.
[00:33:32.370 --> 00:33:51.421]  You know, we've got a five-minute clip, and we're not going to play very much of it, but about two minutes into it, this is a few weeks ago, and then he did it a few months before that, Congressman Ron Paul confronting the new Fed Chairman on the fact that the Federal Reserve is completely non-transparent and secretive.
[00:33:51.581 --> 00:33:54.283]  In fact, John, I forgot to ask you, do you have that queued up to about two minutes in?
[00:33:55.224 --> 00:33:59.086]  Let's go ahead and roll about 30 seconds of that, and we'll go back to the Congressman and get his response to it.
[00:33:59.907 --> 00:34:09.752]  With other central banks, we get less and less information regarding the money supply each year, especially now that we don't even have access to M3 statistics.
[00:34:10.272 --> 00:34:17.836]  The role the Fed plays in the President's secretive working group on financial markets goes essentially unnoticed by Congress.
[00:34:18.416 --> 00:34:29.182]  The Federal Reserve shows no willingness to inform Congress voluntarily about how often the working group meets, what action it takes that affects the financial markets, or why it takes these actions.
[00:34:29.722 --> 00:34:35.404]  But all these actions directed by the Federal Reserve alter the purchasing power of our money.
[00:34:36.164 --> 00:34:38.224]  And that purchasing power is always reduced.
[00:34:38.685 --> 00:34:43.926]  The dollar today is worth only four cents compared to the dollar that the Federal Reserve started with in 1913.
[00:34:44.466 --> 00:34:50.668]  This has significant consequences on our economy and our political stability.
[00:34:51.625 --> 00:35:02.082]  All paper currencies are vulnerable to collapse, and history is replete with examples of great suffering caused by these collapses, especially to the nation's poor and the middle class.
[00:35:02.671 --> 00:35:08.715]  This can lead to political... Now, rather than continuing the whole clip, Congressman, can you give us your take on Bernanke's response?
[00:35:09.476 --> 00:35:11.337]  And, you know, you talk about four cents.
[00:35:11.938 --> 00:35:17.021]  That number that I've got is from a couple years ago, before they really made the money supply secretive.
[00:35:17.402 --> 00:35:23.486]  And a lot of the experts I've talked to say it could be devalued down to a cent and a half right now, or I guess there's really no way of knowing?
[00:35:24.324 --> 00:35:26.626]  No, it's hard, and there'll be different statistics.
[00:35:26.826 --> 00:35:30.748]  We know that it's steady and it's always going down.
