[00:00:00.349 --> 00:00:01.370]  I'm great.
[00:27:41.703 --> 00:27:50.366]  And you've got multinational corporations backed up by the big private central banks that control our central banks that literally issue the credit and literally print the money.
[00:27:50.406 --> 00:27:51.126]  You understand that?
[00:27:51.426 --> 00:27:52.526]  This is not free market.
[00:27:52.686 --> 00:27:57.548]  This is big private banks that paid off our politicians and took over our issuance of money.
[00:27:57.808 --> 00:28:06.370]  They then use the money they can create, unlimited, to go out and fund business operations to simply destroy their competition.
[00:28:07.057 --> 00:28:08.918]  It's like what Clear Channel does in radio.
[00:28:09.238 --> 00:28:11.720]  How they were able to buy, I don't know, 1600 radio stations.
[00:28:12.000 --> 00:28:15.422]  They'd go into mid-sized towns and cities, and they admitted this.
[00:28:16.063 --> 00:28:29.051]  And they would, for a year, two years, three years, whatever it took, sell locals, local businesses, local dealerships, local restaurants, ads at sometimes $1 a piece.
[00:28:32.483 --> 00:28:38.285]  Now, the other radio station had to charge $20, $25, $30, $40 a piece just to stay open.
[00:28:39.645 --> 00:28:48.488]  Well, after a year or two, they all went under and went dark, turned off, and then Clear Channel didn't even have to buy them out.
[00:28:49.468 --> 00:28:50.308]  And then what do you get?
[00:28:50.548 --> 00:28:52.249]  You lost that local radio station.
[00:28:52.916 --> 00:28:58.518]  And now Clear Channel can charge you a hundred bucks in ad when you weren't paying twenty bucks in ad to that mom and pop.
[00:28:58.959 --> 00:29:07.802]  So you thought you were getting a real good deal up front early on, but you weren't getting a real good deal, were you?
[00:29:09.443 --> 00:29:11.023]  And it's like everything else they do.
[00:29:13.484 --> 00:29:19.387]  I mean, listen, when I go to the grocery store, my wife goes to the grocery store, there may be some pears or some oranges or
[00:29:20.117 --> 00:29:21.918]  Or some kind of squash we want.
[00:29:22.358 --> 00:29:25.999]  But if it doesn't say made in America, we don't get it.
[00:29:27.760 --> 00:29:28.580]  Grown in America.
[00:29:28.900 --> 00:29:34.122]  Now I buy a lot of foreign batteries and appliances, because you can't find them that are American made.
[00:29:34.342 --> 00:29:35.262]  It's almost impossible.
[00:29:35.762 --> 00:29:47.066]  But when it comes to food, did you know 2006 was the first year, I remember seeing this number last year, that that was going to be the year it flipped over.
[00:29:47.446 --> 00:29:49.527]  Then I was reminded listening to Derry Brownfield this morning.
[00:29:51.500 --> 00:30:00.085]  And I tuned in and they were talking about how this is the first year that we import more food than we export.
[00:30:00.105 --> 00:30:03.606]  It's shameful!
[00:30:04.267 --> 00:30:07.268]  The breadbasket of the world could feed the whole world!
[00:30:11.330 --> 00:30:12.311]  And they did this to us.
[00:30:13.758 --> 00:30:18.381]  Alright, I got a bunch of news, tons of clips, big guests coming up in the second hour.
[00:30:19.081 --> 00:30:21.963]  I'm Alex Jones, your host, and I'm honored to be your host.
[00:30:22.343 --> 00:30:23.563]  Thank you for tuning in.
[00:30:26.625 --> 00:30:29.627]  We're on the march, the empire's on the run.
[00:30:30.527 --> 00:30:33.229]  Alex Jones and the GCN Radio Network.
[00:30:36.181 --> 00:30:38.924]  Are you concerned about the high cost of prescription drugs?
[00:30:39.265 --> 00:30:45.753]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:30:45.793 --> 00:30:47.775]  That's over 46% savings!
[00:30:48.135 --> 00:30:50.418]  The average savings for generic drugs was over 71%.
[00:30:52.180 --> 00:31:00.687]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[00:31:00.907 --> 00:31:04.290]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[00:31:04.490 --> 00:31:09.274]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S.
[00:31:09.314 --> 00:31:13.377]  participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[00:31:13.718 --> 00:31:18.221]  With RxDrugCard.com, you will save immediately with no messy forms or paperwork.
[00:31:18.521 --> 00:31:20.523]  Membership fees start at only $4.50 per month.
[00:31:21.664 --> 00:31:22.285]  I think so.
[00:31:36.030 --> 00:31:37.611]  The statistics are heart-wrenching.
[00:31:37.931 --> 00:31:46.534]  According to the CWC, of the 43 million people who have served in the major wars, from the Revolutionary War to the Gulf War, 3 million never made it home alive.
[00:31:46.874 --> 00:31:52.636]  Most likely, each one of us can say we either knew someone who served, or know a brave soul who is currently serving our country.
[00:31:53.017 --> 00:32:00.459]  Now there is a unique way to pay tribute to the courageous men and women who spend their lives protecting our freedom, and to those who have lost their lives doing so.
[00:32:00.780 --> 00:32:01.780]  Davis Products is offering
[00:32:01.820 --> 00:32:02.220]  We're good to go.
[00:32:20.206 --> 00:32:25.170]  Davis Products Memorial Markers are only nine dollars a piece and can be ordered by calling 814-827-4946.
[00:32:25.510 --> 00:32:28.072]  That's 814-827-4946.
[00:32:28.212 --> 00:32:32.715]  Or visit Davis-Products.com.
[00:32:32.895 --> 00:32:35.137]  That's Davis-Products.com.
[00:32:35.978 --> 00:32:38.359]  Attention, attention everyone!
[00:32:38.440 --> 00:32:40.901]  A brand new invention just released.
[00:32:40.981 --> 00:32:45.685]  It's called Wrist Ease, the new patented portable ergonomic wrist support.
[00:32:46.326 --> 00:32:53.151]  Wristease comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse or adding machine.
[00:32:53.692 --> 00:33:06.561]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, Wristease is totally portable and ideal for laptop users and technicians who are constantly on the go.
[00:33:07.022 --> 00:33:11.004]  Wristease is perfect for children doing homework or playing video games.
[00:33:11.465 --> 00:33:15.448]  Wristease provides the proper comfort and support for all ages and
[00:33:16.008 --> 00:33:21.534]  Wristease provides comfort for victims of carpal tunnel syndrome and other repetitive injuries.
[00:33:21.915 --> 00:33:24.918]  You can order Wristease now at Wristease.com.
[00:33:25.318 --> 00:33:26.540]  That's Wristease.
[00:33:26.980 --> 00:33:31.926]  W-R-I-S-T-E-A-S-E Wristease.com.
[00:33:32.086 --> 00:33:34.709]  Once again, Wristease.com.
[00:34:01.596 --> 00:34:02.256]  Welcome back!
[00:34:02.316 --> 00:34:08.080]  Coming up in the next hour, we've got Robert Wattada, father of
[00:34:30.026 --> 00:34:33.568]  Lieutenant Watada, who's being court-martialed for refusing to be part of the criminal war.
[00:34:33.588 --> 00:34:46.497]  You know, for all you good old boys who think it's manly to go over there and kill some Arabs, some Persians, though you have trouble geographically finding a region with your, uh, with your ignorance.
[00:34:47.967 --> 00:34:56.530]  The very people running this war, the very people that have got our boys and now our girls, although they're dying, are the ones dismantling our border.
[00:34:56.950 --> 00:34:58.750]  Can you not compute that?
[00:34:59.110 --> 00:35:03.832]  This is a war for global corporations to seize oil and for weapons sales.
[00:35:05.212 --> 00:35:10.774]  This has nothing to do with our security and sovereignty.
[00:35:10.814 --> 00:35:17.536]  In fact, the Pentagon is quite cavalier about that fact in the P2OG memorandums and funding operation.
[00:35:18.377 --> 00:35:22.540]  It's covered by AP, UPI, Toronto Star, London Guardian.
[00:35:22.940 --> 00:35:34.947]  They say that the invasion will actually stimulate attacks and increase the number of, quote, terrorists, which is good because then that allows a spreading, widening conflict.
[00:35:37.169 --> 00:35:42.672]  And when this has come out on talk radio, the neocons go, we'll see, we're smoking out the terrorists!
[00:35:43.873 --> 00:35:47.735]  That's like somebody shooting your mother in the head to make you become a terrorist.
[00:35:49.059 --> 00:35:56.323]  It isn't good to go out and hurt people so that they will then come back and fight you, and then you call them terrorists.
[00:35:56.583 --> 00:35:57.083]  No, no, no, no.
[00:35:57.103 --> 00:35:59.344]  This is meant to make a new enemy!
[00:35:59.624 --> 00:36:00.745]  Like the Soviets!
[00:36:00.805 --> 00:36:16.893]  Our government, publicly, along with the British government, funded Lenin and Trotsky and their $25 million dollar train of gold when they were about to collapse right before the October Revolution, when the white Russians were kicking their behinds.
[00:36:18.664 --> 00:36:35.600]  The British funded that thing with New York money to bring down an empire, and then they put those thugs in there as oligarchs to feed on the people the whole time, telling them, oh, we're taking your farms, and we're taking your lands, and we're taking your companies, we're taking everything you've got for the people!
[00:36:35.700 --> 00:36:36.521]  Ha ha ha!
[00:36:36.781 --> 00:36:37.882]  Hey, tell them another one!
[00:36:37.962 --> 00:36:38.943]  Ha ha ha!
[00:36:39.103 --> 00:36:41.746]  I mean, you know, this is how they operate!
[00:36:44.913 --> 00:36:51.458]  They will work with anybody, communist, fascist, they don't care, as long as it's centralized.
[00:36:52.578 --> 00:36:55.901]  And the Council on Foreign Relations publication admits that every few months.
[00:36:56.521 --> 00:37:01.965]  Foreign Affairs, David Rockefeller's written this, many others have written this.
[00:37:03.086 --> 00:37:04.066]  Carol Quigley.
[00:37:05.047 --> 00:37:06.088]  I'm not going to lie to you.
[00:37:07.148 --> 00:37:14.790]  It's a, depending on which version of it it is, it's between 990-something pages and 1100-something pages long.
[00:37:15.531 --> 00:37:20.712]  And I probably read 400 pages, some of the key chapters, because I was given a footnoted copy.
[00:37:21.373 --> 00:37:29.115]  I guess that would have been 1996, when it finally went back into print, of Tragedy and Hope by Quigley.
[00:37:29.835 --> 00:37:31.296]  So I didn't read the 1100 pages.
[00:37:35.553 --> 00:37:37.473]  But I did read about half of it.
[00:37:37.854 --> 00:37:40.014]  I remember I read large portions.
[00:37:41.934 --> 00:37:43.895]  And you ought to go read it.
[00:37:43.915 --> 00:37:45.655]  I ought to sell that book.
[00:37:45.675 --> 00:37:46.475]  That's a good idea.
[00:37:47.195 --> 00:37:48.195]  It's expensive, though.
[00:37:49.276 --> 00:37:50.336]  And it's huge.
[00:37:50.896 --> 00:37:51.716]  It's like a Bible.
[00:37:52.396 --> 00:37:55.957]  And man, this guy worked for the New World Order.
[00:37:55.997 --> 00:38:02.058]  He was the head of the political science at Georgetown, one of the most elite universities in the country, for politics.
[00:38:03.613 --> 00:38:13.419]  And he said, I was allowed into the secret records of the New World Order, because I've been a member, but I was allowed to study their long-term strategic 100-plus year plan.
[00:38:14.220 --> 00:38:18.323]  And we fund communists and fascists, and we're here to bring in one world government.
[00:38:19.103 --> 00:38:22.065]  And we're here to totally enslave the people, because that's what's best for them.
[00:38:22.926 --> 00:38:25.787]  And we'll just type in Carol Quigley quotes.
[00:38:25.807 --> 00:38:27.649]  You can read his quotes all over the web for free.
[00:38:27.689 --> 00:38:29.630]  But don't believe it when you read it on the web.
[00:38:30.544 --> 00:38:32.185]  Though the quotes I've all seen are accurate.
[00:38:32.606 --> 00:38:34.887]  I want you to trot on down to the library.
[00:38:34.907 --> 00:38:41.012]  And I want you to go in there, and I want you to open up the page numbers it says, and I want you to read him saying it.
[00:38:41.812 --> 00:38:51.039]  Like when I say that, on page 400-something, David Rockefeller, three years ago, wrote that, yeah, he's bringing in world government, destroying America, and so what?
[00:38:51.139 --> 00:38:51.859]  He's proud of it.
[00:38:53.240 --> 00:38:55.722]  I want you to go actually read the book.
[00:38:58.437 --> 00:39:00.739]  I tell you, I'm chilled to my bones right now.
[00:39:01.780 --> 00:39:03.322]  Tomorrow we'll be playing some clips of this.
[00:39:03.342 --> 00:39:17.456]  Aaron Russo, an interview I did with him this weekend, amazing individual, really respect him, went totally further than he's ever gone with his meetings with Nick Rockefeller, who was a close family friend.
