[00:00:00.109 --> 00:00:04.853]  Kidding, talk radio.
[00:25:09.221 --> 00:25:15.384]  They said such statistics are important to gauge the impact of laws and enforcement policy to see who's on drugs.
[00:25:15.404 --> 00:25:15.924]  What's happening?
[00:25:16.624 --> 00:25:21.848]  Their questions began over the summer and will continue at other locations around the nation through November, they said.
[00:25:23.770 --> 00:25:24.871]  And they say, what's the big deal?
[00:25:24.931 --> 00:25:31.476]  We've been doing this to thousands of people, said John Lacey of the Alcohol Policy and Safety Research Center.
[00:25:32.317 --> 00:25:35.479]  And it goes on, the families begged to leave and were told they weren't allowed to go.
[00:25:35.499 --> 00:25:40.843]  And so they repeatedly asked if they could leave.
[00:25:40.863 --> 00:25:44.046]  The law enforcement official said he was not
[00:25:44.835 --> 00:25:47.797]  Interested in leaving, but was told he could not leave.
[00:25:50.619 --> 00:25:55.162]  It's just going to get worse and worse and wait until it's foreigners that are all the cops.
[00:25:55.562 --> 00:25:57.803]  And the troops are already a huge portion of them.
[00:25:57.843 --> 00:25:59.504]  A huge percentage is already foreigners.
[00:26:00.405 --> 00:26:02.086]  It's going to be biblical, man.
[00:26:02.706 --> 00:26:03.327]  Biblical.
[00:26:04.628 --> 00:26:05.268]  Oh, man.
[00:26:05.388 --> 00:26:06.669]  You talk about being slaves.
[00:26:06.689 --> 00:26:08.050]  I mean, I laugh about it because
[00:26:10.015 --> 00:26:11.356]  It's all so over the top.
[00:26:11.396 --> 00:26:14.457]  By the way, I have four or five articles along these lines today.
[00:26:15.117 --> 00:26:16.818]  Don't have time to cover them all, I'm sorry.
[00:26:17.238 --> 00:26:18.219]  I'm just going to cover one.
[00:26:21.740 --> 00:26:27.082]  But you can type vaccine reaction, vaccine death into Google every day and read hundreds of mainstream articles if you'd like.
[00:26:27.102 --> 00:26:28.863]  But it never gets on the big nightly news.
[00:26:28.903 --> 00:26:32.925]  It's kind of back burner and maybe 5% of people actually read news on the web.
[00:26:32.945 --> 00:26:38.307]  I think what they say, like 14% of Americans read one book a year or something.
[00:26:39.306 --> 00:26:40.547]  And the rest don't even read books.
[00:26:40.627 --> 00:26:41.887]  So, you know, it doesn't exist.
[00:26:41.927 --> 00:26:42.787]  Just take the injections.
[00:26:43.808 --> 00:26:48.169]  Pneumonia, vaccine, spurs, superbug, infecting children.
[00:26:48.450 --> 00:26:51.351]  Kind of like the swine flu killed tens of thousands.
[00:26:52.031 --> 00:26:53.511]  That vaccine, but that was kept quiet.
[00:26:53.531 --> 00:26:54.592]  Nah, just enjoyed.
[00:26:55.852 --> 00:26:57.373]  Chicago Associated Press.
[00:26:57.873 --> 00:27:00.414]  A vaccine that has dramatically curbed pneumonia.
[00:27:00.454 --> 00:27:01.214]  See, it's good.
[00:27:01.975 --> 00:27:03.375]  And other serious illnesses.
[00:27:03.435 --> 00:27:07.897]  Really, I just happened to see a statistic a few months ago that pneumonia is at all-time levels in the U.S.
[00:27:09.116 --> 00:27:12.138]  And people are getting all sorts of strange pneumonia, it's almost killing them.
[00:27:12.158 --> 00:27:16.060]  One of the people that works in this office, dad almost died from a super pneumonia.
[00:27:16.460 --> 00:27:18.121]  And they're saying it's these drug related ones.
[00:27:19.722 --> 00:27:23.144]  No statistics, no facts, they just say pneumonia's down.
[00:27:25.425 --> 00:27:27.206]  No, actually it's increasing.
[00:27:28.991 --> 00:27:38.136]  A vaccine that has dramatically curbed pneumonia and other serious illnesses in children is also having an unfortunate effect, promoting new superbugs that cause ear infections.
[00:27:38.496 --> 00:27:40.397]  But don't worry, they have an injection for that.
[00:27:41.137 --> 00:27:47.180]  On Monday, doctors reported discovering the first such germ that is resistant to all drugs approved to treat children and ear infections.
[00:27:47.681 --> 00:27:53.223]  Nine toddlers in Rochester, New York have had the bug, and researchers say it may be turning up elsewhere, too.
[00:27:53.364 --> 00:27:54.104]  I'll give me a break.
[00:27:54.804 --> 00:28:01.287]  It is a strain of strep bacteria not included in the pneumonicological vaccine.
[00:28:04.108 --> 00:28:12.011]  And it's Reece Prevnar, which came on the market in 2000, is recommended for children under age two.
[00:28:12.111 --> 00:28:15.492]  Doctors say parents should continue to have their toddlers get the shots.
[00:28:15.792 --> 00:28:16.912]  Doesn't tell you what doctors.
[00:28:16.932 --> 00:28:19.093]  It just says doctors, you know, from the drug companies.
[00:28:19.533 --> 00:28:22.475]  And the vaccine prevents serious illnesses and even saves lives.
[00:28:22.735 --> 00:28:23.215]  But the new
[00:28:24.651 --> 00:28:30.936]  Resistance scrub is a worry, and it goes on to say that, yeah, the vaccine caused it, but that's okay.
[00:28:30.976 --> 00:28:38.022]  And it says antibiotics caused the problem to begin with, but hey, you know, who doesn't like flesh-eating bacteria?
[00:28:41.626 --> 00:28:44.368]  That's nothing, though, to the live virus vaccines.
[00:28:44.928 --> 00:28:49.032]  And I was just walking through the radio station, suddenly, and there was the statesman with a woman that took it and killed her.
[00:28:50.265 --> 00:28:54.826]  It was an Ebola-like death of days of tortured pain as it ate her body.
[00:28:54.846 --> 00:28:58.307]  Autoimmune response.
[00:28:59.527 --> 00:29:02.108]  She took an experimental live virus.
[00:29:02.128 --> 00:29:08.929]  They say the next wave, they say all the vaccines are going to be special live virus shots.
[00:29:09.510 --> 00:29:13.290]  Like the HPV, but they got ads with happy girls jumping around.
[00:29:13.811 --> 00:29:15.491]  It must be good.
[00:29:18.936 --> 00:29:20.757]  I mean, the government wouldn't lie or hurt you.
[00:29:22.939 --> 00:29:25.100]  The government cares about you.
[00:29:26.061 --> 00:29:30.664]  That's why they're hiring Russian mind control experts to help run Homeland Security.
[00:29:30.684 --> 00:29:36.568]  That's why they hired the former head of the Stasi, the East German secret police to help set it up.
[00:29:37.269 --> 00:29:39.891]  Or Primakov, the former head of the KGB.
[00:29:40.892 --> 00:29:45.034]  Because our government is run by really good people.
[00:29:46.155 --> 00:29:48.497]  The same folks that ran the Russian Revolution.
[00:29:52.086 --> 00:29:55.087]  We're on the march, the empire's on the run.
[00:29:56.007 --> 00:29:58.808]  Alex Jones and the GCN Radio Network.
[00:30:01.409 --> 00:30:04.450]  Do you know the secret to reading a thousand percent faster?
[00:30:05.030 --> 00:30:10.392]  That's right, the secret that could allow you to read ten books in the time it takes others to read just one.
[00:30:11.147 --> 00:30:13.888]  Hi, I'm Jeff Flam, founder of Infinite Mind.
[00:30:14.348 --> 00:30:19.170]  I'd like to send you a free demo of this secret, developed by a leading expert in brain function.
[00:30:19.551 --> 00:30:23.472]  Experience with this free demo the secret to reading a thousand percent faster.
[00:30:23.692 --> 00:30:26.073]  Call now to try this demo absolutely free.
[00:30:26.354 --> 00:30:29.555]  Imagine how reading ten times faster could help your entire family.
[00:30:29.815 --> 00:30:36.902]  Kids do better in school, teens can score higher on their college entrance exams, and busy adults can gain that ever-important edge at work.
[00:30:37.243 --> 00:30:41.848]  This free demo of IQ is only available for a limited time, so call now.
[00:30:42.228 --> 00:30:46.953]  Just think how reading 10 times faster could improve your life and the life of your family.
[00:30:47.293 --> 00:30:49.716]  Call now to try this demo absolutely free!
[00:30:49.736 --> 00:30:50.076]  Dial 1-800-990-1878.
[00:30:50.096 --> 00:30:50.436]  That's 1-800-990-1878.
[00:30:50.456 --> 00:30:50.516]  1-800-990-1878.
[00:31:03.084 --> 00:31:11.248]  So you've decided to make the switch to a healthier lifestyle, eating more organic fruits and vegetables, staying away from unhealthy snacking, and cutting out dangerous salts from your diet.
[00:31:11.508 --> 00:31:14.049]  The only problem is, you don't know how to keep it interesting.
[00:31:14.290 --> 00:31:16.891]  We are happy to introduce to you the Excalibur Dehydrator.
[00:31:17.131 --> 00:31:20.213]  The Excalibur Dehydrator will keep healthy eating adventurous and fun.
[00:31:20.333 --> 00:31:25.715]  The Excalibur Dehydrator preserves fruits and vegetables quickly and easily, so you don't have to worry about all that produce spoiling.
[00:31:25.875 --> 00:31:27.136]  The best yogurt is made from home.
[00:31:27.236 --> 00:31:29.197]  So make your own with the Excalibur Dehydrator.
[00:31:29.337 --> 00:31:35.742]  Not only will the Excalibur Dehydrator dry your fish and meats in just a few hours, it helps eliminate preservatives, additives, and excessive salt.
[00:31:35.922 --> 00:31:39.724]  The Excalibur Dehydrator is so amazing you can even use it for home craft projects and more.
[00:31:39.924 --> 00:31:42.506]  Be sure to mention GCN and get a free gift with your purchase.
[00:31:42.686 --> 00:31:46.849]  Go to drying123.com and see what else the Excalibur Dehydrator can do for you.
[00:31:47.169 --> 00:31:49.791]  That's D-R-Y-I-N-G-123.com or call 1-800-875-4254.
[00:31:49.811 --> 00:31:50.111]  That's 1-800-875-4254.
[00:32:00.597 --> 00:32:01.637]  Hey, Jack Blood here.
[00:32:01.878 --> 00:32:07.860]  I think that if we could see the germs and potential biohazards all around us in our daily surroundings, we would turn into Howard Hughes.
[00:32:08.160 --> 00:32:12.381]  We try not to think about it primarily because we might think there's nothing we can do about it.
[00:32:12.681 --> 00:32:13.441]  Not so fast.
[00:32:13.501 --> 00:32:14.782]  Now there is a solution.
[00:32:14.962 --> 00:32:19.844]  I'm talking about Hazurid Complete Protection Kit, available now at Hazurid.com.
[00:32:20.244 --> 00:32:21.064]  This is the single
[00:32:21.084 --> 00:32:28.926]  A solution that is tame enough to safely conquer everyday household and business cleaning chores, yet strong enough to decontaminate biological hazards.
[00:32:29.146 --> 00:32:33.648]  Hazurid fights infectious disease and unsurpassed odor, mold, and allergens.
[00:32:33.728 --> 00:32:38.269]  This is an amazing, state-of-the-art disinfectant with a no-questions-asked guarantee.
[00:32:38.429 --> 00:32:42.330]  Safe for kids and pets, and indispensable for your home, car, or business.
[00:32:42.410 --> 00:32:44.431]  Wherever you go, take Hazurid with you.
[00:32:44.611 --> 00:32:45.792]  Call them now to order 800-675-0323.
[00:32:45.812 --> 00:32:46.132]  That's 800-675-0323.
[00:32:46.172 --> 00:32:47.112]  Or go to the web, www.hazarid.com.
[00:32:47.132 --> 00:32:47.693]  H-A-Z-A-R-I-D, hazarid.com.
[00:32:47.713 --> 00:32:48.553]  Tell them Jack Blood sent you.
[00:32:48.613 --> 00:32:48.993]  By the way,
[00:33:14.657 --> 00:33:22.502]  There are more than 100,000 Amish in Illinois and Ohio alone.
[00:33:23.323 --> 00:33:28.926]  And a few years ago, I had a well-known medical doctor on to go over those public statistics from Chicago.
[00:33:30.867 --> 00:33:32.308]  Was it Dr. Feisenstein?
[00:33:33.269 --> 00:33:37.592]  And did you know there's not one case in those two Amish communities
[00:33:40.439 --> 00:33:44.943]  Of Illinois and Ohio, not one case of autism.
[00:33:46.385 --> 00:33:50.749]  And you know, they have a longer lifespan than the people that live in the cities.
[00:33:51.489 --> 00:33:53.271]  And they have no major medical treatment.
[00:33:55.453 --> 00:33:57.895]  No futuristic, modern treatment.
[00:34:00.017 --> 00:34:06.083]  Doesn't matter though, the CPS nationwide, doesn't matter if it's from Kansas to Connecticut,
[00:34:06.733 --> 00:34:10.316]  They are going after all the Mennonite and Amish communities big time, everywhere.
[00:34:10.857 --> 00:34:18.363]  And that's forced the Amish and the Mennonites now to start going on YouTube, start defending themselves, start buying video cameras.
[00:34:18.703 --> 00:34:25.549]  And I agree, they should detest the video cameras, they should detest computers, they are all very dangerous and have been used for great evil.
[00:34:26.390 --> 00:34:28.431]  But you're going to have to use them or you're going to be destroyed.
[00:34:28.451 --> 00:34:31.614]  You're going to have to fight fire with fire, or it's over for you.
[00:34:32.455 --> 00:34:32.675]  Okay?
[00:34:33.257 --> 00:34:33.857]  It's real simple.
[00:34:34.318 --> 00:34:36.158]  You've got to keep them sequestered and isolated.
[00:34:36.178 --> 00:34:40.200]  I mean, I envy your lifestyle, quite frankly.
[00:34:40.881 --> 00:34:44.142]  But you have to use this stuff to fight the New World Order.
[00:34:45.563 --> 00:34:57.389]  By the way, I love technology, but I understand how it destroys community, how it destroys family, and how it is designed by its architecture, the way it was used to do bad things.
[00:34:58.529 --> 00:35:00.070]  And to see them under attack,
[00:35:01.184 --> 00:35:03.985]  Because they don't want their children to be taught pedophilia in the schools.
[00:35:06.405 --> 00:35:12.226]  As it is taught, I have news articles today, because they don't want their children to be taught how to smoke marijuana and snort cocaine.
