[00:00:04.182 --> 00:00:07.665]  Prepare yourself for a talk radio interview.
[01:27:19.715 --> 01:27:20.895]  You're on the air, go ahead.
[01:27:21.795 --> 01:27:22.975]  Hey Alex, my name's Anson.
[01:27:22.995 --> 01:27:25.756]  I'm calling because I would like to recommend a guest on your show.
[01:27:25.996 --> 01:27:26.876]  Sure, who is it?
[01:27:26.936 --> 01:27:28.536]  His name is Tom Cryer.
[01:27:28.556 --> 01:27:34.098]  I'm not sure if you're familiar with him, but he's a seasoned attorney that's going up against the IRS over the income tax.
[01:27:34.498 --> 01:27:35.738]  Yes, I've heard the name.
[01:27:36.300 --> 01:27:36.960]  Great, great.
[01:27:37.040 --> 01:27:45.144]  Yeah, and I think having him on your show would be a great way to help raise support for Edwin Brown, Aaron Russo, Joe Bannister, you know, the whole tax honesty movement.
[01:27:45.184 --> 01:27:46.384]  We're going to do some shows on that.
[01:27:46.424 --> 01:27:56.089]  You know, tax time is right now, and I'm all for, you know, we need some government, we need some taxation, but the income tax goes right to the private Federal Reserve.
[01:27:56.409 --> 01:27:59.390]  Ronald Reagan had a congressional investigation of that.
[01:28:00.591 --> 01:28:02.692]  It's never been audited, and it is a fraud.
[01:28:02.752 --> 01:28:03.572]  It doesn't run this country.
[01:28:04.238 --> 01:28:04.738]  Definitely.
[01:28:04.798 --> 01:28:05.679]  You're absolutely right.
[01:28:05.719 --> 01:28:12.902]  The Grace Commission said that all the income tax only pays for the interest on a budget deficit.
[01:28:13.003 --> 01:28:19.366]  So, you know, that goes to show that, hey, it doesn't pay for our infrastructure, it doesn't pay for any of the services that we expect from the government.
[01:28:20.947 --> 01:28:22.367]  Hey, I really appreciate your call.
[01:28:24.148 --> 01:28:25.369]  You made a lot of good points there.
[01:28:26.292 --> 01:28:30.134]  You know, for those that don't understand what we're talking about, it's real simple.
[01:28:30.194 --> 01:28:41.019]  Private banks, just a handful of private banks took over our banking system, the government issuance of currency and national debt in 1913.
[01:28:41.419 --> 01:28:53.304]  And so they want to get us into debt, and they issue money, and then the Treasury is ordered to issue it, and then their paid interest for money just would be created before our government just printed the money and issued the coin.
[01:28:54.234 --> 01:29:07.200]  And so, literally, you'd pay all your income tax just to pay the bankers for the privilege of the country having money that's just supposed to be a symbol of wealth and agreed-upon mode of exchange.
[01:29:07.520 --> 01:29:10.641]  So you're not trading two chickens for one pig or whatever with barter.
[01:29:11.082 --> 01:29:12.082]  Check into the Federal Reserve.
[01:29:12.182 --> 01:29:14.983]  It really is key to understanding what we face.
[01:29:15.003 --> 01:29:16.084]  All right, I'm going to come back.
[01:29:16.124 --> 01:29:18.505]  I'm going to hit some news on the war, some news on the police state.
[01:29:19.205 --> 01:29:21.948]  And we're going to also take some final phone calls in the final segment.
[01:29:22.489 --> 01:29:23.310]  I'm Alex Jones.
[01:29:23.330 --> 01:29:29.577]  This is a syndicated broadcast every Sunday, right out of the studios of NewsRadio 590K LBJ in Austin, Texas.
[01:29:29.837 --> 01:29:31.259]  PrisonPlanet.com is the website.
[01:29:52.661 --> 01:29:57.964]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[01:29:58.164 --> 01:30:00.245]  Your source for free solar electricity.
[01:30:00.485 --> 01:30:07.588]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[01:30:07.728 --> 01:30:19.254]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is not available.
[01:30:19.634 --> 01:30:27.041]  It's multi-voltage capabilities, multiple adapters, and rechargeable batteries provide for flexible source of auxiliary backup power.
[01:30:27.301 --> 01:30:32.306]  Simply place the Berkey Solar Charger in the sun, plug in your application, and you have power.
[01:30:32.426 --> 01:30:37.430]  Disconnect your application and the system automatically begins charging its own rechargeable batteries.
[01:30:37.730 --> 01:30:42.975]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium at 888
[01:30:44.056 --> 01:30:45.377]  Hi, Steve Shank, Fearless Task Force.
[01:30:45.397 --> 01:30:48.900]  The J. Michael Stevens Group is shipping a lot of storable food.
[01:30:48.920 --> 01:30:50.741]  It's smart that you're getting going at your food supplies.
[01:31:01.990 --> 01:31:10.293]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[01:31:10.753 --> 01:31:11.313]  An example?
[01:31:11.853 --> 01:31:14.674]  In 24 hours, clementine oranges doubled in price.
[01:31:15.574 --> 01:31:18.335]  If you intend to start or finish your supply, call immediately.
[01:31:18.715 --> 01:31:21.976]  When you call, tell them how many adults and how many years of food you need.
[01:31:22.754 --> 01:31:27.936]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[01:31:28.556 --> 01:31:30.037]  Money is not the problem.
[01:31:30.277 --> 01:31:31.258]  Availability is.
[01:31:31.798 --> 01:31:33.659]  Be careful when food supplies get short.
[01:31:33.899 --> 01:31:37.580]  With no future, many retailers ship real trash to supply you.
[01:31:38.181 --> 01:31:40.281]  For safe food you can trust, call 800-409-5633.
[01:31:40.361 --> 01:31:41.342]  On the web, efoodsdirect.com.
[01:31:41.362 --> 01:31:41.402]  800-409-5633.
[01:31:53.064 --> 01:31:54.885]  Summer is once again just around the corner.
[01:31:55.305 --> 01:31:57.566]  And as usual, so are higher gas prices.
[01:31:58.006 --> 01:32:01.207]  This year, stop taking it on the chin and start fighting back.
[01:32:01.647 --> 01:32:09.711]  Ethos FR, a product tested and found worthy by NBC and Fox News, can save you up to 19% on fuel and reduce emissions by up to 30%.
[01:32:10.651 --> 01:32:15.753]  Unlike other products and gadgets you've seen advertised, Ethos FR attacks the source of the problem.
[01:32:16.273 --> 01:32:17.213]  Unburned fuel.
[01:32:17.654 --> 01:32:21.415]  You see, exhaust is essentially unburned fuel that's expelled from your tailpipe.
[01:32:21.855 --> 01:32:26.697]  That equates to toxins being released into the environment and dollars being released from your wallet.
[01:32:27.117 --> 01:32:33.679]  But with Ethos FR, fuel burns more completely, helping your engine to deliver better mileage and helping you to save money.
[01:32:34.339 --> 01:32:35.980]  And, it's so easy to use.
[01:32:36.380 --> 01:32:42.344]  Simply pour a couple of ounces into your tank at every fill up, and you're on your way to saving money and the environment.
[01:32:42.744 --> 01:32:49.127]  So, do yourself and the environment a favor, and visit ctsavedgas.com to get your bottle today.
[01:32:49.427 --> 01:32:52.249]  That's ctsavedgas.com.
[01:32:53.070 --> 01:32:57.693]  According to the American Diabetes Association, more than 18 million people in the U.S.
[01:32:57.753 --> 01:32:58.533]  have diabetes.
[01:32:58.813 --> 01:33:05.757]  Most people with diabetes have risk factors such as obesity, high blood pressure, and cholesterol, which increase their risk for heart disease.
[01:33:05.898 --> 01:33:10.420]  For example, more than 65% of people with diabetes die from heart disease or stroke.
[01:33:10.640 --> 01:33:13.462]  Finding out you or your loved ones have diabetes can be scary.
[01:33:13.602 --> 01:33:20.526]  This is why, as your trusted online partner in health, we are committed to bringing you products that help you make informed decisions about your health.
[01:33:20.826 --> 01:33:30.132]  At ResearchedHerbs.com, you can learn more about LeucoCare, a highly effective and safe natural herbal supplement formulated specifically to help maintain optimal blood sugar levels.
[01:33:30.413 --> 01:33:39.799]  As with all products featured on ResearchedHerbs.com, LeucoCare is the result of several years of rigorous development and is backed by numerous clinical trials and experimental studies.
[01:33:40.079 --> 01:33:42.841]  Visit us online at ResearchedHerbs.com or call 1-800-845-3841 to learn more.
[01:33:42.861 --> 01:33:43.381]  That's 1-800-845-3841.
[01:33:54.469 --> 01:33:56.010]  You are listening to GCN.
[01:33:56.190 --> 01:34:01.875]  Visit GCNlive.com today.
[01:34:05.218 --> 01:34:14.165]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show.
[01:34:15.453 --> 01:34:16.174]  It is April 15, 2007.
[01:34:18.075 --> 01:34:18.936]  I'm Alex Jones.
[01:34:18.976 --> 01:34:21.417]  This is the Sunday edition of my radio show.
[01:34:21.978 --> 01:34:23.999]  And I'm on the air six days a week.
[01:34:24.059 --> 01:34:27.381]  The websites are presentplanet.com and infowars.com.
[01:34:29.486 --> 01:34:32.207]  Ordinary customers flagged as terrorists.
[01:34:32.768 --> 01:34:48.235]  The Washington Post, private businesses such as rental and mortgage companies, and car dealers are checking the names of customers against a list of suspected terrorists and drug traffickers made publicly available by the Treasury Department, sometimes denying services to ordinary people whose names are similar to those on the list.
[01:34:48.615 --> 01:34:49.636]  And why is this done?
[01:34:49.656 --> 01:34:54.018]  This is done as part of the Patriot Act.
[01:34:54.058 --> 01:34:58.560]  Instead of just know your customer with the banks, it's loans, car loans, check cashing.
[01:34:59.354 --> 01:35:01.758]  And they've told these businesses they'll be arrested if they don't.
[01:35:02.158 --> 01:35:03.881]  But, remember what's been in the news the last few months?
[01:35:04.322 --> 01:35:05.444]  We reported this four years ago.
[01:35:05.464 --> 01:35:06.886]  Now it's been in the mainstream news.
[01:35:07.287 --> 01:35:10.813]  The illegal aliens don't have to show ID cards to get bank accounts or housing loans.
[01:35:12.014 --> 01:35:16.476]  Or, and 800 plus cities are sanctuary cities, you don't have to have a driver's license to drive.
[01:35:17.036 --> 01:35:18.637]  I'm not against the illegal aliens!
[01:35:18.957 --> 01:35:24.820]  But my God, there's nothing to do with security when the citizens have to do this and are treated like this.
[01:35:25.040 --> 01:35:32.843]  Remember what came out a few months ago where the air marshals had been ordered, if a family takes a picture or people eat a certain meal, to just put people on terror lists for the rest of their lives?
[01:35:33.744 --> 01:35:36.465]  And the head of the air marshals in Denver said, I'm not doing this anymore!
[01:35:36.625 --> 01:35:41.447]  We're ruining people's lives just to create the numbers so they can go before Congress and go, look at all the suspicious persons we saw.
[01:35:43.268 --> 01:35:46.872]  And it goes on to say that they're doing this.
[01:35:47.012 --> 01:35:49.234]  Ordinary customers flagged as terrorists.
[01:35:50.376 --> 01:35:51.377]  Here's another one.
[01:35:52.157 --> 01:35:53.719]  They're doing that to citizens, everybody.
[01:35:54.200 --> 01:35:56.302]  Experts say scans should be embraced.
[01:35:57.134 --> 01:36:00.476]  And all over the western world, they're taking fingerprints to get school lunches.
[01:36:01.256 --> 01:36:04.919]  They're giving it to get into schools, to get a library book.
[01:36:05.599 --> 01:36:07.460]  In all 50 states now, they're implementing it.
[01:36:07.520 --> 01:36:09.461]  Texas has had it since 1993 under executive order.
[01:36:09.701 --> 01:36:10.462]  Thumb scanning.
[01:36:10.802 --> 01:36:12.303]  It's all international standardized.
[01:36:12.363 --> 01:36:14.484]  It's going to be the World ID system.
[01:36:14.704 --> 01:36:16.505]  In 2000, they had a summit in Australia.
[01:36:16.525 --> 01:36:17.706]  The UN did it and announced it.
[01:36:17.726 --> 01:36:18.747]  That's how we know this.
[01:36:18.947 --> 01:36:19.547]  They announced it.
[01:36:19.567 --> 01:36:20.448]  They set the policy.
[01:36:20.668 --> 01:36:23.950]  Our government signed on to the UNESCO treaty that Reagan got us out of.
[01:36:23.990 --> 01:36:25.450]  Bush signed back on to three years ago.
[01:36:25.671 --> 01:36:26.291]  And we're under it!
[01:36:27.566 --> 01:36:29.147]  Oh man, it's just unbelievable.
[01:36:29.307 --> 01:36:29.707]  Listen to this.
[01:36:29.747 --> 01:36:31.669]  TB patient locked up maybe for life.
[01:36:32.489 --> 01:36:35.811]  And this is out of the Associated Press.
[01:36:36.311 --> 01:36:41.374]  And all over the country they've built very quietly tuberculosis clinics and facilities.
[01:36:42.375 --> 01:36:43.796]  The old word was sanitariums.
[01:36:44.156 --> 01:36:49.119]  And they have drug-resistant, extreme drug-resistant, and what they're now calling totally drug-resistant TB.
[01:36:49.499 --> 01:36:54.282]  Where they just lock you up until they get a cure and no one can see you, ladies and gentlemen.
[01:36:54.302 --> 01:36:55.923]  They wear like spacesuits if they come in.
[01:36:56.790 --> 01:36:58.792]  Now let me explain this again.
[01:36:59.012 --> 01:37:03.215]  We have 7,000 cases plus of wet leprosy in the year 2005.
[01:37:03.616 --> 01:37:06.999]  Before that, in the last 50 years, there have been three cases.
[01:37:07.479 --> 01:37:10.361]  They have set up a leper colony outside Palestine, Texas.
[01:37:10.942 --> 01:37:14.965]  Ladies and gentlemen, we actually have wet leprosy all over the place now.
[01:37:15.606 --> 01:37:19.509]  One person they found in a business or school setting will give up to 50 people TB.
[01:37:20.350 --> 01:37:22.172]  And the kids have got it, man, in these schools.
[01:37:22.292 --> 01:37:23.813]  I wouldn't put my child in a public school.
[01:37:24.113 --> 01:37:29.718]  I wouldn't put my child in a private school with illegal aliens for all the tea in China, and they're cooking the food, everything.
[01:37:29.938 --> 01:37:30.699]  I'm not against them.
[01:37:30.939 --> 01:37:38.526]  When you were Irish or Italian or African immigrants coming here 50, 60, 70, 100 years ago, they checked you at Ellis Island, folks, and you stayed in quarantine until you were better.
[01:37:38.826 --> 01:37:43.190]  Not now, folks, but if you get this once you're here, you literally go to quarantine.
[01:37:43.570 --> 01:37:44.151]  I mean, see,
[01:37:44.969 --> 01:37:46.010]  This is the police state.
[01:37:46.351 --> 01:37:52.077]  But then, illegal aliens walk out in the Round Rock schools, and they get in a little bit of trouble over it, and Round Rock will mail you to the wall.
[01:37:52.257 --> 01:37:55.761]  They'll arrest you in Round Rock and Williamson County if you're a week late on videotapes.
[01:37:56.162 --> 01:37:58.124]  You know, to Isla Video or to...
[01:37:59.307 --> 01:38:23.822]  uh... to uh... the local video places you know hollywood video whatever but no no no the illegal aliens they get the baby paid a hundred dollars for walking out of class the police state up there paying them to do it now this is uh... out of k i t v round rock student protesters reach settlement looking the other way on immigrants washington post it's also the sanctuary towns where they're above the law uh... again six-year-old
[01:38:24.662 --> 01:38:25.983]  Arrested for throwing a tantrum.
[01:38:26.023 --> 01:38:28.045]  Not touching anyone arrested and charged as a felon.
[01:38:28.585 --> 01:38:30.226]  I've got as low as four-year-olds that happen.
[01:38:30.246 --> 01:38:31.267]  This is just the last few days.
[01:38:31.907 --> 01:38:35.230]  A professor who criticized Bush added to no-fly list.
[01:38:35.270 --> 01:38:41.875]  Marine Corps colonel, top constitutional scholar at Princeton, who gave a televised speech that slammed President Bush's executive overreach.
[01:38:41.915 --> 01:38:46.118]  Recently learned that he'd been added to the Transportation Security Administration's terrorist watch list.
[01:38:46.478 --> 01:38:48.239]  And they said they won't tell him why he's on it.
[01:38:48.279 --> 01:38:49.180]  That's Kafka-esque.
[01:38:49.220 --> 01:38:50.001]  I interviewed him this week.
[01:38:50.761 --> 01:38:51.942]  They won't tell him why he's on it.
[01:38:53.019 --> 01:38:57.006]  They just say he's now on the terror watch list, and they ransack and do all that stuff to him.
[01:38:57.767 --> 01:38:58.768]  I got more on that.
[01:38:58.809 --> 01:39:02.715]  I got more on the war here, where they're now breaking into the green zone.
[01:39:02.775 --> 01:39:04.698]  Even the armored citadel isn't safe for them.
[01:39:05.100 --> 01:39:06.281]  For the troops over there.
[01:39:06.541 --> 01:39:14.366]  They put the troops now with the surge out in 16 substations with little or no defenses and sandbags so the numbers of dead have gone up.
[01:39:14.606 --> 01:39:16.747]  Washington Post, of course we knew that happened.
[01:39:16.787 --> 01:39:17.648]  It was just a gimmick.
[01:39:17.688 --> 01:39:18.608]  Oh, we're doing something new.
[01:39:18.969 --> 01:39:20.730]  There'll be a new gimmick in a year and a new year.
[01:39:20.970 --> 01:39:22.271]  Oh, here's one Associated Press.
[01:39:22.631 --> 01:39:24.772]  UN wants New York City cops for peacekeeping.
[01:39:26.053 --> 01:39:26.613]  That's right.
[01:39:26.934 --> 01:39:31.536]  The UN has come and says they may hire the New York police to be deputized UN forces.
[01:39:31.576 --> 01:39:32.917]  That's happening everywhere, folks.
[01:39:32.937 --> 01:39:34.038]  It's just incremental.
[01:39:35.713 --> 01:39:39.495]  Again, New York Times, security increase made Baghdad deadly or battleground for U.S.
[01:39:39.515 --> 01:39:39.675]  troops.
[01:39:39.735 --> 01:39:41.076]  It was also in the Washington Post.
[01:39:41.456 --> 01:39:42.997]  Iraqis face immense suffering.
[01:39:43.017 --> 01:39:50.781]  International Committee on the Red Cross has also confirmed the numbers of the British medical journal Lancet, and it was also confirmed by another U.S.
[01:39:50.841 --> 01:39:54.262]  medical journal, John Hopkins, put that out.
[01:39:54.543 --> 01:39:57.944]  But the neocons go, there ain't nobody dying, it's liberation!
[01:39:58.885 --> 01:40:00.726]  Six hundred and something file the first three years.
[01:40:01.426 --> 01:40:03.407]  Well over a million now, fourth year as a lapse.
[01:40:05.008 --> 01:40:08.656]  It just goes on and on and on, but we're out of time on all that.
[01:40:08.696 --> 01:40:14.709]  Up on PrisonPlanet.com, former Bush speechwriter hints at 9-1-1 inside jobs as neocons would be
[01:40:16.323 --> 01:40:18.444]  credited would have created a false flag.
[01:40:18.724 --> 01:40:19.345]  Let me read this again.
[01:40:19.705 --> 01:40:29.570]  Former Bush speechwriter hints at 9-1-1 inside job says neocons would have created a false flag to justify war had it not been for the WTC attack questions official story.
[01:40:30.110 --> 01:40:44.538]  And that's Bush insider, Bush 41 speechwriter and close friend of the Bush family writes in his new book that before 9-11 the neocons that control the Bush administration were eager to seize upon a manufactured provocation to go to war just as LBJ had done with the Gulf of Tonkin in 65.
[01:40:46.318 --> 01:40:49.160]  It's early 64 and questions the official 9-11 story.
[01:40:49.560 --> 01:40:53.742]  Victor Gould is a veteran GOP campaign operative who worked closely with George H.W.
[01:40:53.802 --> 01:40:55.003]  Bush and it just goes on and on.
[01:40:57.526 --> 01:41:04.251]  But don't worry about all the election fraud you've heard about on another front, and all the proof of these machines stealing votes and stealing elections.
[01:41:04.591 --> 01:41:09.995]  The Justice Department, run by Alberto Gonzalez, the congenital liar, says they work just fine.
[01:41:10.035 --> 01:41:10.735]  New York Times.
[01:41:11.075 --> 01:41:12.697]  Let's take a few final calls here.
[01:41:13.837 --> 01:41:18.040]  Let's go to New York and talk to Robert, because he wants to talk about 9-11.
[01:41:18.741 --> 01:41:20.442]  Robert, you're on the air worldwide.
[01:41:20.462 --> 01:41:20.862]  Go ahead.
[01:41:21.763 --> 01:41:22.103]  Oh, hi.
[01:41:22.143 --> 01:41:23.244]  Thanks for taking my call.
[01:41:23.877 --> 01:41:24.637]  It was just quick.
[01:41:24.677 --> 01:41:32.981]  I just went down to my first 9-11 truth event on the 11th, and I just wanted to call and just say how much respect I have for those guys and how great it is what they're doing.
[01:41:33.862 --> 01:41:42.625]  Well, that's truth action pushing for every 11th day of the month in every major city, and there were hundreds of these on the 11th, I'm told.
[01:41:42.665 --> 01:41:50.289]  There's video all over the web of it now, and people are going out and exposing the inside job because 9-11 is the foundation of the whole agenda we're seeing right now.
[01:41:51.388 --> 01:41:52.048]  Yeah, it's great.
[01:41:52.068 --> 01:41:55.711]  I just wanted to call and say just how much respect I have for Luke and those guys down there.
[01:41:56.091 --> 01:42:00.093]  I just look forward to being involved with them in the future in every way I can.
[01:42:00.213 --> 01:42:01.354]  They're great team players.
[01:42:01.574 --> 01:42:02.514]  Love them.
[01:42:02.554 --> 01:42:03.375]  Thank you for the call.
[01:42:04.075 --> 01:42:06.937]  Now let's go ahead and talk to Jim in L.A.
[01:42:06.997 --> 01:42:08.558]  He wants to talk about Pat Tillman.
[01:42:08.618 --> 01:42:10.199]  Was he murdered by the government?
[01:42:10.239 --> 01:42:12.780]  That's now becoming mainstream news that he may have been.
[01:42:13.020 --> 01:42:13.881]  Go ahead, you're on the air.
[01:42:15.045 --> 01:42:16.626]  Hi there, it's really a pleasure to talk to you.
[01:42:16.646 --> 01:42:19.388]  I just wanted to bring some of your attention here.
[01:42:19.468 --> 01:42:31.335]  I was watching the History Channel the other day, and it turns out they have a show on there, and it's called Shootout, and the show specifically is called Afghanistan's Deadliest Snipers.
[01:42:32.215 --> 01:42:35.998]  And the weird thing is, first of all, it's nothing about snipers.
[01:42:36.478 --> 01:42:38.099]  The thing that got me... We're almost out of time, tell us.
[01:42:40.090 --> 01:42:44.633]  They have a complete breakdown of the government's version of the death of Patrick Tillman.
[01:42:44.653 --> 01:42:49.556]  They have these 3D representations and reenactments.
[01:42:49.576 --> 01:42:52.478]  It's totally weird and bogus.
[01:42:52.498 --> 01:42:54.279]  Who would have thought the History Channel?
[01:42:59.139 --> 01:43:02.622]  I mean, you know, it's just, it was just crazy just to watch this thing and see this.
[01:43:02.642 --> 01:43:15.514]  So, so it's been, so it's, so Pat Tillman, I mean, publicly now we know the Pentagon lied and they shot him a whole bunch in the head and the chest and he was begging for help and they kept firing very close at him and that's why the family's now thinking it may have been more than just friendly fire.
[01:43:15.934 --> 01:43:22.256]  And boy, is this going to hurt the New World Order, because he was about to go public against the war, and that just couldn't be allowed to happen.
[01:43:22.276 --> 01:43:24.437]  That could have brought the whole thing down right there.
[01:43:24.657 --> 01:43:29.898]  But you're saying that they're still airing a program that is still using the official old lie that's now been discredited?
[01:43:30.418 --> 01:43:32.639]  Yeah, it's like preemptive propaganda.
[01:43:32.659 --> 01:43:38.341]  They wanted to come out and get this story out to the public before anything ever got out about the real story about what happened to Patrick.
[01:43:38.481 --> 01:43:39.901]  Well, you know that History Channel.
[01:43:40.061 --> 01:43:41.141]  They're some wicked devils.
[01:43:41.521 --> 01:43:43.122]  All right, listen, I appreciate your call.
[01:43:44.302 --> 01:43:45.463]  Really interesting to hear from you.
[01:43:45.483 --> 01:43:47.864]  I haven't seen the program, so I can't really comment on it.
[01:43:48.225 --> 01:43:51.386]  Rex, in Philadelphia, on 9-11.
[01:43:51.406 --> 01:43:52.147]  You're on the air, Rex.
[01:43:52.167 --> 01:43:52.807]  We've got one minute.
[01:43:53.508 --> 01:43:54.988]  Hey, Alex, thank you.
[01:43:55.068 --> 01:44:00.071]  Real quick, this might be a really neat segue to go from Pat Tildman, who's in the NFL.
[01:44:01.892 --> 01:44:12.058]  I wonder if anybody out there in the world has put together how the neocons of our government actually controls all of the networks in the condom that they put over them
[01:44:13.021 --> 01:44:35.221]  In the lesson learned by the 9-11 scientific and video data that now is the main implementation of this entire movement in our nation, which is awesome, has anybody yet put together that the results of that lesson learned by our government is what now triggered the NFL on its Super Bowl Sunday?
[01:44:35.791 --> 01:44:38.232]  Yeah, I didn't really understand that, but hey, that's the way to end it.
[01:44:38.452 --> 01:44:39.172]  We're out of here.
[01:44:39.252 --> 01:44:40.292]  God bless you all.
[01:44:40.612 --> 01:44:42.153]  We'll see you at PrisonPlanet.com.
[01:44:42.173 --> 01:44:43.033]  Get out there and fight the North.
[01:44:43.213 --> 01:44:48.894]  It's no secret that Genesis Communi... Are your Federal Reserve notes looking for a safe haven?
[01:44:49.355 --> 01:44:51.255]  Mine found it in precious metals.
[01:44:51.975 --> 01:44:55.156]  Not paper promises, but actual gold in my possession.
[01:44:55.796 --> 01:45:02.198]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:45:03.044 --> 01:45:05.247]  Find your answer at Midas Resources.
[01:45:05.627 --> 01:45:06.068]  That's 1-800-686-2237.
[01:45:06.148 --> 01:45:07.549]  The answer is at 1-800-686-2237.
[01:45:24.520 --> 01:45:26.322]  Hi, Steve Schenck, Fearless Task Force.
[01:45:26.802 --> 01:45:28.604]  Sure, you've got a mortgage and credit cards.
[01:45:28.904 --> 01:45:32.027]  Your debt creation is probably the smartest thing you've ever done.
[01:45:32.488 --> 01:45:36.772]  How would it be to find $75,000, $150,000, $200,000 or more you never knew you had?
[01:45:37.492 --> 01:45:41.896]  Now the task force has strategies to make these debts into virtual savings accounts.
