[00:00:01.751 --> 00:00:02.471]  Free.
[00:30:10.310 --> 00:30:16.273]  The military-industrial complex figured out that they could take over foreign countries, but why not just take over the one that funded them?
[00:30:16.273 --> 00:30:19.975]  The one that, you know, where they grew in their own bosom.
[00:30:19.975 --> 00:30:22.977]  They are overthrowing the people and putting themselves into power.
[00:30:22.977 --> 00:30:23.798]  It always happens.
[00:30:23.798 --> 00:30:26.579]  It's happening again.
[00:30:26.579 --> 00:30:27.960]  We're on the march.
[00:30:27.960 --> 00:30:29.581]  The empire's on the run.
[00:30:29.581 --> 00:30:33.163]  Alex Jones and the GCN Radio Network.
[00:30:36.929 --> 00:30:39.531]  Hello friends, Alex Jones here with an important question.
[00:30:39.531 --> 00:30:41.713]  When was the last time you used pure soap?
[00:30:41.713 --> 00:30:49.018]  I mean real hard to find all natural pure soap that contains no dyes, perfumes, deodorants, detergents, or other dangerous toxins.
[00:30:49.018 --> 00:30:57.945]  The Calvin Pure Soap Company, for the past 57 years, has been making triple concentrated pure soaps exclusively for healthcare professionals and hospitals.
[00:30:57.945 --> 00:31:02.568]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[00:31:02.748 --> 00:31:09.611]  That's great news because Calvin Pure Soap is made from all natural ingredients, is earth-friendly, and completely environmentally safe.
[00:31:09.611 --> 00:31:13.973]  So if you want yesterday's values today for good old-fashioned pure soap, call 1-800-340-7091.
[00:31:13.973 --> 00:31:15.474]  Save up to 85% off supermarket and retail store prices.
[00:31:21.076 --> 00:31:23.537]  Call today for a Calvin Soap catalog at 1-800-340-7091.
[00:31:23.537 --> 00:31:23.777]  That's 1-800-340-7091.
[00:31:23.777 --> 00:31:24.538]  Or on the web at CalvinPureSoap.com.
[00:31:24.538 --> 00:31:27.099]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[00:31:36.756 --> 00:31:40.941]  I found this company online and they have this really unique variety of salt wellness products.
[00:31:40.941 --> 00:31:44.765]  I read some of the articles and ended up ordering this beautiful salt lamp.
[00:31:44.765 --> 00:31:49.129]  According to the company, they said that the salt crystal lamps gently purify indoor air.
[00:31:49.129 --> 00:31:50.311]  I was so amazed.
[00:31:50.311 --> 00:31:53.334]  I put it in the baby's room and it made a perfect nightlight.
[00:31:53.334 --> 00:31:55.196]  Both my husband and I could tell the difference.
[00:31:55.576 --> 00:32:01.260]  SoleilWellness.com is a unique company that offers salt wellness products from around the world.
[00:32:01.260 --> 00:32:07.444]  So, I went back to the site and ordered their Soleil Simple Natural Cleaning Products, also made with Himalayan salt.
[00:32:07.444 --> 00:32:09.426]  I figured it would clean really well.
[00:32:09.426 --> 00:32:12.808]  The natural cleaning products worked wonderfully and there was no scent.
[00:32:12.808 --> 00:32:16.951]  This company has so many products my whole family can enjoy and feel better with.
[00:32:16.951 --> 00:32:18.432]  Plus, the service was great.
[00:32:18.752 --> 00:32:23.939]  If you're interested in natural homeopathic time-tested remedies, visit SoleilWellness.com.
[00:32:23.939 --> 00:32:27.744]  That's S-O-L-A-Y Wellness dot com, or call 312-224-2710.
[00:32:27.744 --> 00:32:27.784]  312-224-2710.
[00:32:36.698 --> 00:32:41.159]  Have you ever wondered about what the Mark of the Beast is in Chapter 13 of Revelation?
[00:32:41.159 --> 00:32:43.659]  What does 666 really mean?
[00:32:43.659 --> 00:32:46.360]  Or about the Harlot Church of Revelation 17?
[00:32:46.360 --> 00:32:48.460]  Or about the Beast of Daniel in Revelation?
[00:32:48.460 --> 00:32:52.401]  Speculation abounds about these ancient prophecies and what they might mean today.
[00:32:52.401 --> 00:33:01.243]  Now, one of the foremost scholars on geopolitics and popular talk show guest, Dr. Michael Kaufman has just released a DVD called, World Events and Prophecy.
[00:33:01.243 --> 00:33:05.244]  Dr. Michael Kaufman is recognized for his penetrating analyses of global events.
[00:33:05.564 --> 00:33:13.129]  And has used his information to almost single-handedly stop the United Nations Convention on Biological Diversity from being ratified by the U.S.
[00:33:13.129 --> 00:33:16.731]  Senate, one hour before the Senate was to vote to ratify it.
[00:33:16.731 --> 00:33:22.794]  Order World Events and Prophecy now, and see why those who have seen it say it is one of the best DVDs on the subject.
[00:33:22.794 --> 00:33:26.617]  Order now at discerningtoday.org, or call toll-free 877-271-7639.
[00:33:26.617 --> 00:33:27.017]  That's 877-271-7639.
[00:33:27.017 --> 00:33:27.878]  Don't be caught off guard.
[00:33:51.523 --> 00:33:59.729]  Your own personal Jesus.
[00:33:59.729 --> 00:34:02.611]  Someone to hear your prayers.
[00:34:02.611 --> 00:34:07.074]  Someone who cares.
[00:34:07.074 --> 00:34:11.957]  Your own personal Jesus.
[00:34:15.291 --> 00:34:18.193]  Someone to hear your prayers.
[00:34:18.193 --> 00:34:20.295]  Someone who's there.
[00:34:20.295 --> 00:34:24.638]  Feeling unknown and you're all alone.
[00:34:34.737 --> 00:34:43.963]  Welcome back.
[00:34:43.963 --> 00:34:46.545]  Thank you, Johnny Cash.
[00:34:46.545 --> 00:34:54.810]  I'll tell you right now, my friends, that I'm honored to be your host.
[00:34:54.810 --> 00:34:58.213]  I'm honored to be here Monday through Friday, 11 to 2 p.m.
[00:34:58.213 --> 00:35:01.835]  Central, on the one and only Genesis Communications Radio Network.
[00:35:01.835 --> 00:35:03.196]  I'm proud of this network.
[00:35:03.911 --> 00:35:05.651]  And the great work it's done over the years.
[00:35:05.651 --> 00:35:15.673]  I always do want to remind you, listeners, that if you hear my voice endorsing a product, that means I believe in it, and I think that you should get it or that it would be helpful for you.
[00:35:15.673 --> 00:35:22.714]  That does not necessarily mean that I agree with everything else you hear with other sponsors or information.
[00:35:22.714 --> 00:35:24.315]  And that goes two ways.
[00:35:24.315 --> 00:35:30.656]  That means necessarily some of the other shows on this network may not completely agree with the things I say or do, or their sponsors may not agree with me.
[00:35:31.633 --> 00:35:34.554]  Same thing for our fine affiliates out there.
[00:35:34.554 --> 00:35:38.275]  All the time I get calls or emails going, well this is on a station you're on.
[00:35:38.275 --> 00:35:39.055]  Do you agree with that?
[00:35:39.055 --> 00:35:41.296]  And I'm like, I'm not my brother's keeper.
[00:35:41.296 --> 00:35:47.298]  I'm here doing a radio show, trying to run my own life, which I have a lot of trouble doing.
[00:35:47.298 --> 00:35:49.039]  Alright, back live here.
[00:35:49.039 --> 00:35:53.120]  We're supposed to get a call in the next ten minutes from Kevin Smith and Aaron Dykes.
[00:35:53.120 --> 00:35:55.941]  They're out on the scene of the FEMA camp.
[00:35:57.236 --> 00:36:00.359]  That is north of Austin in Taylor.
[00:36:00.359 --> 00:36:06.385]  I talked to them about 10 minutes ago and they were arriving and there have been a bunch of different protests out there.
[00:36:06.385 --> 00:36:08.067]  There was scheduled to be one there today.
[00:36:08.067 --> 00:36:12.171]  Counterpunch wrote about it today and did plug InfoWars for coverage of it.
[00:36:12.171 --> 00:36:12.872]  We appreciate that.
[00:36:13.855 --> 00:36:16.937]  And so we're out there physically covering it right now.
[00:36:16.937 --> 00:36:18.398]  I'll give you a report there.
[00:36:18.398 --> 00:36:21.539]  Michael Rivera will be joining us coming up in the next hour.
[00:36:21.539 --> 00:36:23.280]  We'll have open phones during an interview.
[00:36:23.280 --> 00:36:24.121]  He's going to be joining us.
[00:36:24.121 --> 00:36:26.682]  I think he starts his first show this weekend.
[00:36:26.682 --> 00:36:30.304]  He'll be doing a weekend show, a news show, here on the Genesis Network.
[00:36:30.304 --> 00:36:31.625]  We're excited about that.
[00:36:31.625 --> 00:36:39.709]  And I'm going to air most of the early 1960s Twilight Zone episode of The Obsolete Man.
[00:36:41.607 --> 00:36:45.550]  I think it's powerful, it's informative, and I want to comment on it somewhere.
[00:36:45.550 --> 00:36:49.734]  Not the whole thing, but a large portion of it and comment on it and analyze it.
[00:36:49.734 --> 00:36:53.217]  Getting back to 2006, the year America died.
[00:36:53.217 --> 00:37:03.126]  2007, the year the American Union will either stand or fall.
[00:37:03.126 --> 00:37:08.050]  And I was mentioning before we ran into that break that
[00:37:09.571 --> 00:37:10.532]  It's simple.
[00:37:10.532 --> 00:37:23.361]  You've got big, powerful, global corporations that took over the banking system of England in 1801, and really cemented that control in 1806.
[00:37:23.361 --> 00:37:29.226]  They took over the Dutch banking system there shortly thereafter.
[00:37:29.226 --> 00:37:32.068]  They took over the French banking system before that.
[00:37:32.068 --> 00:37:37.832]  They took over our banking system entirely in 1913, and so you have a few private families
[00:37:39.139 --> 00:38:06.316]  The Sachs-Coburg Gothas, the Rothschilds, the Rockefellers, the Warburgs, there's less than 20 families, and they own the private stock in the central banks, and if your country doesn't have their central bank in control of it, they will hop up some reason, or fund rebels, or run a coup d'etat, and come blow your capital up, or do whatever they have to do, or poison your water supply, or stage terror attacks and blame it on you, and they'll come in and take over your nation!
[00:38:12.040 --> 00:38:13.161]  And they used the U.S.
[00:38:13.161 --> 00:38:20.066]  from 1913 on as an engine to fund the Soviets, to fund the Nazis, to build up threats, to then knock down the threats.
[00:38:20.066 --> 00:38:23.709]  They always financed both sides.
[00:38:23.709 --> 00:38:25.691]  And then now they've decided to use the U.S.
[00:38:25.691 --> 00:38:28.253]  up, like they did Germany and the Soviet Union.
[00:38:28.253 --> 00:38:29.814]  They've got us out doing their wicked work.
[00:38:30.416 --> 00:38:39.762]  While owning the media that tells people domestically that we're doing a good job, while the very media the globalists own overseas demonizes us and blames Americans for everything when we're just their puppets.
[00:38:39.762 --> 00:38:42.925]  I want to make that clear to the world listening, okay?
[00:38:42.925 --> 00:38:45.526]  You cannot entirely blame the United States for this.
[00:38:45.526 --> 00:38:52.731]  You can blame us for being slovenly, lazy, uninformed, but milk and honey does that to any people.
[00:38:52.731 --> 00:38:57.795]  I'd like to see some other nation that's been on top for hundreds of years and not see them turn into a bunch of decadent scum.
[00:39:00.626 --> 00:39:02.527]  There's still a lot of good people in this country.
[00:39:02.527 --> 00:39:05.289]  I don't appreciate those out there, bad-mouthed in the U.S.
[00:39:05.289 --> 00:39:08.351]  And I don't appreciate the liberals in the U.N.
[00:39:08.351 --> 00:39:17.638]  who are part of the false left-right system and the false bipolar dichotomy claiming that America did all this, Noam Chomsky and the rest of those people.
[00:39:17.638 --> 00:39:21.761]  MIT, government paycheck boy, always blaming the U.S.
[00:39:21.761 --> 00:39:22.481]  like the U.S.
[00:39:22.481 --> 00:39:23.442]  is the elite.
[00:39:23.442 --> 00:39:24.622]  The U.S.
[00:39:24.622 --> 00:39:28.065]  is the foot soldier of the New World Order, a capo at best.
[00:39:32.046 --> 00:39:34.027]  Same thing goes for England.
[00:39:34.027 --> 00:39:39.549]  A good, virtuous, hard-working people that ended slavery worldwide.
[00:39:39.549 --> 00:39:41.529]  Black slavery.
[00:39:41.529 --> 00:39:47.211]  Where the ideas of common law grew and developed out of the law of Mount Sinai.
