[00:00:00.229 --> 00:00:00.670]  Oh, what?
[01:37:27.913 --> 01:37:29.194]  So you're not preaching to the choir, A.
[01:37:31.563 --> 01:37:34.505]  All the other candidates, you know, people try to pick candidates on who they think is going to win.
[01:37:34.565 --> 01:37:36.787]  Like, you know, people are fans of a football team when they're winning.
[01:37:37.087 --> 01:37:41.270]  Folks, you need to be fans of people who have the right stance, and who are constitutionalists.
[01:37:42.431 --> 01:37:47.734]  Everybody needs to get behind Ron Paul, not only to support him now, but make sure they get out there, come vote time, and place your vote for Ron Paul.
[01:37:48.074 --> 01:37:48.695]  Absolutely.
[01:37:48.835 --> 01:37:53.078]  Not only are the neocons and fake liberals all attacking Ron Paul, showing you he's the man right now.
[01:37:54.319 --> 01:37:56.280]  They are saying his supporters are terrorists.
[01:37:56.781 --> 01:37:58.963]  Just out of the blue, they're just saying it on CNN and Fox.
[01:37:59.424 --> 01:38:00.505]  Off of talking points.
[01:38:00.545 --> 01:38:01.166]  That's the thing.
[01:38:01.366 --> 01:38:03.048]  They're saying the exact same thing.
[01:38:03.868 --> 01:38:05.410]  You realize how dangerous that is?
[01:38:05.770 --> 01:38:10.295]  When the media teams up with the government and says, arrest people, torture's good, no free speech.
[01:38:11.696 --> 01:38:12.597]  You're gonna have trouble though.
[01:38:12.637 --> 01:38:14.079]  Americans know they've at least got that.
[01:38:14.099 --> 01:38:15.680]  You're not gonna be able to tell them that never existed.
[01:38:16.361 --> 01:38:18.363]  Let's go ahead and talk to Jim in Oregon.
[01:38:18.663 --> 01:38:19.404]  Jim, you're on the air.
[01:38:19.424 --> 01:38:20.025]  Thanks for calling.
[01:38:20.729 --> 01:38:30.672]  Yeah, we're on the run rate of about $350,000 an hour on your Ron Paul, and that gives about $6.2 million.
[01:38:30.692 --> 01:38:36.254]  So, we need to ramp it up just a little bit to break the fundraising record.
[01:38:36.854 --> 01:38:43.936]  What would be neat on the Ron Paul site if you could put how much money was raised in the last hour, because that velocity counts for a lot.
[01:38:44.116 --> 01:38:47.317]  Well, I know this, and I'm not saying we did it, but it was moving about
[01:38:47.977 --> 01:38:56.344]  I don't know, you know, 20 grand or so every 10 minutes, and then we did, the caller had the idea to have everybody launch at one point, and it was over 150 grand in 10 minutes.
[01:38:56.384 --> 01:38:57.145]  I wonder what did that?
[01:38:57.445 --> 01:39:04.311]  Yeah, the last one I measured was in 15 minutes, the run rate was $380,000 for the full hour.
[01:39:04.471 --> 01:39:05.052]  Yeah.
[01:39:05.152 --> 01:39:07.974]  If you could raise $1,000,000 in one hour, that would make history.
[01:39:08.014 --> 01:39:11.938]  Yeah, in the first hour last night, he raised $500,000, but then you have the overnight hours.
[01:39:12.538 --> 01:39:19.102]  When Lyman and I brainstormed on-air, when he had first come up with this idea, I was saying two days.
[01:39:19.402 --> 01:39:21.523]  Try to raise $10 million in two days with a big ramp-up.
[01:39:21.923 --> 01:39:23.124]  And the campaign agreed with me.
[01:39:23.184 --> 01:39:31.348]  And on-air, Ron Paul on-air, Jesse Benton, the communications man, agreed that he thought that was better.
[01:39:31.408 --> 01:39:32.889]  But hey, we're not going to tell the grassroots what to do.
[01:39:33.229 --> 01:39:33.529]  Try it.
[01:39:33.589 --> 01:39:34.450]  Just do it now.
[01:39:35.110 --> 01:39:38.472]  If you've already maxed out, got friends and family believing Ron Paul, they forgot about him, call him.
[01:39:39.769 --> 01:39:44.657]  If you want somebody to articulate this message to them, tell them to go to Infowars.com and listen to the repeat of this show coming up.
[01:39:44.737 --> 01:39:45.759]  I'll explain it all to them.
[01:39:46.903 --> 01:39:48.324]  That's just in a few minutes.
[01:39:48.364 --> 01:39:50.466]  Let us now go ahead and talk to Eric in Michigan.
[01:39:50.486 --> 01:39:51.026]  You're on the air.
[01:39:51.047 --> 01:39:51.787]  Thanks for holding, Eric.
[01:39:52.187 --> 01:39:53.749]  Alex, it's great to be with you.
[01:39:53.949 --> 01:40:02.976]  I've been listening for quite a while, and I've been a Prison Planet TV member for about six months, and it's been odd to be with you fighting on the front line on Tea Party.
[01:40:03.136 --> 01:40:10.923]  So, I just want to say real quick, I'm the webmaster for a new project, which is actually a Ron Paul 2008 calendar, and I wanted to plug that real quick.
[01:40:11.163 --> 01:40:11.423]  Good.
[01:40:11.764 --> 01:40:12.064]  What else?
[01:40:12.604 --> 01:40:14.845]  Uh, yeah, it's called Hotties for Ron Paul.
[01:40:15.005 --> 01:40:20.108]  Hotties for Ron, number four, hottiesforronpaul.com.
[01:40:20.888 --> 01:40:21.809]  Check it out.
[01:40:21.849 --> 01:40:24.070]  If you Google Ron Paul calendar, it's number two.
[01:40:24.090 --> 01:40:31.614]  If you want to see some attractive women supporting Ron Paul, it's a 13-month calendar.
[01:40:31.694 --> 01:40:32.995]  It's $11.99 for plus $80.
[01:40:33.395 --> 01:40:35.336]  It's $11.99 for the calendar.
[01:40:35.816 --> 01:40:36.356]  I hear you, bro.
[01:40:36.396 --> 01:40:37.297]  I appreciate your call.
[01:40:38.538 --> 01:40:40.782]  Let's go ahead now and take another call.
[01:40:40.802 --> 01:40:42.965]  Let's talk to Keith in Kentucky.
[01:40:43.026 --> 01:40:43.827]  Keith, you're on the air.
[01:40:43.847 --> 01:40:44.227]  Go ahead.
[01:40:44.989 --> 01:40:45.730]  Alex, how you doing?
[01:40:45.770 --> 01:40:50.337]  I'm a first-time caller, but I listen to your show on occasion, and I agree with about 85% of what you say.
[01:40:51.917 --> 01:40:59.842]  By the way, he has said that, but some of the biggest Ron Paul sites out there will not allow it to be discussed and basically say it isn't true.
[01:41:11.495 --> 01:41:21.418]  Well, I'm an in-closet conspiracy theorist, and I guarantee you that if they don't kill him, they will definitely do whatever it takes to end his ability to help to run a strong campaign.
[01:41:21.518 --> 01:41:22.578]  Well, look, I'll say this, sir.
[01:41:23.878 --> 01:41:25.679]  I brought that up three months ago to Ron Paul.
[01:41:25.719 --> 01:41:27.720]  You can go to the story about Daniel Esterlin.
[01:41:29.240 --> 01:41:30.900]  Elita's consider assassinating Ron Paul.
[01:41:30.920 --> 01:41:32.041]  TopInfoWorks.com.
[01:41:33.121 --> 01:41:34.461]  And you can go hear Esterlin.
[01:41:34.481 --> 01:41:36.142]  You can also go hear Ron Paul three months ago.
[01:41:36.842 --> 01:41:40.323]  And I brought this up to him, and he said, yeah, they kill people all the time, and yeah, we get big enough, let's try.
[01:41:41.149 --> 01:41:43.836]  But the tree of liberty is water with the blood of patriots and tyrants.
[01:41:44.654 --> 01:41:46.736]  And sometimes you just have to do what you have to do.
[01:41:47.236 --> 01:41:56.222]  Now, if we talk about how they could kill him, and if we talk about how we've got intel that they're discussing it, and they're trying to decide, would this hurt them, what would happen if they did, then they won't do it.
[01:41:56.703 --> 01:42:03.888]  But if we say, oh, that's a conspiracy, even though Ron Paul says it's a possibility, and keep ourselves in that box, then we're in deep trouble.
[01:42:04.148 --> 01:42:04.348]  Okay?
[01:42:04.368 --> 01:42:05.169]  It's that simple.
[01:42:05.669 --> 01:42:06.970]  Let's race through calls here.
[01:42:07.510 --> 01:42:11.013]  Let's go ahead and talk to Dave in Ohio.
[01:42:11.233 --> 01:42:12.334]  You're on the air, Dave, go ahead.
[01:42:13.317 --> 01:42:13.957]  Hi, Alex.
[01:42:13.977 --> 01:42:18.479]  Isn't this really about the sovereignty of the United States of America?
[01:42:18.559 --> 01:42:21.680]  I mean, when were we no longer a sovereign nation?
[01:42:21.960 --> 01:42:24.661]  When did the WTO have more authority over our trade than Congress?
[01:42:24.841 --> 01:42:25.882]  That's global government!
[01:42:26.022 --> 01:42:26.502]  We're in it!
[01:42:26.642 --> 01:42:28.503]  And now the WTO gets the U.S.
[01:42:28.523 --> 01:42:31.284]  to sign on to a global carbon tax, to fund the U.N.
[01:42:31.484 --> 01:42:32.224]  You think the U.N.'
[01:42:32.204 --> 01:42:33.104]  's bad now, folks?
[01:42:33.324 --> 01:42:34.065]  It's getting teeth.
[01:42:34.145 --> 01:42:34.585]  Trillions.
[01:42:36.966 --> 01:42:40.387]  And all the regulatory control, all of it, I hear you and I appreciate your call.
[01:42:40.447 --> 01:42:42.348]  Steve in Texas, you're on the air.
[01:42:42.388 --> 01:42:42.988]  Go ahead, Steve.
[01:42:43.761 --> 01:42:44.401]  Yes, Alex.
[01:42:44.562 --> 01:42:50.805]  On November 5th I heard your show and you were talking about how important it was to donate to the Ron Paul campaign.
[01:42:50.825 --> 01:42:53.427]  I've never donated to a presidential campaign.
[01:42:54.888 --> 01:42:57.729]  This is the first campaign I've donated to.
[01:42:57.749 --> 01:42:59.630]  I haven't even voted in five years.
[01:43:00.511 --> 01:43:05.354]  And I donated $100 and this time I've donated the maximum amount.
[01:43:05.374 --> 01:43:10.737]  I gave in $2,000 and now I'm at the maximum.
[01:43:10.877 --> 01:43:12.498]  We'll actually give $200 more, but good job.
[01:43:12.518 --> 01:43:12.798]  Go ahead.
[01:43:14.263 --> 01:43:17.144]  Yeah, I gave $200 on another.
[01:43:17.564 --> 01:43:29.207]  And I gave $2,000 today, and I want to personally thank you for doing it, for encouraging people to donate, because you, you put me over the edge.
[01:43:29.247 --> 01:43:38.810]  I was thinking about it, but it was what you had said that had inspired me to get out and donate.
[01:43:39.110 --> 01:43:39.790]  God bless you, sir.
[01:43:39.810 --> 01:43:41.351]  Call me back tomorrow, and I'm live at 11 to 2.
[01:43:41.391 --> 01:43:42.971]  Let me just say this in the last minute we've got.
[01:43:44.236 --> 01:43:46.837]  Even if Ron Paul doesn't win, he injects real ideas.
[01:43:47.177 --> 01:43:49.978]  He wakes up other people to the freedom movement, the liberty movement.
[01:43:50.038 --> 01:43:50.498]  It's growing.
[01:43:50.518 --> 01:43:52.299]  Who would have ever thought we'd come this far this fast?
[01:43:52.359 --> 01:43:53.200]  We're going to win.
[01:43:53.640 --> 01:43:57.261]  We have to first realize we're going to win, whether it's with Ron Paul or down the road.
[01:43:57.361 --> 01:43:59.782]  The collision of tyranny versus liberty is happening.
[01:43:59.802 --> 01:44:03.423]  That's why they've tried to put the cameras, the face scanners, the police state grid in place.
[01:44:03.644 --> 01:44:04.624]  But most cops are good.
[01:44:04.824 --> 01:44:06.265]  The majority of the military are good.
[01:44:06.485 --> 01:44:07.425]  They're good Americans.
[01:44:07.665 --> 01:44:08.766]  People worldwide are good.
[01:44:08.806 --> 01:44:09.806]  They don't want this tyranny.
[01:44:11.017 --> 01:44:13.838]  And so, it isn't win or lose.
[01:44:13.898 --> 01:44:14.758]  It's do the right thing.
[01:44:14.898 --> 01:44:15.618]  Justice be done.
[01:44:15.658 --> 01:44:16.598]  May the heavens fall.
[01:44:17.519 --> 01:44:18.239]  Duty is ours.
[01:44:18.299 --> 01:44:19.419]  Consequence belongs to God.
[01:44:19.799 --> 01:44:20.700]  Take action now.
[01:44:21.100 --> 01:44:22.240]  Get involved in history.
[01:44:22.540 --> 01:44:24.661]  Now, ladies and gentlemen, get fired up.
[01:44:24.701 --> 01:44:25.481]  Say you're mad at Seller.
[01:44:25.501 --> 01:44:26.421]  You're not going to take it anymore.
[01:44:26.801 --> 01:44:29.102]  Alright, if you missed seeing the show, it's about to restart at Infowars.com.
[01:44:29.142 --> 01:44:31.802]  To all of our affiliates, God bless you all.
[01:44:31.862 --> 01:44:33.583]  Thank you for everything you're doing.
[01:44:34.423 --> 01:44:36.444]  We'll see you back here next Sunday, 4 to 6 p.m.
[01:44:36.464 --> 01:44:36.724]  Central.
[01:44:36.824 --> 01:44:38.204]  Now get out there and take on the new world.
[01:44:38.943 --> 01:44:39.844]  Hi, this is Ted Anderson.
[01:44:39.864 --> 01:44:41.685]  Did you miss your favorite shows on GCN today?
[01:44:42.005 --> 01:44:49.549]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[01:44:50.029 --> 01:44:55.692]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[01:44:56.073 --> 01:44:56.913]  It's simple to use.
[01:44:57.193 --> 01:45:01.356]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[01:45:01.896 --> 01:45:02.736]  Don't get discouraged.
[01:45:02.856 --> 01:45:04.097]  Get On Demand, free!
[01:45:04.557 --> 01:45:07.399]  Thanks again to the listeners at GCNlive.com.
[01:45:09.423 --> 01:45:11.903]  Are your Federal Reserve notes looking for a safe haven?
[01:45:12.364 --> 01:45:14.264]  Mine found it in precious metals.
[01:45:14.984 --> 01:45:18.145]  Not paper promises, but actual gold in my possession.
[01:45:18.805 --> 01:45:25.266]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:45:26.046 --> 01:45:28.266]  Find your answer at Midas Resources.
[01:45:28.627 --> 01:45:28.867]  That's 1-800-686-2237.
[01:45:28.887 --> 01:45:29.367]  The answer is at 1-800-686-2237.
