[00:00:00.309 --> 00:00:02.631]  Find out right now.
[00:26:51.917 --> 00:26:52.937]  Get in their faces.
[00:26:52.937 --> 00:26:58.618]  And the more of you that do it, the easier it's going to be, and the more and the easier it's going to be to get away with it.
[00:26:58.618 --> 00:27:00.218]  So I'm really proud of people that do that.
[00:27:00.218 --> 00:27:03.039]  We'll talk about that also in the second hour of the broadcast today.
[00:27:03.759 --> 00:27:12.829]  One of the things we mentioned in this clip was depleted uranium, and we have a story on that put out, I believe, by the Daytona Beach News Journal.
[00:27:12.829 --> 00:27:16.293]  Soldier health scare back in the news.
[00:27:16.293 --> 00:27:17.054]  It goes like this.
[00:27:17.054 --> 00:27:25.343]  Lori Brim cradled her son in her arms for three months before he died at the famous now Walter Reed Army Medical Center in Washington.
[00:27:26.247 --> 00:27:40.334]  Dustin Brim, a 22-year-old Army specialist, had collapsed three years ago in Iraq from a very aggressive cancer that attacked his kidney and caused a mass growth over his esophagus and a collapsed lung.
[00:27:40.334 --> 00:27:51.560]  The problem she saw during her time at Walter Reed, including her son screaming in pain while doctors argued over medications, had nothing to do with the mold and the shabby conditions documented in recent news reports.
[00:27:52.429 --> 00:27:56.810]  What his mother saw was an unexplainable illness consuming her son.
[00:27:56.810 --> 00:28:01.651]  And what she has learned since her son's death is that this was not an isolated case.
[00:28:01.651 --> 00:28:18.455]  Lori Brim has joined other parents, hundreds of other sick soldiers, legislators, research scientists, and environmental activists who say the cause of their problems results from exposure to depleted uranium, a radioactive metal used in the manufacturing of US tank armor and weapons casings.
[00:28:19.309 --> 00:28:23.692]  Health and environmental effects of depleted uranium are at the heart of scientific studies.
[00:28:23.692 --> 00:28:28.515]  A lawsuit in the New York courts and legislative bills in more than a dozen states.
[00:28:28.515 --> 00:28:32.017]  Although, as they note in this article, not in Florida.
[00:28:32.017 --> 00:28:39.822]  News stories claiming negative signs of depleted uranium's impact, including death and birth defects, are surfacing from Australia to England to the Far East.
[00:28:39.822 --> 00:28:47.447]  The controversy rages within government bodies and underlines the theme of TV shows, like a recent episode of the medical series, House.
[00:28:48.826 --> 00:28:49.386]  Gotta see that.
[00:28:49.386 --> 00:28:57.292]  If anybody has that issue of House, I can't stand that show, but if they're talking about depleted uranium, I'd sure like to see it.
[00:28:57.292 --> 00:29:09.981]  While the military continues to deny the connection of depleted uranium to sickness plaguing returning servicemen and women, the newly mandated study stemming from legislation signed by President Bush in October is just getting underway.
[00:29:09.981 --> 00:29:13.964]  A too little too late will be the headline of that particular column.
[00:29:15.166 --> 00:29:20.887]  A new study which begins in March follows several that have been completed by the military into depleted uranium.
[00:29:20.887 --> 00:29:26.729]  A byproduct left when enriched uranium is separated out for use in nuclear power and atomic weapons.
[00:29:26.729 --> 00:29:35.531]  The Department of Energy gives it to arms makers where its extreme density is valuable in the manufacture of armor and casings.
[00:29:36.926 --> 00:29:48.692]  I wonder if George Bush or the legislators or anybody looking into this, this particular woman in general and their coalition, have had a chance to talk to Colonel Doug Rocky.
[00:29:48.692 --> 00:29:59.177]  Despite a 1996 UN resolution opposing its use because of the discovery of health problems after the first Gulf War, that's right, it's been acknowledged by the United Nations, it must be true,
[00:30:00.467 --> 00:30:09.129]  The military studies have concluded there was no evidence that exposure to the metal caused illness, except the evidence of the dying cancerous soldiers.
[00:30:09.129 --> 00:30:10.949]  We can talk more about it on the program today as well.
[00:30:10.949 --> 00:30:12.529]  Thanks for listening to the Alex Jones Show, folks.
[00:30:12.529 --> 00:30:13.829]  We'll be right back after this.
[00:30:13.829 --> 00:30:26.111]  Infowars.com.
[00:30:26.111 --> 00:30:27.492]  We're on the march.
[00:30:27.492 --> 00:30:29.012]  The Empire's on the run.
[00:30:30.018 --> 00:30:36.422]  Alex Jones and the GCN Radio Network.
[00:30:36.422 --> 00:30:40.245]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:30:40.245 --> 00:30:41.406]  Look no further!
[00:30:41.406 --> 00:30:44.388]  Northern Voice Bookstore has everything you need.
[00:30:44.388 --> 00:30:53.054]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:30:53.054 --> 00:30:54.755]  You can order everything you need on the web
[00:30:55.055 --> 00:30:55.655]  We're good to go.
[00:31:23.582 --> 00:31:24.083]  We're good to go.
[00:31:36.112 --> 00:31:43.600]  Craig Walcott, chartered financial consultant and host of the Dead Doctors Don't Lie radio program and million-dollar earner in the network marketing field since 1989.
[00:31:43.600 --> 00:31:45.622]  I certainly know what it takes to succeed.
[00:31:45.622 --> 00:31:51.267]  I also know without proper tools, your chance for significant income in the network marketing field can quickly fade.
[00:31:51.267 --> 00:31:57.173]  The sad truth is that 99% of the people who enter network marketing will never spend the time nor money to develop the skills they need.
[00:31:57.453 --> 00:32:00.074]  That's where MLM Incorporated steps in.
[00:32:00.074 --> 00:32:07.175]  No matter what network marketing venture you're involved in, MLM Incorporated can provide you the successful tools you need to truly succeed.
[00:32:07.175 --> 00:32:16.937]  A subscription to MLM Incorporated will provide you access to the three-hour industrial revolution of network marketing seminar where you will learn to perform at a level you never thought possible.
[00:32:16.937 --> 00:32:20.318]  Radio, TV, Internet, direct mail will all be at your fingertips.
[00:32:20.498 --> 00:32:22.680]  Weekly training calls, no additional charge.
[00:32:22.680 --> 00:32:25.183]  Plus so much more can't be mentioned in 60 seconds.
[00:32:25.183 --> 00:32:31.609]  Visit MLMincorporated.com to hear how you can become one of the elite income earners in the network marketing field.
[00:32:31.609 --> 00:32:35.093]  MLMincorporated.com where your success is guaranteed.
[00:32:35.971 --> 00:32:40.913]  Summer is once again just around the corner, and as usual, so are higher gas prices.
[00:32:40.913 --> 00:32:44.555]  This year, stop taking it on the chin and start fighting back.
[00:32:44.555 --> 00:32:53.560]  Ethos FR, a product tested and found worthy by NBC and Fox News, can save you up to 19% on fuel and reduce emissions by up to 30%.
[00:32:53.560 --> 00:33:00.583]  Unlike other products and gadgets you've seen advertised, Ethos FR attacks the source of the problem, unburned fuel.
[00:33:00.583 --> 00:33:04.285]  You see, exhaust is essentially unburned fuel that's expelled from your tailpipe.
[00:33:04.765 --> 00:33:10.008]  That equates to toxins being released into the environment and dollars being released from your wallet.
[00:33:10.008 --> 00:33:17.233]  But with Ethos FR, fuel burns more completely, helping your engine to deliver better mileage and helping you to save money.
[00:33:17.233 --> 00:33:19.294]  And it's so easy to use!
[00:33:19.294 --> 00:33:25.198]  Simply pour a couple of ounces into your tank at every fill-up and you're on your way to saving money and the environment.
[00:33:25.658 --> 00:33:32.324]  So, do yourself and the environment a favor and visit ctsavegas.com to get your bottle today.
[00:33:32.324 --> 00:33:37.549]  That's ctsavegas.com.
[00:33:37.549 --> 00:33:40.772]  Get up, stand up.
[00:33:40.772 --> 00:33:44.635]  Stand up for your right.
[00:33:44.635 --> 00:33:46.437]  Get up, stand up.
[00:33:54.512 --> 00:34:05.115]  If you don't stand up for your rights, I don't know who's going to.
[00:34:05.115 --> 00:34:18.340]  And I'd like to say, get under your bed, get up in your attic, find the lockbox that has your constitutional rights in it, your God-given rights, break it open,
[00:34:19.125 --> 00:34:20.206]  And start using them.
[00:34:20.206 --> 00:34:23.989]  If you don't, they're going to go away and be replaced with privileges.
[00:34:23.989 --> 00:34:25.049]  Thanks for joining us again, folks.
[00:34:25.049 --> 00:34:28.252]  Jack Blood sitting in if you just joined us for the Alex Jones program today.
[00:34:28.252 --> 00:34:34.956]  We're expecting Alex to join us any minute on the program today, analyzing and breaking down some breaking news stories.
[00:34:34.956 --> 00:34:39.840]  So for you, again, talking to Joseph Kilgus in the second hour of the program today about their
[00:34:40.060 --> 00:34:43.863]  9-11 Truth Action on John Kerry here in Austin, Texas over the weekend.
[00:34:43.863 --> 00:34:44.864]  We'll be going to your calls at 800-259-9231.
[00:34:44.864 --> 00:34:44.944]  1-800-259-9231.
[00:34:44.944 --> 00:34:45.925]  We'll get to you as soon as possible.
[00:34:45.925 --> 00:34:47.146]  Just a ton of news to report today.
[00:34:47.146 --> 00:34:49.908]  As I like to always correct myself, it's only 1,000 pounds of news to report today.
[00:34:49.908 --> 00:34:50.049]  Maybe 1,500.
[00:34:50.049 --> 00:34:50.289]  Not 2,000 pounds.
[00:34:50.289 --> 00:34:50.689]  So a ton of news.
[00:34:50.689 --> 00:34:51.790]  Possibly a misnomer.
[00:35:01.378 --> 00:35:06.100]  Going back to depleted uranium, I think this is an extremely important issue to discuss.
[00:35:06.100 --> 00:35:11.623]  In fact, we do get distracted quite a bit in supporting the troops to forget how to support the troops.
[00:35:11.623 --> 00:35:15.925]  And one way to do that is to blow open the whole depleted uranium issue.
[00:35:15.925 --> 00:35:26.930]  Of course, our friend Dr. Doug Rocky is the one who instituted the Pentagon's study on how to use this, what would be the only appropriate way to use it.
[00:35:26.930 --> 00:35:28.511]  He, of course, went to Iraq and
[00:35:29.111 --> 00:35:33.973]  Oversaw the cleanup of depleted uranium, which is just beyond imagination.
[00:35:33.973 --> 00:35:48.059]  And not just in Iraq, by the way, or Afghanistan, folks, or in war zones around the world, but right here in the United States, as depleted uranium is tested in the United States at battlegrounds, testing grounds, various military bases throughout the country.
[00:35:49.351 --> 00:35:54.933]  But look, I mean, if we support our troops, and when I heard the Walter Reed story, this is the first thing I thought of.
[00:35:54.933 --> 00:36:01.034]  Man, we've got to get Doug Rocky up, we've got to have Doug Rocky talk about depleted uranium, because this is the underlying story.
[00:36:01.034 --> 00:36:08.236]  So when we talked earlier in the last segment about George W. Bush signing a Department of Defense authorization legislation in 2006, October 2006,
[00:36:10.857 --> 00:36:16.343]  Which accompanied a House Amendment, which was authored and introduced by Jim McDermott.
[00:36:16.343 --> 00:36:26.073]  He is a Democrat, or maybe was a Democrat in Washington, ordering a comprehensive study about depleted uranium, which was due in one year.
[00:36:26.073 --> 00:36:27.514]  So that would be October 2007.
[00:36:27.514 --> 00:36:28.455]  It would be potentially due.
[00:36:32.186 --> 00:36:36.729]  We have to ask, are you talking to Dr. Doug Rocky?
[00:36:36.729 --> 00:36:45.873]  In fact, I believe, and I'd like to give you a call to action, people who say, you never tell us what to do, we don't know what to do, here's something you can do.
