[00:00:00.049 --> 00:00:00.449]  The 8.
[00:23:14.795 --> 00:23:16.836]  Are new clients a little harder to come by lately?
[00:23:17.316 --> 00:23:18.297]  Well, maybe we can help!
[00:23:18.797 --> 00:23:26.080]  Advertise your business on the GCN Radio Network and you'll soon find out why companies all across the country are experiencing a steady flow of new customers.
[00:23:26.480 --> 00:23:28.301]  It's not by coincidence, it's by design.
[00:23:28.761 --> 00:23:34.063]  At GCN, we can increase your business with an ad package that's built specifically for your particular product or service.
[00:23:34.464 --> 00:23:37.465]  Join the many satisfied advertisers on the GCN Radio Network
[00:23:37.645 --> 00:23:39.967]  Who found out that the economy isn't so bad after all?
[00:23:40.267 --> 00:23:46.633]  Call toll-free 877-996-4327 extension 106 for quotes or more information.
[00:23:46.953 --> 00:23:51.637]  That number again is 877-996-4327 extension 106.
[00:23:51.997 --> 00:23:53.158]  Everyone listens to radio.
[00:23:53.479 --> 00:23:55.981]  It's the most cost-effective way to increase business available.
[00:23:56.321 --> 00:23:58.243]  Don't wait around hoping for a stronger economy.
[00:23:58.443 --> 00:24:01.525]  The country might be slipping into recession, but your business doesn't have to.
[00:24:01.926 --> 00:24:04.308]  Call GCN today and get more customers tomorrow.
[00:24:11.158 --> 00:24:16.299]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:24:16.980 --> 00:24:19.360]  Because there's a war on for your mind.
[00:24:22.461 --> 00:24:37.085]  Remember, just over the weekend, Michael Mecher, the energy chieftain over in England, came out and said the PNAC document show, Globalist, allowed September 11th to take place.
[00:24:37.105 --> 00:24:38.045]  It was premeditated.
[00:24:39.091 --> 00:24:49.114]  Project for the American Century, and he quotes them about how they need a Pearl Harbor terrorist attack to launch this global war for empire, an empire that you'll be totally enslaved in.
[00:24:49.134 --> 00:25:07.820]  And we've done a really big update with some of the newest information on September 11th with the archives and just a lot of amazing stuff at InfoWars.com as well as PrisonPlanet.com on this September 11th, so please direct your friends and family to the site, especially so they can read what
[00:25:10.077 --> 00:25:21.906]  What Member of Parliament Metcher had to say about how the globalists are using these terror attacks to get us to accept all of this tyranny.
[00:25:23.147 --> 00:25:29.892]  Then we have all these other reports, too, where ABC ships in more depleted uranium.
[00:25:30.032 --> 00:25:35.056]  Oh, look, we can get hit any minute, see, creating the idea that, of course, nothing will be done at the borders.
[00:25:35.692 --> 00:25:41.634]  You're just going to be searched and controlled internally by the new Commissariat Internal Federal Police.
[00:25:42.235 --> 00:25:43.535]  That, oh, see, we can get hit.
[00:25:43.595 --> 00:25:44.615]  The nukes can get us.
[00:25:44.655 --> 00:25:45.916]  The dirty bombs are going to get us.
[00:25:46.596 --> 00:25:47.497]  Any minute!
[00:25:48.077 --> 00:25:55.900]  They talk about how deadly the dirty bombs are, and how we'll have to evacuate whole cities, and our lives will never be the same, and there won't be any more freedom, but that's okay.
[00:25:55.920 --> 00:25:57.100]  The government's going to keep us safe.
[00:25:57.841 --> 00:26:04.123]  When they've turned much of Iraq into a dirty bomb, with the thousands of tons of depleted uranium,
[00:26:05.220 --> 00:26:09.303]  Again, at 1,900 times the safe levels that they've sprayed all over the country.
[00:26:10.824 --> 00:26:17.790]  And remember that Lord Bush says that he needs more police powers versus terror in his speech, and that Bin Laden is still out there and is going to get us.
[00:26:18.370 --> 00:26:24.755]  Like a jack-in-the-box, Bin Laden comes hopping back out, saying that he's going to get us.
[00:26:25.576 --> 00:26:31.701]  It also came out a few weeks ago in MSNBC and other publications that Bush, White House ordered the
[00:26:32.825 --> 00:26:46.669]  Environmental Protection Agency who lie about all the toxic chemicals that came down with the towers and the clouds of asbestos and all sorts of carcinogens and now thousands of Ground Zero rescuer workers are ill.
[00:26:47.889 --> 00:26:59.853]  And what we did on this show is we had a drive to mail breathing gas mask and breathing apparatus to a local church right there at the block from the towers.
[00:27:00.729 --> 00:27:03.072]  Uh, so that you could deliver breathing apparatus.
[00:27:03.413 --> 00:27:09.321]  We didn't say send money to United Way and, uh, Red Cross, which went directly to Handgun Control Incorporated.
[00:27:09.701 --> 00:27:12.385]  We knew what they were doing, day one, because we've watched them in the past.
[00:27:13.104 --> 00:27:18.388]  We said send them breathing apparatus, and some of you did, and so some may not be as ill because of that.
[00:27:18.448 --> 00:27:19.429]  Good job, listeners.
[00:27:19.449 --> 00:27:21.510]  Of course, we did that within a week of the attacks.
[00:27:22.111 --> 00:27:24.513]  Day one, I said it was the government, elements of the government.
[00:27:24.913 --> 00:27:33.179]  I said call the White House in July of 2001, two months before 9-1-1, and I said they're going to use bin Laden to attack New York.
[00:27:33.199 --> 00:27:35.161]  They're going to blame it on bin Laden, their asset.
[00:27:35.181 --> 00:27:37.002]  I wonder who else did that?
[00:27:37.737 --> 00:27:38.557]  How did I know that?
[00:27:38.657 --> 00:27:40.118]  Because of the threat matrix.
[00:27:40.378 --> 00:27:46.861]  The real threat matrix that I've got in my brain that I unfortunately cannot articulate in its full scope to you.
[00:27:48.281 --> 00:27:54.804]  Let's just say the threat matrix right now is off the charts of the globalist terrorists and what they're getting ready to do.
[00:27:54.884 --> 00:27:57.084]  The smiling, the smirking, the sneaking around.
[00:27:58.245 --> 00:28:03.547]  They've allowed the complaining about the Patriot Act 1 and 2 and Victory Act 1 and 2 to grow to a crescendo.
[00:28:03.927 --> 00:28:06.128]  They're going, hey, we gotta do this to keep you safe.
[00:28:06.880 --> 00:28:12.223]  You're holding us back from keeping you safe, and they carry out more terror, and say, see, we told you so.
[00:28:12.783 --> 00:28:17.646]  Iran's behind it, Syria's behind it, North Korea's behind it, we've got to go into all these countries.
[00:28:18.286 --> 00:28:30.593]  While we're busy doing that, China says it's going to take Taiwan, and we go into World War III, national draft, compulsory national service, total enslavement.
[00:28:32.214 --> 00:28:36.316]  So that's what we face right now, here in America.
[00:28:38.809 --> 00:28:49.221]  And if we do not cause a revelation, a renaissance of understanding now, which has been taking place, that when you give up liberty, you get tyranny, you don't get security.
[00:28:49.882 --> 00:28:58.933]  And that the government is cynically, with the media, terrorizing the American people, putting in touchscreen election systems that are fraud-based, admittedly.
[00:28:59.460 --> 00:29:01.922]  Putting in control grids, putting in biometrics.
[00:29:02.302 --> 00:29:11.410]  Reuters and ABC reported that everything's going to be microchip tracked, like the tracker chips that are in your cell phones by GPS off the cell towers.
[00:29:12.276 --> 00:29:18.621]  That to have a job, you're going to have to have an RFID chip that tracks you, quote, so everyone can be evacuated.
[00:29:18.681 --> 00:29:23.645]  And there's going to be infrared scanners in the cars with the police watching you for your safety.
[00:29:24.046 --> 00:29:25.807]  This is all mainstream, folks.
[00:29:26.387 --> 00:29:28.129]  Just untold craziness.
[00:29:28.509 --> 00:29:30.270]  Big Brother on steroids.
[00:29:31.151 --> 00:29:32.712]  Big Brother at warp speed.
[00:29:34.934 --> 00:29:40.279]  Alright, we're going to come back with more news and our guest, of course, Congressman Ron Paul, talking about the neocons.
[00:29:41.661 --> 00:29:43.322]  And his prediction that we're going to have a depression.
[00:29:44.182 --> 00:29:45.423]  And much, much more!
[00:29:46.543 --> 00:29:47.664]  I'm Alex Jones.
[00:29:47.684 --> 00:29:50.265]  The website's InfoWars.com and PrisonPlanet.com.
[00:29:50.285 --> 00:29:53.186]  I hope you call your friends and family and tell them to tune in.
[00:29:54.087 --> 00:29:56.048]  Right now, we'll be right back.
[00:30:00.750 --> 00:30:01.690]  We're on the march.
[00:30:02.150 --> 00:30:03.811]  The Empire's on the run.
[00:30:03.851 --> 00:30:07.353]  Alex Jones and the GCN Radio Network.
[00:30:10.857 --> 00:30:14.760]  Black Berkey Replacement Elements are ideal for use in any gravity filter.
[00:30:14.960 --> 00:30:20.443]  These self-sterilizing filters can transform raw pond and lake water into delicious crystal clear drinking water.
[00:30:20.703 --> 00:30:23.305]  Ideal for 404 incredible savings!
[00:30:23.705 --> 00:30:25.226]  Call 800-569-4340 or visit on the web at CliffScott.com
[00:30:41.900 --> 00:30:45.183]  Alright my friends, we're back live, 33 minutes into the show.
[00:30:46.103 --> 00:30:57.994]  On this September 11, 2003, the two year anniversary, and I'm going to go back over what we've seen develop with our liberties and freedoms in the last two years after we're done talking to Congressman Ron Paul.
[00:31:00.191 --> 00:31:05.175]  And Congressman Ron Paul joined us just a few days ago, but we had to cut that interview a little bit short.
[00:31:05.235 --> 00:31:06.677]  Now he is back on with us.
[00:31:07.317 --> 00:31:09.619]  And Congressman, thank you for spending time with us today.
[00:31:09.639 --> 00:31:10.420]  You're welcome.
[00:31:10.460 --> 00:31:11.060]  Good to be with you.
[00:31:12.021 --> 00:31:23.531]  Congressman, I spoke at a meeting to a crowd that you later addressed a few weeks ago out at McKinney Roughs outside Austin, where your district begins here in Texas.
[00:31:24.672 --> 00:31:27.273]  I had a chance to be there during your speech.
[00:31:27.313 --> 00:31:34.196]  You talked about the neocons, the war on terror, the economy, the depression that's coming because of the financial policies.
[00:31:35.416 --> 00:31:38.137]  I would like to talk about the neocons, your neocons speech.
[00:31:38.177 --> 00:31:39.578]  I'd like to talk about the economy.
[00:31:39.598 --> 00:31:48.662]  I'd like to talk about the different facets of what you, during question and answer, said is a move by people who want global government.
[00:31:50.462 --> 00:31:52.183]  Say that again?
[00:31:53.044 --> 00:31:59.348]  Well, at the end of the speech, you also answered a question by a listener about those that are pushing for global government.
[00:31:59.368 --> 00:32:00.148]  Can you speak to that?
[00:32:00.168 --> 00:32:00.849]  Oh, okay.
[00:32:01.409 --> 00:32:15.677]  Yes, because I think, and it was sort of asked, you know, about the conspiracy and the people who plan, and my answer was that yes, there are people, but I think they're really pretty much out in the open.
[00:32:15.857 --> 00:32:20.360]  The people I run into actually just disagree with me on national sovereignty.
[00:32:20.851 --> 00:32:21.051]  I think?
[00:32:42.873 --> 00:32:49.818]  Many of the people who are the intellectuals and the followers are very sincere people who just think, well, you know, this is different.
[00:32:49.838 --> 00:32:51.760]  This is, uh, the world's different.
[00:32:51.840 --> 00:32:53.541]  We do need one world government.
[00:32:53.641 --> 00:32:55.142]  We do need these standards.
[00:32:55.202 --> 00:32:59.145]  We need world courts and we need, uh, uh, the United Nations.
[00:32:59.165 --> 00:33:01.447]  I just flat out disagree with them.
[00:33:01.547 --> 00:33:04.890]  I think the smaller units of governments are better.
[00:33:05.050 --> 00:33:06.471]  And I think the founders were right.
[00:33:06.511 --> 00:33:09.473]  They didn't even nationally, they didn't want a strong central government.
[00:33:09.493 --> 00:33:11.595]  They wanted state government and states ought to want
[00:33:12.519 --> 00:33:14.820]  Congressman Ron Paul,
[00:33:39.674 --> 00:33:46.638]  You gave a speech on July 10th on the floor of the House that we have posted on InfoWars.com.
[00:33:46.678 --> 00:33:53.782]  It's also on your website, and we'll give that address out in a few minutes, titled, Neocon.
[00:33:54.042 --> 00:34:02.447]  And you used quotes by prominent Neocon leaders, people that are in the White House, in the Cabinet, outside the White House.
[00:34:02.907 --> 00:34:06.649]  You quoted from a book that you've been given at a Republican leadership conference.
[00:34:07.744 --> 00:34:22.793]  And you talked about the Trotskyite, Machiavellian, entering into evil social welfare states, big government Republican ideas, and how the conservative revolution has been totally co-opted.
[00:34:22.813 --> 00:34:26.015]  Now, those are quotes from your speech.
[00:34:26.075 --> 00:34:32.298]  Can you speak to the neocons, and how one of the neocons you quoted called up and told you, how dare you?
[00:34:33.863 --> 00:34:52.890]  Yeah, and the book I clarified the most in that speech was by Michael Ledeen, who works at the American Enterprise Institute, and this is where the individuals are congregated that, you know, are those philosophers behind this, and they believe it.
[00:34:54.230 --> 00:34:56.691]  They're a little bit different than the average lefty
[00:34:57.542 --> 00:34:59.444]  Internationalist that wants to run the UN.
