[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[00:24:52.924 --> 00:25:10.273]  Proud to have Dr. Corsi on board at InfoWars, forming the nucleus of our Washington Bureau that I hope to have be very, very robust and strong in the battle to restore this republic and freedom and peace worldwide, something Trump talked about in his inauguration speech.
[00:25:10.273 --> 00:25:18.618]  President Obama was given, when he was still president-elect, the Nobel Peace Prize and subsequently launched a whole bunch of wars and bombed, what was it, seven countries.
[00:25:19.733 --> 00:25:32.277]  We have breaking exclusive news from Dr. Jerome Corsi and his extensive connections in the Middle East, where he served as an advisor to the State Department and more, and a lot of classified areas we can't get into.
[00:25:32.277 --> 00:25:36.939]  He has major breaking news exclusive right now.
[00:25:36.939 --> 00:25:39.320]  Dr. Corsi, thanks for giving him full words.
[00:25:39.320 --> 00:25:40.400]  The exclusive.
[00:25:40.400 --> 00:25:41.381]  Well, Alex, it's great.
[00:25:41.381 --> 00:25:48.003]  I'm actually today in Nashville, Tennessee, and working with a really important cybersecurity company, and I just got text
[00:25:48.763 --> 00:25:52.264]  From Top Intelligence in Israel.
[00:25:52.264 --> 00:25:58.146]  Israel has nominated Donald Trump for the 2017 Peace Prize.
[00:25:58.146 --> 00:25:59.827]  He was nominated last year.
[00:25:59.827 --> 00:26:01.887]  There's about 200 nominations.
[00:26:01.887 --> 00:26:11.270]  But this is in advance of Netanyahu, Prime Minister Netanyahu's visit with Trump, which is coming up in the next few days.
[00:26:11.270 --> 00:26:15.792]  And Israel has decided to make this nomination basically on
[00:26:16.590 --> 00:26:19.372]  The decision to move the U.S.
[00:26:19.372 --> 00:26:34.140]  Embassy to Jerusalem and the fact that Donald Trump has had the courage of his convictions, again, another promise in the campaign being fulfilled, taking, I think, an historic, maybe even biblical step to legitimate the state of Israel.
[00:26:34.140 --> 00:26:42.084]  And the way I read the Bible, the Bible basically says those who help Israel, God helps, and Donald Trump's on the right side here.
[00:26:43.430 --> 00:27:00.189]  Well certainly Providence that he invoked during the inaugural speech is with our Republic and of course England began to help the Jews when they were being persecuted going back a thousand years ago in Europe and of course it's been known since then that's why England had so much great Providence.
[00:27:01.330 --> 00:27:04.972]  And also, of course, the Christian faith in Christ being number one.
[00:27:04.972 --> 00:27:13.759]  But that covenant has clearly been passed on, not just to all the Gentiles in the world through Christ, but particularly to England and the United States.
[00:27:13.759 --> 00:27:21.305]  Historians, even people that are anti-Western, have marveled that the United States of America has a special providence.
[00:27:21.305 --> 00:27:22.626]  Dr. Corsi?
[00:27:22.626 --> 00:27:26.589]  Yes, well, even while we're talking, Israel, I just got another text message.
[00:27:26.589 --> 00:27:28.210]  I said we were going to break the news on
[00:27:29.042 --> 00:27:32.504]  Alex Jones InfoWars broadcast.
[00:27:32.504 --> 00:27:33.464]  They said one word.
[00:27:33.464 --> 00:27:35.045]  They said, great.
[00:27:35.045 --> 00:27:38.127]  They're thrilled we're going to break the news on Alex Jones InfoWars.
[00:27:38.127 --> 00:27:43.930]  And that comes directly from a source who's really above Mossad and the intelligence structure in Israel.
[00:27:43.930 --> 00:27:45.991]  This is a very historic
[00:27:46.713 --> 00:27:47.053]  Moments.
[00:28:17.073 --> 00:28:20.374]  Donald Trump and give him even an edge in dealing with Russia.
[00:28:20.374 --> 00:28:23.775]  We're going to publish that in the next day or so.
[00:28:23.775 --> 00:28:33.417]  And Israel confirming that they're going to nominate Trump for the Nobel Peace Prize is going to send shockwaves through the world.
[00:28:33.417 --> 00:28:38.738]  And the basic understanding with Donald Trump is there's a new sheriff in town and things are changing.
[00:28:38.738 --> 00:28:46.040]  And the things are changing, finally, in the direction of the Constitution and, I believe, in the direction that God wants it to go in if you read the Bible.
[00:28:47.912 --> 00:29:01.383]  Well, Dr. Corsi, this is breaking news, but I'd like to ask you to hold over to the next longer segment, because I know you sent us your Russia story that's well-documented, and then I talked about adding some more research into it that I've personally been looking at.
[00:29:01.383 --> 00:29:09.890]  As soon as we finish here, if you want to finish adding that other information, I would like to get that out today.
[00:29:09.890 --> 00:29:12.533]  If you'd like to release it in the morning, that's fine as well.
[00:29:12.533 --> 00:29:16.136]  And of course, we're doing this because it's just the truth, and people need to know that
[00:29:16.556 --> 00:29:20.261]  The claim that Trump was being manipulated by Russia is pure bull.
[00:29:20.261 --> 00:29:21.662]  Russia does hope for peace.
[00:29:21.662 --> 00:29:23.244]  Russia does want to work with Trump.
[00:29:23.244 --> 00:29:24.466]  We want to work with Russia as well.
[00:29:24.466 --> 00:29:28.711]  But we have to understand, they have their own leftist system in their government as well.
[00:29:28.711 --> 00:29:30.773]  And everything is basically a double game.
[00:29:30.773 --> 00:29:34.037]  And what Trump's doing, what we're doing, is exposing the double game.
[00:29:34.037 --> 00:29:35.579]  This is really about straight shooting.
[00:29:36.460 --> 00:29:37.461]  So that's what we do.
[00:29:37.461 --> 00:29:50.796]  But I want to come back and get more of this whole Peace Prize announcement that you've been given by your high-level sources, very high-level, I mean as high as they go basically, it's almost ridiculous, that we're getting news of this magnitude.
[00:29:50.796 --> 00:29:51.136]  Stay with us.
[00:30:00.074 --> 00:30:05.436]  We've seen politicians from across the world like whining sniffling babies over Trump's immigration ban.
[00:30:05.436 --> 00:30:14.239]  We've seen Sadiq Khan declare actual war on President Trump because he has the nerve to point out that some people come from terrorist places and we should have a temporary travel ban.
[00:30:14.239 --> 00:30:23.102]  We've seen Chuck Schumer, senator from New York, actually cry stating that the Statue of Liberty is shedding tears because liberty has taken such a hit this week because of Trump's ban.
[00:30:23.342 --> 00:30:24.563]  I've got news for you people!
[00:30:24.563 --> 00:30:29.106]  The countries that are on Trump's ban were actually identified by President Obama.
[00:30:29.106 --> 00:30:34.810]  At least 20 alleged terrorists since 2014 have come from countries affected by Trump's immigration ban.
[00:30:34.810 --> 00:30:39.393]  There's an article up today on the Daily Caller and it identifies these 20 alleged terrorists.
[00:30:39.393 --> 00:30:49.380]  In the past three years, they were actually immigrants or refugees from seven majority Muslim nations that President Trump has temporarily banned in his migration ban on Friday.
[00:30:49.380 --> 00:30:51.822]  These countries include Iraq, Iran, Libya,
[00:30:52.202 --> 00:30:55.183]  Hey everyone!
[00:30:55.183 --> 00:31:06.825]  Pharmacist Ben Fuchs here, host of The Bright Side, and as many of you know, I'm on a mission to help Americans get and stay healthy.
[00:31:06.825 --> 00:31:08.906]  You've all heard the shocking statistics.
[00:31:08.906 --> 00:31:18.128]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are
[00:31:18.328 --> 00:31:19.208]  We're good to go!
[00:31:40.179 --> 00:31:40.379]  Thank you.
[00:32:00.345 --> 00:32:01.926]  This is Alex Jones.
[00:32:01.926 --> 00:32:07.808]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[00:32:07.808 --> 00:32:10.369]  And seriously, I really think everyone should have one of these.
[00:32:10.369 --> 00:32:16.171]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[00:32:16.171 --> 00:32:21.873]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house.
[00:32:22.313 --> 00:32:25.274]  Like a small refrigerator, so you can keep food from spoiling.
[00:32:25.274 --> 00:32:30.836]  Plus, you can take it with you to jump-start cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[00:32:30.836 --> 00:32:37.858]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[00:32:37.858 --> 00:32:42.419]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[00:32:42.679 --> 00:32:45.984]  Go to privatepowergrid.com to watch this thing in action.
[00:32:45.984 --> 00:32:48.087]  That's privatepowergrid.com.
[00:32:48.087 --> 00:32:53.816]  Even better, use coupon code PRIVATE at checkout and get a second PPX energy unit for free.
[00:32:53.816 --> 00:32:56.240]  Check it out at privatepowergrid.com.
[00:32:56.240 --> 00:32:57.943]  That's privatepowergrid.com.
[00:33:13.850 --> 00:33:18.740]  Rallying patriots worldwide in defense of human liberty.
[00:33:18.740 --> 00:33:21.707]  You're listening to the Alex Jones Show!
[00:33:26.141 --> 00:33:34.444]  Ladies and gentlemen, leftist infiltration and Islamic infiltration into this country and into our media is so massive it makes my head spin.
[00:33:34.444 --> 00:33:39.586]  And one of the few places that I was somewhat blind was the Islamic issue.
[00:33:39.586 --> 00:33:42.187]  I knew that radical Islam was funded by Saudi Arabia.
[00:33:42.187 --> 00:33:45.088]  I knew that they were taking over much of the Muslim world.
[00:33:45.968 --> 00:34:00.054]  I knew that Islamic terror was real and a serious threat, but I didn't like seeing us lose our liberties in the name of countering it, and I didn't like that we tended to attack countries that weren't involved in radical Islam or were actually enemies of radical Islam, like Qaddafi or Saddam.
[00:34:00.054 --> 00:34:07.058]  I'm not saying they're good guys, they were bad guys, but they were toppled to make room for the hegemonic takeover of Saudi Arabia.
[00:34:08.470 --> 00:34:12.175]  Michael T. Flynn, General Flynn, is one of the chief advisors to Trump.
[00:34:12.175 --> 00:34:13.316]  He knows this.
[00:34:13.316 --> 00:34:24.932]  He fought when he was still the head of Defense Intelligence three years ago to not back al-Qaeda slash ISIS al-Nusra Front in Syria and other areas in Boko Haram.
[00:34:24.932 --> 00:34:25.593]  And by the way,
[00:34:26.840 --> 00:34:28.281]  You want other big giant news here?
[00:34:28.281 --> 00:34:29.142]  Let me give it to you.
[00:34:29.142 --> 00:34:31.024]  You notice you're not hearing about target lists.
[00:34:31.024 --> 00:34:33.546]  You're not hearing about how many countries are being hit.
[00:34:33.546 --> 00:34:35.148]  You're not hearing about how many targets are being hit.
[00:34:35.148 --> 00:34:39.972]  You're not hearing about Boko Haram being rolled up in Africa.
[00:34:39.972 --> 00:34:43.836]  You're not hearing about all the covert direct action that's going on right now.
[00:34:43.836 --> 00:34:45.738]  As Trump always said, you don't talk about war.
[00:34:46.869 --> 00:34:49.191]  You don't talk about what you're doing.
[00:34:49.191 --> 00:34:54.955]  The enemy obviously knows what's going on now, so I'll just go ahead and tell you because we're about 12 days into this.
[00:34:54.955 --> 00:35:00.099]  ISIS and Al-Qaeda are being taken out all over the world right now in direct action.
[00:35:00.099 --> 00:35:03.802]  Training camps are being taken out all over the world, and I mean all over the world.
[00:35:03.802 --> 00:35:09.967]  Real cells that Obama and Hillary and others had allowed and other Arabists in their administration
[00:35:11.371 --> 00:35:15.494]  Had allowed them to infiltrate and allowed them to set up all over the West.
[00:35:15.494 --> 00:35:18.156]  Those are being rolled up right now.
[00:35:18.156 --> 00:35:29.245]  And, but notice Trump's not bragging about it and they don't have Fox News and CNN going, today the president had, you know, 36 targets hit and then last yesterday, 45 targets hit.
[00:35:29.245 --> 00:35:33.748]  These are all the hundreds and hundreds of targets that Obama would not allow them to target.
[00:35:33.748 --> 00:35:40.614]  Remember when he forced politically because he was helping ISIS to allow some bombing hours before they would rain down leaflets?
[00:35:41.505 --> 00:35:47.008]  And say, you know, don't be in your trucks, don't be out in the open.
[00:35:47.008 --> 00:35:49.369]  But now the command and control is being hit.
