[00:00:05.188 --> 00:00:07.212]  Important instructions will follow.
[00:28:50.339 --> 00:28:51.620]  That's what tears my guts out.
[00:28:51.700 --> 00:28:52.820]  I know what powers Trump.
[00:28:52.900 --> 00:28:54.621]  I know he is the real deal.
[00:28:55.222 --> 00:28:56.423]  He is very fatalistic.
[00:28:56.463 --> 00:28:57.163]  He is committed.
[00:28:57.203 --> 00:28:59.264]  And he just says, I'm doing it this way.
[00:28:59.304 --> 00:29:00.285]  I'm not backing down.
[00:29:00.545 --> 00:29:01.285]  I'm not giving in.
[00:29:01.325 --> 00:29:02.346]  I'm not compromising.
[00:29:02.606 --> 00:29:03.887]  And they can just do whatever they want.
[00:29:03.907 --> 00:29:05.248]  I'm going to fight as hard as I can.
[00:29:05.488 --> 00:29:06.929]  And he doesn't feel sorry for himself.
[00:29:07.169 --> 00:29:08.449]  And he's not demoralized.
[00:29:08.730 --> 00:29:12.572]  The enemy tells you that because they want to demoralize everybody else.
[00:29:15.964 --> 00:29:20.026]  And this fight is so intense right now for the soul of the people.
[00:29:20.547 --> 00:29:21.327]  Look at these articles.
[00:29:21.347 --> 00:29:23.268]  I'm going to come back with the big news with Roger Stone.
[00:29:25.089 --> 00:29:26.090]  Voters to Trump.
[00:29:27.111 --> 00:29:28.752]  They keep having all these fake CNN polls.
[00:29:28.952 --> 00:29:32.254]  You know, like the ones during the campaign and the WikiLeaks, how they were faking them?
[00:29:33.442 --> 00:29:36.983]  But the same known liars have creeped back again with a whole flotilla of fake stuff.
[00:29:37.584 --> 00:29:39.844]  Voters, polls show they don't trust in North Korea.
[00:29:40.685 --> 00:29:42.846]  Polls show they don't like the economy Trump's done.
[00:29:43.106 --> 00:29:44.846]  Polls show the economy's not really that good.
[00:29:45.066 --> 00:29:46.547]  Polls show he's lost all his support.
[00:29:46.787 --> 00:29:50.108]  Well now they keep saying, never tweet, never tweet, never tweet, never tweet, never tweet.
[00:29:50.388 --> 00:29:51.809]  Yes, cut off your communication.
[00:29:52.009 --> 00:29:53.249]  Don't challenge us.
[00:29:53.289 --> 00:29:54.250]  Let us destroy you.
[00:29:54.490 --> 00:29:57.771]  Put down your arms.
[00:29:57.811 --> 00:29:59.992]  Just like saving Private Ryan.
[00:30:00.012 --> 00:30:01.012]  Oh, let's stop fighting.
[00:30:01.072 --> 00:30:02.393]  Oh yes, give me the upper hand.
[00:30:05.069 --> 00:30:09.973]  DNA Force is finally back in stock at Infowarsstore.com.
[00:30:10.674 --> 00:30:15.398]  DNA Force protects your body from the toxic environment that surrounds us all.
[00:30:15.558 --> 00:30:19.741]  The powerful ingredients include Bio-PQQ and Coenzyme Q10.
[00:30:20.221 --> 00:30:22.724]  Protect yourself against dangerous free radicals.
[00:30:22.904 --> 00:30:24.665]  Optimize cellular energy.
[00:30:25.486 --> 00:30:26.407]  It's DNA Force.
[00:30:26.447 --> 00:30:28.308]  It's available for a limited time only.
[00:30:29.089 --> 00:30:32.512]  Get yours today, right now, at Infowarsstore.com.
[00:30:34.508 --> 00:30:38.049]  It's Paul Joseph Watson and the t-shirt has finally arrived.
[00:30:38.509 --> 00:30:44.552]  Nothing triggers safe space snowflakes more than this slogan and my face.
[00:30:44.772 --> 00:30:47.753]  It is the new t-shirt from Infowarsstore.com.
[00:30:48.133 --> 00:30:51.134]  Conservatism is the new counterculture.
[00:30:51.334 --> 00:30:54.775]  You've seen how much this triggers the safe space snowflakes.
[00:30:55.115 --> 00:30:56.876]  The left controls culture.
[00:30:56.896 --> 00:30:57.876]  They control arts.
[00:30:57.936 --> 00:30:59.157]  They control entertainment.
[00:30:59.457 --> 00:31:06.540]  They have the complete monopoly on culture, which is why conservatism is the new counterculture.
[00:31:06.600 --> 00:31:08.981]  We are striking back in the culture war.
[00:31:09.481 --> 00:31:13.343]  This triggers snowflakes like nothing you've ever seen in your life.
[00:31:13.383 --> 00:31:21.466]  You've seen how much they absolutely hate the image of my face and that particular slogan, conservatism is the new counterculture.
[00:31:21.726 --> 00:31:24.427]  This t-shirt is not only a conversation starter,
[00:31:24.827 --> 00:31:27.973]  It will trigger the holy hell out of leftists.
[00:31:28.053 --> 00:31:29.736]  It will make me incredibly happy.
[00:31:29.896 --> 00:31:31.098]  It's available right now.
[00:31:31.399 --> 00:31:33.583]  Get yours at infowarsstore.com.
[00:31:34.662 --> 00:31:35.983]  Why is the fungus?
[00:31:36.063 --> 00:31:37.004]  Why is the mold?
[00:31:37.144 --> 00:31:38.585]  Why is the yeast taking over?
[00:31:38.885 --> 00:31:39.705]  What is going on?
[00:31:39.866 --> 00:31:40.606]  What has changed?
[00:32:04.922 --> 00:32:06.322]  We only have a limited supply of this.
[00:32:06.342 --> 00:32:07.362]  I want to get your reviews.
[00:32:07.382 --> 00:32:08.303]  I want to hear what you have to say.
[00:32:08.323 --> 00:32:09.183]  For me, it's been incredible.
[00:32:09.783 --> 00:32:14.284]  MycoZX, antifungal, antifungus, anti-yeast.
[00:32:14.304 --> 00:32:15.024]  Get it today.
[00:32:15.124 --> 00:32:15.604]  Limited run.
[00:32:15.624 --> 00:32:16.624]  It'll be months till we get more.
[00:32:17.024 --> 00:32:21.205]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[00:32:21.685 --> 00:32:24.966]  I cannot sell something unless it helps somebody.
[00:32:25.026 --> 00:32:27.326]  And you can't support an organization that isn't fighting hard.
[00:32:27.346 --> 00:32:28.746]  Look at the response we're getting.
[00:32:28.766 --> 00:32:30.647]  We're changing the world together.
[00:32:30.707 --> 00:32:31.707]  You are the Infowar.
[00:32:31.727 --> 00:32:32.467]  God bless you all.
[00:32:34.338 --> 00:32:41.243]  Every morning before I start writing or shooting a video, I take two capsules of Brain Force for a sustainable burst of energy.
[00:32:41.483 --> 00:32:45.726]  This is, without question, the most powerful nootropic I've ever taken.
[00:32:46.106 --> 00:32:51.209]  And it comes without any of the crashes or the jitters associated with energy drinks.
[00:32:51.269 --> 00:32:54.251]  It's additive-free, nothing artificial.
[00:32:54.491 --> 00:32:55.712]  It's Brain Force Plus.
[00:32:56.153 --> 00:33:04.178]  Read thousands of five-star independent reviews right now and get your Brain Force Plus at InfoWarsLife.com.
[00:33:08.081 --> 00:33:27.274]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:33:31.192 --> 00:33:32.593]  You gotta hand it to Drudge.
[00:33:32.834 --> 00:33:42.002]  Every day he uses that site, the most dominant news site in the world, number three website total on the planet, as a palette to illustrate where we are.
[00:33:42.042 --> 00:33:44.224]  The site is stark black and white today.
[00:33:44.244 --> 00:33:48.007]  Netanyahu, I won't be toppled is one headline.
[00:33:48.387 --> 00:33:50.930]  North Korea missiles ready.
[00:33:51.470 --> 00:33:55.414]  North Korea prepares nuclear weapon as they threaten the United States.
[00:33:56.701 --> 00:34:06.069]  North Korea has successfully produced a miniaturized nuclear warhead that can fit inside its missiles, crossing a key threshold on the path to becoming a full-fledged nuclear power.
[00:34:06.169 --> 00:34:06.369]  U.S.
[00:34:06.409 --> 00:34:18.639]  intelligence officials have concluded in a confidential assessment, yes, and now they can hit basically as far east of the United States as Chicago.
[00:34:20.481 --> 00:34:21.802]  And another psychotic
[00:34:23.320 --> 00:34:31.265]  Imbred Royal, calling himself a communist, as usual, is threatening to attack the United States.
[00:34:31.385 --> 00:34:33.406]  And leftist media is blaming Trump.
[00:34:34.366 --> 00:34:41.170]  When this has been brewing for decades and the Clintons gave him the reactors and gave him the missile technology, that was all over the news.
[00:34:41.210 --> 00:34:42.611]  That's even New York Times admits that.
[00:34:42.811 --> 00:34:43.612]  But that's okay!
[00:34:44.652 --> 00:34:48.274]  We've got a grand jury and panel where 93% of the voters voted Democrat.
[00:34:48.975 --> 00:34:52.357]  In the District of Swamps, in the District of Criminals, the District of Columbia,
[00:34:53.601 --> 00:34:57.913]  By Mueller, where his law firm and the group he's assembled gave 99.8% of their money to Hillary.
[00:35:00.239 --> 00:35:02.500]  Completely should recuse themselves.
[00:35:02.600 --> 00:35:04.301]  Total conflict of interest.
[00:35:04.321 --> 00:35:09.483]  The only worst conflict of interest would be Adolf Hitler being the head judge at Nuremberg over the Nazis.
[00:35:09.603 --> 00:35:22.828]  Or, let's say if you were a judge and you were divorcing your wife, or vice versa, or your wife was a judge in your family court and she sat as the judge in your family hearing, in your family court case.
[00:35:23.428 --> 00:35:26.389]  I mean, it's that cut and dry, that ridiculous.
[00:35:26.669 --> 00:35:28.550]  Pat Buchanan writes, the coup is happening.
[00:35:29.946 --> 00:35:31.247]  What happens after the coup?
[00:35:35.671 --> 00:35:39.094]  At the start of the next hour, I'm going to get deep into this North Korea situation and more.
[00:35:39.935 --> 00:35:41.696]  But let's get into the big news right now.
[00:35:47.682 --> 00:35:53.127]  Roger Stone has a lot of really great sources.
[00:35:54.935 --> 00:35:59.937]  And he doesn't like to play up his sources, obviously, because then they try to block his access to those sources.
[00:36:00.837 --> 00:36:07.540]  But they know the statements we've seen on Meet the Press and Fox News, Sunday and other places, they know exactly what's going on.
[00:36:08.120 --> 00:36:09.041]  So I think at this point...
[00:36:10.000 --> 00:36:14.102]  Roger can say as much as he'd like, but I think they know the cards, we know the cards.
[00:36:14.122 --> 00:36:18.583]  I think the public needs to know the cards to understand just how dire the situation is.
[00:36:19.024 --> 00:36:24.246]  Now, good things are happening with the economy, good things are happening with the Supreme Court and federal judges and the borders.
[00:36:24.946 --> 00:36:26.126]  Best of times, worst of times.
[00:36:26.166 --> 00:36:26.927]  Tale of two cities.
[00:36:27.067 --> 00:36:31.549]  But, they're trying to cut the president off, they're saying every word, stop tweeting, stop tweeting.
[00:36:31.909 --> 00:36:33.269]  They want to cut his information off.
[00:36:34.130 --> 00:36:37.251]  They've got Kelly reportedly trying to cut the information off to find the leakers.
[00:36:39.036 --> 00:36:51.129]  But we have giant news concerning McMaster that is high level and that we can also substantiate from Reuters and Associated Press and other reports that have already come out.
[00:36:51.169 --> 00:37:00.920]  But this shows us that McMaster is not just on a think tank with George Soros funding and he's not just bringing in a bunch of former top George Soros people that headed up his foundations.
[00:37:02.927 --> 00:37:15.728]  But that he is being monitored by multiple intelligence agencies and is an actual operative fully taking orders and giving briefings and under the command
[00:37:18.729 --> 00:37:30.197]  This is exclusive of the gentleman that the state of Israel has now declared an enemy of their state, and who is openly trying to overthrow the Israeli government, and in the WikiLeaks, turn him over to the Muslims.
[00:37:30.817 --> 00:37:31.578]  New York Times.
[00:37:31.778 --> 00:37:33.679]  Israel's war against George Soros.
[00:37:33.899 --> 00:37:34.880]  Aw, evil Israel.
[00:37:35.320 --> 00:37:37.582]  Poor sweet little Nazi collaborator George Soros.
[00:37:37.862 --> 00:37:39.383]  You cannot make this up!
[00:37:40.924 --> 00:37:43.986]  Israel backs Hungary, says financer Soros is a threat.
[00:37:46.345 --> 00:37:48.826]  Bombshell Soros insider infiltrates Trump administration.
[00:37:48.866 --> 00:37:50.027]  That was us on May 31st.
[00:37:50.547 --> 00:37:58.251]  We now have the direct intel that McMaster is a foreign intelligence agent.
[00:37:59.251 --> 00:38:01.412]  That's what this is, but we think of it as governments.
[00:38:01.992 --> 00:38:06.775]  What about multinational combines that fictional groups like Spectre
[00:38:07.805 --> 00:38:10.005]  And chaos and things are modeled after.
[00:38:10.426 --> 00:38:12.006]  And that's admittedly what George Soros does.
[00:38:12.026 --> 00:38:21.528]  So you're about to get the huge breaking news exclusively, right now, that has been double-checked by Stone with his sources.
