[00:00:07.976 --> 00:00:08.336]  It's May Day.
[00:22:52.229 --> 00:22:52.969]  It's a win-win.
[00:22:53.449 --> 00:22:54.230]  InfoWarsLife.com.
[00:23:06.886 --> 00:23:08.227]  Let's go to Debit in Florida.
[00:23:08.287 --> 00:23:09.608]  Debit in Florida, you're on the air.
[00:23:10.528 --> 00:23:10.909]  Great!
[00:23:10.989 --> 00:23:11.989]  Hey, thank you so much.
[00:23:12.109 --> 00:23:16.492]  Listen, I have bought your products and I gotta say they're amazing.
[00:23:16.653 --> 00:23:18.214]  Anyone who's on the fence, buy it.
[00:23:18.334 --> 00:23:25.839]  Because I've got Caveman, Superman Vitality, Secret 12, 5mm Fusion, I've got the Body Armor.
[00:23:25.919 --> 00:23:26.599]  Wow, thank you.
[00:23:26.619 --> 00:23:29.081]  You're the top of the list that makes it all possible.
[00:23:29.161 --> 00:23:30.722]  Which nutraceutical do you like best?
[00:23:30.962 --> 00:23:34.163]  I really like the Vitamin Mineral Fusion, to be honest.
[00:23:34.183 --> 00:23:34.563]  That's amazing.
[00:23:34.583 --> 00:23:35.483]  That's really incredible.
[00:23:35.703 --> 00:23:38.744]  I drank it in the morning and I swear to you, I felt incredible.
[00:23:38.764 --> 00:23:40.024]  Like, I haven't felt asleep.
[00:23:40.124 --> 00:23:41.705]  My morning was fantastic.
[00:23:41.785 --> 00:23:42.965]  And I love these guys.
[00:23:43.025 --> 00:23:44.425]  I love the Info Wars crew.
[00:23:45.186 --> 00:23:51.887]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[00:23:52.047 --> 00:23:52.847]  You will love it.
[00:23:53.087 --> 00:23:53.528]  I'm telling you.
[00:23:53.568 --> 00:23:54.888]  I've never bought a bad product.
[00:23:55.208 --> 00:23:59.600]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[00:23:59.640 --> 00:24:00.382]  It's a win-win.
[00:24:00.523 --> 00:24:01.285]  InfoWarsLife.com.
[00:24:14.378 --> 00:24:17.420]  Alright, Trump just gave a speech about massive tax cuts he's going to push.
[00:24:17.840 --> 00:24:18.961]  That's coming up in the next segment.
[00:24:18.981 --> 00:24:19.862]  I'm going to open the phones up.
[00:24:19.882 --> 00:24:27.267]  I've got huge North Korean news, economy news, so much positive news that we're going to be getting to as well.
[00:24:27.287 --> 00:24:31.510]  And then we've got more hoaxes in the media against InfoWars.
[00:24:32.070 --> 00:24:35.372]  But before I go any further, let me just go back to what I was talking about.
[00:24:36.293 --> 00:24:41.617]  There's this hoax going on that Trump's going to fall, that InfoWars is going to fall,
[00:24:43.848 --> 00:24:47.271]  But when Trump gets attacked, people just support him more.
[00:24:47.291 --> 00:24:48.513]  The same thing for Infowars.
[00:24:48.653 --> 00:24:55.159]  So, we are literally getting bigger, getting more successful, reaching more people.
[00:24:55.460 --> 00:25:00.785]  What do you think happens when every major news channel and every major newspaper attacks you and lies about you?
[00:25:01.205 --> 00:25:03.848]  This hit 20 years ago, 30 years ago, when it would destroy you.
[00:25:05.189 --> 00:25:06.791]  MSM is so discredited.
[00:25:07.895 --> 00:25:13.896]  That it sends new people to you that never heard about you before, and our audience is exploding.
[00:25:14.197 --> 00:25:18.598]  We have the biggest audience I've ever had in 22 years, except for election week.
[00:25:18.618 --> 00:25:20.718]  In fact, let me give people basically a graph.
[00:25:20.738 --> 00:25:23.459]  In fact, I'm just going to, this week, do a report on this to show everybody.
[00:25:23.739 --> 00:25:24.839]  To show you what a hoax it is.
[00:25:24.859 --> 00:25:28.340]  That, you know, that InfoWars is imploding.
[00:25:29.608 --> 00:25:33.811]  I can show you Google Analytics over the years, and it basically goes something like this.
[00:25:33.831 --> 00:25:39.094]  You know, it starts back with the website in 1997, got on there in 1995, and it's like this.
[00:25:40.535 --> 00:25:41.935]  And just over the years, it goes like this.
[00:25:43.296 --> 00:25:45.237]  And then with the election, it goes like this.
[00:25:46.158 --> 00:25:49.460]  And now it's kind of gone down a tiny bit, but then still going up.
[00:25:52.141 --> 00:25:56.384]  That's why InfoWars is under attack, because we're going straight up.
[00:25:58.715 --> 00:26:02.857]  In fact, it's more like... traffic, it's more like that.
[00:26:02.877 --> 00:26:05.178]  I mean, that's what's happened since the election.
[00:26:05.538 --> 00:26:11.560]  We're just going straight up, parabolic curve, and then now, almost at that same level.
[00:26:11.881 --> 00:26:14.742]  So we went up to a new high, and we're at a new plateau.
[00:26:16.763 --> 00:26:21.044]  This is 80-plus million people.
[00:26:21.965 --> 00:26:23.285]  This is 60-plus million.
[00:26:24.166 --> 00:26:26.927]  Before the election, our high was 40-something million.
[00:26:28.557 --> 00:26:32.681]  I mean, and that's on our sites, our videos, our articles, listening to the show.
[00:26:34.583 --> 00:26:36.965]  That's not counting everybody duplicating our information.
[00:26:37.025 --> 00:26:38.066]  I'm not up here bragging.
[00:26:38.166 --> 00:26:53.621]  I just want you to understand, just like Tokyo Rose, when we were dropping Fat Man and Little Boy on Hiroshima and Nagasaki from bombers in World War II,
[00:26:56.325 --> 00:27:04.368]  Tokyo Rose was on AM radio and shortwave going, I'm sorry GIs that you're all defeated and your aircraft carriers are all on fire and sinking.
[00:27:04.928 --> 00:27:09.570]  Did you hear today that in the South China Sea we destroyed one more of your battleships?
[00:27:10.250 --> 00:27:12.251]  Yes, it's too bad you're all dead.
[00:27:12.811 --> 00:27:16.413]  And by then everybody knew it was bull.
[00:27:18.233 --> 00:27:20.934]  But years before it would actually manipulate some people's minds.
[00:27:21.735 --> 00:27:22.095]  In fact,
[00:27:24.275 --> 00:27:28.180]  Tokyo Rose, there was a bunch of women that played her, but it was just Japanese women speaking in English.
[00:27:28.620 --> 00:27:37.011]  They even had one lady that was actually from, I think it was like Canada that worked for the Japanese, but they'd be saying, let me place a nice little classical music for you, or maybe some big band music.
[00:27:37.751 --> 00:27:39.874]  Think of your sweetheart, you're never gonna see her again.
[00:27:39.894 --> 00:27:43.458]  Or your sweetheart's with another man right now back in Kansas.
[00:27:44.568 --> 00:27:45.789]  You want to hear those old tapes.
[00:27:46.049 --> 00:27:47.510]  There's a bunch of them online on YouTube.
[00:27:47.530 --> 00:27:49.571]  You can listen to hours of Tokyo Rose.
[00:27:49.631 --> 00:27:50.952]  And it's so ridiculous.
[00:27:51.272 --> 00:27:54.094]  Just like Baghdad Bob in 2003.
[00:27:54.554 --> 00:27:58.236]  There's fighter bombers with explosions going off a mile behind him.
[00:27:59.897 --> 00:28:01.558]  He's going, we have defeated the Americans.
[00:28:01.578 --> 00:28:03.139]  We drove them back into Kuwait.
[00:28:03.839 --> 00:28:04.620]  They are defeated.
[00:28:04.680 --> 00:28:05.360]  They are gone.
[00:28:05.420 --> 00:28:05.961]  It is over.
[00:28:06.021 --> 00:28:07.462]  Yes, we annihilate them.
[00:28:07.922 --> 00:28:09.303]  And a bomb goes off behind him.
[00:28:10.744 --> 00:28:11.344]  Baghdad Bob.
[00:28:13.356 --> 00:28:17.518]  Now, we're not beating the globalists that bad, but, I mean, it's getting close to that.
[00:28:17.959 --> 00:28:26.704]  Le Pen has surged into the number one place in major polls, and those polls are spun in France, just like with Hillary, 10 to 15 points.
[00:28:27.344 --> 00:28:32.867]  National polls still have her ahead, despite the fact that they have been skewing it.
[00:28:35.809 --> 00:28:40.852]  Macron plummets in the polls as Marine Le Pen enjoys boost a week away from election vote.
[00:28:44.229 --> 00:28:47.390]  And that's all being reported, ladies and gentlemen.
[00:28:47.490 --> 00:28:48.750]  It's all unfolding.
[00:28:48.850 --> 00:28:49.831]  It's all happening.
[00:28:49.891 --> 00:28:50.591]  It's beautiful.
[00:28:50.851 --> 00:28:51.551]  It's wonderful.
[00:28:51.831 --> 00:28:52.571]  It's powerful.
[00:28:52.992 --> 00:28:53.952]  Is she going to be perfect?
[00:28:53.972 --> 00:28:54.992]  Is she going to get it all done?
[00:28:55.092 --> 00:28:55.372]  No!
[00:28:55.872 --> 00:29:01.634]  She'll be a lot better than the socialists and the globalists in Hollandaise and the rest of them.
[00:29:03.115 --> 00:29:03.875]  Nationalism!
[00:29:03.915 --> 00:29:05.575]  We're starting to turn the corner.
[00:29:06.176 --> 00:29:07.376]  Good things are happening.
[00:29:08.442 --> 00:29:11.203]  They've got indictments on her to put her in prison pending.
[00:29:12.023 --> 00:29:14.063]  They may arrest her if she gets elected president.
[00:29:14.583 --> 00:29:15.704]  Still, the fight goes on.
[00:29:15.744 --> 00:29:17.384]  That'll make her grow even faster.
[00:29:18.104 --> 00:29:22.565]  She won't be defeated if they put her in prison for a year for criticizing the precious Muslims.
[00:29:22.785 --> 00:29:26.866]  That'll make everybody start criticizing the Muslims running around shooting, killing, and stealing.
[00:29:27.907 --> 00:29:29.067]  And running people over with cars.
[00:29:31.147 --> 00:29:33.208]  If Marilla Penn gets assassinated, is she a loser?
[00:29:33.448 --> 00:29:34.408]  No, she's like Joan of Arc 2.0.
[00:29:35.969 --> 00:29:37.709]  If I get destroyed, but we win the war,
[00:29:39.983 --> 00:29:43.365]  Did Obi-Wan cut Obi to use a goofy allegory in episode 4?
[00:29:43.645 --> 00:29:46.146]  Did he lose or did he win when he let Darth Vader cut him in two?
[00:29:47.887 --> 00:29:49.088]  Escape is not my plan.
[00:29:49.688 --> 00:29:50.749]  I will face them alone.
[00:29:51.149 --> 00:29:51.589]  Stay with us.
[00:29:52.109 --> 00:29:53.010]  We're on the march.
[00:29:53.510 --> 00:29:55.111]  The Empire's on the run.
[00:29:56.031 --> 00:29:58.713]  Alex Jones and the GCN Radio Network.
[00:30:03.248 --> 00:30:15.802]  Although conservative commentator Ann Coulter backed out of showing up to her already-canceled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
[00:30:16.042 --> 00:30:23.791]  Prominent social media icons such as Gavin McInnes, Lauren Southern, Based Stickman, Baked Alaska, Brittany Pettibone, and
[00:30:23.951 --> 00:30:28.336]  Faith Goldie showed up to support free speech and gave speeches.
[00:30:28.576 --> 00:30:37.446]  Reports that the Berkeley Police did their job in protecting the peace have come in, and apparently a total of six Antifa protesters were arrested.
[00:30:37.707 --> 00:30:43.213]  Two for resisting arrest, one for a drug violation, and another for possessing a weapon.
[00:30:43.533 --> 00:30:51.922]  Two more arrests were made earlier in the day for possession of a knife and obstructing an officer and wearing a mask to evade police.
[00:30:52.163 --> 00:30:58.029]  Despite these arrests, the protests remained peaceful and dialogue between both sides was present.
[00:30:58.250 --> 00:31:01.513]  This is Millie Weaver reporting to you for InfoWars.com.
[00:31:03.415 --> 00:31:04.957]  I'm gonna lay it out short and sweet.
[00:31:06.847 --> 00:31:12.511]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[00:31:13.231 --> 00:31:17.194]  I was a total fitness nut 20 years ago.
[00:31:18.075 --> 00:31:20.296]  About 15 years ago, I just stopped working out.
[00:31:20.396 --> 00:31:21.537]  I gained close to 100 pounds.
[00:31:21.577 --> 00:31:26.120]  I have lost 50, 60 pounds of fat or more.
[00:31:26.180 --> 00:31:28.162]  I've gained 20 pounds of muscle.
[00:31:28.622 --> 00:31:33.105]  I'm stronger than I was when I was 22 when I could bench press close to 400 pounds and squat 600.
[00:31:33.145 --> 00:31:33.846]  It's actually scary.
[00:31:36.307 --> 00:31:46.390]  And it's because I take products that our researchers developed that block the estrogen mimickers that basically feminize men.
[00:31:47.370 --> 00:32:00.173]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars in our fight to promote human liberty and freedom.
[00:32:03.095 --> 00:32:10.837]  Infowars has partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfowarsStore.com.
[00:32:11.057 --> 00:32:17.499]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
[00:32:17.719 --> 00:32:26.001]  The secret to Defender Body Armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor.
[00:32:26.281 --> 00:32:35.049]  Using one of the strongest synthetic materials ever created, called Ultra High Molecular Weight Polyethylene, Defender Armor is also super compact and lightweight.
[00:32:35.290 --> 00:32:41.055]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
