[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[00:25:37.627 --> 00:25:38.668]  That's come down to just $29.95.
[00:25:38.668 --> 00:25:38.888]  66% off.
[00:25:38.888 --> 00:25:39.808]  Absolutely whopping discount.
[00:25:44.705 --> 00:25:49.228]  Silver Bullet, which is just $9.95 right now at Infowarsstore.com.
[00:25:49.228 --> 00:25:52.530]  You've got the Strawberry Caveman, which is 25% off.
[00:25:52.530 --> 00:25:56.813]  The Caveman Combo Chocolate and Strawberry, 25% off.
[00:25:56.813 --> 00:25:59.575]  Pro Pure Traveler, that's 30% off.
[00:25:59.575 --> 00:26:00.595]  Absolutely huge.
[00:26:00.595 --> 00:26:02.997]  The Knockout Sleep Aid, 50% off.
[00:26:02.997 --> 00:26:03.217]  Just $14.95.
[00:26:03.217 --> 00:26:03.898]  Prostagard, 33% off.
[00:26:03.898 --> 00:26:04.658]  And you can get
[00:26:10.177 --> 00:26:11.878]  Conservatism is the new counterculture.
[00:26:11.878 --> 00:26:15.341]  Mugs now discounted at 33% off.
[00:26:15.341 --> 00:26:24.047]  These are quality, chunky, coffee mugs, guaranteed to start conversations, guaranteed to trigger leftists.
[00:26:24.047 --> 00:26:26.809]  It's a win-win, no matter which way you look at it.
[00:26:26.809 --> 00:26:28.150]  Again, 33% off.
[00:26:28.150 --> 00:26:30.332]  The Conservatism is the new counterculture.
[00:26:30.332 --> 00:26:37.637]  Coffee mugs at infowarsstore.com, as well as all those other huge discounts available right now.
[00:26:37.637 --> 00:26:39.038]  Please support us.
[00:26:39.801 --> 00:26:48.173]  Take advantage of the free shipping store wide free shipping on absolutely everything at InfoWarsStore.com.
[00:26:48.173 --> 00:26:52.519]  Now we were talking about the break before the break about the Pakistani IT staffers.
[00:26:53.271 --> 00:27:00.094]  One of whom has now been arrested by the FBI after having wired nearly $300,000 to Pakistan.
[00:27:00.094 --> 00:27:02.596]  After having smashed up his hard drives.
[00:27:02.596 --> 00:27:05.057]  Numerous criminal charges against him.
[00:27:05.057 --> 00:27:10.859]  Again, he was working with and had direct access to the DNC's computers with Debbie Wasserman Schultz.
[00:27:10.859 --> 00:27:12.940]  Had her passwords!
[00:27:12.940 --> 00:27:13.901]  Now the link.
[00:27:14.403 --> 00:27:19.964]  To the terrorist umbrella organisation the Muslim Brotherhood has emerged.
[00:27:19.964 --> 00:27:25.425]  Oh, but the real reason he's been persecuted, according to his lawyer, is Islamophobia.
[00:27:25.425 --> 00:27:26.226]  That's right.
[00:27:26.226 --> 00:27:29.286]  They even mentioned Pizzagate.
[00:27:29.286 --> 00:27:33.987]  Which is kind of ironic, given this next story from Gateway Pundit.
[00:27:33.987 --> 00:27:35.428]  Headline, it gets worse.
[00:27:35.428 --> 00:27:42.149]  Wasserman Schultz IT staffer Imran Awan subscribed to pedophile-centric YouTube channels.
[00:27:43.323 --> 00:27:43.904]  Oh really?
[00:27:43.904 --> 00:27:52.592]  So he's blaming Pizzagate, which was a scandal, an alleged scandal about paedophiles, and this guy is subscribed to paedophile-centric YouTube channels.
[00:27:52.592 --> 00:27:53.213]  How ironic.
[00:27:54.321 --> 00:28:00.587]  With each passing day, we learn more and more about the dark and murky past of Pakistan IT staffer Imran Awan.
[00:28:00.587 --> 00:28:18.162]  The former employee of Debbie Wasserman Schultz is not only being accused of stealing hardware from ranking Democrats and sending sensitive intel to foreign groups like the Muslim Brotherhood, but it now appears Awan may have been interested in watching paedophile-centric YouTube videos.
[00:28:18.662 --> 00:28:25.723]  They actually went and looked and it's, you can do this with anyone who owns a YouTube account, you can look at who they subscribe to.
[00:28:25.723 --> 00:28:28.944]  It's the function that can't be hidden as far as I'm aware.
[00:28:28.944 --> 00:28:36.005]  Pretty stupid that he didn't try to hide it or didn't try to just unsubscribe from these channels because they're basically disgusting.
[00:28:36.005 --> 00:28:45.787]  YouTuber Tracy Beans has discovered that the Pakistani DNC IT staffer arrested Monday night for bank fraud while attempting to flee the country was a fan
[00:28:46.562 --> 00:28:54.127]  Of several pedocentric YouTube channels, including one featured on Comedy Central's Tosh.0 program.
[00:28:54.127 --> 00:29:07.535]  Imran Awam, the longtime employee and friend of Wasserman Schultz, subscribed to YouTube channel Seven Super Girls, which has over 12 billion views and features children performing in sexualized bits.
[00:29:07.535 --> 00:29:15.220]  So, as far as I know, these are basically these channels which Google has made moves to shut down, or at least they've been under pressure to shut down.
[00:29:15.740 --> 00:29:19.282]  Where it's basically sanitized child porn.
[00:29:19.282 --> 00:29:23.405]  It's children engaged in sexualized situations.
[00:29:23.405 --> 00:29:32.631]  This guy was subscribed to these channels while his lawyer blames conspiracy theorists who complain about Pizzagate paedophiles.
[00:29:32.631 --> 00:29:37.414]  He's actually subscribed to proto-paedophile YouTube channels.
[00:29:38.309 --> 00:29:40.610]  Absolutely insane situation.
[00:29:40.610 --> 00:29:42.251]  This is a huge scandal.
[00:29:42.251 --> 00:29:44.091]  It has ties into everything.
[00:29:44.091 --> 00:29:46.752]  We're learning more every single day.
[00:29:46.752 --> 00:29:50.434]  CNN, ABC, MSNBC refuse to cover it.
[00:29:50.434 --> 00:29:52.995]  We'll be back after the break with Roger Stone.
[00:29:52.995 --> 00:29:53.715]  Don't go anywhere.
[00:29:53.715 --> 00:29:55.455]  Infowars.com.
[00:29:55.455 --> 00:29:56.856]  We're on the march.
[00:29:56.856 --> 00:29:58.477]  The Empire's on the run.
[00:29:58.477 --> 00:30:02.058]  Alex Jones and the GCN Radio Network.
[00:30:07.458 --> 00:30:09.580]  December 23rd, 1776.
[00:30:09.580 --> 00:30:12.922]  These are the times that try men's souls.
[00:30:12.922 --> 00:30:17.925]  The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country.
[00:30:17.925 --> 00:30:22.729]  But he that stands by it now deserves the love and thanks of man and woman.
[00:30:22.729 --> 00:30:25.351]  Tyranny, like hell, is not easily conquered.
[00:30:25.351 --> 00:30:27.092]  Yet we have this consolation with us.
[00:30:27.412 --> 00:30:30.353]  At the heart of the conflict, the more glorious the triumph.
[00:30:30.353 --> 00:30:33.374]  What we obtain too cheap, we esteem too lightly.
[00:30:33.374 --> 00:30:36.354]  It is dearness only that gives everything its value.
[00:30:36.354 --> 00:30:39.475]  Heaven knows how to put a proper price on its goods.
[00:30:39.475 --> 00:30:45.077]  And it would be strange indeed if so celestial an article as freedom should not be highly rated.
[00:30:45.077 --> 00:30:45.377]  Britain.
[00:30:45.777 --> 00:30:53.441]  With an army to enforce her tyranny, has declared that she has a right, not only to tax, but to bind us in all cases whatsoever.
[00:30:53.441 --> 00:30:58.684]  And if being bound in that matter is not slavery, then there is no such thing as slavery upon Earth.
[00:30:58.684 --> 00:31:04.567]  Even the expression is impious, for so unlimited a power can only belong to God.
[00:31:04.567 --> 00:31:06.589]  Thomas Paine, The American Crisis.
[00:31:07.549 --> 00:31:16.271]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:31:16.271 --> 00:31:16.812]  That's right.
[00:31:16.812 --> 00:31:22.073]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:31:22.073 --> 00:31:28.755]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:31:28.755 --> 00:31:35.997]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:31:36.357 --> 00:31:36.557]  Woo!
[00:31:36.557 --> 00:31:37.618]  That's what I'm talking about.
[00:31:37.618 --> 00:31:46.343]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:31:46.343 --> 00:31:55.949]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:31:55.949 --> 00:31:59.391]  Now that's what I call the miracle of food preservation.
[00:31:59.391 --> 00:32:03.493]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:32:03.493 --> 00:32:04.354]  So what are you waiting for?
[00:32:04.574 --> 00:32:07.535]  Check it out right now at InfoWarsStore.com.
[00:32:07.535 --> 00:32:13.196]  Today I'm excited to announce the new limited shipment of DNA Force has finally arrived at the InfoWars Warehouse in Austin, Texas.
[00:32:13.196 --> 00:32:19.258]  We have thousands of listeners on the waiting list who've signed up for auto ship to receive out of stock products at DNA Force.
[00:32:19.258 --> 00:32:21.838]  And we are now once again expected to sell out very, very soon.
[00:32:21.838 --> 00:32:28.600]  And when it comes to a formula that is such a game changer like DNA Force, we never know when we will be able to secure an additional supply.
[00:32:28.780 --> 00:32:29.200]  We're good to go.
[00:32:47.754 --> 00:32:50.496]  Visit Infowarslife.com and read the reviews for yourself.
[00:32:50.496 --> 00:32:58.622]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third-party certified review agency, Power Review.
[00:32:58.622 --> 00:33:04.187]  Take advantage of this new limited shipment and get DNA Force today at Infowarslife.com before it sells out again.
[00:33:04.187 --> 00:33:05.328]  That's Infowarslife.com.
[00:33:08.926 --> 00:33:15.952]  Live from the Infowars.com studios, you're listening to The Alex Jones Show.
[00:33:15.952 --> 00:33:19.635]  And now, your host, Paul Joseph Watson.
[00:33:26.371 --> 00:33:28.452]  We're live on the Alex Jones Show.
[00:33:28.452 --> 00:33:33.073]  Top of the next hour we've got Tommy Robinson coming on as a regular guest.
[00:33:33.073 --> 00:33:34.694]  I'm excited to talk to him again.
[00:33:34.694 --> 00:33:35.994]  It's been a while.
[00:33:35.994 --> 00:33:39.196]  But for the moment we have another man who needs no introduction.
[00:33:39.196 --> 00:33:42.537]  The website is stonecoaltruth.com.
[00:33:42.537 --> 00:33:43.497]  It's Roger Stone.
[00:33:43.497 --> 00:33:48.859]  Roger, before the break I was talking about this huge scandal that no one is covering besides Fox News.
[00:33:49.239 --> 00:34:01.352]  We have Debbie Wasserman Schultz as a former IT staffer of the DNC, and she only fired him after he was arrested, months after all these criminal charges were against him.
[00:34:01.352 --> 00:34:02.233]  He wires $300,000 to Pakistan.
[00:34:04.155 --> 00:34:06.617]  He's found with smashed up hard drives.
[00:34:06.617 --> 00:34:11.700]  This is a guy who has direct access to the IT servers at the DNC.
[00:34:11.700 --> 00:34:14.402]  He's colluding potentially with a foreign government.
[00:34:14.402 --> 00:34:22.347]  He's colluding potentially, as Tony Schafer said last night, with the Muslim Brotherhood terrorist organisation.
[00:34:22.347 --> 00:34:25.529]  How on earth is this not a bigger scandal?
[00:34:25.529 --> 00:34:29.712]  How on earth have the likes of CNN been able to ignore this huge story?
[00:34:31.218 --> 00:34:32.319]  You're absolutely right, Paul.
[00:34:32.319 --> 00:34:33.260]  It's extraordinary.
[00:34:33.260 --> 00:34:36.082]  In fact, it's even slightly worse than you depicted it.
[00:34:36.082 --> 00:34:55.176]  After the Capitol Hill Police launched their investigation into these two Pakistani brothers, Jennifer Wasserman Schultz changed their classification from consultants to employees of the House of Representatives to ensure that they would continue to have access to the House of Representatives' computer system.
[00:34:56.135 --> 00:34:59.577]  So she has abetted whatever they were up to.
[00:34:59.577 --> 00:35:01.718]  She refuses to take questions.
[00:35:01.718 --> 00:35:09.362]  She berated the Capitol Hill police chief for launching the investigation, demanding a return of the hard drives or office.
[00:35:10.171 --> 00:35:26.378]  Interestingly, she also introduced these two brothers to 19 other Democratic members of Congress, who then opened their IT contracts to them, meaning that they burrowed deep into the Democratic caucus.
[00:35:27.178 --> 00:35:42.221]  Getting access to all of that information, including obviously financial information, because the Capitol Hill police investigation was a bank fraud, a electronic, you know, wire theft investigation.
