[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[00:31:21.295 --> 00:31:27.539]  This t-shirt is not only a conversation starter, it will trigger the holy hell out of leftists.
[00:31:27.619 --> 00:31:29.299]  It will make me incredibly happy.
[00:31:29.460 --> 00:31:30.640]  It's available right now.
[00:31:30.960 --> 00:31:33.162]  Get yours at infowarsstore.com.
[00:31:34.042 --> 00:31:35.063]  A lot of different specials.
[00:31:35.143 --> 00:31:36.365]  Specials on water filtration.
[00:31:36.385 --> 00:31:39.809]  We're extending the specials on the Alexa Pure Breeze air filtration system.
[00:31:40.209 --> 00:31:40.730]  Amazing.
[00:31:41.070 --> 00:31:42.472]  At $149, you can't beat it.
[00:31:42.512 --> 00:31:43.252]  Comparable units, $400 to $600.
[00:31:43.313 --> 00:31:43.353]  888-253-3139.
[00:31:49.019 --> 00:31:50.360]  Clean, pure drinking water.
[00:31:50.660 --> 00:31:51.941]  You can't survive without it.
[00:31:52.141 --> 00:31:53.041]  But where do you get it?
[00:31:53.321 --> 00:31:59.085]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:31:59.325 --> 00:32:05.048]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:32:05.228 --> 00:32:22.112]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:32:22.492 --> 00:32:24.613]  Filter capacity up to 5,000 gallons.
[00:32:24.974 --> 00:32:26.174]  Stainless steel construction.
[00:32:26.454 --> 00:32:27.235]  Easy assembly.
[00:32:27.475 --> 00:32:28.115]  Low maintenance.
[00:32:28.396 --> 00:32:30.217]  Replacement filters are simple to install.
[00:32:30.497 --> 00:32:37.601]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:32:37.781 --> 00:32:42.083]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:32:42.964 --> 00:32:47.267]  Go to InfowarsStore.com or call 888-253-3139.
[00:32:47.948 --> 00:32:56.454]  The Children's Super Blue Bubblegum Flavor All-Natural Fluoride-Free Iodine Slash Floidal Silver Toothpaste is back in.
[00:32:56.754 --> 00:32:57.995]  That's been sold out for three months.
[00:32:59.156 --> 00:33:01.918]  Sign up for auto-ship and an additional 10% off.
[00:33:01.978 --> 00:33:03.079]  Cancel any time.
[00:33:08.194 --> 00:33:11.677]  Resistance to tyrants is obedience to God.
[00:33:12.278 --> 00:33:14.099]  It's Alex Jones.
[00:33:15.080 --> 00:33:18.183]  You can run on for a long time.
[00:33:18.743 --> 00:33:21.065]  Run on for a long time.
[00:33:21.686 --> 00:33:23.847]  Run on for a long time.
[00:33:24.448 --> 00:33:26.930]  Sooner or later gonna cut you down.
[00:33:27.531 --> 00:33:29.793]  Sooner or later gonna cut you down.
[00:33:30.833 --> 00:33:31.873]  Here's the big secret.
[00:33:35.074 --> 00:33:39.475]  There are competing programs inside the globalist system, obviously.
[00:33:40.995 --> 00:33:56.199]  But the general decision has been made to make life as ugly and fallen as possible that the general public retreats into fantasy land, into AI, into virtual reality.
[00:33:57.918 --> 00:34:24.632]  And then meanwhile, the globalists admittedly have destabilized the third world, engaged in policies that actually create ballooning populations, then they use that to exploit the populations, flood the West, and they want us morally to not sign onto a piece of paper, but just to metaphysically, say, release the bioweapon, the race-specific bioweapon.
[00:34:26.300 --> 00:34:29.903]  And they've had those for 50 years that are very targeted.
[00:34:29.983 --> 00:34:37.789]  And with the CRISPR gene splicing and gene editing and all of it, they got stuff that'll kill you right down to your family genome.
[00:34:39.931 --> 00:34:42.513]  In South Africa and other people, Israel's developed it.
[00:34:42.533 --> 00:34:44.134]  I mean, that's the countries that admittedly have developed it.
[00:34:44.174 --> 00:34:47.657]  But I mean, if you don't think the United States doesn't have all that, you're living on another planet.
[00:34:48.738 --> 00:34:51.580]  And so that's really where all this is right now.
[00:34:54.522 --> 00:35:00.944]  And so I was against the Iraq War, I was against all these things, because I knew it was in the strategy of tension to stir up the Muslims, to put radicals in.
[00:35:04.225 --> 00:35:09.426]  And I saw in the EU reports about replacing Europe with Muslims and all that, and I thought, that's just too crazy, no one would do that.
[00:35:10.686 --> 00:35:11.267]  And now we're here.
[00:35:12.387 --> 00:35:16.408]  And so I don't want to release the race-specific bioweapon and kill all the Muslims.
[00:35:18.188 --> 00:35:19.989]  Because most of them do happen to be
[00:35:22.611 --> 00:35:24.452]  of the same genetic derivation.
[00:35:24.752 --> 00:35:25.572]  And you could say, oh really?
[00:35:25.612 --> 00:35:26.633]  There's very diverse Muslims.
[00:35:26.653 --> 00:35:29.414]  There's some Anglo Muslims and African Muslims and whatever.
[00:35:30.814 --> 00:35:33.095]  What about half the Muslims are Arabic?
[00:35:35.276 --> 00:35:35.817]  And what's Arabic?
[00:35:37.277 --> 00:35:40.679]  It's a mix of Asian, Anglo, and African.
[00:35:43.860 --> 00:35:48.802]  And all you gotta do is tailor the different bioweapons to the specific
[00:35:52.156 --> 00:35:55.298]  Receptor sites in some of the weapons and many others.
[00:35:55.358 --> 00:35:57.079]  It's a very large discussion area.
[00:35:58.080 --> 00:35:59.601]  And you can kill everybody.
[00:36:00.301 --> 00:36:02.323]  You can kill everybody with an Asian background.
[00:36:03.063 --> 00:36:05.805]  That'd mean Native Americans, Chinese, Japanese.
[00:36:05.825 --> 00:36:06.525]  They're all dead.
[00:36:06.946 --> 00:36:08.387]  You can tailor it to kill Africans.
[00:36:10.088 --> 00:36:12.289]  You can tailor bioweapons to kill Northern Europeans.
[00:36:13.630 --> 00:36:16.492]  That's a different group on average than Central Europeans or Southern Europeans.
[00:36:18.675 --> 00:36:19.336]  And they got it all.
[00:36:20.696 --> 00:36:30.703]  And Dick Cheney wrote in the PNAC documents publicly in 2000 that we should go ahead and legitimize the use of race weapons in discussion with the Middle East.
[00:36:31.143 --> 00:36:40.270]  And he was vetoed at the UN Security Council in closed session on the discussion of using bioweapons to depopulate the Middle East.
[00:36:43.452 --> 00:36:46.174]  Now, that's one end of the cycle.
[00:36:47.870 --> 00:37:03.073]  That he got Soros allied with it to take over Europe and so it's like you don't want to kill everybody, you don't want to commit genocide, you don't want to be Hitler, but people are coming for you like they're Hitler but they've got brown skin.
[00:37:05.214 --> 00:37:09.355]  And they've been put in that position and brainwashed to be that way just like dumbass Nazis
[00:37:11.618 --> 00:37:12.979]  Just like anybody in a prison.
[00:37:13.480 --> 00:37:14.761]  Everybody's put in your group.
[00:37:15.322 --> 00:37:16.843]  You don't want to be a Nazi in prison.
[00:37:16.883 --> 00:37:22.829]  If you're white, though, you better swear allegiance to the Aryan Nations or whatever the group is in that prison, or you're going to get killed.
[00:37:23.129 --> 00:37:26.512]  And if you're not in the Mexican Mafia and part of that racist group, you're going to get killed.
[00:37:26.733 --> 00:37:30.076]  And if you're not part of the black racist group, you're going to be killed, too.
[00:37:33.479 --> 00:37:34.000]  See how that works?
[00:37:34.200 --> 00:37:36.662]  You get put in prison for whatever the case is.
[00:37:37.463 --> 00:37:38.604]  Bank fraud, whatever it is.
[00:37:38.944 --> 00:37:40.405]  And you march in.
[00:37:40.425 --> 00:37:40.966]  You're a black guy.
[00:37:40.986 --> 00:37:41.546]  You march in.
[00:37:41.566 --> 00:37:42.607]  You're 25 years old.
[00:37:43.768 --> 00:37:46.711]  You serve in a three-year prison sentence in, say, Huntsville, Texas.
[00:37:46.791 --> 00:37:49.914]  And you walk in there and they stick you right in an area of nothing but black people.
[00:37:50.936 --> 00:37:51.737]  And why do they do that?
[00:37:51.837 --> 00:37:55.039]  Because if they didn't, you'd get killed in about five minutes.
[00:37:55.880 --> 00:37:57.981]  And then you get in there and it's a whole gang controlling you.
[00:37:58.202 --> 00:37:59.202]  We're going to kill Whitey.
[00:37:59.242 --> 00:38:00.203]  We're all Muslims.
[00:38:00.623 --> 00:38:01.724]  You know, we're going to get together.
[00:38:01.744 --> 00:38:02.905]  It's just a group preying on you.
[00:38:03.025 --> 00:38:07.769]  And those black racist groups are reporting directly to the warden.
[00:38:10.871 --> 00:38:12.151]  And so are the white supremacists.
[00:38:13.232 --> 00:38:15.373]  And so are the Hispanic race groups.
[00:38:15.553 --> 00:38:18.014]  And if you're on the East Coast or West Coast, there'll be four areas.
[00:38:18.034 --> 00:38:19.534]  There'll be an Asian group, too.
[00:38:19.974 --> 00:38:24.816]  And they even have to divide that up sometimes, you know, between the Chinese and, you know, the Vietnamese.
[00:38:24.836 --> 00:38:27.857]  They'll kill each other more than, you know, black guys and white guys will.
[00:38:28.377 --> 00:38:31.259]  Of course, the most group that fights the most is Hispanics and blacks.
[00:38:31.279 --> 00:38:32.319]  That's just a statistical fact.
[00:38:34.659 --> 00:38:38.444]  So, I'm just sitting here going, I'd like to build space stations.
[00:38:38.825 --> 00:38:40.708]  I would like life extension, please.
[00:38:40.808 --> 00:38:45.334]  I'd like to have everybody have swimming pools and get along.
[00:38:47.910 --> 00:38:54.354]  Because I like people that are white, people that are black, people that are brown, people that cook good food, have good music, good doctors.
[00:38:54.754 --> 00:38:58.876]  You know, if I look up the best doctor for surgery and it's a guy from India, I'm going to go to him.
[00:38:59.476 --> 00:39:00.657]  I don't care he's got brown skin.
[00:39:01.878 --> 00:39:08.501]  But see, I then fundamentally am not going to be criticized because I'm white and told out all day how bad I am.
[00:39:10.903 --> 00:39:13.244]  It's not my fault genetically.
[00:39:15.814 --> 00:39:27.822]  That my ancestors went through repeated ice ages, and that if you didn't make future planning, and basic mathematic equations, and didn't build structures for survival, you died.
[00:39:28.763 --> 00:39:43.872]  It's not my fault that I'm constantly trying to build things, and constantly trying to do things, and constantly trying to survive, because I'm constantly under attack, because I'm genetically in a position where I'm not sitting around eating coconuts in the sun.
[00:39:45.891 --> 00:39:48.173]  And fighting off the neighboring people that are coming and taking over.
[00:39:49.034 --> 00:39:49.815]  I'm doing that too.
[00:39:53.838 --> 00:39:54.919]  I just want to build stuff.
[00:39:55.560 --> 00:39:56.641]  And I'm not your enemy.
[00:39:59.543 --> 00:40:03.187]  But if you try to kill me, or if you try to enslave me,
[00:40:04.588 --> 00:40:10.193]  I'm gonna come after you, and I'm here simply trying to lay out the game plan.
[00:40:10.853 --> 00:40:12.715]  I mean, what I'm telling you is not my opinion.
[00:40:13.035 --> 00:40:16.078]  It's not like I just cooked this up in my head or something.
[00:40:16.238 --> 00:40:20.602]  I read the books written by Francis Galton 160 years ago.
[00:40:22.703 --> 00:40:28.789]  I've read Eugenics Quarterly, probably 20, 30 issues of it, and I'll be honest.
[00:40:30.212 --> 00:40:37.539]  I used to stay up until 2-3 in the morning reading this stuff until about 10 years ago and I've got four kids and at a certain point I just kind of like, you know, I've already seen it.
[00:40:37.579 --> 00:40:38.921]  It's the same thing over and over again.
[00:40:38.941 --> 00:40:41.823]  So I'm not as learned as I used to be on things.
[00:40:42.003 --> 00:40:44.025]  I kind of punched out.
[00:40:44.045 --> 00:40:47.348]  I can't handle it anymore.
[00:40:48.770 --> 00:40:54.335]  But you're not going to find anybody else that's written, that's read a thousand history books.
[00:40:54.836 --> 00:40:55.116]  I have.
[00:40:59.349 --> 00:41:05.914]  I don't put on some fancy pants, liberal, affected accent and tell you how smart I am.
[00:41:05.954 --> 00:41:07.175]  I mean, I know what I'm talking about.
[00:41:08.436 --> 00:41:15.981]  And that's why government agencies and foreign governments and everybody listens, because I know what I'm talking about.
