[00:00:00.109 --> 00:00:00.669]  Network.
[00:27:42.965 --> 00:27:50.027]  There are people all over radio right now today, I'm getting the emails and the clips are being sent to us, saying that I said the U.S.
[00:27:50.067 --> 00:27:55.309]  government did this, or I said NATO did this, when all I said is NATO stands to gain from this.
[00:27:56.112 --> 00:28:06.403]  And they're known liars who staged false flags and who staged chemical attacks this year and last year with Saudi Arabia against Syria to then blame Assad.
[00:28:06.463 --> 00:28:08.505]  They even attacked Assad's own people.
[00:28:09.778 --> 00:28:11.379]  But still tried to blame it on Assad.
[00:28:11.820 --> 00:28:13.641]  And I'm not lionizing Assad.
[00:28:13.961 --> 00:28:15.363]  Assad didn't do it.
[00:28:15.603 --> 00:28:22.368]  And it came out even in the BBC, and the Turkish papers had to admit that it was staged.
[00:28:22.849 --> 00:28:27.052]  So if they will stage chemical attacks killing hundreds, would they do this?
[00:28:27.272 --> 00:28:28.193]  Or do stuff like...
[00:28:29.531 --> 00:28:46.658]  Put a transponder coating in on the Malaysian aircraft, designate it in that airspace as a Ukrainian military aircraft, or undesignate it as a civilian aircraft, so the Russians would then say, okay, they've been using bombers to bomb people, killing thousands in the last few weeks.
[00:28:46.938 --> 00:28:48.459]  That's the Ukrainian government's own statement.
[00:28:49.298 --> 00:28:52.001]  The Russians said they'd strike back, so maybe they coded it.
[00:28:52.401 --> 00:29:03.333]  The Ukrainians or NATO, who control the air traffic control in that area, maybe they coded it as a Ukrainian or NATO bomber, and the Russians shot it down.
[00:29:03.493 --> 00:29:04.994]  That's classic false flag, folks.
[00:29:05.655 --> 00:29:13.301]  You go commit atrocity, blame somebody else, or you mark your ship like another country, and then have it attacked, and then bring another country into the war.
[00:29:13.681 --> 00:29:15.162]  This is what governments do.
[00:29:15.722 --> 00:29:17.124]  This is how they operate.
[00:29:17.664 --> 00:29:28.292]  This is what they've done for thousands of years, and I'm simply saying, if we have known governments that do this more than anybody I've ever heard of, should we look at it as a false flag?
[00:29:28.452 --> 00:29:33.376]  Paul Watson's coming up, David Knight in studio to give us his breakdown, straight ahead.
[00:29:34.236 --> 00:29:35.857]  But this is a big deal.
[00:29:36.798 --> 00:29:39.340]  This only hurts the Russians and only hurts Putin.
[00:29:39.900 --> 00:29:44.263]  And I'm not siding with the Russians or siding with them.
[00:29:46.204 --> 00:29:48.286]  I'm simply trying to stop World War III.
[00:29:49.247 --> 00:29:52.489]  I simply want stability, not a new war that brings in a world government.
[00:29:52.509 --> 00:29:52.949]  We're on the march.
[00:29:52.989 --> 00:29:54.550]  The Empire's on the run.
[00:29:55.471 --> 00:29:58.153]  Alex Jones and the GCN Radio Network.
[00:30:02.378 --> 00:30:04.259]  I've always believed in nutrition and herbs.
[00:30:04.599 --> 00:30:12.523]  Super Male Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[00:30:12.644 --> 00:30:19.687]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:30:20.188 --> 00:30:24.470]  I just received my Male Vitality about three days ago, and I must say, that is some good stuff.
[00:30:24.770 --> 00:30:34.954]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:30:35.395 --> 00:30:41.577]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:30:41.897 --> 00:30:44.138]  I jump out of bed ready to fight these criminals every day.
[00:30:44.158 --> 00:30:48.100]  I look forward to waking up and taking my super male vitality and getting the day started.
[00:30:48.280 --> 00:30:49.881]  It's not just the super male vitality.
[00:30:50.221 --> 00:30:54.162]  All the products in InfoWarsLife.com are simply amazing.
[00:30:54.382 --> 00:31:01.345]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[00:31:02.665 --> 00:31:05.206]  Alex Jones here for InfoWars.com.
[00:31:05.446 --> 00:31:10.088]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:31:10.108 --> 00:31:12.109]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:31:17.551 --> 00:31:17.711]  I think?
[00:31:37.799 --> 00:31:45.061]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[00:31:45.361 --> 00:31:48.881]  That's more than five months free off the regular price.
[00:31:49.221 --> 00:31:55.463]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:31:55.843 --> 00:32:00.924]  Molon Labe, you can take my gun from my cold, dead hands.
[00:32:02.222 --> 00:32:09.288]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:32:09.388 --> 00:32:11.550]  But it's not just the air outside that's toxic.
[00:32:11.730 --> 00:32:16.835]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:32:17.015 --> 00:32:21.959]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:32:22.179 --> 00:32:25.240]  There are more than 42 million smokers in the United States.
[00:32:25.500 --> 00:32:29.361]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:32:29.561 --> 00:32:33.802]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:32:33.882 --> 00:32:43.905]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:32:44.105 --> 00:32:46.626]  Made with organic and wild cultivated herbs,
[00:32:46.766 --> 00:32:51.229]  Renewed hostile actions against United States ships on the high seas in the Gulf of Tonkin have today required me
[00:33:14.980 --> 00:33:20.021]  To order the military forces of the United States to take action and reply.
[00:33:20.481 --> 00:33:27.663]  Dr. Martin Luther King, the apostle of non-violence in the civil rights movement, has been shot to death in Memphis, Tennessee.
[00:33:27.683 --> 00:33:30.143]  Senator Kennedy has been shot.
[00:33:30.203 --> 00:33:31.063]  He still has the gun.
[00:33:31.083 --> 00:33:32.684]  The gun is pointed at him at this moment.
[00:33:32.704 --> 00:33:35.644]  Take a hold of this bomb and break it if you have to.
[00:33:42.488 --> 00:33:50.533]  People calling themselves members of the Weather Underground last night planted bombs in federal office buildings in Washington and Oakland, California.
[00:33:50.633 --> 00:33:55.196]  They took the babies out of incubators and left the children to die on the cold floor.
[00:33:55.216 --> 00:34:03.902]  Survivors of the USS Liberty are demanding a congressional investigation into what happened and acknowledgment that the Israeli Air Force bombed a U.S.
[00:34:04.162 --> 00:34:05.223]  intelligence Navy ship.
[00:34:05.523 --> 00:34:11.167]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:34:11.187 --> 00:34:14.469]  The Taliban is taking responsibility for shooting down a U.S.
[00:34:14.549 --> 00:34:15.229]  helicopter.
[00:34:15.589 --> 00:34:19.752]  More than 30 people were killed and there are reports this morning that most of them are U.S.
[00:34:19.812 --> 00:34:20.553]  Navy SEALs.
[00:34:20.593 --> 00:34:28.238]  There may be a false flag incident where a ship goes down and you use it to accelerate the next war.
[00:34:28.578 --> 00:34:32.981]  If there's one thing that has unified Democrats and Republicans, and everybody in between,
[00:34:33.741 --> 00:34:35.122]  It's that we all hated the bank bailout.
[00:34:35.502 --> 00:34:39.863]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:34:40.143 --> 00:34:44.185]  It comes out to like 1.6 billion rounds of ammunition.
[00:34:44.285 --> 00:34:50.267]  Today, it is infinitely easier to kill a million people than to control a million people.
[00:34:50.287 --> 00:34:55.449]  They estimated that they would have to eliminate 25 million people in these re-education centers.
[00:34:55.689 --> 00:34:57.330]  And when I say eliminate, I mean kill.
[00:34:57.590 --> 00:34:58.570]  I'm here to warn people!
[00:34:58.590 --> 00:34:59.830]  You keep telling me to shut up!
[00:35:00.131 --> 00:35:00.931]  This isn't a game!
[00:35:03.439 --> 00:35:08.603]  From the front lines of the information war, it's Alex Jones.
[00:35:10.524 --> 00:35:14.947]  And ladies and gentlemen, we seek the truth here on this broadcast.
[00:35:15.368 --> 00:35:20.091]  David Knight, with his analysis, host of InfoWars Nightly News, is with us.
[00:35:20.171 --> 00:35:23.514]  Paul Watson joins us from London, England.
[00:35:24.394 --> 00:35:27.817]  He's been following this throughout the night and this morning, not even sleeping.
[00:35:29.011 --> 00:35:44.340]  It was first basically pointed out by German media, then picked up by Zero Hedge, and now CBS News is saying, why was plane flying over war zone when all other air traffic for months has been directed out of the area?
[00:35:44.780 --> 00:35:50.764]  This was the sole plane directed on its flight plan, the Malaysian doomed flight.
[00:35:52.025 --> 00:35:56.808]  So the big issue, and it's finally starting to get some traction, which is good, it can stop a larger war.
[00:35:58.044 --> 00:36:01.245]  is why was it directed over the war zone.
[00:36:01.845 --> 00:36:03.706]  It isn't even about who shot it down.
[00:36:04.967 --> 00:36:21.673]  And then there's this kind of rah-rah, Ford versus Chevy, Coke versus Pepsi, Redskins versus the Cowboys idea that I see in the comments on YouTube and Infowars.com going, come on, traders, get behind a war!
[00:36:21.973 --> 00:36:23.333]  Let's have war with Russia!
[00:36:23.714 --> 00:36:25.014]  Let's have a war!
[00:36:25.414 --> 00:36:26.975]  Hey, they got nuclear weapons, folks.
[00:36:28.462 --> 00:36:35.046]  All these Arab countries, whether you love Israel or hate Israel, or are neutral, that say we're going to push you into the sea and blow you up.
[00:36:35.406 --> 00:36:38.268]  Israel's got 800 nuclear weapons, you're not going to do anything!
[00:36:39.729 --> 00:36:40.589]  Same thing with Russia!
[00:36:42.290 --> 00:36:43.471]  You know what my interests are?
[00:36:43.511 --> 00:36:45.712]  The truth, and my kids not being in a nuclear war.
[00:36:46.232 --> 00:36:49.534]  Or gas prices not being $5 a gallon, they're racing up right now.
[00:36:50.195 --> 00:36:54.137]  Or Christians and innocent Muslims being murdered by Al Qaeda and ISIS everywhere.
[00:36:54.975 --> 00:36:59.498]  Or, Saudi Arabia caught red-handed launching chemical attacks on Assad to blame it on him.
[00:36:59.718 --> 00:37:06.962]  That came out mainstream news after we broke it, and WorldNetDaily broke it, and DrugsReport.com carried our stories.
[00:37:07.302 --> 00:37:09.864]  It came out later, months later, that that indeed happened.
[00:37:10.364 --> 00:37:13.986]  But no one remembers it because the admission is in the back of the paper.
[00:37:15.327 --> 00:37:16.167]  Oh, BBC!
[00:37:16.468 --> 00:37:21.470]  Yeah, that was... Saudi Arabia and Turkey and NATO staged three chemical attacks.
[00:37:22.831 --> 00:37:23.912]  The UN even admitted it.
[00:37:25.523 --> 00:37:27.524]  I mean, that's bombshell.
[00:37:28.284 --> 00:37:31.206]  So of course I look at this and say, is NATO involved?
[00:37:31.826 --> 00:37:35.368]  But I gotta tell you, NATO may not have been involved in the way we think.
[00:37:36.008 --> 00:37:38.129]  It's kind of like telling a two-year-old, go play in traffic.
[00:37:38.710 --> 00:37:39.970]  Did you kill the two-year-old?
[00:37:40.050 --> 00:37:40.831]  No, you told him.
[00:37:41.451 --> 00:37:45.514]  It's like a Yosemite Sam episode that's politically incorrect, so it's been banned off TV.
[00:37:45.534 --> 00:37:52.840]  Used to be on YouTube, where he goes and marries a rich widow, but he doesn't know she's got this giant son who he's got to take care of and carry around on his back.
[00:37:52.900 --> 00:37:54.121]  It's called X marks the spot.
[00:37:54.621 --> 00:37:56.883]  And he sits there and goes, now go play fetch!
[00:37:56.923 --> 00:38:01.647]  And he throws the ball out in the street, you know, so the giant two-year-old can go out and get run over.
[00:38:02.147 --> 00:38:07.511]  But instead, it's Yosemite Sam that gets run over, and he has him, you know, jump in a pool full of alligators.
