[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[00:25:19.107 --> 00:25:22.630]  Yeah, so we let another 30 million in, and then all their families have to come in.
[00:25:23.050 --> 00:25:36.641]  And then just so happens, Jeb, they vote Democrat about 90% of the time, which you love, because the Republicans back during Barry Goldwater's era weren't as bad as they are now.
[00:25:37.262 --> 00:25:42.826]  And so the Bushes, basically, with the neocons, took over the Republican Party.
[00:25:43.107 --> 00:25:44.147]  They are the Democrats.
[00:25:44.267 --> 00:25:45.869]  They are the Democrats' right wing.
[00:25:47.578 --> 00:25:54.342]  And they share power with the Clintons, who are protégés of CIA officer George Herbert Walker Bush.
[00:25:54.382 --> 00:25:55.403]  And you know that's all come out.
[00:25:56.243 --> 00:25:59.485]  It's all completely staged, all a giant joke to them.
[00:26:00.065 --> 00:26:09.271]  And I told you you'd see Boehner and the Republicans try to prop up Obamacare and keep the law in place with a couple of cosmetic changes that actually don't change anything.
[00:26:11.095 --> 00:26:13.456]  On the most criminal, out-of-control law in history.
[00:26:13.756 --> 00:26:16.957]  It is so fraudulent, so ridiculous, so insane.
[00:26:17.197 --> 00:26:18.638]  But here is Jeb Bush.
[00:26:18.918 --> 00:26:22.219]  Yes, they broke the law, but it's not a felony.
[00:26:22.519 --> 00:26:23.759]  It's an act of love.
[00:26:24.940 --> 00:26:27.881]  It's an act of love, ladies and gentlemen.
[00:26:28.521 --> 00:26:36.724]  Can I go to Mexico and have my baby paid for when it's born and then say, my family, I need my family from El Norte to come down here with me, come on!
[00:26:38.264 --> 00:26:40.665]  You would be laughed at and beaten up in the parking lot.
[00:26:42.892 --> 00:26:43.793]  Probably thrown in jail.
[00:26:44.834 --> 00:26:47.817]  Mexico has some of the most draconian anti-immigration laws in the world.
[00:26:48.078 --> 00:26:48.498]  Look it up.
[00:26:49.239 --> 00:26:52.322]  Six months to a year hard labor if they catch you in the country illegally.
[00:26:55.546 --> 00:26:57.208]  Work camps for the Guatemalans.
[00:26:59.158 --> 00:27:18.153]  But Americans, oh, oh, Jeb Bush, just like he was for NAFTA and GATT, and just like they were for the police state and the drug war, and Obamacare, Jeb Bush, Republican leadership helped write Obamacare for the big insurance companies, openly owned by people like Warren Buffett, who's such a nice old man.
[00:27:18.193 --> 00:27:21.455]  He's a nice old man with his big banks laundering all that money on record.
[00:27:22.997 --> 00:27:24.418]  Just a friendly old man!
[00:27:26.588 --> 00:27:28.709]  Friendly old man got some candy in that van.
[00:27:28.749 --> 00:27:29.569]  Kids, get in!
[00:27:29.589 --> 00:27:33.010]  Everybody knows all old men wearing suits and ties are nice.
[00:27:33.030 --> 00:27:38.211]  I mean, this is so ridiculous to hear this out of him.
[00:27:38.711 --> 00:27:44.332]  And now GOP seeks coverage choices in health law they hate.
[00:27:45.593 --> 00:27:47.033]  That's how AP wrote it.
[00:27:48.873 --> 00:27:49.854]  AP should have.
[00:27:49.954 --> 00:27:55.755]  GOP works with Obama behind the scenes to stop revolution against Obamacare and its repeal.
[00:27:57.682 --> 00:28:09.991]  Or, headline, GOP seeks to cover Obama and the Democratic Party from total political annihilation and seek to protect the party who passed the bill Republicans wrote.
[00:28:10.491 --> 00:28:11.352]  That should be the headline.
[00:28:13.653 --> 00:28:20.178]  You know, with Ezekiel Emanuel and the eugenicists, the death panel, Bill and Melinda Gates Foundation sponsoring it,
[00:28:22.173 --> 00:28:31.816]  Along with Mitt Romney in Massachusetts, where the pilot state, what, 15 years ago, and they passed the core of what became law.
[00:28:31.836 --> 00:28:36.258]  I mean, it wasn't as bad as what the Democrats added onto it, but it was really bad.
[00:28:37.236 --> 00:28:46.723]  Basically insurance companies making you buy their product where they can charge whatever they want and lower the quality of the product and have the government set the standards of what type of tests and surgeries you can get.
[00:28:46.743 --> 00:28:47.664]  What do you think is going to happen?
[00:28:47.864 --> 00:28:49.545]  Prices are going to go up and you're going to get less.
[00:28:49.865 --> 00:28:53.608]  What would you do if you were an offshore mega corporation that owns insurance companies?
[00:28:56.581 --> 00:28:59.202]  Well, every time they can, they finance dictators in third world countries.
[00:29:00.042 --> 00:29:01.943]  See, the globalists finance pure evil.
[00:29:02.263 --> 00:29:04.004]  You are nothing but dead meat to them.
[00:29:04.344 --> 00:29:12.287]  And when you act so naive and ignorant, folks, they say that's a self-fulfilling prophecy that you deserve to be run over by the system.
[00:29:14.008 --> 00:29:18.170]  That you deserve to be crushed by the establishment.
[00:29:21.092 --> 00:29:22.593]  And so they make it a partisan issue.
[00:29:22.673 --> 00:29:24.834]  Oh look, the Republicans don't want you to have this.
[00:29:24.874 --> 00:29:26.836]  So please don't throw me in the briar patch.
[00:29:27.076 --> 00:29:29.877]  Will you guys print me the story of Briar Rabbit just to boil down of it?
[00:29:30.718 --> 00:29:32.199]  I think I need to read that on air to people.
[00:29:33.520 --> 00:29:35.541]  Briar Rabbit wants to be thrown in the briar patch.
[00:29:35.601 --> 00:29:36.402]  That's where he's safe.
[00:29:36.722 --> 00:29:39.403]  He goes, whatever you do, don't throw me in the briar patch.
[00:29:39.423 --> 00:29:40.044]  Here's the Republicans.
[00:29:41.494 --> 00:29:45.316]  Oh my gosh, whatever you do, don't pass Obamacare.
[00:29:45.596 --> 00:29:46.737]  We're so upset by it.
[00:29:46.917 --> 00:29:47.818]  Oh, it's so horrible.
[00:29:48.178 --> 00:29:51.319]  Democrats, well we're going to get it and nothing you're going to do is going to stop us.
[00:29:51.760 --> 00:29:52.120]  Racist.
[00:29:53.381 --> 00:29:58.323]  Al Sharpton says you're racist if you don't support Obamacare.
[00:30:00.064 --> 00:30:03.046]  We're on the march, the empire's on the run.
[00:30:03.986 --> 00:30:06.688]  Alex Jones and the GCN Radio Network.
[00:30:11.508 --> 00:30:20.516]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:30:20.596 --> 00:30:28.843]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:30:29.003 --> 00:30:33.727]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:30:33.887 --> 00:30:37.550]  Discover and try a bag of the Patriot Blend 100% Organic Coffee
[00:30:38.971 --> 00:30:39.531]  We're good to go.
[00:31:02.719 --> 00:31:08.880]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:31:09.020 --> 00:31:11.261]  Available at Infowarslife.com.
[00:31:11.461 --> 00:31:21.843]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:31:22.144 --> 00:31:23.984]  Guess what else is in the halogen family?
[00:31:24.204 --> 00:31:24.884]  Fluoride.
[00:31:25.084 --> 00:31:26.664]  Ladies and gentlemen, Alex Jones here.
[00:31:27.004 --> 00:31:33.326]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:31:33.586 --> 00:31:36.406]  It's the good halogen on the periodic table.
[00:31:36.526 --> 00:31:38.366]  And the results are on record.
[00:31:38.506 --> 00:31:44.587]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:31:44.808 --> 00:31:46.988]  Bottom line, iodine is important.
[00:31:47.248 --> 00:31:49.868]  Unbound, clean, in a glycerin base.
[00:31:50.168 --> 00:31:53.569]  Nascent iodine was the answer for myself and my family.
[00:31:53.669 --> 00:31:58.252]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:31:58.732 --> 00:32:03.915]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:32:04.215 --> 00:32:05.256]  I take it every day.
[00:32:05.396 --> 00:32:10.539]  That's InfoWarsLife.com or call toll free 888-253-3139.
[00:32:11.360 --> 00:32:15.943]  Why does the United States spend the largest percentage of GDP in the world on health care?
[00:32:16.083 --> 00:32:18.364]  Why do we have the highest cancer rates on
[00:32:18.524 --> 00:32:24.407]  The highest rates of diabetes, autism, and every other major disease.
[00:32:24.747 --> 00:32:26.408]  It all comes down to one thing.
[00:32:26.669 --> 00:32:28.009]  We are what we eat.
[00:32:28.309 --> 00:32:32.652]  Our food is devoid of nutrition and processed with poisons and additives.
[00:32:32.992 --> 00:32:36.974]  Our water is filled with toxic poisons and big pharma runoff.
[00:32:37.214 --> 00:32:39.536]  All of this has been engineered by design.
[00:32:39.756 --> 00:32:45.659]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:32:45.979 --> 00:32:48.722]  To learn more, visit InfoWarsHealth.com.
[00:32:48.962 --> 00:32:55.868]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:32:56.008 --> 00:33:01.833]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:33:02.073 --> 00:33:07.998]  When you visit InfoWarsHealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[00:33:08.259 --> 00:33:10.741]  And get free shipping when you sign up for AutoShip.
[00:33:30.094 --> 00:33:31.555]  You want to stop tyranny?
[00:33:31.776 --> 00:33:32.937]  Well, so does he.
[00:33:33.437 --> 00:33:38.181]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:42.905 --> 00:33:44.967]  We're here Monday through Friday 11 a.m.
[00:33:45.007 --> 00:33:45.528]  to 2 p.m.
[00:33:45.608 --> 00:33:54.435]  Central live broadcasting worldwide back weeknight 7 o'clock Central InfoWars Nightly News back Sundays 4 to 6 p.m.
[00:33:54.455 --> 00:33:56.057]  with a live Sunday transmission.
[00:33:57.713 --> 00:33:58.954]  I am your host Alex Jones.
[00:33:59.614 --> 00:34:04.376]  Let me boil down and quantify Obamacare here very simply and succinctly.
[00:34:05.716 --> 00:34:22.763]  You have a constellation of special interest and at the top of that you have the big five to six global mega banks that control the derivatives, the fractional reserve banking, basically unlimited counterfeit paper instruments.
[00:34:24.229 --> 00:34:41.561]  And they've been able to dominate most of the world, take over the resources of the planet with all that fiat garbage currency that they've gotten Western governments to sign on to and guarantee as their debts, turning us into financial slaves in the act of bailing them out.
[00:34:43.002 --> 00:34:47.785]  A giant ball and chain with a greater financial weight than the sun itself.
[00:34:48.966 --> 00:34:49.626]  Imagine that.
[00:34:51.007 --> 00:34:53.729]  A thousand Thor's hammers tied to our legs.
[00:34:54.994 --> 00:34:57.678]  That's the type of weight we're talking about here.
[00:34:58.338 --> 00:35:11.256]  Financially, culturally, all a giant fraud intertwined into all the pensions, intertwined into the culture, intertwined into the investments, to where the cancer has become the body itself.
[00:35:12.790 --> 00:35:13.711]  And that's not enough for them.
[00:35:14.512 --> 00:35:25.385]  They have Agenda 21 globally to create neo-feudalism, to cut off resources, to make the public right at starvation level, so that politically you will jump through any hoop for resources.
[00:35:25.766 --> 00:35:27.187]  So there's an artificial scarcity.
[00:35:28.103 --> 00:35:34.285]  And at the top of the pyramid, you have the large central banks that are in control.
[00:35:35.225 --> 00:35:42.928]  And then they've got other groups that are intertwined and interconnected as well that are a big part of that.
[00:35:44.714 --> 00:36:05.091]  And they're the big lobbying groups, they're the political class, they are the select healthcare groups that are insiders who were exempt from the main Obamacare system who got their two cents in to have the legislation written to shut down their competition and to create unfair trade advantages.
