[00:00:00.287 --> 00:00:01.129]  Let's do this!
[00:27:18.405 --> 00:27:25.132]  Fighters abandoning Al-Qaeda affiliations to join Islamic State.
[00:27:25.132 --> 00:27:25.532]  U.S.
[00:27:25.532 --> 00:27:28.756]  officials say, you mean I.S.
[00:27:28.756 --> 00:27:33.660]  and ISIS are like an Al-Qaeda new name?
[00:27:33.660 --> 00:27:36.884]  Oh my, oh that is very intellectual.
[00:27:39.175 --> 00:27:50.885]  We told you day one when all this started, really about eight months ago when they started taking Fallujah, but four months ago when they dubbed themselves ISIS, that it was Al-Qaeda being globalist funded and directed.
[00:27:50.885 --> 00:27:54.968]  Again, think of how sensationally evil that is.
[00:27:54.968 --> 00:27:56.710]  And the public is so confused.
[00:27:58.049 --> 00:28:06.091]  That I have so-called intellectuals stop me on the street or I talk to their talk show host and they're like, yeah, I really think we ought to be bombing ISIS, Alex.
[00:28:06.091 --> 00:28:07.612]  Ah, yes, they're really bad.
[00:28:07.612 --> 00:28:09.112]  Why are you criticizing Obama?
[00:28:09.112 --> 00:28:10.273]  He's finally doing something.
[00:28:10.273 --> 00:28:12.933]  I thought you didn't like those people.
[00:28:12.933 --> 00:28:17.115]  Meanwhile, I've been telling people about it before it even started.
[00:28:17.115 --> 00:28:18.775]  Yes, I want to bomb ISIS.
[00:28:18.775 --> 00:28:20.496]  I want them all dead.
[00:28:20.496 --> 00:28:22.236]  Every stinking last one of them.
[00:28:22.236 --> 00:28:26.898]  They are a bunch of murdering, psychopathic, child-killing scum.
[00:28:26.898 --> 00:28:27.738]  But who's more evil?
[00:28:30.677 --> 00:28:37.885]  The crazy Al-Qaeda, ISIS people, where you don't get to join their club unless you're totally out of your mind?
[00:28:37.885 --> 00:28:40.208]  So the most radical becomes the leader?
[00:28:40.208 --> 00:28:45.955]  Or the globalists that have been protecting and funding them and giving them weapons since 1979, with Zbigniew Brzezinski?
[00:28:50.219 --> 00:29:13.373]  The next administration of Ronald Reagan, and then George Herbert Walker Bush, and then Clinton, Clinton, and then Bush, Bush, and now Obama, Obama, that's what's evil, is the corporate globalist interest that are creating full-spectrum dominance where they dump out a whole hive of wasp, or hornets,
[00:29:17.975 --> 00:29:24.341]  Into your house, and then they show up, knock on the door, five minutes later, when you've run out of your house.
[00:29:24.341 --> 00:29:26.242]  Or they come in your backyard, you want to go back in your house?
[00:29:26.242 --> 00:29:27.784]  I'm a hornet killer.
[00:29:27.784 --> 00:29:30.086]  You know, pay me and I'll go take the hornets out.
[00:29:30.086 --> 00:29:36.211]  So he goes in, gets some of the hornets, kills a few, puts them back in another hive, goes to the next neighbor, sticks them in there.
[00:29:36.211 --> 00:29:40.054]  I mean, it's the same deal, ladies and gentlemen.
[00:29:40.054 --> 00:29:45.079]  Over and over again, and we're too stupid to figure it out.
[00:29:46.898 --> 00:29:48.560]  Come back and get into the riots.
[00:29:48.560 --> 00:29:49.280]  We're on the march.
[00:29:49.280 --> 00:29:50.341]  We're taking place in Missouri.
[00:29:50.341 --> 00:29:51.202]  The umpires on the run.
[00:29:51.202 --> 00:29:52.504]  Your phone calls.
[00:29:52.504 --> 00:29:55.026]  Alex Jones and the GCN Radio Network.
[00:29:55.026 --> 00:29:56.267]  Stay with us ladies and gentlemen.
[00:29:56.267 --> 00:29:56.688]  Stay with us.
[00:29:59.400 --> 00:30:01.781]  This is Alex Jones for InfoWarsLife.com.
[00:30:01.781 --> 00:30:04.602]  The latest in preparedness is now here.
[00:30:04.602 --> 00:30:10.785]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:30:10.785 --> 00:30:15.868]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:30:15.868 --> 00:30:20.770]  The new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family.
[00:30:20.770 --> 00:30:25.272]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:30:25.572 --> 00:30:34.156]  The InfoWarsLife Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:30:34.156 --> 00:30:36.317]  This is not a low-grade formula.
[00:30:36.317 --> 00:30:47.502]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[00:30:47.502 --> 00:30:54.906]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[00:30:55.426 --> 00:31:07.510]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American made jeans.
[00:31:07.510 --> 00:31:15.393]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[00:31:15.393 --> 00:31:19.915]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[00:31:20.934 --> 00:31:26.281]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[00:31:26.281 --> 00:31:29.225]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:31:29.781 --> 00:31:33.424]  The government's Department of Homeland Security is buying up loads of ammo.
[00:31:33.424 --> 00:31:37.707]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:31:37.707 --> 00:31:39.488]  Can you put two and two together?
[00:31:39.488 --> 00:31:47.354]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:31:47.354 --> 00:31:48.495]  But for how long?
[00:31:48.495 --> 00:31:55.140]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:31:55.140 --> 00:31:57.962]  Infidel Body Armor just won't quit.
[00:31:59.665 --> 00:32:05.827]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:32:05.827 --> 00:32:10.389]  Most people know that iodine deficiency has been a crisis around the world.
[00:32:10.389 --> 00:32:14.951]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:32:15.351 --> 00:32:18.272]  I discovered a product being developed by Dr. Group.
[00:32:18.272 --> 00:32:23.714]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:32:23.714 --> 00:32:31.116]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:32:31.116 --> 00:32:35.237]  And the results that I personally have had have been life changing.
[00:32:35.237 --> 00:32:40.019]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:32:40.359 --> 00:32:48.809]  This is innovating and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:32:48.809 --> 00:32:53.255]  For a limited time, experience the ancient power of Survival Shield X2.
[00:32:53.255 --> 00:32:58.722]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLife.com.
[00:33:10.720 --> 00:33:13.400]  He aligns himself with the truth.
[00:33:13.400 --> 00:33:16.341]  And it's time for you to choose a side.
[00:33:16.341 --> 00:33:27.083]  You're listening to Alex Jones.
[00:33:27.083 --> 00:33:29.583]  I'm gonna try to get him on tomorrow or the next day.
[00:33:29.583 --> 00:33:33.944]  James O'Keefe has struck again of the Veritas Project.
[00:33:33.944 --> 00:33:37.105]  Stories up on DrudgeReport.com.
[00:33:37.105 --> 00:33:38.225]  He was able
[00:33:39.338 --> 00:33:48.905]  To go across the border and then dress up like Osama Bin Laden in camouflage with a turban on his head, swim across the Rio Grande.
[00:33:48.905 --> 00:33:50.006]  What a genius idea.
[00:33:50.006 --> 00:33:51.447]  Why didn't we think of that?
[00:33:51.447 --> 00:33:53.169]  Just to illustrate how wide open it is.
[00:33:54.096 --> 00:34:09.684]  I think we should have, like, three of our guys go down in one of those big expensive costumes as, like, a Chinese dragon, and then show that, go across, dress up like Hitler and Bozo the Clown, just to illustrate how absolutely ridiculous it is.
[00:34:09.684 --> 00:34:14.426]  He's almost dressed like Justin Bieber in diaper pants, if you see the video.
[00:34:14.426 --> 00:34:19.149]  And we're also posting that to InfoWars.com, where it is now posted.
[00:34:20.169 --> 00:34:21.610]  Up on Infowars.com.
[00:34:21.610 --> 00:34:24.512]  There's a lot of other crazy news out there.
[00:34:24.512 --> 00:34:28.114]  Like famous race car drivers with shock video.
[00:34:28.114 --> 00:34:32.897]  Running over and killing another driver.
[00:34:32.897 --> 00:34:35.819]  No criminal charges imminent.
[00:34:35.819 --> 00:34:38.981]  Stewart threatened to run over a driver two years ago following wreck.
[00:34:41.866 --> 00:34:52.149]  And, you know, when it's pretty obvious, you notice they don't arrest people, but then when an ESPN host admits he hit his girlfriend once when she hit him years ago, he gets suspended.
[00:34:52.149 --> 00:35:01.011]  See, oh, Nerf gun in your backyard, you're suspended from school, even though there's no law or regulation saying they can do that.
[00:35:01.011 --> 00:35:02.672]  Or, oh, uh,
[00:35:04.628 --> 00:35:09.272]  You, you know, had a leaking sprinkler, so $700 fines.
[00:35:09.272 --> 00:35:14.536]  But, oh, you run somebody over in front of everybody, and you're this big race car driver icon.
[00:35:14.536 --> 00:35:17.679]  Well, nothing happens, see?
[00:35:17.679 --> 00:35:23.563]  It's all about stuff that's for the general public or people that haven't actually done something wrong.
[00:35:23.563 --> 00:35:26.606]  That's what this globalism, political correctness is all about.
[00:35:27.645 --> 00:35:37.669]  All over the country, superintendents are freaking out over, quote, athenine, we don't have enough teachers, and now we have to hire food police.
[00:35:37.669 --> 00:35:51.435]  That's out of the newspaper, EganNews.org, where in Atlanta, Georgia, they're not allowed to have any type of cake or ice cream or bake sales now under federal rules.
[00:35:51.435 --> 00:35:55.876]  Since when did the feds tell Atlanta, Georgia they couldn't have bake sales?
[00:35:55.876 --> 00:35:57.217]  Since when do private schools?
[00:35:58.956 --> 00:36:03.039]  My children were going to a Christian private school, one of the best in Austin, two years ago.
[00:36:03.039 --> 00:36:14.887]  Very nice people, but they had days twice a year where it was food and videos shown of Michelle Obama telling you what to eat.
[00:36:14.887 --> 00:36:16.188]  Or they didn't get accreditation.
[00:36:18.206 --> 00:36:20.788]  This is the brainwashing that we're under in this country.
[00:36:20.788 --> 00:36:22.209]  That's just some of the news that's coming up.
[00:36:22.209 --> 00:36:23.750]  I want to take your phone calls.
[00:36:23.750 --> 00:36:25.050]  The toll-free number to join us is 800-259-9231.
[00:36:25.050 --> 00:36:25.170]  800-259-9231.
[00:36:25.170 --> 00:36:25.631]  First-time callers, 800-259-9231.
[00:36:25.631 --> 00:36:27.412]  What do you make of the bombing of ISIS?
[00:36:27.412 --> 00:36:31.314]  I'm all for bombing ISIS so they don't take over the Kurdish areas of northern Iraq, one-third of the nation.
[00:36:46.075 --> 00:37:11.755]  But they were allowed to come in and were not bombed when they were taking over major cities in the West and major oil fields in the last six, eight months, calling themselves ISIS the last four, and allowed to even advance up to Baghdad, because they've now been given that area as a permanent state to then carve out half of Syria is the new country, Islamic State.
[00:37:12.734 --> 00:37:14.436]  And our government helped him do that.
[00:37:14.436 --> 00:37:25.987]  That was the admitted Pentagon plan under Brzezinski and others, Wesley Clark talked about it five years ago, to take over those countries, eight of them, and then break them all in two to four pieces.
