[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[00:25:17.659 --> 00:25:22.643]  Or in Guyana, that's in Africa, I was thinking of Europe from the Geneva Convention, in Geneva, Switzerland.
[00:25:23.144 --> 00:25:38.797]  In Guyana, a hot spot for the deadly contagion, government health officials have said the outbreak is nearly under control, yet Reuters reports that the government planned to stop publicly releasing the death toll to avoid causing unnecessary panic, is the quote.
[00:25:39.636 --> 00:25:44.557]  Despite the best efforts of emergency health workers, it appears the virus may have crossed out of Africa into Europe.
[00:25:45.218 --> 00:26:01.162]  The outbreak of the Ebola virus is seven West African countries, has broken through all efforts to contain it, and is spreading like wildfire, according to Christian relief groups working in Guyana, Liberia, and a number of other confirmed infections have jumped 15% in just the last 24 hours.
[00:26:02.302 --> 00:26:04.763]  So we'll continue to watch all of that.
[00:26:05.443 --> 00:26:07.504]  And if you go up to InfoWars.com, you can
[00:26:09.002 --> 00:26:16.287]  Read those out of the French News and other publications, and we have links to Reuters and others in the story.
[00:26:17.147 --> 00:26:18.208]  So, sounds pretty bad.
[00:26:18.248 --> 00:26:22.571]  If a bowl ever becomes airborne, look out, ladies and gentlemen, obviously.
[00:26:23.772 --> 00:26:25.514]  So that's some of the news on that front.
[00:26:25.954 --> 00:26:27.536]  Another zero hedge article.
[00:26:27.836 --> 00:26:28.737]  This means war.
[00:26:28.757 --> 00:26:29.498]  The U.S.
[00:26:29.538 --> 00:26:39.207]  to target Putin's personal $40 billion stash, while the White House has continually threatened further sanctions against Russia for non-de-escalation.
[00:26:39.988 --> 00:26:46.955]  Even as it de-escalates itself, the specifics of the additional sanctions have been sparse.
[00:26:48.305 --> 00:26:55.068]  German CEO warnings over blowback from economic sanctions and the nonsense of replacing Russian gas with U.S.
[00:26:55.108 --> 00:27:02.291]  gas, the Russian warnings of interdependence and boomerangs, all reduce the West's arsenal of financial sanctions.
[00:27:02.351 --> 00:27:05.452]  But as the Times of London reports, perhaps the U.S.
[00:27:05.492 --> 00:27:17.557]  has found a crucial pain point for Putin, a sanctions the regime that would target Putin's personal wealth, which includes a reported $40 billion stash in Swiss bank accounts.
[00:27:18.683 --> 00:27:29.490]  The Hill reports the White House on Friday refused to comment on reports that Russian President Vladimir Putin's personal wealth could be targeted if the West were to move ahead with additional sanctions over Ukraine.
[00:27:30.751 --> 00:27:32.372]  But the Times of London says the U.S.
[00:27:32.392 --> 00:27:38.275]  was preparing for sanctions on the regime that would target Putin's personal wealth, which includes a reported $40 billion.
[00:27:38.576 --> 00:27:40.097]  That may be propaganda itself.
[00:27:40.157 --> 00:27:43.579]  I mean, I'm sure he's got money stashed, but $40 billion?
[00:27:45.236 --> 00:27:50.283]  And do the globalists want to start the dangerous game of targeting other despots' money?
[00:27:51.444 --> 00:27:53.447]  How big do you think Bill Clinton's Swiss bank accounts are?
[00:27:53.747 --> 00:27:55.790]  How big do you think Barack Obama's Swiss bank accounts are?
[00:27:55.810 --> 00:28:00.516]  Well, the answer is, they just hide all that in plain view.
[00:28:03.120 --> 00:28:05.361]  Congress gets caught insider trading five years ago?
[00:28:05.761 --> 00:28:07.102]  Their answers just say it's legal.
[00:28:07.322 --> 00:28:08.402]  People go, but it's not legal.
[00:28:08.863 --> 00:28:15.506]  Okay, we'll pass a law to reform it, close quote, which actually legalizes insider trading for Congress.
[00:28:16.886 --> 00:28:20.948]  Well, I say that if you legalize murder for yourself, that law is a fraud.
[00:28:22.729 --> 00:28:26.711]  And it's certainly a fraud if other people can't murder, but only you are exempt.
[00:28:28.550 --> 00:28:39.672]  Well, I mean, I guess we could pass a law saying, you know, that we live in a country of total and complete anarchy, but you can't kill somebody only they can.
[00:28:39.692 --> 00:28:40.552]  Well, that's not anarchy.
[00:28:41.012 --> 00:28:43.193]  That's called hypocritical fraud.
[00:28:44.953 --> 00:28:50.354]  Continuing here with the news, here's another one by Paul Joseph Watson up on InfoWars.com.
[00:28:50.414 --> 00:28:51.334]  Very important article.
[00:28:51.654 --> 00:28:54.535]  They have thousands of mass riots a month in China.
[00:28:55.816 --> 00:28:58.300]  China in most areas resembles Soylent Green, the movie.
[00:28:59.041 --> 00:29:00.343]  Watson's been over there four times.
[00:29:01.144 --> 00:29:03.848]  He says it is unspeakably horrible in the major cities.
[00:29:04.509 --> 00:29:08.735]  And Chinese citizens beat government bureaucrats during mass riot.
[00:29:08.776 --> 00:29:09.817]  They beat them bloody.
[00:29:10.783 --> 00:29:14.926]  And warning, the video and photos are graphic up on InfoWars.com.
[00:29:15.426 --> 00:29:26.474]  Irate Chinese citizens savagely beat five government bureaucrats during an incident that escalated into a thousand-strong riot Saturday in another tell-tale sign the communist country's increasing social tensions.
[00:29:27.095 --> 00:29:32.899]  The disturbance began after members of the Xinjiang Municipal Province Police
[00:29:34.076 --> 00:29:43.802]  China's widely loved bureaucrats who enforce government regulations against street vendors began harassing and beating a woman in the county of Wenzhou City.
[00:29:44.723 --> 00:29:54.529]  When a bystander, 36-year-old Mr. Hong, came to the woman's aid by filming the confrontation, he was reportedly attacked by cops with a hammer and began to vomit blood before dying at the hospital.
[00:29:54.829 --> 00:29:55.689]  The people responded.
[00:29:56.290 --> 00:29:57.210]  We're on the march.
[00:29:57.691 --> 00:29:59.292]  The empire's on the run.
[00:30:00.212 --> 00:30:02.894]  Alex Jones and the GCN Radio Network.
[00:30:07.600 --> 00:30:11.582]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:30:11.622 --> 00:30:15.744]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:30:15.884 --> 00:30:19.406]  What are the health effects of having these drugs in our drinking water?
[00:30:19.646 --> 00:30:22.547]  It's forced medical treatment without the consent of residents.
[00:30:22.707 --> 00:30:30.071]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:30:30.271 --> 00:30:33.893]  On average, the county says it sprays with glyphosate at least once a week.
[00:30:34.093 --> 00:30:38.435]  A few filters cut out the glyphosate that is found in water supplies worldwide.
[00:30:38.595 --> 00:30:44.517]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:30:44.557 --> 00:30:48.338]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:30:48.498 --> 00:30:51.039]  It is our responsibility to protect our families.
[00:30:51.239 --> 00:30:52.579]  The establishment's not going to do it.
[00:30:52.739 --> 00:30:53.980]  It's time to take action.
[00:30:54.100 --> 00:30:55.820]  It's time to filter our water.
[00:30:55.921 --> 00:31:03.063]  Visit InfoWarsThor.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:31:03.303 --> 00:31:07.186]  Our call toll free, 888-253-3139.
[00:31:07.626 --> 00:31:12.189]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:31:12.329 --> 00:31:15.311]  Why do we have the highest cancer rates on the planet?
[00:31:15.451 --> 00:31:20.695]  The highest rates of diabetes, autism, and every other major disease.
[00:31:21.015 --> 00:31:22.616]  It all comes down to one thing.
[00:31:22.936 --> 00:31:24.257]  We are what we eat.
[00:31:24.577 --> 00:31:28.920]  Our food is devoid of nutrition and processed with poisons and additives.
[00:31:29.240 --> 00:31:33.242]  Our water is filled with toxic poisons and Big Pharma runoff.
[00:31:33.482 --> 00:31:35.804]  All of this has been engineered by design.
[00:31:36.024 --> 00:31:41.947]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:31:42.247 --> 00:31:45.009]  To learn more, visit InfoWarsHealth.com.
[00:31:45.229 --> 00:31:52.053]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:31:52.273 --> 00:31:58.098]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:31:58.338 --> 00:32:04.264]  When you visit InfoWarsHealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[00:32:04.504 --> 00:32:07.046]  And get free shipping when you sign up for AutoShip.
[00:32:07.527 --> 00:32:10.109]  Hi folks, Alex Jones here with some important information.
[00:32:10.369 --> 00:32:13.612]  I want to tell you about Matt Redhawk and his team of patriots
[00:32:13.752 --> 00:32:15.233]  Over at My Patriot Supply.
[00:32:15.494 --> 00:32:23.381]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[00:32:23.601 --> 00:32:27.926]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:32:28.146 --> 00:32:31.969]  My Patriot Supply has never taken a loan or accepted outside funding.
[00:32:32.110 --> 00:32:37.815]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:32:38.035 --> 00:32:40.817]  It is rare to find companies who practice what they preach.
[00:32:41.217 --> 00:32:46.441]  And that's why I stock my pantry with high-quality, storable foods from MyPatriotSupply.
[00:32:46.601 --> 00:32:54.706]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:32:54.766 --> 00:32:55.046]  That's 866-229-0927.
[00:32:55.086 --> 00:32:57.968]  Do business with someone who shares your values.
[00:32:57.988 --> 00:32:58.909]  MyPatriotSupply.com slash Alex.
[00:33:36.309 --> 00:33:42.334]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:33:42.734 --> 00:33:45.176]  You're listening to Alex Jones.
[00:34:04.420 --> 00:34:05.321]  We are back live.
[00:34:05.341 --> 00:34:09.264]  I want to give the phone number out and get into the latest on the Bundy front.
[00:34:10.946 --> 00:34:13.548]  But I have a question for the listeners when I give the number out.
[00:34:14.589 --> 00:34:17.412]  Is it ever wrong to stand up against the government?
[00:34:17.472 --> 00:34:19.594]  Was it wrong to stand up against Nazi Germany?
[00:34:21.175 --> 00:34:26.761]  Was it wrong for the Christians to have their own religion and to not worship the gods of Rome?
[00:34:27.884 --> 00:34:32.146]  Jupiter and Saturn and Bacchus and all the rest of them.
[00:34:32.707 --> 00:34:36.169]  Is it wrong to not worship government and do whatever it says?
[00:34:37.870 --> 00:34:42.773]  Was George Washington wrong to not do whatever King George III said?
[00:34:43.653 --> 00:34:51.598]  And to let all the lords be exempt from taxes while levying high taxes on all their competition to destroy competition and consolidate the market?
[00:34:52.798 --> 00:34:54.359]  Are the Bundys wrong that 52 other
[00:34:56.573 --> 00:35:04.798]  Ranching families that were there since 1877 were forced out because of government fines and fees being raised on record.
[00:35:05.479 --> 00:35:08.441]  Federal court ruled last year to bankrupt them.
[00:35:09.882 --> 00:35:11.843]  Was it wrong to not roll over and die?
[00:35:12.683 --> 00:35:16.406]  Was it wrong to keep the cows on the land he had the grazing rights to?
[00:35:18.425 --> 00:35:27.411]  Is the Boston Globe correct last year when they said in the headline, so did the BBC, in a similar article, is the Declaration of Independence terrorism?
[00:35:28.332 --> 00:35:28.992]  That's the headline.
[00:35:30.253 --> 00:35:32.114]  And the majority of lawyers said yes.
