[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[00:27:14.508 --> 00:27:21.255]  Again, I dove in head first, not really knowing what I'm doing, and I'm just trying to do my best.
[00:27:22.416 --> 00:27:25.938]  I'm getting to a point now where I want to take it to a next level as well.
[00:27:26.938 --> 00:27:31.581]  So I'm working on a new website that I would hope that people would check out.
[00:27:31.681 --> 00:27:37.023]  I'm hoping to launch this thing in the first day of 2012, in January 1st.
[00:27:37.083 --> 00:27:39.764]  And it's going to be PressForTruth.tv.
[00:27:40.265 --> 00:27:46.508]  And if people like what I'm doing, you like my work, you want to support what I'm doing, please go check out PressForTruth.tv.
[00:27:46.568 --> 00:27:48.529]  It's not going to be ready for another
[00:27:49.770 --> 00:27:50.731]  Until January.
[00:27:51.412 --> 00:27:54.155]  But this is another way that I'm going to be able to do this work.
[00:27:54.656 --> 00:27:56.198]  This very, very important work.
[00:27:56.759 --> 00:27:59.122]  And just continue to spread this information.
[00:28:00.285 --> 00:28:03.566]  And of course, we've said this already, but we do have to support each other.
[00:28:03.626 --> 00:28:25.635]  I mean, just look at all the things the Rockefeller, the Gates Foundation, the Carnegie Foundation have done to literally steer entire education movements, entire developments of science and technology, which direction the research is going, where the global agreements are going, how the United Nations and its related entities and organs develop and come out of the
[00:28:26.135 --> 00:28:29.516]  out of the darkness into dominance they've tried to establish.
[00:28:29.896 --> 00:28:32.176]  It's all coordinated through their central funding.
[00:28:32.476 --> 00:28:34.797]  They've paid money to try to destroy records.
[00:28:34.817 --> 00:28:47.259]  Isserby talks about this, none of the video will be playing later, but in other parts, I think in part one, how they tried to buy up and destroy the only copies of the hearings on the role of foundations in our country.
[00:28:47.319 --> 00:28:50.099]  Something that the people were not supposed to be allowed to know about.
[00:28:50.479 --> 00:28:53.500]  We have helped bring you that information along with other researchers.
[00:28:54.200 --> 00:29:00.763]  This too, Dan, because I know you were at that 2006 Bilderberg meeting, something really I haven't heard people talk about.
[00:29:00.783 --> 00:29:15.889]  Now, Alex and others have really helped bring out how the left-right paradigm is false, how the Federal Reserve and other entities are so central to what's going on, and how it's really this big cartel meeting of people on all sides of the spectrum working and coordinating together
[00:29:16.469 --> 00:29:20.512]  Uh, even though they seem to be individual and separate, uh, outside of that.
[00:29:20.612 --> 00:29:28.957]  I know in 2006, we got information out of the meeting, and it's in the in-game film, about how they're planning to pop the housing bubble.
[00:29:28.977 --> 00:29:30.138]  Nobody knew that then.
[00:29:30.258 --> 00:29:32.840]  Nobody knew they were gonna pop the housing bubble in 2006.
[00:29:33.580 --> 00:29:36.602]  InfoWars, Alex Jones brought you that information.
[00:29:36.642 --> 00:29:40.505]  So many other researchers, Jim Tucker, uh, and the others.
[00:29:41.065 --> 00:29:42.386]  And, and look what happened.
[00:29:42.426 --> 00:29:45.488]  It didn't happen until 2008, but it was totally true, Dan Dix.
[00:29:46.127 --> 00:29:47.508]  Yeah, yeah, absolutely.
[00:29:47.828 --> 00:29:54.634]  And I think a lot of people now are realizing because of that, that getting out of debt is absolutely crucial.
[00:29:56.376 --> 00:30:08.306]  When you have multiple credit cards and a line of credit and mortgages and loans and all these things, the global elite literally have their bony little fingers wrapped around your neck
[00:30:08.746 --> 00:30:11.248]  And they can squeeze at just about any time.
[00:30:12.149 --> 00:30:14.831]  So getting out of debt is absolutely crucial.
[00:30:16.392 --> 00:30:18.193]  It is easier said than done.
[00:30:18.213 --> 00:30:22.096]  I mean, we are all born into this debt-based system.
[00:30:22.697 --> 00:30:25.158]  And a lot of the times it might even mean
[00:30:26.419 --> 00:30:31.942]  Lowering your standards of living so that you can own something outright.
[00:30:32.642 --> 00:30:36.764]  But I think that's one of the areas that people need to focus on in their own lives.
[00:30:37.505 --> 00:30:40.366]  Because you've got to change yourself before you change the world.
[00:30:40.826 --> 00:30:51.612]  And I think getting out of debt is absolutely crucial to taking the right steps in the right direction in regards to fighting the New World Order.
[00:30:52.012 --> 00:30:58.055]  I agree, and of course trying to live within your means is a good start too, particularly for people who don't have extra means.
[00:30:59.056 --> 00:31:01.817]  And of course these credit cards and everything are very predatory.
[00:31:02.397 --> 00:31:12.483]  I think the other side of that same coin is trying to build an independent life, trying to detach from a system, especially in the areas where it's predatory, and that is so many of those areas.
[00:31:12.523 --> 00:31:16.225]  Try to get out of that web, try to build your own personal assets.
[00:31:16.705 --> 00:31:20.787]  I haven't been able to do it all myself, but I know what direction I'd like to be able to go.
[00:31:21.447 --> 00:31:26.029]  I know there are people who grow their own food and so forth and so on.
[00:31:26.069 --> 00:31:27.730]  I think that's an important part of it as well.
[00:31:28.610 --> 00:31:29.871]  Yeah, yeah, absolutely.
[00:31:29.891 --> 00:31:36.794]  And you know, just closing up comments, I was listening to a few of the guests earlier.
[00:31:36.814 --> 00:31:38.755]  There's been so many awesome guests on today.
[00:31:39.355 --> 00:31:49.060]  And you know, I believe what a lot of the other ones were saying is that this is indeed, when you look at it, you get into the crux of it.
[00:31:50.180 --> 00:31:57.863]  We're involved with spiritual warfare here and I think one of the crucial things is to get right with God as well.
[00:31:57.883 --> 00:32:08.046]  I think mankind having turned their backs on God pretty much is also part of the reason why we're in the situation that we are in.
[00:32:08.787 --> 00:32:12.888]  So I am in total agreeance with a lot of the previous guests in that regards.
[00:32:13.648 --> 00:32:18.690]  I think that is one of these solutions that people need to focus on as well.
[00:32:19.929 --> 00:32:28.334]  Yeah, it's really incredible too, and when everybody comes on at once, it becomes this big flow of energy and consciousness, and I think everybody's thinking off of each other too.
[00:32:28.354 --> 00:32:33.317]  So that's just another great thing about this kind of long marathon broadcast.
[00:32:33.637 --> 00:32:39.100]  Well, thanks a lot for joining us, Dan, and I hope people will check out your work at PressForTruth.ca, right?
[00:32:39.952 --> 00:32:40.652]  Yeah, that's right.
[00:32:40.732 --> 00:32:41.672]  Okay, thanks guys.
[00:32:41.692 --> 00:32:44.053]  Keep up the great work and good luck with the rest of it.
[00:32:44.393 --> 00:32:45.233]  Great, have a good night.
[00:32:45.873 --> 00:33:00.877]  And we again do want to thank all the people who have supported us monetarily, but of course also those who have shared the link, who spread the word, who simply told people about the InfoWars broadcast, who tried to turn people on to alternative information.
[00:33:00.937 --> 00:33:08.619]  It's not just our own personal lives that we have to detach from the system and build up our own areas, but we need to build up a good
[00:33:09.419 --> 00:33:09.979]  I don't
[00:33:26.747 --> 00:33:27.268]  All tides.
[00:33:27.308 --> 00:33:29.469]  I don't think that phrase is coming out the way I planned it.
[00:33:30.250 --> 00:33:31.551]  But I've got a lot of notes here.
[00:33:31.611 --> 00:33:33.873]  It'd be hard to go through it in detail.
[00:33:34.294 --> 00:33:45.163]  But so many of the people we consider eugenicists, whether it's the Huxley family, Aldous Huxley, his brother Julian Huxley, who ran UNESCO, the Rockefeller family, the Harrimans family,
[00:33:45.623 --> 00:33:56.527]  Not only did they build up so many of our enemies in World War II, like Nazi Germany built up, Soviet Russia financed them and built them up as this Hegelian dialectic false enemy.
[00:33:56.567 --> 00:33:59.088]  They've also totally socially engineered us.
[00:33:59.489 --> 00:34:07.752]  They've not only laid the claim that they could decide how many people live or die and try to exercise control over that.
[00:34:08.112 --> 00:34:12.814]  They have tried to physiochemically control the way we think.
[00:34:13.614 --> 00:34:22.762]  The kind of inputs we have and you see that just for instance through the Rockefeller Foundation At places like Caltech and other important research centers.
[00:34:23.302 --> 00:34:35.092]  I have that book here the molecular vision of life It's one of the ones I've covered and it's just incredible they list here on page 46 how they want to control psychobiology internal secretions nutrition
[00:34:35.912 --> 00:34:37.353]  That's vitamins and so forth.
[00:34:37.713 --> 00:34:44.655]  Radiation, biology of sex, experimentation, chemical embryology, genetics, general physiology, biophysics.
[00:34:45.035 --> 00:34:51.978]  They're really trying to game our lives and control it all through the centrally steered, privately controlled, but publicly
[00:34:52.458 --> 00:34:53.039]  I don't think so.
[00:35:12.578 --> 00:35:14.399]  And that's just another direction we have to go.
[00:35:14.419 --> 00:35:16.919]  Now I know we have another guest coming up in a few minutes.
[00:35:16.959 --> 00:35:19.700]  He's going to update us on the Occupy Movement.
[00:35:19.740 --> 00:35:26.982]  He's here in Dallas, here in Texas rather, locally in Dallas at the Occupy Dallas Federal Reserve Movement.
[00:35:28.502 --> 00:35:29.602]  And that is Rick Warden.
