[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[00:29:48.905 --> 00:29:50.746]  He's not going to like it.
[00:29:50.746 --> 00:29:52.147]  We're on the march.
[00:29:52.147 --> 00:29:53.648]  The empire's on the run.
[00:29:54.654 --> 00:30:01.500]  Alex Jones and the GCN Radio Network.
[00:30:01.500 --> 00:30:03.222]  Hi folks, this is Alex Jones.
[00:30:03.222 --> 00:30:08.527]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:30:08.527 --> 00:30:10.068]  Saving means to make money.
[00:30:10.068 --> 00:30:18.857]  The Calbin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:30:19.577 --> 00:30:27.120]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:30:27.120 --> 00:30:35.103]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:30:35.103 --> 00:30:42.506]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[00:30:45.287 --> 00:30:48.492]  Or see Calvin on the web at 5starsoap.com.
[00:30:48.492 --> 00:30:50.875]  Take charge of your health now by calling 800-340-7091.
[00:30:50.875 --> 00:30:52.998]  Or see Calvin on the web at 5starsoap.com.
[00:31:00.984 --> 00:31:16.477]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:31:16.477 --> 00:31:20.160]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:31:21.161 --> 00:31:33.935]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:31:33.935 --> 00:31:41.202]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:31:41.883 --> 00:31:52.253]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:31:52.253 --> 00:31:56.177]  As well, we are always ready to answer any questions you may have.
[00:31:56.177 --> 00:31:59.300]  That's www.SilverLungs.com
[00:31:59.921 --> 00:32:04.462]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:32:04.462 --> 00:32:05.382]  Number 1.
[00:32:05.382 --> 00:32:08.803]  New climate legislation could easily double or triple your electric bill.
[00:32:08.803 --> 00:32:09.663]  Number 2.
[00:32:09.663 --> 00:32:14.544]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:32:14.544 --> 00:32:15.284]  It's true.
[00:32:15.284 --> 00:32:20.165]  Total government control of electricity in the name of smart grid technology is coming.
[00:32:20.165 --> 00:32:20.985]  Number 3.
[00:32:20.985 --> 00:32:24.566]  In some areas of the country, the power grid is dangerously overloaded.
[00:32:24.566 --> 00:32:28.267]  And now, new socialist legislation is only compounding the problem.
[00:32:28.487 --> 00:32:29.287]  Number 4.
[00:32:29.287 --> 00:32:32.028]  Dangerous weather is always a threat to local grids.
[00:32:32.028 --> 00:32:35.730]  Every year, thousands of families lose their power from weather-related outages.
[00:32:35.730 --> 00:32:36.510]  Number 5.
[00:32:36.510 --> 00:32:40.652]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:32:40.652 --> 00:32:45.714]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:32:45.714 --> 00:32:49.895]  You can get more information at www.mysolarbackup.com.
[00:32:49.895 --> 00:32:51.676]  That's mysolarbackup.com.
[00:32:51.676 --> 00:32:56.278]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-866-422-9000.
[00:32:56.718 --> 00:32:57.518]  Freedom is popular.
[00:32:57.518 --> 00:32:58.439]  Freedom is a winning idea.
[00:33:25.089 --> 00:33:34.135]  Ron Paul was being attacked on a national morning show a few days ago, and he said, look, all I want to do is legalize freedom.
[00:33:34.135 --> 00:33:38.138]  And that really says it all.
[00:33:38.138 --> 00:33:43.622]  Now, I want to take you to the Drudge Report right now for PrisonPlanet.tv viewers.
[00:33:43.622 --> 00:33:45.604]  Obviously, for radio listeners, you can just go there.
[00:33:46.789 --> 00:33:48.849]  RudgeReport.com.
[00:33:48.849 --> 00:33:51.850]  And there is the good news we're gonna get more into later in the hour.
[00:33:51.850 --> 00:33:56.711]  Texas no-grope bill back on!
[00:33:56.711 --> 00:34:12.135]  And then you scroll down a bit into the article, and they are linked to Curt Nemo's report that giant marine drill confirms ground invasion plans for Libya.
[00:34:13.823 --> 00:34:20.108]  Again, huge marine drill confirms ground invasion of Libya at Infowars.com.
[00:34:20.108 --> 00:34:29.096]  It's since scrolled off the front page because it was posted last night, but you can find it on the front page of DrudgeReport.com.
[00:34:29.096 --> 00:34:35.601]  And we're going to be going over that report at the start of the next hour.
[00:34:35.601 --> 00:34:38.644]  But let me get started now with just some of the good news.
[00:34:39.565 --> 00:34:44.947]  Obviously the good news is that, as I just said, freedom, liberty, is popular.
[00:34:44.947 --> 00:35:02.935]  No matter how the system tries to demonize it, no matter how the system goes after it, no matter what labels of extremist or racist they throw at it, at the end of the day, we all instinctively know big government's corrupt, big government's bad, big mega-corporations working with government, even worse.
[00:35:02.935 --> 00:35:04.976]  We know basic liberties are under assault.
[00:35:06.465 --> 00:35:15.132]  We know that government and big corporations lie, even when the truth would serve them, because it is their criminal nature.
[00:35:15.132 --> 00:35:26.681]  And that they have gotten into the positions of power they're in, in most cases, by engaging in crony capitalism or fascism, the opposite of free market.
[00:35:26.681 --> 00:35:33.826]  And that it's big government teaming up with megacorporations, doing backroom deals to shut down
[00:35:34.787 --> 00:35:37.469]  They're competition, so that's really good news.
[00:35:37.469 --> 00:35:40.031]  Some of the other big news.
[00:35:40.031 --> 00:35:56.445]  For the last three and a half months, the New York Times, the Wall Street Journal, the Washington Post, the LA Times have beaten the drum and gone along with the 2 plus 2 equals whatever Obama says, not 4.
[00:35:57.965 --> 00:36:07.349]  And that this is a kinetic action, a peace action, and that the bombing of Libya, the ground troops in Libya, all of this is freedom.
[00:36:07.349 --> 00:36:16.113]  And that those of us that are calling it a war, and those of us pointing out that Obama said we'd be there days, not weeks, and then those of us pointing out that U.S.
[00:36:16.113 --> 00:36:25.637]  ground troops were there advising from before the uprising happened, and that we pointed out that in Egypt and Syria and now
[00:36:27.041 --> 00:36:47.200]  In Yemen and also in Libya, that it's now admitted what we said is true, that it was US, British and other NATO forces behind the scenes working with Al Qaeda to start the wars in these countries, to then destabilize the entire region.
[00:36:47.200 --> 00:36:51.344]  And a lot of people, as this news started to come out, said, well, this doesn't fit
[00:36:52.585 --> 00:37:00.881]  With the official narrative that we've got to have TSA literally crushing our genitals because Osama Bin Laden may be hiding in our underwear.
[00:37:03.340 --> 00:37:24.239]  People took a double-take, and Bilderberg Group, we learned from a few months ago at their steering committee at a Trilateral Commission meeting, got very upset that it was starting to come out in mainstream news that al-Qaeda was the core group in Egypt, in Syria, and in Libya that the West was working with.
[00:37:24.239 --> 00:37:26.201]  That destroys their official narrative.
[00:37:26.906 --> 00:37:35.528]  That we've got to take all your rights and train the Boy Scouts to spy on Mommy and Daddy, because Al-Qaeda might be hiding in, you know, Daddy's liquor cabinet.
[00:37:35.528 --> 00:37:38.048]  Or in the medicine cabinet, you know, because they train the kids.
[00:37:38.048 --> 00:37:40.789]  This is to fight Al-Qaeda, but what's Daddy smoking?
[00:37:40.789 --> 00:37:42.229]  Does Daddy drink when he drives?
[00:37:42.229 --> 00:37:44.190]  Tell us.
[00:37:44.190 --> 00:37:47.430]  Say, oh, it's Al-Qaeda, but tell me about Daddy.
[00:37:47.430 --> 00:37:49.331]  Tell me about Daddy's guns.
[00:37:49.331 --> 00:37:50.631]  This is all on record.
[00:37:50.631 --> 00:37:53.952]  They have law enforcement in the 6th and 7th grade now training
[00:37:55.564 --> 00:37:55.885]  I think?
[00:38:16.426 --> 00:38:19.849]  And ship weapons into Mexico to frame the Second Amendment.
[00:38:19.849 --> 00:38:27.156]  Generally, most of these law enforcement programs have a local deputy who's federalized under the Bureau of Alcohol, Tobacco, Firearms, and Explosives.
[00:38:27.156 --> 00:38:32.361]  And they come in and actually have the kids write essays about home life.
[00:38:32.361 --> 00:38:33.382]  Isn't that nice?
[00:38:33.382 --> 00:38:35.544]  And they file them on a computer now.
[00:38:35.544 --> 00:38:36.425]  And guess who gets that?
[00:38:36.425 --> 00:38:37.666]  The Justice Department.
[00:38:37.666 --> 00:38:39.668]  And the kids are there, hiding in plain view.
[00:38:40.849 --> 00:38:42.150]  Parents aren't even noticing.
[00:38:42.150 --> 00:38:46.733]  This is in my film Police State 2 The Takeover, now out 11 years ago.
[00:38:46.733 --> 00:38:53.918]  We have the school documents where this was going on in Tennessee and Georgia and other areas.
[00:38:53.918 --> 00:39:06.246]  Intentions expanded where they're writing reports about mommy and daddy as their essays for the law enforcement class with the ATF officer at the front and everything is safe and everything is wonderful and everything is good.
[00:39:06.246 --> 00:39:07.627]  Am I saying all the police are bad?
[00:39:07.627 --> 00:39:08.628]  No, to the contrary.
[00:39:09.372 --> 00:39:12.834]  Am I saying that everybody that works at the ATF are terrorists?
[00:39:12.834 --> 00:39:15.035]  No, but the leadership are.
[00:39:15.035 --> 00:39:17.476]  Am I saying that everybody in the military is bad?
[00:39:17.476 --> 00:39:27.061]  No, on average, the military folks are better than the general public, in my experience, is in their knowledge, the fact that they've lived in the real world, they're willing to sacrifice something, they got in for the right reasons.
[00:39:27.061 --> 00:39:29.443]  But I'm sorry, the people running it are evil!
[00:39:30.183 --> 00:39:33.244]  And have a very anti-liberty, anti-freedom agenda.
[00:39:33.244 --> 00:39:45.669]  So, that's the point I wanted to make before I get to the really good news, is that this morning, I ran over a curb at my house, not paying attention, something I've never done, and scratched my car a little bit.
[00:39:45.669 --> 00:39:48.830]  Then I was driving down the road and my window got chipped.
[00:39:48.830 --> 00:39:52.131]  It was kind of a bad luck day so far, but knock on wood, it's going to get better.
[00:39:52.131 --> 00:39:53.172]  And then I got pulled over.
[00:39:54.261 --> 00:39:56.262]  For no inspection sticker.
