[00:00:00.029 --> 00:00:02.173]  A program note for everyone out there.
[01:31:44.196 --> 01:31:44.537]  Oh, really?
[01:31:44.617 --> 01:31:46.179]  Cuba's had resource management?
[01:31:47.492 --> 01:31:52.697]  Yeah, Cuba's gone, more of any Soviet or Communist state.
[01:31:52.958 --> 01:31:56.681]  They still have money, they still have the same type of labor system the rest of the world has.
[01:31:57.102 --> 01:32:00.946]  This corruption is just, the cartels and everything is a matter of time.
[01:32:00.966 --> 01:32:03.448]  Monopoly is a matter of time in this system.
[01:32:03.488 --> 01:32:05.050]  This is age old, it's been talked about.
[01:32:05.370 --> 01:32:05.490]  Sure.
[01:32:05.510 --> 01:32:06.830]  No, it's the more extreme expression of the parasite.
[01:32:24.956 --> 01:32:26.338]  But see, it's not free market.
[01:32:26.418 --> 01:32:32.985]  It's using slave goods in select government deals to come in and displace the free market.
[01:32:33.005 --> 01:32:38.912]  And so the public became decadent and corrupt and wanted the cheap goods, so they bought into the slavery.
[01:32:39.232 --> 01:32:40.834]  So really, Walmart is slavery.
[01:32:41.915 --> 01:32:43.457]  Just like prisons are slavery.
[01:32:44.218 --> 01:32:45.539]  All labor systems are slavery.
[01:32:45.800 --> 01:32:48.962]  Just because... How many American corporations do you think are free market?
[01:32:48.982 --> 01:32:50.083]  How many of them outsource to other companies?
[01:32:50.104 --> 01:32:53.767]  They're not slavery if people get shares in it, if people get stock.
[01:32:54.067 --> 01:32:54.928]  It's through the brand name.
[01:32:54.968 --> 01:32:56.069]  It's known that it can be trusted.
[01:32:56.089 --> 01:32:56.990]  Let's play clip 2.
[01:32:57.931 --> 01:32:58.812]  This is clip 2.
[01:32:58.872 --> 01:32:59.832]  Here it is from Zeitgeist.
[01:33:00.753 --> 01:33:10.042]  And so if a man makes money selling a certain product, naturally he's going to fight the existence of another product that may threaten his institution.
[01:33:12.338 --> 01:33:14.260]  Therefore, people cannot be fair.
[01:33:15.561 --> 01:33:17.343]  And people do not trust each other.
[01:33:17.943 --> 01:33:21.186]  A guy will come over to you and say, I got just the house you're looking for.
[01:33:21.206 --> 01:33:22.287]  He's a salesman.
[01:33:22.888 --> 01:33:28.273]  When a doctor says, I think your kidney has to come out, I don't know if he's trying to pay off a yacht.
[01:33:29.193 --> 01:33:30.674]  Or that my kidney has to come out.
[01:33:31.155 --> 01:33:34.398]  It's hard in a monetary system to trust people.
[01:33:34.438 --> 01:33:35.559]  Alright, stop there for a second.
[01:33:35.819 --> 01:33:37.280]  That's human corruption.
[01:33:37.340 --> 01:33:39.983]  That is people who only care about themselves.
[01:33:40.043 --> 01:33:53.935]  It's an inner thing, and that's why, because you can't trust that, and never will be able to, you need to not be so lazy, folks, and go off references or reviews from reviewers you trust for a movie, or for a car, or for a website, or for a film.
[01:33:54.375 --> 01:34:06.460]  You know, it takes not being intellectually, individually lazy, and we've been seduced by Madison Avenue into this, but to then just say that, well, finish the clip and we'll go back and get our guest comment on it, the maker's comments.
[01:34:07.141 --> 01:34:16.785]  People, if you came into my store and I said, this lamp that I've got is pretty good, but the lamp of the next door is much better, I wouldn't be in business very long.
[01:34:17.285 --> 01:34:18.046]  It wouldn't work.
[01:34:18.506 --> 01:34:20.627]  If I were ethical, it wouldn't work.
[01:34:21.863 --> 01:34:25.885]  So when you say industry cares for people, that's not true.
[01:34:26.345 --> 01:34:28.306]  They can't afford to be ethical.
[01:34:29.387 --> 01:34:33.569]  So, your system is not designed to serve the well-being of people.
[01:34:33.889 --> 01:34:38.551]  If you still don't understand that, there would be no outsourcing of jobs.
[01:34:39.286 --> 01:34:40.467]  If they cared about people.
[01:34:40.728 --> 01:34:41.588]  Okay, let's stop there.
[01:34:41.889 --> 01:34:42.770]  We had the U.S.
[01:34:42.790 --> 01:34:55.702]  government and the Chinese government 30 years ago make a deal to selectively allow them to have select cadres of corporations make goods, sell poisonous food, do all of it, and the public was brainwashed to basically accept it.
[01:34:55.742 --> 01:34:58.765]  But take Ted Anderson who owns Minus Resources and sells gold and silver.
[01:34:59.806 --> 01:35:19.275]  He told me the other day, he said, yeah, a guy called up, this is off-air stuff, I'm not supposed to be saying it, and wanted to buy maple leaves from me, and Ted said, listen, I didn't get a very good deal on these, you really ought to just buy some silver, and I've got a guy that got some silver, and he just gave the
[01:35:20.135 --> 01:35:20.976]  We're good to go!
[01:35:49.735 --> 01:35:50.255]  You see what I'm saying?
[01:36:09.247 --> 01:36:11.649]  He is going to manipulate his environment to get what he needs.
[01:36:11.689 --> 01:36:11.789]  Nope.
[01:36:11.850 --> 01:36:20.317]  Ted almost went out of business five years ago and he still, you know, did it all the right way and came through it and did better than ever.
[01:36:20.397 --> 01:36:25.082]  And I think it's that acquiescence that we're just these, you know, these people programmed by society.
[01:36:25.282 --> 01:36:26.823]  I mean, there are good businesses.
[01:36:27.124 --> 01:36:28.004]  There are good people.
[01:36:28.044 --> 01:36:28.265]  Sure.
[01:36:28.485 --> 01:36:30.887]  But there are people you can trust.
[01:36:31.748 --> 01:36:34.751]  It's all based on manipulation and advantage and it's based on
[01:36:35.524 --> 01:36:37.868]  Humans taking advantage and chiseling off of one another.
[01:36:37.908 --> 01:36:39.009]  That's what humans do!
[01:36:39.390 --> 01:36:40.572]  Bad people do that!
[01:36:40.832 --> 01:36:42.374]  Good people have to fight them!
[01:36:42.935 --> 01:36:44.097]  That's what the system creates.
[01:36:45.499 --> 01:36:46.360]  That's what we are!
[01:36:46.460 --> 01:36:48.543]  Listen, humans made this system!
[01:36:49.184 --> 01:36:50.306]  This is what we do!
[01:36:51.249 --> 01:36:53.211]  Now, this is a product of evolution.
[01:36:53.231 --> 01:36:55.893]  It's a product of... We've freed up that market system.
[01:36:55.913 --> 01:36:59.155]  It had its corruptions at the very beginning, and it worked for a certain degree.
[01:36:59.235 --> 01:37:00.436]  Now it's time to move forward.
[01:37:00.516 --> 01:37:01.177]  Well, let me ask you this.
[01:37:01.197 --> 01:37:02.578]  Let me ask you this.
[01:37:02.598 --> 01:37:04.299]  We need to work on resource management.
[01:37:04.559 --> 01:37:07.982]  Work with the resources, not the middle elements of money and labor.
[01:37:08.302 --> 01:37:11.324]  I agree with you on that, but before we run out of time, here's an example.
[01:37:11.364 --> 01:37:13.886]  You know we only see a limited part of the light spectrum.
[01:37:14.446 --> 01:37:16.487]  The science has shown all these other dimensions.
[01:37:16.808 --> 01:37:18.269]  Who knows what lives on other planets?
[01:37:18.629 --> 01:37:21.151]  I mean, the point is we have very limited views.
[01:37:22.051 --> 01:37:25.834]  What we know today would be total magic a hundred years ago or a thousand years ago.
[01:37:26.174 --> 01:37:36.661]  I mean, how can you just say... I mean, certainly religions build a box around it and create priests and get power from it, but I mean, you know, other experiences, you know, the mind within, the soul.
[01:37:37.021 --> 01:37:38.182]  You don't believe we have a soul.
[01:37:39.843 --> 01:37:40.664]  How do you know there isn't more?
[01:37:40.684 --> 01:37:41.265]  I can't disprove that.
[01:37:55.350 --> 01:37:59.052]  I can't disprove it, however, I hold it as extremely improbable.
[01:37:59.112 --> 01:38:15.018]  I'm saying it's a human idea that is central to who we are, and that religion, alchemy, is what developed the sciences, and it's humans knowing there's more, humans pushing the envelope, reaching out into other dimensions.
[01:38:16.548 --> 01:38:19.350]  And then it manifests through ridiculous boo-boo trees.
[01:38:21.652 --> 01:38:26.175]  But I mean, just to disdainfully... I mean, there's all sorts of good things that come out of religion.
[01:38:26.375 --> 01:38:33.861]  You know, slavery, you could argue, transatlantic, was started by people misinterpreting the Bible, but then it was people interpreting the Bible who then got slavery banned.
[01:38:35.762 --> 01:38:36.483]  Yes, so what?
[01:38:36.523 --> 01:38:38.224]  I'm talking about religion as an institution.
[01:38:38.304 --> 01:38:39.965]  This is an arbitrary institution.
[01:38:40.025 --> 01:38:43.708]  It's pushed upon you, I guarantee you, that your million dollars, your parents were Christian.
[01:38:44.093 --> 01:38:46.255]  You know, this is an environmental distinction.
[01:38:46.295 --> 01:38:50.140]  If you were born, again, you say religion is Christ and everything is very important to you, well, guess what?
[01:38:50.420 --> 01:38:54.805]  You're born in the Middle East, you have a totally different value system, probably have no relationship to Christ.
[01:38:55.185 --> 01:38:57.508]  The Middle East is about 25% Christian, actually.
[01:38:57.648 --> 01:38:58.829]  Well, you know what I'm saying.
[01:38:58.869 --> 01:39:02.033]  If you were born in an Arabic family, dominant religion of the area.
[01:39:02.453 --> 01:39:04.035]  This is the reality.
[01:39:04.215 --> 01:39:14.764]  But let me say this, that's actually, in a way, it's a healthy firewall, because there's new ideas, which are normally old as well, nothing going to the sun, repackaged, which are damaging to the family.
[01:39:15.024 --> 01:39:22.171]  I think the Arabs saying, we hate your television and your corruptness and your destruction, and obviously they suppress women in their own way, and men as well.
[01:39:22.551 --> 01:39:24.912]  But, you know, we don't want to turn our girls into little whores.
[01:39:25.212 --> 01:39:26.592]  We don't want to use your drugs.
[01:39:26.832 --> 01:39:29.073]  We see your TV and we call that the great Satan.
[01:39:29.393 --> 01:39:33.894]  I mean, in a way, that has allowed them to keep themselves from being dominated by the West.
[01:39:34.154 --> 01:39:38.355]  These cultural things we have also have a defensive measure.
[01:39:38.395 --> 01:39:39.995]  I'm not saying it's overall positive.
[01:39:40.235 --> 01:39:41.556]  I'm saying it has that element.
[01:39:41.756 --> 01:39:43.116]  It's there in development.
[01:39:43.965 --> 01:39:44.705]  I totally agree.
[01:39:45.066 --> 01:39:49.088]  I happen to personally believe in many of the things that the Christ character has stated.
[01:39:49.408 --> 01:39:49.888]  But you know what?
[01:39:49.908 --> 01:39:52.550]  I mean, what kind of competition did Christ have?
[01:39:52.710 --> 01:39:54.771]  Do you think Christ had guns if he had the option?
[01:39:57.208 --> 01:39:58.410]  Yeah, exactly.
[01:39:58.470 --> 01:40:01.393]  But still, you know, if you really look at his teaching, this is a hybrid character.
[01:40:01.413 --> 01:40:04.717]  There's numerous nuances that are going on here that are in dichotomy.
[01:40:04.797 --> 01:40:09.482]  Are you saying he didn't even exist, even though the Roman historians and the Jewish historians?
[01:40:10.103 --> 01:40:15.009]  There are many more Roman historians that have no record of him than there are that say he actually existed.
[01:40:15.049 --> 01:40:15.710]  There's maybe four.
[01:40:16.090 --> 01:40:17.471]  Well, you did change some stuff in your first edition.
[01:40:17.511 --> 01:40:18.752]  You did get a few of those gods and things wrong.
[01:40:18.772 --> 01:40:19.432]  You're not infallible either.
[01:40:28.382 --> 01:40:28.842]  Of course not.
[01:40:29.122 --> 01:40:29.783]  I never said I was.
[01:40:30.243 --> 01:40:35.586]  I do my research as best as I can, and I present what I learn, and this is how we grow as a society.
[01:40:35.906 --> 01:40:38.407]  And religion itself rejects this type of education.
[01:40:38.427 --> 01:40:39.048]  Well, here's the deal.
[01:40:39.088 --> 01:40:46.652]  Christians see this New World Order system attacking their religion, and let me tell you, whether you believe it or not, the New World Order, by and large, are Satanists.
[01:40:46.712 --> 01:40:51.414]  I mean, they worship death and destruction and me, me, me, me, me, which is the Madison Avenue God.
[01:40:51.434 --> 01:40:53.756]  I mean, certainly, you're not ignorant.
[01:40:53.796 --> 01:40:56.017]  You know that there is an occult empire.
[01:40:56.593 --> 01:41:00.880]  I'm well aware of it, but I don't recognize it with any type of interest because it's no different than anything else.
[01:41:01.200 --> 01:41:03.143]  Of course you're going to have these divisionary aspects.
[01:41:03.163 --> 01:41:04.345]  I know about the bohemian grove.
[01:41:04.365 --> 01:41:05.466]  I'm very familiar with all of this.
[01:41:05.546 --> 01:41:07.970]  I know about the occult orders that existed for a long time.
[01:41:07.990 --> 01:41:12.497]  They're just a bunch of little clubs jockeying for their own ideological and personal power.
[01:41:13.055 --> 01:41:16.258]  It's an age-old type of thing, but they are all a product of their conditioning.
[01:41:16.278 --> 01:41:29.727]  I'm going to keep reiterating this, and I want everybody out there to go to TheVenusProject.com, to go to TheZeitgeistMovement.com, and to think about these ideas, and to realize that of all the things we've talked about, Alex and I, the most important is to realize why people behave the way they do.
[01:41:29.988 --> 01:41:33.510]  And I argue that it is not genetics, it is behaviorism based on conditioning.
[01:41:33.911 --> 01:41:36.092]  And that is the most important element.
[01:41:36.172 --> 01:41:38.194]  Well, I think that's definitely half of it.
[01:41:38.454 --> 01:41:40.235]  We're going to take a break here.
[01:41:40.636 --> 01:41:42.277]  Let's go ahead and start playing clip number three.
[01:41:43.786 --> 01:41:50.533]  War, poverty, corruption, hunger, misery, human suffering will not change in a monetary system.
[01:41:50.613 --> 01:41:53.796]  That is, there'll be very little significant change.
[01:41:54.317 --> 01:42:00.443]  It's going to take the redesign of our culture, our values, and it has to be related.
[01:42:00.947 --> 01:42:06.111]  To the carrying capacity of the Earth, not some human opinion or some politics.
[01:42:06.151 --> 01:42:07.452]  Stop there, we'll play the rest after the break.
[01:42:07.612 --> 01:42:08.393]  Let me ask you this question.
[01:42:09.294 --> 01:42:12.917]  Who does the redesign and who decides the carrying capacity of the Earth?
[01:42:13.057 --> 01:42:18.021]  Because the New World Order is going to use a false environmental carrying capacity to tax breathing everything.
[01:42:18.721 --> 01:42:20.123]  I mean, you're talking hardcore tyranny.
[01:42:20.993 --> 01:42:22.755]  Well, I'm not interested in the New World Order.
[01:42:22.935 --> 01:42:25.257]  They have no position in this type of structure.
[01:42:25.297 --> 01:42:27.398]  You can always say there's going to be people who try to mess things up.
[01:42:27.679 --> 01:42:30.621]  As I said before, the carrying capacity of the Earth is just that.
[01:42:31.021 --> 01:42:32.142]  The carrying capacity of the Earth.
[01:42:32.202 --> 01:42:32.563]  Oh, really?
[01:42:32.603 --> 01:42:33.484]  How do you assess that?
[01:42:33.804 --> 01:42:34.504]  How do you assess that?
[01:42:34.524 --> 01:42:36.386]  If you look at the gauge, you look at everything that the planet has.
[01:42:36.426 --> 01:42:39.709]  You look at the systems that are in operation, just like you would a plot of land to figure out what's capable.
[01:42:39.869 --> 01:42:41.150]  Do you believe in global warming?
[01:42:41.170 --> 01:42:43.032]  Do you believe global warming is man-made and bad?
[01:42:43.752 --> 01:42:45.333]  I have no opinion on global warming.
[01:42:45.373 --> 01:42:47.494]  I've never seen evidence definitively on any of this stuff.
[01:42:47.514 --> 01:42:48.174]  It's total crap.
[01:42:48.794 --> 01:42:50.575]  They use it for their own advantage.
[01:42:50.595 --> 01:42:51.535]  I don't appreciate that.
[01:42:51.575 --> 01:42:54.797]  The UN, it's a big joke with these guys.
[01:42:54.817 --> 01:42:56.517]  That's irrelevant to this conversation.
[01:42:56.537 --> 01:42:59.158]  What I'm talking about is the system... We're skipping this break.
[01:42:59.198 --> 01:42:59.859]  Stay there.
[01:42:59.879 --> 01:43:00.199]  Start over.
[01:43:00.219 --> 01:43:01.619]  Go ahead.
[01:43:01.639 --> 01:43:02.400]  We're now just on the web.
[01:43:02.420 --> 01:43:02.680]  Go ahead.
[01:43:04.155 --> 01:43:14.258]  The parameters of the system are self-evident, and this is something that people have to learn about through Jacques' research to understand what he's talking about, because it's extremely foreign to what most people tend to understand and be conditioned to believe.
[01:43:14.738 --> 01:43:22.280]  We have the ability to harness a structure that is universal and nearly universal based on our understanding, and everything else will culminate because of this.
[01:43:22.360 --> 01:43:31.703]  We live in such a distorted society that these opinions and these biases and these religions and these ideologies are so pervasive that no one has any idea what to believe.
[01:43:32.165 --> 01:43:37.187]  The fact is, you break it all down, we need food, we need air, we need water, we need the resources of the planet.
[01:43:37.467 --> 01:43:41.568]  Simultaneously, we need to realize that technology is our savior and always has been.
[01:43:41.888 --> 01:43:44.229]  We just don't give it that name, we don't recognize it as such.
[01:43:44.549 --> 01:43:49.010]  As Carl Sagan used to say, we love the gifts of technology, but we reject its methods.
[01:43:49.371 --> 01:43:59.954]  And it's time we utilize the methods and have a world based on what we understand, not superstitions and projections and age-old traditions that are no longer needed or outmoded and irrelevant.
[01:44:00.294 --> 01:44:06.482]  The decision-making process, again, I can't go into the exact details because it's a bottom-up capacity type thing.
[01:44:06.862 --> 01:44:11.869]  You relate to it, you build upon it, the conditions become self-evident, and that's what you need to understand.
[01:44:11.909 --> 01:44:18.557]  If you've ever researched the scientific method, you'll see that when you build something, all the conditions become apparent as you work.
[01:44:19.051 --> 01:44:20.372]  And this is the most important point.
[01:44:20.472 --> 01:44:24.954]  It's an empirical understanding based on the natural carrying capacity of the Earth.
[01:44:25.114 --> 01:44:27.174]  Yeah, it's just humans want to differentiate.
[01:44:27.235 --> 01:44:29.856]  Humans want to be individual.
[01:44:30.656 --> 01:44:33.257]  And that's not an evil thing.
[01:44:33.317 --> 01:44:34.718]  Well, I mean, can you imagine?
[01:44:36.909 --> 01:44:51.016]  Saying that you're going to build this world when humans do the same thing over and over again instead of acknowledging that we do have faults and do have problems and trying to teach people to stand up for themselves and go after corrupt systems.
[01:44:51.356 --> 01:44:57.199]  I'm just trying to have us survive and do that first and then I always hear the establishment talking about
[01:44:58.159 --> 01:44:59.561]  You know, pie in the sky.
[01:44:59.601 --> 01:45:06.827]  I mean, so much of what you said we heard from the New World Order engineers, and they've built a top-down scientific society.
[01:45:06.867 --> 01:45:08.348]  They've used the scientific method.
[01:45:08.629 --> 01:45:13.613]  You and your guest in the film, your presenters, I mean, they keep saying over and over again, the elite know nothing.
[01:45:13.873 --> 01:45:15.034]  They understand nothing.
[01:45:15.094 --> 01:45:16.496]  They don't see it.
[01:45:17.096 --> 01:45:23.582]  There's a bunch of clips where, are you saying in the film it's not said that these politicians can't have solutions because they don't understand the system?
[01:45:25.123 --> 01:45:27.424]  We're speaking about politicians themselves.
[01:45:27.845 --> 01:45:30.506]  The elite, look, they call it a scientific dictatorship.
[01:45:30.526 --> 01:45:36.970]  They say we're cold-bloodedly, scientifically, setting up a hyper-dominant system over the population of the planet.
[01:45:37.730 --> 01:45:49.257]  I mean, they are saying that they are, I know, I'm saying that your information is going to go out and it's going to be latched onto, this happens to me as well, I'm just saying, and then spun off into a horrid hybrid.
[01:45:50.447 --> 01:45:58.212]  No, well, this is one of those things that you have to defend against to a certain extent when you're dealing with misinformation and ideologies that are misinterpreted.
[01:45:58.892 --> 01:46:01.274]  You know, to talk about this is really futile.
[01:46:01.314 --> 01:46:05.616]  It's good to recognize it, but this system has a universal implication.
[01:46:05.896 --> 01:46:07.057]  It's a natural progression.
[01:46:07.077 --> 01:46:08.938]  Final, final segment.
[01:46:08.958 --> 01:46:09.378]  Here we go.
[01:46:09.458 --> 01:46:10.039]  Final segment.
[01:46:12.972 --> 01:46:27.900]  You're saying it's a natural progression for this system to fall apart, to destroy, then to be rebuilt, and then you're saying the system you're talking about, are you saying that's a natural progression to move into this resource-based system?
[01:46:28.561 --> 01:46:36.185]  Yes, absolutely, because we've finally realized with our technological understanding that resources can be utilized in a way that does not require scarcity.
[01:46:36.245 --> 01:46:37.946]  We can have a world of abundance
[01:46:38.408 --> 01:46:39.769]  I mean, in abundance.
[01:46:39.829 --> 01:46:44.912]  I don't have time to break it down right now, obviously, but you have to realize the multiplicity of the things... No, I understand it.
[01:46:44.952 --> 01:46:55.678]  The New World Order knows we can have that, and they're setting up a world, they say it, they're setting up a world tyranny to block us from developing that.
[01:46:56.638 --> 01:46:58.679]  I'm not talking about fighting the New World Order.
[01:46:58.739 --> 01:47:04.700]  I'm talking about true... Are you saying that they don't know because over and over again in the film it's said that they don't understand, they don't know.
[01:47:04.720 --> 01:47:16.363]  No, they do know that this is possible and their New World Order will take on many of the things you're saying but only to get their dominance in to block things that empower the individual in the community.
[01:47:16.963 --> 01:47:19.325]  We're fine, but nevertheless, their tool is money.
[01:47:19.645 --> 01:47:22.047]  If you want to see the New World Order stop, you've got to get rid of money.
[01:47:22.427 --> 01:47:24.389]  They're not going to have anything else at that point.
[01:47:24.409 --> 01:47:31.053]  They're such a small elite, they can't even compare to the power of a group identification with the new social system.
[01:47:31.274 --> 01:47:31.934]  They have nothing.
[01:47:32.154 --> 01:47:34.496]  The next thing that we have to go after are the military and the police.
[01:47:34.616 --> 01:47:37.598]  Get them converted, because without them, the New World Order can't do anything.
[01:47:37.618 --> 01:47:38.519]  Have you seen the H.G.
[01:47:38.559 --> 01:47:39.219]  Wells film?
[01:47:39.319 --> 01:47:39.980]  Have you seen the H.G.
[01:47:40.020 --> 01:47:41.121]  Wells film, Things to Come?
[01:47:42.463 --> 01:47:43.324]  Uh, not many years.
[01:47:43.904 --> 01:47:45.325]  Well, I mean, it's a lot of what you're saying.
[01:47:45.365 --> 01:47:46.506]  Let's go ahead and play a clip from that.
[01:47:46.526 --> 01:47:50.349]  Well, big sigh there, don't it?
[01:47:50.369 --> 01:47:51.149]  Let's play that H.G.
[01:47:51.169 --> 01:47:51.670]  Wells clip.
[01:47:51.690 --> 01:47:52.390]  Things to come, John.
[01:47:52.410 --> 01:47:53.651]  Do you have it?
[01:47:53.951 --> 01:47:57.954]  Who are all of the left of the old engineers and mechanics have pledged ourselves to salvage the world.
[01:47:58.455 --> 01:47:59.916]  We have the airways, all that's left of them.
[01:48:00.136 --> 01:48:00.897]  We have the seas.
[01:48:01.537 --> 01:48:02.778]  And we have ideas in common.
[01:48:03.498 --> 01:48:04.719]  The brotherhood of efficiency.
[01:48:05.100 --> 01:48:06.361]  The freemasonry of science.
[01:48:06.821 --> 01:48:09.363]  This is how I conceive our plan of operations.
[01:48:09.883 --> 01:48:11.064]  First, the roundup of brigands.
[01:48:11.793 --> 01:48:14.914]  At last, dismal vestige of ancient predatory soldiers.
[01:48:15.814 --> 01:48:17.515]  The last would-be conquerors.
[01:48:18.395 --> 01:48:19.015]  Then settle.
[01:48:20.135 --> 01:48:20.555]  Organize.
[01:48:21.036 --> 01:48:21.456]  Advance.
[01:48:22.216 --> 01:48:23.316]  This zone, then that.
[01:48:24.056 --> 01:48:26.237]  And at last, wings over the world.
[01:48:27.377 --> 01:48:28.418]  And a new world begins.
[01:48:28.438 --> 01:48:30.338]  And then the film goes on.
[01:48:30.378 --> 01:48:32.339]  They go and round up all the evil capitalists.
[01:48:32.739 --> 01:48:34.159]  But you're saying that's not what you're saying.
[01:48:34.639 --> 01:48:36.020]  Well, obviously not, Alex.
[01:48:37.369 --> 01:48:44.774]  That has no relevance to anything that I've said, and if you look at the research that we've done, that the Venus Project is about, there's no relevance to that whatsoever.
[01:48:44.794 --> 01:48:47.416]  There's absolutely no opposition to anything.
[01:48:47.756 --> 01:48:51.959]  There is a train of thought that is given in education to people, and they can take it or leave it.
[01:48:52.200 --> 01:48:58.284]  And I'm of the mind, I think, once people recognize this direction, the New World Order, the elitists, the globalists, will not only not have a chance,
[01:48:58.823 --> 01:49:05.566]  They will falter and join, and they won't do so because of their own, you know, their own need to try to corrupt the system.
[01:49:05.907 --> 01:49:06.807]  People are people.
[01:49:06.887 --> 01:49:12.450]  People are parts of conditioning, and they want to see themselves live in a capacity which is beneficial to them at their very core.
[01:49:12.810 --> 01:49:14.731]  If they've been conditioned to pure corruption,
[01:49:17.372 --> 01:49:18.212]  Well, I agree to that.
[01:49:18.232 --> 01:49:23.514]  I mean, I agree with you to a great extent with what you're saying about that, and that if we build it, they will come.
[01:49:23.995 --> 01:49:27.556]  You know, that if people see an alternative throughout the system, they will join it.
[01:49:27.856 --> 01:49:32.558]  I'm just saying, you're going to find human nature, whatever its cause is, always there.
[01:49:32.678 --> 01:49:37.340]  And anybody that tries to override that, that would just create a new tyranny to try to stop it.
[01:49:37.360 --> 01:49:39.941]  But overall, I think what you're doing gets people thinking,
[01:49:40.621 --> 01:49:45.604]  And that's an important thing, so Peter Joseph, fire out your websites again.
[01:49:46.764 --> 01:49:51.466]  There's zeitgeistmovie.com, that's the central site for Zeitgeist Project.
[01:49:51.506 --> 01:49:57.369]  There's the zeitgeistmovement.com, which we have about 30,000 people joining in about four days, which has been very productive.
[01:49:57.389 --> 01:49:59.710]  And you're going to have the Z Movement too, Z Day.
[01:50:00.191 --> 01:50:00.751]  Absolutely.
[01:50:01.011 --> 01:50:02.252]  And then there's the Venus Project.
[01:50:02.272 --> 01:50:03.332]  The Z Force is here!
[01:50:05.353 --> 01:50:06.533]  We are here to save you.
[01:50:06.553 --> 01:50:07.274]  We are here.
[01:50:07.734 --> 01:50:09.194]  We are here to free you.
[01:50:09.214 --> 01:50:10.715]  We are here to re-educate you.
[01:50:12.115 --> 01:50:13.076]  We'll see what happens with it.
[01:50:13.316 --> 01:50:15.116]  Hey, I know you mean well and you're a great guy.
[01:50:15.356 --> 01:50:17.097]  We appreciate you coming on, Peter.
[01:50:17.357 --> 01:50:19.598]  Please don't come get me on Z-Day.
[01:50:19.998 --> 01:50:20.338]  Please!
[01:50:20.638 --> 01:50:21.118]  Please, no!
[01:50:21.338 --> 01:50:21.738]  Not that!
[01:50:21.938 --> 01:50:22.699]  Not re-education!
[01:50:22.879 --> 01:50:23.219]  Not that!
[01:50:23.259 --> 01:50:23.479]  No!
[01:50:23.699 --> 01:50:24.479]  Hey, take care, bro.
[01:50:24.939 --> 01:50:25.280]  Alright, man.
[01:50:25.300 --> 01:50:25.540]  Take care.
[01:50:25.660 --> 01:50:26.120]  We'll see ya.
[01:50:27.040 --> 01:50:28.262]  They will be re-educated.
[01:50:28.282 --> 01:50:30.866]  Folks, see Endgame Blueprint for Global Enslavement.
[01:50:30.886 --> 01:50:32.629]  There already is a scientific system.
[01:50:32.830 --> 01:50:33.891]  It's a scientific dictatorship.
[01:50:34.092 --> 01:50:35.634]  Retransmission starts right now.
[01:50:36.215 --> 01:50:39.560]  OnePlaceInfoWars.com with power-packed info.
[01:50:39.861 --> 01:50:40.301]  Take care.
