[00:00:13.493 --> 00:00:15.434]  It is already the second day of July 2008.
[01:43:36.062 --> 01:43:42.104]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[01:43:42.794 --> 01:43:43.555]  Don't be a victim.
[01:43:43.995 --> 01:43:44.656]  Be a victor.
[01:43:45.256 --> 01:43:45.957]  Stock up now.
[01:43:46.337 --> 01:43:47.518]  T-B-O-T-E-C-H dot com.
[01:43:47.959 --> 01:43:50.041]  That's T-B-O-T-E-C-H dot com.
[01:43:56.790 --> 01:44:07.515]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[01:44:08.156 --> 01:44:14.259]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[01:44:14.899 --> 01:44:15.680]  Don't be a victim.
[01:44:16.120 --> 01:44:16.780]  Be a victor.
[01:44:17.380 --> 01:44:18.061]  Stock up now.
[01:44:18.441 --> 01:44:19.642]  Tebowtech.com.
[01:44:20.082 --> 01:44:22.163]  That's T-B-O-T-E-C-H dot com.
[01:44:24.634 --> 01:44:27.176]  Terror Storm, a history of government-sponsored terror.
[01:44:27.496 --> 01:44:28.777]  Loose Change Final Cut.
[01:44:29.057 --> 01:44:31.058]  Endgame, blueprint for global enslavement.
[01:44:31.219 --> 01:44:32.940]  The true story of the Bilderberg Group.
[01:44:33.120 --> 01:44:34.361]  The late, great USA.
[01:44:34.601 --> 01:44:36.022]  America, freedom to fascism.
[01:44:36.362 --> 01:44:43.187]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:44:43.387 --> 01:44:47.329]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:44:47.470 --> 01:44:50.872]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:44:51.252 --> 01:44:53.815]  Or you would like a book on the history of the Federal Reserve.
[01:44:54.015 --> 01:44:56.837]  We've got the most well-researched and documented titles.
[01:44:57.097 --> 01:44:59.179]  All available at PrisonPlanet.com.
[01:44:59.460 --> 01:45:04.084]  Or if you'd like, you can give the info or store a call at 888-253-3139.
[01:45:04.164 --> 01:45:10.109]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[01:45:11.170 --> 01:45:21.424]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[01:45:21.765 --> 01:45:23.247]  Join the info war today!
[01:45:24.025 --> 01:45:29.689]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[01:45:29.969 --> 01:45:34.753]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[01:45:35.013 --> 01:45:39.976]  Plasma pH Drops combine a unique formula of the most alkaline minerals and elements.
[01:45:40.176 --> 01:45:43.639]  This product is a one-of-a-kind in its strength and effectiveness.
[01:45:44.119 --> 01:45:52.305]  Using Plasma pH Drops is one of the best ways to make your water alkaline while helping you get rid of acid and regaining your health and energy.
[01:45:52.625 --> 01:45:53.626]  With just 10 drops,
[01:46:05.984 --> 01:46:10.827]  We've got George Martin with the Giants from 75 to 88.
[01:46:13.068 --> 01:46:13.868]  Defensive end.
[01:46:16.510 --> 01:46:18.391]  And he's done a good thing.
[01:46:18.431 --> 01:46:20.072]  He's walked all the way across the country.
[01:46:20.752 --> 01:46:21.293]  Raised an alpha.
[01:46:22.313 --> 01:46:25.755]  As a country boy, as I said, I've always had this inherent desire to do so.
[01:46:25.775 --> 01:46:28.496]  But if I ever did it, I wanted to have a cause associated with it.
[01:46:28.556 --> 01:46:31.097]  And it took me and my friends a very short time to come up with
[01:46:48.007 --> 01:46:51.249]  Uh, we think was the most appropriate cause, and that's the journey for 9-11.
[01:46:51.309 --> 01:47:01.814]  And, uh, we are just so delighted to have served as ambassadors for this wonderful cause, and my dad always told me, he said, son, make sure that you leave this world a little bit better than you found it.
[01:47:02.114 --> 01:47:05.576]  And I hope that through those, uh, 3,000 miles, I've attempted to do so.
[01:47:07.113 --> 01:47:15.078]  Well, I think you've done that, and again, thank you for raising the money, getting a medical care, and drawing attention to the huge cover-up of what's happened that is unraveling.
[01:47:15.659 --> 01:47:17.020]  Thanks to people like you, George Martin.
[01:47:17.040 --> 01:47:18.881]  George, thank you, and have a great weekend.
[01:47:19.733 --> 01:47:20.313]  It's my pleasure.
[01:47:20.353 --> 01:47:22.154]  Have a great Fourth of July celebration yourself.
[01:47:22.214 --> 01:47:22.535]  You bet.
[01:47:22.555 --> 01:47:23.015]  Take care.
[01:47:23.035 --> 01:47:27.958]  Yeah, we're going to have a long weekend coming up, but Jason Burmess wants to sit in Thursday.
[01:47:28.538 --> 01:47:30.459]  Tomorrow, Ron Paul is on the show.
[01:47:31.439 --> 01:47:40.004]  Ron Paul, Congressman, talking about the war, what will happen to energy prices if we are engaged in a conflict with Iran.
[01:47:40.364 --> 01:47:43.366]  We have a surprise guest who's joining us for an hour and a half.
[01:47:43.846 --> 01:47:44.647]  That's not Ron Paul.
[01:47:45.680 --> 01:47:48.805]  Big guest after big guest after big guest tomorrow.
[01:47:49.707 --> 01:47:54.414]  Truth Rising comes out in 24 hours and I'll just let my listeners know.
[01:47:55.716 --> 01:47:57.579]  It'll be out Thursday night.
[01:47:58.404 --> 01:48:06.446]  You know, we said officially that it comes out July 4th, but in case there's ever a server snafu, we got two CDNs and a bunch of backup servers.
[01:48:07.146 --> 01:48:11.647]  I like to start it a little early, knowing that only a fraction of our audience is tuned in at any one time.
[01:48:12.047 --> 01:48:22.590]  So for the few of you listening now, compared to the huge millions that tune in every week, tomorrow afternoon, I'll just say that, start looking for it to be up in a bunch of different formats at PrisonPlanet.tv.
[01:48:24.907 --> 01:48:29.596]  And again, I want you to make copies of the film, digital copies, DVD copies.
[01:48:29.696 --> 01:48:31.359]  Order the DVD at Infowars.com.
[01:48:32.915 --> 01:48:36.257]  Today, it'll be shipping out Saturday and Monday to you.
[01:48:36.597 --> 01:48:42.660]  So, for all intents and purposes, it's no longer pre-ordering at InfoWars.com or get your PrisonPlanet.tv membership.
[01:48:43.000 --> 01:48:44.621]  See all of my other 18 films.
[01:48:44.661 --> 01:48:47.362]  This will be my 19th film.
[01:48:47.502 --> 01:48:48.763]  See my weekly TV reports.
[01:48:48.863 --> 01:48:53.545]  These live streams we do, like we're doing now, are also posted for all the members every day.
[01:48:53.965 --> 01:48:56.306]  And they cut them up and do a lot of stuff with them and put them all over the web.
[01:48:56.346 --> 01:48:57.487]  We appreciate folks doing that.
[01:48:58.820 --> 01:49:03.223]  Because the goal is to get the word out, but your financial support is also needed.
[01:49:03.623 --> 01:49:05.925]  So again, get Truth Rising, get Endgame.
[01:49:06.225 --> 01:49:11.348]  We have a discount of a Tex Marsh new book, the sequel to Codex Magicka, and I think it's even better, folks.
[01:49:11.388 --> 01:49:13.790]  His new book is just unbelievable.
[01:49:13.830 --> 01:49:14.450]  Go check it out.
[01:49:14.550 --> 01:49:15.951]  It's on InfoWars.com.
[01:49:17.572 --> 01:49:20.374]  You can also call toll-free to get the
[01:49:22.631 --> 01:49:24.093]  New film, Truth Rising, 888-253-3139, 888-253-3139.
[01:49:24.113 --> 01:49:29.059]  And the retransmission starts now at InfoWars.com for any of the big guests and important information that we had on today.
[01:49:38.570 --> 01:49:45.432]  The show's over, but in the satellite it's over until tonight, 9 to midnight, where it's all rebroadcast on shortwave satellite, the AM and FM dial.
[01:49:46.352 --> 01:49:52.014]  But you'll be able to tune into the restream at InfoWars.com if you missed any of the first few hours.
[01:49:52.434 --> 01:49:55.074]  In closing, Interfood made this hour possible.
[01:49:55.535 --> 01:49:57.635]  Interfood is the best green food I've found anywhere.
[01:49:57.995 --> 01:50:00.416]  Link through at InfoWars.com off that banner.
[01:50:00.876 --> 01:50:05.078]  And you get 10% off on Interfood and their whole line of products.
[01:50:05.338 --> 01:50:11.042]  Dulse Kelp, Barleygrass, Wheatgrass, Chlorella, Spirulina, and 14 other superfoods.
[01:50:11.482 --> 01:50:17.945]  Unpasteurized to get full absorption of the vitamins and nutrients and minerals you need and trace elements.
[01:50:17.965 --> 01:50:18.005]  866-762-9238.
[01:50:21.388 --> 01:50:22.509]  Is the phone number.
[01:50:22.549 --> 01:50:25.192]  Get 10% off when you call it.
[01:50:25.212 --> 01:50:29.197]  866-762-9238 or interfood.com.
[01:50:29.458 --> 01:50:30.399]  God bless you all.
[01:50:30.519 --> 01:50:31.640]  Retransmission starts now.
[01:50:31.660 --> 01:50:34.564]  Thank you for listening to GCN.
