[00:00:00.289 --> 00:00:05.652]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[01:47:37.995 --> 01:47:40.237]  Look, I want to go to Paula Cat and everybody else that's holding me.
[01:47:40.237 --> 01:47:44.339]  You're calling in about the police state I covered in the first 45 minutes, 40 minutes.
[01:47:44.339 --> 01:47:46.601]  Tomorrow I'll be covering that on the weekday show in detail.
[01:47:46.601 --> 01:47:50.943]  Yes, Obama's announcing national compulsory service and domestic spy squads.
[01:47:50.943 --> 01:47:54.746]  Yes, he's freaking all the liberals out who thought it was Bush that wanted to use the military.
[01:47:54.746 --> 01:47:56.267]  They all work for the same people.
[01:47:56.267 --> 01:48:03.531]  Now he's announcing, yes, military will be on the streets of America to fight all crime and for social and environmental issues.
[01:48:03.531 --> 01:48:05.193]  They've stated it.
[01:48:05.193 --> 01:48:07.294]  But it isn't real environmental issues, it's taxing
[01:48:08.562 --> 01:48:14.228]  The people and not stopping the true environmental problems like GMO.
[01:48:14.228 --> 01:48:16.531]  So it's all very, very nuanced subject.
[01:48:16.531 --> 01:48:19.994]  But I do want to take Tom and I think Georgia for the guest.
[01:48:19.994 --> 01:48:21.936]  So we're going to get to you guys here in just a moment.
[01:48:21.936 --> 01:48:24.199]  Jeffrey, when you get back in three months, please contact me.
[01:48:24.199 --> 01:48:25.840]  I want to have you on first.
[01:48:25.840 --> 01:48:26.621]  And I apologize.
[01:48:26.621 --> 01:48:28.083]  I ended up rescheduling you Friday.
[01:48:28.083 --> 01:48:29.544]  That was my fault, not my producers.
[01:48:30.145 --> 01:48:30.565]  No problem.
[01:48:30.565 --> 01:48:32.047]  But it's great to have you here.
[01:48:32.047 --> 01:48:38.013]  Just briefly, one of your films, films you're involved in, I'm not carrying yet, is The Truth About Monsanto.
[01:48:38.013 --> 01:48:39.214]  Tell folks about that briefly.
[01:48:39.214 --> 01:48:39.554]  Right.
[01:48:39.554 --> 01:48:41.156]  The World According to Monsanto.
[01:48:41.156 --> 01:48:49.364]  If you go to MonsantoFilm.com, it's an amazing film by award-winning film producer from France, Marie-Monique Robin.
[01:48:49.364 --> 01:48:52.868]  And she traveled all over the world and found the
[01:48:53.468 --> 01:49:09.282]  The absolute disgusting and despicable and really evil hand that's been behind Monsanto giving us PCB poison and DDT poison and Agent Orange poison and now the poison associated with genetically engineered foods.
[01:49:09.282 --> 01:49:16.028]  And it shows clearly the damages that it's happening around the world and also the cover-up and the arrogance.
[01:49:16.647 --> 01:49:19.147]  It just, it's an incredible film.
[01:49:19.147 --> 01:49:23.608]  That brings me to my last question before we take a few calls here.
[01:49:23.608 --> 01:49:33.190]  And that is, if you get lead or you get mercury or you get arsenic, it poisons you, it hurts you, it affects DNA a little bit, but not that much.
[01:49:33.190 --> 01:49:43.752]  But when you change the DNA of the planet, when you vandalize the DNA of the planet, as you've said, in an irrevocable fashion already, and they're now accelerating it, we've got a big problem.
[01:49:44.632 --> 01:49:49.656]  Uh, and so that's the issue here, is that this is irrevocable.
[01:49:49.656 --> 01:49:56.460]  I mean, when you talk about half the mice being sterile, or 90% of them dying, or 50% dying, depending on the study.
[01:49:56.460 --> 01:50:01.344]  I mean, this is confirmed, and we're eating this, and we see diabetes and cancer and everything.
[01:50:01.784 --> 01:50:05.866]  Exploding off the charts and sterilization and infertility exploding.
[01:50:05.866 --> 01:50:06.286]  It's clear.
[01:50:06.286 --> 01:50:09.287]  So briefly speak to that and then briefly solutions.
[01:50:09.287 --> 01:50:15.250]  We are having victories all over the world and the bovine growth hormone in milk.
[01:50:15.250 --> 01:50:16.810]  We're having victories.
[01:50:16.810 --> 01:50:18.011]  We can have this tipping point.
[01:50:18.740 --> 01:50:19.480]  Yes, we have.
[01:50:19.480 --> 01:50:30.807]  When we look at all of the different things going on, and I did with about 30 scientists over two years, and we came up with the book, Genetic Roulette, the Documented Health Risks of Genetically Engineered Foods.
[01:50:30.807 --> 01:50:40.372]  In Genetic Roulette, you see thousands of sick, sterile and dead livestock, thousands of toxic and allergic reactions in humans, and damage to virtually every organ in every system studied.
[01:50:41.107 --> 01:50:50.200]  As bad as GMOs are, it's one of the easiest health and environmental catastrophes to solve, because we are in charge of what we buy.
[01:50:50.200 --> 01:50:58.011]  Now, because GMOs don't give any consumer benefit to these companies, if they perceive GMOs, genetically modified organisms,
[01:50:58.531 --> 01:51:03.592]  As a liability for sales, they'll simply switch to the non-GMO brand, as many have.
[01:51:03.592 --> 01:51:15.335]  In fact, when the tipping point of consumer rejection hit Europe in April of 1999, within a few days, within a single week, virtually every major food company committed to stop using GM ingredients.
[01:51:15.335 --> 01:51:23.437]  In the last three years, we saw a huge rejection of bovine growth hormone, as you said, kicked out last month by Subway, this year by
[01:51:23.997 --> 01:51:27.539]  Walmart, Kroger, the end of last year by Starbucks.
[01:51:27.539 --> 01:51:33.363]  So we're seeing a huge consumer backlash against one genetically engineered product.
[01:51:33.363 --> 01:51:37.585]  But the empire is striking back trying to take over every major food crop.
[01:51:37.585 --> 01:51:38.646]  We don't have much time.
[01:51:38.646 --> 01:51:40.967]  We better get involved in voting with our dollars.
[01:51:40.967 --> 01:51:47.351]  We can force them to stop doing this, but they're striking back also coming in as you eloquently covered.
[01:51:48.012 --> 01:51:50.574]  To where they don't want us to be able to have real labeling.
[01:51:50.574 --> 01:51:51.154]  Exactly.
[01:51:51.154 --> 01:51:57.157]  So, go to ResponsibleTechnology.org and do a number of things in order to help with this.
[01:51:57.157 --> 01:51:58.418]  One, you can become a member.
[01:51:58.418 --> 01:52:00.659]  Either a free member or we'd love to get some support.
[01:52:00.659 --> 01:52:03.581]  I mean, we just lost funding to India, but I'm going anyway.
[01:52:03.581 --> 01:52:08.164]  The other thing is, there's a petition there asking if Obama committed to labeling.
[01:52:08.772 --> 01:52:09.794]  During his campaign.
[01:52:09.794 --> 01:52:13.439]  So we're going to say, great, thank you for labeling, but we want real labeling.
[01:52:13.439 --> 01:52:16.924]  And so it's, we want comprehensive labeling, not loophole labeling.
[01:52:16.924 --> 01:52:20.870]  And so there's a petition there you can sign that we will send to Obama.
[01:52:20.870 --> 01:52:23.935]  And then go on the site also at Responsible Technology.
[01:52:24.415 --> 01:52:35.684]  And download or order a shopping guide, a non-GMO shopping guide, and learn how to avoid eating... And by the way, you have those where you can print them off, they're like 10 pages long, or you can buy them at cost, in bulk.
[01:52:35.684 --> 01:52:36.704]  We gotta jump to calls.
[01:52:36.704 --> 01:52:41.668]  Folks, you've been given the sites, take action, get the books and videos at InfoWars.com or the other sites.
[01:52:41.668 --> 01:52:47.453]  Don't wait around, your family, your children are worth it, and you will find out what we've covered here is true and accurate.
[01:52:47.453 --> 01:52:51.235]  Let's talk to Tom in Minnesota, and then we'll go to George, and that's it, we have for calls.
[01:52:51.235 --> 01:52:51.816]  Go ahead, Tom.
[01:52:54.395 --> 01:52:56.818]  Tom in Minnesota, you're on the air, sir.
[01:52:56.818 --> 01:52:57.599]  Go ahead.
[01:52:57.599 --> 01:52:58.661]  Thank you for holding.
[01:52:58.661 --> 01:52:59.983]  Okay, you can hear me now, Alex?
[01:52:59.983 --> 01:53:00.844]  Yes, sir.
[01:53:00.844 --> 01:53:06.932]  Okay, yeah, I was listening to one of them Montana representatives about six months ago.
[01:53:06.932 --> 01:53:10.597]  He said that they were genetically alternate, where they would only use about 25% of the water.
[01:53:12.317 --> 01:53:25.048]  Right afterwards, I've been looking at Air Force 2025 and noticing that they do put nanoparticles in the air to come down into the water.
[01:53:25.048 --> 01:53:25.768]  Yeah, that's right.
[01:53:25.768 --> 01:53:33.995]  The military now admits they are adding to jet fuel, both commercial and private, so it's compartmentalized, and they are spraying the atmosphere and terraforming the planet.
[01:53:33.995 --> 01:53:35.116]  That's now declassified.
[01:53:35.556 --> 01:53:45.385]  Okay, and they can control the weather and they can control hurricanes and I noticed that the water tables were like down about 25% and they filled them all back up.
[01:53:45.385 --> 01:53:50.971]  Along with all this and the digital TV, is this going to be something else that's going to be controlling us?
[01:53:51.651 --> 01:53:52.372]  Absolutely.
[01:53:52.372 --> 01:53:56.975]  I mean, that's forcing a lot of local stations to go bankrupt because they can't afford the expensive transmitters.
[01:53:56.975 --> 01:53:58.656]  Appreciate the call.
[01:53:58.656 --> 01:54:01.598]  Let's go ahead and talk to George in Texas.
[01:54:01.598 --> 01:54:03.900]  George, you have a question for our guest.
[01:54:03.900 --> 01:54:05.121]  Well, I got to tell you one thing.
[01:54:05.121 --> 01:54:07.263]  I have a sign of a healthy body.
[01:54:07.263 --> 01:54:10.405]  I remember about five years ago, I had this sickness.
[01:54:10.405 --> 01:54:11.526]  I was throwing up.
[01:54:11.526 --> 01:54:14.508]  I was throwing up because I always ate from the farmer's market.
[01:54:14.508 --> 01:54:16.009]  My parents always grew their own food.
[01:54:16.909 --> 01:54:20.311]  And everything I threw up on was everything he was talking about.
[01:54:20.311 --> 01:54:22.693]  Corn, soy products.
[01:54:22.693 --> 01:54:28.757]  I mean, I would eat it and my body would just reject it, and I had to go eat organic food.
[01:54:28.757 --> 01:54:29.338]  Absolutely.
[01:54:29.338 --> 01:54:30.399]  A lot of people are saying that.
[01:54:30.399 --> 01:54:35.902]  Well, there's a lot of farm animals that, I've talked to the farmers, not just studies, they won't eat GMO.
[01:54:35.902 --> 01:54:38.184]  We've seen cases of that, haven't we?
[01:54:38.184 --> 01:54:38.744]  Absolutely.
[01:54:38.744 --> 01:54:43.768]  There's pigs, cows, geese, elk, deer, raccoons, squirrels, mice, and rats.
[01:54:46.249 --> 01:54:46.749]  I keep going.
[01:55:05.117 --> 01:55:06.898]  Well, I mean, let's back up and talk about this.
[01:55:06.898 --> 01:55:10.560]  I talked to a lot of allergen doctors because I started getting allergies.
[01:55:10.560 --> 01:55:13.022]  My grandmother never had them in Austin, my mother never had them.
[01:55:13.022 --> 01:55:15.343]  Same environment, suddenly everybody's got them.
[01:55:15.343 --> 01:55:25.929]  And I talked to medical doctors and they go, well, we all know that it's really the GMO and that it triggers and increases your susceptibility to other allergens, you know, triggering.
[01:55:25.929 --> 01:55:27.790]  So it's a type of tipping point.
[01:55:27.790 --> 01:55:31.333]  But in closing, that's powerful that animals,
[01:55:32.353 --> 01:55:36.817]  If GMO side-by-side with non-GMO, they want the non-GMO.
[01:55:36.817 --> 01:55:37.517]  Absolutely.
[01:55:37.517 --> 01:55:38.678]  And there's a lot of stories.
[01:55:38.678 --> 01:55:40.019]  I mean, there's story after story.
[01:55:40.019 --> 01:55:43.442]  I heard a new one last week about a guy said, let me show you something.
[01:55:43.442 --> 01:55:45.343]  He threw a bunch of, he called them pigs.
[01:55:45.343 --> 01:55:47.084]  They just ran up full speed.
[01:55:47.084 --> 01:55:49.366]  He dished out some genetically engineered corn.
[01:55:49.366 --> 01:55:51.007]  They looked at it and they looked back up.
[01:55:51.007 --> 01:55:52.028]  They wouldn't touch it.
[01:55:52.028 --> 01:55:58.653]  And he went over to the other side of the crib, threw out the non-GMO stuff, and they all ran and ate it up completely.
[01:55:58.653 --> 01:56:00.935]  And so we need to get humans up to the level of animals.
[01:56:02.108 --> 01:56:13.539]  Well, I mean, you know, a pig has a better nose than even the best bloodhounds, so the problem is humans don't have the taste buds and snout that those type of omnivores have.
[01:56:13.539 --> 01:56:16.922]  That's why we have to put out the non-gmo shopping guide.
[01:56:16.922 --> 01:56:17.602]  But why is it?
[01:56:17.602 --> 01:56:20.024]  I mean, I guess it's just the olfactory nerve.
[01:56:20.024 --> 01:56:21.826]  I mean, the pigs know, but humans don't.
[01:56:21.826 --> 01:56:23.007]  You know, we don't know.
[01:56:23.007 --> 01:56:24.769]  No one's known because, like,
[01:56:25.856 --> 01:56:31.082]  It's possible that they're sensitive to the field effects, you know, the auras around the product.
[01:56:31.082 --> 01:56:33.825]  It's possible it's the smell.
[01:56:33.825 --> 01:56:39.971]  It's possible that they've tasted it and realized that it's not food and then they smell it and identify it with something they've already tasted.
[01:56:39.971 --> 01:56:42.534]  So, we don't know and no one's done any studies about it.
[01:56:43.522 --> 01:56:48.947]  But literally the electrical makeup of it, the electrochemical, as we know a lot of that is tied in with smell.
[01:56:48.947 --> 01:56:53.650]  Okay, well, Jeffrey M. Smith, we really appreciate you joining us.
[01:56:53.650 --> 01:56:54.571]  Good luck in India.
[01:56:54.571 --> 01:57:01.537]  I don't see how the establishment is going to cover up what they've done as just the evidence just pours out and as the people rebel against them.
[01:57:01.997 --> 01:57:03.658]  Well, you're doing a great service.
[01:57:03.658 --> 01:57:05.139]  You know more about this than most.
[01:57:05.139 --> 01:57:09.943]  I mean, I've been on hundreds of radio shows, and you're like a walking library about this.
[01:57:09.943 --> 01:57:11.164]  So thank you.
[01:57:11.164 --> 01:57:16.507]  Your audience is a lot better educated than virtually any other audience about GMOs.
[01:57:16.507 --> 01:57:16.948]  It's great.
[01:57:16.948 --> 01:57:17.788]  Well, thank you, Mr. Smith.
[01:57:17.788 --> 01:57:18.469]  We'll talk to you soon.
[01:57:18.869 --> 01:57:19.410]  Alright, take care.
[01:57:33.220 --> 01:57:38.884]  It's only because I study every day, sometimes 10-12 hours a day.
[01:57:38.884 --> 01:57:45.108]  I research everything, I study history, and so I'm aware.
[01:57:45.108 --> 01:57:46.749]  I'm not unusually smart.
[01:57:46.749 --> 01:57:50.172]  I'm just an average person who, I'm not an expert on fantasy football,
[01:57:51.119 --> 01:57:54.742]  I am an expert on the New World Order and what matters to my family.
[01:57:54.742 --> 01:57:55.543]  God bless you all.
[01:57:55.543 --> 01:57:56.804]  Key story on martial law.
[01:57:56.804 --> 01:57:58.926]  Marines patrolling America right now at Info.
[01:57:58.926 --> 01:58:03.270]  It's no secret that Genesis Communications Network depends on listeners like you.
[01:58:03.270 --> 01:58:06.012]  Now you can do even more to hear Genesis shows in your area.
[01:58:06.572 --> 01:58:08.874]  Are your Federal Reserve notes looking for a safe haven?
[01:58:08.874 --> 01:58:10.856]  Mine found it in precious metals.
[01:58:35.302 --> 01:58:39.124]  Not paper promises, but actual gold in my possession.
[01:58:39.124 --> 01:58:46.387]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:58:46.387 --> 01:58:48.948]  Find your answer at Midas Resources.
[01:58:48.948 --> 01:58:49.209]  That's 1-800-686-2237.
[01:58:49.209 --> 01:58:49.689]  The answer is at 1-800-686-2237.
[01:58:58.936 --> 01:59:01.818]  Listener, ask yourself, can I be deceived?
[01:59:01.818 --> 01:59:03.899]  Matthew 24 states four times.
[01:59:03.899 --> 01:59:06.221]  In the last days, many will be deceived.
[01:59:06.221 --> 01:59:09.783]  There are many ideas about the mark of the beast and the antichrist.
[01:59:09.783 --> 01:59:13.545]  What do you know about the beast, its mark, and the antichrist?
[01:59:13.545 --> 01:59:17.488]  Is the beast a superpower nation or a giant computer in Belgium?
[01:59:17.488 --> 01:59:19.669]  Is its mark an implanted chip, a tattoo,
[01:59:19.989 --> 01:59:25.731]  The National ID Card, or 666, is the Antichrist a person, title, or both?
[01:59:25.731 --> 01:59:27.651]  Some believe these things are in the future.
[01:59:27.651 --> 01:59:29.652]  Others believe that it's in the past.
[01:59:29.652 --> 01:59:32.933]  1 John states, The Antichrist is already in the world.
[01:59:32.933 --> 01:59:35.074]  What is the truth, and what is a lie?
[01:59:35.074 --> 01:59:37.414]  Are you willing to search God's Word for the truth?
[01:59:37.414 --> 01:59:39.435]  Friends, these answers are in the Bible.
[01:59:39.435 --> 01:59:46.097]  For free books, DVDs, and Bible studies exposing the Antichrist, the Beast, and its mark, write to The Bible Says.
[01:59:46.437 --> 01:59:49.599]  Box 99, Lenore City, Tennessee 37771 or call 888-211-1715.
[01:59:49.599 --> 01:59:49.979]  That's 888-211-1715.
[01:59:49.979 --> 01:59:51.240]  Don't put off your health for a
