[00:00:00.169 --> 00:00:01.729]  Wait and feel great!
[00:25:41.923 --> 00:25:44.825]  You get in there first, and you cause abnormal changes.
[00:25:45.466 --> 00:25:48.567]  We've been under attack from so many areas, including the inoculations.
[00:25:48.968 --> 00:26:00.335]  Now Bertrand Russell, Lord Bertrand Russell, another member of MI5, who is now declassified again, along with Koestler, and many other big writers of their time, who led big international meetings,
[00:26:01.098 --> 00:26:06.200]  He said himself that they'd also use the needle to make people very placid.
[00:26:07.120 --> 00:26:08.701]  Those are his words in one of his books.
[00:26:09.501 --> 00:26:11.361]  And they have been using inoculations.
[00:26:11.381 --> 00:26:20.204]  They train the public who are taught to trust their masters and have trained them that everything they pump into your body is for your own good.
[00:26:20.504 --> 00:26:21.645]  Well, it's like your dog.
[00:26:21.885 --> 00:26:26.166]  You're lovingly coming over and getting your lap and the government just injects cyanide in.
[00:26:26.186 --> 00:26:28.287]  I mean, it's so sick.
[00:26:29.997 --> 00:26:37.200]  Yes, and once again, these inoculations literally have targeted the immune system of people.
[00:26:37.641 --> 00:26:41.322]  There's hardly a person in the Western world with an intact immune system.
[00:26:42.523 --> 00:26:50.206]  I thought about this years ago when I looked at the fads that the medical sciences have gone through, and they do go through these strange fads.
[00:26:51.042 --> 00:27:02.049]  And back in the 50s, at the same time as all this was mandated to go into effect, with the food and so on, they also started tonsillectomies and removing adenoids.
[00:27:02.570 --> 00:27:12.516]  As a matter of course, with all children in Europe around the age of 4 or 5, it was the done thing to do, and every mother brought in their child and they'd become their adenoids and their tonsils.
[00:27:12.876 --> 00:27:14.537]  That's your first line of defense.
[00:27:14.617 --> 00:27:16.659]  They are parts of your immune system.
[00:27:16.719 --> 00:27:18.160]  They create white blood cells.
[00:27:18.940 --> 00:27:21.701]  So once they're removed, you're already missing 30% of them.
[00:27:21.721 --> 00:27:30.005]  You're being set up so that ordinary little colds or flus or things which you would normally fight off could actually kill you.
[00:27:30.985 --> 00:27:33.706]  And that was the intent of attacking the immune system.
[00:27:33.966 --> 00:27:35.527]  And they did studies in the 40s.
[00:27:35.567 --> 00:27:38.348]  They knew that antibiotics were going to create superbacteria.
[00:27:39.509 --> 00:27:40.269]  But please continue.
[00:27:41.369 --> 00:27:47.672]  And not only that, what really staggers the mind too, I call this the Matrix, because you swallow the world that's being presented to you.
[00:27:48.642 --> 00:27:52.405]  And everything in it is pretty well false, or a deception, or a cover.
[00:27:53.205 --> 00:28:01.471]  Now, again, the CBC in Canada did an incredible documentary a few years ago called Phagocytes.
[00:28:02.111 --> 00:28:13.479]  Now, phagocytes are viruses which are man-made, which can attack and destroy other viruses, any other viruses programmed, literally programmed to destroy, or bacteria.
[00:28:15.001 --> 00:28:30.787]  And the Russians, the Soviet system, were using them from 1917 onwards, and all through the period up until the 90s, the mid-90s, the West, they knew about this, of course, in intelligence agencies, they knew about this in the military-industrial complex.
[00:28:31.287 --> 00:28:33.569]  But we were told there's nothing but antibiotics.
[00:28:33.649 --> 00:28:44.858]  Meanwhile, children can go into a clinic in Russia with pneumonia, they get a little puffer, inhalants, they have a couple of breaths of this, they go home and they're cured the following day.
[00:28:45.278 --> 00:28:52.143]  Because special viruses can be programmed like computers from 1917 and they did not need antibiotics in Russia.
[00:28:52.724 --> 00:28:58.048]  Now a company in New York bought over all of the rights of this particular Georgian company
[00:28:58.658 --> 00:29:00.400]  That's right, in Latin it means bacteria eater.
[00:29:21.099 --> 00:29:32.873]  Well, the bigger problem with the cold cuts and the meats they're spraying with it is it allows them to take rotten meat covered in feces from the slaughterhouse, literally folks, and not clean it off or not throw it away.
[00:29:33.194 --> 00:29:34.916]  They just spray it with virus eaters.
[00:29:35.496 --> 00:29:39.918]  That's right, and now we have outbreaks of Listeria on Coal Beach suddenly that didn't happen before.
[00:30:04.247 --> 00:30:05.888]  And so their answer is radiated.
[00:30:06.689 --> 00:30:09.451]  But you're still eating the toxin.
[00:30:09.671 --> 00:30:12.614]  What gets you really sick is the bacteria excrement.
[00:30:12.954 --> 00:30:15.216]  We'll be right back with Alan Watt and your calls.
[00:30:19.239 --> 00:30:20.139]  We're on the march.
[00:30:20.620 --> 00:30:22.221]  The Empire's on the run.
[00:30:23.142 --> 00:30:25.824]  Alex Jones and the GCN Radio Network.
[00:30:29.529 --> 00:30:31.491]  How much food do you have in your fridge?
[00:30:31.791 --> 00:30:34.693]  How long would it last in the event of a nationwide crisis?
[00:30:34.873 --> 00:30:39.477]  SurvivalGearSource.com is America's number one source for survival kits and supplies.
[00:30:39.497 --> 00:30:40.978]  SurvivalGearSource.com.
[00:30:40.998 --> 00:30:43.861]  SurvivalGearSource.com is everything you need to be prepared.
[00:30:43.941 --> 00:30:46.603]  Get your storable food at SurvivalGearSource.com.
[00:30:46.683 --> 00:30:49.685]  We've supplied thousands of Americans with our ready-to-eat meals.
[00:30:49.826 --> 00:30:51.647]  Sealed, portable, and will last for years.
[00:30:51.647 --> 00:30:54.050]  Get your portable flameless ovens for cooking.
[00:30:54.110 --> 00:30:56.273]  Get your ultra-portable survival kits now.
[00:30:56.453 --> 00:31:00.057]  Tailor for 1, 4, 10, or even the 100-person deluxe kit.
[00:31:00.117 --> 00:31:10.991]  Prepare for nuclear and bioterrorism with a complete terror protection kit, including gas masks, bio suits, potassium iodate, a solar hand crank flashlight, radio, cell phone charger, and much more.
[00:31:12.014 --> 00:31:15.735]  Order by phone at 877-231-1925.
[00:31:15.755 --> 00:31:17.236]  That's 877-231-1925.
[00:31:17.396 --> 00:31:21.257]  Or go to survivalgearsource.com.
[00:31:21.517 --> 00:31:25.698]  Use coupon code GCN and receive a free Patriot Bar with every order.
[00:31:25.818 --> 00:31:28.579]  Survivalgearsource.com.
[00:31:29.580 --> 00:31:31.000]  It is a big idea.
[00:31:31.020 --> 00:31:33.121]  A new world order.
[00:31:33.841 --> 00:31:37.562]  In the near future, Earth is dominated by our world.
[00:31:44.345 --> 00:31:46.747]  For thousands of years, their dark order grew.
[00:31:47.528 --> 00:31:54.853]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:31:57.856 --> 00:32:02.820]  For the first time in history, the elite's plan for world government is blown wide open.
[00:32:03.320 --> 00:32:07.002]  You will learn the secret that drives the entire New World Order agenda.
[00:32:07.022 --> 00:32:09.704]  Builderburg is making great progress toward a world government.
[00:32:09.764 --> 00:32:10.685]  Most people have no idea.
[00:32:10.705 --> 00:32:11.666]  They're not after money.
[00:32:11.706 --> 00:32:12.806]  They have all the money they need.
[00:32:12.987 --> 00:32:13.727]  They're after power.
[00:32:13.947 --> 00:32:14.908]  That's what they're after, you see.
[00:32:15.108 --> 00:32:19.651]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:32:19.851 --> 00:32:23.294]  Or watch it online right now at PrisonPlanet.tv.
[00:32:23.454 --> 00:32:24.515]  In Game.
[00:32:24.575 --> 00:32:26.176]  Blueprint for global enslaving.
[00:32:26.756 --> 00:32:27.837]  You have been warned.
[00:32:28.578 --> 00:32:32.242]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:32:32.282 --> 00:32:37.947]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:32:38.027 --> 00:32:42.071]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:32:42.371 --> 00:32:44.674]  Nature's gem, premium omega-3.
[00:32:44.834 --> 00:32:49.138]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota.
[00:32:49.158 --> 00:32:49.918]  We're good to go!
[00:33:13.807 --> 00:33:16.128]  We offer a 100% money-back guarantee.
[00:33:16.228 --> 00:33:22.431]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com, GoldenFLAX.com, or call 800-387-5516.
[00:33:22.491 --> 00:33:22.671]  That's 800-387-5516.
[00:33:22.711 --> 00:33:23.392]  Free shipping included.
[00:33:46.472 --> 00:33:53.038]  So much going on, so much going on.
[00:33:53.138 --> 00:33:55.960]  So many things going on in the world.
[00:33:57.321 --> 00:34:01.204]  Babies dying, mothers crying.
[00:34:06.445 --> 00:34:11.868]  Going back to Alan Watt, your phone calls here in just a moment.
[00:34:12.308 --> 00:34:19.391]  But before I do that, I want to tell you about a couple sponsors that make this radio show possible.
[00:34:20.631 --> 00:34:25.093]  One great sponsor is Inner Health Botanicals.
[00:34:25.533 --> 00:34:27.114]  You know them as Interfood.
[00:34:27.154 --> 00:34:30.355]  That's just one of their great line of products.
[00:34:32.498 --> 00:34:39.123]  Uh, Interfood, folks, is the best green food out there, bar none.
[00:34:40.785 --> 00:34:53.355]  And I hope that you will check out the web banners that we have for them up on InfoWars.com and PrisonPlanet.com because they have a whole line of great products.
[00:34:53.375 --> 00:34:59.579]  But their green food, and I've taken other ones that have all these superfoods and ingredients and they always give me headache or make me feel sped up.
[00:34:59.940 --> 00:35:01.301]  This doesn't have any of the
[00:35:01.917 --> 00:35:09.500]  Caffeine-type mimicers doesn't have it and it's just a whole bunch of well-known superfoods that are really good for your body.
[00:35:10.101 --> 00:35:17.784]  So again, check it out at InfoWars.com and PrisonPlanet.com.
[00:35:17.864 --> 00:35:22.946]  You can link through there to the InnerFood website.
[00:35:22.986 --> 00:35:25.647]  Find the banner right there on both sites.
[00:35:26.888 --> 00:35:29.549]  Also, there is Food Shortage USA.
[00:35:30.652 --> 00:35:34.074]  FoodShortageUSA.com is the website.
[00:35:35.334 --> 00:35:41.097]  Phase 1 of the Insiders Plan for a One World Government has been indicated with the recent bailout.
[00:35:41.137 --> 00:35:48.060]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:35:48.540 --> 00:35:49.480]  But we've only seen the beginning.
[00:35:49.500 --> 00:35:53.302]  The Insiders have discovered that they can control two things to seize total control and power.
[00:35:54.008 --> 00:35:57.430]  One is the world currency, which they're currently being prepared to accept, and the other is food.
[00:35:57.971 --> 00:36:00.652]  We're witnessing the engineered financial crisis, folks.
[00:36:00.993 --> 00:36:02.233]  Don't wait until it's too late.
[00:36:02.614 --> 00:36:09.358]  Go to foodshortageusa.com to learn how to make your own storable foods for you and your family, prepare for the road ahead.
[00:36:09.738 --> 00:36:14.101]  This website reveals a step-by-step way for the average person to get prepared for what's ahead.
[00:36:14.121 --> 00:36:19.384]  I think the best part about the system is it gets you off the food grid, even if you don't have a lot of money to spend.
[00:36:19.424 --> 00:36:20.665]  The site is foodshortage.com.
[00:36:21.005 --> 00:36:26.410]  USA.com, one word, or 877-327-0365 to learn more.
[00:36:26.430 --> 00:36:27.551]  877-327-0365.
[00:36:28.351 --> 00:36:40.201]  Alan, I said I was particularly having you on today, and we appreciate your time, to take calls so we can go in different directions than you or I would normally focus on.
[00:36:40.761 --> 00:36:48.748]  I'm, you know, pretty much on the same page with you and your research, because we just go to their own source documents with the chemical dumbing down, the biological attacks,
[00:36:49.765 --> 00:36:59.171]  What they're setting up, but I want to go to the calls, and we've been interrupted by a few breaks, and my seconding everything you're saying, but I can't help myself, it's all so accurate.
