[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[01:34:31.579 --> 01:34:37.460]  You got a schizophrenic, a nut, who thought that the two-year-old baby was demon-possessed, so he's beating it to death.
[01:34:37.460 --> 01:34:48.662]  Can pull up more detailed press reports when we're about to play, but reportedly this went on for more than 30 minutes, stomping the child until it was unrecognizable on a major interstate highway.
[01:34:48.662 --> 01:34:52.143]  Hundreds of cars passing, 911 called over and over again.
[01:34:52.143 --> 01:34:59.104]  If I see somebody stomping on a baby, I am going to pull over, and I am going to attack them.
[01:34:59.895 --> 01:35:01.016]  I am going to stop them.
[01:35:01.016 --> 01:35:01.957]  And that is weird.
[01:35:01.957 --> 01:35:06.141]  That is seen as radical today, when that was normal a long time ago.
[01:35:06.141 --> 01:35:08.362]  And again, I'm not saying I'm a tough guy.
[01:35:08.362 --> 01:35:14.087]  Not saying... I mean, that's what's bizarre about it, is that I guess I am a tough guy, that I would do this when this is just normal.
[01:35:14.087 --> 01:35:17.170]  I mean, I haven't been castrated, basically.
[01:35:17.170 --> 01:35:20.573]  And I told the story in the first hour about five years ago.
[01:35:20.573 --> 01:35:22.375]  I'm with my wife and my son.
[01:35:23.098 --> 01:35:34.348]  He was a little baby then, and I'm at a La Madeline restaurant in North Austin, and I go to the bathroom, or I would have been out there quicker, and I hear all this noise when I come out, and this lady's choking with about 20 people around her.
[01:35:34.348 --> 01:35:37.110]  It was a busy night, like 7 o'clock at night.
[01:35:37.110 --> 01:35:38.672]  And they were all screaming, 911!
[01:35:38.672 --> 01:35:39.272]  911!
[01:35:39.272 --> 01:35:39.813]  911!
[01:35:39.813 --> 01:35:40.914]  Call 911!
[01:35:40.914 --> 01:35:42.675]  And they were all arguing over who was going to call 911.
[01:35:43.849 --> 01:35:47.050]  And so, this goes on about 30 more seconds, and I start saying, do the Heimlich.
[01:35:47.050 --> 01:35:48.771]  And they would scream at me, you call 911!
[01:35:48.771 --> 01:35:50.631]  That's what we do, we call!
[01:35:50.631 --> 01:35:51.972]  And it was all this yelling.
[01:35:51.972 --> 01:35:53.952]  So I had to start shoving through people.
[01:35:53.952 --> 01:35:56.393]  Some guy kind of shoved me, I had to shove him over.
[01:35:56.393 --> 01:35:58.014]  Then there was yelling, but I just ignored him.
[01:35:58.014 --> 01:36:03.295]  I went in, I had to push her family away from her, because they were just waving their arms.
[01:36:03.295 --> 01:36:07.957]  And again, I had been on swim team from the time I guess I was about 7 years old.
[01:36:09.238 --> 01:36:09.918]  That part doesn't matter.
[01:36:09.918 --> 01:36:17.581]  The point is, when I was in junior high, they offered, you know, stay late and take a, you know, two-day course.
[01:36:17.581 --> 01:36:19.462]  So I did the Heimlich Maneuver.
[01:36:19.462 --> 01:36:23.804]  And so I got in there, and I got under, and I got the piece of bread out with two heaves.
[01:36:23.804 --> 01:36:27.145]  And then I got out of there.
[01:36:27.145 --> 01:36:28.426]  And some people were mad at me.
[01:36:28.426 --> 01:36:31.147]  Others were, like, looking at me, like, oh, I can't believe how great you are!
[01:36:31.147 --> 01:36:31.727]  You're a hero!
[01:36:31.727 --> 01:36:32.147]  Stay!
[01:36:32.147 --> 01:36:32.828]  Oh, my God!
[01:36:32.828 --> 01:36:33.228]  Oh!
[01:36:33.228 --> 01:36:35.789]  And I was like, man, these are, like, cult members.
[01:36:35.789 --> 01:36:37.270]  They are so pathetic.
[01:36:37.270 --> 01:36:38.270]  But I've seen the reports.
[01:36:39.511 --> 01:36:48.535]  We interviewed, I don't know, three or four years ago, the police spokesman, I think it was out of Toronto, and this woman had been beaten and raped with a lead pipe.
[01:36:48.535 --> 01:36:51.196]  She'd been beaten and had a lead pipe raped.
[01:36:51.196 --> 01:37:01.921]  She was naked in the street on a major thoroughfare, and a major telecom company had the boss on the fourth floor laughing at her in the street, saying, no, don't call 911, we'll have to file a report.
[01:37:02.944 --> 01:37:04.324]  It was the dehumanization.
[01:37:04.324 --> 01:37:06.005]  They didn't even see her as a person.
[01:37:06.005 --> 01:37:07.085]  And a lot of things go into this.
[01:37:07.085 --> 01:37:11.226]  Seeing millions of simulated murders and violence on TV desensitizes us.
[01:37:11.226 --> 01:37:15.067]  All these horror films desensitizing us that death isn't real or isn't a big deal.
[01:37:15.067 --> 01:37:15.968]  Everybody else sees it.
[01:37:15.968 --> 01:37:19.269]  Oh, that's a job for the government to do.
[01:37:19.269 --> 01:37:20.409]  But there's so many cases.
[01:37:20.409 --> 01:37:22.069]  There was a case, what, five, six years ago?
[01:37:22.069 --> 01:37:28.011]  Up off of William Cannon and I-35 by that gas station up there.
[01:37:28.880 --> 01:37:35.123]  And I lived over near there at the time, but I also saw it on the news, but I talked to folks that had actually seen it after they got there.
[01:37:35.123 --> 01:37:40.686]  An Austin cop had been hit by a car, and he was there, I want to say almost half an hour.
[01:37:40.686 --> 01:37:42.707]  You can go pull the article up if you want.
[01:37:42.707 --> 01:37:46.049]  And he was bleeding to death in the street, and everybody just drove past.
[01:37:46.049 --> 01:37:47.209]  They just drove past.
[01:37:47.209 --> 01:37:48.910]  They just drove past.
[01:37:48.910 --> 01:37:54.373]  And it's gotten so bad that Texas and other states have had to pass failure to render aid laws.
[01:37:55.171 --> 01:38:00.417]  Where if you see a car flip and people get hurt and you see it happen, you've got to stop and render it.
[01:38:00.417 --> 01:38:01.959]  Now, I mean, this is pathetic.
[01:38:01.959 --> 01:38:05.103]  This is pathetic, but this is the cancer destroying us.
[01:38:05.103 --> 01:38:06.504]  Go ahead and play this horrible clip.
[01:38:06.504 --> 01:38:07.025]  People need to hear it.
[01:38:08.127 --> 01:38:13.531]  On a rural road south of Modesto, California, drivers stopped when they saw a horrific sight.
[01:38:13.531 --> 01:38:18.135]  A man was severely kicking, beating, and stomping a toddler to death.
[01:38:18.135 --> 01:38:19.816]  Several drivers stopped and called 911.
[01:38:19.816 --> 01:38:28.623]  The San Jose County Sheriff's Department began responding to this call, but the ground units were quite a few minutes away from arriving at the scene.
[01:38:28.863 --> 01:38:33.227]  Modesto authorities say a police helicopter happened to be in the area at the time of the attack.
[01:38:33.227 --> 01:38:42.354]  Saw the assault from the air and they both made the decision to land the helicopter in a cow pasture just to the side of the road.
[01:38:42.354 --> 01:38:43.595]  Very risky landing.
[01:38:43.595 --> 01:38:46.877]  The officer approached the man and authorities say he was forced to fire.
[01:38:46.877 --> 01:38:48.439]  The man died at the scene.
[01:38:48.439 --> 01:38:51.421]  The child was taken to the hospital but later died.
[01:38:51.421 --> 01:38:56.065]  One witness says the suspect had been making comments about the child having demons during the incident.
[01:38:56.485 --> 01:39:02.132]  Authorities say the toddler's injuries were so severe, he'll be identified through blood or DNA tests.
[01:39:02.132 --> 01:39:06.538]  Investigators are still trying to figure out whether the man was related to that child.
[01:39:06.538 --> 01:39:08.620]  Diane Kepley, Associated Press.
[01:39:08.620 --> 01:39:11.324]  Alright, so there's the AP report on, you can go pull up more detailed reports.
[01:39:11.324 --> 01:39:15.369]  The point is, is the guy was a schizophrenic, he went crazy, he was killing this child.
[01:39:16.936 --> 01:39:21.919]  And people pulled down the road, they stopped, they drove by, and they cowardly sat there and watched it.
[01:39:21.919 --> 01:39:25.361]  I mean, it's not even a thing of being tough or having courage.
[01:39:25.361 --> 01:39:32.266]  My instinct is, I see somebody stomping on a baby's head, I am going to tear them to pieces.
[01:39:32.266 --> 01:39:35.068]  I am going to tear them to pieces.
[01:39:35.068 --> 01:39:40.072]  And, I mean, isn't that normal?
[01:39:40.072 --> 01:39:41.833]  Isn't that just what you're supposed to do?
[01:39:42.702 --> 01:39:47.964]  But no, these people were so domesticated, so enslaved, they waited for the police.
[01:39:47.964 --> 01:39:52.106]  You know, Chicago has 5, 6, 7, depending on the year.
[01:39:52.106 --> 01:39:54.027]  This year it's all-time records.
[01:39:54.027 --> 01:39:55.227]  Highest crime rate in the country.
[01:39:55.227 --> 01:39:56.908]  Higher than any other part of the country.
[01:39:56.908 --> 01:39:57.888]  New York City.
[01:39:57.888 --> 01:39:59.729]  These are the places where the public's disarmed.
[01:39:59.729 --> 01:40:02.050]  They have 5, 6, 7, 8 locks on their doors.
[01:40:02.050 --> 01:40:03.511]  They cower in fear.
[01:40:03.511 --> 01:40:05.892]  The criminals run everything.
[01:40:05.892 --> 01:40:08.813]  The police are basically thugs in these cities, and I've experienced it.
[01:40:09.719 --> 01:40:13.400]  New York police just got caught, and then lying about it, and then police blew the whistle inside.
[01:40:13.400 --> 01:40:16.401]  We're sodomizing some guy for running from him.
[01:40:16.401 --> 01:40:19.701]  I mean, you know, it's just evil spreading.
[01:40:19.701 --> 01:40:22.822]  And thank God I'm still in a place where people aren't completely domesticated.
[01:40:22.822 --> 01:40:24.843]  You know, like Texas.
[01:40:24.843 --> 01:40:29.084]  But a lot of places in the country, you shoot somebody that enters your own house, you go to jail.
[01:40:29.084 --> 01:40:32.625]  In England, if you defend yourself in any way, they throw the book at you.
[01:40:32.625 --> 01:40:35.845]  They want the message that you are to be a jellyfish slave.
[01:40:35.845 --> 01:40:37.726]  They want little chicken slaves.
[01:40:40.396 --> 01:40:43.817]  And I want to say something else about 9-11 truth.
[01:40:43.817 --> 01:40:45.177]  You know, I just tell it like it is.
[01:40:45.177 --> 01:40:49.898]  When I found out Bill Clinton's people had been involved bombing Oklahoma City, I exposed it.
[01:40:49.898 --> 01:40:53.479]  And that made a film about it, and there's so much evidence, I don't have time to get into it.
[01:40:53.479 --> 01:40:55.659]  And there's over 200 examples that are declassified.
[01:40:55.659 --> 01:40:56.699]  This is where it's admitted.
[01:40:56.699 --> 01:40:57.540]  Do you hear me?
[01:40:57.540 --> 01:41:08.402]  Where criminal elements of our government stage terror attacks to blame it on foreign governments, enemies, or domestic groups as a pretext to crack down on them or enslave them.
[01:41:08.402 --> 01:41:08.722]  And so,
[01:41:09.648 --> 01:41:11.390]  When 9-11 happened, we looked at the evidence.
[01:41:11.390 --> 01:41:13.031]  It's clearly an inside job.
[01:41:13.031 --> 01:41:16.875]  The other side tries to lie about us or put out disinfo or whatever.
[01:41:16.875 --> 01:41:25.102]  Look, it's upsetting that criminals in our government stage the attacks.
[01:41:25.102 --> 01:41:31.929]  It's upsetting that it's in several official Army field manuals that we posted up at InfoWars.com.
[01:41:33.127 --> 01:41:39.611]  Uh, that are on WikiLeaks, that the media's covered, where army captains are taught in special forces how to stage terror attacks.
[01:41:39.611 --> 01:41:41.833]  I mean, that's like a canteen in an M-16.
[01:41:41.833 --> 01:41:43.434]  It's just part of what they do.
[01:41:43.434 --> 01:41:45.275]  It's part of their basic training.
[01:41:45.275 --> 01:41:47.797]  And I mean, I'm not going to live in denial.
[01:41:47.797 --> 01:41:53.781]  I'm not going to, because I don't want to believe that and that scary lie to myself and then say it doesn't exist.
[01:41:53.781 --> 01:41:55.582]  You know, we're a nation living in denial.
[01:41:56.664 --> 01:42:03.466]  People denied, you know, the small minority that was for the banker takeover and said, oh Alex, you know, they're going to use this to prop up bad mortgages.
[01:42:03.466 --> 01:42:06.006]  And of course they haven't now and they're keeping the money.
[01:42:06.006 --> 01:42:08.467]  I was right about that because I read the documents.
[01:42:08.467 --> 01:42:10.768]  You know, I address things according to what the facts are.
[01:42:10.768 --> 01:42:18.550]  I go, I look at the information, and no matter how horrible it is, I cover it and I deal with it.
[01:42:18.550 --> 01:42:19.670]  And it's just that simple.
[01:42:19.670 --> 01:42:24.191]  So I'm begging everybody out there listening to me tonight, around the world,
[01:42:25.592 --> 01:42:29.534]  To start taking action, to stop being so cowardly.
[01:42:29.534 --> 01:42:34.516]  A lot of people I talk to know the government's criminal, know it's corrupt, but they're afraid to speak out and get involved.
[01:42:34.516 --> 01:42:36.837]  And they say, Alex, we're just so glad you're there.
[01:42:36.837 --> 01:42:39.318]  We're so glad you're doing the job for us.
[01:42:39.318 --> 01:42:42.019]  Folks, me just putting out the information isn't going to save us.
[01:42:42.019 --> 01:42:43.439]  It's all of you taking action.
[01:42:43.439 --> 01:42:47.861]  And by the way, you shouldn't be in the mindset of just believing me.
[01:42:47.861 --> 01:42:49.242]  You should go check out what I'm saying.
[01:42:49.242 --> 01:42:51.462]  And that goes for people that disagree with me.
[01:42:51.462 --> 01:42:55.244]  If you agree with me, you should go check out what I'm saying so you have the documents and the facts for yourself.
[01:42:56.457 --> 01:43:00.240]  But if you disagree with me, you should go and prove me wrong.
[01:43:00.240 --> 01:43:01.642]  Prove that I'm a liar.
[01:43:01.642 --> 01:43:03.063]  Prove that I'm not telling the truth.
[01:43:03.063 --> 01:43:04.404]  You know what you're going to find out?
[01:43:04.404 --> 01:43:08.107]  You're going to find out I'm telling you the truth.
[01:43:08.107 --> 01:43:10.329]  Okay?
[01:43:10.329 --> 01:43:13.292]  Bottom line, folks, look at history.
[01:43:13.292 --> 01:43:16.354]  Look at how tyrannical and abusive governments get.
[01:43:16.354 --> 01:43:20.238]  Look at how bad things they do when people lay down and live in denial.
[01:43:21.551 --> 01:43:22.572]  Night is falling.
[01:43:22.572 --> 01:43:23.893]  Tyranny is upon us.
[01:43:23.893 --> 01:43:25.214]  But we can take liberty back.
[01:43:25.214 --> 01:43:28.217]  We can defend our children and our future if we get involved.
[01:43:28.217 --> 01:43:28.938]  Final segment.
[01:43:28.938 --> 01:43:30.499]  We'll go straight to your phone calls.
[01:43:30.499 --> 01:43:31.420]  Out of the gate.
[01:43:31.420 --> 01:43:33.401]  Heart disease is on the rise.
[01:43:33.401 --> 01:43:38.466]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[01:43:38.746 --> 01:43:40.348]  But the symptoms are there.
[01:43:40.348 --> 01:43:48.737]  Loss of energy, blood sugar spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:43:48.737 --> 01:43:54.464]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:43:54.884 --> 01:43:56.486]  My blood pressure has normalized.
[01:43:56.486 --> 01:43:58.769]  My diabetes has totally improved.
[01:43:58.769 --> 01:44:03.194]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:44:03.194 --> 01:44:05.436]  I recommend Heart and Body Extract to everyone.
[01:44:05.436 --> 01:44:13.265]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:44:13.345 --> 01:44:17.546]  Order your two-month supply today by calling 866-295-5305.
[01:44:17.546 --> 01:44:20.827]  That's 866-295-5305.
[01:44:20.827 --> 01:44:24.468]  Or order online, HBextract.com.
[01:44:24.468 --> 01:44:28.049]  Heart and Body Extract, 866-295-5305.
[01:44:28.049 --> 01:44:30.790]  Or HBextract.com.
[01:44:30.790 --> 01:44:34.971]  Do you have doubts about the stability of the dollar or your own financial future?
[01:44:34.971 --> 01:44:39.652]  Is a dismal growth rate or rapid inflation affecting the bottom line of your retirement savings account?
[01:44:39.952 --> 01:44:45.318]  Do you worry about uncontrollable economic events which could suddenly wipe out some or all of your hard-earned savings?
[01:44:45.318 --> 01:44:47.301]  You can turn adversity into opportunity.
[01:44:47.301 --> 01:44:55.830]  Individual retirement accounts and most 401Ks, 403Bs, SEFs and other retirement plans can be rolled over into self-directed accounts using gold and silver.
[01:44:55.830 --> 01:45:00.456]  There are definitely some do's and don'ts with this rollover process and that's where Midas Resources comes in.
[01:45:00.856 --> 01:45:07.060]  Call us at 1-866-323-5665 and we can help you with this process.
[01:45:07.060 --> 01:45:12.524]  History has shown that metals will maintain your buying power even if other financial assets are failing.
[01:45:12.524 --> 01:45:17.487]  It's not a question of if you'll need precious metals in your portfolio, it's a question of when.
[01:45:17.487 --> 01:45:22.791]  So whether you're planning for an economic rainy day or a Category 5 hurricane, the solution is the same.
[01:45:22.791 --> 01:45:23.631]  Call us today at 1-866-323-5665.
[01:45:23.631 --> 01:45:23.692]  1-866-323-5665.
[01:45:31.462 --> 01:45:32.303]  Question.
[01:45:32.303 --> 01:45:37.046]  Is the world getting better or vastly worse?
[01:45:37.046 --> 01:45:41.530]  A world economic collapse could come any day.
[01:45:41.530 --> 01:45:42.370]  Question.
[01:45:42.370 --> 01:45:47.634]  Are you prepared or are you ignoring the signs?
[01:45:47.634 --> 01:45:48.415]  Question.
[01:45:48.415 --> 01:45:51.998]  Do you have seven years of healthy food for your family?
[01:45:57.279 --> 01:46:00.284]  Go to survivalistseeds.com now.
[01:46:00.284 --> 01:46:05.774]  12,000 seeds giving you 5,000 pounds of food for just four pennies a pound.
[01:46:05.774 --> 01:46:09.360]  Without a long-term food solution, your choices are limited.
[01:46:09.938 --> 01:46:14.881]  Visit SurvivalistSeeds.com and check out our Doomsday Water Filter System.
[01:46:14.881 --> 01:46:16.643]  Without water, you die.
[01:46:16.643 --> 01:46:20.265]  It's all online at SurvivalistSeeds.com.
[01:46:20.265 --> 01:46:21.326]  Are you prepared?
[01:46:21.326 --> 01:46:23.908]  That's SurvivalistSeeds.com.
[01:46:23.908 --> 01:46:26.149]  Go to SurvivalistSeeds.com.
[01:46:26.149 --> 01:46:30.192]  Do it now or become property of the New World Order.
[01:46:30.794 --> 01:46:37.037]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators starting at $299.
[01:46:37.037 --> 01:46:50.983]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of secondhand smoke, pet odors, you name it.
[01:46:50.983 --> 01:46:54.525]  What else can three oxygen atoms, in other words ozone, do?
[01:46:54.525 --> 01:46:55.245]  Many hospitals
[01:46:55.305 --> 01:46:59.288]  Sterilize their operating rooms with ozone before and after operations.
[01:46:59.288 --> 01:47:01.390]  And have you ever heard of ozone therapy?
[01:47:01.390 --> 01:47:04.933]  Ionic Zone has a wealth of information on ozone therapy.
[01:47:04.933 --> 01:47:11.518]  Ozone therapy is used, among other things, to raise the body's oxygen level, which studies suggest boosts the immune system.
[01:47:11.758 --> 01:47:18.762]  You can learn more about ozone therapy or ionic zone ozone generators by going to ioniczone.com or calling 800-549-9535.
[01:47:18.762 --> 01:47:20.182]  That's ioniczone.com or toll free 800-549-9535.
[01:47:20.182 --> 01:47:20.683]  Ionic Zone.
[01:47:20.683 --> 01:47:22.524]  Thank you for listening to GCN.
[01:47:22.524 --> 01:47:25.345]  Be sure to visit GCNlive.com today.
[01:47:45.194 --> 01:47:46.435]  Alright, final segment.
[01:47:46.435 --> 01:47:47.556]  Look, I'm not tootin' my horn.
[01:47:47.556 --> 01:47:48.917]  Remember about two weeks ago?
[01:47:48.917 --> 01:47:51.538]  It was on a Friday.
[01:47:51.538 --> 01:48:01.184]  A lady in Texas claimed at an ATM she was attacked by a black guy who carved a Barack Obama bee on her face and sexually assaulted her.
[01:48:01.184 --> 01:48:01.885]  I read the article.
[01:48:03.326 --> 01:48:07.408]  Right after it came out, it went on air on the weekday show and said, this is going to end up being staged.
[01:48:07.408 --> 01:48:08.988]  I'm sure of it.
[01:48:08.988 --> 01:48:10.149]  Look, the bee is backwards.
[01:48:10.149 --> 01:48:11.649]  She carved it in a mirror.
[01:48:11.649 --> 01:48:12.890]  That eye isn't swollen.
[01:48:12.890 --> 01:48:13.650]  That's makeup.
[01:48:13.650 --> 01:48:14.851]  She didn't want a medical report.
[01:48:14.851 --> 01:48:15.831]  It's fake.
[01:48:15.831 --> 01:48:17.532]  Two days later, it was admitted it was fake.
[01:48:17.532 --> 01:48:19.513]  Look, I'm not that smart, folks.
[01:48:19.513 --> 01:48:21.053]  I understand baloney.
[01:48:21.053 --> 01:48:26.216]  I'm a real investigator, and I'm telling you, I've been investigating the government, and they're a pack of criminals.
[01:48:26.216 --> 01:48:27.456]  Now, what did that woman do?
[01:48:27.456 --> 01:48:29.237]  This isn't about that puppet Barack Obama.
[01:48:29.237 --> 01:48:31.998]  The point is, she ran a false flag attack.
[01:48:33.479 --> 01:48:35.261]  Now that's right out of the Army Field Manual.
[01:48:35.261 --> 01:48:37.543]  They ought to go put her in Special Forces.
[01:48:37.543 --> 01:48:38.964]  That's what they do.
[01:48:38.964 --> 01:48:39.865]  The Russians do it.
[01:48:39.865 --> 01:48:41.327]  All these governments do it.
[01:48:41.327 --> 01:48:44.309]  And I'm sick of people living in denial.
[01:48:44.309 --> 01:48:46.371]  Government-sponsored terror is real.
[01:48:46.371 --> 01:48:47.452]  It's happening.
[01:48:47.452 --> 01:48:52.037]  And I had to take the heat day one going on air on 9-11 seven years ago and say it was an inside job.
[01:48:52.037 --> 01:48:55.400]  And we've exposed it to such an extent they may not stage more terror in the future.
[01:48:56.696 --> 01:48:59.398]  And I salute all of you who are in 9-11 Truth and all you go through.
[01:48:59.398 --> 01:49:02.041]  And all these national TV programs attacking me?
[01:49:02.041 --> 01:49:02.862]  I don't care.
[01:49:02.862 --> 01:49:04.223]  Because the truth is what matters.
[01:49:04.223 --> 01:49:07.686]  And I'm willing to sacrifice myself and my name to get the truth out.
[01:49:07.686 --> 01:49:12.070]  But in the end, as Mark Twain said, patriots end up winning.
[01:49:12.070 --> 01:49:20.157]  He said in the beginning, a patriot's a scarce man, hated and feared and scorned, but in time, when his cause succeeds, the timid join him, because then it costs nothing to be a patriot.
[01:49:20.157 --> 01:49:21.538]  Let's rampage through your calls.
[01:49:21.538 --> 01:49:23.520]  Chris, in Florida, you're on the air worldwide.
[01:49:24.451 --> 01:49:40.680]  Speaking of the pineal gland, pineal comes from pine or pine cone and end on a pine cone looks like a lotus or the thousand petaled lotus which is spoken of in yoga and Paramahansa Yogananda who brought yoga to America in the 20s
[01:49:41.640 --> 01:49:46.901]  I wrote in this book, Autobiography of a Yogi, that's focused on the third eyes.
[01:49:46.901 --> 01:49:51.642]  Essentially, I'm paraphrasing, is a way to make your life a meditation.
[01:49:51.642 --> 01:50:08.126]  And I took that to heart, and I very much can speak from experience that it's a way that the New World Order, the tyrants are using to bring down our awareness of the pineal gland.
[01:50:08.126 --> 01:50:10.027]  Well, look, bottom line scientifically,
[01:50:11.221 --> 01:50:18.184]  Fluoride drunk for more than just a few years, and you can go read the studies, gives you a 20 point IQ reduction.
[01:50:18.184 --> 01:50:21.645]  So, there you go.
[01:50:21.645 --> 01:50:23.986]  Go ahead, sir.
[01:50:23.986 --> 01:50:24.626]  Let him go.
[01:50:24.626 --> 01:50:27.107]  No, I appreciate your call.
[01:50:27.107 --> 01:50:31.529]  Let's go ahead now and talk to Charles in California.
[01:50:31.529 --> 01:50:33.629]  You're on the air.
[01:50:33.629 --> 01:50:34.910]  Actually, I went to the wrong caller.
[01:50:34.910 --> 01:50:35.950]  I got somebody here.
[01:50:35.950 --> 01:50:37.031]  Charles in California.
[01:50:37.031 --> 01:50:37.531]  You're on the air.
[01:50:37.531 --> 01:50:37.871]  Go ahead.
[01:50:38.542 --> 01:50:40.424]  Hey Alex, keep planting those seeds, man.
[01:50:40.424 --> 01:50:41.464]  I listen to you every day.
[01:50:41.464 --> 01:50:43.106]  I'm only 21 years old.
[01:50:43.106 --> 01:50:46.549]  I could be doing a lot of other things, but this is the most important thing.
[01:50:46.549 --> 01:50:48.530]  Uh, I called you on Friday.
[01:50:48.530 --> 01:50:51.913]  Just want to finish up that point about the Obama gun thing.
[01:50:51.913 --> 01:50:53.995]  My thought was that they're going to use that event.
[01:50:54.950 --> 01:50:58.452]  And, uh, to get everybody to go along with the gun banning that he's gonna do.
[01:50:58.452 --> 01:51:00.173]  Cause we know he's gonna ban all guns.
[01:51:00.173 --> 01:51:01.254]  Handguns, shotguns.
[01:51:01.254 --> 01:51:03.035]  We know he said he wants to ban a lot of them.
[01:51:03.035 --> 01:51:05.716]  I mean, just... Oh, but you don't like black people.
[01:51:05.716 --> 01:51:06.677]  It has nothing to do with that.
[01:51:06.677 --> 01:51:07.917]  He's a gun grabbing.
[01:51:07.917 --> 01:51:08.878]  But so is McCain!
[01:51:10.316 --> 01:51:15.281]  Okay, also another thing is you mentioned aspartame, which is an excitotoxin.
[01:51:15.281 --> 01:51:18.464]  The other excitotoxin, which is just destroying this whole country.
[01:51:18.464 --> 01:51:18.704]  MSG.
[01:51:18.704 --> 01:51:20.086]  You know about it.
[01:51:20.086 --> 01:51:21.327]  Monosodium glutamate.
[01:51:21.327 --> 01:51:21.887]  Deadly.
[01:51:21.887 --> 01:51:24.570]  MSG, which is basically in everything.
[01:51:24.570 --> 01:51:24.970]  Hidden in 70...
[01:51:26.547 --> 01:51:32.132]  70 plus ingredients and everybody needs to keep an eye on that, whoever's, you know, listening and believes this stuff.
[01:51:32.132 --> 01:51:34.474]  And everyone should listen to Alex Jones.
[01:51:34.474 --> 01:51:35.595]  Trust everything he says.
[01:51:35.595 --> 01:51:38.897]  It's all, you don't even have to trust, like he says, research it up.
[01:51:38.897 --> 01:51:40.358]  It's all out there.
[01:51:40.358 --> 01:51:41.700]  And I just want to thank you again, man.
[01:51:41.700 --> 01:51:43.001]  I appreciate all your guests.
[01:51:43.001 --> 01:51:44.482]  Hey, we appreciate you, my friend.
[01:51:44.482 --> 01:51:46.343]  Maggie in Texas, you're on the air.
[01:51:46.343 --> 01:51:48.365]  Hello, Alex.
[01:51:48.365 --> 01:51:49.586]  Hi.
[01:51:49.586 --> 01:51:54.089]  I just wanted to let you know that a serious campaign to
[01:51:54.983 --> 01:51:59.727]  The challenge for a nation in Austin to get rid of it, i.e., is us.
[01:51:59.727 --> 01:52:10.455]  Well, I mean, even the EPA and FDA have had to admit that it's forced medication, it's illegal, they've removed it in Europe, it's admittedly deadly poison, and it's up to the people to get out there and do it.
[01:52:10.455 --> 01:52:21.164]  I mean, look, your children are being assaulted, you're being assaulted, and we sit here nationwide like the people that sat there for 30 minutes calling 911 while this guy beat this baby to death in the street.
[01:52:22.024 --> 01:52:25.445]  I mean, it's that attitude of laying down, it's gotta stop.
[01:52:25.445 --> 01:52:26.605]  I can't do it all.
[01:52:26.605 --> 01:52:27.165]  Exactly.
[01:52:27.165 --> 01:52:40.187]  Well, a bunch of us are very mad and very upset, and we are getting on this, and our campaign, which is fundamentally an education campaign to begin with, will begin to move very... How do folks get involved?
[01:52:40.187 --> 01:52:42.468]  Do you have a website, like Austins Against Floor Out or something?
[01:52:42.468 --> 01:52:44.088]  You know what?
[01:52:44.088 --> 01:52:46.228]  I've purchased the domain name.
[01:52:46.228 --> 01:52:49.929]  It's not up yet, though, but people who are interested can
[01:52:51.129 --> 01:53:05.322]  You can email to this address fluoride.info, that is f-l-u-o-r-i-d-e dot i-n-f-o at yahoo.com.
[01:53:05.322 --> 01:53:09.626]  Okay, great, but people need to just take action, period, on all these issues.
[01:53:09.626 --> 01:53:10.787]  Okay?
[01:53:10.787 --> 01:53:13.510]  Let's go ahead and talk to James in Oklahoma.
[01:53:13.510 --> 01:53:14.311]  James, you're on the air.
[01:53:15.071 --> 01:53:17.433]  Hi Alex, this is James Nathanael.
[01:53:17.433 --> 01:53:22.717]  I just wanted to kind of concur with all that you said about the mind control with the mass media and this and that.
[01:53:22.717 --> 01:53:26.560]  What I wanted to bring up was last night's episode of the new Knight Rider series.
[01:53:38.207 --> 01:53:58.366]  They were going to go bust these terrorists that were going to take this thermonuclear-looking bomb in the back of a five-ton military truck and blow up a dam, and when they were kind of leading into it, telling him what his mission was and this and that, they openly referred to the terrorists as constitutionalists, and anybody that has key-voted that or wants to go back and check it can do it.
[01:53:58.846 --> 01:54:02.689]  But they referred to people that are constitutionalists by comparing them with terrorists.
[01:54:02.689 --> 01:54:03.969]  And then cops watch that.
[01:54:03.969 --> 01:54:05.470]  I have the police handbooks.
[01:54:05.470 --> 01:54:08.092]  It's in my film, Road to Tyranny, where FEMA teaches police.
[01:54:08.092 --> 01:54:09.333]  The Founding Fathers are bad.
[01:54:09.333 --> 01:54:12.055]  Anybody that talks about the Bill of Rights or Constitution is bad.
[01:54:12.055 --> 01:54:15.156]  And they're brainwashing them in all these TV shows and movies.
