[00:00:00.009 --> 00:00:04.090]  You are listening to GCN, the Genesis Communications Radio Network.
[01:35:28.081 --> 01:35:38.290]  Yeah, maybe people missed that last clip, but she was literally saying that schoolrooms in the United States didn't have maps, and that students didn't have access to maps, and that's why they didn't know where the things were.
[01:35:38.290 --> 01:35:48.539]  No, they teach you about political correctness, and how to ninny, and how to spy on your parents, and how to be a thug, and how to snort cocaine in the public schools, and how to be mindless consumers.
[01:35:48.539 --> 01:35:49.260]  That's what you're taught.
[01:35:49.260 --> 01:35:53.944]  Yeah, you're taught that you will achieve more if you're part of sports and you go with the quote-unquote norm.
[01:35:54.525 --> 01:35:57.069]  And how to regurgitate BS out of textbooks.
[01:35:57.069 --> 01:35:58.832]  Yeah, and dress like everybody else.
[01:35:58.832 --> 01:35:59.674]  That's basically it.
[01:35:59.674 --> 01:36:03.060]  There's little to no education left in this country, let alone the world.
[01:36:03.789 --> 01:36:05.610]  It's very upsetting, Alex.
[01:36:05.610 --> 01:36:06.350]  I see it more and more.
[01:36:06.350 --> 01:36:11.752]  I mean, I know a bunch of young people... I guarantee you, Miss South Carolina thinks the Russians attacked Georgia, USA.
[01:36:11.752 --> 01:36:12.952]  Yeah, and this is really tough for me.
[01:36:12.952 --> 01:36:20.935]  You know, I have a younger sister, I have a little niece, and to see them grow up in this thing... I mean, my younger sister... I mean, I feel bad for her.
[01:36:20.935 --> 01:36:24.076]  She asks me a lot of things, and she's like, well, they're not teaching me this stuff in school.
[01:36:24.076 --> 01:36:24.937]  Where are you getting this from?
[01:36:24.937 --> 01:36:28.418]  And I'm showing her the mainstream news sources, and she's like, wow, this is incredible.
[01:36:29.438 --> 01:36:33.943]  And she's just like, it's all out in the open, like the Eastern Chronicle says, they built camps for the American people.
[01:36:33.943 --> 01:36:34.223]  Yeah.
[01:36:34.223 --> 01:36:37.286]  You tell us about it and they go, there ain't no such thing, where are your people at?
[01:36:37.286 --> 01:36:38.607]  Oooh, it's funny!
[01:36:38.607 --> 01:36:48.237]  Yeah, you know, there's no North American Union, there's no Trans-Texas Corridor, there's no proposal, you know, there's no European Union passing the Lisbon Treaty after it failed.
[01:36:48.237 --> 01:36:50.159]  I mean, they're just going along with it, it doesn't even matter.
[01:36:50.159 --> 01:36:51.140]  They don't even know what a treaty is!
[01:36:51.641 --> 01:36:52.482]  It's a good point.
[01:36:52.482 --> 01:36:58.847]  But when you hear conservative talk radio who thinks they know what's going on, they're just another grade of propaganda.
[01:36:58.847 --> 01:37:06.373]  Bob Chapman, again, how do you see this affecting oil prices, what's happened?
[01:37:06.373 --> 01:37:15.039]  Well, I think it can't do anything but make them firmer, and perhaps higher, at least in the short term.
[01:37:15.039 --> 01:37:17.121]  Because nobody knows where this is really going.
[01:37:17.902 --> 01:37:19.743]  And it is expanding.
[01:37:19.743 --> 01:37:23.264]  And there's no question that Russia is going to take over Georgia.
[01:37:23.264 --> 01:37:25.404]  And it's going to spank them.
[01:37:25.404 --> 01:37:34.187]  And it's going to absorb the two provinces in northern Georgia, which, as you said, for centuries were part of Russia.
[01:37:34.187 --> 01:37:36.288]  And they will become part of Russia.
[01:37:36.288 --> 01:37:42.610]  And they probably will tell Georgia that they're not going to have an army anymore either.
[01:37:43.808 --> 01:37:46.635]  And the opposite of that is if the U.S.
[01:37:46.635 --> 01:37:51.226]  moves in, we're going to lose a number of major U.S.
[01:37:51.226 --> 01:37:51.547]  cities.
[01:37:51.547 --> 01:37:52.529]  It's going to be a nuclear war.
[01:37:54.031 --> 01:37:54.931]  Well, it has been.
[01:37:54.931 --> 01:37:56.552]  Europe will be devastated.
[01:37:56.552 --> 01:37:57.293]  Well, it has been.
[01:37:57.293 --> 01:38:00.474]  And so will Russia, but it's going to be awful.
[01:38:00.474 --> 01:38:06.657]  There are several reports I've got here of small convoys of NATO forces who are already in the country moving north.
[01:38:06.657 --> 01:38:15.021]  I hope they don't do what Wesley Clark tried when he ordered NATO to attack the Russians in Serbia and in Pristina in the capital of Kosovo.
[01:38:15.021 --> 01:38:19.764]  And thank God, General Peter Jackson, the head of NATO, refused that.
[01:38:19.764 --> 01:38:20.924]  Remember that?
[01:38:20.924 --> 01:38:21.745]  Yeah, I certainly do.
[01:38:24.372 --> 01:38:28.194]  Yeah, so, you know, everything is, quote, fluid.
[01:38:28.194 --> 01:38:30.596]  And we don't know where it's all going to go.
[01:38:30.596 --> 01:38:31.316]  It's all bad.
[01:38:31.316 --> 01:38:32.958]  There's nothing good about it.
[01:38:32.958 --> 01:38:42.103]  Yes, it would tend to make oil prices stronger, and maybe much more so than they should be.
[01:38:42.103 --> 01:38:45.706]  The oil situation is a natural correction.
[01:38:45.706 --> 01:38:50.749]  There was excessive speculation, not as much as what the CFTC says.
[01:38:51.627 --> 01:38:58.192]  But I think it was about 30%, so a 30% haircut would bring it back to somewhere between 1 and 120.
[01:38:58.192 --> 01:38:59.833]  But you said that would happen three months ago.
[01:38:59.833 --> 01:39:08.439]  You said it would go up to about 145, it went up to 149, then you said it would go down in the late summer, early fall, but back up next summer to an all-time high.
[01:39:08.439 --> 01:39:09.940]  Are you still saying that?
[01:39:09.940 --> 01:39:11.441]  Yes.
[01:39:11.441 --> 01:39:14.763]  Yes, and maybe it won't be much of an all-time high.
[01:39:14.763 --> 01:39:16.884]  It all depends on the world situation.
[01:39:16.884 --> 01:39:19.146]  These things are very difficult to call.
[01:39:19.989 --> 01:39:22.452]  I mean, there's so many things going on.
[01:39:22.452 --> 01:39:28.519]  I mean, we might have, uh, you know, the 82nd Airborne jumping into Georgia tomorrow morning.
[01:39:28.519 --> 01:39:30.000]  We just don't know.
[01:39:30.000 --> 01:39:31.362]  Well, that's in the U.S.
[01:39:31.362 --> 01:39:32.083]  They want peaches.
[01:39:33.380 --> 01:39:42.404]  Okay, you know, how dare the Russians attack Georgia and USA Americans such as such as oh my god I'm joking about Miss South Carolina.
[01:39:42.404 --> 01:39:43.424]  Okay, let's keep going.
[01:39:43.424 --> 01:39:46.846]  I couldn't even I couldn't even make head to tail of what she was saying.
[01:39:46.846 --> 01:39:50.607]  I mean, this girl is not too swift.
[01:39:50.607 --> 01:39:52.288]  It's unbelievable.
[01:39:52.288 --> 01:39:53.129]  Let's go ahead.
[01:39:53.129 --> 01:39:56.870]  Incidentally, my daughter teaches school.
[01:39:56.870 --> 01:39:58.711]  Fortunately at the fourth grade level.
[01:40:00.241 --> 01:40:12.549]  But, you know, they have their nomenclature that they have to follow, but she deviates every time she can and puts in the kind of information that you and I talk about.
[01:40:12.549 --> 01:40:13.069]  That's right.
[01:40:13.069 --> 01:40:20.834]  The only thing keeping anything going in this country is that there are still good teachers that break the rules and get off the curricula and start actually teaching.
[01:40:20.834 --> 01:40:22.615]  Carl in Canada, you're on the air.
[01:40:22.615 --> 01:40:23.196]  Go ahead, Carl.
[01:40:23.816 --> 01:40:27.541]  There are a couple comments regarding that ghost recon.
[01:40:27.541 --> 01:40:37.173]  Maybe they are going to play this thing out, you know, if Ukraine gets involved and then Russia could kick out the Georgian government and the Ukrainian government and rebuild their empire.
[01:40:37.173 --> 01:40:43.020]  Then the United States, they will have a new felt enemy to replace this war on terror since it's not working.
[01:40:43.120 --> 01:40:48.184]  Well, they've been saying they want to bring the Cold War back, but let me stop you because we talked about that last hour.
[01:40:48.184 --> 01:40:55.109]  Tom Clancy wrote a book about hijackers flying in the World Trade Center a year before his Ghost Recon video game synopsis.
[01:40:55.109 --> 01:41:08.399]  It's where in 2008, this was done in 2001, the U.S.-backed forces basically clash with the Russians in the very region where this is now happening in South Ossetia.
[01:41:08.399 --> 01:41:09.820]  Bob Chapman, what's that sound like to you?
[01:41:12.072 --> 01:41:16.035]  Uh, I guess he got a hold of some plans that were already put together.
[01:41:16.035 --> 01:41:17.596]  Well, we know that's right around the time U.S.
[01:41:17.596 --> 01:41:19.117]  forces were massed there.
[01:41:19.117 --> 01:41:23.580]  Uh, anything else, uh, that you want to, uh, say, Carl?
[01:41:23.580 --> 01:41:33.506]  Uh, no, um, I just still wondered if you heard about my, uh, the stuff that's been forwarded to you from the lawyer, from the, the Tehran Times covered my story.
[01:41:33.506 --> 01:41:37.869]  Yes, sir, I've gotten your emails hundreds of times where you're locked up in jail up in Canada.
[01:41:37.869 --> 01:41:39.330]  I appreciate your call.
[01:41:39.330 --> 01:41:41.151]  I mean, we can just repeat it over and over again, but, uh,
[01:41:41.906 --> 01:41:42.866]  Thank you, sir.
[01:41:42.866 --> 01:41:45.067]  Okay, let's jam in another phone call here.
[01:41:45.067 --> 01:41:47.048]  Let's talk to Vinny in New York.
[01:41:47.048 --> 01:41:49.208]  Vinny, you're on the air worldwide.
[01:41:49.208 --> 01:41:49.708]  Hey, Alex.
[01:41:49.708 --> 01:41:50.429]  How are you doing?
[01:41:50.429 --> 01:41:50.769]  Good.
[01:41:50.769 --> 01:41:54.710]  You know, I couldn't believe the story I just heard about this Ghost Recon thing.
[01:41:54.710 --> 01:42:00.252]  I called up the local news station here, News 12, Westchester County, New York, news12.com.
[01:42:00.252 --> 01:42:05.433]  I spoke to somebody there, and I recently spoke to the guy, Henry, there about the chemtrails and all that.
[01:42:05.433 --> 01:42:06.113]  And they just ignored it.
[01:42:06.113 --> 01:42:07.954]  I said, look, you people better wake up, because
[01:42:08.454 --> 01:42:09.134]  Guess what?
[01:42:09.134 --> 01:42:11.536]  I'm not going to be here next year, and neither are you.
[01:42:11.536 --> 01:42:15.998]  If you don't start telling the facts, I say go to InfoWars.com and check it out for yourself.
[01:42:15.998 --> 01:42:21.741]  If you want to record the show, I'll send you a copy of it, but I better see something on TV about it.
[01:42:21.741 --> 01:42:23.021]  Well, good!
[01:42:23.021 --> 01:42:23.942]  I'll tell you what, Alex.
[01:42:23.942 --> 01:42:32.986]  Remember in your movie, your interview with Aaron Russo, Architecture of Prison Plan, how he said they were going to try to take over the Caspian Sea to put a pipeline in and all that stuff?
[01:42:33.689 --> 01:42:33.909]  Yes.
[01:42:33.909 --> 01:42:37.472]  I mean, you know, that's very pretty oil, as far as I'm concerned.
[01:42:37.472 --> 01:42:41.136]  That's what I'm looking at it.
[01:42:41.136 --> 01:42:41.456]  I hear you.
[01:42:41.456 --> 01:42:44.198]  They're laughing at me in the control room, for people watching on TV.
[01:42:44.198 --> 01:42:45.760]  Fox News keeps calling me.
[01:42:45.760 --> 01:42:50.424]  I'm on Geraldo Rivera tonight, and they keep calling me over and over again, and I don't know.
[01:42:50.424 --> 01:42:51.124]  You never know what they're doing.
[01:42:51.124 --> 01:42:52.465]  I've got to call them during the break.
[01:42:52.465 --> 01:42:53.406]  No, I hear you.
[01:42:53.406 --> 01:42:55.388]  Absolutely, sir, and I appreciate your call.
[01:42:55.388 --> 01:42:56.529]  I have to multitask.
[01:42:56.529 --> 01:42:57.730]  I have a hundred things going on.
[01:42:58.519 --> 01:43:06.025]  You know they're now saying it's a conspiracy theory if you say that cell phones radiate your brain and that we are crazy and wear tinfoil hats.
[01:43:06.025 --> 01:43:12.351]  That's insanity because anytime you have a speaker on or you're next to a computer and the thing rings you can literally hear the radio waves and frequencies.
[01:43:12.351 --> 01:43:15.553]  Well no, there's thousands of studies admitting it gives you brain cancer.
[01:43:15.553 --> 01:43:21.899]  The point is there's now websites saying I'm crazy because I report that cell phones are bad for your brain and that I wear a tinfoil hat.
[01:43:22.459 --> 01:43:24.460]  What the hell are you people in total denial?
[01:43:24.460 --> 01:43:30.785]  I'm sorry, Georgia is in Russia, not in the US.
[01:43:30.785 --> 01:43:38.249]  Even terrible gas prices don't come close to the disaster of food costs from shortages already destroying millions of American families.
[01:43:38.249 --> 01:43:42.292]  Wheat for flour is already four times more expensive than it was about a year ago.
[01:43:42.292 --> 01:43:45.654]  Food costs continue to double because there's no food worldwide.
[01:43:45.774 --> 01:43:46.475]  I think so.
[01:44:05.171 --> 01:44:05.932]  I think so.
[01:44:29.187 --> 01:44:33.551]  If the cost of your prescriptions are getting out of control, you want to listen carefully to this.
[01:44:33.551 --> 01:44:41.538]  RxDrugCard.com is a simple, innovative program designed to give individuals the same purchasing power as large HMOs and insurance companies.
[01:44:41.538 --> 01:44:51.467]  As a member of RxDrugCard.com, you'll enjoy savings of up to 80% on all prescription medications at over 52,000 USA pharmacies, including Walmart, Walgreens, and Eckerds.
[01:44:51.707 --> 01:44:55.450]  Don't risk ruining your health by using cheap, counterfeit foreign drugs.
[01:44:55.450 --> 01:44:59.792]  This program provides savings on safe, genuine, FDA-approved medications.
[01:44:59.792 --> 01:45:10.079]  With low membership fees, unlimited use, no age or income requirements, and coverage for all pre-existing conditions, RxDrugCard.com is an absolute must for anyone who pays for their own prescriptions.
[01:45:10.079 --> 01:45:16.464]  Enroll today for as little as $4.50 per month at www.RxDrugCard.com and start saving immediately.
[01:45:16.464 --> 01:45:19.826]  RxDrugCard.com is backed by a 30-day money-back guarantee.
[01:45:19.826 --> 01:45:21.487]  Visit RxDrugCard.com.
[01:45:23.809 --> 01:45:25.090]  Or call 888-216-2461.
[01:45:25.090 --> 01:45:29.554]  That's 888-216-2461.
[01:45:29.554 --> 01:45:32.517]  Every week, thousands of violent crimes are committed.
[01:45:32.517 --> 01:45:34.659]  Don't let yourself become a statistic.
[01:45:34.659 --> 01:45:35.520]  Be smart.
[01:45:35.520 --> 01:45:36.301]  Be safe.
[01:45:36.301 --> 01:45:38.623]  Trust Pepper Spray instead of your luck.
[01:45:38.623 --> 01:45:44.108]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[01:45:44.428 --> 01:45:50.253]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[01:45:50.253 --> 01:45:52.274]  From big to small, we have it all.
[01:45:52.274 --> 01:45:56.098]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[01:45:56.098 --> 01:46:01.402]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[01:46:01.562 --> 01:46:04.843]  Pepperspray.com has great news for outdoor enthusiasts.
[01:46:04.843 --> 01:46:10.124]  Now you can protect yourself against possible animal attacks with safe, humane animal repellents.
[01:46:10.124 --> 01:46:14.165]  Featuring Counter Assault Bear Deterrent and Mace Brand Animal Repellent.
[01:46:14.165 --> 01:46:18.246]  Enter RADIO in the coupon box and you'll receive 10% off your order.
[01:46:18.246 --> 01:46:19.447]  So what are you waiting for?
[01:46:19.447 --> 01:46:22.908]  Go to P-E-P-P-E-R Spray dot com.
[01:46:22.908 --> 01:46:25.228]  That's Pepperspray.com or call 1-800-908-9988 today.
[01:46:29.921 --> 01:46:32.244]  Gas prices are out of control!
[01:46:32.244 --> 01:46:36.128]  Fight back by doing what thousands of listeners to the Alex Jones Show have done.
[01:46:36.128 --> 01:46:39.172]  Developed by a major oil company, a product that really works.
[01:46:39.172 --> 01:46:42.956]  Introducing SFR's Protect-to-Complete fuel system and engine treatment.
[01:46:42.956 --> 01:46:45.699]  Just one bottle increases mileage for up to six months.
[01:46:45.699 --> 01:46:49.223]  Fleet tested by major oil companies showing improvements in every car tested.
[01:46:49.463 --> 01:46:53.146]  Stop paying mechanics your hard-earned money to have your injection system cleaned.
[01:46:53.146 --> 01:46:59.030]  Protector cleans up to 95% of new injector condition in just one tankful and is safe for all cars.
[01:46:59.030 --> 01:47:06.495]  Tests conducted by General Motors conclude fuel injectors can partially plug in as little as 5,000 miles due to poor gasoline quality.
[01:47:06.495 --> 01:47:13.319]  Fight high fuel prices by purchasing a Protector fuel system treatment for only $9.95 and receive an engine treatment free at $12.95 value.
[01:47:14.540 --> 01:47:16.580]  Satisfaction guaranteed or your money back.
[01:47:16.580 --> 01:47:18.481]  Go to oilcompanysecret.com.
[01:47:18.481 --> 01:47:19.841]  That's oilcompanysecret.com.
[01:47:19.841 --> 01:47:20.581]  Or call 888-USE-SFR1.
[01:47:20.581 --> 01:47:20.861]  That's 888-873-7371.
[01:47:20.861 --> 01:47:22.002]  You are listening to GCN.
[01:47:22.002 --> 01:47:23.542]  Visit GCNlive.com today.
[01:47:43.455 --> 01:47:50.321]  I wanted to introduce Jason Bermas, filmmaker, on the InfoWars team to the Sunday audience.
[01:47:50.321 --> 01:47:55.825]  I know we have some Eminem affiliates that carry the Sunday show that don't carry the weekday show.
[01:47:55.825 --> 01:48:02.311]  He'll be sitting in for a full week when I'm covering the DNC live from that police state situation in Denver.
[01:48:03.403 --> 01:48:05.287]  The 22nd of the 28th.
[01:48:05.287 --> 01:48:07.911]  He'll be in here on that Sunday as well.
[01:48:07.911 --> 01:48:09.955]  And I'll be calling him with live reports on the eve of it here.
[01:48:09.955 --> 01:48:12.199]  Next weekend I'll be here for you.
[01:48:12.199 --> 01:48:15.785]  Bob Chapman, The International Forecaster.com is our guest.
[01:48:17.196 --> 01:48:19.098]  Burmus, plug your website.
[01:48:19.098 --> 01:48:20.699]  It's loosechange911.com.
[01:48:20.699 --> 01:48:25.563]  You've also got your MySpace, very popular websites.
[01:48:25.563 --> 01:48:27.685]  Yeah, loosechange911.com.
[01:48:27.685 --> 01:48:34.631]  I, myself, occasionally Dylan, Cory, and Jonathan from We Are Change Colorado put up some blog posts up there every day.
[01:48:34.631 --> 01:48:35.412]  It's a nice little site.
[01:48:35.412 --> 01:48:36.933]  What's funny about me plugging your website?
[01:48:36.933 --> 01:48:38.054]  Nothing's funny about it.
[01:48:38.054 --> 01:48:38.494]  It's good.
[01:48:38.494 --> 01:48:38.755]  Thank you.
[01:48:39.335 --> 01:48:40.797]  Burmese is always so smiley.
[01:48:40.797 --> 01:48:42.078]  Yeah, I'm a smiley guy.
[01:48:42.078 --> 01:48:46.242]  On top of that, you're going to see some trailers for Fabled Enemies coming out this week.
[01:48:46.242 --> 01:48:48.664]  After this, you know, me and you are going back to work on that.
[01:48:48.664 --> 01:48:50.386]  And then I'm going to be on Geraldo.
[01:48:50.386 --> 01:48:52.048]  Folks, don't say you're a traitor.
[01:48:52.048 --> 01:48:54.250]  Why are you on Geraldo or why are you on CNN?
[01:48:54.250 --> 01:48:55.391]  They have me on there.
[01:48:55.391 --> 01:48:56.252]  I don't turn it down.
[01:48:56.252 --> 01:48:57.233]  They have me on.
[01:48:58.234 --> 01:48:58.834]  Why would you?
[01:48:58.834 --> 01:49:00.555]  It's a chance for you to expand your audience.
[01:49:00.555 --> 01:49:02.256]  That's what this is all about, getting the word out.
[01:49:02.256 --> 01:49:04.757]  And if we have to break through the mainstream... Well, new D.C.
[01:49:04.757 --> 01:49:08.299]  madam stuff came out with her lawyer now saying, she said, if I die, they killed me.
[01:49:08.299 --> 01:49:10.040]  Well, she told me that too, and on air.
[01:49:10.040 --> 01:49:13.141]  And not only that, but I guess that there's some documents buried somewhere or something.
[01:49:13.141 --> 01:49:14.762]  Yeah, well, I'm supposedly on a roll all night.
[01:49:14.762 --> 01:49:19.944]  They keep calling me over and over again, and I call them during the break, and yes, I'm on there tonight, and so what?
[01:49:19.944 --> 01:49:20.405]  Okay, here we go.
[01:49:20.405 --> 01:49:21.265]  No, it's a good thing.
[01:49:21.265 --> 01:49:21.785]  Yeah.
[01:49:21.785 --> 01:49:23.046]  I think, I mean, honestly.
[01:49:23.266 --> 01:49:26.809]  I'd rather go in there and talk about Russia being attacked, but Bob Chapman's our guest.
[01:49:26.809 --> 01:49:28.950]  I want to run through a bunch of calls here at the end.
[01:49:28.950 --> 01:49:32.813]  Just have a quick question or comment, and Bob can comment on that.
[01:49:32.813 --> 01:49:36.036]  Frank, in California, you're on the air worldwide.
[01:49:36.036 --> 01:49:37.937]  Alex, Bob, great to talk to you.
[01:49:37.937 --> 01:49:41.980]  This is basically genocide, what Georgia has done, and I agree with Bob.
[01:49:41.980 --> 01:49:43.902]  Georgia didn't attack anybody with peaches?
[01:49:43.902 --> 01:49:45.103]  Alright, I think we're joking.
[01:49:45.103 --> 01:49:45.343]  Go ahead.
[01:49:46.078 --> 01:49:47.980]  Well, I agree with what Bob is saying.
[01:49:47.980 --> 01:50:01.154]  This is a prelude, I think this is a prelude as far as going into Iran, but also I think of another black op so-called terrorist attack in the United States of America, which basically starts launching the nuclear holocaust and population control.
[01:50:01.154 --> 01:50:03.356]  And I want to know what Bob thinks about that.
[01:50:03.356 --> 01:50:06.119]  I think this is where we start the beginning process
[01:50:06.719 --> 01:50:08.201]  Absolutely, and we reported on it.
[01:50:22.842 --> 01:50:34.047]  We follow him extremely closely and have ever since 69, when they started to get together, he was one of the guiding lights of the Trilateral Commission.
[01:50:34.047 --> 01:50:35.427]  Presidents don't run anything.
[01:50:35.427 --> 01:50:42.210]  It's these key gophers for the big money elites, like Brzezinski, like Henry Kissinger, like
[01:50:44.191 --> 01:50:45.092]  George Schultz.
[01:50:45.092 --> 01:50:46.654]  That's who we watch.
[01:50:46.654 --> 01:50:49.157]  Ladies and gentlemen, Lord Rothschild, David Rockefeller.
[01:50:49.157 --> 01:50:53.883]  We watch them very carefully while everybody else sucks their thumbs and watches the Olympics.
[01:50:53.883 --> 01:50:55.745]  Frank in California.
[01:50:55.745 --> 01:50:57.647]  We just went to Frank in California.
[01:50:57.647 --> 01:50:59.229]  Let's go to Mike in New Jersey.
[01:50:59.229 --> 01:50:59.950]  Mike, you're on the air.
[01:51:00.530 --> 01:51:03.731]  How you doing, Alex and Bob and Jason?
[01:51:03.731 --> 01:51:07.132]  Well, the gentleman that just called us a second was more or less what I was thinking about.
[01:51:07.132 --> 01:51:13.014]  Like, more or less with war and everything, it's like you talked about killing 85% of the population.
[01:51:13.014 --> 01:51:21.236]  And sometimes what I'm thinking is more or less that Russia and the United States and all the elites, you know, I feel that they more or less, they all work together in one way.
[01:51:21.236 --> 01:51:25.057]  So if you start a war, you're killing the population anyway.
[01:51:25.057 --> 01:51:28.318]  But if it does turn out to be a big disaster and you have all these big
[01:51:36.882 --> 01:51:37.463]  Absolutely.
[01:51:37.463 --> 01:51:47.248]  Look, the criminals that run our country, Bill Clinton and NATO, attacked Serbia through their Muslim surrogates in Albania, a state up against Kosovo, south of it.
[01:51:47.248 --> 01:51:49.869]  It's the same deal here.
[01:51:49.869 --> 01:51:55.352]  And then once the Russians or the Serbs or anybody else defends themselves, it's, oh my God,
[01:51:56.383 --> 01:51:58.306]  Oh, it's so horrible.
[01:51:58.306 --> 01:52:00.869]  Look at those evil Russians and those evil Serbs.
[01:52:00.869 --> 01:52:03.472]  Or in the case of Iran, the U.S.
[01:52:03.472 --> 01:52:07.397]  funded Saddam and gave him the satellite intel and the advisors to attack Iran.
[01:52:07.397 --> 01:52:11.281]  And every American I talk to thinks Iran attacked Iraq, Bob.
[01:52:11.281 --> 01:52:13.244]  Yeah, that's understandable.
[01:52:14.278 --> 01:52:17.699]  It scares me how dumbed down the population has gotten.
[01:52:17.699 --> 01:52:19.760]  Let's go to Randy in Chicago.
[01:52:19.760 --> 01:52:21.420]  You're on the air, go ahead.
[01:52:21.420 --> 01:52:22.700]  Hey Alex, how you doing guys?
[01:52:22.700 --> 01:52:23.661]  Good.
[01:52:23.661 --> 01:52:28.002]  I wanted to add to Jason's comment at the beginning of the show.
[01:52:28.002 --> 01:52:35.684]  If they're using gangs as the replacement of the Method, the two other gangs you better pay attention to, Shattered Union and Oil Wars.
[01:52:36.980 --> 01:52:39.681]  Yeah, Shattered Union is where the U.N.
[01:52:39.681 --> 01:52:41.662]  sets off a nuke in D.C.
[01:52:41.662 --> 01:52:42.482]  to make the U.S.
[01:52:42.482 --> 01:52:45.803]  fall and then bring in I-4 international forces.
[01:52:45.803 --> 01:52:47.804]  Go to YouTube and pull up Shattered Union.
[01:52:47.804 --> 01:52:49.585]  Let's go out of the show with Shattered Union.
[01:52:49.585 --> 01:52:51.486]  Go to YouTube, Shattered Union, get it ready.
[01:52:51.486 --> 01:52:52.286]  It's a two-minute clip.
[01:52:52.286 --> 01:52:53.526]  Go ahead.
[01:52:53.526 --> 01:52:56.688]  And McKee is going to be the next president for Shattered Union.
[01:52:56.688 --> 01:53:00.049]  He would be the perfect, unpopular one to take out.
[01:53:00.049 --> 01:53:00.949]  God only knows.
[01:53:00.949 --> 01:53:01.510]  I know this.
[01:53:01.510 --> 01:53:03.750]  We've all got front-row seats to Armageddon.
[01:53:03.750 --> 01:53:04.911]  So let's sit back and, you know,
[01:53:05.794 --> 01:53:07.015]  Enjoy it.
[01:53:07.015 --> 01:53:07.955]  Remember, the government loves you.
[01:53:07.955 --> 01:53:09.196]  Everything's fine.
[01:53:09.196 --> 01:53:13.339]  Okay, let's go ahead and talk to Mike in Florida.
[01:53:13.339 --> 01:53:16.481]  Phone system's down today, folks, so it's all over the map.
[01:53:16.481 --> 01:53:18.682]  Mike is on line 7.
[01:53:18.682 --> 01:53:19.943]  Okay, not line 6.
[01:53:19.943 --> 01:53:20.683]  Mike, you're on the air.
[01:53:20.683 --> 01:53:21.544]  Go ahead.
[01:53:21.544 --> 01:53:23.945]  Yes, hello, Alex.
[01:53:23.945 --> 01:53:27.587]  Why do they keep calling it World War IV?
[01:53:27.587 --> 01:53:29.368]  Is that to sanitize it?
[01:53:29.368 --> 01:53:30.229]  Bob, explain it to him.
[01:53:31.383 --> 01:53:33.384]  I mean, I know they're doing it because of the Cold War.
[01:53:33.384 --> 01:53:37.826]  Yeah, they call the Cold War a World War III, so the neocons call it World War IV, Bob.
[01:53:37.826 --> 01:53:44.088]  You know, it all depends on what you count.
[01:53:44.088 --> 01:53:50.691]  The Iraq-Afghanistan affair is that World War III, or isn't it?
[01:53:50.691 --> 01:53:54.192]  The neocons call it World War IV.
[01:53:54.192 --> 01:53:55.513]  Zbigniew calls it Number 3.
[01:53:57.060 --> 01:54:04.191]  I personally think he's going to try to stay on as president and postpone the election.
[01:54:05.114 --> 01:54:05.975]  And use all this.
[01:54:05.975 --> 01:54:09.276]  Why would he have put Directive 51 in play last year?
[01:54:09.276 --> 01:54:11.738]  Well, they can see, pass that on to another President.
[01:54:11.738 --> 01:54:13.078]  Presidents are just puppets.
[01:54:13.078 --> 01:54:15.359]  They may pass it on to Barack Obama or anybody else.
[01:54:15.359 --> 01:54:18.361]  For those that don't know, that makes the President a Supreme Dictator.
[01:54:18.361 --> 01:54:19.382]  Go read it for yourself.
[01:54:19.382 --> 01:54:20.382]  PDD 51.
[01:54:20.382 --> 01:54:21.723]  Congress is asked to see it.
[01:54:21.723 --> 01:54:22.763]  They're told, shut your mouth.
[01:54:22.763 --> 01:54:24.484]  You're not allowed to see the full document.
[01:54:24.484 --> 01:54:25.605]  Appreciate that call.
[01:54:25.605 --> 01:54:26.825]  Did you guys find Shattered Union?
[01:54:26.825 --> 01:54:27.366]  Good.
[01:54:27.366 --> 01:54:28.646]  Okay, we're going to play that going out.
[01:54:28.646 --> 01:54:29.607]  It's a two-minute mark.
[01:54:29.607 --> 01:54:30.908]  Just roll with it.
[01:54:30.908 --> 01:54:33.309]  Let's go ahead now and jam in another call here.
[01:54:34.269 --> 01:54:36.892]  Let's talk to Scott in Georgia.
[01:54:36.892 --> 01:54:40.134]  That's in the United States, ladies and gentlemen.
[01:54:40.134 --> 01:54:40.955]  Go ahead, Scott.
[01:54:40.955 --> 01:54:42.196]  You're on the air.
[01:54:42.196 --> 01:54:45.118]  Yeah, thank you for taking my call.
[01:54:45.118 --> 01:54:49.061]  I was a friend of... How are you taking the Russian attack right now?
[01:54:49.061 --> 01:54:52.604]  I'm joking, because the average American thinks the Russians attacked Georgia, but go ahead.
[01:54:52.604 --> 01:54:55.487]  No, I know that's probably true.
[01:54:55.487 --> 01:54:58.769]  I feel that they're gauging Russia.
[01:54:58.769 --> 01:55:02.893]  In Catholic prophecy, we know that Russia is going to attack
[01:55:03.706 --> 01:55:05.688]  Not really, Eddie.
[01:55:05.688 --> 01:55:09.030]  Again, we don't know which way this whole thing is going to go.
[01:55:09.030 --> 01:55:10.812]  All we know is that the bad stuff is in place.
