[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[00:27:22.701 --> 00:27:24.982]  So, they never engage in fake news.
[00:27:25.183 --> 00:27:25.443]  No.
[00:27:26.063 --> 00:27:28.084]  They only tell us the truth.
[00:27:29.477 --> 00:27:33.840]  Again, did Nunes invent his own smoking gun?
[00:27:34.581 --> 00:27:38.424]  That's the talking point when we have the smoking guns.
[00:27:39.104 --> 00:27:46.830]  We have the fraudulent warrants they got, which the court says in the memo, you guys aren't following the law doing this.
[00:27:48.220 --> 00:27:49.921]  Until the President orders them to do it.
[00:27:50.721 --> 00:27:51.941]  And that's what's blacked out.
[00:27:52.022 --> 00:27:59.625]  And that's what Daily Beast isn't telling you is, Barack Obama's name is in these documents.
[00:28:00.025 --> 00:28:00.485]  POTUS.
[00:28:01.285 --> 00:28:02.886]  President of the United States.
[00:28:03.386 --> 00:28:05.407]  And that's what no one is supposed to ever say.
[00:28:05.647 --> 00:28:13.210]  They have a talking point now for over a year and a half that President Obama has never been involved in any political action against Trump.
[00:28:14.531 --> 00:28:20.415]  President Obama has never been involved with the FISA court against anybody who's a U.S.
[00:28:20.435 --> 00:28:20.815]  citizen.
[00:28:21.175 --> 00:28:25.598]  President Obama is above reproach and what did Nunes and what did
[00:28:26.914 --> 00:28:33.120]  All the other congressional Republicans that have the courage to tell the truth tell you is going to happen.
[00:28:33.901 --> 00:28:35.542]  What did Congressman Gates say?
[00:28:36.103 --> 00:28:43.630]  They've all said what's in the memo exposes Obama running it and will destroy his legacy as Mr. Goody Two-Shoes.
[00:28:44.051 --> 00:28:44.911]  Mr. Goody Two-Shoes, he...
[00:28:45.632 --> 00:28:49.854]  He persecuted the press, he persecuted whistleblowers like no one we've ever seen!
[00:28:50.494 --> 00:29:00.798]  So that's what's really in the memo, is that Obama ran this and used illegal, fake info to get a fake warrant to surveil his political... I want to apologize to listeners.
[00:29:01.778 --> 00:29:04.979]  I lied to you when I told you Trump would win the election, and he did.
[00:29:05.819 --> 00:29:10.101]  I lied to you when I told you that they're admitting that fluoride's causing brain damage, and it turned out I was right.
[00:29:10.681 --> 00:29:15.323]  I lied to you about a global government existing that was trying to take control of our country, which they now admit is true.
[00:29:15.743 --> 00:29:17.786]  Is this global governance at last?
[00:29:17.886 --> 00:29:20.308]  Is it one world, the central bankers in charge?
[00:29:20.649 --> 00:29:22.411]  I guess, actually, I didn't lie to you.
[00:29:22.972 --> 00:29:35.025]  And I'm on air every day fighting the globalists as they try to shut down free speech in America, as they try to derail our recovery, as they try to fold us into their world government, open up our borders, hand us over to the Islamic Caliphate.
[00:29:35.806 --> 00:29:36.346]  I'll tell you this.
[00:29:36.806 --> 00:29:44.609]  When I'm on air, I wear a sports jacket and a nice shirt because I respect the fact that you're tuning in and watching and listening to what I have to say.
[00:29:45.029 --> 00:29:47.610]  But we're involved in very, very important activities.
[00:29:48.630 --> 00:29:52.832]  And that's why I want to reach out to you right now and explain something that's so critical.
[00:29:53.272 --> 00:29:58.493]  And that if you grasp it, we'll be able to literally turn the tide even faster against the globalists.
[00:29:59.014 --> 00:29:59.574]  And it's just this.
[00:30:00.754 --> 00:30:03.976]  I'm not always wearing this, ladies and gentlemen.
[00:30:03.996 --> 00:30:19.227]  I dress like this to politically get messages out to folks that aren't awake, to spur debates, but to also meet like-minded people who are out there feeling like they're alone and don't know how many of us there are.
[00:30:19.887 --> 00:30:29.414]  It's like Martin Luther King said, it's all of us of one human race who all have incredible skills and gifts that God gave us that we bring together in the human family.
[00:30:30.214 --> 00:30:31.175]  You do incredible things.
[00:30:31.755 --> 00:30:38.240]  A few months ago, I saw media demonizing folks that put up signs at universities that said, all lives matter.
[00:30:39.061 --> 00:30:41.583]  Then they demonized people that said, it's okay to be white.
[00:30:43.038 --> 00:30:49.922]  These are universities where they're saying it's inherently evil and an abomination and satanic to be white.
[00:30:50.403 --> 00:30:51.644]  Right outside Austin, Texas.
[00:30:52.064 --> 00:30:53.365]  Texas State University says that.
[00:30:53.865 --> 00:30:59.909]  Most major universities are directing this to create racial division in this country and it's sickening.
[00:31:00.569 --> 00:31:02.531]  That's why I have designed with our crew
[00:31:03.491 --> 00:31:14.772]  Several new limited edition t-shirts that expose this evil and fight true institutional leftist based racial division and classical race war designs.
[00:31:15.509 --> 00:31:19.312]  Yeah, if you're just talking about how you're white or how you're black, it's okay.
[00:31:19.752 --> 00:31:20.953]  That's fine to be proud of yourself.
[00:31:21.333 --> 00:31:24.536]  But isn't it really great to realize we all got red blood?
[00:31:24.556 --> 00:31:26.117]  That's why the shirt is in red.
[00:31:26.497 --> 00:31:34.564]  Out here in space together, the dark blue of the night sky, but all of our red blood together ties us together and that's what makes us great.
[00:31:34.844 --> 00:31:37.326]  The globalists are creating a fake debate to turn us against each other.
[00:31:37.626 --> 00:31:39.888]  Let's come together and say all lives matter.
[00:31:40.448 --> 00:31:44.812]  The fact is it's not just okay, it's great to be human.
[00:31:45.772 --> 00:31:47.494]  Let me show you a few of the other designs we've got.
[00:31:47.974 --> 00:31:49.936]  They're available at InfoWarsTore.com.
[00:31:50.176 --> 00:31:52.759]  They help spread the word, and they help support the broadcast.
[00:31:52.999 --> 00:31:53.760]  A total win-win.
[00:31:54.360 --> 00:31:55.781]  This shirt is white.
[00:31:56.502 --> 00:31:56.842]  Whoa!
[00:31:57.583 --> 00:32:02.508]  And you've got major universities, major publications like BuzzFeed saying, is milk racist?
[00:32:02.948 --> 00:32:03.729]  Because it's white.
[00:32:04.349 --> 00:32:11.156]  So yes, ladies and gentlemen, it's a white shirt that says it's okay to be white, okay to be black, okay to be brown, but it's great.
[00:32:11.676 --> 00:32:12.216]  To be human.
[00:32:27.563 --> 00:32:32.164]  To literally take minorities and turn them into the equivalent of Brown Ku Klux Klan.
[00:32:32.524 --> 00:32:35.925]  This shirt is amazing, it's iconic, and it's limited edition.
[00:32:36.205 --> 00:32:43.066]  They're all available at InfoWarsStore.com or by calling toll free, 888-253-3139.
[00:32:43.146 --> 00:32:57.209]  And despite the fact that all these shirts are super high quality and are destined to be best sellers, through Christmas, we're offering 25% off at InfoWarsStore.com on these limited edition shirts.
[00:33:03.064 --> 00:33:05.826]  You're listening to The Alex Jones Show.
[00:33:20.496 --> 00:33:22.218]  The Alex Jones Show.
[00:33:22.638 --> 00:33:25.500]  Because there is a war on, for your mind.
[00:33:43.041 --> 00:33:54.054]  Folks, we have a ton of economic news, political news, a ton of tectonic news dealing with volcanoes and earthquakes massively increasing, especially on the U.S.
[00:33:54.134 --> 00:33:58.840]  East Coast, with top seismologists believing that the really big one could hit any day.
[00:33:58.880 --> 00:33:59.460]  We've already seen 8.2s.
[00:34:01.062 --> 00:34:04.364]  Off the coast of Alaska, we've already seen Mount St.
[00:34:04.384 --> 00:34:07.967]  Helens coming back to life like it hasn't done since it erupted in the early 1980s.
[00:34:08.007 --> 00:34:10.548]  So we're going to be looking at all of that as well.
[00:34:10.568 --> 00:34:20.615]  But I want to open the phones up on this Thursday edition to take a ton of your calls, specifically on the secret Nunes memo.
[00:34:21.215 --> 00:34:29.501]  That again, he talks about the four pages in the memo that is from the classified FISA court memo.
[00:34:31.388 --> 00:34:44.696]  Those, we've been told, by high-level sources, including the former head of operations of the NSA, is the blacked-out portions that are in that document.
[00:34:45.896 --> 00:34:50.899]  And the media uses this distraction process to say, this is not the secret part Nunes has.
[00:34:51.860 --> 00:34:52.820]  We made that clear.
[00:34:54.341 --> 00:34:58.624]  This is the document that's been hiding in plain view, that no one's covered,
[00:34:59.605 --> 00:35:06.889]  That shows the illegal surveillance and the FISA court at least twice coming to Obama and saying, this is illegal!
[00:35:07.449 --> 00:35:08.150]  What are you doing?
[00:35:09.891 --> 00:35:18.455]  And it's got the names blacked out of Comey, of McCabe, of Loretta Lynch, of all the usual suspects.
[00:35:18.535 --> 00:35:20.276]  And that's what members of Congress have said.
[00:35:20.336 --> 00:35:23.738]  They've said, this is going to embarrass Obama big time.
[00:35:24.098 --> 00:35:27.880]  This is going to hurt his legacy as Mr. Goody Two-Shoes.
[00:35:27.920 --> 00:35:28.961]  He's not Mr. Goody Two-Shoes.
[00:35:30.796 --> 00:35:33.478]  Incredible persecutor of the press and whistleblowers and you name it.
[00:35:34.259 --> 00:35:46.850]  So now after they said oh there is no memo, now Peter Schiff and now the Democrats and now the operatives of the Justice Department have changed their tune and they say we do not want this released.
[00:35:46.870 --> 00:35:53.296]  The Justice Department makes a last ditch effort to block release of FISA memos saying it will damage national security.
[00:35:55.356 --> 00:35:58.278]  And of course there's other information, tons of other information.
[00:35:58.298 --> 00:36:13.248]  We get so focused on this memo, you've got thousands and thousands of texts that members of those committees, the intelligence committees, the armed services committees, the judicial committees, are able to see.
[00:36:14.028 --> 00:36:15.930]  And it is a love fest!
[00:36:16.610 --> 00:36:17.751]  They've already released
[00:36:19.770 --> 00:36:20.930]  We're meeting in secret.
[00:36:21.451 --> 00:36:22.831]  We're creating insurance policies.
[00:36:22.891 --> 00:36:23.772]  We hate this guy.
[00:36:24.092 --> 00:36:25.272]  We can't let him get an office.
[00:36:26.813 --> 00:36:28.233]  We gotta meet with McCabe.
[00:36:28.594 --> 00:36:29.914]  And all that's been confirmed.
[00:36:32.055 --> 00:36:34.296]  And now more and more and more and more comes out.
[00:36:34.316 --> 00:36:39.558]  And oh, now 50,000 texts or whatever have come up missing.
[00:36:39.578 --> 00:36:41.659]  And oh, it's just a glitch in the phone.
[00:36:42.119 --> 00:36:43.900]  This is a giant cabal
[00:36:45.316 --> 00:36:53.159]  Inside our government that covered for the crimes of the Clintons, that covered for the crimes of Obama, that covered for the crimes of the people around Bush.
[00:36:53.199 --> 00:36:53.959]  It's all the same group.
[00:36:53.979 --> 00:36:54.960]  They all vacation together.
[00:36:54.980 --> 00:36:56.080]  They all love each other.
[00:36:57.441 --> 00:37:01.322]  This is the good old boy secret society that Trump isn't part of.
[00:37:01.362 --> 00:37:03.403]  He's not part of that good old boy group.
[00:37:05.615 --> 00:37:08.878]  And they now understand that that whole thing is being destroyed.
[00:37:09.118 --> 00:37:12.321]  So they're now in a very, very dangerous position.
[00:37:13.242 --> 00:37:29.636]  They're in a dangerous position and they're willing to do anything right now to try to stop Trump, try to stop the resurgence of Americanism, showing that we had artificial economic restraints on us, to hold us down, that within one year we've already seen dramatic improvement.
[00:37:30.472 --> 00:37:32.174]  They're being destroyed by prosperity.
[00:37:32.194 --> 00:37:35.317]  Just like I said on Inauguration Day, I said Trump must deliver.
[00:37:35.597 --> 00:37:37.399]  His name is bound to our success.
[00:37:37.920 --> 00:37:39.361]  His dynasty is bound to us.
[00:37:39.521 --> 00:37:50.372]  Even if he was a sociopath, if he wants true historical victory and power, he would be the man to turn America around and to lead other countries out of globalist bondage.
[00:37:50.893 --> 00:37:51.514]  And it's happening.
[00:37:52.554 --> 00:37:55.378]  Macron says the EU is on the verge of collapse.
