[00:00:23.547 --> 00:00:24.727]  From the front lines.
[00:22:50.492 --> 00:22:53.575]  See, that's how information warfare really works.
[00:22:53.715 --> 00:22:55.497]  That's why this broadcast is hated.
[00:22:55.817 --> 00:23:05.786]  Because we enter new, devastating paradigm interpretations that no one else is engaged in.
[00:23:06.127 --> 00:23:08.209]  Because I started thinking about this a few weeks ago.
[00:23:09.775 --> 00:23:15.056]  And I looked into it, and we have not seen the EU do anything to China.
[00:23:15.696 --> 00:23:18.397]  Because remember, the Internet's all tied together in a global system.
[00:23:19.037 --> 00:23:31.360]  So they're trying to put forward the most draconian regulations in the name of peace and security and free speech and privacy and protecting your identity, and they immediately attack the United States.
[00:23:33.328 --> 00:23:56.929]  And there's nothing about China, and then I search engined it, and no one has pointed out yet that China is being left alone, even though China and its websites, Alibaba and millions and millions of others, are operating in levels of data mining and scraping and identity theft that boggles the brain.
[00:23:58.086 --> 00:24:01.828]  They have a Mark of the Beast global social credit.
[00:24:02.228 --> 00:24:17.715]  Apple has moved there and given the state the keys to the kingdom of your Apple ID to be able to access that entire system of the entire Apple world of what you've done.
[00:24:21.757 --> 00:24:24.918]  Oh, Apple doesn't let you opt out of that, do they?
[00:24:26.799 --> 00:24:26.959]  See?
[00:24:29.128 --> 00:24:51.159]  Oh, so Communist China can do whatever they want, because, oh, because the Chinese dictator, he's now officially been made a dictator, he was already appointed by the Communist Party that would vote for him, but then the Communist Party would decide who could, quote, run via the Central Committee, but now he's just president for life and his vice president was made vice president for life.
[00:24:51.179 --> 00:24:57.863]  He's officially a dyed-in-the-wool dictator, meaning he dictates.
[00:25:02.020 --> 00:25:04.481]  And he's got control of most of the internet.
[00:25:04.561 --> 00:25:06.683]  China is winning the war for the web.
[00:25:08.284 --> 00:25:14.327]  And I've talked to the Cyber Command people, I've talked to the NSA people here at UT, I've talked to them all, and they're like, no, you're right.
[00:25:14.727 --> 00:25:20.030]  And all Trump's doing is trying to desperately do something so he's told the Chinese you can't officially run UT.
[00:25:20.270 --> 00:25:21.151]  That was in the Washington Post.
[00:25:25.632 --> 00:25:26.212]  It's unbelievable.
[00:25:26.232 --> 00:25:26.952]  Yeah, there's CNN.
[00:25:27.032 --> 00:25:29.553]  Apple under fire for moving iCloud data to China.
[00:25:29.893 --> 00:25:30.873]  I was the first person.
[00:25:30.893 --> 00:25:33.014]  I'm not even bragging to freak out about this.
[00:25:33.414 --> 00:25:39.115]  The original Reuters article was just China's moving to... Apple's moving to China.
[00:25:40.775 --> 00:25:44.496]  And then I read further and I'm like, they're gonna move the cloud data there?
[00:25:44.536 --> 00:25:46.276]  That means the code keys.
[00:25:46.537 --> 00:25:48.397]  I'm not even an engineer and I know that.
[00:25:52.110 --> 00:25:53.131]  And then of course a week later.
[00:25:53.792 --> 00:26:01.339]  That's what scares me is that I continue, nine times out of ten, to be the first person that actually even understands what's happening here.
[00:26:04.142 --> 00:26:05.003]  At least publicly.
[00:26:05.664 --> 00:26:12.351]  There are tons of people in tech and in government that know all this too, but they just, no one writes about it.
[00:26:13.462 --> 00:26:17.906]  I remember learning in Hollywood six, seven years ago that China controlled all six of the big studios.
[00:26:18.166 --> 00:26:22.811]  I talked about it on air, and man, all the white supremacists flipped out because they're obsessed with Jews.
[00:26:23.291 --> 00:26:25.954]  And they went, Jones says China runs Hollywood.
[00:26:25.994 --> 00:26:26.915]  How ridiculous.
[00:26:27.295 --> 00:26:28.376]  Blah, blah, blah.
[00:26:28.616 --> 00:26:31.199]  I'm talking about who came in and bought control of it.
[00:26:32.813 --> 00:26:44.020]  I'm not saying there aren't a bunch of people who are Jewish and Italian and whatever in Hollywood that are directors and producers, but the Communist Chinese own Hollywood now!
[00:26:44.240 --> 00:26:45.841]  That's been all over the news!
[00:26:49.003 --> 00:26:54.686]  And so I'm watching China take over, and I mean the Communist Party of China, and I'm watching them take control of the whole world.
[00:26:58.260 --> 00:26:59.721]  And then, oh my gosh, U.S.
[00:26:59.761 --> 00:27:06.608]  companies get hit with billions and billions and billions and billions and billions and billions and billions and billions and billions of dollars.
[00:27:08.469 --> 00:27:14.535]  And it's all to set the precedent with Americans that, oh, at least they're going after the big tech guys that are bad who deserve it, which they kind of do.
[00:27:16.513 --> 00:27:18.875]  But the next is going to be all the small sites you watch.
[00:27:18.895 --> 00:27:19.656]  They've already announced it.
[00:27:19.956 --> 00:27:32.268]  They're coming after the internet in America, using the EU, all draconianly implemented, and China is exempt because the Chinese dictator, he went to Davos 15 months ago, last year.
[00:27:33.669 --> 00:27:38.653]  And he said, I will hold the New World Order up, I will hold the Euro up, we will defeat Trump.
[00:27:38.933 --> 00:27:46.739]  And Juncker shook his hand and said, quote, we're going to have a trade war with America and we're going to remove Trump and we're going to defeat America.
[00:27:47.020 --> 00:27:53.585]  That was in the foreign news, a hereditary grandson of the most powerful Nazi family in Germany.
[00:27:54.025 --> 00:27:56.687]  The Junkers, the damn bombers were called Junkers.
[00:27:58.148 --> 00:27:59.910]  The munitions factories, everything.
[00:28:02.091 --> 00:28:02.572]  Junker!
[00:28:04.994 --> 00:28:07.015]  He told us, I'm going to defeat you!
[00:28:07.035 --> 00:28:24.366]  And Hollywood, and the Communist Chinese, and the Islamicists, and the EU, and the chi-coms are all against us, and the average leftist doesn't even know it, doesn't even care, and thinks I'm the enemy when all we're trying to do with Trump is save something, you idiots!
[00:28:25.467 --> 00:28:27.048]  We've been completely overrun!
[00:28:27.588 --> 00:28:29.850]  We have been completely sold out, you fools!
[00:28:34.892 --> 00:28:35.933]  You got S.O.B.
[00:28:35.973 --> 00:28:38.295]  Nazis telling us that they're gonna defeat us.
[00:28:40.596 --> 00:28:50.103]  Well, just like you were arrogant before, you're gonna get your ass handed to you, younker, and your Chinese communist dictator, and that Nazi collaborator Soros, you are all gonna pay!
[00:28:50.283 --> 00:28:51.184]  They're gonna get beat!
[00:28:51.464 --> 00:28:53.106]  America will defeat you!
[00:28:53.766 --> 00:28:55.227]  Russia will defeat you!
[00:28:55.467 --> 00:28:57.369]  You're gonna get your asses kicked politically!
[00:28:57.549 --> 00:28:58.790]  We know what's going on now!
[00:29:02.890 --> 00:29:06.554]  Alex Jones here with an extremely exciting announcement.
[00:29:08.676 --> 00:29:23.713]  We are launching our biggest recruitment and hiring operation ever in our 23-year history as we prepare to go 24 hours a day live on TV and radio from the InfoWars News Center here in Austin, Texas.
[00:29:24.073 --> 00:29:30.855]  We're looking for video editors, live show producers, people that can run live TV and radio, investigative journalists.
[00:29:30.875 --> 00:29:35.777]  We're looking for reporters out in the field who can stay where you are currently yet.
[00:29:36.337 --> 00:29:45.580]  We're looking to hire around 15 people, maybe even more, as we take the information war to the next level in the face of the globalists.
[00:29:46.001 --> 00:29:46.481]  So please,
[00:29:47.361 --> 00:29:55.763]  Go to InfoWars.com, go to InfoWars.com forward slash contest, and you'll find the links to our major hiring drive.
[00:29:56.183 --> 00:30:04.925]  And we're also launching, as I just alluded to, a major reporter contest with $26,000 in prizes.
[00:30:05.305 --> 00:30:05.945]  First place, $20,000.
[00:30:06.185 --> 00:30:07.305]  Second place, $5,000.
[00:30:07.645 --> 00:30:09.086]  Third place, $1,000.
[00:30:09.746 --> 00:30:14.207]  But all of you will be winners because the special reports you cut on any topic you wish
[00:30:14.827 --> 00:30:26.111]  We have the rules on InfoWars.com forward slash contest will then be seen on my broadcast will then be heard on the radio and will be posted to our major websites like NewsWars.com and InfoWars.com.
[00:30:26.411 --> 00:30:31.652]  It has a massive effect and you've seen many other reporters that have worked here over the years like David Knight and others.
[00:30:32.093 --> 00:30:36.034]  They weren't even contest winners, but they were runner-uppers.
[00:30:36.354 --> 00:30:53.863]  But even if you don't want to be part of the contest and just want a shot at working here, we're looking for camera people, we're looking for video editors, we're looking for investigative journalists, and we're looking for engineers, we're looking for reporters, we're looking for it all in this major push against the globalists.
[00:30:53.983 --> 00:30:56.744]  Now, we're going to be hiring right through into 2019 in this big expansion.
[00:30:59.125 --> 00:31:07.390]  But it's critical that as fast as you can, you get your portfolio, your reel into us, whether it be in radio, whether it be in print, whether it be in film.
[00:31:08.311 --> 00:31:10.352]  Whatever your work is, we want to see it.
[00:31:10.573 --> 00:31:11.833]  So send it in with your resume.
[00:31:12.094 --> 00:31:15.556]  So this is a very, very exciting chance for InfoWars.
[00:31:15.976 --> 00:31:20.620]  To up our game in the face of the globalists, but for you to also be a part of this operation.
[00:31:20.900 --> 00:31:28.145]  So directly apply to work with us or apply and at the same time get involved in the contest.
[00:31:28.205 --> 00:31:29.306]  It's all up to you.
[00:31:29.807 --> 00:31:32.489]  We are expanding in the face of the globalist onslaught.
[00:31:32.829 --> 00:31:34.070]  We are not victims.
[00:31:34.250 --> 00:31:35.491]  We are victorious.
[00:31:35.851 --> 00:31:40.795]  And we are taking it directly to the globalists because we are the resistance.
[00:31:40.875 --> 00:31:45.539]  And we're looking for men and women who are a race, color, and creed who love liberty that want to join the fight.
[00:31:46.019 --> 00:31:49.948]  Again, InfoWars.com forward slash contest to find all the rules.
[00:31:50.549 --> 00:31:54.818]  And I'll see you on the front lines of the fight against the NWO.
[00:32:04.529 --> 00:32:13.438]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:32:13.959 --> 00:32:24.970]  Based off hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[00:32:25.370 --> 00:32:31.034]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:32:31.294 --> 00:32:42.582]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:32:42.782 --> 00:32:46.745]  You can even choose to start your morning healthier with the Immune Support Blend.
[00:32:47.046 --> 00:32:53.170]  Infused with a powerful blend to support your immune response and stamina, it's time to take care of your morning routine.
[00:32:53.470 --> 00:32:59.873]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:33:06.375 --> 00:33:09.117]  You're listening to the Alex Jones Show.
[00:33:13.358 --> 00:33:15.739]  You are the one they call President?
[00:33:15.959 --> 00:33:16.199]  I am.
[00:33:16.980 --> 00:33:17.100]  Neat.
[00:33:34.238 --> 00:33:35.098]  You are not the president.
[00:33:36.118 --> 00:33:40.059]  No one who leads so many could possibly kneel so comfortably.
[00:33:41.000 --> 00:33:49.562]  Rallying patriots worldwide in defense of human liberty.
[00:33:49.982 --> 00:33:51.562]  It's Alex Jones.
[00:33:55.583 --> 00:33:57.684]  Have you noticed that there's all this
[00:33:58.558 --> 00:34:13.383]  There's yelling and screaming and squawking and there's black leaders I've seen on CNN, MSNBC saying the founding fathers gave us the right to free speech, which they didn't.
[00:34:13.403 --> 00:34:14.863]  They just pointed out a right that already existed.
[00:34:15.924 --> 00:34:20.305]  And the NFL players, they have a right to kneel.
[00:34:21.186 --> 00:34:24.767]  How dare the NFL say they've got to stay in the locker room.
[00:34:25.779 --> 00:34:27.140]  They've got to stay in the field house.
[00:34:27.160 --> 00:34:28.461]  They've got to stay in the dugout.
[00:34:29.461 --> 00:34:32.803]  They've got to stay in their barracks.
[00:34:33.543 --> 00:34:36.805]  And they can come out later if they don't want to stand for the National Anthem.
[00:34:37.486 --> 00:34:45.530]  Well, number one, they signed a contract that says that, and the contract says they're entertainers, and the ticket says it's entertainment.
[00:34:45.550 --> 00:34:50.433]  It's actually a blood sport, but that's entertainment too.
