[00:00:29.647 --> 00:00:50.156]  I'm watching the midterms, then you would think our country is Mad Max Thunderdome.
[00:29:48.146 --> 00:29:50.227]  Working inside our federal government.
[00:29:50.247 --> 00:29:53.408]  These people, these socialists, are not helping our government.
[00:29:53.528 --> 00:29:56.790]  They are actively subverting President Trump's policies.
[00:29:56.950 --> 00:30:12.237]  Like, if you're an executive branch agency, um, you can slow all things to a degree that it's, like, ineffective, and maybe you get in trouble, and maybe, you know, you get fired, or you resign, or whatever, but, like, you slow them down for a certain period of time.
[00:30:12.637 --> 00:30:16.639]  Perfect timing with Trump battling the deep state and rogue government.
[00:30:16.760 --> 00:30:19.461]  Literally saying they're taking their orders from Hillary and Obama.
[00:30:19.481 --> 00:30:21.422]  They call her Madam President still.
[00:30:21.843 --> 00:30:26.005]  Just the arrogance, the attitude, the videos you have of them saying, we're never going to get fired.
[00:30:26.065 --> 00:30:28.006]  We're part of the Socialist and Communist Party.
[00:30:28.066 --> 00:30:29.427]  We're going to take over America.
[00:30:29.607 --> 00:30:31.328]  And so it's the arrogance.
[00:30:31.928 --> 00:30:33.089]  It's the chicken neckness.
[00:30:33.249 --> 00:30:34.670]  It's the stupidness of them.
[00:30:34.850 --> 00:30:36.151]  But then it makes me feel stupid.
[00:30:36.471 --> 00:30:39.553]  How do we ever let this much scum run our lives, James O'Keefe?
[00:30:39.693 --> 00:30:55.477]  Well, Alex, you know, this is why maybe we need civil service reform, because the Deep State is not just the director of the intelligence agency and Rosenstein and whoever else, it's also millions of foot soldiers, thousands and thousands of these people that we've caught on tape.
[00:30:55.918 --> 00:30:57.878]  This is just a small cross-sampling of them.
[00:30:58.438 --> 00:31:08.221]  And yes, if you look at these tapes, what's remarkable is, I mean, the guy that we released Thursday, this self-described communist inside a government auditor's office,
[00:31:08.821 --> 00:31:28.526]  He says, what I do is explicitly prohibited, I'm hungover, I don't even go to work, I spend my time, this is what he says on the tape, I spend my time electing democratic socialists and I lied on my forms to the federal government, but nothing will ever happen to me because there's no oversight, nobody will care, it's impossible to get fired.
[00:31:28.906 --> 00:31:32.628]  There he is right there, Nate Subramanian, Auditor at GAO.
[00:31:33.068 --> 00:31:36.510]  So it's just, these are what they call the Democratic Socialists of America.
[00:31:36.530 --> 00:31:38.190]  A lot of them are federal employees.
[00:31:38.210 --> 00:31:39.851]  This is not a conspiracy theory.
[00:31:40.251 --> 00:31:41.292]  This is videotape.
[00:31:41.412 --> 00:31:47.755]  And by the way, the man you're looking at right there, that man right there, he has been shown the door at GAO.
[00:31:48.155 --> 00:31:53.044]  While they can't, may not be able to, quote, fire him, they have removed him from the building.
[00:31:53.064 --> 00:31:54.787]  This is like a Greek tragedy.
[00:31:54.827 --> 00:31:59.294]  They can't fire the people, so they just have to, like, take them away from their computer systems.
[00:32:01.553 --> 00:32:04.998]  Living in volcano may sound more dramatic than it really is.
[00:32:05.518 --> 00:32:08.262]  The real drama can be found here in Leilani Estates.
[00:32:08.803 --> 00:32:14.611]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:32:15.071 --> 00:32:17.855]  Volcanic ash may contain heavy metal particles.
[00:32:18.576 --> 00:32:22.018]  An acid rain could lower the pH of the water to unhealthy levels.
[00:32:22.398 --> 00:32:28.461]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:32:28.861 --> 00:32:33.824]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:32:34.574 --> 00:32:37.996]  Next, we tested the water from our Alexa Pure gravity filter.
[00:32:38.496 --> 00:32:45.040]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:32:45.700 --> 00:32:50.382]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:32:50.863 --> 00:32:56.025]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:32:56.606 --> 00:33:00.588]  But more importantly, a good water filtration system will purify it.
[00:33:06.030 --> 00:33:08.771]  You're listening to the Alex Jones Show.
[00:33:16.054 --> 00:33:18.255]  Waging war on corruption.
[00:33:18.775 --> 00:33:23.997]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:29.520 --> 00:33:30.500]  Two choices.
[00:33:36.792 --> 00:33:40.837]  We are in an economic boom that most folks thought was impossible.
[00:33:40.897 --> 00:33:45.724]  We have penetrated the 1-2% so-called secular stagnation zone.
[00:33:45.844 --> 00:33:52.493]  Average hourly earnings up by 2.8% near record levels of consumer air business confidence.
[00:33:52.933 --> 00:33:56.054]  The second quarter GDP growth is impressive.
[00:33:56.074 --> 00:34:00.935]  4.1%, the lowest unemployment rate since December of 1969.
[00:34:00.995 --> 00:34:03.876]  The American core economy is on fire.
[00:34:03.996 --> 00:34:08.097]  It's on fire like it was in the 60s.
[00:34:08.137 --> 00:34:11.018]  Can you bring him down?
[00:34:11.358 --> 00:34:13.619]  For the less American.
[00:34:13.739 --> 00:34:19.660]  As you tell them, they're not welcome!
[00:34:19.700 --> 00:34:21.481]  We're live on Facebook.
[00:34:21.521 --> 00:34:21.841]  Make a loan.
[00:34:43.615 --> 00:34:45.616]  That's when civility can start again.
[00:35:09.608 --> 00:35:14.832]  And now they've got illegal aliens in mainstream news with the headlines like it's a good thing.
[00:35:15.212 --> 00:35:16.373]  They're not citizens.
[00:35:17.534 --> 00:35:18.915]  Many of them aren't even here legally.
[00:35:19.295 --> 00:35:23.919]  They can't vote, but they can canvas and make phone calls and donate money.
[00:35:24.219 --> 00:35:24.780]  No, you can't.
[00:35:26.241 --> 00:35:29.643]  But the Democrats yell and scream about election meddling, and they're the ones that have been doing it.
[00:35:30.944 --> 00:35:36.629]  Now, I could spend all day here with the technicals of why I think the Republicans hold on to the House and the Senate.
[00:35:37.756 --> 00:35:39.597]  There's a lot of information that goes into that.
[00:35:40.797 --> 00:35:47.820]  But I have trouble tracking the level of fraud, the level of illegal spending, the level of censorship.
[00:35:47.920 --> 00:35:50.381]  All I know is it's ultra-massive.
[00:35:52.242 --> 00:35:58.764]  And it's political oppression the likes of which this country has never seen on this scale.
[00:36:02.565 --> 00:36:06.327]  And so I don't know if we're going to win tomorrow or not.
[00:36:07.245 --> 00:36:18.029]  I knew we were going to win two years ago because they were oversampling on some CNN polls 36% extra against Trump.
[00:36:20.109 --> 00:36:25.471]  And they have Hillary at 75% winning and I'd do the math and explain that's really her losing.
[00:36:28.635 --> 00:36:38.603]  This time, the Democrats are five points ahead in most of these phony polls, and in some polls, the Republicans are ahead a point or two.
[00:36:38.864 --> 00:36:42.867]  Like Rasmussen today, it's on Infowars.com, Paul Watson article, it's a big deal.
[00:36:45.189 --> 00:36:52.094]  And I go look at the methodology, they're running the same scams they ran two years ago.
[00:36:52.215 --> 00:36:54.817]  So, are they just counting on electronic voting machine fraud?
[00:36:54.857 --> 00:36:57.299]  We know Soros owns, has a share in.
[00:36:59.344 --> 00:37:00.325]  More than half the companies?
[00:37:02.486 --> 00:37:02.826]  I don't know.
[00:37:02.846 --> 00:37:09.190]  Remember the New York Times had her on their front page for months at 98 percent, 97 percent.
[00:37:09.651 --> 00:37:12.613]  About a week before, 60 percent, you know, 80 percent.
[00:37:12.633 --> 00:37:13.313]  It went back and forth.
[00:37:14.414 --> 00:37:16.975]  Because they began to figure out their bull wasn't working.
[00:37:17.176 --> 00:37:20.017]  All I'm telling you is, I've never seen so much activity.
[00:37:20.398 --> 00:37:21.899]  I've never seen so much bullying.
[00:37:22.159 --> 00:37:23.700]  I've never seen so much censorship.
[00:37:23.940 --> 00:37:25.681]  I've never seen so much foaming at the mouth.
[00:37:26.181 --> 00:37:26.742]  So I don't know.
[00:37:29.002 --> 00:37:32.284]  But I want to be clear about something.
[00:37:32.304 --> 00:37:34.385]  I want to be totally crystal clear about something.
[00:37:35.226 --> 00:37:36.687]  There are two different roads here.
[00:37:39.509 --> 00:37:41.230]  And I'm going to talk about this in the next segment.
[00:37:43.011 --> 00:37:47.514]  But what I'm going to tell you on air is the reason they want me off air.
[00:37:48.375 --> 00:37:55.159]  Because InfoWars is visionary, I do my homework, and I know what I'm talking about.
[00:37:56.488 --> 00:38:00.510]  And we could lose the country if we win this election.
[00:38:01.251 --> 00:38:08.896]  It hit me yesterday because I've been thinking and focusing and frustrated trying to come up with what the answer is I was looking for.
[00:38:09.516 --> 00:38:10.597]  Why I was frustrated?
[00:38:10.617 --> 00:38:22.704]  Because my subconscious is hundreds of times more powerful than my conscience and it was not happy and as soon as this came into vision and I researched it at a cognitive level, I knew I was right.
[00:38:26.121 --> 00:38:28.643]  Because election numbers are surging on both sides.
[00:38:28.703 --> 00:38:30.124]  Turnout is surging on both sides.
[00:38:30.164 --> 00:38:31.705]  But what's really important here?
[00:38:34.867 --> 00:38:41.171]  If we win this midterm and people go to sleep, we could lose the election in two years.
[00:38:45.294 --> 00:38:48.296]  And if the Republicans don't go after the Democrats for the
[00:38:49.471 --> 00:39:13.257]  Soviet level censorship of conservatives and Christians and the deplatforming and taking the bank accounts and all the rest of it, then it will cement that and they will get worse and so we will have an occupied government and a tyranny and a divided nation with Trump trying to fix the economy and put out fires while the emboldened Democrats ratchet up their crime.
[00:39:14.658 --> 00:39:18.959]  So I want to win tomorrow.
[00:39:21.169 --> 00:39:31.995]  But I want people to stay awake and realize that's only the next level of our invasion of the United States, our take back of the Republic from the globalists and the reinforcements they're trying to pour in.
[00:39:33.796 --> 00:39:35.718]  This is 21st century warfare, folks.
[00:39:35.758 --> 00:39:38.499]  This is real toe-to-toe battle with the globalists.
[00:39:39.740 --> 00:39:43.682]  Outside powerful combines trying to destabilize and overthrow the nation.
[00:39:43.742 --> 00:39:45.363]  This is very serious business.
[00:39:47.264 --> 00:39:49.706]  So if we beat the Democrats, we shouldn't be celebrating.
[00:39:51.527 --> 00:39:57.051]  We should be realizing we just won one more big battle and God's on our side, but it's about to get even tougher.
[00:39:58.112 --> 00:40:06.138]  And if we lose, it's going to get even tougher, but maybe we'll know we're getting our asses kicked again and we'll do something about it.
[00:40:07.298 --> 00:40:12.802]  Now, I haven't aired this since election day, a year and 364 days ago, but I'm going to air
[00:40:19.585 --> 00:40:33.111]  The entire 15 minute compilation that our great Rob Dew put together, our news director, of my predictions on election night and what I said once Trump was officially admitted to have won.
[00:40:33.431 --> 00:40:39.514]  And Hillary wouldn't show up and concede and we told you she was having an alcoholic flip out and eating the carpet, which was later confirmed.
