[00:00:05.615 --> 00:00:07.376]  All right, my friends.
[00:26:05.871 --> 00:26:12.215]  Because they're told by their editor or by their program director, that's how you rise to the top.
[00:26:12.315 --> 00:26:13.556]  You duplicate this.
[00:26:15.839 --> 00:26:22.706]  And actually, that's how you live in mediocrity and never get noticed and basically regurgitate what you heard somebody else say.
[00:26:24.888 --> 00:26:28.871]  And so, the big pundits and the Bill O'Reilly's and the Limbaugh's and the rest of them.
[00:26:28.971 --> 00:26:31.173]  You know, Limbaugh's paid more than his show brings in.
[00:26:31.614 --> 00:26:33.075]  I'll be a little sign for you there.
[00:26:36.880 --> 00:26:38.740]  And it goes, well, it's like Gloria Steinem.
[00:26:38.780 --> 00:26:41.501]  She wrote a book and admitted, oh, I was a CIA officer.
[00:26:41.521 --> 00:26:44.562]  The Start Miss Magazine, the feminist movement was controlled by it.
[00:26:44.582 --> 00:26:55.984]  You've got to break up the family, drive a wedge between it, to make sure that women were out of the house so the state could raise the children so you'd have two people paying taxes.
[00:26:56.464 --> 00:26:58.545]  And again, I'm not saying it's bad if women want to go work.
[00:26:58.845 --> 00:27:01.385]  The point is the system being built where you have to is wrong.
[00:27:02.186 --> 00:27:03.486]  And Gloria Steinem
[00:27:04.625 --> 00:27:08.888]  You know, the founder of NOW and the big cheese over with the feminist movement.
[00:27:09.408 --> 00:27:11.090]  You know, she's off married now with kids.
[00:27:12.010 --> 00:27:13.611]  The point is they're hypocrites, folks.
[00:27:15.192 --> 00:27:16.313]  They're social engineers.
[00:27:16.393 --> 00:27:26.100]  So it's the left and on the right, I mean, they're all a theater crew, a gaggle of thespians, of actors manipulating you.
[00:27:30.746 --> 00:27:36.892]  I mean, if Bush is dropping 70 plus mil, I keep saying 70 plus, I gotta dig in the article, it's either 76 or 79.
[00:27:37.012 --> 00:27:39.054]  I'll find it in a second.
[00:27:40.075 --> 00:27:47.002]  Just for one media buy on one federal program, the prescription drug benefit, a fake newscast.
[00:27:47.523 --> 00:27:50.286]  Not telling you it's government produced, but with fake cuts.
[00:27:51.127 --> 00:27:52.388]  Not just the fact that, it's just
[00:27:53.829 --> 00:27:56.390]  And now we're going to hear about Armstrong Williams all day.
[00:27:56.750 --> 00:27:59.612]  And I'll just say this, and we'll go to break and come back and go straight to your calls.
[00:27:59.912 --> 00:28:00.772]  Straight to your calls.
[00:28:03.213 --> 00:28:03.854]  I'll just say this.
[00:28:06.455 --> 00:28:07.756]  It's very suspicious.
[00:28:08.156 --> 00:28:11.657]  This is a very sophisticated media formula that the globalists have.
[00:28:12.218 --> 00:28:17.100]  USA Today is basically their mouthpiece, I've noticed, for key distribution and print media.
[00:28:17.460 --> 00:28:19.041]  Even more so than the New York Times these days.
[00:28:21.301 --> 00:28:23.642]  And I believe this was leaked and brought out.
[00:28:24.462 --> 00:28:26.082]  I'm not even saying the reporters involved.
[00:28:26.162 --> 00:28:28.943]  A lot of them are unwilling, useful idiots.
[00:28:30.444 --> 00:28:31.724]  Because I have to question this.
[00:28:32.084 --> 00:28:35.145]  This stuff doesn't come out on accident in big, marquee papers like that.
[00:28:35.425 --> 00:28:41.767]  It could be a real article by a real investigative journalist if it came out in some regional paper or some local paper and never got picked up.
[00:28:42.987 --> 00:28:45.468]  I believe they're bringing this out for a climate
[00:28:47.494 --> 00:29:10.607]  Number one, so conservatives can be acclimated and so conservative pundits can defend payoffs and somehow start normalizing this form of graft, this form of Mordito, beak dipping, Pentagon, Office of Strategic Influence, whatever term you want to use or name you want to call it, either technical or provincial.
[00:29:13.860 --> 00:29:16.961]  I believe this is being brought out so key people can be blackmailed.
[00:29:18.001 --> 00:29:21.422]  That is, the thousands of members of the media that have been paid off.
[00:29:22.622 --> 00:29:26.643]  A lot of them, idiotically, didn't even know it was illegal and were just told, be quiet about this.
[00:29:27.323 --> 00:29:28.063]  You'll get more.
[00:29:30.844 --> 00:29:32.645]  And this is one of the big no-no's, folks.
[00:29:32.665 --> 00:29:34.125]  You're not supposed to talk about this.
[00:29:34.705 --> 00:29:36.786]  You know, most of your anchors in your towns and cities?
[00:29:38.046 --> 00:29:42.787]  They actually have to make payoffs in the reverse order to get that job.
[00:29:44.602 --> 00:29:46.645]  Alright, we'll be right back.
[00:29:46.665 --> 00:29:47.407]  Stay with us.
[00:29:51.493 --> 00:29:52.435]  We're on the march.
[00:29:52.895 --> 00:29:54.498]  The Empire's on the run.
[00:29:54.518 --> 00:29:58.124]  Alex Jones and the GCN Radio Network.
[00:30:01.403 --> 00:30:03.024]  Hello folks, Alex Jones here.
[00:30:03.164 --> 00:30:07.228]  You know Berkey water filters have been removing pathogenic bacteria for years.
[00:30:07.408 --> 00:30:10.290]  But what about those unhealthy chemicals and heavy metals in your water?
[00:30:10.370 --> 00:30:17.095]  The powerful black Berkey purification elements fit most gravity filters and dramatically increase their power to extract waterborne contaminants.
[00:30:17.255 --> 00:30:20.278]  Best of all, they filter much faster than ordinary gravity elements.
[00:30:20.478 --> 00:30:22.880]  This means it takes much less time to filter your water.
[00:30:23.000 --> 00:30:30.886]  Black Berkey elements not only remove pathogenic bacteria, cysts and parasites, but also remove trihalomethanes and volatile organic elements such as
[00:30:31.306 --> 00:30:32.207]  We're good to go.
[00:31:03.197 --> 00:31:08.702]  Why continue to suffer from pain, illness, and disease when natural health and wellness therapies are within your reach?
[00:31:09.103 --> 00:31:13.347]  Hundreds of people report improved health and wellness using Rife Frequency Technology.
[00:31:13.587 --> 00:31:20.594]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[00:31:20.974 --> 00:31:27.077]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions.
[00:31:27.217 --> 00:31:28.478]  There are no side effects.
[00:31:28.798 --> 00:31:31.740]  Join others in discovering a return to natural health and wellness.
[00:31:31.900 --> 00:31:33.881]  Eliminate the cause, don't just treat symptoms.
[00:31:34.241 --> 00:31:41.465]  BioSolutions has over 450 pre-programmed auto-sequences for various health conditions and is very easy to use.
[00:31:41.765 --> 00:31:45.167]  It comes with a 30-day return policy and a one-year limited warranty.
[00:31:45.567 --> 00:31:48.709]  For more information, call Alternative Technologies toll-free.
[00:31:48.729 --> 00:31:48.829]  866-885-6625.
[00:31:48.849 --> 00:31:48.949]  866-885-6625.
[00:31:49.069 --> 00:31:50.009]  One more time, that's 866-885-6625.
[00:31:50.029 --> 00:31:50.229]  Call today.
[00:32:01.716 --> 00:32:03.217]  Hi folks, this is Alex Jones.
[00:32:03.277 --> 00:32:05.679]  Whether you are aware or not, World War III has started.
[00:32:06.039 --> 00:32:06.920]  Let me rephrase that.
[00:32:07.280 --> 00:32:08.501]  Oil War III has started.
[00:32:08.821 --> 00:32:11.262]  Don't kid yourself, the reason we went into Iraq is oil.
[00:32:11.663 --> 00:32:15.085]  Now we are looking at the possibility of invading Iran and even Saudi Arabia.
[00:32:15.485 --> 00:32:16.326]  Why else would the U.S.
[00:32:16.366 --> 00:32:19.308]  be building 13 permanent military installations inside Iraq?
[00:32:19.568 --> 00:32:20.829]  Does it look like we're pulling out?
[00:32:21.289 --> 00:32:25.772]  The nations of the Earth are consuming oil at the rate of 83 million barrels per day and growing.
[00:32:26.192 --> 00:32:30.175]  At this rate of consumption, experts predict that oil prices will only go up.
[00:32:30.695 --> 00:32:36.597]  Ready Reserves prepared a free booklet explaining the world's oil supply and how it will impact you and how it will change the world forever.
[00:32:36.857 --> 00:32:42.958]  Call Ready Reserves at 1-800-453-2202 and ask about the free booklet and what you can do to prepare.
[00:32:43.458 --> 00:32:43.798]  That's 1-800-453-2202.
[00:32:43.818 --> 00:32:49.700]  After you read the booklet, you'll understand just how dangerous the world has become.
[00:32:50.160 --> 00:32:52.760]  That's 1-800-453-2202 or email your request to ReadyReserves at AOL.com.
[00:32:52.780 --> 00:32:53.321]  That's 1-800-453-2202.
[00:33:11.100 --> 00:33:13.582]  Alright, we're going to go to your calls now.
[00:33:13.643 --> 00:33:18.627]  I mean, I could literally spend the entire broadcast talking about different ways the government pays off the media.
[00:33:20.668 --> 00:33:38.964]  Jerry Bruckheimer, my last comment on this, we'll go to your calls, the big Hollywood producer of Pirates of the Caribbean and Black Hawk Down, was contracted to, in the two days after they learned where Private Lynch was being taken care of by Iraqi doctors in an area where the Republican Guard had fled,
[00:33:40.404 --> 00:33:49.488]  Was contracted to write a script up and tell the Delta Force people how to go in and save her and what to do and what type of camera shots to engage in.
[00:33:51.229 --> 00:33:55.090]  And they went in and roughed up the people and kicked down doors and did all that.
[00:33:55.110 --> 00:33:59.112]  I mean, that's just another small little smidgen of the manipulation.
[00:34:00.032 --> 00:34:00.793]  And it's a legion!
[00:34:00.833 --> 00:34:08.196]  We have the Pentagon Office of Strategic Influence two and a half years ago coming out and going, we're going to lie to you, we're going to plant fake news reports.
[00:34:09.457 --> 00:34:10.418]  But it's for your own good.
[00:34:10.438 --> 00:34:15.582]  And then the next week, their first action was to go, that report was false.
[00:34:15.782 --> 00:34:16.523]  We're not going to do that.
[00:34:16.903 --> 00:34:18.284]  That was their first line, see?
[00:34:18.744 --> 00:34:31.034]  And somehow, legally, they think it sets a precedent where they're protected if it comes out later or somebody, some grand jury, some justice arm that's really just comes after them for it.
[00:34:31.495 --> 00:34:32.636]  And then, oh, we told you!
[00:34:32.656 --> 00:34:32.716]  See?
[00:34:35.669 --> 00:34:38.091]  I think they do that in other cases, like, oh, we blew up Building 7.
[00:34:38.131 --> 00:34:44.996]  They just say it on national TV, and then the government all denies it, and somehow they ever get caught, or it finally comes out big time.
[00:34:45.176 --> 00:34:46.537]  Well, we told you we blew it up!
[00:34:46.597 --> 00:34:59.487]  It's like, after we reported that the government had done drills on 9-11, we were the first to report it here, by the way, of hijacked jets being flown into structures, or jets off cores, all these different drills,
[00:35:00.532 --> 00:35:01.333]  Hey Alex, my brother.
[00:35:01.353 --> 00:35:01.853]  How you doing, man?
[00:35:26.994 --> 00:35:32.796]  First of all, let me thank you for being my best Article 15 I've ever got wrote up on.
[00:35:32.836 --> 00:35:35.438]  You're not one of their fonder people for us to listen to.
[00:35:35.458 --> 00:35:38.359]  You got written up with an Article 15?
[00:35:38.639 --> 00:35:38.919]  Yeah.
[00:35:40.580 --> 00:35:42.060]  But it was worth it.
[00:35:42.120 --> 00:35:42.741]  It was worth it.
[00:35:42.821 --> 00:35:44.461]  Tell folks what an Article 15 is.
[00:35:46.182 --> 00:35:50.844]  When a certain military person or agent of the military
[00:35:52.409 --> 00:36:12.964]  Sort of goes against current policy or unwritten policy that they feel either endangers military property said being that person or, you know, exposes others to, in my case, some information or as they like to refer to as disinformation that they shouldn't have been privy to at that point.
[00:36:12.984 --> 00:36:16.207]  In other words, I was listening to you while I was on duty.
[00:36:18.869 --> 00:36:20.110]  They didn't like it too good.
[00:36:20.230 --> 00:36:21.351]  So what happened with the Article 15?
[00:36:22.450 --> 00:36:22.950]  Ah, nothing.
[00:36:23.010 --> 00:36:27.532]  I just got 15 extra days worth of duty and that's the end of it.
[00:36:27.612 --> 00:36:29.092]  Got my hands slapped.
[00:36:29.112 --> 00:36:31.633]  They're not going to do a heck of a lot to us.
[00:36:31.853 --> 00:36:40.616]  I'm lucky my MOS happens to be an area where I'm needed a little better than a lot of other people are at different times.
[00:36:41.276 --> 00:36:44.457]  Well, I have a friend whose brother is in the Marine Corps.
[00:36:44.697 --> 00:36:51.059]  This is like eight years ago, six, seven years ago actually, when he went into the Marines
[00:36:52.092 --> 00:36:55.674]  He gave them a copy of my first video back in 1997.
[00:36:58.076 --> 00:37:11.785]  They were all in there watching and even the sergeant was and then some higher level officer came and they even had some investigation over it and they all had to scrub garbage cans and run a bunch of extra laps with packs on their backs.
