[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[00:25:26.555 --> 00:25:32.418]  But as soon as I'd say, America is back or America is good,
[00:25:33.780 --> 00:25:35.141]  Or, we should all love the country.
[00:25:35.221 --> 00:25:43.189]  That's what makes these people just go... I mean, we're talking about radicalized people.
[00:25:43.789 --> 00:25:49.174]  I don't think the North Koreans, with all their brainwashing, when they protest the U.S.
[00:25:49.254 --> 00:25:49.694]  act like this.
[00:25:49.734 --> 00:25:50.355]  In fact, they don't.
[00:25:54.258 --> 00:25:55.279]  They just go out and march around.
[00:25:56.020 --> 00:25:58.723]  This is beyond 10 minutes of hate in 1984, where
[00:26:01.502 --> 00:26:09.006]  They would flash Emanuel Goldstein, the supposed bad guy, up on the screens at these public events you had to go to every day in these movie theaters.
[00:26:09.686 --> 00:26:12.247]  And then you would just scream for 10 minutes going, AHHHHH!
[00:26:12.627 --> 00:26:13.928]  AHHHHH!
[00:26:15.569 --> 00:26:20.211]  And I've had five people come up to me
[00:26:21.400 --> 00:26:26.583]  Yesterday and today, when I brought it up at the office, people in the meeting this morning were like, yeah, I saw that too.
[00:26:27.223 --> 00:26:28.864]  No one watches Spectrum News.
[00:26:28.944 --> 00:26:29.845]  It's Time Warner.
[00:26:29.905 --> 00:26:30.625]  It's CNN.
[00:26:30.645 --> 00:26:31.546]  It used to be called News 8.
[00:26:32.106 --> 00:26:35.328]  In most cities now, they have a local, you know, CNN propaganda news group.
[00:26:35.388 --> 00:26:36.068]  Very low quality.
[00:26:38.249 --> 00:26:41.331]  And I don't watch a lot of TV, but we do have Spectrum.
[00:26:42.812 --> 00:26:46.113]  And I shouldn't have it, but the point is, the house has it.
[00:26:46.834 --> 00:26:50.476]  And I turn it on, and my daughter likes to sometimes, you know, watch a movie at like 8 at night.
[00:26:53.746 --> 00:26:55.327]  I don't watch cartoons with her, so that's what we do.
[00:26:56.528 --> 00:26:58.689]  And when you turn on the cable, Spectrum's on.
[00:26:58.989 --> 00:26:59.770]  It's the first channel.
[00:27:00.930 --> 00:27:09.215]  And in the last few months, we've probably only watched TV 10 times, but every time I turn it on, I'm like, is that a coincidence?
[00:27:09.315 --> 00:27:11.617]  It's Alex Jones, or I'm on the scroll at the bottom.
[00:27:12.837 --> 00:27:19.101]  So Pat Riley, who works here, he broke his foot a few weeks ago, so his wife had to have a baby, so they're at home all weekend.
[00:27:20.247 --> 00:27:23.670]  And he said, Alex, I just left it on in the kitchen with the sound off.
[00:27:24.030 --> 00:27:26.452]  You were on three times an hour to four times an hour.
[00:27:27.533 --> 00:27:29.815]  He even taped some of it or DVR'd it.
[00:27:30.435 --> 00:27:31.937]  Folks, I'm on every channel now.
[00:27:31.977 --> 00:27:35.319]  I'm on MSNBC, Every Hour, CNN, everywhere.
[00:27:36.400 --> 00:27:38.582]  And everything they're saying is twisted or lies.
[00:27:39.122 --> 00:27:40.684]  And I don't know what they're building towards.
[00:27:41.650 --> 00:27:44.331]  Because they're almost attacking me as much as Trump now.
[00:27:44.391 --> 00:27:46.051]  It's like they've decided I'm Trump.
[00:27:46.791 --> 00:27:50.232]  And because they can't beat Trump, they think they're going to destroy me.
[00:27:50.332 --> 00:27:52.093]  And it's building towards something bad.
[00:27:52.113 --> 00:27:56.874]  I mean, there's no doubt that everyone's walking up to me going, you're all over TV.
[00:27:56.934 --> 00:27:58.074]  It's like you're on everywhere.
[00:27:58.094 --> 00:28:00.855]  I had people at a restaurant yesterday, at a toy store yesterday.
[00:28:02.596 --> 00:28:04.376]  One of my neighbors this morning came over and talked to me.
[00:28:04.716 --> 00:28:05.777]  Pat brought it up.
[00:28:05.837 --> 00:28:06.897]  People in the meeting brought it up.
[00:28:07.708 --> 00:28:09.129]  It's like, man, you're all over TV.
[00:28:09.169 --> 00:28:12.930]  I was like at a restaurant, and Spectrum's on, and you were on repeatedly.
[00:28:15.131 --> 00:28:15.911]  Zimmerman saw that.
[00:28:17.852 --> 00:28:19.232]  And it's all bull, too.
[00:28:20.573 --> 00:28:26.395]  Like, we had two lawsuits against me of the 20 or so, down to like six.
[00:28:28.095 --> 00:28:29.776]  We had two lawsuits thrown out last Friday.
[00:28:30.736 --> 00:28:32.557]  It was in local news, and that's it.
[00:28:33.297 --> 00:28:35.778]  But, they advanced some of the Sandy Hook stuff,
[00:28:37.398 --> 00:28:39.979]  It'll take them years, even if they're successful in their fraud.
[00:28:40.259 --> 00:28:41.900]  That is the lawyers and the big backer.
[00:28:41.940 --> 00:28:43.000]  We now know who the big backer is.
[00:28:43.260 --> 00:28:44.160]  That'll be released soon.
[00:28:44.661 --> 00:28:45.421]  It'll be big news.
[00:28:46.421 --> 00:28:50.103]  And... There was no coverage of us winning those.
[00:28:50.143 --> 00:28:52.343]  But the point is, something big's coming.
[00:28:52.423 --> 00:28:53.384]  And I think I know what it is.
[00:28:53.424 --> 00:28:54.964]  I'm gonna talk about that when we come back.
[00:28:54.984 --> 00:28:56.665]  Then we're gonna get into all the other huge news.
[00:28:57.545 --> 00:28:58.366]  Huge news in Europe.
[00:28:58.386 --> 00:28:58.946]  Please stay with us.
[00:29:02.933 --> 00:29:05.934]  Iodine used to be used in bread as a dough enhancer.
[00:29:06.314 --> 00:29:12.216]  Then in the early 1970s, most commercial manufacturers switched to bromide instead.
[00:29:12.636 --> 00:29:18.517]  Research from a World Health Organization study show that 10 to 50% of people worldwide are deficient in iodine.
[00:29:18.817 --> 00:29:21.458]  In fact, over 90% of Americans are low in iodine.
[00:29:21.738 --> 00:29:29.247]  Since 1970, the iodine they collected in urine is 50% less now than it was then.
[00:29:29.267 --> 00:29:37.476]  In 2004, a survey of 100 pregnant mothers found that 58% were between moderately and severely deficient in iodine.
[00:29:38.077 --> 00:29:42.342]  Maternal iodine deficiency is particularly dangerous to the developing fetus.
[00:29:43.200 --> 00:29:46.822]  Most people, I think everybody, for the most part, should be supplementing with iodine.
[00:29:47.002 --> 00:29:52.966]  Well, another element that you have to have, and if you don't have it, you'll die, that's a fact, is iodine.
[00:29:53.947 --> 00:30:02.812]  And the fields and the systems that we grow crops on have been almost totally debased of true atomic iodine.
[00:30:03.352 --> 00:30:07.535]  We have the most absolutely clean, deep-earth crystal source of iodine, X2.
[00:30:07.555 --> 00:30:09.276]  You're probably going, wait a minute.
[00:30:10.401 --> 00:30:12.184]  It's the last year you've been saying X2's selling out.
[00:30:12.204 --> 00:30:13.526]  It was the last run.
[00:30:13.546 --> 00:30:14.488]  It's been sold out for two months.
[00:30:15.575 --> 00:30:16.436]  How is X2 back?
[00:30:16.896 --> 00:30:20.538]  It was very hard to get from the oil companies that get it drilling down to 12,000 feet.
[00:30:21.019 --> 00:30:24.081]  We got put over the barrel, some industrial sabotage we couldn't get anymore.
[00:30:24.681 --> 00:30:34.708]  But by really putting pressure on from the original manufacturer, we were able to get the deep-earth crystal iodine that's absolutely pure, absolutely atomic, that nobody else has, and bring it to you.
[00:30:34.788 --> 00:30:38.711]  So X2 Original is back by the grace of God.
[00:30:39.131 --> 00:30:40.272]  Look, here's the bottom line.
[00:30:40.692 --> 00:30:45.034]  You need to do research into iodine and the iodine conspiracy for yourself.
[00:30:45.494 --> 00:30:47.295]  In a few minutes, I can't break it all down.
[00:30:47.695 --> 00:30:48.995]  And a lot of you have listened to me.
[00:30:49.536 --> 00:30:51.797]  It has thousands and thousands of four-star reviews.
[00:30:52.397 --> 00:30:54.598]  What, like a 4.9 star on Power Reviews?
[00:30:55.218 --> 00:30:58.699]  But many of you hear me talk about this and it's just more background chatter.
[00:30:59.560 --> 00:31:02.001]  The most powerful thing in our lives.
[00:31:03.047 --> 00:31:05.349]  Is our own metabolic system, our own electrochemical system.
[00:31:05.829 --> 00:31:18.197]  So from our brain waves to our nerves, to our bodies, to our glands, the engine, the foundational tool between so much of it, our hormones, you name it, is pure iodine.
[00:31:18.698 --> 00:31:21.219]  And if you don't have iodine, your body will absorb the bad halogens.
[00:31:21.780 --> 00:31:22.920]  So iodine is amazing.
[00:31:22.960 --> 00:31:23.521]  It's important.
[00:31:23.541 --> 00:31:25.782]  A lot of forms of it out there are all mixed up and jacked.
[00:31:25.862 --> 00:31:26.363]  They'll hurt you.
[00:31:26.743 --> 00:31:27.443]  This is pure.
[00:31:27.724 --> 00:31:28.424]  This is clean.
[00:31:28.764 --> 00:31:29.545]  This is amazing.
[00:31:29.865 --> 00:31:31.666]  And it funds the info war, a 360 win.
[00:31:33.187 --> 00:31:36.828]  X2, our overall best-selling product, is now back.
[00:31:37.148 --> 00:31:41.889]  X2 Original, from the very first original manufacturer.
[00:31:42.290 --> 00:31:48.851]  The exact same X2 at InfoWarsLife.com, InfoWarsTore.com, or 888-253-3139.
[00:31:48.871 --> 00:31:51.812]  As I said, get your pre-orders in, week, week and a half.
[00:31:52.132 --> 00:32:00.855]  It's being labeled right now, it's already been bottled, and we are going to have it for you, ladies and gentlemen, at InfoWarsTore.com and InfoWarsLife.com.
[00:32:00.915 --> 00:32:01.915]  Thank you all for your support.
[00:32:02.591 --> 00:32:08.576]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[00:32:08.976 --> 00:32:11.578]  Discover the power of ancient medicine with Bades.
[00:32:12.178 --> 00:32:15.621]  Bades contains one of the most potent forms of turmeric available.
[00:32:15.881 --> 00:32:20.165]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[00:32:20.585 --> 00:32:23.828]  It is well known in traditional medicine for its soothing properties.
[00:32:24.748 --> 00:32:34.975]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[00:32:35.735 --> 00:32:44.301]  Regular turmeric root from the store only contains 1-5% of active ingredients, but our turmeric root extract contains over 95% of the active ingredients.
[00:32:45.922 --> 00:32:54.444]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[00:32:54.964 --> 00:32:59.225]  Try Bodies today at infowarslife.com or call us at 1-888-253-3139.
[00:32:59.245 --> 00:33:00.525]  You're listening to the Alex Jones Show!
[00:33:24.781 --> 00:33:29.742]  From the front lines of the Information War, it's Alex Jones.
[00:33:30.643 --> 00:33:31.443]  Alright, so...
[00:33:54.443 --> 00:33:56.303]  Remember, like, last year, Frank called in.
[00:33:56.343 --> 00:33:57.864]  He's since called in, and, you know, we've made up.
[00:33:59.144 --> 00:34:01.104]  He said, man, all you ever do is bragging about yourself.
[00:34:01.824 --> 00:34:04.105]  Dude, I'm not bragging about myself.
[00:34:06.565 --> 00:34:08.145]  I do not like the position I'm in.
[00:34:08.225 --> 00:34:09.025]  It's not fun.
[00:34:09.566 --> 00:34:13.726]  But I do like the fact that the globalists are in trouble, and their system is being exposed.
[00:34:13.846 --> 00:34:20.527]  When we become one of the main focal news stories by the globalists, they've got a big reason for it.
[00:34:21.208 --> 00:34:23.608]  A big, big, big reason for it.
[00:34:25.171 --> 00:34:27.472]  And I figured out the reason I know the larger plan.
[00:34:27.672 --> 00:34:29.153]  And I now know the timeline.
[00:34:29.554 --> 00:34:32.235]  And now I'm learning who the parties are and the exact players.
[00:34:32.975 --> 00:34:34.256]  And this is how we beat them.
[00:34:35.017 --> 00:34:38.899]  You don't think I'm on every news show every day now for no reason.
[00:34:42.061 --> 00:34:50.585]  They've got a larger plan to destroy me and then tag it onto the Liberty Movement worldwide in some larger defeat.
[00:34:51.186 --> 00:34:53.267]  They are branding me as the villain.
[00:34:55.643 --> 00:34:56.483]  I'm going to say this again.
[00:34:57.344 --> 00:35:05.627]  Three times an hour, 24 hours a day, most days, on Time Warner Cable, now changed their name to Spectrum.
[00:35:06.247 --> 00:35:07.027]  That's the CNN.
[00:35:07.307 --> 00:35:09.128]  CNN runs and controls the station.
[00:35:11.729 --> 00:35:13.630]  They have Smirkonish and all these guys.
[00:35:14.330 --> 00:35:15.651]  People say, well, play the clips.
[00:35:15.911 --> 00:35:17.311]  There's like 10 of them a day.
[00:35:17.451 --> 00:35:19.032]  I can't even spend time watching them.
[00:35:23.786 --> 00:35:26.387]  And they say in the clips, he is a premeditated liar.
[00:35:26.747 --> 00:35:28.688]  Everything he says is consciously not true.
[00:35:28.948 --> 00:35:30.089]  He is a scam artist.
[00:35:30.769 --> 00:35:33.450]  And of course, everything he's saying is about himself.
[00:35:36.031 --> 00:35:37.172]  They say the same thing about Trump.
[00:35:37.272 --> 00:35:38.232]  Oh, he's a liar.
[00:35:38.252 --> 00:35:40.713]  And they'll show like 20 containers of gumballs.
[00:35:41.173 --> 00:35:45.235]  And they go, every one of these gumballs is a liar, according to PolitiFact.
