[00:00:17.094 --> 00:00:21.237]  Defending the Republic from enemies, foreign and domestic.
[01:32:31.140 --> 01:32:32.221]  You are the info war.
[01:32:32.341 --> 01:32:33.622]  You're the power of the whole thing.
[01:32:34.162 --> 01:32:38.466]  And that's why I get so freaked out about begging the audience for help, because it's the truth!
[01:32:38.566 --> 01:32:39.647]  I mean, I'm not just saying it.
[01:32:39.767 --> 01:32:43.351]  If you weren't here, standing in the way, they would have already destroyed me.
[01:32:43.511 --> 01:32:44.712]  But we're in this together.
[01:32:44.872 --> 01:32:46.534]  So God bless you, Jessica from Virginia.
[01:32:47.094 --> 01:32:49.917]  And yeah, looking at that little pathetic gremlin governor.
[01:32:50.117 --> 01:32:51.498]  Of course he's KKK.
[01:32:51.638 --> 01:32:53.780]  Who the hell wants to harvest babies' organs?
[01:32:53.820 --> 01:32:55.282]  That's what that's all really about.
[01:32:55.682 --> 01:32:56.883]  These are demons.
[01:32:57.404 --> 01:32:58.905]  But thanks to you and others, we're gonna win.
[01:32:58.965 --> 01:32:59.626]  Thank you so much.
[01:33:06.917 --> 01:33:23.944]  You're listening to the Alex Jones Show.
[01:33:23.984 --> 01:33:25.405]  You want to stop tyranny?
[01:33:25.665 --> 01:33:26.826]  Well, so does he.
[01:33:27.366 --> 01:33:28.786]  It's Alex Jones.
[01:33:29.327 --> 01:33:32.328]  And now, your host, Owen Troyer.
[01:33:41.391 --> 01:33:48.495]  Well ladies and gentlemen, Alex Jones here live on the Sunday broadcast with Owen Troyer and Roger Stone.
[01:33:48.515 --> 01:33:55.118]  I'm looking at drugreport.com, CBS News, the wolf who cried, make America great again.
[01:33:56.101 --> 01:33:59.042]  Wanted Chicago police to re-question actor.
[01:33:59.742 --> 01:34:04.703]  Cooked you three years in prison for filing false report called a false flag.
[01:34:05.243 --> 01:34:06.263]  Rehearsed attack.
[01:34:06.704 --> 01:34:11.085]  Flashback laid out a hateful doubters lash out at those that questioned.
[01:34:11.645 --> 01:34:14.065]  There's a big montage Owen played earlier, we'll play it again.
[01:34:14.645 --> 01:34:20.227]  Watch media uncritically accept another hate crime hoax.
[01:34:20.347 --> 01:34:21.067]  This is America.
[01:34:22.538 --> 01:34:27.022]  2019.
[01:34:22.878 --> 01:34:27.022]  So we were the first to say when it happened that we believe it was fake.
[01:34:27.282 --> 01:34:28.083]  It's our right to say it.
[01:34:28.103 --> 01:34:29.003]  It may have actually happened.
[01:34:29.284 --> 01:34:33.607]  But almost all the other hate crimes are staged, are made up by the left.
[01:34:34.167 --> 01:34:39.251]  Just hundreds and hundreds and hundreds and hundreds and hundreds of them where we can't even keep track of them anymore.
[01:34:39.411 --> 01:34:43.955]  I personally have experienced the left make up outrageous things about me.
[01:34:44.035 --> 01:34:46.237]  Roger can tell you about the racial stuff they've said about him.
[01:34:46.717 --> 01:34:48.499]  It's just incredible to create division.
[01:34:48.939 --> 01:34:51.221]  And so it looks like he hired people that worked on the set with him
[01:34:52.400 --> 01:34:53.742]  We're good to go.
[01:35:03.266 --> 01:35:03.486]  I think?
[01:35:33.626 --> 01:35:43.089]  So this is just incredible how many false flags they've been caught in, and they want to make it absolutely illegal to question their events, and that's why they're coming after InfoWars.com.
[01:35:43.129 --> 01:35:44.170]  But this is a big deal.
[01:35:44.570 --> 01:35:49.012]  The police now say that these guys have told them everything, that it was totally staged, open and shut case.
[01:35:49.492 --> 01:35:50.772]  Tomorrow's news today.
[01:35:50.832 --> 01:35:53.033]  Back to Owen Schroer and Roger Stone.
[01:35:53.333 --> 01:35:54.353]  InfoWars.com.
[01:35:54.593 --> 01:35:55.894]  Tomorrow's news today.
[01:35:57.307 --> 01:36:00.689]  And again, as Alex said, this is why they want us censored, ladies and gentlemen.
[01:36:01.469 --> 01:36:02.870]  This is why they want us censored.
[01:36:03.251 --> 01:36:07.393]  And hey, we were the ones that told you they were gonna try to remove the President with the 25th Amendment.
[01:36:07.933 --> 01:36:11.115]  We were the ones that told you Trump's gonna declare a national emergency at the southern border.
[01:36:11.135 --> 01:36:12.856]  We gave you the exact date.
[01:36:14.197 --> 01:36:18.920]  And so, they can't have us out there when they're trying to control the narrative.
[01:36:19.980 --> 01:36:22.262]  Because, if you notice,
[01:36:23.539 --> 01:36:34.008]  The media has such a control of the narrative that just last week, six police officers shot a black man in his car who was allegedly just sitting there sleeping.
[01:36:35.830 --> 01:36:36.810]  Did the media cover that?
[01:36:36.830 --> 01:36:38.071]  Nope.
[01:36:39.181 --> 01:36:40.001]  Ask yourself why.
[01:36:40.141 --> 01:36:42.082]  Why was there no outrage for that individual?
[01:36:42.882 --> 01:36:53.047]  Ask yourself why the shooting that happened on Friday in Aurora, Illinois didn't have national media swarming that event, making it a big national news story for 48 hours.
[01:36:53.547 --> 01:36:56.728]  Because the media decides the narrative.
[01:36:56.808 --> 01:37:01.850]  The media decides which mass shooting gets all the attention and then gets to control the narrative.
[01:37:02.210 --> 01:37:03.751]  The media decides
[01:37:04.710 --> 01:37:07.893]  What crime gets all the attention and gets to control the narrative?
[01:37:08.273 --> 01:37:17.160]  Not the literally hundreds if not thousands of attacks, hate crime attacks against Trump supporters, myself included, that never makes national news.
[01:37:17.541 --> 01:37:21.784]  No, it's the fake Jussie Smollett hate crime that makes the news.
[01:37:22.145 --> 01:37:24.366]  And so that's how they control the narrative.
[01:37:24.627 --> 01:37:30.892]  They can't have InfoWars here battling that narrative, beating that narrative, getting Trump in office instead of their
[01:37:32.648 --> 01:37:35.069]  And I'm just thankful that Alex Jones had enough foresight
[01:37:46.897 --> 01:37:53.943]  Really five years ago, committing to the game plan to go fully independent and only rely on this audience for funding.
[01:37:54.503 --> 01:38:02.669]  Because if it wasn't for Alex Jones switching that gear and having that foresight, who knows where InfoWars would be at, ladies and gentlemen.
[01:38:02.709 --> 01:38:10.575]  But because we rely on your support at InfoWarsStore.com, we're still here today, we're still live on this Sunday, and really because of God and your prayers.
[01:38:13.305 --> 01:38:22.527]  The smart thing that Alex did was he put products and items and supplements at InfoWarsStore.com that everybody wants, everybody needs.
[01:38:22.767 --> 01:38:23.947]  Let's talk about stuff you need.
[01:38:25.107 --> 01:38:26.627]  You need a water filter in your house.
[01:38:26.947 --> 01:38:27.828]  You need it, folks.
[01:38:27.968 --> 01:38:28.988]  You need to filter your water.
[01:38:30.048 --> 01:38:31.868]  We have water filters at InfoWarsStore.com.
[01:38:33.028 --> 01:38:35.909]  Probably five, ten different kinds of water filters.
[01:38:36.069 --> 01:38:36.689]  Maybe more than that.
[01:38:37.049 --> 01:38:37.529]  Pick your own.
[01:38:37.689 --> 01:38:38.389]  Pick which one you want.
[01:38:38.749 --> 01:38:40.990]  Pick which one works best for you and your place.
[01:38:41.912 --> 01:38:42.492]  Water filters.
[01:38:42.532 --> 01:38:43.313]  What else do you need?
[01:38:43.373 --> 01:38:44.974]  You take showers, right?
[01:38:45.014 --> 01:38:49.997]  Okay, well, we've got shampoo, body wash, all natural, all organic ingredients.
[01:38:50.617 --> 01:38:51.758]  It's at Infowarsstore.com.
[01:38:51.998 --> 01:38:52.798]  Do you brush your teeth?
[01:38:53.519 --> 01:38:58.782]  We've got toothpaste, toothbrushes, multiple different kinds at Infowarsstore.com.
[01:38:59.142 --> 01:39:03.905]  That's just an example of some stuff that you need that you can find at Infowarsstore.com.
[01:39:03.925 --> 01:39:05.866]  Well, how about just some stuff you want?
[01:39:07.333 --> 01:39:19.082]  I personally am somebody that always has protein bars in my pantry, always boxes of them, because it's a nice treat to grab, you know, when you're on the go, when you're on the run, you don't have time to sit down, or you're about to go work out and you need a little something before the gym.
[01:39:19.402 --> 01:39:19.763]  Perfect!
[01:39:19.803 --> 01:39:21.164]  You grab one, you go!
[01:39:21.644 --> 01:39:24.066]  Well, now we've got protein bars at InfoWareStore.com.
[01:39:24.086 --> 01:39:27.629]  These are just released, and you can actually get two boxes right now for 40% off.
[01:39:29.210 --> 01:39:36.736]  So, two boxes of the InfoWars Life Protein Bar for 40% off right now at InfoWarsStore.com.
[01:39:36.776 --> 01:39:37.877]  How about energy boosts?
[01:39:37.957 --> 01:39:40.018]  Everybody's into energy drinks and energy supplements.
[01:39:40.038 --> 01:39:49.586]  We've got the brand new TurboForce at InfoWarsStore.com, which if you get TurboForce, you can then get 50% off BrainForce Plus, which we're currently running low on.
[01:39:50.947 --> 01:39:56.151]  So, I'm not sure how much longer this deal is going to be around for the 50% off BrainForce Plus when you purchase TurboForce.
[01:39:57.759 --> 01:40:01.981]  But it's your support at InfoWarsTore.com that makes everything possible.
[01:40:02.441 --> 01:40:06.943]  And I know that Alex is just chomping at the bit to expand, folks.
[01:40:07.103 --> 01:40:09.304]  I know that he's just chomping at the bit to expand.
[01:40:09.804 --> 01:40:14.046]  But quite frankly, it's impossible with the current circumstances.
[01:40:14.226 --> 01:40:25.531]  But if everybody listening to today's broadcast went to InfoWarsTore.com and just bought a tube of toothpaste and a toothbrush or just bought two boxes of protein bars, if everyone that listened
[01:40:27.918 --> 01:40:35.164]  If everyone that listened went and spent $50, $100, $200 at Infowarsstore.com today, Alex would expand tomorrow.
[01:40:36.185 --> 01:40:46.974]  He'd come in, he'd come in so high off the fact that the audience has his back that much, he'd come in so high off the fact that you just put that much fuel in his tank, he'd blast it all off to the next level.
[01:40:47.654 --> 01:40:48.415]  Because that's what he does.
[01:40:48.635 --> 01:40:49.996]  I've witnessed it firsthand, folks.
[01:40:50.297 --> 01:40:57.424]  Just look at the expansion that you've seen at InfoWars just in the last three years since we went major viral getting Trump elected.
[01:40:57.444 --> 01:41:09.376]  I mean, if you really want to look at the growth curve of InfoWars and the popularity curve of InfoWars, it was always on the same trajectory, and then once the Trump
[01:41:10.421 --> 01:41:12.542]  You know, campaign started in 2015.
[01:41:12.642 --> 01:41:19.205]  It's like we did a, we were, our trajectory went so high, we almost did like a loop, and then went back up.
[01:41:20.105 --> 01:41:21.345]  And so that's why they had to censor us.
[01:41:23.026 --> 01:41:26.707]  Anytime we would go live on YouTube, we'd be the most viewed thing on YouTube.
[01:41:26.868 --> 01:41:28.048]  On like five different channels.
[01:41:28.148 --> 01:41:28.988]  They had to erase us off.
[01:41:31.429 --> 01:41:36.711]  Anytime Alex Jones would go do something live in the streets with a bullhorn, and we'd put it on Twitter, get millions of views.
[01:41:37.252 --> 01:41:37.832]  They had to erase it.
[01:41:38.951 --> 01:41:40.632]  They just erased all of our pages off Facebook.
[01:41:43.433 --> 01:41:43.894]  So fine!
[01:41:44.894 --> 01:41:46.215]  They don't want us on their platforms?
[01:41:46.675 --> 01:41:46.975]  Fine.
[01:41:47.356 --> 01:41:48.636]  We get it, they hate free speech.
[01:41:48.997 --> 01:41:50.597]  They know that our politics defeats theirs.
[01:41:51.178 --> 01:41:52.739]  They want to enslave you, we want to free you.
[01:41:52.839 --> 01:41:53.719]  Fine, so they erase us.
[01:41:53.739 --> 01:41:55.480]  They're tyrants, they're dictators, they're authoritarians.
[01:41:55.580 --> 01:41:56.961]  We get it, we know it, we called them out.
[01:41:57.301 --> 01:41:58.262]  That's why they censored us.
[01:41:59.082 --> 01:42:07.267]  So if you're sick of the censorship, if you're sick of Soros paying hundreds of millions of dollars determining courts in this country, Congress in this country,
[01:42:08.366 --> 01:42:09.727]  Social movements in this country.
[01:42:09.747 --> 01:42:12.709]  Go to Infowarsstore.com and support us, folks.
[01:42:12.769 --> 01:42:13.410]  Now, here's the deal.
[01:42:13.450 --> 01:42:30.303]  In the next segment, I'm going to try to get to as much news as possible, and then I'm telling you, this report from Greg Reese that I'm going to air in the conclusion of today's Alex Jones Show is so bombshell, I want everyone to download it and re-upload it to your YouTube channel.
[01:42:31.744 --> 01:42:43.212]  This is a video that needs to get viewed 20 million times to strike fear in the heart of the deep state human traffickers, folks.
[01:42:43.753 --> 01:42:44.633]  Trump's targeting them.
[01:42:45.354 --> 01:42:47.976]  You're seeing thousands of arrests, coast-to-coast, happening.
[01:42:48.296 --> 01:42:49.317]  No one's reporting on it.
[01:42:50.257 --> 01:42:55.821]  It's all happening, and he declared a national emergency, kicking the whole thing off, and nobody even noticed it.
[01:42:56.662 --> 01:43:00.325]  InfoWars did, and we've got the bombshell report on the other side of this break.
[01:43:03.451 --> 01:43:05.113]  It took us over a year to develop it.
[01:43:05.873 --> 01:43:07.876]  Thousands and thousands of five-star reviews.
[01:43:08.979 --> 01:43:09.960]  It's BrainForce Plus.
[01:43:10.260 --> 01:43:15.305]  I'm so proud of you and the InfoWars team for all that you do.
[01:43:15.405 --> 01:43:17.046]  I wanted to say I love your products.
[01:43:17.266 --> 01:43:19.568]  The BrainForce Plus is amazing.
[01:43:19.588 --> 01:43:24.873]  Me and my family take it every day and I mean you really can feel what it does.
[01:43:24.893 --> 01:43:33.120]  We were able to develop BrainForce because we went out and looked at what the best-selling nootropics or brain-focused energy products were.
[01:43:33.781 --> 01:43:35.562]  And we decided to make it even stronger
[01:43:36.543 --> 01:43:40.348]  And even more high quality and even more organic than leading competitors.
[01:43:40.868 --> 01:43:42.731]  And we've done it with Brain Force Plus.
[01:43:42.811 --> 01:43:46.956]  It is our number one best seller in gross bottles sold.
[01:43:47.857 --> 01:43:52.262]  Now I made the decision in our marketing to put a lot of product in it and sell it for a low price.
[01:43:52.883 --> 01:43:55.005]  Believing that you're smart, you'll research the market.
[01:43:55.606 --> 01:44:00.270]  Get a great result, know you're getting a great deal, and be routine, continued customers.
[01:44:00.671 --> 01:44:04.214]  I want a long-term relationship with you, and I want a product that I'm proud of that I'm going to use.
[01:44:04.654 --> 01:44:05.875]  It's up there as the very best.
[01:44:06.196 --> 01:44:10.339]  There are nootropics that are $80 a bottle that aren't as good, that have some of the similar ingredients.
[01:44:10.960 --> 01:44:13.903]  But, you know, a doctor sells it at their office, so it must be better.
[01:44:15.084 --> 01:44:21.690]  Ladies and gentlemen, we then stood back and said, what is the number one best-selling thing in the total market globally?
[01:44:22.671 --> 01:44:22.851]  I don't
[01:44:43.138 --> 01:44:49.200]  Top people in the country who has developed some of the other top energy drinks in the nation and in the world.
[01:44:49.600 --> 01:44:53.381]  And they developed TurboForce that is the next level.
[01:44:53.921 --> 01:44:54.862]  Long burn.
[01:44:54.882 --> 01:44:57.062]  A lot of folks up to 10 hours of energy.
[01:44:57.122 --> 01:44:58.183]  Me, 6, 7, 8 hours.
[01:44:58.563 --> 01:44:59.563]  And I take about a half a packet.
[01:44:59.583 --> 01:45:00.103]  It's so strong.
[01:45:00.443 --> 01:45:06.025]  And then it's got all the minerals and all the different amino acids that help deliver the energy into the body.
[01:45:06.789 --> 01:45:20.614]  And that's why I want to thank all the listeners who have been BrainForce fans with 50% off BrainForce, because the two go together to supply yourself and your family with your nootropic with TurboForce, ladies and gentlemen, so you can try it.
[01:45:20.994 --> 01:45:27.817]  It's 33% off, and you get it in a combo, 50% off on BrainForce for a limited time at InfoWareStore.com.
[01:45:28.297 --> 01:45:30.898]  One is a pill, one is a packet.
[01:45:31.398 --> 01:45:35.720]  And again, the first time you take TurboForce, I recommend you only take half a packet, because let me tell you,
[01:45:36.727 --> 01:45:40.152]  Folks I know that are totally into energy drinks said they've never seen anything like it.
[01:45:40.513 --> 01:45:42.055]  Most energy drinks sit in 20-30 minutes.
[01:45:42.075 --> 01:45:46.201]  A lot of people get hit in 5 minutes with turbo force.
[01:45:46.662 --> 01:45:51.609]  But again, it doesn't just hit fast, it lasts super, super long because the developers
[01:45:52.711 --> 01:46:00.501]  That we reached out to had the mission of having something that gives you continual clean energy over a long period of time.
[01:46:00.841 --> 01:46:06.048]  So the different compounds that are in this, that synergistically work together, have different burn rates.
[01:46:06.608 --> 01:46:09.973]  Almost like a Saturn rocket's got three different components.
[01:46:11.480 --> 01:46:11.901]  See what I mean?
[01:46:12.181 --> 01:46:20.134]  It launches, you get the main boost phase, then you get up into orbit, you get your next phase, you get to the moon, land on the moon, come back to the Earth.
[01:46:20.515 --> 01:46:24.321]  You've got all those different phases here, ladies and gentlemen, to get you throughout the day.
[01:46:24.742 --> 01:46:25.563]  Boost in the morning!
[01:46:26.499 --> 01:46:31.700]  Continue on through your interstellar day, conquering, exploring, dominating.
[01:46:32.400 --> 01:46:34.561]  And listen, I like to ride my horse and shoot my gun.
[01:46:34.701 --> 01:46:37.582]  You know, a country boy's work is really never done.
[01:46:38.002 --> 01:46:45.183]  And after you put the kids down to bed with the missus there in your arms, you can do a repair job and fix the cable like all good Americans do.
[01:46:45.743 --> 01:46:46.824]  And all thanks to Turbo Force.
[01:46:47.444 --> 01:46:52.025]  So again, coming to you, ladies and gentlemen, from the founding system,
[01:46:52.665 --> 01:46:54.226]  You're listening to the Alex Jones Show!
[01:47:21.906 --> 01:47:22.808]  You found it.
[01:47:23.028 --> 01:47:24.672]  The tip of the spear.
[01:47:25.113 --> 01:47:29.261]  It is the Alex Jones Show with Owen Troyer.
[01:47:32.390 --> 01:47:34.171]  So, I'm going to talk about this one more time.
[01:47:34.191 --> 01:47:35.631]  I'm going to move on to getting some other news.
[01:47:35.751 --> 01:47:38.972]  And then I've just got a bombshell report from Gregory's that we're going to air.
[01:47:39.032 --> 01:47:43.394]  And I need you to take action and upload this video to your YouTube channel.
[01:47:43.434 --> 01:47:44.514]  Share it everywhere.
[01:47:45.014 --> 01:47:47.875]  It needs 20 million views, ladies and gentlemen.
[01:47:47.895 --> 01:47:51.076]  This is how we can get victory over these bastards.
[01:47:51.296 --> 01:47:52.557]  These bastards, man!
[01:47:52.577 --> 01:47:55.558]  They're freaking running kids, folks!
[01:47:55.578 --> 01:47:56.238]  Excuse me.
[01:47:58.743 --> 01:48:05.405]  So, the entire media confab runs with the Jesse Smollett hate crime hoax.
[01:48:06.566 --> 01:48:07.826]  But who covered this story?
[01:48:08.566 --> 01:48:11.647]  Which I give credit to my friend Andrew Kerr for helping break this.
[01:48:11.667 --> 01:48:12.628]  He's over at the Daily Caller.
[01:48:13.068 --> 01:48:17.849]  DC Antifa leader charged with ethnic intimidation related to attack on Marines.
[01:48:17.889 --> 01:48:27.613]  So this DC Antifa leader, freeloader, DC Antifa freeloader, Joseph Alcoff, also known as Chepe,
[01:48:29.376 --> 01:48:29.897]  Chepe!
[01:48:30.517 --> 01:48:31.058]  Yeah, okay.
[01:48:31.979 --> 01:48:32.719]  Okay, Chepe.
[01:48:33.500 --> 01:48:34.521]  He gets charged.
[01:48:35.522 --> 01:48:36.082]  17 charges.
[01:48:36.302 --> 01:48:37.183]  Aggravated assault.
[01:48:37.323 --> 01:48:38.324]  Ethnic intimidation.
[01:48:38.404 --> 01:48:39.205]  Conspiracy.
[01:48:39.325 --> 01:48:40.206]  Terrorist threats.
[01:48:41.147 --> 01:48:41.727]  Robbery.
[01:48:41.867 --> 01:48:43.128]  Inflicting bodily injury.
[01:48:43.429 --> 01:48:44.550]  Where was all the coverage of this?
[01:48:45.791 --> 01:48:47.632]  Where was the coverage of this man's victims?
[01:48:47.853 --> 01:48:49.154]  Where was Good Morning America?
[01:48:49.334 --> 01:48:50.195]  Where was CNN?
[01:48:50.255 --> 01:48:51.276]  Where's Brian Seltzer?
[01:48:51.296 --> 01:48:52.016]  Where's S.E.
[01:48:52.076 --> 01:48:52.337]  Cupp?
[01:48:52.537 --> 01:48:53.818]  Where's Brooke Baldwin?
[01:48:54.338 --> 01:48:54.939]  Nowhere.
[01:48:56.357 --> 01:48:59.059]  Like I said, folks, the media controls the narrative.
[01:48:59.539 --> 01:49:00.500]  That's their job.
[01:49:00.980 --> 01:49:02.801]  That's why they have to have InfoWars off air.
[01:49:02.861 --> 01:49:04.402]  So, you know, a D.C.
[01:49:04.482 --> 01:49:09.826]  Antifa leader actually gets charged, caught, all the evidence is out, engaging in terrorism and hate crimes.
[01:49:10.246 --> 01:49:11.427]  Nobody covers it.
[01:49:11.827 --> 01:49:18.752]  But Jesse Smollett cries on Good Morning America, stages a hate crime, and it's national news.
[01:49:18.932 --> 01:49:21.594]  And who knows if people... I was actually on Twitter during the break.
[01:49:23.459 --> 01:49:25.440]  There's people actually denying that it happened.
[01:49:26.361 --> 01:49:30.583]  Conservatives are like, wow, turns out the Smollett hate crime was just a big hoax.
[01:49:31.023 --> 01:49:32.924]  And liberals are on there like, how dare you?
[01:49:33.825 --> 01:49:34.685]  How dare you?
[01:49:34.705 --> 01:49:38.087]  It's like, yeah, how dare I do research and know what's going on?
[01:49:38.147 --> 01:49:38.687]  Oh my gosh.
[01:49:41.108 --> 01:49:43.510]  So the Democrats want to confiscate the guns.
[01:49:43.730 --> 01:49:44.590]  We covered that.
[01:49:45.371 --> 01:49:49.173]  Oh, Anthony Weiner gets out of prison early.
[01:49:50.307 --> 01:49:51.208]  Isn't that just nice?
[01:49:51.788 --> 01:50:05.859]  Good ol' Anthony Weiner that, you know, married to Hillary Clinton's top aide, Huma Abedin, and gets caught sexually harassing and sexting minors.
[01:50:09.902 --> 01:50:11.023]  Long before L.A.
[01:50:11.083 --> 01:50:17.408]  City Hall was infested with rats, L.A.
[01:50:17.428 --> 01:50:18.829]  has struggled with the rise of typhus.
[01:50:19.958 --> 01:50:22.959]  So, Typhus is in California.
[01:50:23.059 --> 01:50:24.260]  Typhus, ladies and gentlemen.
[01:50:24.900 --> 01:50:27.882]  Maxine Waters calls for rallies across America to send a message to Trump.
[01:50:28.002 --> 01:50:28.902]  No fake emergency.
[01:50:28.962 --> 01:50:31.123]  So now Maxine Waters is calling for more domestic violence.
[01:50:31.363 --> 01:50:32.204]  That's nice.
[01:50:32.244 --> 01:50:33.324]  That's great from a congresswoman.
[01:50:33.344 --> 01:50:37.626]  They're going to be protesting apparently all day tomorrow on President's Day.
[01:50:37.666 --> 01:50:41.128]  So I think that means I think I need to go out in a MAGA hat and shoot a video.
[01:50:41.348 --> 01:50:41.768]  I don't know.
[01:50:42.907 --> 01:50:45.147]  Biden says America is an embarrassment.
[01:50:45.207 --> 01:50:45.968]  No, you're an embarrassment.
[01:50:45.988 --> 01:50:50.308]  I hope you run for president because then everybody's going to see those videos of you groping children.
[01:50:50.668 --> 01:50:51.369]  Cannot wait.
[01:50:52.249 --> 01:50:54.589]  Kamala Harris puts on a jacket, makes national news.
[01:50:55.329 --> 01:50:58.490]  The Democrats are about to eat themselves in the 2020 campaign process.
[01:50:58.510 --> 01:50:59.310]  Just get ready for that.
[01:50:59.350 --> 01:50:59.910]  They already are.
[01:51:00.270 --> 01:51:03.791]  Politico says, how does a straight white male Democrat run for president?
[01:51:03.871 --> 01:51:05.071]  So they're already eating their own.
[01:51:05.751 --> 01:51:09.712]  Nancy Pelosi wishes you a happy Thanksgiving yesterday.
[01:51:09.872 --> 01:51:10.492]  Thank you, Nancy.
[01:51:11.491 --> 01:51:17.935]  And in response to Ocasio-Cortez's new Green Deal, I want to propose some legislation here on air.
[01:51:18.215 --> 01:51:19.816]  And I know I'm not in government, but you know what?
[01:51:19.937 --> 01:51:23.039]  I think that this should go right to the top, ladies and gentlemen.
[01:51:23.139 --> 01:51:25.760]  And I want thousands of page reports on this.
[01:51:25.820 --> 01:51:27.481]  I want a whole big thing.
[01:51:27.501 --> 01:51:29.062]  Maybe even declare a national emergency on this.
[01:51:29.082 --> 01:51:34.406]  In fact, just like we need to fight climate change.
[01:51:36.607 --> 01:51:38.528]  Just like we need to get that damn climate change, folks.
[01:51:38.549 --> 01:51:38.889]  We'll get it.
[01:51:40.018 --> 01:51:43.299]  I want to fight giant meteors in space.
[01:51:44.540 --> 01:51:46.480]  I think we need to fight giant meteors in space.
[01:51:47.621 --> 01:51:51.822]  Because a giant meteor in space hurtling towards Earth right now could destroy us tomorrow.
[01:51:52.502 --> 01:52:02.466]  So if we're freaked out about climate change, which has been going on for billions of years, and it's totally out of our control, let's freak out about giant meteors.
[01:52:02.586 --> 01:52:06.167]  So who knows how many giant meteors could be out there on a trajectory towards Earth right now?
[01:52:07.554 --> 01:52:08.014]  Who knows?
[01:52:08.054 --> 01:52:08.795]  There could be hundreds.
[01:52:08.915 --> 01:52:10.056]  One could hit Earth tomorrow.
[01:52:10.296 --> 01:52:11.216]  What am I gonna do?
[01:52:11.677 --> 01:52:14.859]  Why is America not freaked out about giant meteors?
[01:52:16.243 --> 01:52:23.586]  So somebody with a little guts in Congress needs to step up and fight these giant meteors that are hurtling towards Earth before we fight climate change.
[01:52:23.606 --> 01:52:29.748]  Alright folks, you need to go to Infowars.com, National Emergency, Trump's Executive Orders to Destroy Deep State Criminal Comball.
[01:52:30.008 --> 01:52:31.469]  You need to download this video.
[01:52:31.669 --> 01:52:32.849]  You need to share this video.
[01:52:33.009 --> 01:52:34.850]  You need to tell friends and family about this video.
[01:52:35.070 --> 01:52:37.251]  Here's the devastating report from Greg Reese.
[01:52:39.432 --> 01:52:42.473]  The National Emergencies Act was enacted September 14, 1976.
[01:52:46.598 --> 01:52:54.483]  The purpose was to regulate the number of laws granting special powers to the executive branch in times of national emergency.
[01:52:56.344 --> 01:53:04.969]  Congress can undo an emergency declaration with either a joint resolution and the president's signature or with two-thirds majority vote.
[01:53:07.191 --> 01:53:14.915]  As of February 2019, 59 national emergencies have been declared and more than 30 remain in effect.
[01:53:17.918 --> 01:53:21.781]  Six national emergencies declared by Bill Clinton are still in effect.
[01:53:23.783 --> 01:53:27.386]  Eleven declared by George W. Bush are still in effect.
[01:53:28.867 --> 01:53:31.609]  And ten by Barack Obama are still in effect.
[01:53:33.250 --> 01:53:42.278]  President Donald Trump has declared three national emergencies already, and the so-called resistance has hardly mentioned them at all.
[01:53:43.817 --> 01:53:56.643]  Including the National Emergency with Respect to Blocking the Property of Persons Involved in Serious Human Rights Abuse or Corruption, which was signed on the first winter solstice of his presidency on December 21st, 2017.
[01:53:59.984 --> 01:54:22.533]  The President therein declared that the United States seeks to impose tangible and significant consequences on those who commit serious human rights abuse or engage in corruption, and specifically targeted 13 individuals worldwide involved in international human trafficking, otherwise known as slavery.
[01:54:24.094 --> 01:54:28.496]  The mainstream media let this national emergency go mostly unnoticed.
[01:54:29.827 --> 01:54:30.147]  Why?
[01:54:32.328 --> 01:54:38.770]  If one were to look into these 13 names, they would find several connections to the Clintons and the Clinton Foundation.
[01:54:42.031 --> 01:54:51.435]  Since the declaration of this national emergency in 2017, hundreds of arrests have been made and thousands of victims have been freed from bondage.
[01:54:53.215 --> 01:54:57.137]  And the corrupt legacy media has been utterly silent about it.
[01:54:59.386 --> 01:55:15.763]  And now, President Trump has announced to declare a national emergency on the southern border, to bring an end to the United Nations' disastrous replacement migration program, and to bring law and order to the entrenched black market economy of drugs and human trafficking.
[01:55:17.822 --> 01:55:27.089]  Of all national emergencies declared since 1976, this one stands out as perhaps the most important for national security.
[01:55:28.691 --> 01:55:35.216]  Securing our borders only stands to hurt the criminal elements that have been exploiting the system for years.
[01:55:36.677 --> 01:55:45.684]  And so naturally, the criminal cabal of deep state politicians and their establishment-run media are all desperately trying to stop it.
[01:55:46.957 --> 01:55:49.358]  For InfoWars.com, this is Greg Reese.
[01:55:51.499 --> 01:56:00.202]  Ladies and gentlemen, you need to go to InfoWars.com right now and go to this video, National Emergency Trump's Executive Order to Destroy Deep State Criminal Cabal.
[01:56:00.702 --> 01:56:07.804]  I mean, take that video, download it, upload it to your YouTube channel, and put 100 different titles on it.
[01:56:07.904 --> 01:56:09.305]  Upload to 100 different YouTube channels.
[01:56:09.325 --> 01:56:09.625]  Title it,
[01:56:10.365 --> 01:56:10.965]  QAnon.
[01:56:11.185 --> 01:56:12.326]  Trump set to remove Clinton.
[01:56:12.346 --> 01:56:13.666]  I mean, put everything on there.
[01:56:13.846 --> 01:56:20.949]  This report needs to be seen millions of times, ladies and gentlemen, and especially right now while they're making a huge deal out of the national emergency.
[01:56:21.149 --> 01:56:22.589]  You use that as a keyword.
[01:56:22.909 --> 01:56:23.870]  Use Q as a keyword.
