[00:00:22.884 --> 00:00:24.244]  September 8, 2019.
[01:37:15.402 --> 01:37:22.627]  Everyone will be liable for what criminals do with a hatchet or a hammer that Home Depot sells.
[01:37:22.627 --> 01:37:31.954]  This is what the Democratic Party, funded by the Chinese government, is doing to sabotage the industry in this once great United States of America.
[01:37:31.954 --> 01:37:38.559]  Continuing, more than seven states have passed laws and hundreds of cities
[01:37:40.171 --> 01:37:43.454]  Creating red flag laws where someone doesn't even threaten to kill somebody.
[01:37:43.454 --> 01:37:50.561]  There's no due process, but just because your neighbor or someone says they don't like you having guns, your firearms are taken.
[01:37:50.561 --> 01:37:55.685]  We know big tech is tracking gun owners and treating them like they're criminals.
[01:37:55.685 --> 01:38:03.312]  We know that gun owners' purchases of ammo in many states and other places is put into databases for future tracking.
[01:38:03.312 --> 01:38:04.433]  And now, just last week,
[01:38:05.234 --> 01:38:15.381]  The Department of Justice subpoenaed all 10,000 customers of a popular scope maker who use an app to cite them in online.
[01:38:15.381 --> 01:38:21.966]  And so the company has video of everything they've been doing, where they live, and what they're up to.
[01:38:21.966 --> 01:38:28.351]  And even if the DOJ claims they have a good reason to see if any foreign governments have gotten this system,
[01:38:29.111 --> 01:38:30.812]  Even if that's the case, it doesn't matter.
[01:38:30.812 --> 01:38:41.619]  It shows that all these databases are there, everything you're doing is being recorded, and it can and will be used against you in a court of law when these gun grabbers are able to repeal the Second Amendment.
[01:38:41.619 --> 01:38:48.323]  Also in the last week, the city of San Francisco came out and declared the NRA a terrorist organization.
[01:38:48.903 --> 01:38:54.028]  Not Antifa that actually calls for carrying out and does carry out terror attacks.
[01:38:54.028 --> 01:38:57.831]  And the New York Times and others thought that was a great idea.
[01:38:57.831 --> 01:39:11.064]  And of course last year Los Angeles passed a law for new businesses to disclose any ties to the NRA so they could be put on a list not to get government contracts and again to be harassed.
[01:39:11.064 --> 01:39:14.066]  The first thing authoritarians do is put you in databases
[01:39:14.967 --> 01:39:16.968]  Later they put you in gulags.
[01:39:16.968 --> 01:39:19.268]  Later they put you in death camps.
[01:39:19.268 --> 01:39:23.389]  And the left says, all over the news, they want to burn down Trump supporters.
[01:39:23.389 --> 01:39:24.469]  They want to level them.
[01:39:24.469 --> 01:39:25.650]  They want to flatten them.
[01:39:25.650 --> 01:39:26.670]  They want to bankrupt them.
[01:39:26.670 --> 01:39:31.791]  They want to teach us to submit to them.
[01:39:31.791 --> 01:39:34.012]  Now we know why we have the Second Amendment.
[01:39:34.012 --> 01:39:41.733]  Because authoritarians always try to offensively use force to dominate and control the population.
[01:39:41.733 --> 01:39:43.094]  And if they do come to the firearms,
[01:39:43.991 --> 01:39:44.573]  They need to know.
[01:39:44.573 --> 01:39:48.145]  That there'll be some lemmings that turn them in.
[01:39:48.145 --> 01:39:49.509]  But, they will trigger.
[01:39:51.249 --> 01:39:53.170]  1776 Part 2.
[01:39:53.170 --> 01:40:18.200]  Also in just the last week, we have witnessed hundreds of thousands of Chinese troops and hundreds of armored vehicles and tanks enter Hong Kong and we've seen armed troops and armed police shoot unarmed civilians who are simply protesting the fact that the government's trying to pass a law to secretly arrest them and disappear them to the mainland where they're tortured and in many cases killed.
[01:40:18.940 --> 01:40:42.538]  Another sterling, real-time example of why we have the Second Amendment, but even more insidious is, like Chicago and Baltimore and other areas that have the highest crime rates in the world, right next to counties where they have guns and they have low crime rates, is that when you take the law-abiding citizens' right to defend themselves away, they're totally dependent on the state and at the mercy of the common criminal.
[01:40:43.178 --> 01:40:56.795]  And crime rates, historically, in every case, just like in Mexico, where they have total gun bans for the citizens and have hundreds of thousands killed by criminals with guns in just the last few years alone.
[01:40:56.795 --> 01:41:01.020]  A crime rate hundreds of times higher than the general United States.
[01:41:01.801 --> 01:41:14.672]  Now, I've been honored to interview Professor John Lott many times, and he is recognized by the FBI and other major governments and corporations as probably the top statistician in the world.
[01:41:14.672 --> 01:41:16.994]  I mean, this guy is amazing.
[01:41:16.994 --> 01:41:17.835]  His numbers don't lie.
[01:41:19.935 --> 01:41:24.840]  He's coming out with a documentary, as I mentioned earlier, that details all of this.
[01:41:24.840 --> 01:41:29.264]  But he says it's almost like Hollywood's lying to us and brainwashing us.
[01:41:29.264 --> 01:41:31.326]  There's no almost about it.
[01:41:31.326 --> 01:41:37.151]  I played you, the former Attorney General, years ago on C-SPAN saying, we've got to brainwash the public against guns.
[01:41:37.151 --> 01:41:39.373]  They know the truth.
[01:41:39.373 --> 01:41:43.117]  Piers Morgan, when he lived in the U.S., had armed security guards at his house.
[01:41:43.117 --> 01:41:44.057]  Armed defense.
[01:41:45.205 --> 01:41:51.288]  But again, he doesn't want you, who make $50,000 a year and can't afford a bodyguard, to be able to do it.
[01:41:51.288 --> 01:41:52.809]  I get death threats from the left.
[01:41:52.809 --> 01:41:55.511]  I've had them come here and try to get us.
[01:41:55.511 --> 01:41:57.432]  I have to pay for armed security.
[01:41:57.432 --> 01:41:59.113]  And I'm not a rich guy.
[01:41:59.113 --> 01:42:01.634]  And it really weighs our operations down.
[01:42:01.634 --> 01:42:08.878]  But imagine, again, the average person, a widow, old folks, you name it, being at the mercy of the criminals.
[01:42:08.878 --> 01:42:11.019]  America isn't going to put up with this.
[01:42:11.019 --> 01:42:13.461]  And that's why we've got to work so hard now, peacefully,
[01:42:14.381 --> 01:42:30.973]  To stop this historic push to disarm us, this admitted push to disarm us, because if that happens, we're going to have a hot civil war break out in this country to secure our second amendment and that's something I don't want to have to go to.
[01:42:30.973 --> 01:42:34.355]  All the numbers, all the studies, all the actuaries show this.
[01:42:34.355 --> 01:42:43.682]  And the FBI admits just this week that Antifa is trying to start a violent revolution with conservatives and preparing to kill federal law enforcement and firebomb two facilities.
[01:42:49.495 --> 01:42:54.339]  Defending the Republic from enemies foreign and domestic.
[01:42:54.339 --> 01:42:55.781]  It's Alex Jones!
[01:42:59.051 --> 01:43:04.214]  It's been a year since InfoWars and our other channels were completely banned off of YouTube.
[01:43:04.214 --> 01:43:06.455]  We had over 5 million views when we got banned.
[01:43:06.455 --> 01:43:12.139]  And we're credited with getting Donald Trump elected because we were able to punch through and reach the grassroots.
[01:43:12.139 --> 01:43:20.124]  Now as we enter the 2020 election cycle, it's more important than ever that there be a place where the censors are unable to block the signal.
[01:43:20.124 --> 01:43:21.164]  And it's now here.
[01:43:21.164 --> 01:43:22.365]  Banned.Video.
[01:43:22.905 --> 01:43:37.497]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[01:43:37.497 --> 01:43:41.340]  Watch your favorite content from media personalities banned by big tech.
[01:43:41.340 --> 01:43:42.501]  Works on every device.
[01:43:42.501 --> 01:43:45.363]  Take your shows on the go with banned.video.
[01:43:45.703 --> 01:43:51.889]  Watch live shows, on-demand content, and join in on the conversation from anywhere with Band.Video.
[01:43:51.889 --> 01:43:55.873]  Share videos with your friends via Facebook, Twitter, SMS, email, and more.
[01:43:55.873 --> 01:43:57.775]  Band.Video.
[01:43:57.775 --> 01:44:01.799]  Let's look at what's in the 8-pack Power Stack at InfoWarsLife.com.
[01:44:02.259 --> 01:44:07.542]  Neutropic Brain Formula helps you stay awake and alert throughout the entire day without nasty crash.
[01:44:07.542 --> 01:44:13.486]  Green's Detox Formula contains a full daily dose of antioxidants and organic compounds for maximum health.
[01:44:13.486 --> 01:44:18.128]  Joint Support Formula gives your joints and tendons what they need to help stay healthy and strong.
[01:44:18.128 --> 01:44:22.231]  Krill Oil Formula helps fight inflammation and support a healthy heart and more.
[01:44:22.231 --> 01:44:26.714]  Energy Kickstart Formula for another boost of clean energy to keep you going strong.
[01:44:26.714 --> 01:44:29.015]  Now let's look at what the PM Pack is loaded with.
[01:44:29.015 --> 01:44:30.736]  Immune Support Formula.
[01:44:30.956 --> 01:44:32.977]  To rebuild your body while you sleep.
[01:44:32.977 --> 01:44:34.558]  Sound Sleep Formula.
[01:44:34.558 --> 01:44:37.340]  Helps you get a better night's sleep and fall asleep faster.
[01:44:37.340 --> 01:44:38.720]  Bone Support Formula.
[01:44:38.720 --> 01:44:41.882]  Minerals and other compounds chosen to promote strong and healthy bones.
[01:44:41.882 --> 01:44:47.305]  And another dose of Krill Oil to supercharge your brain and your entire body as you sleep.
[01:44:47.305 --> 01:44:50.647]  I'm offering it at 65% off.
[01:44:50.647 --> 01:44:52.048]  The 8-Pack Power Stack.
[01:44:52.048 --> 01:44:53.869]  Dusk till Dawn AM, PM.
[01:44:53.869 --> 01:44:54.209]  Formula.
[01:44:54.209 --> 01:44:54.229]  $39.95.
[01:44:54.229 --> 01:44:54.749]  And Empower's Life.
[01:44:58.405 --> 01:45:00.508]  Josh in Washington, you're on the air, go ahead.
[01:45:00.508 --> 01:45:01.669]  Alex, God bless you.
[01:45:01.669 --> 01:45:04.272]  I have an idea for a new InfoWars t-shirt.
[01:45:04.272 --> 01:45:10.239]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[01:45:10.239 --> 01:45:10.900]  Ooh, yeah.
[01:45:10.900 --> 01:45:12.261]  Showing your brain getting fried.
[01:45:12.261 --> 01:45:14.123]  Then I have some comments on your supplements, man.
[01:45:14.123 --> 01:45:15.164]  Totally changed my life.
[01:45:15.164 --> 01:45:18.208]  I use TurboForce, BODY, AlphaPower, BrainForce.
[01:45:18.408 --> 01:45:18.789]  We're good.
[01:45:33.685 --> 01:45:36.027]  All of these things are known to be incredible.
[01:45:36.027 --> 01:45:42.810]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[01:45:42.810 --> 01:45:45.352]  All of these are things that are like rocket fuel in the body.
[01:45:45.352 --> 01:45:48.494]  You take these bases together, then you have your foundation.
[01:45:48.494 --> 01:45:50.275]  Now you can build the big strong temple.
[01:45:50.275 --> 01:45:54.237]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[01:45:54.237 --> 01:45:57.059]  And then it funds the information war, which is so critical.
[01:45:57.059 --> 01:45:57.819]  Thank you so much.
[01:45:57.819 --> 01:45:58.279]  God bless you.
[01:45:59.740 --> 01:46:00.942]  We've had this in for two weeks.
[01:46:00.942 --> 01:46:04.306]  I've been so busy I haven't talked about it because I've been covering news.
[01:46:04.306 --> 01:46:05.547]  But it's very exciting.
[01:46:05.547 --> 01:46:07.870]  It's Super Silver Skin Cream.
[01:46:07.870 --> 01:46:09.372]  It's got all of these benefits.
[01:46:09.372 --> 01:46:10.473]  Too many to mention.
[01:46:10.473 --> 01:46:11.735]  But it's revolutionary.
[01:46:11.735 --> 01:46:12.676]  It's brand new.
[01:46:12.676 --> 01:46:13.537]  People are gonna love it.
[01:46:13.537 --> 01:46:15.659]  Introducing the new Super Silver Skin Cream.
[01:46:15.659 --> 01:46:16.621]  Exclusively at 4store.com.
[01:46:16.621 --> 01:46:17.422]  25% off introductory price.
[01:46:18.763 --> 01:46:21.244]  Super Silver Skin Cream is the best of both worlds.
[01:46:21.244 --> 01:46:23.464]  It helps reduce wrinkles and keep your skin healthy.
[01:46:23.464 --> 01:46:27.325]  Super Silver Skin Cream is infused with patented Silver Sol Technology.
[01:46:27.325 --> 01:46:32.366]  It's used by top hospitals and health clinics to kill off everything from MRSA to Candida fungus.
[01:46:32.366 --> 01:46:43.489]  It's also loaded with the best natural ingredients for your skin, like coconut oil, vitamin E. Unlike most skin creams, Super Silver Skin Cream is free of BPA, parabens, harsh preservatives, and sulfates.
[01:46:43.489 --> 01:46:45.489]  It's got the highly sought-after hyaluronic
[01:46:45.749 --> 01:46:48.032]  You're listening to the Alex Jones Show!
[01:47:11.872 --> 01:47:16.834]  Now, here's an excerpt of the upcoming documentary from John Stossel and Professor Lott.
[01:47:16.834 --> 01:47:19.495]  Hollywood hates guns.
[01:47:19.495 --> 01:47:22.336]  Well, they like them in shoot-'em-up movies.
[01:47:22.336 --> 01:47:28.678]  But as soon as it comes to a good civilian using a gun for self-defense, Hollywood turns anti-gun.
[01:47:33.257 --> 01:47:36.498]  Hollywood constantly portrays people who hate guns.
[01:47:36.498 --> 01:47:38.199]  I'm not a huge fan of weapons.
[01:47:38.199 --> 01:47:39.379]  Now do you see why I don't like guns?
[01:47:39.379 --> 01:47:41.220]  Yeah, I don't like guns either.
[01:47:41.220 --> 01:47:43.121]  I'm not a big fan of guns.
[01:47:43.121 --> 01:47:44.121]  I don't like it.
[01:47:44.121 --> 01:47:46.502]  Why do I leave the FBI?
[01:47:46.502 --> 01:47:47.803]  Guns, really.
[01:47:47.803 --> 01:47:51.944]  It's almost as if they're trying to condition people to hate guns.
[01:47:51.944 --> 01:47:55.846]  In Hollywood, even Navy SEALs warn against owning guns.
[01:47:55.846 --> 01:47:58.347]  I need a gun to protect the kids when they're not around.
[01:48:01.823 --> 01:48:06.245]  The wise law enforcement experts constantly urge people not to use them.
[01:48:06.245 --> 01:48:10.607]  But in my experience, the problem with carrying a gun is that eventually it will go off.
[01:48:10.607 --> 01:48:13.229]  But Hollywood gets this backwards.
[01:48:13.229 --> 01:48:19.452]  In real life, police strongly support civilians owning guns and carrying them for self-defense.
[01:48:19.452 --> 01:48:25.755]  A recent survey by the National Association of Chiefs of Police pulled thousands of sheriffs and chiefs of police.
[01:48:27.535 --> 01:48:34.517]  76% believe that qualified law-abiding armed citizens help law enforcement reduce violent criminal activity.
[01:48:34.517 --> 01:48:37.578]  Detroit's police chief urges people to carry guns.
[01:48:37.578 --> 01:48:42.839]  So good Americans who are responsible with concealed weapons can make a difference.
[01:48:42.839 --> 01:48:47.520]  He became chief and encouraged civilians to carry guns six years ago.
[01:48:47.520 --> 01:48:49.621]  Detroit's murder rate fell since then.
[01:48:49.941 --> 01:48:52.443]  I'm excited about our trend downward.
[01:48:52.443 --> 01:48:59.229]  Nationwide, rank-and-file cops show even stronger support for private gun ownership than do police chiefs.
[01:48:59.229 --> 01:49:02.832]  More than 90% supported civilians carrying guns.
[01:49:02.832 --> 01:49:03.873]  No surprise.
[01:49:03.873 --> 01:49:05.534]  Hollywood's cops are wrong.
[01:49:05.534 --> 01:49:07.176]  And real-life cops are right.
[01:49:07.836 --> 01:49:11.498]  Police are informed by what they see on the street every day.
[01:49:11.498 --> 01:49:14.780]  They know how important having a gun is to their own safety.
[01:49:14.780 --> 01:49:17.522]  And they know that private citizens can help.
[01:49:17.522 --> 01:49:19.223]  We've seen our good Samaritans.
[01:49:19.223 --> 01:49:25.427]  We've seen them go to the aid to others because they were good Americans with concealed weapons permits.
[01:49:25.427 --> 01:49:30.590]  Many Hollywood crime show writers clearly know nothing about guns and crime.
[01:49:30.590 --> 01:49:32.692]  The myths they push on people are endless.
[01:49:33.112 --> 01:49:35.033]  What else do we know about these guns?
[01:49:35.033 --> 01:49:37.715]  Um, this is the machine gun that Davis was firing at us.
[01:49:37.715 --> 01:49:38.976]  So-called cop killer.
[01:49:38.976 --> 01:49:40.317]  Stop!
[01:49:40.317 --> 01:49:47.102]  Since 1934, there are only two known uses ever of a machine gun being used in a murder.
[01:49:47.102 --> 01:49:52.286]  Yet Hollywood shows criminals using machine guns to outgun cops all the time.
[01:49:56.331 --> 01:50:01.437]  Hollywood also finds endless ways to insult civilians who are using guns.
[01:50:01.437 --> 01:50:04.540]  No good's gonna come from you guys running around here with assault rifles.
[01:50:04.540 --> 01:50:06.202]  We heard prisoners were on the loose.
[01:50:06.202 --> 01:50:07.703]  We got a right to protect our neighborhood.
[01:50:07.703 --> 01:50:10.767]  Yeah, that's a job for law enforcement, not a ragtag militia.
[01:50:10.767 --> 01:50:15.332]  Hollywood plays to bigoted stereotypes, depicting gun owners as dumb hicks.
[01:50:15.592 --> 01:50:18.854]  In real life, citizen volunteers in neighborhood watch programs save lives.
[01:50:18.854 --> 01:50:18.994]  A 2008 U.S.
[01:50:18.994 --> 01:50:26.738]  Justice Department analysis found that crime fell 16% in areas that started a neighborhood watch program compared to those that did not.
[01:50:43.846 --> 01:50:46.712]  Some of Hollywood's bias is comical.
[01:50:46.712 --> 01:50:54.909]  In this show, a woman asks a federal agent if he's worried about not having his gun in a gun-free zone when he's facing professional killers.
[01:50:58.656 --> 01:51:01.138]  Bad guys won't have them either?
[01:51:01.138 --> 01:51:02.459]  Seriously?
[01:51:02.459 --> 01:51:07.323]  Has a bad guy ever seen a no-guns-allowed sign and turned around?
[01:51:07.323 --> 01:51:11.346]  In the show, the killers obey the signs and leave their guns behind.
[01:51:11.346 --> 01:51:15.209]  But in real life, gun-free zones only encourage criminals.
[01:51:15.209 --> 01:51:16.870]  They serve as a magnet for criminals.
[01:51:17.210 --> 01:51:26.498]  Virtually all the mass public shootings in the United States since 1950 have occurred in places where general citizens are banned from having guns.
[01:51:26.498 --> 01:51:30.301]  The Virginia Beach shooting this year was another example of this.
[01:51:30.301 --> 01:51:39.689]  A woman who worked at the municipal office building talked with her husband the night before the attack about bringing her permanent concealed handgun to work for self-defense.
[01:51:39.689 --> 01:51:44.132]  But she decided not to because of a city rule against carrying guns.
[01:51:45.013 --> 01:51:50.075]  She and 11 others were killed the next day by a disgruntled co-worker.
[01:51:50.075 --> 01:51:59.018]  In another recent case, a doctor carried a gun anyway, despite his hospital's no-gun policy, and he stopped a mass public shooting.
[01:51:59.018 --> 01:52:04.661]  As the district attorney put it, if the doctor did not have a firearm, he'd be dead today.
[01:52:04.661 --> 01:52:07.902]  And I believe that other people in that facility would also be dead.
[01:52:08.402 --> 01:52:12.145]  That real-life situation would make a gripping TV story.
[01:52:12.145 --> 01:52:13.667]  But don't expect to see it.
[01:52:13.667 --> 01:52:15.428]  Hollywood bias is everywhere.
[01:52:15.428 --> 01:52:19.151]  And it endangers lives by misleading people on guns.
[01:52:19.151 --> 01:52:24.235]  Now in closing, I'm going to say what I think is the most important part of this message.
[01:52:24.235 --> 01:52:27.258]  The big corporations, the multinationals, think this country's dumb.
[01:52:27.258 --> 01:52:29.540]  They think we're a bunch of country bumpkins.
[01:52:29.540 --> 01:52:34.644]  They think that we're not going to be able to stand up and organize and resist their takeover.
[01:52:34.644 --> 01:52:36.125]  But now they see us starting to win.
[01:52:37.116 --> 01:52:41.020]  They're getting desperate and accelerating their program very, very recklessly.
[01:52:41.020 --> 01:52:47.027]  And they need to know that if they trigger this violent civil war in America, they're going to be held accountable.
[01:52:47.027 --> 01:52:48.869]  And to do that, we're going to need the First Amendment.
[01:52:49.912 --> 01:52:53.774]  to stop us having to use in defense our Second Amendment.
[01:52:53.774 --> 01:52:54.754]  That's why it's the First Amendment.
[01:52:54.754 --> 01:53:06.180]  It's why it's just as important or maybe more important than guns is the ability to mobilize and speak and expose corruption and evil so you never get to that point.
[01:53:06.180 --> 01:53:09.502]  But again, Koskoff and Koskoff, the establishment
[01:53:10.342 --> 01:53:16.083]  Democrat organization that bankrupted Remington is openly lobbying to overturn the First Amendment.
[01:53:16.083 --> 01:53:22.645]  They even admitted that they want to get rid of the ability for talk radio, the internet, you name it, to ask questions.
[01:53:22.645 --> 01:53:31.327]  These are very, very un-American individuals and they're the same ones at the Supreme Court arguing to be able to bankrupt every gun maker in this nation.
[01:53:31.327 --> 01:53:34.128]  Even gun makers that supply our military like Remington.
[01:53:35.640 --> 01:53:40.504]  It's just devastating to be watching all of this unfold.
[01:53:40.504 --> 01:53:54.414]  So, get involved now more than ever and use your First Amendment right to share this video on Twitter, on Facebook, on YouTube, but more importantly by word of mouth, and by your own email, and by your own text message.
[01:53:54.414 --> 01:53:57.457]  Because that's how the signal's getting out, despite what they're doing.
[01:53:58.217 --> 01:54:13.031]  And then separately, I've seen a lot of YouTube videos where people that are getting into home safety and home defense rightfully point out that, hey, just as important as having a firearm in your house is having a fire extinguisher.
[01:54:13.031 --> 01:54:15.713]  I've had a grease fire in my house when I was a kid.
[01:54:15.713 --> 01:54:20.098]  My dad had a fire extinguisher, was able to put it out when it caught the drapes on fire.
[01:54:22.523 --> 01:54:29.170]  Couple times in this office, we've got a lot of electrical equipment, a lot of systems, we've had things short out in small fire start.
[01:54:29.170 --> 01:54:39.481]  Once it went out before we got to the fire extinguisher, once a fire extinguisher actually stopped our studios from burning down, because we have a fire extinguisher in every single room.
[01:54:39.481 --> 01:54:42.784]  In some rooms, we have two, because they're that critical.
[01:54:42.784 --> 01:54:44.786]  So just as important as having the Second Amendment,
[01:54:45.507 --> 01:54:51.630]  It's having things like a loaded, inspected fire extinguisher in every room of your house.
[01:54:51.630 --> 01:54:54.291]  You don't need one this big, but at least a small one.
[01:54:54.291 --> 01:54:55.092]  It's critical.
[01:54:55.092 --> 01:54:58.193]  Now, I don't sell fire extinguishers, and they're pretty easy to find.
[01:54:58.193 --> 01:55:02.395]  So I would just recommend, again, everybody, make sure the one you have is working, or get one in your house.
[01:55:02.395 --> 01:55:09.619]  But what I do sell is the patented, approved by the FDA for over-the-counter, strongest micro-silver
[01:55:10.479 --> 01:55:18.785]  Out there for wounds and to put a little bit on to basically block and create a barrier to bacteria and viruses.
[01:55:18.785 --> 01:55:28.393]  Infections and drug resistant bugs are much bigger killers than all the criminals and all the good guys that get killed in this nation over a decade.
[01:55:29.298 --> 01:55:40.234]  Every year, more people die from infections and from drug-resistant bacteria and viruses than they do, again, from all guns combined.
[01:55:40.234 --> 01:55:41.596]  And fires as well.
[01:55:41.596 --> 01:55:43.739]  It's the big killer and it's getting worse.
[01:55:43.739 --> 01:55:45.061]  Super silver wound gel.
[01:55:46.022 --> 01:55:46.322]  Yes, sir.
[01:56:07.657 --> 01:56:13.571]  Proprietarily for us in small tubes and large tubes, super silver skin cream.
[01:56:13.571 --> 01:56:15.776]  So this is something everybody needs and it's
[01:56:16.843 --> 01:56:23.428]  Technically, more important than guns or fire extinguishers to have things like this to protect yourselves.
[01:56:23.428 --> 01:56:25.870]  Now, that's in a normal year.
[01:56:25.870 --> 01:56:38.641]  If we have a tyranny and governments start killing tens of millions of people like Hitler, Stalin, and Mao did, then guns are way more important than silver skin cream or even fire extinguishers during periods of time like that.
[01:56:38.641 --> 01:56:42.123]  So, I guess historically, at the end of the day, guns are more important than even
[01:56:43.004 --> 01:56:50.230]  Silver skin cream or fire extinguishers because without them as a preventative, you end up getting a tyranny takeover every single time.
[01:56:50.230 --> 01:57:01.599]  Then you're funding the Infowar, you're defending the First Amendment, you're defending the Second Amendment, and you're getting great products at the same time in defiance of the globalist and Hillary Clinton's law firms trying to shut us down.
[01:57:01.599 --> 01:57:02.840]  Thank you for your support.
[01:57:02.840 --> 01:57:04.221]  We're all in this together.
[01:57:04.221 --> 01:57:07.384]  So please take action at InfowarStore.com and share this video.
[01:57:13.311 --> 01:57:16.093]  What we should be doing is shunning these people.
[01:57:16.093 --> 01:57:20.657]  Shunning, shaming these people is a statement of moral indignation.
[01:57:20.657 --> 01:57:23.560]  That these people are not fit for polite society.
[01:57:23.560 --> 01:57:25.842]  I'm gonna try to take everything away from you.
[01:57:25.842 --> 01:57:27.243]  And I don't care what I find out.
[01:57:27.243 --> 01:57:30.245]  Could be today, tomorrow, 15, 20 years from now.
[01:57:30.245 --> 01:57:33.368]  If I find out, you're f***ing finished.
[01:57:33.368 --> 01:57:35.370]  They don't get to escape accountability.
[01:57:35.370 --> 01:57:39.533]  That's all of our job, to hold them accountable for the rest of their lives.
[01:57:39.533 --> 01:57:40.274]  So entertaining.
[01:57:47.782 --> 01:57:51.724]  In InfoWars life, we always try to bring you game-changing products.
[01:57:51.724 --> 01:57:55.267]  Now, we've already been promoting and selling Super Silver Wound Gel.
[01:57:55.267 --> 01:57:57.148]  For over a year, it's a bestseller.
[01:57:57.148 --> 01:57:58.028]  It is the best.
[01:57:58.028 --> 01:58:01.951]  You can get a 100% review rate on Power Reviews.
[01:58:01.951 --> 01:58:06.714]  Well, now we teamed up with them and came out with two different types of skin cream.
[01:58:07.114 --> 01:58:09.657]  One is naturally scented with grapefruit essential oils.
[01:58:09.657 --> 01:58:11.379]  The other is unscented.
[01:58:11.379 --> 01:58:16.785]  It's got hyaluronic acid, vitamin E, essential oils from grapefruit.
[01:58:16.785 --> 01:58:19.628]  It's got coconut oil and so much more.
[01:58:19.628 --> 01:58:21.851]  And this patented nano-type
[01:58:22.071 --> 01:58:22.491]  Of course!
[01:58:48.069 --> 01:58:57.419]  The DNA Force 50% off sale has to end in just a few days because we're selling out of the free bottle of Carnivore Digestive Enzyme we give you with each purchase.
[01:58:57.419 --> 01:59:01.804]  Listers agree DNA Force Plus is one of the best formulas ever from InfoWarsLife.com.
[01:59:01.804 --> 01:59:06.910]  With DNA Force Plus you get more than 15 premium and patented ingredients including L of ATP.
[01:59:07.150 --> 01:59:07.631]  We're good.
[01:59:22.808 --> 01:59:25.609]  It is thought to be one of the most powerful adaptogens available.
[01:59:25.609 --> 01:59:27.189]  Coenzyme Q10.
[01:59:27.189 --> 01:59:32.811]  Found in every human cell, CoQ10 plays a key role in heart health, brain health, and even helps protect DNA.
[01:59:32.811 --> 01:59:38.573]  These amazing ingredients and others make it easy to see why so many listeners swear by DNA Force Plus.
[01:59:38.573 --> 01:59:40.653]  Take advantage of this special before you run out.
[01:59:40.653 --> 01:59:45.795]  Get DNA Force Plus for 50% off and get a free bottle of Carnivore at InfoWareStore.com.
[01:59:45.795 --> 01:59:46.995]  That's InfoWareStore.com.
[01:59:51.262 --> 01:59:53.875]  You're listening to The Alex Jones Show.
