[00:00:00.236 --> 00:00:01.857]  Come on man!
[00:25:40.436 --> 00:25:55.941]  And then the site would still be there, and I'd probably still do a show, but it'd be probably radio or, you know, something like that, because you build something up this big that's designed to reach hundreds of millions of people, then they cut it down, they cripple it, they crush it, and it's just hard to keep together.
[00:25:55.941 --> 00:25:57.382]  And, you know, I told the truth about that.
[00:25:58.579 --> 00:26:04.341]  Because listeners need to understand that we need to be here to put out truthful talking points against the globalists.
[00:26:04.341 --> 00:26:15.225]  We need to be here to promote Americana and expose globalism because almost no one else really gets it like our guests do, you do, the listeners, and I do.
[00:26:15.225 --> 00:26:25.508]  Now, I believe by telling you that, that after these years of boycotts and blackballing and attacks and harassment, that we've held up much longer than they thought.
[00:26:27.045 --> 00:26:38.048]  But that without sustained financial support, and also spreading the word aggressively, InfoWars, that is seen as a symbol of the American resistance, as pure Americana by the enemy.
[00:26:38.048 --> 00:26:38.788]  They admit that.
[00:26:38.788 --> 00:26:40.748]  They marvel at what we've done.
[00:26:40.748 --> 00:26:43.169]  Their white papers have leaked out of Congress.
[00:26:43.169 --> 00:26:45.150]  The New York Times, Washington Post.
[00:26:45.150 --> 00:26:50.691]  I mean, they are scared to death of what InfoWars has done and could do.
[00:26:50.691 --> 00:26:54.612]  It'll be a great victory for them if they're able to strangle us into oblivion.
[00:26:56.411 --> 00:27:09.200]  But I believe that with the election coming up and with all the interest and all the things that are going to happen in Providence, that if we just go 110% into this fight, that we'll somehow be sustained the next year.
[00:27:09.200 --> 00:27:11.361]  But let me explain something.
[00:27:11.361 --> 00:27:24.390]  If I don't have money to buy a future product, and I have to operate off purely the money coming in, again, maybe, maybe, maybe a year and a half.
[00:27:24.390 --> 00:27:24.630]  Maybe.
[00:27:27.267 --> 00:27:36.616]  Then I'd have to lay a bunch of people off and I'd have to contract and I'd have to and it's just something that I don't want to do because we've already changed the world together.
[00:27:36.616 --> 00:27:38.698]  So I'm going to tell you again, it's real simple.
[00:27:38.698 --> 00:27:40.379]  We've got the best water filtration.
[00:27:40.379 --> 00:27:43.222]  We've got the best air filtration at really good prices.
[00:27:43.222 --> 00:27:45.004]  We've got the best supplements.
[00:27:45.004 --> 00:27:47.346]  We've got great t-shirts, great books, great films.
[00:27:47.346 --> 00:27:51.330]  We've got great emergency preparedness, storable food, everything you need.
[00:27:53.717 --> 00:28:06.141]  High-quality coffee, high-quality toothpastes fluoride-free, high-quality fish oil and krill oil, high-quality turmeric, high-quality nootropics, high-quality post and pre-workout TurboForce.
[00:28:06.141 --> 00:28:09.122]  I'm doing some of the biggest sales we've ever done.
[00:28:09.122 --> 00:28:11.782]  I'm selling some stuff at below what it cost me to get.
[00:28:11.782 --> 00:28:14.883]  Because quite frankly, we expanded a lot of the InForce products.
[00:28:14.883 --> 00:28:16.284]  Some things are hits, some things aren't.
[00:28:16.284 --> 00:28:18.124]  Some things are really important, really great.
[00:28:18.124 --> 00:28:20.685]  Like, this is the best fiber you'll find anywhere out there.
[00:28:20.685 --> 00:28:23.386]  Gut Fusion, fiber and glutamine.
[00:28:24.599 --> 00:28:27.100]  This is incredible for your body.
[00:28:27.100 --> 00:28:29.281]  Competitors are like 50 bucks.
[00:28:29.281 --> 00:28:30.382]  They usually sell this for like 20.
[00:28:30.382 --> 00:28:33.823]  It costs us like 12 dollars.
[00:28:33.823 --> 00:28:35.144]  People don't buy it.
[00:28:35.144 --> 00:28:38.805]  So, right now, we've got a deal where it's free when you order it with something else.
[00:28:38.805 --> 00:28:42.647]  It's like you can get ultimate female force, stamina, libido.
[00:28:42.647 --> 00:28:44.588]  You want your wife to be really perky, your girlfriend?
[00:28:44.588 --> 00:28:46.909]  A free bottle of this with Supramel Vitality.
[00:28:47.861 --> 00:28:49.806]  There's like $15 a product in this!
[00:28:49.806 --> 00:28:51.170]  This'll blow you away!
[00:28:51.170 --> 00:28:53.576]  Free bottle of Supermetal Vitality!
[00:28:53.576 --> 00:28:55.481]  Fund this revolution, or let the enemy win!
[00:28:57.432 --> 00:29:01.995]  If you're trying to quit drinking or doing too many drugs, listen to me.
[00:29:01.995 --> 00:29:04.097]  You don't know me and we'll never meet.
[00:29:04.097 --> 00:29:05.818]  I had a problem like you once.
[00:29:05.818 --> 00:29:12.382]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[00:29:12.382 --> 00:29:17.446]  I realized I needed help to fix my problem before it totally destroyed me.
[00:29:17.446 --> 00:29:22.149]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[00:29:22.589 --> 00:29:25.690]  You need to call the National Treatment Advisors.
[00:29:25.690 --> 00:29:32.713]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[00:29:32.713 --> 00:29:37.894]  And if you have PPO private health insurance, the entire program may be covered.
[00:29:37.894 --> 00:29:41.196]  Fix your problem right now before it gets any worse.
[00:29:41.196 --> 00:29:42.136]  Get clean.
[00:29:42.136 --> 00:29:43.977]  Call now and learn more.
[00:29:43.977 --> 00:29:44.017]  800-506-6740.
[00:29:47.978 --> 00:29:48.258]  800-506-6740.
[00:29:48.258 --> 00:29:48.478]  That's 800-506-6740.
[00:29:58.965 --> 00:30:04.706]  Super Silver Wound Gel is a private label from the top company in the U.S.
[00:30:04.706 --> 00:30:09.428]  that has their products in hospitals and is sold over-the-counter and approved for that by the FDA.
[00:30:09.428 --> 00:30:12.148]  We have been blessed with their listeners and let us private label it.
[00:30:12.148 --> 00:30:14.269]  In the last two years, it's been a bestseller.
[00:30:14.269 --> 00:30:25.832]  We convinced them to let us come out with a skin cream that basically mimics the top skin creams that are already out there at a lower price with their patented Silver Sol technology in it.
[00:30:26.292 --> 00:30:35.944]  It's got the hyaluronic acid, it's got the stearic acid, it's got the grapefruit essential oil, it's got the nano silver coconut oil and so much more.
[00:30:35.944 --> 00:30:41.211]  It's in two sizes, super silver skin cream in 3.4 ounce and in the smaller one.
[00:30:41.451 --> 00:30:49.374]  You're not going to find a product this good anywhere, and you're certainly not going to find it at this price, and it funds the InfoWar at InfoWarsLife.com.
[00:30:49.374 --> 00:30:52.394]  Get your Super Silver Skin Cream today.
[00:30:52.394 --> 00:30:56.676]  We can only run this special for another week or so, as of taping this September 10th.
[00:30:58.638 --> 00:31:06.045]  There are few things in this universe that are a sure bet, but I'm here to tell you, the products at Infowarslife.com are.
[00:31:06.045 --> 00:31:19.338]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature, and then we make it even stronger, even better, and lower the price.
[00:31:19.858 --> 00:31:26.502]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[00:31:26.502 --> 00:31:28.263]  It sells itself.
[00:31:28.263 --> 00:31:36.289]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[00:31:37.009 --> 00:31:38.890]  Originally, obviously, from India.
[00:31:38.890 --> 00:31:51.258]  Well, BODY'S Ultimate Turmeric Formula has a 95% curcuminoid level, but it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[00:31:51.258 --> 00:31:54.200]  I'm doing this offer for people that haven't tried it yet.
[00:31:54.200 --> 00:31:56.421]  50% off on BODY'S at Infowarslife.com.
[00:31:57.722 --> 00:32:00.704]  Happies is a tincture that you take under the tongue.
[00:32:00.704 --> 00:32:02.705]  They've been selling it for over a year.
[00:32:02.705 --> 00:32:09.849]  It's a private label of one of the top national sellers of herbs that's known to calm the body, but not be a depressant.
[00:32:09.849 --> 00:32:15.131]  Now, despite the fact that I've never really promoted or cut an ad for it, it's in our top 10 bestsellers.
[00:32:15.131 --> 00:32:18.693]  And right now, for those of you that haven't tried it, you can get it for 50% off.
[00:32:20.054 --> 00:32:21.235]  Life is stressful.
[00:32:21.235 --> 00:32:24.136]  Almost everything in our lives can put stress and pressure on us.
[00:32:24.136 --> 00:32:34.820]  But ashwagandha root, rhodiola root, passionflower herb, green tea leaf, and licorice root is known to be so good for us and to smooth us out in a calm, good way.
[00:32:34.820 --> 00:32:40.842]  And Happy's is available right now at infomercialstore.com at 50% off your purchase, support, and broadcast.
[00:32:40.842 --> 00:32:41.803]  It is so vital.
[00:32:41.803 --> 00:32:44.484]  And I recommend you order another bottle to give friends and family.
[00:32:44.764 --> 00:32:48.107]  Because this stuff has really worked for myself and so many others.
[00:32:48.107 --> 00:32:49.088]  It's Happies.
[00:32:49.088 --> 00:32:52.090]  Explicitly available at InfoWarsLive.com.
[00:32:52.090 --> 00:33:01.438]  Again, secure your Happies today at InfoWarsLive.com.
[00:33:01.438 --> 00:33:04.060]  You're listening to the Alex Jones Show.
[00:33:25.755 --> 00:33:31.247]  If you are receiving this transmission, you are the resistance.
[00:33:31.247 --> 00:33:35.976]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:41.653 --> 00:33:43.893]  All right, ladies and gentlemen, we're back live.
[00:33:43.893 --> 00:33:45.814]  They are dumping out the video.
[00:33:45.814 --> 00:33:47.334]  It'll be ready next segment.
[00:33:47.334 --> 00:33:49.894]  It has a whole bunch of new clips that I've never seen.
[00:33:49.894 --> 00:33:56.176]  You may have seen these of Democrats and leftists saying, we love to kill babies.
[00:33:56.176 --> 00:33:57.136]  It's so enjoyable.
[00:33:57.136 --> 00:33:59.736]  Those little bastards, we're going to dig them out of there.
[00:33:59.736 --> 00:34:01.877]  There's too many humans.
[00:34:01.877 --> 00:34:06.357]  You're going to see mainline feminists saying this.
[00:34:06.357 --> 00:34:09.238]  Can you imagine being married to one of these people?
[00:34:09.238 --> 00:34:09.978]  Can you imagine
[00:34:11.164 --> 00:34:13.905]  Somebody like this watching your back?
[00:34:13.905 --> 00:34:18.926]  Could you imagine being in business with someone this nasty and crazed?
[00:34:18.926 --> 00:34:24.768]  I mean, these are like Charlie Manson people that cut the baby out of Sharon Tate.
[00:34:24.768 --> 00:34:32.630]  But see, that was 50 years ago.
[00:34:32.630 --> 00:34:38.071]  I guess exactly 50 years ago.
[00:34:38.071 --> 00:34:40.612]  So that's, that's 50 years ago.
[00:34:42.233 --> 00:34:44.834]  And then look at who we are 50 years later.
[00:34:44.834 --> 00:34:47.394]  Charlie Manchin doesn't scare anybody.
[00:34:47.394 --> 00:34:57.777]  You know, AOC came out and said that Republicans are scared of her and that the Democrats are pathetic and don't recognize how wonderful their communism is.
[00:34:57.777 --> 00:34:58.757]  And you know, it's really true.
[00:34:58.757 --> 00:35:09.760]  I am scared that a stupid meth head, I mean, she's obviously on stimulants, who behaves and acts like an arrogant crack whore,
[00:35:12.110 --> 00:35:19.962]  He's up there spouting all this hate and saying cauliflower is racist and white people are inherently evil.
[00:35:19.962 --> 00:35:21.083]  The woman is a pig!
[00:35:21.083 --> 00:35:25.330]  I mean, imagine if a white person was saying crap like this.
[00:35:25.330 --> 00:35:26.071]  I'd say they were a pig!
[00:35:30.441 --> 00:35:32.402]  And then she just sits there like she's God.
[00:35:32.402 --> 00:35:36.443]  And that's what the comments on Infowars went, oh, we're real scared of you, right lady?
[00:35:36.443 --> 00:35:37.383]  Oh, you're a moron.
[00:35:37.383 --> 00:35:38.304]  Hey, you know what?
[00:35:38.304 --> 00:35:40.624]  Listeners, you better be scared of her.
[00:35:40.624 --> 00:35:43.886]  You better be scared that we're not doing enough to educate people.
[00:35:43.886 --> 00:35:54.029]  Because while you're busy working your job, and while you're busy running your own life, the left's got your kids, and they've got your church, and they've got the media, and they've got it all, and they're sabotaging civilization.
[00:35:57.915 --> 00:36:03.119]  And so you laugh at her when she says cauliflower is racist.
