[00:00:16.055 --> 00:00:18.077]  Hello, stupid Americans.
[00:27:57.921 --> 00:27:58.461]  To the camera.
[00:27:59.542 --> 00:28:02.322]  Which means, I don't want to say something bad, I don't want to say something good.
[00:28:02.942 --> 00:28:04.663]  Let me just say, who is Alex Jones?
[00:28:08.766 --> 00:28:12.507]  Now I don't care about the diss of him saying, who is Alex Jones.
[00:28:13.327 --> 00:28:16.468]  I care about the fact that it's a chicken crap maneuver.
[00:28:17.408 --> 00:28:26.150]  And if Brad Parcells knows everything about the internet, then he knows how millions and millions of people have been persecuted and attacked and shut down for supporting the President.
[00:28:27.690 --> 00:28:32.531]  He knows how right side broadcasting that does nothing but show the President's speeches has been banned on Facebook.
[00:28:33.308 --> 00:28:39.994]  And now this is an absolute tyranny, just like Communist China coming in and trying to exercise its will over whole classes of people.
[00:28:40.034 --> 00:28:40.835]  It's racketeering.
[00:28:41.115 --> 00:28:42.016]  It's election meddling.
[00:28:42.957 --> 00:28:50.204]  But Brad Parcells is so happy with his Ferrari and all the rest of it down in Florida.
[00:28:50.224 --> 00:28:55.549]  I know people that know him, have dinner with him, and of course have brought all this up to him, and he says, oh, Trump's about to act.
[00:28:55.569 --> 00:28:56.229]  Trump's about to act.
[00:28:56.489 --> 00:28:57.771]  That was six months ago, Brad.
[00:28:58.854 --> 00:29:03.117]  So it's kind of an insult to hear you know everything, which you do know all about it, don't you?
[00:29:03.637 --> 00:29:06.759]  But you're like Sergeant Schultz, when the time comes, you'll know nothing.
[00:29:07.420 --> 00:29:09.521]  So we'll maybe have that clip for you next hour.
[00:29:10.382 --> 00:29:16.165]  The point is, is that that's why people, it's bittersweet with Trump.
[00:29:17.686 --> 00:29:24.771]  Because he's doing a lot of good things, but he's also not doing a lot of the things that need to be done, that need to be carried out.
[00:29:27.561 --> 00:29:32.242]  And I'm going to speak to that some in the next hour and ask callers, do you think Trump will be impeached?
[00:29:32.262 --> 00:29:34.003]  We'll look at why a lot of folks think he can be.
[00:29:34.023 --> 00:29:34.623]  I'll look at the numbers.
[00:29:34.663 --> 00:29:36.303]  I think it's 50-50 right now.
[00:29:36.363 --> 00:29:40.604]  I've told you for weeks, I think it's very serious when Trump and others have been brushing it off.
[00:29:42.805 --> 00:29:45.145]  And then you got to ask yourselves, what comes after that?
[00:29:45.185 --> 00:29:46.465]  Well, I've got a good idea.
[00:29:46.905 --> 00:29:48.906]  Let's just say there's a couple roads going.
[00:29:50.120 --> 00:29:52.201]  from this point, but they all kind of lead to the same place.
[00:29:52.981 --> 00:30:01.324]  Some different scenery on the way, but I think people have noticed that I kind of know how the lay of the land works into the future, just from the research we've done.
[00:30:01.344 --> 00:30:08.027]  And you're going to want to hear that information, because I'm in a good, calm, centered place today.
[00:30:08.047 --> 00:30:13.229]  Now when we come back from break, I'm going to tie the open attack on the First Amendment
[00:30:14.184 --> 00:30:19.788]  I bet to O'Rourke to what the Chi-Coms are doing and how this is a unified threat and just how serious it is and how we can stop it.
[00:30:20.588 --> 00:30:24.331]  It'll be a very condensed, focused, news-heavy segment next segment.
[00:30:24.711 --> 00:30:25.572]  Please stay with us for that.
[00:30:26.593 --> 00:30:27.953]  Also, I want to be clear to listeners.
[00:30:28.334 --> 00:30:30.275]  We had a huge sale, the biggest since Christmas.
[00:30:30.295 --> 00:30:33.878]  50% off, store-wide free shipping, double Patriot points.
[00:30:34.938 --> 00:30:37.160]  Overall, this new sale
[00:30:38.496 --> 00:30:41.717]  It's going to go for a while, but not on every item, because a lot of things are about to sell out.
[00:30:42.477 --> 00:30:46.197]  The everything must go sale is technically overall a bigger sale.
[00:30:46.717 --> 00:30:51.238]  Not everything's at 50% off, because a lot of things are very close to selling out.
[00:30:51.258 --> 00:30:54.579]  A lot of things don't make any money for us to fund ourselves at 50% off.
[00:30:55.379 --> 00:31:01.620]  But we have things 40% to 70% off store wide on all the supplements and so much more.
[00:31:02.060 --> 00:31:03.420]  And store wide free shipping double payment points.
[00:31:03.440 --> 00:31:06.181]  So this is as good a deal or better in many cases.
[00:31:07.455 --> 00:31:09.576]  The everything must go mega super sale.
[00:31:09.616 --> 00:31:10.676]  Get your high quality toothpaste.
[00:31:11.196 --> 00:31:12.257]  Get your colloidal silver.
[00:31:12.857 --> 00:31:15.938]  Get your X2, your X3, the missing halogen.
[00:31:15.978 --> 00:31:17.879]  Get your Ultra 12, the best B12 out there.
[00:31:18.339 --> 00:31:19.740]  Get your protein bars.
[00:31:19.800 --> 00:31:20.880]  Get your ultimate, all of it.
[00:31:23.061 --> 00:31:25.682]  We are broadcasting worldwide on this Friday edition.
[00:31:25.762 --> 00:31:28.043]  I'm going to give the number out at the end of this segment.
[00:31:28.063 --> 00:31:32.204]  We're going to have open phones on the subject of, is impeachment inevitable?
[00:31:32.304 --> 00:31:34.105]  And if it is, what comes next?
[00:31:36.633 --> 00:31:38.934]  And we're going to look at why the numbers are clear.
[00:31:39.154 --> 00:31:44.717]  They have a chance of bullying enough people to resign out of the House, getting enough Republicans to vote against Trump.
[00:31:45.678 --> 00:31:51.420]  They are making a very big strong push right now, the strongest yet, because they know Trump's going to win in 2020.
[00:31:52.161 --> 00:31:54.202]  They know that he's becoming wildly popular.
[00:31:54.222 --> 00:31:57.824]  And the power structure is in complete panic mode.
[00:31:58.624 --> 00:32:01.966]  You notice on Monday, I'm not even pulling up the clip, it's only a few minutes long, I laid out
[00:32:03.643 --> 00:32:21.673]  How Erdogan is threatening to invade Europe with millions, I said 2 to 4 million, he's saying 3.2 million Islamic invaders that came into Syria from all over the world that are now in Turkey, he wants to throw them back into Syria, put a security perimeter there to stop them coming in.
[00:32:22.774 --> 00:32:29.538]  And the Pentagon, Dunford, the Joint Chiefs of Staff Chairman just gave a briefing on it, basically showing all that.
[00:32:30.894 --> 00:32:35.042]  And I'm getting all these calls, wow, you said that on Monday, because that's just the facts.
[00:32:36.024 --> 00:32:41.495]  And the media, again, just acts like Trump's doing none of this for any reason.
[00:32:42.401 --> 00:32:43.001]  What are we going to do?
[00:32:43.021 --> 00:32:44.782]  Let millions of Islamists pour into Europe?
[00:32:45.343 --> 00:32:48.685]  Or just let Turkey have an open border with Syria?
[00:32:48.925 --> 00:32:51.046]  Turkey has a right to secure that border.
[00:32:51.587 --> 00:32:57.210]  I don't like Erdogan, but again, this is a real world we live in and we don't own Syria.
[00:32:57.630 --> 00:33:03.454]  And it was Obama and the globalists that destabilized it and turned it over to the Islamic free-for-all civil war.
[00:33:05.529 --> 00:33:08.171]  So, Trump came out against the military-industrial complex.
[00:33:08.211 --> 00:33:09.892]  Not a strong military, not our veterans.
[00:33:10.573 --> 00:33:17.197]  But against the corporations that are globalists that have been using our military to build their world government and to run security for China.
[00:33:18.438 --> 00:33:19.979]  Yeah, Afghanistan, Africa, you name it.
[00:33:20.900 --> 00:33:21.761]  At our expense.
[00:33:22.021 --> 00:33:22.942]  That's coming to an end.
[00:33:23.562 --> 00:33:24.783]  So I love what Trump's doing.
[00:33:26.524 --> 00:33:27.245]  On so many fronts.
[00:33:28.626 --> 00:33:30.926]  But he's not prosecuting the Deep State.
[00:33:30.966 --> 00:33:32.607]  We keep hearing it's coming in weeks and weeks.
[00:33:32.947 --> 00:33:33.827]  Two weeks, two weeks.
[00:33:34.427 --> 00:33:35.407]  Well, cross your fingers.
[00:33:35.928 --> 00:33:37.048]  Hope so, but we'll see.
[00:33:37.808 --> 00:33:39.588]  Now, let's get into the big enchilada here.
[00:33:41.469 --> 00:33:43.109]  China is a globalist slave colony.
[00:33:44.169 --> 00:33:47.950]  They used communism to take over nations that were coming out of imperial control.
[00:33:48.270 --> 00:33:49.490]  One form of slavery for another.
[00:33:49.730 --> 00:33:50.191]  Far worse.
[00:33:51.711 --> 00:33:53.451]  Tsarist Russia to V.I.
[00:33:53.471 --> 00:33:53.711]  Lenin.
[00:33:55.292 --> 00:33:56.072]  Imperial China.
[00:33:57.196 --> 00:34:06.584]  Destroyed by the Japanese, handed over to Mao Zedong, and chase Manhattan Citibank, which uses communism to control the population, but it's offshore, gets all the profits.
[00:34:06.824 --> 00:34:07.665]  That's what it is!
[00:34:08.766 --> 00:34:10.587]  The political terms you're told have nothing to do with it.
[00:34:10.607 --> 00:34:11.728]  This is just slavery.
[00:34:14.070 --> 00:34:17.793]  And so China was put into the authoritarian model.
[00:34:18.754 --> 00:34:21.096]  They didn't have speech to begin with, so they complied with it.
[00:34:22.017 --> 00:34:23.318]  They are the engine of evil.
[00:34:23.378 --> 00:34:25.400]  They are the arsenal of tyranny.
[00:34:27.557 --> 00:34:35.382]  And so when you see Beto saying political power goes out of the barrel of a gun, take the guns, and you see Buttigieg saying take guns, it's about power.
[00:34:35.462 --> 00:34:36.542]  Only the state needs guns.
[00:34:36.943 --> 00:34:37.903]  The UN says that.
[00:34:38.083 --> 00:34:39.324]  That's what China says.
[00:34:40.365 --> 00:34:41.485]  They're just authoritarians.
[00:34:42.906 --> 00:34:55.394]  And so, yes, China's the engine of this and the laboratory, but it's the corporations that put Mao in and protected him and built all this up over 60 years, 70 years, that have done this.
[00:34:56.547 --> 00:34:59.689]  First it took them a good 30 years to get the Chinese in line and kill 100 million of them.
[00:35:00.429 --> 00:35:03.511]  And take them off the land and take their kids away and turn them into what they are now.
[00:35:04.451 --> 00:35:10.215]  Then in the last 35-40 years since the conditioning went well, a couple generations, now they are the cancer.
[00:35:12.016 --> 00:35:17.219]  But it's being directed by the big corporations, the NFL, the NBA, that's all just propaganda.
[00:35:17.479 --> 00:35:20.380]  So they tell the players, take a knee, hate America, America sucks.
[00:35:21.441 --> 00:35:23.262]  Teach little boys to chop their balls off.
[00:35:23.662 --> 00:35:24.723]  All that's just immoralized.
[00:35:28.097 --> 00:35:42.065]  But then when Beto and others come out at the CNN events and they say, yeah, churches shouldn't be able, just like Europe does, just like Canada does, to read passages criticizing pedophilia, criticizing homosexuality.
[00:35:42.965 --> 00:35:45.147]  Well, they should have their exemption stripped.
[00:35:45.167 --> 00:35:47.628]  Well, that's all a giant scam.
[00:35:47.648 --> 00:35:49.069]  Let me read to you the First Amendment.
[00:35:50.282 --> 00:35:51.583]  First Amendment, that's how it all starts.
[00:35:51.803 --> 00:35:52.264]  Bill of Rights.
[00:35:52.644 --> 00:36:02.391]  Congress shall make no law respecting the establishment of religion or prohibiting the free exercise thereof or abridging the freedom of speech or of the press or the right of the people to peacefully assemble and to petition the government of a redress of grievances.
[00:36:03.672 --> 00:36:05.514]  It's a lot bigger than just your personal speech.
[00:36:07.162 --> 00:36:16.269]  The left, oh they've got their speech to get government funding to piss on a crucifix or to put elephant dung all over the Virgin Mary in a state-run system.
[00:36:16.730 --> 00:36:21.814]  They take your religious symbol, use money to then invert it, and then literally piss on it and crap on it.
[00:36:21.994 --> 00:36:22.894]  That's a satanic ritual.
[00:36:24.095 --> 00:36:24.856]  That's a desecration.
[00:36:24.876 --> 00:36:26.017]  That's one-on-one satanism.
[00:36:26.557 --> 00:36:27.898]  And to have you pay for it's even better.
[00:36:28.099 --> 00:36:33.543]  Have you pay with tax money for abortions in places like Austin, Texas and San Francisco, California.
[00:36:35.421 --> 00:36:43.607]  So when Beto gets up there, looking like it from the Adams family, all crazy going... He's speaking from this globalist system.
[00:36:43.648 --> 00:36:44.508]  He's just a mouth.
[00:36:44.808 --> 00:36:45.549]  He's a tentacle.
[00:36:45.789 --> 00:36:53.395]  You can laugh at him all day, but he means business when he says, we're going to take your guns, and we're going to take your speech, and we're going to go in and take control of the churches.
