[00:00:04.182 --> 00:00:05.923]  Firm suspicions at Veritas.
[00:25:28.847 --> 00:25:31.527]  There's hardly ever anybody actually puts a swastika on something.
[00:25:32.148 --> 00:25:34.948]  It's done by individuals that want attention and power.
[00:25:35.468 --> 00:25:36.348]  Like Jesse Smollett.
[00:25:37.388 --> 00:25:38.669]  Or the setup of the Covington Kids.
[00:25:38.829 --> 00:25:51.691]  Or, we now confirm that the law firm, the Democratic Party law firm, most powerful on the East Coast, arguably, with a bunch of Obama appointees, former federal prosecutors, provided a transcript to the court
[00:25:53.268 --> 00:25:58.009]  The court took his official, not their own court transcript, saying, I said, Jew boy.
[00:26:00.290 --> 00:26:11.013]  We had two other stenographers look at it and do reports, and they said, white shoe boy, clearer than the sun in the sky at noon.
[00:26:12.773 --> 00:26:15.114]  Think about that mentality, ladies and gentlemen.
[00:26:15.994 --> 00:26:18.215]  We're at every level.
[00:26:19.975 --> 00:26:22.516]  You're dealing with deception.
[00:26:24.560 --> 00:26:32.463]  Focused, cold, sociopathic.
[00:26:35.443 --> 00:26:38.004]  We're gonna go to break and come back with the big enchilada.
[00:26:39.385 --> 00:26:43.886]  This is undoubtedly, to this point, the coup de grace.
[00:26:44.146 --> 00:26:44.986]  The creme de la creme.
[00:26:45.967 --> 00:26:47.467]  This is the paramount point.
[00:26:48.067 --> 00:26:49.148]  I'm sure it's penultimate.
[00:26:49.208 --> 00:26:50.888]  I'm sure there'll be something bigger in the future.
[00:26:51.108 --> 00:26:52.809]  And this will become second only to it.
[00:26:55.089 --> 00:27:03.052]  In the fight for liberty, this broadcast, this audience, this community, these hosts, this crew, is penultimate only to Trump in the fight to restore the Republic.
[00:27:03.532 --> 00:27:03.993]  Think about that.
[00:27:05.853 --> 00:27:10.315]  But we're going to get to the big whopper, the proof.
[00:27:11.155 --> 00:27:21.760]  And if Trump doesn't take action with this, it means they're not following his orders, which has been already admitted, and it just means that he's ready to lose the election in 2020.
[00:27:24.343 --> 00:27:29.165]  That you are going to see the type of penheads that are at the top of Google running your life.
[00:27:30.265 --> 00:27:34.007]  And arrogant, and cold-blooded about the whole thing.
[00:27:35.227 --> 00:27:37.428]  The technocrats that rule your information.
[00:27:38.188 --> 00:27:39.869]  And decide who can say what and when.
[00:27:40.829 --> 00:27:41.470]  It's all coming up.
[00:27:42.430 --> 00:27:43.270]  We have Clown World.
[00:27:44.391 --> 00:27:47.972]  Wednesday and Thursday night, the two presidential Democrat debates.
[00:27:48.613 --> 00:27:49.513]  We're going to be covering it live.
[00:27:52.574 --> 00:27:54.955]  At InfoWars.com forward slash show.
[00:27:55.555 --> 00:27:56.075]  I'll be here.
[00:27:56.155 --> 00:27:58.056]  Owen Schroer will be here and many other guest hosts.
[00:27:58.556 --> 00:27:59.937]  Really looking forward to this broadcast.
[00:27:59.957 --> 00:28:00.897]  We'll go an hour before.
[00:28:01.377 --> 00:28:04.178]  Then I've got a mystery science theater coverage after.
[00:28:04.218 --> 00:28:05.919]  And then take an hour of phone calls after.
[00:28:05.939 --> 00:28:07.080]  It's gonna be big.
[00:28:07.340 --> 00:28:08.600]  Crew's gonna work their ass off.
[00:28:09.060 --> 00:28:12.822]  We appreciate you telling everybody you know about InfoWars.com forward slash show.
[00:28:13.700 --> 00:28:15.461]  And we'll have a page up there by tonight.
[00:28:15.941 --> 00:28:23.203]  InfoWars.com forward slash clown as in C-L-O-W-N.
[00:28:23.223 --> 00:28:29.585]  InfoWars.com forward slash clown or InfoWars.com forward slash show.
[00:28:31.085 --> 00:28:32.125]  But Clown World.
[00:28:33.406 --> 00:28:34.086]  Clown World.
[00:28:35.618 --> 00:28:45.204]  Also, don't forget, we're going to have to end the sale on Friday because supplies are running low of these amazing products we have, like the supplements, the air filtration, and that's almost sold at cost.
[00:28:45.825 --> 00:28:47.206]  The Save InfoWare Special.
[00:28:47.246 --> 00:28:56.712]  Get all your favorite supplements and quality products like Wake Up America Coffee and Super Blue Fluoride-Free Toothpaste for 50% off, storewide free shipping, and double Patriot Points.
[00:28:57.192 --> 00:28:58.813]  Sign up for auto-ship with an initial 10% off.
[00:28:59.113 --> 00:29:00.114]  You can't beat these deals.
[00:29:00.354 --> 00:29:01.215]  InfoWareStore.com.
[00:29:10.626 --> 00:29:13.067]  So here's Lefto, but there's good news!
[00:29:14.608 --> 00:29:21.272]  I don't just come on air, willy-nilly, without something to offer ya!
[00:29:22.033 --> 00:29:26.735]  Not only is Lefto the Clown here live for this segment, but I got good news!
[00:29:26.755 --> 00:29:34.000]  You see, ladies and gentlemen, Lefto the Clown has friends out there in the political community.
[00:29:34.020 --> 00:29:36.101]  A lot of them are in the government.
[00:29:37.452 --> 00:29:41.973]  And some of them want to be President of the United States!
[00:29:43.473 --> 00:29:44.153]  That's right!
[00:29:45.034 --> 00:29:49.995]  Some of Lefto's buddies are running for President of the United States!
[00:29:50.955 --> 00:29:55.316]  Now I know you're out there probably jumping for joy, but hold your horses!
[00:29:56.316 --> 00:29:59.757]  Because there's even more to be excited about!
[00:30:00.737 --> 00:30:05.218]  Not just that Lefto's friends are running for President, but that next week,
[00:30:07.646 --> 00:30:10.140]  They will be hosting a clown show!
[00:30:11.311 --> 00:30:12.432]  That's right, ladies and gentlemen.
[00:30:12.892 --> 00:30:17.796]  Next week, the Democrats are having their first presidential debates.
[00:30:18.917 --> 00:30:20.218]  And you know what that means.
[00:30:20.799 --> 00:30:24.762]  It's the Clown World Show, the greatest comedy show on earth.
[00:30:25.222 --> 00:30:26.763]  The first Democrat debate.
[00:30:27.444 --> 00:30:31.027]  But ladies and gentlemen, we're so committed to your entertainment.
[00:30:31.767 --> 00:30:34.930]  We're so committed to you getting the full picture.
[00:30:35.550 --> 00:30:37.732]  We're so committed to the Clown World.
[00:30:38.513 --> 00:30:39.654]  We're gonna shake it up a bit.
[00:30:40.823 --> 00:30:55.978]  Not only do we have one night of presidential Democrat debates, we give you two nights of The Clown World, the greatest comedy show on Earth, and the best news is yet to come!
[00:30:57.219 --> 00:31:02.344]  It's all gonna be streamed live at infowars.com slash show!
[00:31:13.035 --> 00:31:17.301]  The globalists are hyper-competitive scientific dictators.
[00:31:17.401 --> 00:31:18.202]  They are technocrats.
[00:31:18.463 --> 00:31:20.586]  They are control freaks in their own words.
[00:31:21.186 --> 00:31:28.056]  And they believe allowing you to live your own life, make your own decisions, it's in the way of their great destiny to merge with AI gods.
[00:31:28.957 --> 00:31:30.438]  Now, we're fighting them hard in cyberspace.
[00:31:30.819 --> 00:31:32.960]  We're fighting them hard right here in the third dimension.
[00:31:33.461 --> 00:31:39.706]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[00:31:39.866 --> 00:31:40.626]  And I'm not perfect.
[00:31:41.107 --> 00:31:42.027]  I work a lot of hours.
[00:31:42.588 --> 00:31:47.572]  And if I wasn't taking the highest quality supplements from 4WarsLife.com, I couldn't do it.
[00:31:48.212 --> 00:31:57.219]  That's why we decided to take our original Secret 12 that was incredibly high quality medical bottlement and double the strength of it in a new formula, Ultra 12.
[00:31:58.200 --> 00:32:03.883]  Ultra 12 is undoubtedly the strongest, highest quality B12 over-the-counter you're going to find anywhere.
[00:32:03.983 --> 00:32:07.645]  That's what we set out with top developers in the United States to do.
[00:32:07.905 --> 00:32:11.447]  It took us years to up the quality and be able to concentrate it like this.
[00:32:12.087 --> 00:32:13.328]  Secret 12 is still amazing.
[00:32:13.988 --> 00:32:16.330]  This is the next level.
[00:32:16.370 --> 00:32:17.512]  This is Ultra 12.
[00:32:17.932 --> 00:32:23.738]  Exclusively available at InfoWarsLife.com or by calling toll-free 888-253-3139.
[00:32:23.798 --> 00:32:26.861]  You take it under your tongue for maximum absorption.
[00:32:27.201 --> 00:32:27.842]  It tastes great.
[00:32:28.202 --> 00:32:29.523]  There's no sweeteners, no additives.
[00:32:29.823 --> 00:32:30.524]  It is amazing.
[00:32:30.764 --> 00:32:38.452]  Experience pure Methocobalamin B12 for yourself and fund the Second American Revolution against the tyrants and their attack on our free speech.
[00:32:38.892 --> 00:32:44.474]  At InfoWarsStore.com, InfoWarsLife.com, or 888-253-3139.
[00:32:44.694 --> 00:32:53.656]  Again, Ultra 12, the best vitamin B12, the highest quality you're gonna find anywhere, and it funds the Info War, and really pisses the globalist control freaks off.
[00:32:53.896 --> 00:32:57.297]  So again, thank you for your support, and thank you for taking care of your own body.
[00:33:06.488 --> 00:33:09.210]  You're listening to The Alex Jones Show.
[00:33:18.597 --> 00:33:22.539]  Coming at you live!
[00:33:23.380 --> 00:33:25.341]  Live from Austin, Texas.
[00:33:25.682 --> 00:33:27.523]  Broadcasting worldwide.
[00:33:28.204 --> 00:33:29.605]  It's Alex Jones.
[00:33:35.649 --> 00:33:40.059]  50,000!
[00:33:35.669 --> 00:33:40.059]  50,000!
[00:33:35.910 --> 00:33:40.059]  Unstoppable watts!
[00:33:41.061 --> 00:33:41.522]  Woo!
[00:33:41.542 --> 00:33:43.867]  And racks!
[00:33:43.927 --> 00:33:44.729]  And radio!
[00:34:06.027 --> 00:34:08.008]  What if I told you they'd be lying?
[00:34:11.330 --> 00:34:13.210]  Clutch bringing us in.
[00:34:15.351 --> 00:34:15.872]  Way underrated.
[00:34:15.912 --> 00:34:18.933]  I'm getting old, man.
[00:34:18.953 --> 00:34:24.756]  I'm getting little fat little earlobes like Grandpa.
[00:34:25.336 --> 00:34:27.017]  It's your source of information.
[00:34:28.677 --> 00:34:30.918]  50,000 unstoppable watts.
[00:34:31.218 --> 00:34:34.680]  Hell, I think we got like
[00:34:36.491 --> 00:34:37.592]  Twelve 50,001 AM stations.
[00:34:37.652 --> 00:34:40.834]  Alright, let's get back to the serious news.
[00:34:43.497 --> 00:34:53.785]  I'm very happy about this, but if we don't do our job, and that means you, and that means I'm on my knees, please realize how much power you've got.
[00:34:53.805 --> 00:35:05.334]  If you get the article at newswars.com and infowars.com, and the live feed at infowars.com and newswars.com, and just email it and text it out and call people and call Talk Radio,
[00:35:07.771 --> 00:35:35.291]  And say, wow, after Google lied to Congress, and after Google told the world that they weren't censoring anybody, and after all the times we caught them in their internal documents and their own admissions, Project Veritas has put out a 25-minute report and hours of raw footage on their site showing Google executives bragging how they censor conservatives and block them, and how they call fairness not letting Trump
[00:35:36.192 --> 00:35:37.793]  Get re-elected or people like him.
[00:35:40.055 --> 00:35:40.836]  Jin Janai.
[00:35:42.797 --> 00:35:44.198]  These are high-level individuals.
[00:35:45.239 --> 00:35:47.241]  And they're SJWs right out of college.
[00:35:48.582 --> 00:35:54.006]  That's where they produce these clones, like something out of Star Wars.
[00:35:54.887 --> 00:35:56.849]  They may look different, but they all have the same worldview.
[00:35:58.510 --> 00:36:02.593]  And they just come out and say, we're not going to let 2020 happen again.
[00:36:02.954 --> 00:36:05.636]  But didn't the head of Google
[00:36:06.940 --> 00:36:07.380]  Remember this?
[00:36:07.701 --> 00:36:10.703]  Breitbart.com, Infowars.com, DrudgeReport.com hammered it.
[00:36:11.144 --> 00:36:13.386]  September 11, 2018, the documents came out.
[00:36:15.007 --> 00:36:24.215]  From the day after, November 8, 2016, on November 9th, this video went out to Google's leadership.
[00:36:24.675 --> 00:36:25.676]  Thousands of managers.
[00:36:26.317 --> 00:36:27.618]  Somebody was bad and leaked it.
[00:36:28.579 --> 00:36:32.122]  Google's leadership dismayed reaction to Trump, and they promised
[00:36:33.240 --> 00:36:34.841]  To not let it happen again.
[00:36:34.901 --> 00:36:41.083]  But hell, internal emails said they were going to deliver the election to Hillary.
[00:36:41.483 --> 00:36:43.603]  Here's just some of the hours of this stuff.
[00:36:43.623 --> 00:36:44.024]  Here it is.
[00:36:45.164 --> 00:36:48.785]  I certainly find this election deeply offensive.
[00:36:48.945 --> 00:36:51.046]  And I imagine you do too.
[00:36:51.186 --> 00:36:54.147]  It did feel like a ton of bricks dropped on my chest.
[00:36:54.187 --> 00:36:55.747]  What we all need right now is a hug.
[00:36:55.867 --> 00:36:57.288]  Can I move to Canada?
[00:37:00.258 --> 00:37:02.959]  Is there anything positive you see from this election result?
[00:37:06.861 --> 00:37:09.102]  Boy, that's a really tough one right now.
[00:37:11.263 --> 00:37:14.725]  And they go on to say, we are not going to let this happen again.
[00:37:14.745 --> 00:37:16.105]  We're going to play more video of that in a moment.
[00:37:16.525 --> 00:37:21.328]  If you're a TV viewer, you notice they're wearing propeller hats, dunce hats.
[00:37:22.179 --> 00:37:28.262]  They have beer on the campus and pinball machines, and it's all done as camouflage.
[00:37:28.982 --> 00:37:41.728]  The most criminal parts of DARPA in the globalist, eugenic, stay-behind cult set it up now, 21 years ago, to be an AI takeover of the planet.
[00:37:42.068 --> 00:37:43.269]  It's dealt with China.
[00:37:44.623 --> 00:37:47.825]  And the EU, like, it loves authoritarianism, it hates America.
