[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[00:25:32.626 --> 00:25:35.789]  It's very diverse and is radicalizing Islam.
[00:25:35.929 --> 00:25:36.830]  It is the big threat.
[00:25:38.686 --> 00:25:43.709]  So I wonder why Iran plays into the globalist program of acting like villains.
[00:25:44.790 --> 00:25:46.571]  Shiites are 19% of Islam.
[00:25:47.672 --> 00:25:49.413]  They are not aggressively expanding.
[00:25:51.734 --> 00:25:54.456]  They do not generally launch terror attacks in the West.
[00:25:56.657 --> 00:26:02.041]  They do run real paramilitary operations, though, against Western forces in the Middle East.
[00:26:04.141 --> 00:26:13.826]  But they do have real sleeper cells all over the West of serious military operatives who will take action if there's a war with Iran.
[00:26:16.468 --> 00:26:19.209]  And then Saudi Arabia is going to hit them with nukes along with Israel.
[00:26:19.749 --> 00:26:22.111]  So there's no winner in any of this.
[00:26:23.942 --> 00:26:29.146]  And if you collapse the Middle East further, you're going to have even more refugees pouring into Europe.
[00:26:29.246 --> 00:26:33.989]  And now, Paul Watson has the article up on Infowars.com.
[00:26:37.792 --> 00:26:38.533]  It's incredible.
[00:26:38.673 --> 00:26:45.878]  Image after image showing the jihadists, by name, on their own Facebook pages, showing what men they are.
[00:26:47.725 --> 00:26:59.709]  Now as refugees, holding up their machine guns, their .50 cals, their rocket launchers, now on the streets of Europe, pouring in.
[00:27:01.109 --> 00:27:11.633]  And Al Qaeda and ISIS said, three months ago, two months ago, a month ago, we're going to hit you with 500,000 refugees in the next few months, and we're going to flood in with our operatives and we're going to hit you.
[00:27:13.933 --> 00:27:15.274]  And now the attacks have started,
[00:27:16.658 --> 00:27:23.902]  And if you try to go out and protest it, you're in a town of 1,000 Germans, 2,000 illegals show up one week, you are arrested.
[00:27:28.084 --> 00:27:32.486]  And then Donald Trump comes out and says we've got to take the Syrian refugees.
[00:27:32.506 --> 00:27:34.528]  Most of these people aren't even Syrian.
[00:27:36.188 --> 00:27:40.511]  They're Pakistani, they're Afghan, that's in the news today, and they're just showing up.
[00:27:41.011 --> 00:27:42.832]  They're North African, you name it.
[00:27:45.879 --> 00:28:02.189]  No one else would take these people, but our sick ruling class that can't wait for the class warfare and all the weird... and oh, we've got to adopt, for their culture and their political correctness, German women are being told, don't wear short skirts now, it offends the Muslims.
[00:28:04.250 --> 00:28:08.473]  Well, I mean, I don't want to offend you, you've got your life, I've got mine.
[00:28:10.174 --> 00:28:12.495]  And I'll live how I want to.
[00:28:12.535 --> 00:28:14.256]  But see, not a word from the feminists.
[00:28:14.676 --> 00:28:15.817]  Because they're not feminists.
[00:28:15.837 --> 00:28:23.321]  They're sick freaks that want to go in a barber shop with just regular schmoes in Pittsburgh and go, give me a haircut.
[00:28:23.541 --> 00:28:25.122]  Do my hair in curlers.
[00:28:26.002 --> 00:28:27.143]  Ma'am, we don't do women's hair.
[00:28:27.183 --> 00:28:27.923]  We don't have the equipment.
[00:28:28.383 --> 00:28:28.743]  Oh, really?
[00:28:28.783 --> 00:28:29.564]  You're a sexist?
[00:28:29.644 --> 00:28:30.204]  No.
[00:28:31.005 --> 00:28:31.885]  We're a barber shop.
[00:28:32.085 --> 00:28:33.166]  We cut men's hair.
[00:28:36.227 --> 00:28:37.128]  I'm going to fine you.
[00:28:37.168 --> 00:28:38.508]  I'm going to the EEOC.
[00:28:38.808 --> 00:28:39.629]  Boom, you're fined.
[00:28:41.181 --> 00:28:41.681]  But, oh!
[00:28:42.302 --> 00:28:44.623]  We're not going to search the headdresses of the Islamicists.
[00:28:48.165 --> 00:28:50.146]  It's because Westerners are tolerant.
[00:28:50.506 --> 00:28:56.369]  We're not just tolerant of Third World Stone Age culture coming in and dominating us, because we have no culture.
[00:28:56.929 --> 00:28:58.150]  I mean, I watch these illegals.
[00:28:58.710 --> 00:29:05.113]  We're tolerant of the hen-pecking government that wants to end masculinity because it's something that might stand up to them.
[00:29:06.354 --> 00:29:07.755]  I mean, this is a full-on war.
[00:29:11.058 --> 00:29:16.942]  And I just look at the women of the West that have bought into all this hype and the men that have done it, they're all alone, unhappy.
[00:29:17.442 --> 00:29:20.545]  By the time they're 35, 40, they're desperate, there are no men around.
[00:29:20.565 --> 00:29:27.269]  I mean, show me women by 35, they're like, I was a big feminist, I didn't want a man that wore the pants, I didn't want... Now I do!
[00:29:27.329 --> 00:29:27.990]  Where are they?
[00:29:28.370 --> 00:29:28.950]  I want one!
[00:29:30.652 --> 00:29:35.335]  And there's all these guys trying to act like trendies and metrosexuals, thinking they can get women that way.
[00:29:35.615 --> 00:29:41.100]  You act like a real man, you'll have women climbing over themselves, no matter even how you look.
[00:29:41.800 --> 00:29:44.883]  You see these guys that get it with their pot bellies and their wife beaters on.
[00:29:44.903 --> 00:29:50.187]  They're treating their wife or their girlfriend nice, but, you know, they're the boss when it comes to many issues of women.
[00:29:50.647 --> 00:29:51.168]  Eat it up!
[00:29:51.548 --> 00:29:53.049]  Because it's what humans do.
[00:29:54.430 --> 00:29:56.431]  But don't worry, you want the state to be your husband?
[00:29:56.831 --> 00:29:58.612]  He'll give you cancer viruses and GMO.
[00:29:58.632 --> 00:30:01.613]  We're on the march, the empire's on the run.
[00:30:02.534 --> 00:30:05.215]  Alex Jones and the GCN Radio Network.
[00:30:09.768 --> 00:30:13.330]  ISIS has demanded that Syrian Christians pay an Islam tax.
[00:30:13.710 --> 00:30:15.952]  This is being reported by WorldNetDaily.
[00:30:16.652 --> 00:30:28.539]  ISIS terrorists gathered together dozens of Christian men in Syria and told them either to pay a Sharia-inspired tax and sign on to a list of faith-based restrictions or pay a penalty that could include the loss of life.
[00:30:29.179 --> 00:30:37.224]  Among the restrictions, Christians cannot own guns, build places of worship, show their crosses in public or even ring church bells.
[00:30:37.904 --> 00:30:45.409]  The terrorists put forth their demands to Christians in a town that used to be dominated by the Christian faith, but has been taken over by radical Muslims.
[00:30:46.090 --> 00:30:53.555]  And while many followers of Islam will condemn these actions, numerous people in power continue to fund groups like ISIS and Al-Qaeda.
[00:30:54.275 --> 00:31:03.771]  Whether it's airdropping grenades or leaving behind billions of dollars worth of vehicles that they can use against this, these terrorist groups always seem to find the best equipment somewhere.
[00:31:04.292 --> 00:31:07.818]  You can find more reports on InfoWars.com
[00:31:09.577 --> 00:31:10.797]  Another major health threat.
[00:31:10.837 --> 00:31:15.739]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:31:15.799 --> 00:31:18.460]  Ohio's governor declaring a state of emergency.
[00:31:18.480 --> 00:31:25.262]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:31:25.522 --> 00:31:28.383]  If there's a water emergency, will you be prepared?
[00:31:28.543 --> 00:31:31.444]  Panicked residents forming long lines throughout the day.
[00:31:31.464 --> 00:31:33.464]  We're here at a supermarket in Toledo.
[00:31:33.484 --> 00:31:36.345]  You can see the shelves empty where water once was.
[00:31:36.425 --> 00:31:41.928]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:31:42.128 --> 00:31:45.630]  Water which will not be available at your local grocery store.
[00:31:45.650 --> 00:31:48.651]  There's a mad dash on right now to stock up on supplies.
[00:31:48.751 --> 00:31:55.835]  The ProPure ProOne G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:31:56.055 --> 00:31:59.117]  Protect your family's safety during an emergency.
[00:31:59.277 --> 00:32:05.540]  Go to infowarsstore.com today to purchase your ProPure ProOne G2.0 Water Filtration System.
[00:32:05.680 --> 00:32:07.581]  Or call 1-888-253-3139.
[00:32:09.363 --> 00:32:19.289]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:32:19.489 --> 00:32:25.473]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:32:25.613 --> 00:32:27.735]  They call it their low-profile platform.
[00:32:27.935 --> 00:32:29.295]  PVX Muzzle Brakes.
[00:32:29.575 --> 00:32:32.516]  Proven to help control muzzle rise.
[00:32:32.536 --> 00:32:35.076]  6061 Billet Material with Type 3 Hard Coating.
[00:32:35.316 --> 00:32:38.577]  Bolt Carrier Group for .308 and .556 ARs.
[00:32:38.937 --> 00:32:40.197]  Custom Kydex Holsters.
[00:32:40.497 --> 00:32:45.198]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:32:45.358 --> 00:32:47.758]  Most competitors' material use .060.
[00:32:47.858 --> 00:32:51.019]  Configure yours today at hdfirearms.com.
[00:32:51.259 --> 00:32:53.139]  And my favorite, Single Stage Trigger.
[00:32:53.299 --> 00:32:56.700]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:32:56.940 --> 00:33:00.306]  Find out more at HDFirearms.com today or call 770-485-7015.
[00:33:00.486 --> 00:33:01.589]  That's HDFirearms.com or call 770-485-7015.
[00:33:32.566 --> 00:33:34.686]  You're listening to InfoWars Live.
[00:33:34.706 --> 00:33:36.607]  I'm your host, Alex Jones.
[00:33:37.847 --> 00:33:42.348]  InfoWars.com and PrisonPlanet.com are the two big news sites.
[00:33:42.808 --> 00:33:51.710]  You can find the free video feed, audio feed, podcasts, free Droid app, free iPhone apps, and more at InfoWars.com forward slash show.
[00:33:54.430 --> 00:33:59.571]  Please tell friends and family and neighbors and acquaintances or strangers for that matter about the broadcast.
[00:34:00.032 --> 00:34:01.992]  Whether you're listening on a local AM or FM station,
[00:34:02.594 --> 00:34:04.916]  Like we're on three stations in Albuquerque right now.
[00:34:06.417 --> 00:34:09.320]  Or whether you're listening to shortwave of the internet or satellite.
[00:34:12.302 --> 00:34:19.568]  I just mentioned Albuquerque as I talked to the station owner yesterday about maybe coming out there sometime to speak to the big audience.
[00:34:20.969 --> 00:34:26.113]  That's why I just said an example, Albuquerque, with three radio stations, 2 FM, 1 AM.
[00:34:28.962 --> 00:34:31.825]  Coming up, Ted Nugent is coming on.
[00:34:31.845 --> 00:34:40.232]  Verizon has dropped Sportsman Channel, one of the most popular channels they had.
[00:34:42.535 --> 00:34:46.899]  And basically what's happening is they're phasing it out because they're anti-gun.
[00:34:48.200 --> 00:34:53.184]  Just like I have the London Telegraph here with the owners of the franchise
[00:34:54.457 --> 00:35:07.347]  of Ian Fleming's character, James Bond, saying he's misogynistic, he's bad, and the new James Bond in the future, not this next movie, but after that, in novels and in film, is going to be politically correct.
[00:35:08.047 --> 00:35:24.160]  And I actually say here in the article, a cast of characters will point out the error of his chauvinistic ways, including messages about smoking causing cancer, women who give him a run for his money, and an outspoken gay friend.
[00:35:25.902 --> 00:35:27.983]  And the point is, it's a directive.
[00:35:28.103 --> 00:35:29.183]  It's everything.
[00:35:30.464 --> 00:35:47.630]  From your five-year-olds being taught how to be cross-dressers, to women in frontline combat, to estrogen mimickers in the food, to being fined for being discriminatory because a barber shop doesn't cut women's hair.
[00:35:51.946 --> 00:35:58.010]  I mean, it's like walking in and saying, I want you to color my hair, or I want you to bleach my hair.
[00:35:58.050 --> 00:36:00.591]  And they said, lady, we don't do that.
[00:36:00.691 --> 00:36:01.572]  We just cut hair.
[00:36:01.672 --> 00:36:02.352]  We got razors.
[00:36:02.392 --> 00:36:04.033]  We got clippers.
[00:36:04.633 --> 00:36:05.334]  We got scissors.
[00:36:06.274 --> 00:36:06.515]  That's it.
[00:36:07.335 --> 00:36:10.377]  And the guy's interviewed saying, I guess I'll get the equipment.
[00:36:11.735 --> 00:36:13.936]  We don't really have women come in here, but okay.
[00:36:14.216 --> 00:36:16.737]  He said, I respect the law, I'll pay the fine.
[00:36:17.177 --> 00:36:19.258]  Isn't even going to fight back against it.
[00:36:19.978 --> 00:36:21.819]  See, it's that attitude of rolling over.
[00:36:22.399 --> 00:36:25.020]  Are you going to support the law if they say black people are slaves again?
[00:36:25.060 --> 00:36:27.281]  I mean, that's not going to happen, but that was a law.
