[00:00:08.140 --> 00:00:09.542]  Bilderberg, 2015.
[00:28:25.518 --> 00:28:32.702]  He's largest army base in Dera.
[00:28:32.702 --> 00:28:34.083]  They're taking control of the country.
[00:28:34.083 --> 00:28:39.006]  They're winning because they ran back into Iraq, got secretly supplied by NATO, and they're going in hard.
[00:28:40.287 --> 00:28:45.893]  So they can chop off every Christian's head they find, throw people off roofs, just murder everyone.
[00:28:45.893 --> 00:28:47.415]  Oh, if you're a homosexual, you're dead.
[00:28:47.415 --> 00:28:49.577]  But no feminist, no liberal.
[00:28:49.577 --> 00:28:52.781]  That's okay because it's trendy, it's sexy, it's cool.
[00:28:52.781 --> 00:28:54.503]  The White House is doing this.
[00:28:54.503 --> 00:28:57.225]  It's anti-Western.
[00:28:57.225 --> 00:29:00.309]  You go out to any communist march and there'll be a bunch of radical jihadis with them.
[00:29:02.878 --> 00:29:14.446]  With women screaming, white, white women, white privilege, white men are pigs, all males are bad, I love Stalin, I love Satan, I love Mao.
[00:29:14.446 --> 00:29:19.910]  When the jihadis would sexually mutilate them and put a bag over their head if they were lucky.
[00:29:19.910 --> 00:29:23.973]  But they love that because it's destructive and evil.
[00:29:23.973 --> 00:29:26.415]  The West, with women empowered,
[00:29:28.680 --> 00:29:35.764]  They want to dominate it and wreck it, so they can be overrun and put in slave pits with bags on their heads.
[00:29:35.764 --> 00:29:37.646]  And they can't drive cars.
[00:29:37.646 --> 00:29:39.047]  That's their dream.
[00:29:39.047 --> 00:29:45.070]  To have bags put on their heads, be sexually mutilated, and not be able to drive a car, and be beaten and raped.
[00:29:45.070 --> 00:29:46.471]  They love it.
[00:29:46.471 --> 00:29:48.773]  They hate the country that gave them the freedom.
[00:29:48.773 --> 00:29:49.153]  We'll be back.
[00:29:49.153 --> 00:29:50.334]  Stay with us.
[00:29:50.334 --> 00:29:51.735]  We're on the march.
[00:29:51.735 --> 00:29:54.256]  The empire's on the run.
[00:29:54.256 --> 00:29:56.938]  Alex Jones and the GCN Radio Network.
[00:30:01.232 --> 00:30:02.313]  It's that time again.
[00:30:02.313 --> 00:30:06.314]  A private party with some of the most powerful people on earth.
[00:30:06.314 --> 00:30:10.176]  Privacy guaranteed by thousands of police, paid for by the public.
[00:30:14.369 --> 00:30:29.314]  And besides Kissinger, regular attendee David Petraeus will be there with his get-out-of-jail card, courtesy of pals like Tony Blair, who put in a good word for him when he leaked reams of classified documents, as long as he doesn't reveal any Bilderberg secrets.
[00:30:29.314 --> 00:30:42.759]  And of course, there's the heads of banks, who've recently been caught rigging interest rates with LIBOR, rigging currency exchanges, commodity rates, pretty much rigging every market, and getting caught money laundering, but just getting off with a slap on the wrist.
[00:30:42.759 --> 00:30:43.639]  Where are the police?
[00:30:44.139 --> 00:30:48.084]  If you have a party at your home and there comes a burglar, it's also your private home.
[00:30:48.084 --> 00:30:48.584]  Sure.
[00:30:48.584 --> 00:30:50.787]  And we save it.
[00:30:50.787 --> 00:30:52.809]  Somebody needs to keep an eye on these crooks.
[00:30:52.809 --> 00:30:54.912]  Tune in to Infowars.com.
[00:30:54.912 --> 00:30:55.613]  I'm David Knight.
[00:31:01.019 --> 00:31:03.662]  InfoWarsLife.com.
[00:31:03.662 --> 00:31:05.143]  Check it out today.
[00:31:05.143 --> 00:31:10.908]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[00:31:10.908 --> 00:31:13.531]  And that's what you'll find at InfoWarsLife.com.
[00:31:13.531 --> 00:31:20.657]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not of the very highest quality.
[00:31:20.677 --> 00:31:21.317]  I don't know.
[00:31:40.766 --> 00:31:51.579]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com and believed in us and tried the products.
[00:31:51.579 --> 00:31:59.208]  Folks, check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[00:32:00.879 --> 00:32:06.021]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:32:06.021 --> 00:32:12.124]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:32:12.124 --> 00:32:16.926]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:32:16.926 --> 00:32:20.488]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:32:20.488 --> 00:32:22.448]  No needles, no injections.
[00:32:22.448 --> 00:32:27.071]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:32:30.652 --> 00:32:34.154]  When cells become toxic, they die early and aging sets in.
[00:32:34.154 --> 00:32:42.398]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:32:42.398 --> 00:32:47.800]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:32:47.800 --> 00:32:50.342]  You want the best that's out there at the lowest price anywhere?
[00:32:50.342 --> 00:32:52.443]  We now have the synergistic solution.
[00:32:52.443 --> 00:32:56.645]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:33:17.359 --> 00:33:21.983]  Leading a frontal assault on the lies of the New World Order.
[00:33:21.983 --> 00:33:25.846]  It's Alex Jones on the GCN Radio Network.
[00:33:33.436 --> 00:33:35.977]  We're here Monday through Friday from 11 a.m.
[00:33:35.977 --> 00:33:36.677]  to 2 p.m.
[00:33:36.677 --> 00:33:37.818]  Central.
[00:33:37.818 --> 00:33:41.059]  We return weeknight 7 o'clock with InfoWorks Nightly News.
[00:33:41.059 --> 00:33:45.901]  Also do an abbreviated two-hour transmission live every Sunday 4 to 6 p.m.
[00:33:45.901 --> 00:33:53.104]  And of course routinely David Knight comes and co-hosts the broadcast with us as well.
[00:33:53.104 --> 00:34:01.167]  We have three of our great reporters in the field in Austria right now covering Bilderberg 2015.
[00:34:04.838 --> 00:34:17.008]  And I think it's important just to take a deep breath and to pull back and to observe the planet and who's controlling it.
[00:34:17.008 --> 00:34:26.256]  Kit Daniels has an excellent article up on Infowars.com that is so important.
[00:34:26.256 --> 00:34:32.601]  Dealing with the quotes, the evil quotes of Bilderberg and then linking to where members of Bilderberg made these statements.
[00:34:37.418 --> 00:34:42.300]  The headline is the most evil quotes from Bilderberg insiders.
[00:34:42.300 --> 00:34:45.801]  There's another article, the spirit of Jim Tucker seen at Bilderberg 2015.
[00:34:45.801 --> 00:34:52.324]  And it's an allegory, we're not saying we actually saw Casper the Friendly Gust.
[00:34:52.324 --> 00:34:56.265]  Another video, Austrians mad as hell at Bilderberg 2015.
[00:34:56.265 --> 00:35:00.607]  Convicted criminal David Petraeus to represent US at Bilderberg.
[00:35:02.524 --> 00:35:09.448]  500 euro fine or two weeks in prison for entering giant exclusion zone security zone at Bilderberg.
[00:35:09.448 --> 00:35:11.609]  That is such important news.
[00:35:11.609 --> 00:35:19.533]  Bilderberg 2015 to focus on rebranding authoritarianism with a very important video that we aired earlier where Watson breaks it all down.
[00:35:19.533 --> 00:35:22.175]  It's the most important nine minutes on Bilderberg out there.
[00:35:24.298 --> 00:35:45.402]  How they want to bring in a planetary government with carbon taxes and computer systems, with smart dust as they call it, RFID in everything, tracking the internet of things, taxing, micromanaging, shutting down local farming, shutting down community centers, shutting down anything independent.
[00:35:45.402 --> 00:35:51.063]  A cashless society tracking everything you do and then taxing the daylights out of you.
[00:35:52.378 --> 00:35:58.723]  And gaming the economies like they game interest rates, currency rates, and the stock markets.
[00:35:58.723 --> 00:35:59.963]  That's all admitted.
[00:35:59.963 --> 00:36:05.307]  And you look at who's at this meeting, these are the people that own Dutch Royal Shell and BP.
[00:36:05.307 --> 00:36:08.169]  And their wealth are state secrets, like Queen Beatrix.
[00:36:08.169 --> 00:36:19.117]  These are the people that are financing through their foundations, like Ford and Rockefeller and Carnegie, taking our guns, breaking up the family, demonizing men as good role models.
[00:36:23.200 --> 00:36:26.301]  They are the engines and they are the captains.
[00:36:26.301 --> 00:36:33.524]  They are the system of anti-human exterminism for a global decline.
[00:36:33.524 --> 00:36:35.165]  They publicly say zero growth.
[00:36:35.165 --> 00:36:40.747]  They want a decline into what they call neo-feudalism.
[00:36:40.747 --> 00:36:46.449]  Where they get the life extension, they get the power, they get to live in the countryside in beautiful complexes.
[00:36:46.449 --> 00:36:48.250]  We live in giant mega-city prisons.
[00:37:02.264 --> 00:37:11.891]  This is the group openly funding ISIS and Al Qaeda to destabilize and bring in fear so they can bring in the solution.
[00:37:11.891 --> 00:37:16.834]  This is the group openly funding civil unrest and destabilization.
[00:37:16.834 --> 00:37:19.336]  This is the group.
[00:37:19.336 --> 00:37:30.624]  And you look at the members of it, they are mainly just super gophers for the royalty and the top controllers who also attend, who then go out and have their legions of minions under them.
[00:37:31.590 --> 00:37:47.305]  It's a major summit where they fine-tune existing global treaties, corporate treaties, from the different corporate houses and the different imperial families that sit behind those houses.
[00:37:47.305 --> 00:37:55.813]  When I say imperial, I mean the Rothschilds, the Rockefellers, the Li family in China, the Japanese royalty.
[00:37:56.724 --> 00:37:59.405]  You look at who runs this whole show, folks.
[00:37:59.405 --> 00:38:05.449]  They are anti-human demons who come from lines of genetic psychopaths.
[00:38:05.449 --> 00:38:11.632]  And so they're willing and able and hungry and desire secretive control.
[00:38:11.632 --> 00:38:17.595]  But the minute you blast them with spotlights of truth, I love to be out in the sun.
[00:38:17.595 --> 00:38:18.116]  Feels good.
[00:38:18.116 --> 00:38:20.917]  I enjoy it.
[00:38:20.917 --> 00:38:23.258]  Globalists don't like it.
[00:38:23.258 --> 00:38:24.679]  And I mean that as an allegory.
[00:38:24.679 --> 00:38:25.920]  Their skin burns.
[00:38:27.418 --> 00:38:29.439]  Like vampires.
[00:38:29.439 --> 00:38:33.382]  The light of truth hits them, they start to fry.
[00:38:33.382 --> 00:38:36.485]  And we're there frying them right now.
[00:38:36.485 --> 00:38:38.306]  Because they are the ones attacking us.
[00:38:38.306 --> 00:38:39.647]  They're the ones in our face.
[00:38:39.647 --> 00:38:41.968]  They're the ones that have committed all these crimes.
[00:38:41.968 --> 00:38:43.790]  I mean, go read their unbelievable quotes.
[00:38:51.684 --> 00:39:00.829]  I'm going to cover other news, like West Coast of North America to be slammed in 2016 with 80% as much Fukushima radiation as Japan.
[00:39:00.829 --> 00:39:08.374]  Clearing your browser history can be deemed obstruction of justice in the U.S., even though you've got to clear the cookies and stuff to get better deals on the Internet.
