[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[00:26:49.246 --> 00:27:02.312]  But as soon as the US or NATO get involved, everybody knows it's going to become a larger conflict and there's going to be a new... It'll be a new Axis of Power type of situation.
[00:27:02.312 --> 00:27:04.393]  And the pieces will fall where they may.
[00:27:05.811 --> 00:27:09.434]  And I don't think we're gonna like where the U.S.
[00:27:09.434 --> 00:27:12.176]  lands in that scenario.
[00:27:12.176 --> 00:27:15.017]  And we don't like what's going on now.
[00:27:15.017 --> 00:27:20.041]  According to polls, most Americans want nothing to do with this.
[00:27:20.041 --> 00:27:22.503]  Only 15% of Americans support sending U.S.
[00:27:22.503 --> 00:27:25.385]  troops to Ukraine in the event of an invasion.
[00:27:25.385 --> 00:27:34.091]  Now, just to kinda go sideways off of that for a second, can you imagine, and maybe this number is true,
[00:27:35.492 --> 00:27:39.713]  And we just don't know it because we don't get fair representation in the media or in our government.
[00:27:39.713 --> 00:27:47.096]  But only 15% of Americans support getting involved in Ukraine.
[00:27:47.096 --> 00:27:56.499]  Imagine if only 15% of Americans supported any of the COVID nonsense that we've seen in the last, what are we, in the third year now?
[00:27:56.499 --> 00:27:59.720]  Imagine if it was only 15% of Americans that supported any of it.
[00:27:59.720 --> 00:28:02.241]  Now, that number could be accurate.
[00:28:03.286 --> 00:28:04.726]  How am I to even know?
[00:28:04.726 --> 00:28:20.991]  I would imagine most people don't like it, but when I go out now in Austin to get groceries and I see that 80 to 90 percent of people are wearing masks again when just this last summer nobody was wearing masks at the grocery store.
[00:28:20.991 --> 00:28:23.451]  Now they're all back wearing masks.
[00:28:23.451 --> 00:28:29.933]  So I guess they just do whatever they're told to do by the TV or they're afraid of whatever the TV tells them to be afraid of.
[00:28:32.230 --> 00:28:38.372]  But imagine if only 15% of Americans actually wanted any of the COVID nonsense.
[00:28:38.372 --> 00:28:39.513]  Would we already be over it?
[00:28:39.513 --> 00:28:40.653]  Would we already be above it?
[00:28:40.653 --> 00:28:42.594]  Would our government listen to us?
[00:28:42.594 --> 00:28:45.395]  Would our media represent us?
[00:28:45.395 --> 00:28:51.197]  Well, I don't know, but you're about to find out with the Ukraine and Russia situation within the next month or two.
[00:28:51.197 --> 00:28:58.380]  Nobody wants to get involved in Ukraine and Russia except radical neocons and brainwashed leftists and people in Virginia that are about to remodel their homes.
[00:29:00.479 --> 00:29:02.781]  Reset Wars is legit.
[00:29:02.781 --> 00:29:07.104]  Reset Wars was absolutely amazing and eye-opening.
[00:29:07.104 --> 00:29:18.732]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines, but about all of us as a human species coming together.
[00:29:18.732 --> 00:29:20.113]  I'm a combat veteran.
[00:29:20.553 --> 00:29:26.137]  And, uh, I mean, that brought me close to God, but what Alex goes through brought me even closer.
[00:29:26.137 --> 00:29:27.719]  I can feel God in my life now.
[00:29:27.719 --> 00:29:36.305]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and, uh, install new.
[00:29:36.305 --> 00:29:40.929]  Reset Wars is a step beyond what you already get in regular InfoWars broadcasts.
[00:29:41.129 --> 00:29:47.437]  It's an academic level course that will raise your awareness and help you live a more conscious and self-determined life.
[00:29:47.437 --> 00:29:50.921]  If you're on the fence about Reset Wars, it's time to get off the fence.
[00:29:50.921 --> 00:29:52.663]  Join Reset Wars today.
[00:29:59.735 --> 00:30:06.899]  Both of these amazing products have been sold out for almost half a year because of supply chain breakdowns.
[00:30:06.899 --> 00:30:10.561]  You've done a great job supporting InfoWars and supporting your immune system.
[00:30:10.561 --> 00:30:14.964]  The problem is with all the COVID lockdowns, the Great Reset, we can't get these products in.
[00:30:14.964 --> 00:30:16.985]  So finally they came in, but
[00:30:17.005 --> 00:30:17.385]  I think so.
[00:30:36.001 --> 00:30:36.281]  I think.
[00:30:59.588 --> 00:31:05.371]  Well, I'm very excited for several reasons that two of our very popular products are back in stock.
[00:31:05.371 --> 00:31:20.378]  Whole Food Multivitamin Essential Nutrient Multivitamin from Natural Healthy Sources, not synthetic, and Vitamin C and Zinc with Rosehips, the classic Linus Pauling Nobel Prize winning formula to supercharge your immune system and every cell in your body.
[00:31:20.378 --> 00:31:24.160]  They're both back in stock, sold out for more than four months at 40% off.
[00:31:26.221 --> 00:31:32.170]  Another reason I'm very, very excited about this is, this will fund our operation and keep us on air.
[00:31:32.170 --> 00:31:41.544]  So again, it's a 360 win, but whatever you do, go out and get an organic, whole food, multivitamin, anti-vitamin C, and take zinc.
[00:31:42.125 --> 00:31:45.308]  We also have some great vitamin D products at InfoWarsTore.com as well.
[00:31:45.308 --> 00:31:48.831]  But whatever you do, defend your body's immune system.
[00:31:48.831 --> 00:31:51.434]  We want to keep patriots in the game against the New World Order.
[00:31:51.434 --> 00:31:52.715]  So it's a 360 win.
[00:31:52.715 --> 00:31:59.041]  Get something essential for your body and your health and your longevity and your immune system while funding the InfoWar at InfoWarsTore.com.
[00:32:00.009 --> 00:32:07.419]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[00:32:07.419 --> 00:32:14.549]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[00:32:14.549 --> 00:32:16.431]  It's Ultimate Bone Broth Plus.
[00:32:17.072 --> 00:32:26.115]  It's got concentrated high quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[00:32:26.115 --> 00:32:29.737]  Then it's got added magnesium and potassium for electrolytes.
[00:32:29.737 --> 00:32:36.259]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[00:32:36.259 --> 00:32:40.800]  It even tastes better than the last formula and what it does for your body is simply amazing.
[00:32:40.800 --> 00:32:42.061]  Again, it has that cutting edge
[00:32:42.541 --> 00:32:48.125]  Chicken broth, protein, isolate powder for better flavor and dissolvability.
[00:32:48.125 --> 00:32:52.267]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones.
[00:32:52.267 --> 00:32:55.049]  It's simply amazing and it helps fund the InfoWar.
[00:32:55.049 --> 00:33:00.533]  This is really the best bone broth out there, so get yours at InfoWarStore.com today.
[00:33:00.533 --> 00:33:06.417]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:17.384 --> 00:33:20.666]  You found it, the tip of the spear.
[00:33:20.666 --> 00:33:32.733]  It is the Alex Jones Show with Owen Troyer.
[00:33:32.733 --> 00:33:45.380]  So the American people are now well aware that in recent decades our foreign incursions
[00:33:46.621 --> 00:34:01.130]  Our foreign involvement, our foreign entanglements, our proxy wars and all of it have had almost no benefit to the United States, to our citizens, and in fact have been actually a negative for us.
[00:34:01.130 --> 00:34:06.533]  They've cost us so much blood and treasure and we're sick and tired of it.
[00:34:06.533 --> 00:34:11.756]  And so their newest attempt to get us involved in Russia has fallen flat.
[00:34:14.221 --> 00:34:17.822]  So now the Biden administration, which is already a complete disaster.
[00:34:17.822 --> 00:34:20.143]  I mean, Biden says he wants to run again.
[00:34:20.143 --> 00:34:23.064]  I don't know how anybody could take that seriously.
[00:34:23.064 --> 00:34:32.486]  The guy's approval rating is about to, I mean, I would say pretty soon it'll be below the 30% mark in almost every poll.
[00:34:32.486 --> 00:34:32.747]  Really?
[00:34:32.747 --> 00:34:33.567]  You're going to run again?
[00:34:33.567 --> 00:34:37.388]  You can't even string two sentences together without stammering.
[00:34:38.925 --> 00:34:51.312]  And now you're threatening another foreign incursion in a land far away that has absolutely no benefit to us while we have our own problems here domestically?
[00:34:51.312 --> 00:34:52.913]  We have our own border issues?
[00:34:52.913 --> 00:34:54.794]  We have, in fact, the worst border problem?
[00:34:54.794 --> 00:35:06.341]  I mean, nobody's even really talking about the border except, I will say, Fox News made the border story their number one story all day yesterday, and I'll be covering that.
[00:35:07.492 --> 00:35:08.533]  And telling you why.
[00:35:08.533 --> 00:35:10.414]  But there's nothing new there.
[00:35:10.414 --> 00:35:14.696]  That's just Fox News being a year behind InfoWars on what's going on at the southern border.
[00:35:14.696 --> 00:35:18.259]  Literally just filming all the exact stuff that we filmed a year ago.
[00:35:18.259 --> 00:35:20.260]  I mean, literally.
[00:35:20.260 --> 00:35:24.162]  It's like, hey, you could have used all of our stuff a year ago and reported the same stuff.
[00:35:24.162 --> 00:35:25.283]  But hey, good.
[00:35:25.283 --> 00:35:27.064]  Good for Fox News for reporting it.
[00:35:27.064 --> 00:35:32.968]  It needs to be known what's going on in Texas.
[00:35:32.968 --> 00:35:36.310]  But see, you're not even allowed to go to California and film it
[00:35:37.475 --> 00:35:45.741]  They have that situation locked down so strong that they don't let the media anywhere near the illegal immigration pipeline.
[00:35:45.741 --> 00:35:48.503]  But here in Texas, they don't have it nearly locked down as much.
[00:35:48.503 --> 00:35:56.389]  You can tell that they tried to do it in some of their locations where the illegal immigration pipeline is going on.
[00:35:56.389 --> 00:36:00.032]  And we were able to just film outside of it and get some undercover footage.
[00:36:01.849 --> 00:36:09.792]  But yeah, you're seeing the footage there from Fox News, which is just basically essentially the same footage we shot a year ago.
[00:36:09.792 --> 00:36:11.673]  But so what are you gonna do if you're Biden?
[00:36:11.673 --> 00:36:22.977]  You've already saber-rattled and puffed out your chest to Russia and Putin like you're the big man on campus, you're gonna do something, and then you realize you turned around and nobody really had your back.
[00:36:22.977 --> 00:36:26.858]  And Putin would obviously kick your ass, but that's just, that's just an analogy.
[00:36:28.726 --> 00:36:30.527]  And so, what do you do?
[00:36:30.527 --> 00:36:34.090]  Oh, well, you go for the ice cream social.
[00:36:34.090 --> 00:36:38.333]  And then you back off your rhetoric a little bit.
[00:36:38.333 --> 00:36:39.775]  But you still have to do something.
[00:36:39.775 --> 00:36:41.236]  You still have to be the tough guy.
[00:36:41.236 --> 00:36:44.578]  You still gotta be the loudest barking dog in the yard.
[00:36:44.578 --> 00:36:45.639]  Because you're Biden, after all.
[00:36:45.639 --> 00:36:47.801]  You're one of the most corrupt politicians in world history.
[00:36:47.801 --> 00:36:50.383]  You're not gonna be shown up by Putin.
[00:36:50.383 --> 00:36:51.864]  You're not gonna be shown up by Russia.
[00:36:51.864 --> 00:36:54.086]  You're Joe Biden.
[00:36:54.086 --> 00:36:56.868]  You make mincemeat out of other politicians with your corruption.
[00:36:58.826 --> 00:37:04.170]  So he has a plan, which will fail also, but he thinks he has a plan.
