[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[00:28:00.160 --> 00:28:17.245]  There's a big press conference led by a string of counties and towns and cities in South Texas declaring that they are under invasion and total lawless collapse with tens of thousands dead, calling for the governor and the federal government to do their job and to declare it an emergency zone.
[00:28:17.285 --> 00:28:27.918]   Again, the UN, we'll cover this coming up next segment and more when he joins us, has announced that the land border Of Texas.
[00:28:28.538 --> 00:28:29.479]  Oh my gosh, will you print that for me?
[00:28:29.499 --> 00:28:29.779]  Thank you.
[00:28:30.520 --> 00:28:33.922]  Of Texas is now the most dangerous border in the world.
[00:28:34.443 --> 00:28:36.364]  Breaking headline, InfoWars.com.
[00:28:36.444 --> 00:28:42.809]  Texas counties have declared invasion at southern border as local officials hope to get support from governor.
[00:28:43.390 --> 00:28:44.811]  The press conference is at 3 p.m.
[00:28:44.851 --> 00:28:45.251]  Central.
[00:28:45.772 --> 00:28:47.893]  We'll be covering it on The War Room with Owen Schroer.
[00:28:48.173 --> 00:28:51.396]  InfoWars.com forward slash show and stations across the country.
[00:28:51.416 --> 00:28:58.654]   I'll cover more of that Get into more of the details a little bit in the next segment, but as I said, bottom of the hour, third hour, we'll actually do the interview.
[00:28:59.074 --> 00:29:03.858]  Now, I want to open the phones up specifically next hour.
[00:29:05.811 --> 00:29:13.836]  On the Great Reset and the Design to Collapse the Economy, and how inflation is affecting you and your business, or your job, or your family, or your capacity to live.
[00:29:14.616 --> 00:29:23.182]  That is the topic, is inflation by design in the Great Reset, and what do we do about stopping the globalist policy that is designed to end the industrial world.
[00:29:24.142 --> 00:29:26.184]  I'm going to be opening the phones up next hour.
[00:29:26.964 --> 00:29:34.649]  We'll be taking your calls starting at the bottom of the hour, right through to the bottom of the next hour, one hour of phone calls on that subject.
[00:29:35.779 --> 00:29:38.644]  Now, we're not going to break for a few minutes, but I want to just tell you this.
[00:29:38.804 --> 00:29:39.886]  Some of the other stuff that's coming up.
[00:29:41.769 --> 00:29:44.854]  We have a bunch of carbon tax resistance in Europe.
[00:29:44.874 --> 00:29:47.759]  They're trying to openly ban having cows, as we told you they were going to do.
[00:29:48.120 --> 00:29:49.021]  That's coming here next.
[00:29:50.486 --> 00:29:52.427]  That's why Bill Gates and others are moving into synthetic beef.
[00:29:52.447 --> 00:29:53.948]  The rest of it, it's hard to believe, but it's here.
[00:29:54.489 --> 00:29:58.131]  We have farmers protesting all over Europe, blocking highways.
[00:29:58.671 --> 00:29:59.692]  Millions of them showing up.
[00:29:59.752 --> 00:30:00.132]  It's huge.
[00:30:00.172 --> 00:30:00.573]  It's epic.
[00:30:00.973 --> 00:30:02.814]  It's being basically blacked out here in the U.S.
[00:30:02.834 --> 00:30:04.195]  We're going to be covering that some.
[00:30:05.296 --> 00:30:09.659]  We have some big COVID-19 vaccine damage and death news that's broken as well.
[00:30:10.199 --> 00:30:12.881]  And we have more drag queen story time.
[00:30:12.941 --> 00:30:16.764]  Individuals being arrested for 25 counts of child pornography.
[00:30:17.524 --> 00:30:20.246]  And that ties into them trying to put these pedophiles in the schools.
[00:30:21.607 --> 00:30:30.279]  We have big developments with the Supreme Court ending this current term with a lot of really big success and how the left is engaging in terrorism and attacking that.
[00:30:30.359 --> 00:30:32.282]  That is coming up as well.
[00:30:34.244 --> 00:30:39.286]  We also have some other big medical studies about falling asleep with the TV on could bring early death.
[00:30:39.586 --> 00:30:40.266]  Why does it do that?
[00:30:40.306 --> 00:30:40.846]  It's really key.
[00:30:40.866 --> 00:30:44.467]  We'll be getting into that in a lot more detail as well in video.
[00:30:44.867 --> 00:30:51.630]  Ilhan Omar booed at a huge Somali event in Minnesota saying, get out of this country.
[00:30:51.670 --> 00:30:52.330]  We don't want you.
[00:30:52.630 --> 00:30:56.891]  So even the Somalis want freedom and don't want to be under this new rule or tyranny.
[00:30:57.212 --> 00:30:57.992]  That's all coming up.
[00:30:58.532 --> 00:31:04.033]   But when I start the next hour, I'm going to spend two segments On this stack right here.
[00:31:05.154 --> 00:31:09.775]  For TV viewers you can see this big stack in my hand.
[00:31:11.415 --> 00:31:24.899]  This is mainstream government reports and mainstream news articles saying that genetic engineers have created synthetic aliens, not of any plant or animal DNA, but out of nanotech.
[00:31:27.239 --> 00:31:33.182]  And also globalists saying they believe they're going to create a new super species of cyborg that will forcibly replace humans.
[00:31:33.482 --> 00:31:36.644]  You've heard Eval Harari and the rest of them say it.
[00:31:36.964 --> 00:31:41.686]  And the reason I raise that is this is really the big issue of the transhumanist revolution.
[00:31:42.406 --> 00:31:44.447]  And the Wall Street Journal saying looking forward to the end of humanity.
[00:31:45.428 --> 00:31:53.920]   And on the Sunday special show that I taped, On Saturday, I said, for July 4th, I declare independence against the alien invasion.
[00:31:54.420 --> 00:32:01.685]  And then I went on to say, that is the nanotech, that is the genetic engineering, that are the globalists saying they're creating new species and are going to replace humans.
[00:32:03.004 --> 00:32:03.844]  They cut that out.
[00:32:04.164 --> 00:32:06.945]  It was put in dozens of publications.
[00:32:06.965 --> 00:32:08.466]  There were millions of views online.
[00:32:09.146 --> 00:32:11.687]  Just the edited clip of 25 seconds out of context.
[00:32:12.007 --> 00:32:18.709]  I'm going to give you what I actually said Sunday in context, then I'm going to go over what's really happening and why they don't want you to know about this.
[00:32:18.729 --> 00:32:20.370]  Because they saw the full clip.
[00:32:20.830 --> 00:32:27.932]  They edited it to be deceptive, like I was saying Independence Day was here and giant flying saucers as big as Manhattan were about to fire space beams.
[00:32:27.952 --> 00:32:28.753]  That's not what I said.
[00:32:28.793 --> 00:32:29.213]  We'll be right back.
[00:32:30.199 --> 00:32:36.743]  We then also decided to look at the youngest cohort, working age folks, the millennials.
[00:32:36.843 --> 00:32:41.146]  And the age group, you know, we identified millennials as 25 to 44.
[00:32:42.187 --> 00:32:43.588]  And what we saw there was alarming.
[00:32:44.128 --> 00:32:47.010]  Their excess mortality obviously spiked into the end of 2020.
[00:32:47.070 --> 00:32:59.739]  But then into the fall of 2021, it jumped to new all-time highs of 84% excess mortality from baseline, the prior five years baseline.
[00:33:00.780 --> 00:33:02.001]  And it spiked.
[00:33:02.182 --> 00:33:10.232]  The rate of change from the summer into the fall, the August, September, October timeframe was alarming and indicated an event occurred.
[00:33:10.372 --> 00:33:14.538]  That event, in our opinion, were corporate mandates.
[00:33:15.479 --> 00:33:22.661]  And the numbers that represents from March of 21 to Feb of 22 was 61,000 excess deaths.
[00:33:23.361 --> 00:33:24.722]  That's in the millennial cohort.
[00:33:25.202 --> 00:33:28.583]  If you remember, 58,000 soldiers died in the Vietnam War.
[00:33:29.383 --> 00:33:33.665]  So the millennials in one year experienced a silent Vietnam War.
[00:33:34.545 --> 00:33:39.086]  And the Vietnam War occurred over 10 years.
[00:33:39.146 --> 00:33:43.768]  So this is an alarming number of young working age folks who just disappeared.
[00:33:44.668 --> 00:33:52.112]  You know, the criticism I get is that, oh, it's drug overdoses, it's missing treatments, it's suicides.
[00:33:52.572 --> 00:34:08.860]  Well, the rate of change into the fall, the event known as the corporate mandates, suggests that you can't convince me that everyone decided in a three-month time frame to all commit suicide, overdose on drugs, or all miss their cancer screening treatments.
[00:34:09.360 --> 00:34:12.882]  So that, for me, the millennials, is what I call the smoking gun.
[00:34:13.462 --> 00:34:13.842]  Okay.
[00:34:14.323 --> 00:34:19.406]  This is a group that shouldn't be dying, especially in year two of a pandemic.
[00:34:19.446 --> 00:34:28.192]  You can't tell me the virus switched from only going after older folks to now going after younger folks and switching from respiratory to cardiovascular.
[00:34:28.493 --> 00:34:32.916]  And that's what we're seeing mostly occurring with these young folks, cardiovascular issues.
[00:34:36.758 --> 00:34:44.124]  That is Edward Dowd, big stock picker and analyst, very successful, predicted all this was happening three years ago, 30 months ago or so.
[00:34:46.666 --> 00:34:50.730]  And I've got some COVID-19 tyranny news I want to hit right now, but I want you to understand something.
[00:34:50.750 --> 00:34:53.032]  The good news is humanity is waking up to what's happening.
[00:34:53.592 --> 00:35:15.683]   This is a multifaceted, thousand-pronged attack, economic, cultural, biomedical, Kidding us from so many angles, but it's all been prepared and blueprinted and war-gamed by the Rockefeller Foundation, by the Carnegie Endowment, by the United Nations, by John Hopkins, and that's how we know all this.
[00:35:16.284 --> 00:35:22.005]  I didn't just say, oh look, these documents match what's happening a few years ago when this takeover started in early 2000.
[00:35:24.326 --> 00:35:27.747]  I was doing whole shows and writing books and making films.
[00:35:28.608 --> 00:35:29.208]  Kit films!
[00:35:30.589 --> 00:35:31.749]  I mean, no exaggeration.
[00:35:31.769 --> 00:35:32.670]  Remember Google Video?
[00:35:32.690 --> 00:35:39.832]  And then when they bought YouTube 16, 17 years ago, they began to phase it out.
[00:35:41.492 --> 00:35:48.094]  I released Endgame, Blueprint for Global Enslavement in 2007, and Google Video was only around for about another year and a half after that.
[00:35:48.734 --> 00:35:54.376]  The last time I checked Google Video, it had 89 million views on it.
[00:35:57.517 --> 00:35:58.557]  And then they killed Google Video.
[00:36:00.686 --> 00:36:03.788]  Now, it had one version with 20 million views on YouTube.
[00:36:03.928 --> 00:36:05.288]  They killed that a few years ago.
[00:36:05.308 --> 00:36:06.549]  Another version with 5 million.
[00:36:06.589 --> 00:36:07.149]  They killed that.
[00:36:07.169 --> 00:36:10.051]  There's a bunch of versions with a few hundred thousand views left.
[00:36:10.071 --> 00:36:10.831]  They're killing those.
[00:36:11.472 --> 00:36:13.453]  We have it posted at Bandot Video for free.
[00:36:14.233 --> 00:36:17.054]  The point is, if you go watch it, you're going to want to throw up in your mouth.
[00:36:17.775 --> 00:36:18.855]  It's two and a half hours long.
[00:36:18.955 --> 00:36:21.557]  You'll read the quotes, the preparations, the getting ready.
[00:36:23.223 --> 00:36:33.068]  And then in the years after that, 2008, 9, 10, and 11, there are hours of videos that we've played here where I specifically read from Operation Lockstep Rockefeller Foundation.
[00:36:33.528 --> 00:36:39.431]  I specifically read from the UN documents and say they're going to release a virus, probably a bird flu strain out of China.
[00:36:40.811 --> 00:36:45.294]  It will be one that continues to infect, unlike other viruses, because I was reading their battle plans.
[00:36:46.114 --> 00:36:49.936]  They don't even really shield what they're doing.
[00:36:51.476 --> 00:36:52.437]  We're plausible to liability.
[00:36:52.457 --> 00:36:53.718]  They just say it out in the open.
[00:36:53.758 --> 00:37:07.210]  We have Peter Daszak, we have Fauci on C-SPAN saying, in 2009, we need a new virus to release out of China, probably a bird flu strain, that'll blow up the old system and get rid of the current FDA systems that we have around the world.
[00:37:08.191 --> 00:37:10.773]  Where it takes five years to get an approval, we'll get instant approval.
[00:37:10.813 --> 00:37:22.596]   And now the FDA announced two weeks ago, oh, after this with the mRNA gene therapy, We're not even going to have trials anymore period for quote vaccines.
