[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[00:27:33.405 --> 00:27:40.148]  Madrid's deputy minister for public health claims cases of hepatitis of young kids are related to COVID-19 vaccine.
[00:27:40.228 --> 00:27:40.528]  Funny!
[00:27:41.289 --> 00:27:46.271]  We've got the study, multi-country acute severe hepatitis of unknown origin in children.
[00:27:48.072 --> 00:27:56.096]  And we've got the studies here linking it to the so-called injections.
[00:27:57.197 --> 00:28:04.558]   And we'll get more into those Coming up, but this is just absolutely insane.
[00:28:06.079 --> 00:28:07.239]  What is monkeypox?
[00:28:07.860 --> 00:28:08.760]  Where is it spreading?
[00:28:08.820 --> 00:28:24.448]  And warning signs as it just magically starts popping up around the world and the UN Health Agency says they need more power to stop it as G7 ministers are already practicing for the next pandemic.
[00:28:27.249 --> 00:28:28.170]  There are heroes.
[00:28:29.574 --> 00:28:35.757]  Major leaders in Canada say that the public wants forced vaccines and vaccine passports.
[00:28:37.958 --> 00:28:45.441]  All as the treaty is being rammed through right now.
[00:28:45.461 --> 00:28:58.047]  And as all the heart attacks and bizarre deaths expand and the UN calls for a climate Marshall Plan and UN control over all energy supplies as well.
[00:28:59.514 --> 00:29:00.955]  There's a monkeypox outbreak.
[00:29:01.015 --> 00:29:01.495]  What is it?
[00:29:01.535 --> 00:29:03.996]  And should Bay Area residents be worried?
[00:29:04.016 --> 00:29:08.879]  They're all getting us ready now for the next big thing.
[00:29:08.919 --> 00:29:12.100]  We've all got to shut down and follow the UN's directives.
[00:29:12.340 --> 00:29:21.179]   over. We have the very UN, connected to the very corporations that are doing
[00:29:21.179 --> 00:29:28.899]  this, hyping up all of this fear.
[00:29:28.561 --> 00:29:31.003]  But don't worry, the UN can save you.
[00:29:31.583 --> 00:29:32.564]  Bill Gates can save you.
[00:29:32.604 --> 00:29:34.385]  And look at all this other COVID-19 news.
[00:29:35.205 --> 00:29:38.187]  MRNA vaccine significantly associated with deadly blood clots.
[00:29:38.688 --> 00:29:46.553]  Major study finds in the leading medical journal vaccines has found.
[00:29:49.174 --> 00:29:50.835]  And now we've got this little clip.
[00:29:51.616 --> 00:29:53.597]  This is Obama.
[00:29:53.637 --> 00:29:54.598]  It's not really Biden's.
[00:29:54.838 --> 00:29:55.999]  Obama's third term right now.
[00:29:57.651 --> 00:30:06.493]  Obama's COVID czar says we now can dispense with the misinformation that if you get infected once, you have immunity for life.
[00:30:06.513 --> 00:30:09.794]  Or that you've had the so-called vaccine, you have immunity.
[00:30:10.914 --> 00:30:14.395]  Well, most vaccines, like we said, was for life, but a decade or longer.
[00:30:15.735 --> 00:30:17.215]  But now, it isn't a vaccine.
[00:30:17.235 --> 00:30:21.196]  You've got to take it over and over and over again.
[00:30:21.216 --> 00:30:25.257]  And the German Supreme Court rules compulsory vax for health workers.
[00:30:26.670 --> 00:30:27.570]  Constitutional.
[00:30:30.351 --> 00:30:47.714]  What a time to be alive right now in this country, in this world, knowing that they have launched the next phase of the massive power grab.
[00:30:49.935 --> 00:30:52.075]  Bill Gates says the monkey pox is coming.
[00:30:53.476 --> 00:30:55.457]  Bill Gates says the terrorists are going to release it.
[00:30:55.497 --> 00:30:57.198]  He says that the UN needs more power.
[00:30:57.678 --> 00:31:14.889]  And a year later, right when the treaty's coming out, that signs over authority of nation-states to the UN, where they can be sanctioned even militarily, right on time, what they need, the fear, unfolds and happens.
[00:31:16.124 --> 00:31:24.590]  Biden seeks new unilateral powers for World Health Organization chief to declare public health emergencies, putting us under a U.N.
[00:31:25.511 --> 00:31:27.252]  medical dictatorship worldwide.
[00:31:27.292 --> 00:31:28.773]  It's an excellent Zero Hedge article.
[00:31:29.254 --> 00:31:34.137]  We've had it posted at Infowars.com and under the live show feed, but it's all over the news now.
[00:31:34.978 --> 00:31:35.959]  And the memes are everywhere.
[00:31:36.699 --> 00:31:41.082]  Dr. Evil says, meeting to sign the World Health Organization pandemic treaty.
[00:31:41.183 --> 00:31:42.223]  Release the monkey pox.
[00:31:42.724 --> 00:31:44.205]  Release the monkey pox.
[00:31:46.815 --> 00:31:49.157]  What a time to be alive.
[00:31:49.197 --> 00:31:56.543]  And right as the monkeypox breaks out, we learn a year ago they put in orders for it all over the world, and they've got the new vaccine.
[00:31:56.843 --> 00:31:59.185]  God knows what that is going to do.
[00:31:59.706 --> 00:32:00.386]  God only knows.
[00:32:00.406 --> 00:32:02.888]  Of course, God doesn't just know.
[00:32:02.948 --> 00:32:04.890]  People that designed this garbage know.
[00:32:08.291 --> 00:32:14.292]  Dr. McCullough will be joining us coming up in about 40 minutes in studio with his co-author.
[00:32:14.712 --> 00:32:15.793]  They're gonna break a lot of big news.
[00:32:15.833 --> 00:32:17.193]  I'll ask him about all this as well.
[00:32:17.733 --> 00:32:49.569]   And guys, going through my stack of what I sent you, I only saw one of the studies on links to smallpox in the shots, so print me some of those as well, and a few more of the studies on Scientists saying that it's directly with these two different types of shots virus vector shots and people having this acute meningitis as well, and we'll go into that in more detail, but showed you that information.
[00:32:50.070 --> 00:32:50.911]  It's unbelievable.
[00:32:52.443 --> 00:32:58.085]  Either Bill Gates is completely clairvoyant or obviously they've engineered this entire thing.
[00:32:58.625 --> 00:33:10.909]  Now, constitutional lawyer, one of the smartest people I know, Robert Barnes, will be joining us for the next 45 minutes ahead of Dr. McCullough in studio with us here today in his new book.
[00:33:11.870 --> 00:33:13.590]  And so that is all coming up.
[00:33:13.610 --> 00:33:23.429]   But I cannot impress upon all of you enough to understand that just like In January of 2020, I said, this is going to be a lockdown.
[00:33:23.449 --> 00:33:24.370]  This is going to be big.
[00:33:24.790 --> 00:33:25.771]  They're going to take over.
[00:33:25.831 --> 00:33:31.013]  They're going to use this for global vaccine passports that are then carbon passports and social credit score passports.
[00:33:31.033 --> 00:33:32.153]  And they'd be like, that's crazy.
[00:33:32.454 --> 00:33:33.274]  And then it all happened.
[00:33:33.394 --> 00:33:34.855]  It's because it's in the battle plan.
[00:33:35.355 --> 00:33:43.579]  And I'm telling you, this is the next big move, this monkey pox and probably something else on top of it, a new deadly variant that's lab made or something along those lines.
[00:33:43.879 --> 00:33:45.419]  This is the big global government move.
[00:33:45.479 --> 00:33:46.260]  It's happening now.
[00:33:46.819 --> 00:33:50.658]   And we've got to contact our governors, our legislatures and Congress to get ahead of this
[00:33:50.658 --> 00:33:52.739]   because the same terrorists that launched COVID are launching this.
[00:33:52.739 --> 00:34:09.460]   I want to thank all of you over the years who have supported InfoWars financially with word
[00:34:09.460 --> 00:34:11.059]  of mouth and prayer.
[00:34:11.248 --> 00:34:18.451]  All the success that we've had together against the Globalists and the fact that we're not caught flat-footed during their major takeover is because of you.
[00:34:18.851 --> 00:34:21.092]  Humanity has a real fighting chance.
[00:34:21.832 --> 00:34:28.455]  I just want to thank you all for buying products at InfoWarsTore.com like books and films and supplements and water filtration, air filtration and so much more.
[00:34:28.895 --> 00:34:41.340]  But for those of you that want to actually give us a straight donation so we get almost 100% of the money to fund our operation during this critical time, go to InfoWarsTore.com and right at the top you'll see a link to make a straight donation.
[00:34:41.360 --> 00:34:43.801]  A one-time donation of $5, $10, $50 or a recurring donation you can cancel any time.
[00:34:48.143 --> 00:34:49.545]  I want to thank all you that have donated.
[00:34:49.565 --> 00:35:02.761]  I want to encourage those of you out there that want to support Freedom to take action now and be part of the global awakening, the new renaissance that's countered the Great Reset by going to Infowarsstore.com and clicking on the donate button and giving today.
[00:35:03.121 --> 00:35:04.363]  Thank you so much for your support.
[00:35:04.463 --> 00:35:05.124]  Please take action.
[00:35:05.489 --> 00:35:07.250]  Welcome back to the Alex Jones Show.
[00:35:07.831 --> 00:35:10.332]  Constitutional lawyer Robert Barnes is joining us now.
[00:35:10.352 --> 00:35:14.876]  I want to put an end cap on what I was just covering in the last 45 minutes.
[00:35:15.736 --> 00:35:18.418]  Bill Gates says smallpox, monkeypox is imminent.
[00:35:19.539 --> 00:35:25.703]  Then they order the vaccine last year, and then it's delivered this week, and then the monkeypox is everywhere.
[00:35:25.763 --> 00:35:33.269]  And I've got the studies that I mentioned that I didn't get to with the meningitis and the monkeypox linked to the AstraZeneca and J&J shots.
[00:35:34.525 --> 00:35:36.126]  It's just unbelievable.
[00:35:36.146 --> 00:35:47.213]  But since I mentioned it, here is Obama slash Biden's COVID czar saying, oh, we can dispense with the disinformation that immunity works now when you get this virus.
[00:35:47.973 --> 00:35:51.676]  Well, that means the vaccine doesn't work either, which they admit is even a vaccine.
[00:35:52.756 --> 00:35:54.878]  So it's just an incredible moment to be alive.
[00:35:55.038 --> 00:35:55.458]  Here he is.
[00:35:56.098 --> 00:35:56.739]  Stays that way.
[00:35:57.168 --> 00:36:04.555]  One of the things that we are seeing now, Dr. Jha, is people being infected for a second, third, in some cases, fourth time.
[00:36:05.195 --> 00:36:15.525]  As we are two plus years into this pandemic, what are you learning about these repeat infections in terms of what it means for immunity and also the severity of these infections?
[00:36:16.212 --> 00:36:17.352]  Yeah, it's a really good question.
[00:36:17.392 --> 00:36:24.214]  I mean, first and foremost, I think we can now dispense with the misinformation that if you get infected once, you have immunity for life.
[00:36:24.294 --> 00:36:25.514]  You know, a lot of people have argued that.
[00:36:25.574 --> 00:36:27.514]  We knew always that that was not the case.
[00:36:28.274 --> 00:36:30.535]  The second thing we're learning is that this virus is evolving.
[00:36:30.555 --> 00:36:35.196]  I mean, the virus is evolving relatively quickly, trying to escape our immunity.
[00:36:36.096 --> 00:36:42.177]  But when people do get that breakthrough infection after vaccines or they get that reinfection, generally it is less severe.
[00:36:42.357 --> 00:36:45.098]  And that's, you know, that's obviously a very, very good thing.
[00:36:45.598 --> 00:36:49.000]  But we've got to keep working on building up the wall of immunity against this virus.
[00:36:49.240 --> 00:36:49.880]  So what does that mean?
[00:36:49.900 --> 00:36:52.201]  Does that mean that we're going to be getting shots every six months?
