[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[31:47.000 --> 31:59.000]  And right at the end, we're not giving up. We're not giving in, but we could give out. So please, if you support what we're doing and want to fight for liberty and freedom in just in the future, go to saveinfowars.com today.
[31:59.000 --> 32:16.000]  The biggest sale of 2022 is now live exclusively at infowarstore.com. The infowarstore super sale is now live 40 to 50% off bare minimum 40% off made the products 50% off at infowarstore.com.
[32:16.000 --> 32:24.000]  The most exciting of all these incredible products is X3. All three of the very best types of iodine that are natural and pure.
[32:24.000 --> 32:34.000]  Actually get into your cells are in X3, the deep breath crystal iodine and two other types to maximize full absorption. This really is the missing link.
[32:34.000 --> 32:45.000]  X3 sold out for a long time is finally back in stock available at infowarstore.com or by calling toll free triple eight two five three three one three nine.
[32:45.000 --> 33:00.000]  Now it takes a few weeks for this high quality iodine to kick in, but almost everybody after that feels the effects. It's not a sphere immune system, but it's for your energy and so much more X3 back in stock at infowarstore.com 50% off.
[33:00.000 --> 33:21.000]  Leading a frontal assault on the lies of the New World Order. It's Alex Jones.
[33:21.000 --> 33:32.000]  I was just talking about with the UN saying that they are in control of not just Google their control of it all. And it's actually in the documents. It's on record.
[33:32.000 --> 33:40.000]  We told you four years ago that he platform me they had a NATO meeting in Germany where they said we're not just going to get Alex Jones. We're going to get everybody in the next few years.
[33:40.000 --> 33:46.000]  And they did. So that's what's so frustrating. So much of what the globalists talk about. They admit like to admit they blew the pipeline up.
[33:46.000 --> 33:55.000]  But then if you say they blew it up, they say you're crazy. That's gaslighting. So here's a clip of the head of the UN information agency bragging that they control Google.
[33:55.000 --> 34:05.000]  You know, we partnered with Google. For example, if you Google climate change, you will at the top of your search, you will get all kinds of UN resources.
[34:05.000 --> 34:16.000]  We started this partnership when we were shocked to see that when we called climate change, we were getting incredibly distorted information right at the top.
[34:16.000 --> 34:26.000]  So we're becoming much more proactive. You know, we own the science and we think that the world, you know, should know it and the platforms themselves also do.
[34:26.000 --> 34:38.000]  But again, it's a huge, huge challenge that I think all sectors of society need to be very active in.
[34:38.000 --> 34:45.000]  So the UN, the World Economic Forum, they say their number one mission is total mobilization to silence we the people.
[34:45.000 --> 34:52.000]  That's because we together are winning the war for truth. They lied about all the vaccines. They lied about COVID's origins.
[34:52.000 --> 34:59.000]  They lied and suppressed the therapies and the other systems that were out there, the therapeutics.
[34:59.000 --> 35:04.000]  So they lied about that. They lied all about global warming and the ice caps are going to melt.
[35:04.000 --> 35:10.000]  There's going to be five foot rise in the sea levels and there is actually cooling now. It was heating up from the 60s to the 90s.
[35:10.000 --> 35:19.000]  So this is all happening. They're in deep trouble. That's why they're weaponizing the judiciary that admitted these show trial cases against yours truly are meant for everybody else.
[35:19.000 --> 35:26.000]  And finally, it's starting to get covered in the national and local press. I'm going to make a big announcement here in just a moment.
[35:26.000 --> 35:34.000]  But first, ladies and gentlemen, Robert Barnes, give us your view of this show trial. You're here seeing it for yourself.
[35:34.000 --> 35:40.000]  You watched the Texas trial. You worked on these cases. You know the truth. Give people the summation that we're going to do in the press conference today.
[35:40.000 --> 35:45.000]  I mean, what's taken place that it's been a complete show trial that is a disgrace and a travesty of American justice?
[35:45.000 --> 35:54.000]  Because what's defined as American justice is that all of us get our quote be in court. It's so commonly used that we talked about it in everyday conversation.
[35:54.000 --> 36:00.000]  And when we're in a debate or discussion with someone, even a loved one, we say, well, I haven't had a chance of my day in court yet.
[36:00.000 --> 36:05.000]  Alex Jones has been stripped and denied of that entirely, not just in Texas, but here in Connecticut.
[36:05.000 --> 36:11.000]  One of the founding states of the American Revolution has turned its back on the principles that our founders established.
[36:11.000 --> 36:17.000]  And what they've done in that process is strip him of all of his right for his First Amendment right of freedom of expression and freedom of association,
[36:17.000 --> 36:25.000]  his right to speak out in defense of the right of the Second Amendment, which was to protect people and self-defense and the defense of the country as well.
[36:25.000 --> 36:31.000]  That's why the militia clause is part of the Second Amendment. It's to not to limit the Second Amendment, but to expand it and extend it.
[36:31.000 --> 36:39.000]  It's also the Fourth Amendment right to privacy, the Fifth Amendment right to process, the Sixth Amendment right to counsel, the Seventh Amendment right to trial by jury
[36:39.000 --> 36:44.000]  that goes all the way back to the Magna Carta more than eight centuries ago.
[36:44.000 --> 36:50.000]  Establish these rights, our ancestors and our forefathers, so that they would never be violated and eviscerated again.
[36:50.000 --> 36:57.000]  And then we've seen a trial that's all about a show trial. In fact, what they want now is for Alex Jones to get up and play a scripted role.
[36:57.000 --> 37:04.000]  And if he doesn't play a scripted role, if he testifies truthfully, if he testifies honestly, he goes to jail.
[37:04.000 --> 37:12.000]  This is unheard of in America. Where have you ever heard a whole trial process that's about discovering the truth, uncovering the truth,
[37:12.000 --> 37:17.000]  reporting the truth, finding out the truth, judging the truth, giving a verdict of the truth.
[37:17.000 --> 37:23.000]  The one thing that's not allowed at all in this trial is the truth. That's the one thing that they can't be allowed to speak.
[37:23.000 --> 37:28.000]  The one thing they can't be allowed to hear. The one thing the world can't be allowed to know about. Why is that?
[37:28.000 --> 37:34.000]  If their case was so strong, why are they so scared of the truth? Because their case is a fake case, reportedly about fake news.
[37:34.000 --> 37:42.000]  So when the reality is now it's the place that they're so terrified of Alex Jones, testifying truthfully, testifying honestly,
[37:42.000 --> 37:48.000]  that they are saying if he gets up there and testifies truthfully and honestly, they will put him in jail immediately.
[37:48.000 --> 37:53.000]  And by the way, when I told the press when this show trial started three weeks ago this, and in Texas they thought I was lying,
