[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[00:28:28.544 --> 00:28:29.485]  Guys, just search engine.
[00:28:29.865 --> 00:28:31.967]  Last time I checked it years ago, it was 70 percent.
[00:28:32.668 --> 00:28:33.629]  It's up 72 percent.
[00:28:33.969 --> 00:28:34.690]  Let's see what it is now.
[00:28:35.150 --> 00:28:35.831]  Search the term.
[00:28:36.312 --> 00:28:44.259]  What percentage of freight is moved in the United States by 18 wheelers, by trucks?
[00:28:44.078 --> 00:28:54.917]   20% 20-some percent rail and a small part is canals and the rest is all 18
[00:28:54.917 --> 00:28:58.517]   wheelers So that number still holds.
[00:28:58.777 --> 00:29:01.698]  I haven't checked it in a while.
[00:29:01.798 --> 00:29:05.800]  And 70% of everything is delivered by trucks.
[00:29:06.100 --> 00:29:06.841]  What does that tell you?
[00:29:06.881 --> 00:29:17.006]  And even the stuff delivered by canal, by river, or by train has to be broken up at the warehouse and put on diesel trucks.
[00:29:20.011 --> 00:29:23.132]  And we've already got supply chain breakdowns.
[00:29:24.552 --> 00:29:25.652]  Here's the original article.
[00:29:27.073 --> 00:29:30.694]  Diesel supply down to 25 days left.
[00:29:32.854 --> 00:29:35.515]  But the Rockies are in good shape because they've got stockpiles.
[00:29:39.736 --> 00:29:39.976]  Wow.
[00:29:42.136 --> 00:29:45.117]  So that's where our country is right now.
[00:29:45.257 --> 00:29:48.978]  Massive diesel shortages are already here.
[00:29:51.698 --> 00:29:56.521]  Okay, I said 70% from memory.
[00:29:57.001 --> 00:29:58.882]  I apologize, that was incorrect.
[00:30:00.342 --> 00:30:02.584]  What are the four main types of freight transportation?
[00:30:03.104 --> 00:30:07.906]  There are four major types of freight transportation available for shippers to use in the world of freight shipping.
[00:30:08.287 --> 00:30:11.188]  The primary ones are ground, road, rail, ocean, and air.
[00:30:12.529 --> 00:30:13.889]  But it's all going to be broken up by trucks.
[00:30:14.370 --> 00:30:16.371]  What percentage of goods is transported by road?
[00:30:18.904 --> 00:30:24.308]  77.4%.
[00:30:21.766 --> 00:30:24.308]  But I think that's smaller vans and stuff's the other 7%.
[00:30:25.129 --> 00:30:29.633]  It's still 70 last time I checked.
[00:30:29.793 --> 00:30:33.375]  So, 77%, 70% by 18 Wheeler.
[00:30:36.038 --> 00:30:36.758]  That's a memory, see?
[00:30:36.778 --> 00:30:39.160]  I don't just spout people say, I just spout stuff.
[00:30:39.180 --> 00:30:40.901]  I don't know what he's talking about.
[00:30:40.921 --> 00:30:41.542]  I got a pretty good memory.
[00:30:41.582 --> 00:30:43.003]  The point is, it doesn't matter.
[00:30:43.023 --> 00:30:48.907]   70 plus percent Is delivered by 18 wheelers.
[00:30:51.668 --> 00:30:54.049]  Can you imagine what's going to happen, ladies and gentlemen?
[00:30:54.529 --> 00:30:56.991]  Oh, but the big companies, they've already stockpiled diesel.
[00:30:57.251 --> 00:31:08.196]  It'll be the small operators that will be shut down, just like the COVID shutdowns killed the small farmers, the small ranchers, the small businesses, the small auto repair shops, the small restaurants.
[00:31:08.456 --> 00:31:09.757]  And what did Germany say this year?
[00:31:10.237 --> 00:31:11.978]  They said, oh, we're getting rid of small businesses.
[00:31:12.318 --> 00:31:13.058]  They're bad.
[00:31:14.339 --> 00:31:15.960]  We have a fetish for small businesses.
[00:31:17.472 --> 00:31:21.174]  And we are getting rid of it.
[00:31:24.196 --> 00:31:24.316]  Oh!
[00:31:26.117 --> 00:31:39.304]  We've heard similar statements I played three weeks ago of a Council on Foreign Relations Trilateral Commission member at the Cato Institute saying, we fetishize small businesses and factories because it makes white men powerful.
[00:31:39.444 --> 00:31:39.724]  What?
[00:31:40.925 --> 00:31:43.426]  It makes the average person independent.
[00:31:46.991 --> 00:31:53.915]  And if you look up who owns small factories per capita, who the biggest owners are, it's Asians.
[00:31:54.475 --> 00:31:55.396]  But that doesn't even matter.
[00:31:55.896 --> 00:31:57.217]  It's just a total red herring.
[00:31:57.497 --> 00:31:59.158]  Hey, we're shutting off all your jobs.
[00:31:59.338 --> 00:32:00.739]  We're going to get the white people!
[00:32:00.959 --> 00:32:02.280]  Yay!
[00:32:05.161 --> 00:32:08.043]  They've already shipped most of our jobs to China with one-sided trade deals.
[00:32:09.904 --> 00:32:18.894]   And now they're coming into crisis again, turning off our gas, restricting our Gasoline, our natural gas, and cutting off our diesel.
[00:32:19.194 --> 00:32:20.955]  That's called warfare.
[00:32:23.015 --> 00:32:24.676]  We come back, the latest on Brazil.
[00:32:24.836 --> 00:32:26.197]  Oh, interesting numbers coming in.
[00:32:28.277 --> 00:32:31.558]  Turns out, Bolsonaro won by huge margins.
[00:32:34.019 --> 00:32:36.680]  In almost every part of the country, except one.
[00:32:37.300 --> 00:32:57.871]   And that's the big area controlled by Lula and the Communists, and just magically That counterweighed all the other regions in the country and pushed Lula over the edge with 69% of the vote in that key region of Nordetest, if I'm pronouncing that right.
[00:32:59.011 --> 00:33:02.752]  Isn't that just interesting, ladies and gentlemen?
[00:33:03.792 --> 00:33:06.793]  So we're going to be covering all that.
[00:33:10.003 --> 00:33:14.464]  As we watch that very closely, but I want to shift gears into the big enchilada.
[00:33:15.485 --> 00:33:17.565]  Just to let you know, again, who's behind the next thing?
[00:33:17.605 --> 00:33:18.246]  The New World Order.
[00:33:18.406 --> 00:33:19.186]  Who made the virus?
[00:33:19.466 --> 00:33:20.966]  Who's cooked it up to kill 80% of us?
[00:33:21.206 --> 00:33:22.867]  And now we learn more labs it's in.
[00:33:23.407 --> 00:33:25.228]  These are some really nice people, aren't they?
[00:33:25.548 --> 00:33:31.210]  But the ADL on the left points the finger at me and says, I'm the bad man, because I don't believe a damn thing comes out of their mouth.
[00:33:31.790 --> 00:33:33.830]  We're going to beat these people together, and we are winning.
[00:33:34.771 --> 00:33:35.571]  They're going to strike back.
[00:33:36.751 --> 00:33:37.672]  Freedom, baby!
[00:33:38.472 --> 00:33:38.912]  Freedom!
[00:33:40.191 --> 00:33:40.932]  Freedom!
[00:33:42.292 --> 00:33:42.953]  Woo!
[00:33:43.093 --> 00:33:44.093]  Freedom!
[00:33:47.636 --> 00:33:58.322]  All right, I want to get into the globalist depopulation plan, going into high gear ahead of Judge Joe Brown, Ali Alexander, and so many others joining us here today.
[00:33:58.502 --> 00:34:05.387]  But I wanted to talk about something that it was big news a week ago, but that I never really responded to.
[00:34:06.890 --> 00:34:11.454]  And I need to respond to it here, so I'm going to respond to it briefly because it affects everybody.
[00:34:13.075 --> 00:34:28.408]  You saw the show trials run with the Democratic Party and they now admit big PR firms with judges finding me guilty, then not letting me put on evidence to defend myself, then allowing fraudulent evidence to be put on to these kept juries to decide how guilty I was.
[00:34:28.648 --> 00:34:38.518]   And so they ruled in Connecticut Their verdict was guilty, guilty, guilty, guilty down the line.
[00:34:38.538 --> 00:34:40.959]  $965 million, or almost a billion.
[00:34:41.340 --> 00:34:59.711]  But then, there were other damages and other charges they made that I was lying on air, as they found me guilty of, as the judge did, for selling products that I supposedly lied about by questioning Sandy Hook.
[00:35:01.001 --> 00:35:04.965]  When the rest of the public was questioning as well, to make money.
[00:35:05.746 --> 00:35:13.674]  And now the lawsuit against Kanye West, they're saying, well, he said George Floyd had enough fentanyl in the system to kill him, and the coroner said that might have killed him, which is true.
[00:35:13.694 --> 00:35:17.678]  So we're going to sue you for 200 and something million, because you're making money off of it.
[00:35:18.039 --> 00:35:18.919]  That's not even in the law.
[00:35:19.640 --> 00:35:22.643]  But I told you, look for the judge to hit me with something even bigger.
[00:35:22.943 --> 00:35:24.425]  Now, why are these numbers so large?
[00:35:24.925 --> 00:35:27.728]  I said 900 and something million might as well be a trillion.
[00:35:28.249 --> 00:35:31.512]  Might as well be a quadrillion or a Googleplex.
[00:35:32.173 --> 00:35:33.174]  Might as well be infinity.
[00:35:33.314 --> 00:35:35.296]  All money on earth, past and present.
[00:35:37.098 --> 00:35:42.163]  It's meant to crush our resolve, make it sound like an insurmountable mountain decline.
[00:35:44.571 --> 00:35:45.452]  Because it's a joke.
[00:35:46.512 --> 00:35:51.195]  The way bankruptcy law works, the way things work, is that you've only got to pay what you got.
[00:35:51.295 --> 00:35:51.855]  And guess what?
[00:35:52.295 --> 00:35:59.840]  They know, because in the record discovery, they got my finances and went and did subpoenas and found out it was all true.
[00:36:00.160 --> 00:36:06.583]  They know I don't have $10 million or $5 million or that fake expert they had up in Texas saying he's worth $400 million.
[00:36:08.505 --> 00:36:19.876]   And off what he said about me, if you go online and type in my net worth, I'm worth $260 million and my company is worth $140 million, which is $400 million.
[00:36:21.417 --> 00:36:23.098]  And they told the jury he's worth $400 million.
[00:36:23.338 --> 00:36:29.502]  And the jury later told Reuters, well, we gave 10% of his wealth to each of the plaintiffs.
[00:36:29.522 --> 00:36:32.203]  There were two in Texas, so we gave them $50-something million.
[00:36:33.244 --> 00:36:35.165]  They believed I had $400 million.
[00:36:36.566 --> 00:36:37.846]  But I don't have $2 million cash.
[00:36:38.707 --> 00:36:40.468]  Barely enough to have as our operating budget.
[00:36:41.696 --> 00:36:43.036]  So it is a joke.
[00:36:43.757 --> 00:36:44.657]  They made it a joke.
[00:36:45.637 --> 00:36:46.517]  They made it a fraud.
[00:36:46.717 --> 00:37:06.443]  And when they came out two Fridays ago, a week and a half ago, and Bloomberg reported what they asked the court for, and they did, they asked for $2.75 trillion under the Cutma Unfair Trade Practices Law.
[00:37:06.823 --> 00:37:11.978]   $2.75 trillion, the biggest verdict ever by A hundredfold.
[00:37:11.998 --> 00:37:13.099]  I mean, it's just totally insane.
[00:37:15.000 --> 00:37:21.026]  When you see companies that kill hundreds of thousands of people with their drugs, they pay a few billion.
[00:37:22.327 --> 00:37:23.067]  I didn't kill anybody.
[00:37:23.127 --> 00:37:26.630]  I just questioned something that looked synthetic and political, and so did the general public.
[00:37:27.111 --> 00:37:29.693]  The public demanded I question it because it just didn't look real.
[00:37:30.714 --> 00:37:41.293]   Now, that said, they put all of that out there The $2.75 trillion, that's $2,750,000,000.
[00:37:41.433 --> 00:37:56.478]  That's $2,750,000,000 for thousands and thousands and thousands of times what the previous verdict by the jury is.
[00:37:57.118 --> 00:37:59.839]  The plaintiff's lawyers have asked for $2.75 trillion.
[00:38:01.000 --> 00:38:03.921]  That's why I made the joke back when the first verdict was being read for a billion bucks.
[00:38:04.261 --> 00:38:05.661]  I said, I expect a trillion!
[00:38:06.081 --> 00:38:07.342]  I want to be number one here!
[00:38:08.601 --> 00:38:11.243]  And again, that's meant to demoralize people and scare people.
[00:38:11.843 --> 00:38:20.088]  I've also gotten a lot of calls and people on the street and family, you name it, going, Man, so you have hundreds of millions of dollars?
[00:38:20.848 --> 00:38:29.233]  And people calling up wanting me to loan them money and stuff because still, the number is so high, people imagine, well, he's got to at least have something big for them to say that.
[00:38:29.534 --> 00:38:30.734]  No, it's all a joke.
[00:38:30.814 --> 00:38:32.015]  It's all chutzpah.
[00:38:32.315 --> 00:38:33.216]  It's all fraud.
[00:38:33.236 --> 00:38:35.297]  It's all arrogance to crush your will.
[00:38:35.417 --> 00:38:36.078]  It's a joke!
[00:38:36.798 --> 00:38:40.079]  It's the Wizard of Oz, man behind the curtain, projection.
[00:38:40.340 --> 00:38:44.081]  And if the big wizard's 100 feet tall and that doesn't scare you, they'll make him 1,000 feet tall.
