[00:00.000 --> 00:24.120]  It's a helpless feeling.
[27:15.560 --> 27:17.560]  And there's nowhere like Info Wars
[27:17.560 --> 27:19.560]  And I need your support
[27:19.560 --> 27:20.560]  I don't like treading water
[27:20.560 --> 27:22.560]  Please go to infowarstore.com right at the top
[27:22.560 --> 27:24.560]  You can make a donation
[27:24.560 --> 27:26.560]  One time, reoccurring, whatever you want
[27:26.560 --> 27:28.560]  We've got great products you need
[27:28.560 --> 27:30.560]  Everybody needs high quality B12
[27:30.560 --> 27:31.560]  That's not synthetic
[27:31.560 --> 27:33.560]  Everybody needs the real Deep Earth Crystal iodine
[27:33.560 --> 27:35.560]  We've got them together 40% off
[27:35.560 --> 27:37.560]  And we've got great books and films
[27:37.560 --> 27:40.560]  We have the new Faraday bags that are the highest quality
[27:40.560 --> 27:43.560]  The U.S. military uses that we have private labeled
[27:43.560 --> 27:47.560]  And produced 10,000 of
[27:47.560 --> 27:49.560]  In what, 10 different sizes
[27:49.560 --> 27:51.560]  From small phones up to large bags
[27:51.560 --> 27:54.560]  And the whole desktop computers you name it
[27:54.560 --> 27:57.560]  This is so important in the future with the contact tracers and the globalists
[27:57.560 --> 27:59.560]  To get your mind around this
[27:59.560 --> 28:03.560]  And to start keeping these devices in these cages until you use them
[28:03.560 --> 28:05.560]  100% effectiveness
[28:05.560 --> 28:11.560]  Infowarstore.com or AAA 253-3139
[28:11.560 --> 28:14.560]  These are high-end systems at very low prices
[28:14.560 --> 28:16.560]  But whatever you do
[28:16.560 --> 28:19.560]  Take the live links from InfoWars.com.
[28:19.560 --> 28:21.560]  And battleplan.news
[28:21.560 --> 28:24.560]  That's the clone site mirror of Bandai
[28:24.560 --> 28:25.560]  Video takes you to the same links
[28:25.560 --> 28:26.560]  But that's not being blocked now
[28:26.560 --> 28:29.560]  I'm sure soon they'll block that with a new URL
[28:29.560 --> 28:31.560]  But battleplan.news
[28:31.560 --> 28:33.560]  And just continue to realize that
[28:33.560 --> 28:36.560]  Facing the full horror of this is our best hope of stopping it
[28:36.560 --> 28:38.560]  And we will stop it
[28:38.560 --> 28:42.560]  If people wake up to just how premeditated and predatory
[28:42.560 --> 28:45.560]  And focused this attack is
[28:45.560 --> 28:48.560]  And how real and personal it is against you
[28:48.560 --> 28:51.560]  They're coming after me because they want to get to you and you know that
[28:51.560 --> 28:54.560]  We will cover the news when we come back and the number out
[28:54.560 --> 28:58.560]  We're going to take calls in the second and third hour continually today
[28:58.560 --> 29:02.560]  We are now proud to release the Redux line of Faraday bags
[29:02.560 --> 29:05.560]  This line features quick roll down and velcro seal closures
[29:05.560 --> 29:07.560]  With discrete branding
[29:07.560 --> 29:09.560]  With six different sizes to choose from
[29:09.560 --> 29:11.560]  They have a signature reduction solution
[29:11.560 --> 29:14.560]  For all of your electronic device needs
[29:14.560 --> 29:19.560]  Redux specializes in quick access weatherproof nylon Faraday bags
[29:19.560 --> 29:22.560]  With signal blocking Faraday shielding technology
[29:22.560 --> 29:25.560]  Specifically designed for electronic devices
[29:25.560 --> 29:27.560]  Carried in unsecured locations
[29:27.560 --> 29:30.560]  To instantly block all wireless signals
[29:30.560 --> 29:32.560]  And protect them from remote wiping
[29:32.560 --> 29:34.560]  Tracking and tampering
[29:34.560 --> 29:38.560]  Redux is dedicated to producing and selling
[29:38.560 --> 29:41.560]  Cost-effective signature reduction products
[29:41.560 --> 29:44.560]  For professionals needing to secure devices
[29:44.560 --> 29:47.560]  From wireless threats and more
[29:47.560 --> 29:50.560]  So check out Redux to instantly block cellular
[29:50.560 --> 29:53.560]  Wi-Fi, Bluetooth, RFID
[29:53.560 --> 29:55.560]  Camera, EMP
[29:55.560 --> 29:58.560]  Weather and even GPS today
[29:58.560 --> 30:02.560]  You see this? It's an Info Wars Republic Defense Card
[30:02.560 --> 30:05.560]  With original Info Wars art designed by yours truly
[30:05.560 --> 30:08.560]  With a little gold bar implanted in it
[30:08.560 --> 30:10.560]  And on the back it's got a hologram
[30:10.560 --> 30:13.560]  There are only 25,000 of these in existence
[30:13.560 --> 30:15.560]  And they'll never be made again
[30:15.560 --> 30:18.560]  The bank that owns the Mint that has started putting these out the last few years
[30:18.560 --> 30:22.560]  Just sold out of 300,000 of a similar offering
[30:22.560 --> 30:25.560]  That was 40% more than what we're selling these for
[30:25.560 --> 30:28.560]  And when you get three or more you can get these at 50% off
[30:28.560 --> 30:30.560]  And they fund the Info War
[30:30.560 --> 30:34.560]  Please visit InfoWarsTour.com and check out this amazing new art slash gold product
[30:34.560 --> 30:37.560]  It's a collector's item and you'll know you helped fund
[30:37.560 --> 30:40.560]  The second American Revolution against the globalist at such a critical point
[30:40.560 --> 30:43.560]  Get your gold bars and so much more exclusively
[30:43.560 --> 30:46.560]  At InfoWarsTour.com and I want to thank you
[30:46.560 --> 30:48.560]  For your support over the years because without you
[30:48.560 --> 30:51.560]  All of the great success we have had together would not have happened
[30:51.560 --> 30:53.560]  We are the tip of the spear, you are the tip of the spear
[30:53.560 --> 30:55.560]  And I salute you and thank you
[30:55.560 --> 31:24.560]  This is InfoWarsTour.com today
[31:25.560 --> 31:28.560]  We will use it to fight the new world order
[31:28.560 --> 31:31.560]  Ethereum, Bitcoin, XRP, Litecoin
[31:31.560 --> 31:33.560]  There's dozens of them there
[31:33.560 --> 31:36.560]  InfoWarsTour.com and by the way
[31:36.560 --> 31:38.560]  We've got our own NFTs at Arnescam
[31:38.560 --> 31:40.560]  They're totally badass in total victory
[31:40.560 --> 31:42.560]  Coming out next week, I'll tell you about that later
[31:42.560 --> 31:43.560]  But right now
[31:43.560 --> 31:45.560]  InfoWars.com forward slash crypto
[31:45.560 --> 31:47.560]  The real revolution is happening now
[31:47.560 --> 31:49.560]  InfoWars.com forward slash crypto
[31:49.560 --> 31:51.560]  And all of the donated we salute you
[31:51.560 --> 31:58.560]  And thank you
[31:58.560 --> 32:00.560]  The newest product from InfoWarsLife
[32:00.560 --> 32:03.560]  Is now available exclusively at InfoWarsTour.com
[32:03.560 --> 32:05.560]  It is concentrated known herbs and compounds
[32:05.560 --> 32:08.560]  That will supercharge your body's natural
[32:08.560 --> 32:11.560]  Defenses your immune system
[32:11.560 --> 32:13.560]  While at the same time, funding the InfoWars
[32:13.560 --> 32:15.560]  Our immune systems have always been critical
[32:15.560 --> 32:17.560]  But in this globalist era
[32:17.560 --> 32:19.560]  With all the criminal activity they're involved in
[32:19.560 --> 32:21.560]  It is more important than ever
[32:21.560 --> 32:22.560]  To take the tools God gave us
[32:22.560 --> 32:24.560]  And supercharge our immune systems
[32:24.560 --> 32:28.560]  InfoWarsLife immune support is a game changer
[32:28.560 --> 32:30.560]  And everyone out there that wants to be healthy
[32:30.560 --> 32:32.560]  And wants to boost your natural defenses
[32:32.560 --> 32:34.560]  Should get it today
[32:34.560 --> 32:36.560]  Out of the gates is 25% off
[32:36.560 --> 32:38.560]  At InfoWarsTour.com
[32:38.560 --> 32:39.560]  Got a lot of other great products
[32:39.560 --> 32:40.560]  That boost your immune system as well
[32:40.560 --> 32:43.560]  But this one is the very strongest we've got
[32:43.560 --> 32:45.560]  So anybody out there
[32:45.560 --> 32:46.560]  That cares about their health
[32:46.560 --> 32:48.560]  And wants to take care of themselves
[32:48.560 --> 32:49.560]  Needs to get this product
[32:49.560 --> 32:51.560]  It's also a great gift for friends and family
[32:51.560 --> 32:53.560]  To boost their immune systems as well
[32:53.560 --> 32:55.560]  Get yours today at InfoWarsTour.com
[32:55.560 --> 33:24.560]  For 25% off
[33:25.560 --> 33:54.560]  At InfoWarsTour.com
[33:54.560 --> 33:58.560]  No more Mr. Night Sky
[33:58.560 --> 34:02.560]  No more Mr. Green
[34:02.560 --> 34:04.560]  No more Mr. Night Sky
[34:04.560 --> 34:06.560]  By the way my friends we are back live on this Friday
[34:06.560 --> 34:07.560]  Transmission.
[34:07.560 --> 34:10.560]  Under House Double Showns we're going to have
[34:10.560 --> 34:13.560]  Open phones in the
[34:13.560 --> 34:16.560]  Second and third hour today
[34:16.560 --> 34:19.560]  And again I'm very thankful that you have joined us today
[34:19.560 --> 34:24.560]  So getting back to the ultra massive level of lies
[34:24.560 --> 34:26.560]  That we've all been witnessing
[34:26.560 --> 34:28.560]  And how that's scientifically being done
[34:28.560 --> 34:30.560]  Why that's scientifically being done
[34:30.560 --> 34:34.560]  We need to consciously understand that
[34:34.560 --> 34:36.560]  And understand what the enemy tactic is
[34:36.560 --> 34:38.560]  And I'm going to explain that in a moment
[34:38.560 --> 34:41.560]  Because this is about discrediting the US government
[34:41.560 --> 34:43.560]  It's about discrediting America
[34:43.560 --> 34:45.560]  It's about while they rob us
[34:45.560 --> 34:46.560]  Bringing us down
[34:46.560 --> 34:48.560]  This is a formula
[34:48.560 --> 34:52.560]  So I'm not in defense of government corruption
[34:52.560 --> 34:54.560]  I'm in defense of our republic
[34:54.560 --> 34:55.560]  And I am not anti-government
[34:55.560 --> 35:00.560]  I am anti-globalist occupied US government
[35:00.560 --> 35:02.560]  Let's play some of these outrageous lies
[35:02.560 --> 35:05.560]  Of a press conference yesterday by Jen Psaki
[35:05.560 --> 35:07.560]  Here is Jen Psaki
[35:07.560 --> 35:09.560]  First off
[35:09.560 --> 35:13.560]  Saying that the reason there's a baby formula shortage
[35:13.560 --> 35:15.560]  Is because you're hoarding baby formula
[35:15.560 --> 35:16.560]  Even though the FDA admits
[35:16.560 --> 35:18.560]  They've shut down three of the largest plants
[35:18.560 --> 35:19.560]  There's supply chain problems
[35:19.560 --> 35:21.560]  And there's all sorts of staples that have been running low
[35:21.560 --> 35:23.560]  Or absolutely out all over the US and the world
[35:23.560 --> 35:25.560]  And there's mass starvation in the third world
[35:25.560 --> 35:27.560]  And that's all because of the lockdowns
[35:27.560 --> 35:28.560]  Not from COVID
[35:28.560 --> 35:30.560]  But from the lockdowns they've put in place
[35:30.560 --> 35:31.560]  That were designed to do this
[35:31.560 --> 35:32.560]  You'll own nothing
[35:32.560 --> 35:33.560]  You'll have nothing
[35:33.560 --> 35:35.560]  And you'll like it because you're going to be dead
[35:35.560 --> 35:36.560]  And you'll have no free will
[35:36.560 --> 35:37.560]  And you'll have no privacy
[35:37.560 --> 35:40.560]  Those are all official statements by the Davos Group
