[00:00:06.405 --> 00:00:09.189]  Well, here we are ladies and gentlemen in the year 2022.
[01:44:38.647 --> 01:44:39.768]  Awesome.
[01:44:39.768 --> 01:44:43.391]  So, first thing I wanted to do is say I love the products.
[01:44:43.391 --> 01:44:45.193]  Alpha Power, even at 29.
[01:44:45.193 --> 01:44:47.716]  If you ask my better half, she loves it.
[01:44:47.716 --> 01:44:49.297]  And it helps in the bedroom.
[01:44:49.297 --> 01:44:51.019]  So, just number one for a few weeks.
[01:44:51.019 --> 01:44:51.960]  Oh, it definitely works.
[01:44:51.960 --> 01:44:53.582]  It's not a joke.
[01:44:53.582 --> 01:44:54.443]  Absolutely.
[01:44:59.068 --> 01:45:01.910]  It's time to protect your privacy.
[01:45:01.910 --> 01:45:15.899]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government are stealing all of your data and creating a map and a database of where you go and what you do.
[01:45:15.899 --> 01:45:20.342]  So in the future, under their globalist takeover, they can shut you down.
[01:45:20.342 --> 01:45:28.728]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[01:45:29.208 --> 01:45:31.949]  That's why everybody should visit InfoWarsTore.com.
[01:45:31.949 --> 01:45:40.631]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[01:45:40.631 --> 01:45:41.652]  It's a 360 win.
[01:45:41.652 --> 01:45:47.593]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the globalists.
[01:45:47.593 --> 01:45:49.394]  A true 360 win.
[01:45:49.394 --> 01:45:52.394]  Get your Faraday cages at InfoWarsTore.com.
[01:45:52.394 --> 01:45:53.475]  Check out the new line.
[01:45:53.475 --> 01:45:54.035]  It's amazing.
[01:45:58.644 --> 01:46:02.186]  UN-run contact tracers aren't coming, they're here.
[01:46:02.186 --> 01:46:16.916]  All over the world, from Australia to the United States, from Canada to Germany, these tyrants are tracking everything you do, everywhere you go, and then coming to your house and threatening, in some cases actually, taking people away into the night to their facilities.
[01:46:16.916 --> 01:46:25.121]  And they're planning in the next year to expand their shield process, where they come and take, quote, healthy people away and put them in facilities for their safety.
[01:46:25.481 --> 01:46:27.303]  This is nothing less than martial law.
[01:46:27.303 --> 01:46:35.112]  And one big thing you can do to fight back is to get high quality Faraday cages, many of which are made here in America and are very compliant, meaning U.S.
[01:46:35.112 --> 01:46:38.456]  government military grade, at InfoWarsTore.com.
[01:46:38.456 --> 01:46:44.243]  We have the entire line of Silent Pocket ready to ship to you when you visit InfoWarsTore.com.
[01:46:44.243 --> 01:46:45.645]  Again, we have big backpacks,
[01:46:45.965 --> 01:46:47.507]  We have special dry bags.
[01:46:47.507 --> 01:46:48.808]  We've got them for cell phones.
[01:46:48.808 --> 01:46:50.429]  We've got them for laptops.
[01:46:50.429 --> 01:46:51.370]  We've got them for iPads.
[01:46:51.370 --> 01:46:53.973]  It's all there at InfoWareStore.com.
[01:46:53.973 --> 01:47:00.179]  So protect your privacy today and support the InfoWare at InfoWareStore.com.
[01:47:00.179 --> 01:47:06.065]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:47:16.891 --> 01:47:19.272]  Welcome back to InfoWars, this is Christy Lee guest hosting.
[01:47:19.272 --> 01:47:26.694]  This is our final segment and then Harrison Smith will be taking over for Sunday Night Live, taking your phone calls and covering his important news subjects.
[01:47:26.694 --> 01:47:35.436]  I didn't get to a lot of the stuff that I wanted to talk about because we've been talking about other things and reviewing the videos that are going viral now, particularly
[01:47:35.916 --> 01:47:44.102]  The videos between Joe Rogan and Robert Malone and then our own interview with Robert Malone, which you can find on band.video.
[01:47:44.102 --> 01:47:55.371]  And there is a highlights version that we were showing clips of earlier that you can also share if for those of your friends and family that can can only have snackable contents.
[01:47:55.371 --> 01:48:02.917]  That is about 15 minutes as opposed to the three hour long Joe Rogan interview or the hour plus full interview with myself.
[01:48:03.477 --> 01:48:06.640]  So I wanted to get to some other content to close out the show.
[01:48:06.640 --> 01:48:18.152]  We were talking about how I'm just continuing to see more articles about requiring students to be masked when they go back to school, even in Texas where there's supposed to be a mask.
[01:48:19.332 --> 01:48:23.054]  I guess we're going to go to a different one?
[01:48:43.857 --> 01:48:44.177]  Sorry.
[01:48:44.177 --> 01:48:44.778]  Oh, here we go.
[01:48:57.443 --> 01:48:58.483]  Anymore.
[01:48:58.483 --> 01:49:00.604]  Cloth masks aren't going to provide a lot of protection.
[01:49:00.604 --> 01:49:01.405]  That's the bottom line.
[01:49:01.405 --> 01:49:02.565]  This is an airborne illness.
[01:49:02.565 --> 01:49:04.066]  We now understand that.
[01:49:04.066 --> 01:49:08.728]  And a cloth mask is not going to protect you from a virus that spreads through airborne transmission.
[01:49:08.728 --> 01:49:14.310]  It could protect better through droplet transmission, something like the flu, but not something like this coronavirus.
[01:49:14.310 --> 01:49:17.351]  We have to recognize this has not been a benign disease in young children.
[01:49:17.351 --> 01:49:19.072]  There's a perception that young children
[01:49:19.172 --> 01:49:21.293]  I haven't thought of it right now, but this is what's crazy.
[01:49:21.293 --> 01:49:25.677]  You saw the reporter saying, like, our cloth masks just not going to cut it anymore.
[01:49:25.677 --> 01:49:29.679]  As if they cut it before, but now they can't cut it.
[01:49:29.679 --> 01:49:31.821]  And then he says, we now know this is airborne.
[01:49:31.821 --> 01:49:32.641]  Wait, what?
[01:49:32.641 --> 01:49:34.863]  You didn't know that before that it was airborne?
[01:49:35.163 --> 01:49:44.829]  So these are the types of things that you got called misinformation or censored for if you said these masks don't work, particularly the ones that everyone's wearing.
[01:49:44.829 --> 01:49:50.892]  How many people do you see actually walking around in the grocery store or students in school that have an N95 mask?
[01:49:50.892 --> 01:49:52.934]  They've always worn the cloth masks.
[01:49:52.934 --> 01:49:59.497]  And so now we're actually hearing the admittance that they don't work, yet they are still pushing them.
[01:50:00.538 --> 01:50:01.980]  It makes no sense.
[01:50:01.980 --> 01:50:04.783]  It's really hard to understand how this is all playing out.
[01:50:04.783 --> 01:50:08.427]  Now I did want to bring in, oh actually I want to talk about this.
[01:50:08.427 --> 01:50:14.714]  So I saw this article, this is a little bit older, but it was just reposted from one of the local news stations.
[01:50:14.714 --> 01:50:17.778]  Japanese professor invents TV screen that you can lick.
[01:50:19.395 --> 01:50:25.741]  We're talking about all these ways to stay healthy and not contaminate and wear masks and stay at home, whatever.
[01:50:25.741 --> 01:50:31.305]  And then you see this article, oh, Japanese professor invents a TV screen that you can lick.
[01:50:31.305 --> 01:50:34.448]  So my thought is like, wow, that sounds really sanitary.
[01:50:34.448 --> 01:50:35.969]  Doesn't that look sanitary?
[01:50:35.969 --> 01:50:39.172]  I can watch something with ice cream and then I'll lick it.
[01:50:39.172 --> 01:50:39.933]  Oh, that tastes great.
[01:50:39.933 --> 01:50:41.154]  Here, you want to taste it too?
[01:50:41.154 --> 01:50:43.696]  And then we're just passing germs back and forth.
[01:50:43.696 --> 01:50:44.817]  Isn't this great?
[01:50:44.817 --> 01:50:46.779]  You know, it's like they don't even believe their own lies.
[01:50:47.259 --> 01:50:53.602]  So it says, a Japanese University student, Yuki Hu, I'm not sure if I'm saying that right, tells a machine she wants to eat chocolate.
[01:50:53.602 --> 01:51:00.044]  Moments later, a transparent film with liquid droplets slides out on top of a screen, showing luscious gooey chocolate.
[01:51:00.044 --> 01:51:01.585]  This is so gross.
[01:51:01.585 --> 01:51:02.425]  Hu licks the film.
[01:51:02.905 --> 01:51:04.046]  It actually tastes like Mt.
[01:51:04.046 --> 01:51:04.466]  Chocolate.
[01:51:04.466 --> 01:51:11.271]  It's sweet and tasty, she says, in a demonstration of a prototype lickable TV screen that can imitate food flavors.
[01:51:11.271 --> 01:51:16.895]  So then this article goes, I'm thinking like, okay, this seems like the totally wrong time to bring something out like this.
[01:51:16.895 --> 01:51:23.360]  If they're going to be touting cloth masks and then, oh wait, look, here's something y'all can lick and pass around.
[01:51:23.360 --> 01:51:25.561]  But this actually mentions COVID.
[01:51:25.561 --> 01:51:28.723]  It says in the COVID-19 era, it's in the same article.
[01:51:28.723 --> 01:51:29.284]  This is insane.
[01:51:30.044 --> 01:51:34.228]  This kind of technology can enhance the way people connect and interact.
[01:51:34.228 --> 01:51:35.309]  What?
[01:51:35.309 --> 01:51:37.031]  I'm so confused!
[01:51:37.031 --> 01:51:42.616]  In the COVID-19 era, this kind of technology can enhance the way people connect and interact with the outside world.
[01:51:42.616 --> 01:51:45.458]  So if you're at home, you can just lick your screen.
[01:51:45.458 --> 01:51:46.559]  It's gonna be great.
[01:51:46.559 --> 01:51:50.383]  Pass it to your family members, friends, and you can all just lick the same thing.
[01:51:50.383 --> 01:51:53.986]  Oh, but wear a mask at the same time.
[01:51:55.191 --> 01:51:56.633]  This is the idiocy!
[01:51:56.633 --> 01:51:57.374]  It's insane.
[01:51:57.374 --> 01:52:10.930]  Well, as long as we're talking about idiocy, it seems that it takes being inebriated to recognize, for some, for those on the left, it takes them being inebriated to recognize the idiocy, perhaps.
[01:52:10.930 --> 01:52:13.113]  I think that's what we were getting from New Year's Eve.
[01:52:13.113 --> 01:52:14.535]  Take a look at this clip number two.
[01:52:15.795 --> 01:52:17.436]  Tell us something, Andy.
[01:52:17.436 --> 01:52:32.686]  Watching Mayor de Blasio do his ventrilab dance after four years of the crappiest term as the mayor of New York!
[01:52:32.686 --> 01:52:41.893]  The only thing that Democrats and Republicans can agree on is what a horrible mayor he has been!
[01:52:41.893 --> 01:52:45.055]  So, sayonara, sucka!
[01:52:46.135 --> 01:52:46.475]  Wow.
[01:52:46.475 --> 01:52:46.916]  2022!
[01:52:46.916 --> 01:52:49.657]  It's a new year!
[01:52:49.657 --> 01:52:51.759]  Because guess what?
[01:52:51.759 --> 01:52:58.183]  I have a feeling I'm going to be standing right here next year and you know what I'm not going to be looking at?
[01:52:58.183 --> 01:53:01.265]  Dancing as the city comes apart!
[01:53:01.265 --> 01:53:01.505]  You!
[01:53:06.098 --> 01:53:12.282]  So that's what it takes, I guess, to get some rational thought and some acceptance of what's really going on.
[01:53:12.282 --> 01:53:13.302]  You gotta think about this.
[01:53:13.302 --> 01:53:18.485]  Andy Cohen was standing in New York, which is always packed, you know, when the ball drops.
[01:53:18.485 --> 01:53:20.566]  And he's standing there, and there was like nobody there.
[01:53:20.566 --> 01:53:21.467]  I'm sure you saw the pictures.
[01:53:21.467 --> 01:53:22.588]  There was like nobody there.
[01:53:22.588 --> 01:53:22.968]  They're all...
[01:53:23.688 --> 01:53:44.635]  I mean, they were able to, you know, truck in some drag queens, you know, and some wokeness for the event, of course, but nobody else was there, only the woke people, and he's actually saying what everybody else is thinking, that, like, sayonara to the worst mayor ever, and Anderson Cooper is just so uncomfortable, he's like, oh, he's breaking from the narrative!
[01:53:45.015 --> 01:53:46.256]  What are we gonna do?
[01:53:46.256 --> 01:53:49.939]  That wasn't approved to say on the Stew Station!
[01:53:49.939 --> 01:53:57.204]  So, just a riot to see, I guess that's what it takes is for a little drink-senya to be able to speak the truth.
[01:53:57.204 --> 01:53:58.225]  So what else can I talk about?
[01:53:58.225 --> 01:54:08.193]  Oh, and speaking of BS on the news, what about our friend BS, Brian Stelter, having a full-on breakdown?
[01:54:08.193 --> 01:54:09.834]  Let's take a look at clip number three.
[01:54:11.514 --> 01:54:17.219]  And we're still learning more about the attack, and we're still processing what it meant to the country and to our lives.
[01:54:17.219 --> 01:54:21.823]  So, Hunter, is there a disconnect between the people who were there that day in D.C.
[01:54:21.823 --> 01:54:23.285]  and the people who were not?
[01:54:23.285 --> 01:54:26.668]  You know, someone like me who only watched it on TV, will I ever really get it?
[01:54:27.679 --> 01:54:33.324]  You know, I think this was a really unique incident, in part because of when it happened during the pandemic.
[01:54:33.324 --> 01:54:36.826]  This was a pre-vaccination moment, and a lot of the D.C.
[01:54:36.826 --> 01:54:49.356]  Press Corps was, you know, working from home, working remotely, and unless they were the Capitol Hill Press Corps, like I believe Grace was, or someone like myself who went out to cover the protests, they didn't see this firsthand.
[01:54:49.356 --> 01:54:56.302]  And while, you know, we were there on scene, due to the crowds, due to the law enforcement response, cell signals were jammed.
[01:54:56.622 --> 01:54:59.945]  So there was a bit of a delay also in that footage getting out.
[01:54:59.945 --> 01:55:00.706]  That's a great point.
[01:55:00.706 --> 01:55:04.770]  And I think that distance coupled with the fact... So there was a delay in that footage getting out.
[01:55:04.770 --> 01:55:11.196]  What about the delay in the footage of the rest of the footage that we need to be able to see?
[01:55:11.196 --> 01:55:11.817]  It's insane.
[01:55:11.817 --> 01:55:20.285]  So Brian Stalter is saying, watch how this Twitter user mocks reporters for talking candidly about the trauma, the trauma associated with the Capitol attack.
[01:55:21.105 --> 01:55:21.726]  Insane!
[01:55:21.726 --> 01:55:29.950]  But they don't ever talk about the violence that was perpetuated by BLM, about the burning down at the mostly peaceful protests.
[01:55:29.950 --> 01:55:31.731]  It's insane!
[01:55:31.731 --> 01:55:39.876]  Like I always say, his name is Brian Stelter, initials BS, and it's oh so fitting with how he reports the news.
[01:55:40.316 --> 01:55:46.199]  And think about it, this is not even the anniversary of January 6th!
[01:55:46.199 --> 01:55:52.102]  Can you imagine the meltdown that we're going to see the wall-to-wall coverage on MSM on January 6th?
[01:55:52.102 --> 01:56:00.506]  Might as well just turn your TVs completely off because they're probably going to be crying, they're going to be pulling out their hair, it's going to be insane.
[01:56:01.707 --> 01:56:05.488]  Yeah, this isn't even on January 6th yet, and they're still having a conniption over this.
[01:56:05.488 --> 01:56:20.670]  And they continue to, of course, elevate the numbers, including suicides days and months later, including the officer that was supposedly bludgeoned by a fire extinguisher, even though that was made up and completely fake, phony and false, never talking about Ashley Babbitt.
[01:56:20.670 --> 01:56:21.871]  Ugh.
[01:56:21.871 --> 01:56:27.112]  But, I mean, when you have that big of a head, I guess you just, you know, drive yourself crazy.
[01:56:27.112 --> 01:56:28.812]  I don't know, but it's insane to see
[01:56:30.852 --> 01:56:33.033]  And so easy to make fun of.
[01:56:33.033 --> 01:56:37.535]  But speaking of violence, I don't know if we have time to throw a little bit of seriousness into this.
[01:56:37.535 --> 01:56:42.677]  Take a look at what was happening in Amsterdam real quick, just to end out the show.
[01:56:42.677 --> 01:56:43.178]  Number four.
[01:57:07.301 --> 01:57:08.482]  Now that's craziness.
[01:57:08.482 --> 01:57:16.828]  That is people mauled by police, dogs beaten with batons at an unauthorized protest against COVID restrictions in Amsterdam.
[01:57:16.828 --> 01:57:22.752]  So these people are protesting for freedom and this is the response they get, mauled by dogs.
[01:57:22.752 --> 01:57:23.672]  That's true violence.
[01:57:23.672 --> 01:57:27.175]  I don't see any of the news anchors crying about that.
[01:57:27.978 --> 01:57:42.422]  Crying about the actual loss of our freedom, crying and having trauma over the fact that our country is sinking and people are dying and people are being held from the life-saving truth, life-saving treatment.
[01:57:42.422 --> 01:57:45.823]  How about you feel traumatic about that, Brian Stelter?
[01:57:45.823 --> 01:57:46.423]  Thanks for watching.
[01:57:47.927 --> 01:57:50.449]  Christmas 2021 is gone.
[01:57:50.449 --> 01:57:57.995]  It's in the rearview mirror, but you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[01:57:57.995 --> 01:58:05.240]  On two of our best-selling products, now finally back in stock, we have the number one bestseller of all time.
[01:58:06.261 --> 01:58:14.632]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[01:58:14.632 --> 01:58:16.235]  It is back in stock.
[01:58:16.235 --> 01:58:22.983]  X2 is 50% off at m4warstore.com and right in time for the deepest part of winter.
[01:58:24.090 --> 01:58:29.474]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[01:58:29.474 --> 01:58:34.519]  And again, your whole body is back in stock, ready to ship for you right now at InfoWarsTore.com.
[01:58:34.519 --> 01:58:35.600]  So it's a 360 win.
[01:58:35.600 --> 01:58:40.864]  It keeps us on air and it also makes your life so much healthier and better.
[01:58:40.864 --> 01:58:45.328]  So get your supply up to date at InfoWarsTore.com right now.
[01:58:47.890 --> 01:59:01.058]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation-states on one side, and the globalists on the other, who are literally trying to create a post-human world.
[01:59:01.786 --> 01:59:09.550]  For the United States of Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, fascist world government.
[01:59:09.550 --> 01:59:11.892]  That's why they launched their Great Reset.
[01:59:11.892 --> 01:59:16.794]  And their program after collapsing us, of Build Back Better.
[01:59:16.794 --> 01:59:22.358]  This is nothing more than a top-down, vertical consolidation of the world economy.
[01:59:22.358 --> 01:59:29.702]  And because they couldn't take our guns, and because we wouldn't bow, because the left, which is the ideology of this world government system, couldn't win,
[01:59:30.622 --> 01:59:33.645]  They released a biological weapon on us.
[01:59:33.645 --> 01:59:35.667]  Now we know, two years ago.
[01:59:35.667 --> 01:59:37.528]  We learned about it about 20 months ago.
[01:59:37.528 --> 01:59:38.549]  It's that simple.
[01:59:38.549 --> 01:59:41.672]  They can't beat us because of our free speech and our guns.
[01:59:41.672 --> 01:59:45.835]  So the Global Corporate Combine released COVID-19, and you know the rest is history.
[01:59:45.835 --> 01:59:49.779]  Expose this paradigm, and we win.
[01:59:49.779 --> 01:59:55.664]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
