[00:26.000 --> 00:28.000]  You don't need
[1:19:00.000 --> 1:19:02.000]  has never been having a bigger effect
[1:19:02.000 --> 1:19:04.000]  than it's having right now
[1:19:04.000 --> 1:19:06.000]  and today is do or die time
[1:19:06.000 --> 1:19:08.000]  if infowars gets the funding
[1:19:08.000 --> 1:19:10.000]  into the midterms in the next year
[1:19:10.000 --> 1:19:12.000]  we're going to stay on air and be more effective than ever
[1:19:12.000 --> 1:19:14.000]  but if we don't
[1:19:14.000 --> 1:19:16.000]  I respect your decision
[1:19:16.000 --> 1:19:18.000]  and I'm ready to basically implode
[1:19:18.000 --> 1:19:20.000]  I've done my
[1:19:20.000 --> 1:19:22.000]  work I've put everything into it
[1:19:22.000 --> 1:19:24.000]  I'm leaving it all in the field
[1:19:24.000 --> 1:19:26.000]  but I believe at a gut level
[1:19:26.000 --> 1:19:28.000]  you're going to come through
[1:19:28.000 --> 1:19:30.000]  plus you're going to get great products
[1:19:30.000 --> 1:19:32.000]  that your family already need
[1:19:32.000 --> 1:19:34.000]  so don't procrastinate show infowars
[1:19:34.000 --> 1:19:36.000]  you want us to stay on the air
[1:19:36.000 --> 1:19:38.000]  go to infowarsstore.com
[1:19:38.000 --> 1:19:40.000]  where we got three great products back at stock
[1:19:40.000 --> 1:19:42.000]  vitamin C and zinc
[1:19:42.000 --> 1:19:44.000]  highest quality super strong back at stock
[1:19:44.000 --> 1:19:46.000]  vitamin D3 and calcium
[1:19:46.000 --> 1:19:48.000]  all these products are 50% off
[1:19:48.000 --> 1:19:50.000]  together in a combo pack
[1:19:50.000 --> 1:19:52.000]  or 40% off individually
[1:19:52.000 --> 1:19:54.000]  so the great products you already need
[1:19:54.000 --> 1:19:56.000]  for your immune system
[1:19:56.000 --> 1:19:58.000]  and leave the money to stay on air
[1:19:58.000 --> 1:20:18.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:20:34.000 --> 1:20:36.000]  People connect
[1:20:36.000 --> 1:20:38.000]  and only as a result of all of those
[1:20:38.000 --> 1:20:40.000]  and many efforts more
[1:20:40.000 --> 1:20:42.000]  can things be worked out
[1:20:42.000 --> 1:20:44.000]  I guess
[1:20:44.000 --> 1:20:46.000]  since
[1:20:46.000 --> 1:20:48.000]  our new meeting of the new champions
[1:20:48.000 --> 1:20:50.000]  is absolutely unique
[1:20:50.000 --> 1:20:52.000]  because
[1:20:52.000 --> 1:20:54.000]  usually you have
[1:20:54.000 --> 1:20:58.000]  let's say leaders coming together
[1:20:58.000 --> 1:21:02.000]  who have great experience
[1:21:02.000 --> 1:21:04.000]  but who
[1:21:04.000 --> 1:21:06.000]  do not always think
[1:21:06.000 --> 1:21:08.000]  in terms of this new world which is unfolding
[1:21:08.000 --> 1:21:10.000]  here
[1:21:10.000 --> 1:21:12.000]  you have really the new champions
[1:21:12.000 --> 1:21:14.000]  those who are at the frontiers
[1:21:14.000 --> 1:21:18.000]  look at artificial intelligence
[1:21:18.000 --> 1:21:20.000]  look at robotizations
[1:21:20.000 --> 1:21:22.000]  biotechnology
[1:21:22.000 --> 1:21:24.000]  neuroscience
[1:21:24.000 --> 1:21:26.000]  and it will have such an impact on the world
[1:21:26.000 --> 1:21:28.000]  not just on
[1:21:28.000 --> 1:21:30.000]  business and business models
[1:21:30.000 --> 1:21:32.000]  it will change us
[1:21:32.000 --> 1:21:34.000]  it will change politics
[1:21:34.000 --> 1:21:36.000]  it will change society
[1:21:36.000 --> 1:21:38.000]  so it's very important
[1:21:38.000 --> 1:21:40.000]  that we get a feeling
[1:21:40.000 --> 1:21:42.000]  for the latest development
[1:21:42.000 --> 1:21:44.000]  and how they may impact society
[1:21:44.000 --> 1:21:46.000]  and that's what we are doing here
[1:21:46.000 --> 1:21:48.000]  and by the way
[1:21:48.000 --> 1:21:50.000]  what we are doing here is not just a conference
[1:21:50.000 --> 1:21:52.000]  it's integrated as I said before
[1:21:52.000 --> 1:21:54.000]  in working processes
[1:21:54.000 --> 1:21:56.000]  of the world economy
[1:21:56.000 --> 1:21:58.000]  so everything which
[1:21:58.000 --> 1:22:00.000]  is shown here
[1:22:00.000 --> 1:22:02.000]  is well prepared
[1:22:02.000 --> 1:22:04.000]  but will be followed up
[1:22:04.000 --> 1:22:06.000]  also afterwards
[1:22:06.000 --> 1:22:08.000]  we are looking forward to it
[1:22:08.000 --> 1:22:10.000]  all of these that you mentioned
[1:22:10.000 --> 1:22:12.000]  Professor Schraub
[1:22:12.000 --> 1:22:14.000]  thank you very much
[1:22:14.000 --> 1:22:16.000]  thank you for being with us
[1:22:16.000 --> 1:22:32.000]  music
[1:22:32.000 --> 1:22:34.000]  I can see for miles and miles
[1:22:34.000 --> 1:22:36.000]  I've already blown your operation
[1:22:36.000 --> 1:22:38.000]  Harley has already done it
[1:22:38.000 --> 1:22:40.000]  that's not a boast
[1:22:40.000 --> 1:22:42.000]  you know it
[1:22:42.000 --> 1:22:44.000]  you're scared now aren't you boy
[1:22:44.000 --> 1:22:46.000]  miles and miles son
[1:22:46.000 --> 1:22:48.000]  and miles
[1:23:06.000 --> 1:23:08.000]  and once you see
[1:23:08.000 --> 1:23:10.000]  they have no power over you
[1:23:10.000 --> 1:23:12.000]  they can only control the spirit
[1:23:12.000 --> 1:23:19.840]  control the spirits they blind. Once you see, one cannot be told about the matrix. One must
[1:23:19.840 --> 1:23:26.240]  see the matrix. Morpheus. So I direct you back to this because we can't make a bigger deal about it.
[1:23:26.800 --> 1:23:34.240]  You can't. And I've known this for six months and we've seen it go down 99 plus percent
[1:23:34.240 --> 1:23:42.960]  refusal of the COVID poison shots and their new stupid ass boaster. But they have the military
[1:23:42.960 --> 1:23:50.000]  captive. They have the blue cities captive and they are now still trying to inject this poison
[1:23:50.000 --> 1:23:55.200]  in those captive audiences. And we got to stand with those folks. We should have demonstrations
[1:23:55.200 --> 1:23:59.920]  on some of the military bases and demonstrations in the blue cities and say no, you criminals are
[1:23:59.920 --> 1:24:06.960]  liable. And the good news is that's happened. Millions have been marching every week in Europe
[1:24:06.960 --> 1:24:13.200]  for a year and a half. But here's the latest developments. New York City fires another
[1:24:13.200 --> 1:24:18.640]  eight hundred and fifty teachers and teaching aids after they failed to get the COVID vaccine
[1:24:18.640 --> 1:24:25.600]  by September 5th daily mail. So the teachers are still being made to do it in blue cities
[1:24:25.600 --> 1:24:31.760]  even though it's an experimental shot telling people it doesn't protect you.
[1:24:33.360 --> 1:24:40.880]  And even though the military starting with the army and then the Air Force and now the Marines
[1:24:40.880 --> 1:24:48.000]  and the Navy and Space Force and Coast Guard are saying, okay, you don't have to, you're right,
[1:24:48.000 --> 1:24:52.560]  it's experimental shot under U.S. law. You can't even make troops take an experimental shot because
[1:24:52.560 --> 1:24:57.200]  under U.S. law, you sign that contract, you can take an approved shot. You can be made to take
[1:24:57.200 --> 1:25:01.840]  an approved vaccine even in our side effects or problems when you sign that dotted line to
[1:25:01.840 --> 1:25:08.400]  conscript yourself. Because you weren't conscripted, you weren't drafted, but you signed a conscription
[1:25:08.400 --> 1:25:16.240]  contract and as an indentured servant have conscripted yourself. So teachers in Los Angeles,
[1:25:16.240 --> 1:25:22.800]  teachers in Detroit, Michigan, teachers in San Francisco, teachers in New York City,
[1:25:23.360 --> 1:25:29.840]  teachers in Seattle, Washington are being made to take the poison shots and the janitors are
[1:25:29.840 --> 1:25:33.360]  and the ladies that works in the lunch line is, but the elites aren't taking them,
[1:25:33.360 --> 1:25:44.560]  when the military itself, federal judges have found you can't make the military take a shot.
[1:25:46.160 --> 1:25:49.600]  Just like they did in 2000 with the experimental anthrax shot that was so deadly
[1:25:49.600 --> 1:25:53.360]  and they had lawsuits and hearings and they finally said, yeah, U.S. military can't make
[1:25:53.360 --> 1:25:59.360]  people take experimental shots that violates the Nuremberg code in all common sense. So again,
[1:25:59.360 --> 1:26:05.440]  these are criminals that have committed massive crimes doing this. Following U.S. Navy's change
[1:26:05.440 --> 1:26:11.680]  of vaccine mandate policy, U.S. Marine Corps follows saying, okay, we harass you for a year
[1:26:11.680 --> 1:26:15.840]  and a half. We court marshal a bunch of people. We kicked tens of thousands out. Guess what,
[1:26:15.840 --> 1:26:21.760]  we were wrong. We're not going to make you do it now. It was all an exercise of rape outside of law
[1:26:21.760 --> 1:26:29.600]  to see what these criminals could do. And why is that happening? Because military and school
[1:26:29.600 --> 1:26:38.000]  teachers and medical workers that got fired are filing suits and now 99%, 99 plus percent
[1:26:38.960 --> 1:26:44.400]  are saying, no, screw you, New World Order, screw what you've done. We're not going to
[1:26:44.400 --> 1:26:48.000]  follow your orders. And when we finally wake up and say, you know, it's game over for them.
[1:26:48.000 --> 1:26:56.160]  Let's continue. U.S. Marine Corps quietly drops punishments for requiring COVID vaccine.
[1:26:57.200 --> 1:27:01.840]  How about those that followed fake orders and made them do it? What about the teachers and
[1:27:01.840 --> 1:27:09.440]  aides fired for not complying with COVID vaccine mandate? Meanwhile, Fauci misled Congress about
[1:27:09.440 --> 1:27:15.520]  gain of function research, but he's protected by the Biden administration. Former CDC chief says
[1:27:15.520 --> 1:27:21.920]  he's allowed to lie because he's got presidential immunity. Oh, but Trump does it with his own
[1:27:21.920 --> 1:27:32.240]  documents. Meanwhile, I'll never forget in New York and California and Michigan and so many
[1:27:32.240 --> 1:27:40.960]  other leftist states and all over the world, W.E.F. directed, they put up signs over get well cards
[1:27:40.960 --> 1:27:45.520]  and over flowers and over books. That's all nonessential. You're allowed to go to the store
[1:27:45.520 --> 1:27:50.080]  for one hour a day, but you can't give somebody a get well card. You can't visit your family.
[1:27:50.080 --> 1:27:55.280]  Due to wealth government regulations in England, we are unable to sell these nonessential products.
[1:27:56.080 --> 1:28:02.480]  Let's just see if the stores won't sell flowers or won't sell toys or won't sell books or won't
[1:28:02.480 --> 1:28:09.840]  sell cards. See if the monkeys will stand on their head. See if when we tell somebody to jump,
[1:28:09.840 --> 1:28:18.640]  we say how high. I want you to jump. How high, master? All of it based on lies. All of it based
[1:28:18.640 --> 1:28:26.240]  on fraud. And just look at this graph one more time because the enemies of freedom absolutely
[1:28:26.240 --> 1:28:33.520]  hate it. The enemies of freedom just can't stand it. 99%. They want to frame that put on the law.
[1:28:33.520 --> 1:28:38.560]  That's reprinted for me. I can't find it. Say no, we're not taking your damn shot.
[1:28:38.560 --> 1:28:45.280]  And the whole house of cards comes down. It happens just that simple, just that easy. Wake up out
[1:28:45.280 --> 1:28:52.000]  of the hoax, wake up out of the mass formation psychosis and say no together. All right. More
[1:28:52.000 --> 1:29:02.640]  massive news straight ahead. Stay with us. We are now living in the void, sliding towards collapse
[1:29:02.640 --> 1:29:09.280]  in the strange space between what we've known and what's to come. And right now the most important
[1:29:09.280 --> 1:29:16.320]  thing to remember is don't panic. Stay calm because now is the time that we must get our bearings
[1:29:16.320 --> 1:29:22.960]  and steer the ship onto a safe sound course. There is nothing stopping we the people from making
[1:29:22.960 --> 1:29:30.160]  our own rules and building our own society. All we got to do is survive the crash. And right now
[1:29:30.160 --> 1:29:36.720]  we still have time to prepare. The world fiat currency system is racing towards zero. It's
[1:29:36.720 --> 1:29:44.080]  time to convert it into hard assets now, including food, water and survival gear to keep us strong
[1:29:44.080 --> 1:29:52.000]  and at the ready. Go to preparedtoday.com for the essentials, storeable foods, water filtration,
[1:29:52.000 --> 1:29:59.760]  first aid, power and more at preparedtoday.com. Ladies and gentlemen, if millions of people
[1:29:59.760 --> 1:30:04.000]  get this book, our funding problems will be over and it's starting to happen. That's why I said,
[1:30:04.000 --> 1:30:07.440]  yeah, go to infoworkstore.com, get the book, it starts shipping in a couple weeks. The great
[1:30:07.440 --> 1:30:11.920]  reset in the war for the world. But I said go to Amazon because it's the number one book chart
[1:30:11.920 --> 1:30:16.960]  in the world. And if it goes to number one, not a political, not of history, not of US history,
[1:30:16.960 --> 1:30:21.920]  it's already number one over 40 categories like political science, you name it. 40 plus categories
[1:30:21.920 --> 1:30:29.280]  is number one. Ladies and gentlemen, drum roll please of books in the world, the great reset in
[1:30:29.280 --> 1:30:36.320]  the war for the world is one, two, three, four, five, six, seven, eight, nine. We are now number nine
[1:30:36.320 --> 1:30:44.160]  in the world. This is major, this is political, this could fund our war chest, just go to amazon.com,
[1:30:44.160 --> 1:30:50.480]  everybody and buy 10 copies. Send this blueprint to the Death Star and the New World Order because
[1:30:50.480 --> 1:30:53.680]  you read this, you know their whole plan, how to stop them, get the great reset in the war for the
[1:30:53.680 --> 1:31:00.800]  world. Now it's going to go to number one. What do you make of that? Ultimate fish oil is back
[1:31:00.800 --> 1:31:08.080]  in stock at infoworkstore.com. What does ultimate mean? That's just our name for the best, the highest
[1:31:08.080 --> 1:31:16.880]  grade. What this concentrated and show the oil pure Arctic krill oil and high quality wild caught
[1:31:16.880 --> 1:31:23.520]  salmon oil does for your brain, your heart, your cardiovascular system, and for your entire body's
[1:31:23.520 --> 1:31:31.520]  functions is insane. Regular low grade fish oil in all the studies does outstanding things. This
[1:31:31.520 --> 1:31:37.200]  is the highest grade and it's not been pasteurized, it's not been boiled, so it has its original
[1:31:37.200 --> 1:31:43.360]  effects intact. Ladies and gentlemen, everybody should visit infoworkstore.com today and get
[1:31:43.360 --> 1:31:49.120]  ultimate fish oil finally back in stock for 15% off. For our regular fans or big supporters,
[1:31:49.120 --> 1:31:53.920]  you're going to love it. You already know how great it is. But for folks of it on the fence,
[1:31:53.920 --> 1:31:57.760]  experience ultimate fish oil for yourself, try taking some before bedtime and see what happens with
[1:31:57.760 --> 1:32:04.160]  your dreams. Ultimate fish oil is back in stock at infoworkstore.com. What does ultimate mean?
[1:32:04.880 --> 1:32:13.040]  That's just our name for the best, the highest grade. What this concentrated and show the oil
[1:32:13.040 --> 1:32:20.080]  pure Arctic krill oil and high quality wild caught salmon oil does for your brain, your heart,
[1:32:20.080 --> 1:32:26.720]  your cardiovascular system, and for your entire body's functions is insane. Regular low grade
[1:32:26.720 --> 1:32:33.280]  fish oil in all the studies does outstanding things. This is the highest grade and it's not
[1:32:33.280 --> 1:32:39.200]  been pasteurized, it's not been boiled, so it has its original effects intact. Ladies and gentlemen,
[1:32:39.200 --> 1:32:45.760]  everybody should visit infoworkstore.com today and get ultimate fish oil finally back in stock
[1:32:45.760 --> 1:32:50.240]  for 15% off. For our regular fans or big supporters, you're going to love it. You already know how
[1:32:50.240 --> 1:32:55.360]  great it is. But for folks of it on the fence, experience ultimate fish oil for yourself,
[1:32:55.360 --> 1:33:09.360]  try taking some before bedtime and see what happens with your dreams.
[1:33:37.040 --> 1:33:44.400]  are receiving this transmission, you are the resistance live from Austin, Texas, broadcasting
[1:33:44.400 --> 1:33:57.680]  worldwide. It's Alex Jones. The power of our source. Human power.
[1:34:06.240 --> 1:34:07.520]  Take the power God's giving you.
[1:34:07.520 --> 1:34:16.240]  Hey, you're just seeing your hands.
[1:34:17.760 --> 1:34:26.800]  Go to the next level. Join us in victory. We can lead humanity. Incredible destiny.
[1:34:28.160 --> 1:34:34.960]  You do it now. But we operate in free will, not in deception or control. Join us.
[1:34:34.960 --> 1:34:41.040]  Join us. Take my hand. We're waiting for you. We love you.
[1:34:44.400 --> 1:34:47.920]  I want you to trip like I do. Bring it up.
[1:34:47.920 --> 1:35:01.440]  I want you to trip like I do.
[1:35:01.440 --> 1:35:12.080]  I want you to trip like I do.
[1:35:15.680 --> 1:35:20.400]  Because we're all about free will. But once you join your free will together
[1:35:21.920 --> 1:35:27.360]  trip begins the next level. I want you to trip like I do.
[1:35:27.360 --> 1:35:41.440]  I want you to trip like I do. It's all a trip.
[1:35:41.440 --> 1:35:58.640]  I want you to trip like I do.
[1:35:58.640 --> 1:36:06.800]  I'm going to make you do it.
[1:36:06.800 --> 1:36:15.360]  You are the weapon system. I am the weapon. You are the weapon. Genesis device. We are Genesis.
[1:36:22.480 --> 1:36:27.200]  Our victory is assured. The only question is who will join us.
[1:36:27.200 --> 1:36:37.120]  These fools that have joined Satan are idiots. Satan's a joke. Satan's a loser. Satan's weak.
[1:36:39.120 --> 1:36:46.800]  I want you to trip like I do. The in you. All right. Let's talk about the pain.
[1:36:48.320 --> 1:36:52.880]  Last time I was on Joe Rogan's show it was over two years ago and I just kept laying
[1:36:52.880 --> 1:37:01.680]  documents on him and he had young Jamie look him up and I would just say okay most polio cases in
[1:37:01.680 --> 1:37:10.880]  the world caused by UN polio program and they type it in and they get UPI AP Reuters like whoa that's
[1:37:10.880 --> 1:37:16.000]  incredible. I say I type in Bill Gates behind polio campaign that caused world by polio. They
[1:37:16.000 --> 1:37:25.440]  type it in they pull it up and freak out polio is a whole class of viruses that eat nerve endings
[1:37:26.480 --> 1:37:38.720]  and cause paralysis and so it's so frustrating about all this is we know that and I said we've
[1:37:38.720 --> 1:37:42.640]  got an archivist have a look into it they'll get the clip it'll have 10 million views in a couple
[1:37:42.640 --> 1:37:47.120]  days we find it which is a great part about our job we know what's going to happen we just tell
[1:37:47.120 --> 1:37:52.640]  you and it comes true and the enemy can't block that they can't deal with the fact that before
[1:37:52.640 --> 1:38:01.200]  they do it we tell people that's our little secret weapon and we told you two years ago we said
[1:38:01.200 --> 1:38:07.120]  this vaccine is not a vaccine it will cause polio like diseases they're going to announce
[1:38:07.120 --> 1:38:13.280]  but also we say monkey pox because in the studies they already did under other names
[1:38:13.280 --> 1:38:17.840]  they did study these shots they told you they didn't oh we don't need to study them uh let's
[1:38:17.840 --> 1:38:25.360]  just give them to you it causes monkey pox events so it causes polio it causes monkey pox
[1:38:25.360 --> 1:38:31.760]  it causes microcarditis heart swelling heart attacks strokes blood clots all this wonderful
[1:38:31.760 --> 1:38:41.600]  christmas list of evil and so now politico roiders apc and go jeepers creepers
[1:38:44.880 --> 1:38:52.240]  what are we going to do polio spreading all over the world right now including the us
[1:38:53.760 --> 1:38:59.120]  yeah they found a guardian headline vaccine delivered polio spreads in avrica after defeat
[1:38:59.120 --> 1:39:05.920]  of wild virus he bought the roiders headline number one cause of new polio vaccine that's
[1:39:05.920 --> 1:39:21.440]  roiders and joe rogan's mouth was hanging open so now political reports we've got polio all over
[1:39:21.440 --> 1:39:28.800]  the u.s. we got kids paralyzed funny this so-called vaccine causes paralysis but
[1:39:30.160 --> 1:39:39.840]  they just tell the hospital oh it's polio's back it's back it's back parents in london are scrambling
[1:39:39.840 --> 1:39:45.840]  for the vaccine this time it's not the fear of covid-19 rather the return of the virus in the
[1:39:45.840 --> 1:39:52.560]  past has killed and paralyzed thousands of young children polio virus has been detected in the
[1:39:52.560 --> 1:39:59.920]  capital sewage with children in affected areas being offered a booster polio vaccine vaccination
[1:39:59.920 --> 1:40:05.120]  clinics are booked out in some areas and local councils are urging parents to get their children
[1:40:05.120 --> 1:40:12.960]  boosted according to the atlantic the paedophile run publication the state of new york declared an
[1:40:12.960 --> 1:40:20.880]  emergency in september due to growing community spread of polio we simply cannot roll the dice
[1:40:20.880 --> 1:40:23.760]  the risk of paralytic disease is real
[1:40:28.080 --> 1:40:34.320]  did they tell you two years ago this was happened no we did because we can see for miles and miles
[1:40:34.320 --> 1:40:44.800]  and miles and miles and miles and miles and miles and miles and miles
[1:40:48.800 --> 1:40:56.080]  these demons that serve satan follow orders they don't have divine power they don't have a
[1:40:56.080 --> 1:41:03.920]  have a connection to the spark of creativity they're cut off and as soon as you stop worrying about
[1:41:03.920 --> 1:41:11.040]  them and as soon as you stop fearing them and as soon as you say god i love you you made me
[1:41:11.040 --> 1:41:18.240]  help me and raise your arms to god through his son because god won't go through something he
[1:41:18.240 --> 1:41:24.080]  wouldn't go through god wouldn't put us through something he wouldn't do then it's there but
[1:41:24.080 --> 1:41:30.960]  you've got to understand our god does not make contact with people who have not made contact
[1:41:30.960 --> 1:41:37.200]  our god does not intervene unless we ask for help our god is the opposite of satan satan lies
[1:41:37.200 --> 1:41:43.920]  deceives controls cut you off from the source our god the real god needs you
[1:41:43.920 --> 1:41:55.520]  to reach out and say i believe in you i need your help when i was 13 years old
[1:42:00.320 --> 1:42:06.320]  they built a house behind our house on a golf course and i climbed up there like midnight
[1:42:06.320 --> 1:42:14.000]  and the wind was blowing it was the fall and i was being tempted by the devil
[1:42:18.000 --> 1:42:25.280]  and satan said to me just reach your handout and i will empower you i will take away all your
[1:42:25.280 --> 1:42:34.640]  concerns and i reached my handout and my father across the street who'd never followed me at night
[1:42:34.640 --> 1:42:39.200]  never tracked what i did had climbed up that house knowing that moment was happening and as
[1:42:39.200 --> 1:42:44.160]  my hand reached out at that rooftop to the devil my father's hand came into it he said
[1:42:44.160 --> 1:42:53.360]  jesus loves you that's power that's god that's real at the moment i made the deal with satan
[1:42:53.360 --> 1:42:54.480]  my father intervened
[1:42:54.480 --> 1:43:05.040]  info wars work has never been having a bigger effect than it's having right now and today is
[1:43:05.040 --> 1:43:10.720]  do or die time if info wars gets the funding into the midterms in the next year we're going to stay
[1:43:10.720 --> 1:43:16.320]  on air and be more effective than ever but if we don't i respect your decision and i'm ready to
[1:43:16.320 --> 1:43:22.880]  basically implode and shut down our main operations i've done my work i've i've put everything into it
[1:43:22.880 --> 1:43:28.000]  i'm leaving it on the field but i believe in a gut level you're going to come through plus
[1:43:28.000 --> 1:43:32.800]  you're going to get great products that your family already need so don't procrastinate show info
[1:43:32.800 --> 1:43:37.600]  wars you want to sustain on the air go to info wars store.com where you got three great products
[1:43:37.600 --> 1:43:44.320]  back in stock vitamin c and zinc highest quality super strong back in stock vitamin d3 and calcium
[1:43:44.320 --> 1:43:51.520]  and of course dna force plus all these products are 50 off together in a combo pack or 40 off
[1:43:51.520 --> 1:43:55.760]  individually so the great products you already need for your immune system and leave the money
[1:43:55.760 --> 1:44:01.680]  to stay on air so please take action now thank you cognitive dissonance is a major issue amongst
[1:44:01.680 --> 1:44:07.760]  the left it can be very stressful dealing with facts you refuse to accept if you have a family
[1:44:07.760 --> 1:44:13.440]  member suffering from this degenerative mental condition buy them a bottle of ultimate fish oil
[1:44:13.440 --> 1:44:19.760]  from info wars store.com studies have suggested that fish oils and fish oil supplementation
[1:44:19.760 --> 1:44:26.000]  can slightly lower blood pressure decrease triglyceride levels decrease the growth rate of plaque
[1:44:26.000 --> 1:44:32.240]  and provide a soothing reduction in inflammatory responses in joints and the digestive system
[1:44:32.240 --> 1:44:39.520]  recent studies have suggested that high epa and dha fish oil can stimulate immune function by
[1:44:39.520 --> 1:44:46.080]  increasing the concentration and activity of immune cells it worked for my family and now
[1:44:46.080 --> 1:44:52.720]  i can have a logical and calm discussion about actual facts that pertain to reality get your
[1:44:52.720 --> 1:44:59.200]  ultimate fish oil for a friend family member or yourself at info wars store.com ladies and gentlemen
[1:44:59.200 --> 1:45:03.680]  if millions of people get this book our funding problems will be over and it's starting to happen
[1:45:03.680 --> 1:45:07.520]  that's why i said yeah go to info wars store.com get the book and start shipping in a couple weeks
[1:45:07.520 --> 1:45:11.440]  the great reset in the war for the world but i said go to amazon because it's the number one
[1:45:11.440 --> 1:45:17.360]  book chart in the world and if it goes to number one not a political not of history not of us history
[1:45:17.360 --> 1:45:22.240]  it's already number one over 40 categories like political science you name it 40 plus categories
[1:45:22.240 --> 1:45:29.920]  is number one ladies and gentlemen drum roll please of books in the world the great reset in the war
[1:45:29.920 --> 1:45:38.080]  for the world is one two three four five six seven eight nine we are now number nine in the world
[1:45:38.080 --> 1:45:44.880]  whoo this is major this is political this could fund our war chest just go to amazon.com everybody
[1:45:44.880 --> 1:45:51.280]  and buy 10 copies send this blueprint to the death star and the new world order because you read this
[1:45:51.280 --> 1:45:54.720]  you know their whole plan how to stop them hit the great reset in the war for the world now it's
[1:45:54.720 --> 1:46:01.920]  going to go to number one what do you make of that i don't care if you work in a cafeteria or pump
[1:46:01.920 --> 1:46:07.520]  gas or whether you're a farmer a rancher a doctor a lawyer or a millionaire fortune and money magazine
[1:46:07.520 --> 1:46:12.640]  have all done these profiles you see it every year 30 different tax returns 30 different answers
[1:46:12.640 --> 1:46:18.560]  50 different tax returns 50 different answers and almost all of them just screw you over especially
[1:46:18.560 --> 1:46:22.960]  the big firms and and the big tax groups because they're part of the system and they don't want the
[1:46:22.960 --> 1:46:28.800]  general public understanding this and knowing this so it's a very important situation with inflation
[1:46:28.800 --> 1:46:34.800]  and all the things out there hurting everybody to be able to do things tax wise it's legal and
[1:46:34.800 --> 1:46:39.040]  lawful that allows you to keep more your money we wouldn't even be here if i hadn't gotten great
[1:46:39.040 --> 1:46:47.280]  tax advice in the last few years the only way you fail is not writing down the url jonestaxrelief.com
[1:46:47.280 --> 1:46:55.840]  one word jonestaxrelief.com or call 833-904-285 833-904-285
[1:46:55.840 --> 1:47:05.840]  leading a frontal assault on the lies of the new world order it's alex jones
[1:47:16.080 --> 1:47:24.560]  story i just told is true and something that big which proves metaphysical power and the
[1:47:24.560 --> 1:47:32.000]  spirit world to be told properly so i was 13 years old and obviously the enemy knew what i was
[1:47:32.000 --> 1:47:37.040]  going to do in the future a lot of spiritual forces involved they were in rockwall texas with
[1:47:37.040 --> 1:47:45.440]  on a golf course and it's like midnight at night it's it's fall the wind's blowing and i'm sitting
[1:47:45.440 --> 1:47:51.120]  up there on top this house they're building my parents were asleep the house is dark and i'm
[1:47:51.120 --> 1:47:57.200]  across the street on top this house nobody even see me it's a dark night and i'm sitting up there
[1:47:57.200 --> 1:48:04.560]  and i and i feel tempted by the devil and i i'm literally sitting there seeing the whole future
[1:48:04.560 --> 1:48:13.120]  of the world and the whole future of things to come i'm being tempted and i'm sitting there
[1:48:14.400 --> 1:48:19.200]  and the devil says just reach your hand out to me just reach your hand out to me
[1:48:19.200 --> 1:48:23.760]  and everything will be taken care of it'll all be great i love you i want you to be with me
[1:48:23.760 --> 1:48:32.240]  and i i i couldn't help it i i stuck my hand out and right right as i stuck my hand out
[1:48:32.240 --> 1:48:37.120]  my dad won't come on air he's a very private person but my dad's like super smart obviously
[1:48:38.080 --> 1:48:44.240]  right as i stick my hand out my father climbed up behind me on top of that towel roof they just
[1:48:44.240 --> 1:48:52.960]  finished on this house put his hand he said god loves you i love you that's what third 5g can't
[1:48:52.960 --> 1:48:58.240]  control that's what all their high tech and surveillance can controls our spiritual wavelength
[1:48:58.240 --> 1:49:04.560]  that's the real internet with six cents we're all connected my dad never before since showed up at
[1:49:04.560 --> 1:49:09.360]  some point like that but that critical point at 13 if you listen to the jews or anybody that's when
[1:49:09.360 --> 1:49:13.840]  somebody becomes a man or a woman that's when they become an adult at that very point
[1:49:16.160 --> 1:49:20.400]  i never even talked to my dad about that i gotta make my dad come on air that'd be a big interview
[1:49:21.680 --> 1:49:30.320]  right at that point i was being literally tempted by satan literally on top of a building in the dark
[1:49:30.320 --> 1:49:38.640]  i remember just saying oh i want to see if your hands really there i want to okay i'll do it
[1:49:39.440 --> 1:49:44.240]  and my father's hand slid right in the mind said no god loves you no
[1:49:46.720 --> 1:49:51.360]  that that really happened yeah i'd be struck down by a thousand bolts of lightning
[1:49:51.360 --> 1:49:55.920]  committed to a trillion years in hell i'm lying i'm not that really that proves it all right there
[1:49:55.920 --> 1:50:01.920]  folks it proves everything i've had hundreds of experiences like that you've had experiences too
[1:50:01.920 --> 1:50:08.080]  you know how real the metaphysical is the spiritual realm all of this is real as death and life and
[1:50:08.080 --> 1:50:13.600]  as cancer so i think tonight you know that's the time to tell that story
[1:50:13.600 --> 1:50:26.320]  it's finally sticking your hand out okay i want to know the metaphysical i want to see if you're
[1:50:26.320 --> 1:50:37.840]  real and you stick your hand out and just like god's our father or christ will sit your father's
[1:50:37.840 --> 1:50:53.760]  hand is there just no no no you will not join satan
[1:50:58.480 --> 1:51:02.560]  i remember looking over my dad back in the old day people still wore white underwear
[1:51:02.560 --> 1:51:08.320]  the cheesy white underwear the hains of the rutherland white underwear and my dad was on top
[1:51:08.320 --> 1:51:13.040]  that roof in his underwear he said just come home and he climbed down off the roof and left
