[00:00:00.349 --> 00:00:02.210]  Emergency Tuesday broadcast.
[00:29:46.962 --> 00:29:55.309]  The Emergencies Act will be used to strengthen and support law enforcement agencies at all levels across the country.
[00:29:56.250 --> 00:30:05.061]  This is about keeping Canadians safe, protecting people's jobs, and restoring confidence in our institutions.
[00:30:05.702 --> 00:30:06.242]  As of today.
[00:30:07.304 --> 00:30:17.647]  A bank or other financial service provider will be able to immediately freeze or suspend an account without a court order.
[00:30:17.988 --> 00:30:20.989]  Justin Trudeau, I mean, I thought he was kind of a cool guy.
[00:30:21.009 --> 00:30:23.549]  And I started to read what he said.
[00:30:24.070 --> 00:30:25.330]  This is a couple of weeks ago.
[00:30:25.370 --> 00:30:30.192]  He was or maybe this is September, but he was talking about people who are not vaccinated.
[00:30:31.332 --> 00:30:32.813]  He said, they don't believe in science.
[00:30:32.873 --> 00:30:35.015]  They're often misogynistic, often racist.
[00:30:35.235 --> 00:30:35.876]  No, they're not.
[00:30:35.956 --> 00:30:37.697]  That was not smart of him at all.
[00:30:37.737 --> 00:30:38.017]  Right.
[00:30:38.077 --> 00:30:40.119]  He said, but they take up space.
[00:30:41.420 --> 00:30:45.003]  And with that, we have to make a choice in terms of a leader as a country.
[00:30:45.423 --> 00:30:47.004]  Do we tolerate these people?
[00:30:47.104 --> 00:30:48.085]  It's like, tolerate?
[00:30:48.285 --> 00:30:49.786]  Now you do sound like him.
[00:30:51.688 --> 00:30:57.692]  All of you that signed on to Hillary and the Democrats and the Davos group, which is the Bilderberg group, you signed on to pure evil.
[00:30:59.414 --> 00:31:00.935]  And you better understand you're going down.
[00:31:02.731 --> 00:31:05.413]  You can try to take our free speech, take our guns, take our children.
[00:31:05.813 --> 00:31:08.074]  All you're doing is waking us up and getting us off the fence.
[00:31:10.375 --> 00:31:11.336]  But they're out there, folks.
[00:31:11.376 --> 00:31:12.377]  They've made their decisions.
[00:31:13.017 --> 00:31:14.418]  That they are at war with all of us.
[00:31:14.618 --> 00:31:17.700]  I'm going to come back and hit more of this in the huge Russian news, the huge Durham news.
[00:31:18.000 --> 00:31:18.940]  I'm doing all four hours there.
[00:31:18.960 --> 00:31:23.023]  We're going to open the phones up in the second and third hour, take a lot of calls.
[00:31:24.564 --> 00:31:29.967]  Separately, we are fighting the new world order at point-blank range.
[00:31:31.312 --> 00:31:39.320]  I am absolutely going up against the worst people at every level, and it's only been your prayers and your support that's kept us on air.
[00:31:39.360 --> 00:31:42.963]  And so I'm telling you now, we have reached the thick of the battle.
[00:31:43.904 --> 00:31:46.667]  We have reached the heart of the war.
[00:31:47.267 --> 00:31:56.076]  We are entering the most important phase of the war against tyranny and fighting back against their unrestricted, undeclared war against us.
[00:31:56.954 --> 00:32:05.744]  And so I need capital now more than ever for what you see on the surface and for other operations we've got going on against the New World Order.
[00:32:07.085 --> 00:32:16.931]  If you want to win, and if you want these people off our children's backs, then you need to tell everybody about InfoWars.com, and NewsWars.com, and Band.Video, and share the links, and share the articles, and buy the products.
[00:32:16.951 --> 00:32:19.052]  We've extended it until Wednesday, and then that's it.
[00:32:19.392 --> 00:32:20.853]  We haven't had this deal in four years.
[00:32:21.794 --> 00:32:26.957]  25% off, super high quality, ready to ship to you, storable food for good, tasty, healthy food.
[00:32:27.017 --> 00:32:30.799]  It's the lowest price you're going to find anywhere.
[00:32:31.139 --> 00:32:34.581]  25% off, the company is taking their profit out, then we get 25%.
[00:32:36.212 --> 00:32:37.994]  The food's only marked up 100%.
[00:32:38.295 --> 00:32:39.416]  Most food's marked up three times.
[00:32:40.137 --> 00:32:41.939]  So, there's 25% profit in this.
[00:32:42.540 --> 00:32:51.271]  It's all being given to InfoWars because my patriot loves us, and the owner's a great Christian, and God laid it on his heart to give me the special that nobody else is getting.
[00:32:52.012 --> 00:32:54.855]  25% off until Wednesday, and that's it.
[00:32:55.968 --> 00:33:05.696]  Separately, X3, the deep-earth crystal iodine, with the two other types to help your body absorb it, so good for your entire body, your molecular system, all electrochemical activity in the body is based on iodine.
[00:33:05.716 --> 00:33:07.198]  Without it, you know what happens?
[00:33:07.718 --> 00:33:11.862]  It is 50% off, and we're going to end that sale in a week.
[00:33:12.717 --> 00:33:14.178]  Because it'll be more than half sold out.
[00:33:14.678 --> 00:33:17.920]  Infowarstore.com or 888-253-3139.
[00:33:17.960 --> 00:33:22.683]  There's a bunch of other sales that end Wednesday on other great products and supplements.
[00:33:22.883 --> 00:33:24.684]  There's great t-shirts, books, films, you name it.
[00:33:25.064 --> 00:33:30.888]  All at Infowarstore.com and we will never surrender as long as you fund us.
[00:33:30.928 --> 00:33:34.230]  We will fight until the end, no matter what happens.
[00:33:35.190 --> 00:33:36.831]  Victory or death.
[00:33:37.352 --> 00:33:39.093]  Infowarstore.com.
[00:33:39.373 --> 00:33:40.994]  America is coming back from the dead.
[00:33:41.730 --> 00:33:46.473]  Well, that was an incredibly powerful three and a half minute video that Darren McBrain put together.
[00:33:46.493 --> 00:33:55.119]  And he could have made it an hour long of Trudeau making dictator comments and smacking his lips and looking like a satanic jack-o'-lantern.
[00:33:56.540 --> 00:34:08.067]  We had Trudeau's brother on last week, and we should probably get him back on sometime in the next few days, because this declaration of martial law and financial martial law is incredible.
[00:34:08.428 --> 00:34:14.282]   By the way, when the normal law is suspended, And private corporations are commanded and given federal power.
[00:34:14.823 --> 00:34:17.845]  That's one of the most extreme forms of martial law.
[00:34:19.527 --> 00:34:23.270]  That is the suspension of the checks and balances for the people.
[00:34:24.731 --> 00:34:27.013]  And Trudeau has declared martial law.
[00:34:28.331 --> 00:34:28.932]  Unbelievable.
[00:34:29.452 --> 00:34:42.982]  And I literally have 15, 20 clips, I mean, that are all just them foaming at the mouth at how we're going to send the military in and how we're going to take everything you've got and we're going to expand this now to anybody else protesting around the country.
[00:34:43.242 --> 00:34:45.925]  And then I've got other government ministers saying, this is good.
[00:34:46.165 --> 00:34:47.906]  We can't let people gather and talk.
[00:34:48.126 --> 00:34:50.228]  They'll hear information that's not official.
[00:34:50.628 --> 00:34:51.429]  That's a quote.
[00:34:52.590 --> 00:34:54.531]  And you're like, that sounds like Kim Jong Un.
[00:34:55.071 --> 00:34:55.412]  Yeah.
[00:34:56.533 --> 00:34:56.753]  Yeah.
[00:34:57.768 --> 00:35:01.311]  I mean, this is textbook B.S.
[00:35:03.733 --> 00:35:08.737]  And of course, there's all these fools on the left that think they're going to be protected and be part of this.
[00:35:09.458 --> 00:35:16.583]  The immoral, out-of-control, godless left has made its move against humanity, backed by the most ruthless, vicious corporations.
[00:35:17.574 --> 00:35:22.296]  Big, ruthless corporations found their minions that would take their 20 pieces of silver.
[00:35:22.316 --> 00:35:23.916]  So let me just show you some headlines here.
[00:35:24.436 --> 00:35:27.217]  And then later in the next hour, I want to get into Russia, I want to get into the Durham investigation.
[00:35:27.237 --> 00:35:31.079]  I've got exclusive information on that, by the way.
[00:35:31.099 --> 00:35:34.800]  Sometimes I just marvel at all the connections we've got.
[00:35:35.140 --> 00:35:36.360]  God put us in this place.
[00:35:37.041 --> 00:35:40.182]  I get more humble as our influence increases.
[00:35:44.352 --> 00:35:45.392]  I know more than most U.S.
[00:35:45.412 --> 00:35:45.813]  Senators.
[00:35:46.573 --> 00:36:14.342]   I'm dialed in to basically all the good guys, and it's been because I've been on there 28 years, and I've been trained by the position that God put me in, and all glory goes to God, but it is amazing, and it's very, very daunting, and I don't feel worthy, but I do need to tell the listeners that you financing, and your word of mouth, and your prayer, you betting on this operation Has changed the damn world for the better!
[00:36:14.882 --> 00:36:15.602]  In a big way!
[00:36:16.483 --> 00:36:21.204]  I mean, I'm gonna just be point-blank with you, and everybody knows this now, it's not something that's exaggerating.
[00:36:21.644 --> 00:36:27.166]  Without InfoWars, we'd be in a lot worse shape, and we have turned the tide, at least in the awakening.
[00:36:27.807 --> 00:36:35.950]  Doesn't mean we're gonna win the war in this phase, but we have turned the tide, this broadcast, all of us together, we have done it!
[00:36:38.171 --> 00:36:42.189]   And that's recognized By all the who's who's, folks.
[00:36:42.310 --> 00:36:42.590]  U.S.
[00:36:42.650 --> 00:36:43.150]  Senators.
[00:36:43.790 --> 00:36:44.630]  Joe Rogan.
[00:36:45.230 --> 00:36:46.211]  Tucker Carlson.
[00:36:46.431 --> 00:36:47.471]  And the list goes on and on.
[00:36:47.791 --> 00:36:48.952]  And so I've been persecuted.
[00:36:49.532 --> 00:36:50.452]  I've been attacked.
[00:36:51.132 --> 00:36:53.253]  You know 10% of the stuff's been done to us, folks.
[00:36:53.693 --> 00:36:54.793]  And I'm not a victim.
[00:36:55.013 --> 00:36:55.714]  I'm not whining here.
[00:36:55.754 --> 00:36:56.654]  I'm actually proud of it.
[00:36:57.074 --> 00:37:01.596]  And when stuff hurts and stuff's horrible and stuff's embarrassing and stuff's painful, I just go, well you asked for this!
[00:37:01.956 --> 00:37:04.176]  You asked God to set you up to fight evil!
[00:37:04.516 --> 00:37:05.957]  You asked for it and you got it!
[00:37:07.188 --> 00:37:08.708]  That's exactly what I intend to do.
[00:37:08.788 --> 00:37:16.910]  I'm never backing down to these people because now I would have never given up even if we were going to lose because God is testing us and we're eternal.
[00:37:17.470 --> 00:37:19.131]  And this is just a battle, not the war.
[00:37:20.151 --> 00:37:32.814]  But we, in our own lifetimes, can see beautiful people of every race, color, and creed coming together and seeing through the most vile, corrupt, oppressive, brainwashing, and satanic lies that this planet has ever seen.
