[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[37:21.000 --> 37:25.000]  It doesn't work. So they just made this assertion and you couldn't really prove them wrong.
[37:25.000 --> 37:33.000]  But they went through and they looked at a whole bunch of data, hundreds of thousands of people, and they actually found that severe COVID didn't happen in unvaccinated people.
[37:33.000 --> 37:41.000]  It only happened in vaccinated people. So that was the severing of that last thread of justification for the COVID vaccine.
[37:41.000 --> 37:52.000]  But again, that didn't stop them. Now they're pushing it on children. But she made another claim there. She used another term that I'd like to drill down on, and that was the rigorous testing.
[37:52.000 --> 37:59.000]  Oh, rigorous, was it? Was it rigorous? Maybe this is another word that they've changed the definition for. I don't know.
[37:59.000 --> 38:20.000]  Because the Hart Organization, H-A-R-T, came out with this video about the method by which these vaccines were tested and the absolute failure for these tests to adhere to any sort of scientific discipline or principles or legitimacy.
[38:20.000 --> 38:27.000]  So let's hear now how these tests went when they were testing the vaccine to see if it could be injected in little children.
[38:27.000 --> 38:37.000]  They got 4,500 kids together to test on. That's a pretty big sample size. Let's see how it worked out. Here's a doctor from the Hart Foundation to tell us.
[38:37.000 --> 38:50.000]  I'm Dr Claire Craig. I'm a diagnostic pathologist and I am co-chair of the Hart Group. And I wanted to take you through the evidence that Pfizer just presented to the FDA on the six months to four year old children.
[38:50.000 --> 38:55.000]  There's an awful lot about this trial that has shocked me and I think will shock you too.
[38:55.000 --> 39:12.000]  The trial recruited 4,526 children aged from six months to four years old. 3,000 of these children did not make it to the end of the trial. That is a huge number. Two thirds of them. Why was there this drop off?
[39:12.000 --> 39:18.000]  That needs to be answered. And without an answer to that, on that basis alone, this trial should be deemed null and void.
[39:18.000 --> 39:28.000]  So what did the trial show? Well, they defined severe COVID as children who had a slightly raised heart rate or a few more breaths per minute.
[39:28.000 --> 39:36.000]  There were six children aged two to four who had severe COVID in the vaccine group, but only one in the placebo group.
[39:36.000 --> 39:50.000]  So on that basis, the likelihood that this vaccine is actually causing severe COVID is higher than the likelihood that it is. There was actually one child who was hospitalized in this trial. They had a fever and a seizure.
[39:50.000 --> 40:00.000]  They had been vaccinated. So now let's turn to what they defined as any COVID. And what they did was to utterly twist the data.
[40:00.000 --> 40:06.000]  They vaccinated the children and they waited three weeks after the first dose before the second dose.
[40:06.000 --> 40:22.000]  In that three week period, 34 of the vaccinated children got COVID and only 13 in the placebo group, which worked out as a 30% increased chance of catching COVID in that three week period if you were vaccinated.
[40:22.000 --> 40:33.000]  So they ignored that data. And then there was an eight week gap between the second dose and the third dose, where again, children were getting plenty of COVID in the vaccine arm. So they ignored that data.
[40:33.000 --> 40:43.000]  There was then seven weeks after the third dose, which they also ignored, which meant that in the end they had ignored 97% of the COVID that occurred during the trial.
[40:43.000 --> 40:53.000]  And they just looked at tiny numbers, so tiny. In the end, they were comparing three children in the vaccine arm who had COVID with seven in the placebo arm.
[40:53.000 --> 40:58.000]  And they said that this showed the vaccine was effective.
[40:58.000 --> 41:14.000]  That was the rigorous testing that it went through. Totally insane that it actually went forward. But of course, what you just heard and the description of the way that this test was carried out is not very different than the original tests for the vaccines for adults.
[41:14.000 --> 41:30.000]  And you can go back and see the way that these tests were carried out to recognize once again, they were more or less completely, if not falsified, very bent in their interpretation of the information. And yet the FDA unanimously approves it.
[41:30.000 --> 41:52.000]  It really should make you start asking questions as to whose interests they have in mind. Is this the type of thing that your pediatric doctor would push on your child with these very, very strange testing procedures that are taking place?
[41:52.000 --> 42:04.000]  You really have to spread that video, get that out, and let people know that that is the type of testing that's done before they inject something into your child's arm.
[42:04.000 --> 42:11.000]  It's, in my opinion, criminal. Completely criminal in the way it's all come together.
[42:11.000 --> 42:33.000]  But of course, we've been on this for the entire time. We have been warning people about the inevitable consequences of all of these policies since it all began. And I hope that you can support our mission to continue to tell the truth and continue to search out the facts in a sea of misinformation and lies that we are continually served by the mainstream media.
[42:33.000 --> 42:46.000]  If you want to support us, we make it easy to do. Go to infowarstore.com, make a purchase, get Survivor Shield X2. It's now on sale for 40% off. You can get it in a combo pack, three items for 50% off, or four items for 60% off.
[42:46.000 --> 42:59.000]  Buy more, you save more in a very real sense. And of course, you never know what Survivor Shield X2 is going to do for you. It's different for every person, but we know you're probably lacking iodine. You can get it, Survivor Shield X2.
[42:59.000 --> 43:07.000]  Ladies and gentlemen, in the last 30 months, we've witnessed the globalists hit humanity and hit humanity extremely hard.
[43:07.000 --> 43:17.000]  It is beyond critical that everyone listening to the sound of my voice protect yourselves and your families to the greatest extent possible. And these two new sales do that.
[43:17.000 --> 43:30.000]  We have the ultimate immune support, 60% off when you get these four items together. The immune support, X2, D3 gummies, and multivitamin. The immune support formula is incredible by itself.
[43:30.000 --> 43:45.000]  These other three together, it is amazing. 60% off. Then the Trafecta immune support, 50% off on immune support, X2, and D3 gummies. And then 40% off on X2, now back in stock at infowarstore.com.
[43:45.000 --> 44:03.000]  Now, just the X2 alone is the missing link with most people. Highest quality deep breath crystal iodine beyond critical for immune system in your whole body. It's 40% off back in stock, but get four of the products together for 60% off.
[44:03.000 --> 44:16.000]  Granny do right. Granny do right. Thanks for holding her on the ear. Go ahead.
[44:16.000 --> 44:34.000]  Thank you.
[44:34.000 --> 44:53.000]  Well, maybe that's what I need to do because I just thought it was a hopeless situation. But when I started taking it, I mean, it doesn't happen immediately. But, you know, over a period of time, I started noticing, okay, you know, this is a ticket, this is working, this is wonderful, you know, I don't have to put on derma blend anymore, you know.
[44:53.000 --> 44:59.000]  So anyway, it worked wonderfully and it really has totally cleared up my skin.
[44:59.000 --> 45:09.000]  Climb to the top of the food chain with alpha power by info wars life. For those who want to increase testosterone and energy levels.
[45:09.000 --> 45:24.000]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1 to 2% per year. This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
