[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[00:26:25.461 --> 00:26:30.904]  So the good news is the American people are waking up and seeing through this more and more.
[00:26:30.984 --> 00:26:45.112]  And when you've got all these Washington Post and New York Times and Financial Times and London articles about dictatorship's good, we need to get rid of the people actually running things.
[00:26:49.116 --> 00:26:50.437]  Isn't that just amazing?
[00:26:51.037 --> 00:27:01.922]  And then, oh, Alex Jones thinks there's a one world government that wants to cut off your resources and forcibly inoculate you and is going to use AI computers and cameras to track and trace everything you do.
[00:27:03.903 --> 00:27:12.267]  They still write articles every day saying, I'm evil and none of us exist.
[00:27:12.587 --> 00:27:17.510]  And look, if you say it, we're going to sue you and rig the courts and destroy you and silence you.
[00:27:19.693 --> 00:27:30.481]  So that when people see world government being announced, and, oh, it's going to be post-human, and, oh, we're going to take over your body, people go, well, I better not criticize it.
[00:27:30.802 --> 00:27:32.523]  I mean, I'll end up like Alex Jones.
[00:27:32.903 --> 00:27:35.906]  Hell, you'll end up like people starving to death all over the world.
[00:27:39.509 --> 00:27:53.144]   And I look at these globalist sacks of garbage, how they sit up there and just throw this in everybody's face, and they think it's so funny, and it's so cute, and they worship Madeline Albright.
[00:27:53.144 --> 00:28:04.285]   Hey, was it good that you tripled the sanctions of Herbert Walker Bush under Clinton and that directly killed 500,000?
[00:28:04.313 --> 00:28:05.653]  Is that a good price to pay?
[00:28:06.234 --> 00:28:07.575]  She goes, yeah, it's a good price to pay.
[00:28:07.595 --> 00:28:07.995]  Do it again.
[00:28:09.336 --> 00:28:11.237]  It's like, oh, you're a woman!
[00:28:11.457 --> 00:28:12.317]  Oh my God!
[00:28:13.778 --> 00:28:15.239]  You're so wonderful!
[00:28:15.299 --> 00:28:18.181]  We have to bow down to you because you look like a goblin!
[00:28:20.943 --> 00:28:26.505]  Oh, and she bombs Serbia and blows up half their major cities with depleted uranium bombs.
[00:28:26.585 --> 00:28:28.646]  It's like, oh, it's liberal!
[00:28:31.687 --> 00:28:37.729]  And the Serbs even said at the time to her, they said, why are you doing this when you escaped with your father from Nazi Germany?
[00:28:39.569 --> 00:28:41.730]  During World War II, we hid you and protected you.
[00:28:43.271 --> 00:28:45.191]  And she responded by bombing them later.
[00:28:47.112 --> 00:28:48.292]  Of course, it was on 60 Minutes.
[00:28:48.672 --> 00:28:49.993]  People saw the paintings.
[00:28:51.889 --> 00:28:57.872]  Her house is full of stolen paintings from Jews rounded up and killed by the Nazis.
[00:28:58.252 --> 00:28:58.753]  Famous ones!
[00:28:59.713 --> 00:29:12.359]  Because that's what her father did, like George Soros, when he was older, was he was a Jew that rounded up Jews and robbed them and told them he was going to get them out of the country and then... Dead.
[00:29:14.080 --> 00:29:21.930]   These are some really, really, really, Really evil people, folks.
[00:29:23.111 --> 00:29:24.052]  Wanna know who you're up against?
[00:29:24.072 --> 00:29:30.478]  It's people just like her, now burning in hell.
[00:29:32.479 --> 00:29:43.229]  So I'm gonna give the number out, and I'm gonna take your calls today on the war, on the new COVID lockdowns they're definitely trying to bring back, on what's happening in the economy, how you're dealing with inflation.
[00:29:45.084 --> 00:29:49.589]  I really don't want to sit here and, you know, bore you with poor Alex Jones, what's happening to me.
[00:29:49.649 --> 00:30:01.702]  But I mean, I can tell you, folks, I've gone out and talked to separate third party, big, famous law firms, and they don't believe the rulings and the things being done in Connecticut and Texas.
[00:30:05.922 --> 00:30:15.687]  The proposal for the trial coming up in a week and a half, two weeks, jury selections next week in Texas for one of three lawsuits they've got against me here.
[00:30:16.827 --> 00:30:24.331]  The first Sandy Hook one says we are not allowed to raise the First Amendment or any defenses or talk basically.
[00:30:28.356 --> 00:30:29.676]  The jury's told I'm guilty.
[00:30:30.057 --> 00:30:30.957]  We can't respond.
[00:30:31.257 --> 00:30:33.037]  And then they sit there and tell him he's got $200 million.
[00:30:33.258 --> 00:30:35.378]  And he made all his money off Sandy Hook.
[00:30:35.898 --> 00:30:36.759]  I've been to the depositions.
[00:30:37.099 --> 00:30:37.579]  Four of them.
[00:30:37.879 --> 00:30:40.380]  By the way, this week, they wanted me for another deposition.
[00:30:41.340 --> 00:30:42.240]  And so I said, OK.
[00:30:43.721 --> 00:30:51.203]  So they had a third party group that wanted to depose me, who's a party because of insurance companies and GCN and things.
[00:30:51.543 --> 00:31:04.220]   So it's the Connecticut Antigone Bloomberg Blumenthal lawyers at Blumenthal's son basically in there they run it and I come in the morning at 9 a.m.
[00:31:04.240 --> 00:31:21.081]   for the deposition and they go and then one of the other lawyers is oh I had something come up then they're like oh fine we'll just reschedule in two weeks but I try to reschedule when I had vertigo Dr. Marble thought it might be a heart problem when it got checked out.
[00:31:21.101 --> 00:31:21.961]  It was an infection.
[00:31:21.981 --> 00:31:23.723]  I go, hey, let me just reschedule next week.
[00:31:23.863 --> 00:31:25.344]  Oh my God, we'll arrest you!
[00:31:25.364 --> 00:31:27.866]  You owe us all this money!
[00:31:27.886 --> 00:31:33.030]  $25,000 the first day, $50,000 the next day, $100,000 the next day, up to one point, whatever million.
[00:31:33.070 --> 00:31:37.234]  I'm just like... They treat me like I'm Daddy Warbucks.
[00:31:38.732 --> 00:31:39.613]  Like I'm Howard Hughes.
[00:31:39.653 --> 00:31:44.136]  They treat me like I just bathe in gold like Scrooge McDuck.
[00:31:44.336 --> 00:31:47.338]  They treat me like I'm Lex Luthor and a child molester mixed together.
[00:31:48.179 --> 00:31:50.140]  And it's all just completely insane!
[00:31:51.421 --> 00:31:54.844]  And that's the model for everybody else.
[00:31:56.167 --> 00:32:00.511]  And it's scary to see it happening and to watch it going on.
[00:32:00.591 --> 00:32:11.201]  So I'm trying to get into federal court, probably won't even be able to, just to swear under federal court and they'll send a trustee to look at everything and know we're not lying about not having, because I mean, again.
[00:32:13.396 --> 00:32:17.539]  They have HBO, they have Netflix, all of them coming to try to film this trial next week.
[00:32:17.599 --> 00:32:19.220]  The judge is combing her hair and primping.
[00:32:19.561 --> 00:32:27.346]  They admit it's all about media and all about being famous and all about making money off me, while claiming I made money off them, which isn't even true.
[00:32:29.088 --> 00:32:32.810]  And then you know I'm going to get subpoenaed in order to sit there like a monkey.
[00:32:34.191 --> 00:32:36.053]  But then I'm not allowed to talk?
[00:32:37.793 --> 00:32:40.315]  I've got a whole list of things that I can't talk about.
[00:32:41.096 --> 00:32:45.159]  The First Amendment, or how I didn't damage these people, or any of this stuff.
[00:32:45.879 --> 00:32:48.121]  I mean, you read this, it's like a Monty Python joke.
[00:32:49.102 --> 00:32:51.243]  It makes the trial in idiocracy look fair.
[00:32:52.704 --> 00:32:54.886]  And again, this is your freedoms.
[00:32:55.106 --> 00:32:57.328]  They're not going to just stop with censoring you off the web.
[00:32:57.348 --> 00:32:59.189]  They're not going to just stop with taking your bank accounts.
[00:32:59.409 --> 00:33:02.972]  They're going to take all your freedoms, folks, and throw you in a gulag.
[00:33:03.192 --> 00:33:05.454]  And we're not approaching that.
[00:33:05.594 --> 00:33:06.375]  We're here.
[00:33:09.338 --> 00:33:19.648]  Hundreds of peaceful people that didn't even touch a cop on January 6th are still in prison, still in jail, in solitary confinement, and they aren't even getting trials.
[00:33:21.549 --> 00:33:29.737]  The law about speedy trials is just being totally ignored because the IQs are dropping, the society is falling apart, things are breaking down.
[00:33:32.820 --> 00:33:34.942]  And you know it's just going to get more intense and more insane.
[00:33:36.800 --> 00:33:43.886]  From this point out, and we're under judgment, and you know, I'm not perfect either, but my God, I'm trying to get close to the God.
[00:33:44.846 --> 00:34:01.520]  I mean, I'm trying to just say, hey, you know, I want to have a civilization, I want a safe place for my children, and I don't want a bunch of wars, and I don't want a bunch of death, and I don't want all this pedophilia, and I want due process, and the system is, you're going to get evil, and that's the end of it.
[00:34:02.705 --> 00:34:14.531]  We're going to brainwash children, we're going to sterilize them, we're going to open the borders, we're going to child traffic, we're going to devalue your currency, Hollywood's going to wage war on you, and I just sit back and I watch this going into oblivion.
[00:34:15.792 --> 00:34:19.293]  Ladies and gentlemen, we're going to be taking your phone calls coming up in the next segment.
[00:34:19.313 --> 00:34:26.217]  I have some really good news I'm going to be getting to as well on the DeSantis front and a lot more.
[00:34:28.086 --> 00:34:29.587]  Let me go ahead and just do this now.
[00:34:30.328 --> 00:34:31.809]  I'm going to tape this live on air.
[00:34:32.429 --> 00:34:40.835]  So we have a four minute ad that we can run during all the shows to hopefully get the support in to be able to operate into the future.
[00:34:41.476 --> 00:34:44.518]  And that way I won't need to plug later in the hour.
[00:34:44.538 --> 00:34:46.740]  We can just get to a lot of your calls and cover all this news.
[00:34:49.201 --> 00:34:51.103]  So get the live show feed article ready for me guys.
[00:34:51.143 --> 00:34:51.403]  Thanks.
[00:34:52.464 --> 00:34:52.704]  Okay.
[00:34:55.714 --> 00:34:59.316]  Ladies and gentlemen, we have had quite a run here at InfoWars.
[00:34:59.976 --> 00:35:05.078]  We've had a huge, huge effect when it comes to the fight against the globalists.
[00:35:06.119 --> 00:35:07.420]  And we've changed the world together.
[00:35:08.440 --> 00:35:18.605]  And I want to thank you for all you've done over the years with your prayers, your word of mouth, and shopping with us, and supporting us, while at the same time getting great products at InfoWarsStore.com.
[00:35:19.952 --> 00:35:38.505]  But now because of supply chain breakdowns and now because of all the Democratic Party funded lawsuits and the slanted nature of those attacks, we are maxed out and pushed up against the wall, just like America's pushed up against the wall.
[00:35:38.625 --> 00:35:39.706]  And we're being bullied.
[00:35:39.726 --> 00:35:43.629]  We're being brutalized by the special interests that want to get through us.
[00:35:44.687 --> 00:35:45.728]  To be able to get to you.
[00:35:45.808 --> 00:35:54.636]  So if we put today's live show headline up on screen for TV viewers, and ask the question, did Alex Jones Infowars declare bankruptcy?
