[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[00:26:26.910 --> 00:26:27.871]  You know, poor Texas towns.
[00:26:28.351 --> 00:26:40.159]  And so everything they say for us, it's different from them, and it really is just a very evil, corrupt, selfish worldview, and folks don't have to be rocket scientists to understand.
[00:26:40.699 --> 00:26:50.383]   If somebody's trying to cut off all the major farms in the world that aren't corporate-owned, if somebody's trying to make you eat synthetic gruel. If somebody's trying to make you drink sewage
[00:26:50.383 --> 00:26:54.142]   water and saying you'll own nothing, you'll have nothing, you'll be happy.
[00:26:54.142 --> 00:26:59.241]   If somebody's saying the age of humans being here is over, the post-human age is
[00:26:59.241 --> 00:27:02.952]   here, that's in the Wall Street Journal, that's in the New York Times. This is
[00:27:02.952 --> 00:27:09.402]   a sick, disconnected elite that disdain us and project their own hatred of
[00:27:09.402 --> 00:27:15.113]   themselves onto us who have appointed themselves as God and they literally would
[00:27:15.113 --> 00:27:22.232]   make Hitler blush in how widespread and how wide-reaching their actual battle
[00:27:22.232 --> 00:27:23.883]  plan is.
[00:27:22.241 --> 00:27:25.682]  And what's insane, Charlie, is they're actually implementing it right now.
[00:27:25.762 --> 00:27:34.427]  We've left BETA in the New World Order, Agenda 21, George Herbert Walker Bush, 1992, Rio de Janeiro, everything they called for, by the year 2020, they did.
[00:27:35.882 --> 00:27:37.463]  They were a little bit behind but almost got there.
[00:27:38.044 --> 00:27:39.746]  Now they're accelerating into 2030.
[00:27:40.066 --> 00:27:46.972]  So don't believe me, they get up and say, great reset, build back better, agenda 2030, and go read the agenda 2030 plan.
[00:27:47.373 --> 00:27:54.860]  It is biomedical tyranny, forced inoculations, carbon rations, food rations, carbon lockdowns.
[00:27:55.360 --> 00:27:58.523]  And they said last year, we don't care if you don't like carbon lockdowns.
[00:27:58.903 --> 00:28:01.346]  We're not going to have to actually tell you you can't drive your car.
[00:28:01.966 --> 00:28:05.509]  Or you can't go to the store, you won't have the money for the energy.
[00:28:05.729 --> 00:28:17.677]  But who does have the energy is the third world and authoritarian countries, the globalists, these big corporations control, these crony capitalists, these middlemen that Trump talked about that are destroying the middle class worldwide to consolidate power.
[00:28:18.278 --> 00:28:20.159]  China builds new coal power plants every week.
[00:28:20.539 --> 00:28:21.760]  India builds them every few weeks.
[00:28:22.080 --> 00:28:23.501]  Mexico builds them every few weeks.
[00:28:23.802 --> 00:28:25.743]  But we've had over a thousand shut down here.
[00:28:26.243 --> 00:28:35.028]   They could build Again, hundreds and hundreds of new coal power plants, and it wouldn't pay for 30% of the electric cars they claim they're going to put on the road.
[00:28:35.388 --> 00:28:36.409]  Scientists have broke it down.
[00:28:36.769 --> 00:28:52.421]  There's not enough rare earth minerals in the world to actually make half the cars in the world by 2030 go to battery-driven, even though they're toxic and don't work, and most of the energy that gets delivered to the batteries comes from a type of carbon.
[00:28:52.842 --> 00:28:53.742]  It's all a lie.
[00:28:53.782 --> 00:29:00.011]   They're telling us they're replacing The old, quote, dirty system was something new, but they are not replacing it.
[00:29:00.311 --> 00:29:01.093]  It isn't going to work.
[00:29:01.333 --> 00:29:02.215]  It's not designed to work.
[00:29:02.315 --> 00:29:06.742]  Spain, a decade ago, was the first country to implement the windmills and all this crap.
[00:29:07.163 --> 00:29:09.868]  And they are in a sustained depression now.
[00:29:12.185 --> 00:29:13.626]  So I want to plug Alex's book here.
[00:29:13.667 --> 00:29:14.848]  We have it, The Great Reset.
[00:29:14.888 --> 00:29:16.970]  If you guys don't have a copy yet, you guys can get it.
[00:29:17.430 --> 00:29:22.896]  So Alex, I want you to dive a little bit deeper into part of what you mentioned, which is immigration.
[00:29:23.376 --> 00:29:26.559]  So what role does foreign policy also play in this?
[00:29:27.420 --> 00:29:33.466]   For example, it seems as if the Davos crowd was very much behind Intervening in the Ukraine war.
[00:29:33.566 --> 00:29:35.327]  Getting behind Zelensky.
[00:29:35.627 --> 00:29:37.409]  This can be confusing for some people.
[00:29:37.449 --> 00:29:42.633]  Can you talk about how, you know, what happened in Ukraine was almost a proxy conflict in some sense.
[00:29:42.673 --> 00:29:48.258]  And not saying that in any way, shape or form, we're not denouncing what Vladimir Putin did when he invaded Ukraine.
[00:29:48.518 --> 00:29:54.863]  But why is it that all of a sudden there was tens of billions of dollars being spent from the West, nearly 70 or 80 billion dollars to Ukraine?
[00:29:55.123 --> 00:29:56.705]  How does that fit in the Great Reset?
[00:29:58.217 --> 00:29:59.218]  Well, absolutely, Charlie.
[00:29:59.338 --> 00:30:00.259]  I've never been to Russia.
[00:30:00.279 --> 00:30:01.260]  I'm not a Russophile.
[00:30:02.200 --> 00:30:06.064]  I know that Vladimir Putin is not a sweetie pie.
[00:30:06.084 --> 00:30:07.825]  Neither is Xi Jinping.
[00:30:07.925 --> 00:30:17.914]  That said, China has announced control of the whole South China Sea and is actually spying on us and infiltrating us and shipping fentanyl in.
[00:30:18.834 --> 00:30:22.838]  If Russia was doing any of that, I would be absolutely in Russia's face.
[00:30:22.878 --> 00:30:26.261]  The truth is, Russia is surrounded by the globalists and NATO.
[00:30:26.963 --> 00:30:28.985]  They overthrew the elected government eight years ago.
[00:30:29.385 --> 00:30:38.413]  I know guys that are my friends that have been over there the last eight years fighting and killing Russians in a proxy war with the US and NATO, and now that's official.
[00:30:39.113 --> 00:30:43.297]  And so they kept pushing the Russian border, they kept killing Russians in Russian...
[00:30:44.057 --> 00:30:46.238]  Areas that have been Russian since Russia was founded.
[00:30:46.578 --> 00:30:48.920]  Russia was founded in Ukraine a thousand years ago.
[00:30:48.940 --> 00:30:51.301]  Name basically translates to Slav, the Great.
[00:30:51.581 --> 00:30:54.002]  He was named Slav, so called himself Slavs.
[00:30:54.362 --> 00:30:57.324]  He was like an Orthodox Christian Bishop.
[00:30:58.244 --> 00:31:00.265]  And so, that's their birthplace.
[00:31:00.425 --> 00:31:01.066]  And so...
[00:31:02.288 --> 00:31:07.652]  If Russia had troops in northern Mexico, I would be saying, let's blow them up.
[00:31:08.152 --> 00:31:09.933]  I don't want war, but that would be provocation.
[00:31:10.714 --> 00:31:11.754]  This is a provocation.
[00:31:11.774 --> 00:31:16.097]  So you talk about foreign policy, foreign policy and immigration is everything.
[00:31:16.978 --> 00:31:23.782]  You have the IMF and World Bank saying, if you want these loans, you've got to not end your lockdown.
[00:31:24.531 --> 00:31:34.214]  And then when the lockdowns go on and on, people start starving to death and then the UN builds giant migrant processing centers where they put them on boats, airplanes, and buses.
[00:31:35.575 --> 00:31:38.896]  In some cases, they just walk across Central America.
[00:31:42.060 --> 00:31:44.580]  Southern North America, Mexico and into the US.
[00:31:44.580 --> 00:31:45.780]  And we've seen the numbers.
[00:31:45.780 --> 00:31:47.859]   I've talked to Border Patrol, but down there many times,
[00:31:47.859 --> 00:31:51.659]   just this year and last year, they estimate in Texas alone a month,
[00:31:51.659 --> 00:31:53.899]  over a million people they're not catching.
[00:31:53.899 --> 00:31:54.980]  So get that straight.
[00:31:54.980 --> 00:31:59.419]   I had Border Patrol tell me 12 million a year since Biden's got in.
[00:31:59.419 --> 00:32:04.180]  So that's 18, 19 million people so far to the Texas sector.
[00:32:04.180 --> 00:32:08.500]   And when they do catch them, they just send them on buses and dump them out
[00:32:08.500 --> 00:32:11.660]   wherever Democrats want and wherever they direct them around the country.
[00:32:11.720 --> 00:32:22.507]  So that is a direct effect of the globalist lockdown policy of the UN organizing those folks just like they brought in 15 million Muslims in the last decade.
[00:32:22.587 --> 00:32:32.274]  The same guy that ran the refugee resettlement program into Macedonia, into Greece, into Italy, into France, into Germany, into Spain.
[00:32:33.254 --> 00:32:38.057]   The same guy came and got the contract last year in Texas with these
[00:32:38.057 --> 00:32:43.718]   giant, there's more than 15, giant migrant centers on the border that hold more than 20,000
[00:32:43.718 --> 00:32:44.586]  people a piece.
[00:32:44.586 --> 00:32:48.048]  Football field after football field after football field.
[00:32:48.048 --> 00:32:51.198]   Of course, they don't want that in Martha's Vineyard, they want it here. Then they
[00:32:51.198 --> 00:32:56.047]   deploy those people, they get them a job, they make them pay part of the money back to Democratic
[00:32:56.047 --> 00:33:02.178]   Party front groups and foundations, and then they also put them on welfare and then make them
[00:33:02.178 --> 00:33:06.507]   give them, and these investigations have come out about half their paycheck.
[00:33:06.617 --> 00:33:14.642]  So these are slaves, refugees of globalism, refugees of the Great Reset, refugees of the COVID lockdowns, being brought into the U.S., brought into Europe.
[00:33:14.782 --> 00:33:16.544]  It's the same system in Europe, same system here.
[00:33:16.864 --> 00:33:24.728]   They're given a cell phone and they're given an ID system that is then skimmed It's like NGOs skim off the homeless groups.
[00:33:25.308 --> 00:33:30.173]  That's why they promote the homelessness, ship the fentanyl in, give them all the drugs, tell the police don't stop them.
[00:33:30.974 --> 00:33:46.568]   So it's a lifestyle choice to go take fentanyl or sit around drinking all day or taking heroin or whatever the drug is they're on because the left is siphoning off and skimming off the money off the top of that and farming illegal aliens Farming the child traffic slaves.
[00:33:46.948 --> 00:33:48.569]  Farming the human traffic.
[00:33:49.009 --> 00:33:53.390]  Farming the fentanyl hobos and drug addicts.
[00:33:53.750 --> 00:33:54.370]  This is the plan.
[00:33:54.390 --> 00:33:55.270]  Now moving back to Ukraine.
[00:33:55.290 --> 00:33:57.311]  I guess that was your central question.
[00:33:58.151 --> 00:34:01.712]  We know now it's almost 70 billion dollars since February.
[00:34:02.572 --> 00:34:11.373]  That's just six months, folks, that's been pumped into Ukraine and almost all of it gets siphoned back into Democrat Party coffers.
[00:34:12.094 --> 00:34:15.635]   And so we always hear about How money gets siphoned off to Israel.
