[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[00:25:53.314 --> 00:26:00.397]  He's going to teach you how to be avant-garde, and he's going to teach you God doesn't exist.
[00:26:02.178 --> 00:26:05.079]  That Satanism is not really about hurting children.
[00:26:05.318 --> 00:26:12.318]  They just want to have a relationship with children.
[00:26:12.318 --> 00:26:15.318]  Let me read to you from Ephesians again.
[00:26:15.403 --> 00:26:17.444]  I'm going to play the Tucker Carlson clip next segment.
[00:26:20.065 --> 00:26:21.566]  The fruitless works of darkness.
[00:26:22.793 --> 00:26:29.235]  You know, I mean, the truth is there's side effects and problems, but they've been testing for 20 years, mRNA stuff.
[00:26:29.355 --> 00:26:31.436]  And I mean, it like cures cancer and stuff.
[00:26:31.896 --> 00:26:35.177]  Problem is 3, 4, 5% of the time it liquefies your liver.
[00:26:35.217 --> 00:26:38.538]  They don't, they're not really sure why, but your body just goes, what the hell is this?
[00:26:39.418 --> 00:26:40.978]  But yeah, no, they've got the fountain of youth.
[00:26:43.059 --> 00:26:52.835]   But if you drink from the wrong cup, just like in, uh, The third installment of Indiana Jones that was so cheesy, but you pick the wrong cup, it gives you death.
[00:26:55.658 --> 00:26:59.701]  I mean, this is godlike power, and they don't know how it works.
[00:26:59.741 --> 00:27:01.142]  That's why they want to test it all on us.
[00:27:01.503 --> 00:27:03.044]  This isn't just vaccines you're being given.
[00:27:03.304 --> 00:27:04.005]  You're being tracked.
[00:27:04.025 --> 00:27:04.645]  You're being traced.
[00:27:04.665 --> 00:27:05.246]  It's what's done.
[00:27:06.081 --> 00:27:14.563]  With your name and number, and at big injection facilities run by the military and by big giant groups that really aren't even private companies like Walmart and others.
[00:27:14.903 --> 00:27:18.865]  Because you're being put in a database, you're being given specific injections.
[00:27:21.885 --> 00:27:25.226]  You're being tracked, you're being given all sorts of mutagens.
[00:27:25.266 --> 00:27:28.767]  And by the way, this came out in, what was it, Lithuania last week.
[00:27:28.807 --> 00:27:47.396]   They had their chief medical officer of the country And then some of the adjuncts came out as well, and they said, listen, we've gotten the batches these come in, we're supposed to put it in a computer, and one is saline, one is the vaccine's bad enough, and one says mutagenic.
[00:27:48.496 --> 00:27:50.858]  They're giving you mutant shots to see what it does!
[00:27:53.059 --> 00:27:54.820]  And we know with Pfizer, it's...
[00:27:56.658 --> 00:27:57.998]  Immortal cell line stuff.
[00:27:58.099 --> 00:28:00.839]  And if you don't know what immortal cell lines are, it's super cancer.
[00:28:01.420 --> 00:28:02.700]  Like Superman isn't real.
[00:28:03.020 --> 00:28:04.121]  Krypton's not real.
[00:28:04.981 --> 00:28:05.961]  But this is real.
[00:28:06.321 --> 00:28:11.343]  You can put immortal cell lines in a Petri dish and come back five years later, it's still alive with no food.
[00:28:12.443 --> 00:28:13.444]  You got to burn it to kill it.
[00:28:13.464 --> 00:28:14.264]  It's basically a vampire.
[00:28:14.984 --> 00:28:16.165]  And they'll divide forever.
[00:28:16.425 --> 00:28:17.065]  They never die.
[00:28:18.185 --> 00:28:19.766]  The telomeres don't ever go away.
[00:28:21.175 --> 00:28:25.416]  And they claim they found five people worldwide that had this, but it's more than that.
[00:28:25.556 --> 00:28:27.297]  That's why they take blood at birth from babies.
[00:28:27.357 --> 00:28:38.861]  And, oh, we're sending it for a blood test to make sure your child doesn't have a deficiency in vitamin K. We first broke it from a nurse at the big research facility at San Antonio.
[00:28:39.301 --> 00:28:40.621]  What's the name of the facility?
[00:28:41.642 --> 00:28:42.422]  Fort Sam Houston.
[00:28:43.322 --> 00:28:44.362]  And she gave us the documents.
[00:28:44.443 --> 00:28:44.643]  It broke.
[00:28:44.683 --> 00:28:59.493]   There were a bunch of lawsuits that came out in the news after that in Texas and Minnesota that They were doing all of this, and that they were keeping the baby's blood in a Pentagon database, and doing all sorts of other stuff.
[00:28:59.894 --> 00:29:01.976]  But the point is, that's incredibly valuable.
[00:29:01.996 --> 00:29:12.326]  Because they get those blood samples, because it could be white people, Hispanics, blacks, anybody can have this, but it's like, it's one of the rarest things in the universe.
[00:29:12.987 --> 00:29:13.167]  Okay?
[00:29:14.068 --> 00:29:18.810]  And then they get those cells and they go culture them at a giant Manhattan Project level thing.
[00:29:19.030 --> 00:29:21.211]  You know, this has got to be a hundred times bigger than Manhattan Project.
[00:29:21.271 --> 00:29:25.112]  I mean, just this project of testing all the blood of all the babies born is just gigantic.
[00:29:25.572 --> 00:29:28.654]  And they go and they test it and they see, did we get another immortal?
[00:29:30.814 --> 00:29:32.435]  And this isn't a Netflix show, folks.
[00:29:32.294 --> 00:29:39.294]  This is real immortal cells.
[00:29:39.294 --> 00:29:42.294]  Okay?
[00:29:42.600 --> 00:29:53.087]  I went and had a full genetic background done, and I don't have any immortal cells, but I've got 100% capacity mitochondria, which is 1 in 50 million, they estimate.
[00:29:53.107 --> 00:29:54.968]  That's why I'm always hot.
[00:29:55.029 --> 00:29:57.370]  That's why I can be in freezing cold, doesn't really make me cold.
[00:29:57.830 --> 00:30:00.532]  I have 100% functioning mitochondria.
[00:30:03.034 --> 00:30:05.496]  But then I have another mutation that blocks the absorption of energy.
[00:30:05.876 --> 00:30:08.298]  So I have maximum energy and then can't absorb energy.
[00:30:09.258 --> 00:30:11.720]  But whatever I get has maximum energy.
[00:30:12.697 --> 00:30:18.419]  What you can see in the physical manifestation of my body, of my earth suit, of what I do.
[00:30:19.319 --> 00:30:21.100]  Everything is an example of extreme energy.
[00:30:21.800 --> 00:30:22.540]  That's the cells.
[00:30:23.301 --> 00:30:24.201]  Not just this whole body.
[00:30:24.221 --> 00:30:25.401]  This whole body is my cells.
[00:30:25.701 --> 00:30:27.442]  And this whole thing is an engine.
[00:30:31.317 --> 00:30:34.699]  Designed for surviving in almost zero energy environments.
[00:30:35.340 --> 00:30:37.901]  And folks, all of you have spectacular things about you.
[00:30:38.181 --> 00:30:39.622]  These aren't diseases.
[00:30:40.203 --> 00:30:41.964]  These aren't bad things in your DNA.
[00:30:42.404 --> 00:30:51.650]  You are the components of all of us cellularly in a composite hive colony creature that has independent free will but is one colony.
[00:30:51.950 --> 00:30:53.091]  We are one colony.
[00:30:55.120 --> 00:31:01.282]  And we all have gifts in our genetics that can manifest in toxic environments to kill us early.
[00:31:02.523 --> 00:31:05.544]  But you take out the toxin, yeah, you're predisposed to lung cancer.
[00:31:05.724 --> 00:31:08.265]  And if you get around things that trigger that, you get lung cancer quicker.
[00:31:08.445 --> 00:31:12.647]  But it doesn't mean, it's like some people are predisposed to be able to lift more weight or kick more ass or...
[00:31:13.914 --> 00:31:15.075]  Be sweeter or be whatever.
[00:31:15.095 --> 00:31:16.416]  It's all genetic.
[00:31:16.756 --> 00:31:20.198]  And it's all the code God gave you through all your ancestors.
[00:31:20.218 --> 00:31:23.340]  So we can sit here and talk about the New World Order and the Satanists and all day.
[00:31:23.601 --> 00:31:25.142]  They're jokes, ladies and gentlemen.
[00:31:26.142 --> 00:31:29.905]  And they don't have any connection to download any of these big truths.
[00:31:30.225 --> 00:31:32.407]  And they're just pissed off that they're not part of the party.
[00:31:32.627 --> 00:31:35.809]  So they want to blow it all up and kill it because they're inferior.
[00:31:36.500 --> 00:31:48.405]  That's why they always tell you you're inferior, and you're failed, and you're a genetic monster, and you're this, and you're that, because they are angry that for whatever reason, they pulled the shortest straw.
[00:31:51.426 --> 00:31:54.447]  They're mad at God for, look what you did to me!
[00:31:54.648 --> 00:31:55.608]  Look what you made!
[00:31:55.948 --> 00:31:56.708]  Hey, sorry!
[00:31:57.909 --> 00:32:02.471]  For whatever reason, that's part of God's plan, and that's why you are a glow-in-the-dark Satanist.
[00:32:02.791 --> 00:32:03.851]  And I don't even hate you.
[00:32:04.231 --> 00:32:05.452]  I just want away from you.
[00:32:06.863 --> 00:32:14.511]  Whatever spiritual decisions you made, whatever your ancestors did, whatever it is about you, you ate the cheese.
[00:32:14.571 --> 00:32:20.137]  You went to the mousetrap of Satan, and you decided to get up there on the platform, and thought you were a winner, and you got CLACK!
[00:32:20.898 --> 00:32:28.807]  Your neck broken, and now as you're sitting there with your neck broken, Satan comes in and says, help me kill other baby mice, and I'll fix your neck.
[00:32:30.393 --> 00:32:31.373]  And you go, sure, fix my neck.
[00:32:31.914 --> 00:32:33.434]  But you don't really fix your neck, does it?
[00:32:33.454 --> 00:32:36.556]  Your head's all cockeyed, you're like walking around crapping on yourself.
[00:32:36.596 --> 00:32:38.436]  I mean, you're not really who you were, were you?
[00:32:39.277 --> 00:32:46.220]  And so these are the mysteries of God, and it's the one argument the Satanists have is, which I don't agree with, why would a God do stuff like this?
[00:32:46.260 --> 00:32:48.161]  Well, because God's lonely.
[00:32:48.421 --> 00:32:52.202]  I mean, what else can God do but create new entities that have free will?
[00:32:52.723 --> 00:32:54.063]  And, you know, I've got four children.
[00:32:54.083 --> 00:32:54.443]  They're great.
[00:32:54.463 --> 00:32:55.284]  They do some bad things.
[00:32:55.324 --> 00:32:55.944]  I get pissed at them.
[00:32:58.149 --> 00:33:00.831]  And none of my children have turned to Satan, thank the Lord.
[00:33:01.492 --> 00:33:02.453]  But I had them.
[00:33:03.273 --> 00:33:05.415]  I had children knowing they could turn to Satan.
[00:33:05.956 --> 00:33:07.697]  I had children knowing I'm giving them death.
[00:33:07.897 --> 00:33:09.078]  Giving them life is giving them death.
[00:33:09.959 --> 00:33:11.580]  When you have a child, you kill a child.
[00:33:11.620 --> 00:33:12.781]  You are bringing in somebody.
[00:33:12.961 --> 00:33:14.402]  That's a big ritual, isn't it?
[00:33:15.363 --> 00:33:17.825]  And these Satanists want you just to decide, oh, that's crap.
[00:33:18.085 --> 00:33:18.806]  None of that matters.
[00:33:18.826 --> 00:33:21.789]  Just be into yourself as if that's going to build a good world.
[00:33:22.049 --> 00:33:25.852]  Some self-centered idiot running around in a black outfit trying to act powerful.
[00:33:27.105 --> 00:33:28.986]  You Satanists have no idea about power.
[00:33:30.787 --> 00:33:31.508]  Ridiculous.
[00:33:32.188 --> 00:33:36.450]  If you ever even saw the edge of God, you'd never come back.
[00:33:37.571 --> 00:33:38.431]  But you're not meant to see it.
[00:33:38.471 --> 00:33:39.772]  That's why you will not cross the river.
[00:33:40.032 --> 00:33:40.573]  We'll be right back.
[00:33:40.593 --> 00:33:40.993]  Stay with us.
[00:33:41.873 --> 00:33:43.494]  We're gonna be white hot forever.
[00:33:44.775 --> 00:33:45.695]  Total completion.
[00:33:46.636 --> 00:33:47.316]  Timelessness.
[00:33:48.497 --> 00:33:49.818]  We're gonna be white hot forever.
[00:33:51.118 --> 00:33:51.919]  White hot forever.
[00:33:54.363 --> 00:33:56.944]  All right, I went into preacher mode, because that's what I do.
[00:33:58.404 --> 00:34:00.484]  I go where my brain's at, my soul's at.
[00:34:01.124 --> 00:34:03.905]  But next hour, I am going to not go into preacher mode.
[00:34:03.925 --> 00:34:06.926]  I'm going to go into analyst mode about where we are.
[00:34:06.986 --> 00:34:09.866]  But I don't think you really need me to tell you what's about to go down, do you?
[00:34:12.327 --> 00:34:15.508]  It's the best of times, the worst of times, as they said in the tale of two cities.
