[00:00:06.197 --> 00:00:07.687]  I'm not sure.
[01:40:54.068 --> 01:40:56.910]  Let's pull up his YouTube page.
[01:40:56.970 --> 01:40:58.431]  It's Legitimistic.
[01:40:59.720 --> 01:41:02.323]  And he's made a lot of videos about Watertown.
[01:41:02.363 --> 01:41:04.644]  He's got some other stuff on there.
[01:41:05.285 --> 01:41:06.206]  Lots of different things.
[01:41:06.446 --> 01:41:13.252]  And, you know, there's the, did I see Sunil Trafali, who was a guy that, you know, they said had nothing to do with this.
[01:41:13.312 --> 01:41:15.033]  And he thinks he may have seen him in custody.
[01:41:15.213 --> 01:41:15.834]  Who knows?
[01:41:16.595 --> 01:41:17.135]  Who knows?
[01:41:17.495 --> 01:41:18.877]  There was so much going on.
[01:41:20.498 --> 01:41:23.821]  But that's just one guy's perspective of the martial law.
[01:41:24.878 --> 01:41:28.960]  That he witnessed and, you know, he thinks it's martial law.
[01:41:29.000 --> 01:41:43.206]  He doesn't agree with MSNBC and the rest of the skexy media that this was not a, you know, for our safety and that everybody had permission to come in and that people didn't have guns pointed at them.
[01:41:43.226 --> 01:41:44.487]  They weren't coming out with their hands up.
[01:41:44.587 --> 01:41:46.468]  You know, he had his hands up going out the door.
[01:41:46.748 --> 01:41:48.849]  He was afraid to get shot in his own house.
[01:41:50.046 --> 01:41:52.267]  So hopefully people get in contact with him.
[01:41:52.287 --> 01:41:53.608]  He'll do some interviews.
[01:41:53.668 --> 01:41:58.872]  I saw one where he was walking around with his iPad, shooting some stuff, re-accounting.
[01:41:58.912 --> 01:42:01.233]  And, you know, he actually pulled a couple of his videos off.
[01:42:01.434 --> 01:42:05.616]  People were, the comments were so hateful for what he was saying.
[01:42:05.696 --> 01:42:09.059]  So anyway, that's our show for today.
[01:42:09.099 --> 01:42:10.780]  Thanks for David Knight for coming in earlier.
[01:42:10.800 --> 01:42:15.943]  And, you know, we're still slogging through those entries for the Paul Revere contest.
[01:42:17.324 --> 01:42:30.812]  You know, we said we were going to announce the winner July 4th, but it looks like that might be overshadowed by the big march that's going to go on starting in Arlington National Cemetery going towards the White House that Adam Kokesh has been organizing.
[01:42:31.632 --> 01:42:32.733]  Alex is going to be going there.
[01:42:32.753 --> 01:42:34.474]  It's a good chance I'll be there.
[01:42:34.494 --> 01:42:38.236]  I don't know who else he's going to bring with him, but, you know, that could be a big moment as well.
[01:42:38.556 --> 01:42:44.400]  You know, one of these catalytic moments that kicks off another round of, you know, police state insanity.
[01:42:45.447 --> 01:42:55.770]  And like I was telling Greg earlier, in 2009 I was at a park at University of Pittsburgh campus, several miles from where the G20 was being held.
[01:42:56.210 --> 01:43:02.031]  And there was a protest of about 50 people in a park protesting police brutality.
[01:43:03.071 --> 01:43:09.333]  And Luke Rudowski was there, some other people associated with We Are Change, Jason Burmess was there.
[01:43:10.982 --> 01:43:21.394]  And over the next hour, two hours, three hours, about 1,500 riot cops showed up in full riot gear to go after 50 people who were in a park.
[01:43:22.403 --> 01:43:25.024]  Talking about police brutality, ironically.
[01:43:25.444 --> 01:43:34.927]  They surrounded the park, they shot tear gas into them, got those guys out of there, and then the spectacle brought out all these students from around the area.
[01:43:34.967 --> 01:43:37.568]  These kids walking around in boxer shorts and t-shirts.
[01:43:38.368 --> 01:43:44.290]  And this was, you know, early, this was late September, September 29th, I believe is the exact date, 2009.
[01:43:46.090 --> 01:43:49.572]  And then they proceeded to practice kettling maneuvers on the students.
[01:43:49.893 --> 01:43:53.475]  And I actually got caught up in that and ended up getting arrested that night.
[01:43:54.856 --> 01:43:55.677]  Just for doing my job.
[01:43:56.847 --> 01:44:01.709]  And the police state, it knows no bounds, and it's going to keep continuing.
[01:44:01.729 --> 01:44:09.592]  This is just the latest step in it, and that we're chronicling here at InfoWars.com and InfoWarsNightlyNews and PrisonPlanet.tv.
[01:44:09.892 --> 01:44:13.854]  If you're watching this on YouTube, please consider becoming a member of PrisonPlanet.tv.
[01:44:14.214 --> 01:44:15.655]  We have a 15-day free trial.
[01:44:16.175 --> 01:44:16.595]  There you go.
[01:44:16.615 --> 01:44:18.796]  There's victims of martial law in Boston speak-outs.
[01:44:19.076 --> 01:44:19.616]  There it is.
[01:44:19.656 --> 01:44:21.117]  That's Dan Badondi's report.
[01:44:22.321 --> 01:44:23.663]  You know, we have a 15 day free trial.
[01:44:23.683 --> 01:44:32.532]  You can give your password and username and up to 11 of you and your friends could be on it at the same time with that username and passcode.
[01:44:32.552 --> 01:44:37.457]  So spread the information, spread it while it's still there because they could lock down the Internet at any time.
[01:44:37.758 --> 01:44:38.499]  And when that happens,
[01:44:39.770 --> 01:44:40.971]  We're going to hard copy.
[01:44:41.111 --> 01:44:47.997]  That's why we have the InfoWars magazine, which probably by this time that I think it's been sold out already.
[01:44:48.137 --> 01:44:57.825]  So but the next issue Alex was talking the other day about keeping this sticker thing going because it seems to be pretty popular and a great way to get the word out and great way to wake people up.
[01:44:57.885 --> 01:44:59.387]  And you know, this is a hard copy and.
[01:44:59.867 --> 01:45:08.456]  The feds have to go around individually and confiscate these and burn them, just like they used to do with books back in the day when there was that type of censorship going on.
[01:45:08.776 --> 01:45:18.526]  So with that, I'm Rob Due, and it was a pleasure doing the Nightly News tonight on this Wednesday, May 8th, 2013 edition, and we'll see you back here tomorrow night.
