[00:00:00.109 --> 00:00:00.469]  Brother.
[00:28:18.400 --> 00:28:21.142]  Oh, but let's turn our guns into these people.
[00:28:21.962 --> 00:28:23.063]  They're nice.
[00:28:29.246 --> 00:28:29.846]  Oh, God.
[00:28:31.886 --> 00:28:35.869]  Al-Qaeda has always worked for the New World Order, before it was called Al-Qaeda.
[00:28:35.889 --> 00:28:38.250]  British Intelligence, Lawrence of Arabia, look it up.
[00:28:38.530 --> 00:28:41.012]  It's all there, but they think you're stupid.
[00:28:43.173 --> 00:28:51.559]  And so I've really analyzed this, I've sat back and I've said I hate Kim Jong-un, I just hate scum, hereditary dictators feeding on everyone, I feel for those people.
[00:28:51.899 --> 00:28:59.244]  But you can't take him out, because I'm telling you, above the US government, above NATO, above the CHICOM government, there is the International Crime Order.
[00:28:59.264 --> 00:29:01.185]  And they've written books about it.
[00:29:02.349 --> 00:29:06.971]  There's the corporate superclass that just uses governments, and they're exempt from everything.
[00:29:07.212 --> 00:29:08.532]  They have diplomatic immunity.
[00:29:08.812 --> 00:29:10.113]  They can do whatever they want.
[00:29:11.194 --> 00:29:16.857]  Drug dealing, sex slaves, snuff porn, the UN's constantly caught and doesn't get in trouble.
[00:29:18.117 --> 00:29:18.878]  This is evil!
[00:29:19.744 --> 00:29:25.989]  Because it's evil people animating government and major corporations, and channeling their dark force through it.
[00:29:26.329 --> 00:29:38.639]  And then we're just here, oh, you're the authorities, do whatever you want, not resisting it, and it is now getting up on its legs, energizing, preparing for a mass orgy like Hitler or Stalin or Mao.
[00:29:40.621 --> 00:29:42.382]  Lying down to it will let them win.
[00:29:44.384 --> 00:29:45.285]  We're on the march.
[00:29:45.765 --> 00:29:47.266]  The empire's on the run.
[00:29:48.292 --> 00:29:50.967]  Alex Jones and the GCN Radio Network.
[00:29:55.023 --> 00:30:02.006]  A little over a year ago, I began to do a lot of research into why, even though I had a pretty good-sized meal, that I was still starving.
[00:30:02.246 --> 00:30:19.872]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[00:30:20.112 --> 00:30:24.234]  I then searched out the best vitamin and mineral company out there.
[00:30:24.514 --> 00:30:26.095]  And discovered Young-Jevity.
[00:30:26.295 --> 00:30:34.120]  The Young-Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[00:30:34.441 --> 00:30:40.525]  I've lost 37 pounds in two months, simply getting the vitamins and minerals I need.
[00:30:40.765 --> 00:30:41.806]  Check it out for yourself.
[00:30:42.046 --> 00:30:42.786]  It's incredible.
[00:30:42.906 --> 00:30:51.952]  Go to Infowarsteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[00:30:52.132 --> 00:30:53.974]  That's Infowarsteam.com.
[00:30:55.414 --> 00:31:03.679]  Devastating events like earthquakes, tornadoes, floods, hurricanes, or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[00:31:03.979 --> 00:31:07.420]  As a result, millions are stockpiling food, gold, and weapons.
[00:31:07.660 --> 00:31:11.802]  But how will these items help if you or one of your loved ones becomes ill?
[00:31:12.103 --> 00:31:16.805]  Supernatural silver is the ultimate tool to prepare you for a medical emergency.
[00:31:17.145 --> 00:31:27.036]  Supernatural silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles, and fungus, and is remarkable for wound care.
[00:31:27.296 --> 00:31:32.462]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[00:31:32.702 --> 00:31:41.266]  Supernatural Silver has over 500 different uses and a long-term shelf life, making it the number one choice of preppers across the country.
[00:31:41.486 --> 00:31:48.429]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[00:31:48.709 --> 00:31:54.051]  Use the promo code PREPARED for 20% off your entire order and like us on Facebook.
[00:31:54.932 --> 00:31:58.233]  You may be arrested and or subject to other police
[00:31:59.053 --> 00:31:59.974]  Tyranny is here.
[00:32:00.314 --> 00:32:03.875]  The grim future foretold in 1984 has become reality.
[00:32:04.176 --> 00:32:06.437]  It really says that the state is God.
[00:32:06.457 --> 00:32:11.920]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:32:12.340 --> 00:32:18.623]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:32:19.003 --> 00:32:24.566]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:32:24.986 --> 00:32:28.648]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:32:29.168 --> 00:32:33.131]  Prepare to enter the secretive world of emergency dictatorship.
[00:32:33.432 --> 00:32:38.936]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:32:39.396 --> 00:32:42.358]  It's only the beginning of the New World Order's hellish plan.
[00:32:42.939 --> 00:32:44.340]  The police state isn't coming.
[00:32:44.920 --> 00:32:45.421]  It's here.
[00:32:46.041 --> 00:32:52.847]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:32:57.921 --> 00:32:59.702]  There's a need for a new world order.
[00:33:00.782 --> 00:33:06.945]  But it has different characteristics in different parts of the world.
[00:33:08.326 --> 00:33:14.549]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:26.670 --> 00:33:48.666]  Ladies and gentlemen, the head of the Italian Supreme Court, who was privy to government documents, the former head of their CIA has also gone public, says the Bilderberg Group is specifically staging terror attacks all over Europe and the world to destroy national sovereignty and keep national governments under the control of a private banking cartel.
[00:33:49.906 --> 00:33:51.967]  And he says he specifically has the documents.
[00:33:52.547 --> 00:34:17.555]  The former head of their CIA, who's extremely famous and revered in the country, has come out and apologized to the Italian people and said that he knew it when he got into intelligence a few years after it happened, but that the Bologna bombing and other major bombings all over Italy that killed hundreds and hundreds of citizens, well one of them killed over 170 people, the Bologna bombing, including a bunch of children, was carried out by, get ready for it,
[00:34:18.510 --> 00:34:19.231]  Get ready for it.
[00:34:19.911 --> 00:34:20.191]  U.S.
[00:34:20.231 --> 00:34:21.172]  Special Forces.
[00:34:24.315 --> 00:34:24.755]  Of course!
[00:34:24.875 --> 00:34:31.341]  I mean, I have a Black Ops Special Forces manual that WikiLeaks released four years ago.
[00:34:31.401 --> 00:34:32.041]  It's online.
[00:34:32.762 --> 00:34:36.205]  The Pentagon admits it's real and says we're going to arrest whoever released this.
[00:34:36.225 --> 00:34:37.626]  Well, they say it's Bradley Manning.
[00:34:40.428 --> 00:34:43.170]  And they admit it's real and in there it says, you know,
[00:34:45.410 --> 00:34:52.755]  In the manual, you need to go take our classified course in false flag to win over indigenous populations.
[00:34:53.375 --> 00:34:54.316]  And what's a false flag?
[00:34:56.858 --> 00:34:58.379]  I've talked to special forces about it.
[00:34:58.619 --> 00:35:00.200]  This is some of the stuff that was done in Vietnam.
[00:35:01.281 --> 00:35:05.523]  And of course, most of these guys come back and end up committing suicide or they become preachers and repent to God.
[00:35:06.224 --> 00:35:12.188]  But you go down to the water and you find a little kid who's out there playing by the side of the river and you hang him.
[00:35:13.444 --> 00:35:16.186]  And then you leave paraphernalia of the Viet Cong there.
[00:35:18.887 --> 00:35:24.251]  And that's what Colonel Kurtz and Apocalypse Now is all about.
[00:35:24.991 --> 00:35:27.113]  Where he talks about the Viet Cong doing stuff like that.
[00:35:27.153 --> 00:35:32.736]  They took the inoculations and so the Viet Cong come in and chop off all the little kids' arms.
[00:35:33.437 --> 00:35:34.958]  And he says, these weren't crazed men.
[00:35:34.978 --> 00:35:36.679]  These weren't men that were doing it to be evil.
[00:35:36.959 --> 00:35:38.540]  They did it because they were focused.
[00:35:38.980 --> 00:35:40.962]  They did it because they love their families.
[00:35:41.942 --> 00:35:42.843]  That's not really true.
[00:35:44.175 --> 00:35:45.816]  You see, we go beyond Kurtz here.
[00:35:46.256 --> 00:35:47.837]  That's a lie, ladies and gentlemen.
[00:35:48.397 --> 00:35:51.779]  And of course, that story is a composite of some true events that happened.
[00:35:52.940 --> 00:35:55.961]  And that's not even really publicly disclosed, but I know the people involved in it.
[00:35:57.842 --> 00:36:10.709]  Now, that's the reality, ladies and gentlemen, and if you think raping somebody's kid in front of their parents to get them to tell you where the insurgents are in Iraq is good, then I'm evil.
[00:36:12.142 --> 00:36:22.730]  And if you think, and the truth is they hired a bunch of former fired federal jail guards to go run many of the prisons that have military under them who had already been caught doing stuff like this.
[00:36:23.451 --> 00:36:24.492]  They like to do it.
[00:36:25.432 --> 00:36:31.036]  You know the reason they, and I said I'd cover this at the bottom of the next hour, I'm gonna get into what they're really planning.
[00:36:31.577 --> 00:36:35.300]  Because I want everybody out there to really know what you're signing on to.
[00:36:37.031 --> 00:36:48.102]  It's gotten pretty outrageous, hasn't it, where they come out in mainstream media and say, yeah, all Catholics are with Al-Qaeda, they are extremists, in army training manuals for gun confiscation in America.
[00:36:48.442 --> 00:36:49.783]  That's now in the major news.
[00:36:50.043 --> 00:36:58.832]  The state police in Colorado have gone public, and sheriffs going, we're given training manuals that say, prepare to confiscate Christians' guns, that they're going to uprise.
[00:36:59.517 --> 00:37:13.924]  Well, yeah, when you try to collectivize everybody's kids after the nuke goes off and after the economy collapses and the only answer is to live in government factory dormitories, like Mal collectivized in the Great Leap Forward, this is all planned!
[00:37:15.285 --> 00:37:16.865]  And of course there's going to be a civil war.
[00:37:17.186 --> 00:37:19.507]  People are going to not turn their guns in, police.
[00:37:19.527 --> 00:37:23.769]  I mean, you're scared of a few people that are sick of being pushed around?
[00:37:24.787 --> 00:37:26.328]  You're scared to have to pull people over now?
[00:37:26.348 --> 00:37:28.389]  You know, and make a little money or whatever?
[00:37:28.409 --> 00:37:30.751]  Do you understand what's going to happen?
[00:37:32.792 --> 00:37:36.175]  And by the way, I've analyzed their entire attack strategy and profile.
[00:37:37.475 --> 00:37:38.936]  I mean, I'm just so immersed in this.
[00:37:38.976 --> 00:37:40.017]  I woke up at 3 a.m.
[00:37:40.057 --> 00:37:41.638]  last night, not really dreaming.
[00:37:42.099 --> 00:37:52.165]  I woke up and couldn't go back to sleep because I just sat there in the dark for hours in the living room, just with such clarity.
[00:37:52.806 --> 00:37:53.906]  It's just unbelievable.
[00:37:54.861 --> 00:37:57.562]  And I just, I see the whole plan, because it's all there!
[00:37:59.102 --> 00:38:03.983]  It's not like I'm reaching out into some crystal ball and finding this.
[00:38:04.003 --> 00:38:05.004]  800-259-9231.
[00:38:05.024 --> 00:38:10.465]  I want to get your take, first-time callers, on just everything, the craziness of the world.
[00:38:10.485 --> 00:38:10.705]  800-259-9231.
[00:38:10.785 --> 00:38:17.567]  Now listen, it doesn't mean their plan has to happen.
[00:38:18.407 --> 00:38:21.788]  We've already held them back ten years, so they're accelerating their timetable.
[00:38:22.898 --> 00:38:26.600]  Because in their own words, Brzezinskis and others, they can see the trajectory.
[00:38:27.040 --> 00:38:31.583]  That they're getting behind, and so if they don't accelerate, they're not going to pull out.
