[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[00:26:55.461 --> 00:27:01.188]  It's like I read, again this is 15 years ago when this all came out, that they have behavioral modification mRNA.
[00:27:01.388 --> 00:27:01.788]  Now there it is.
[00:27:02.149 --> 00:27:07.395]  Bioethicists suggest gene therapy to make people allergic to red meat or to reduce meat consumption.
[00:27:07.495 --> 00:27:09.056]  Shocking 2016 clip surfaces.
[00:27:12.199 --> 00:27:13.199]  He said it again last year.
[00:27:13.439 --> 00:27:14.780]  So let me just explain this.
[00:27:15.240 --> 00:27:19.921]  They have behavioral vaccines that, to get attention, I called brain-eating vaccines.
[00:27:20.701 --> 00:27:27.142]  Again, in a video I did 14 years ago that they've taken off YouTube that had about 16 million views when I took it down.
[00:27:28.642 --> 00:27:40.705]  And in the brain-eating vaccine video, I read the patents on live virus vaccines that eat certain parts of the brain.
[00:27:41.800 --> 00:27:46.402]  That are receptor sites for heroin, cocaine, alcohol, cigarettes, you name it.
[00:27:46.942 --> 00:27:47.862]  It's the same receptors.
[00:27:48.363 --> 00:27:50.704]  And the viruses would then eat those receptors.
[00:27:53.485 --> 00:28:01.548]  Other ones would put a protein plaque in the receptor, a crystal, a prion, a lobotomy, spongiform encephalopathy.
[00:28:02.388 --> 00:28:02.788]  There it is!
[00:28:03.148 --> 00:28:05.289]  Behavioral vaccine for teen depression.
[00:28:05.729 --> 00:28:06.590]  Oh, you're depressed?
[00:28:07.530 --> 00:28:09.131]  We'll destroy those receptor sites.
[00:28:10.299 --> 00:28:13.741]  Which are also associated with ecstasy and spiritual connections.
[00:28:14.162 --> 00:28:20.486]  Those are pain and pleasure amplification ports to interface with infinity.
[00:28:21.567 --> 00:28:24.489]  And the enemy wants those burned out.
[00:28:24.709 --> 00:28:30.713]  So, they've been testing them on a lot of the soldiers, telling them it's vaccines for something else.
[00:28:31.354 --> 00:28:35.416]  And then really, it came out, it was quote, secret PTSD testing, PTSD.
[00:28:36.338 --> 00:28:38.578]  where it would attack certain areas of the brain.
[00:28:38.578 --> 00:28:42.618]   And that's why in a lot of cases, so many of these troops have committed suicide.
[00:28:42.618 --> 00:28:48.578]   It's not just that they're left alone and overworked and treated bad and told their victims
[00:28:48.578 --> 00:28:53.338]   and told that they might want to kill themselves based on whether psychologists, 'cause there's no hope.
[00:28:53.338 --> 00:28:55.739]  That it's more of it's a spell and brainwashing.
[00:28:55.739 --> 00:29:00.697]   But a large part of it is a lot of troops have been experimented on with live virus vaccines
[00:29:00.697 --> 00:29:09.479]   and others that actually eat the areas in their brains associated with depression, but also with exhilaration
[00:29:09.479 --> 00:29:14.018]  and triumph and ecstasy and so on.
[00:29:14.018 --> 00:29:15.018]  Um...
[00:29:15.430 --> 00:29:16.251]  Simple pleasure.
[00:29:16.831 --> 00:29:20.513]  See, I'm having extreme pleasure right now fighting evil.
[00:29:20.874 --> 00:29:21.854]  I'm designed to do it.
[00:29:21.874 --> 00:29:23.095]  I'm designed to be in danger.
[00:29:23.555 --> 00:29:24.896]  I'm designed to challenge the enemy.
[00:29:24.936 --> 00:29:26.037]  I'm designed to piss them off.
[00:29:26.417 --> 00:29:28.138]  I'm designed to work 18 hours a day.
[00:29:28.519 --> 00:29:40.246]  I'm designed to have children and to cook big delicious meals and to love amazing sunsets and to hunt animals and to make love.
[00:29:41.907 --> 00:29:42.708]  I'm alive.
[00:29:44.011 --> 00:29:46.192]  I interface with the universe and enjoy it.
[00:29:46.412 --> 00:29:47.753]  I worship it.
[00:29:48.813 --> 00:29:50.914]  And through that, I worship the Creator God.
[00:29:52.555 --> 00:29:58.377]  Beauty and the love of beauty and the love of goodness is worship of the Creator that made it.
[00:29:58.417 --> 00:29:59.618]  And see, the enemy wants that cut off.
[00:29:59.638 --> 00:30:00.498]  They want robots.
[00:30:02.219 --> 00:30:04.100]  These are the big secrets, my friends.
[00:30:05.663 --> 00:30:07.805]  And I haven't gotten there yet, so I've gone off.
[00:30:08.005 --> 00:30:12.788]  I'm going to go to break, and I'm going to come back very judiciously in the longest segment of the hour.
[00:30:12.809 --> 00:30:13.769]  It's about 11 minutes long.
[00:30:14.510 --> 00:30:14.990]  Just shy.
[00:30:15.010 --> 00:30:15.991]  10 minutes, 50 seconds.
[00:30:16.130 --> 00:30:18.930]  I'll cover it next segment.
[00:30:18.930 --> 00:30:20.330]  The Smoking Gun of Smoking Guns.
[00:30:20.330 --> 00:30:26.130]   If you want to see the whole 40-minute presentation we shot last night, it's the Monday Emergency
[00:30:26.130 --> 00:30:30.690]  Night broadcast with basically the same headline as today.
[00:30:30.690 --> 00:30:36.849]   Monday night emergency broadcast video, Fauci, HHS plotting to stage massive health care
[00:30:36.849 --> 00:30:39.570]  using new virus emerges.
[00:30:39.570 --> 00:30:46.370]   And I wrote top HHS official war games the release of a new avian flu virus in China
[00:30:46.370 --> 00:30:53.889]   as a pretext to remove the FDA approval process and steamroll mRNA gene therapies.
[00:30:53.889 --> 00:30:56.930]  And Fauci agrees in the shocking C-SPAN video.
[00:30:56.930 --> 00:31:06.930]  [BLANK_AUDIO]
[00:30:58.157 --> 00:31:15.353]  Coupled with previous statements by Peter Daszak, Fauci, and others, this constitutes the smoking of smoking guns as the final piece of the jigsaw puzzle proving that Big Pharma worked for the United Nations to develop and release COVID-19 as the pretext for global conquest via the Great Reset.
[00:31:20.117 --> 00:31:21.197]  That's coming up next segment.
[00:31:21.998 --> 00:31:53.188]   I'm gonna go ahead and talk about this now and I really want to thank the listeners and viewers for your support because we're under such incredible attack and I've got a lot of plans and projects in motion working with other folks partnering with other folks to be able to circumnavigate all the deplatforming and during key junctures be able to pop up And engage the globalist with the truth into this future time we're going, which we're now entered the beginning of.
[00:31:53.689 --> 00:32:03.768]   So I need major wartime capital to do this, and that's why You're going to see me on air soon, just because there are a little side issues, but they're important.
[00:32:04.188 --> 00:32:05.308]  Selling the armored truck.
[00:32:05.568 --> 00:32:06.129]  It's been great.
[00:32:06.529 --> 00:32:08.010]  Had a lot of great coverage with it.
[00:32:08.030 --> 00:32:10.651]  Got a lot of attention with it for our causes, but it's going to be sold.
[00:32:11.091 --> 00:32:12.812]  I'm going to sell most of my guns that I don't need.
[00:32:12.832 --> 00:32:13.792]  I've got too many that are extra.
[00:32:13.812 --> 00:32:15.273]  50 cal, stuff like that.
[00:32:15.893 --> 00:32:21.136]  Everything is going to go in to the full energy of the fight, because that's a ritual for me.
[00:32:21.836 --> 00:32:26.941]  That I need to sell my house, which is being sold right now, finally, and everything into this.
[00:32:27.001 --> 00:32:32.906]  Of course I'd want to put all in on the total future of humanity and my children and your children in front of God.
[00:32:33.506 --> 00:32:37.069]  I mean, I could spill some blood on there, I'd do it, but that's not that kind of ritual.
[00:32:37.470 --> 00:32:38.851]  But it kind of feels like it should be, doesn't it?
[00:32:38.871 --> 00:32:39.932]  Because there will be blood spilled.
[00:32:40.512 --> 00:32:43.895]  And so, at the end of the day, which we're not looking for, but the enemy's going to bring us into that.
[00:32:46.397 --> 00:32:48.500]  Be part of that ritual in front of God.
[00:32:48.560 --> 00:32:50.183]  Be part of the resistance.
[00:32:50.483 --> 00:32:52.927]  Don't just get great products you need because they make your life better.
[00:32:53.287 --> 00:33:19.415]   Fund this war and make sure as we go into this fight, as I walk into that arena with my shield and my sword and I got my helmet on, That we're all together on this because you're that gladiator on the field as well, and that we are prepared and trained and well-fed and focused and not distracted to make sure we go in there in the Tom Brady zone politically, this is an allegory, and cut these enemies down with absolute precision.
[00:33:19.876 --> 00:33:20.636]  Total commitment!
[00:33:22.057 --> 00:33:25.314]   And so, I'm in maximum push zone.
[00:33:25.454 --> 00:33:30.280]  I was born for this, so were you, and we are going to see the whole nine yards now unfold.
[00:33:30.360 --> 00:33:32.543]  World government, mass extermination, you name it.
[00:33:32.803 --> 00:33:36.808]  But through that, we'll have victory, the greatest awakening ever, and coming back to God.
[00:33:37.289 --> 00:33:38.711]  So get it at infowarestore.com.
[00:33:38.831 --> 00:33:39.591]  Welcome back to the Alex Jones Show.
[00:33:39.411 --> 00:33:40.730]  It's gonna sell out today.
[00:33:40.730 --> 00:33:42.411]  Rainforest Ultra discounted.
[00:33:42.411 --> 00:33:43.730]  Down and Out's 50% off.
[00:33:43.730 --> 00:33:45.530]  We got a big shipment of that, but it's amazing.
[00:33:45.530 --> 00:33:48.730]   Natural Sleep Aid, just so good for your immune system to get that deep sleep.
[00:33:48.730 --> 00:33:50.651]  Down and Out, back in stock, 50% off.
[00:33:50.651 --> 00:33:52.530]  X2, 40% off.
[00:33:52.530 --> 00:33:56.130]  Super Mel Vitality, Super Mel Vitality is 40% off.
[00:33:56.130 --> 00:33:58.351]  And so much more at mfloydwarstore.com.
[00:33:58.351 --> 00:34:01.051]  Welcome back to the Alex Jones Show.
[00:34:01.051 --> 00:34:04.371]  Okay, let's lay out the smoking gun of smoking guns.
[00:34:04.371 --> 00:34:09.010]   And it's the last big piece of the puzzle, which absolutely proves it.
[00:34:08.932 --> 00:34:15.455]  We've got so many videos of them bragging about how they cooked up COVID-19 and how it would give them power and control.
[00:34:15.475 --> 00:34:18.376]  We have Operation Lockstep.
[00:34:18.416 --> 00:34:19.557]  We have Crimson Contagion.
[00:34:19.977 --> 00:34:23.639]  We have the SPARS 2023-2025 documents.
[00:34:23.699 --> 00:34:25.240]  And now we have the Project Veritas.
[00:34:25.940 --> 00:34:29.962]  Scientists admits your antibodies are probably better than the vaccination.
[00:34:30.722 --> 00:34:36.989]   And they go on to say that it's causing antibody Dependency enhancement.
[00:34:38.550 --> 00:34:48.919]  All word for word is the same things being said that the experts warned would happen and that the Pentagon's own AI system has reported on.
[00:34:48.959 --> 00:34:52.441]  That's breaking now in the mainstream news as well.
[00:34:53.142 --> 00:34:55.124]  We've got reports on that that are going to be coming up.
[00:34:55.624 --> 00:35:12.293]   We covered that last week and over the weekend and now the good news is it's hitting the news that, wow, the Pentagon's AI project scanned the Medicare patients 5.6 million of them and found you're twice as likely to get really sick if you've had the shot.
[00:35:15.174 --> 00:35:22.558]  But if you've had COVID and then got the shot, you're not really having any higher level problem than people that didn't take the shot.
