[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[00:29:17.602 --> 00:29:24.025]  If they want to go after the President on fabricated charges, then we will establish that this is a partisan witch hunt.
[00:29:24.605 --> 00:29:38.851]  The idea that they would even have the effrontery to try to claim that the President, or I should say his real estate company, inflated the value of certain assets in order to borrow against it.
[00:29:38.891 --> 00:29:39.331]  Well, really?
[00:29:39.731 --> 00:29:41.632]  What's 55 Wall Street worth?
[00:29:42.245 --> 00:29:43.146]  It has no mortgage.
[00:29:43.226 --> 00:29:45.068]  What is it worth?
[00:29:45.088 --> 00:29:45.849]  $250 million?
[00:29:46.229 --> 00:29:46.870]  $300 million?
[00:29:47.110 --> 00:29:48.692]  I guess it depends on the appraiser.
[00:29:49.012 --> 00:29:51.715]  But this is the kind of crap that they are stooping to.
[00:29:51.735 --> 00:29:55.459]  Plus, if your appraisal isn't real, the banks won't give you the damn loan.
[00:29:56.460 --> 00:29:58.622]  Well, let's be very clear.
[00:29:58.642 --> 00:29:59.103]  In other words,
[00:29:59.930 --> 00:30:02.591]  As you said it earlier, you show the man, I'll show you the crime.
[00:30:02.851 --> 00:30:11.973]  They're allowed to root through this man's business record of 40 years in which he built a real estate empire second to none, combing for a crime.
[00:30:12.013 --> 00:30:13.413]  They have no evidence of a crime.
[00:30:13.453 --> 00:30:15.033]  They have no probable cause.
[00:30:15.834 --> 00:30:19.034]  It is disgraceful, but I do think it is going to happen.
[00:30:19.674 --> 00:30:27.016]  And don't be surprised if the announcement comes at the exact time that we learn the truth about Maricopa County, Arizona.
[00:30:27.665 --> 00:30:29.587]  Don't be surprised because I see that coming.
[00:30:29.888 --> 00:30:41.722]  Well, I'm told by people very close to it that indeed they intend to do it and that they're shooting for honor around July 4th to really rub it into our faces as a declaration of their takeover of the Chinese takeover of America.
[00:30:43.306 --> 00:30:57.929]  Their real problem is, you can already see that the demand for recounts and re-examination of the irregularities and the anomalies in this election are bubbling up in Georgia, in Wisconsin, in Michigan, and other states.
[00:30:58.809 --> 00:31:01.950]  The truth can never really ever be concealed.
[00:31:02.270 --> 00:31:03.990]  The American people demand the truth.
[00:31:04.050 --> 00:31:06.411]  Now what will happen then, I don't know.
[00:31:06.971 --> 00:31:07.571]  But I'm sorry.
[00:31:07.872 --> 00:31:14.897]  It is absolutely true that 1.4 million absentee ballots are mailed out in Pennsylvania and 2.2 million come in.
[00:31:15.377 --> 00:31:16.138]  Not possible.
[00:31:16.498 --> 00:31:21.962]  There are precincts in Philadelphia in which more people voted than are registered to vote.
[00:31:22.343 --> 00:31:25.305]  That's not a right-wing conspiracy theory.
[00:31:25.705 --> 00:31:26.446]  That's a fact.
[00:31:27.527 --> 00:31:35.855]  It is extraordinary that across all these states at the exact same time, there are the dump of these mail-in ballots.
[00:31:35.915 --> 00:31:37.437]  Oh no, that's just a coincidence.
[00:31:37.837 --> 00:31:40.300]  Here's why the mainstream media is so childish.
[00:31:41.061 --> 00:31:48.008]  Oh no, there's no evidence whatsoever of election fraud, and if you think so, you're a conspiracy theorist.
[00:31:48.028 --> 00:31:50.130]  You might even be a domestic terrorist.
[00:31:50.811 --> 00:31:52.512]  Why do you fear examination?
[00:31:53.033 --> 00:31:55.114]  Why do they fear an investigation?
[00:31:55.414 --> 00:32:06.402]  If they're so confident that the data is accurate and that there are no anomalies and no irregularities, why are they fighting tooth and nail against any fair examination of these
[00:32:06.482 --> 00:32:06.862]  Stay there.
[00:32:06.902 --> 00:32:09.943]  Let's talk about how this is going to unfold, the reaction of the American people.
[00:32:10.003 --> 00:32:17.646]  Polls show more and more over 70 plus percent of Republicans, over 30 percent of Democrats believe the election was stolen and each week the numbers grow.
[00:32:17.986 --> 00:32:20.667]  As evidence comes out, the majority of Americans know the truth.
[00:32:21.127 --> 00:32:23.287]  Arresting Trump isn't going to shut the truth up.
[00:32:23.888 --> 00:32:31.270]  And I think that, you know, frankly, I think there's going to be a big problem because when people find out that all of these states are going to flip,
[00:32:32.282 --> 00:32:37.165]  Does that mean you go three and a half years with somebody that's destroying our country?
[00:32:37.445 --> 00:32:38.565]  Well, that's the question.
[00:32:38.625 --> 00:32:40.726]  What happens when you find out that it was rigged and it was stolen?
[00:32:40.746 --> 00:32:42.747]  Well, it's going to be interesting to see what happens.
[00:32:42.948 --> 00:32:48.570]  I mean, you know, all I do is I sit back and watch, and other states now are doing the audits.
[00:32:50.251 --> 00:32:53.453]  That's Trump today on the Wayne Allen Root program.
[00:32:53.473 --> 00:32:57.075]  He censored everywhere else but talk radio and Newsmax and a few other channels.
[00:32:57.955 --> 00:33:00.877]  Oh, and Facebook announced any Republican
[00:33:02.125 --> 00:33:07.309]  Including Ted Cruz that tried to have a 10-day investigation on January 6th.
[00:33:07.349 --> 00:33:10.392]  They were having that vote, which Democrats tried to do four years previous.
[00:33:10.672 --> 00:33:11.373]  The exact same thing.
[00:33:11.993 --> 00:33:15.296]  For that sin, they're not allowed to campaign on Facebook.
[00:33:15.977 --> 00:33:22.663]  And about a month ago in Australia, members of their parliament, multiple ones now, are not allowed to say we don't want
[00:33:23.263 --> 00:33:24.224]  Forced inoculation.
[00:33:24.244 --> 00:33:26.807]  You're not even allowed to have an opinion about that.
[00:33:26.827 --> 00:33:29.249]  You're not allowed to say it came from the Wuhan lab either.
[00:33:29.269 --> 00:33:33.814]  This is just beyond police state, beyond censorship, beyond 1984.
[00:33:34.315 --> 00:33:43.024]  You know, the president of Microsoft is warning Roger Stone, here on the Alex Jones Show with us today, that we're going to have a 1984 because of AI.
[00:33:43.384 --> 00:33:45.426]  Well, Roger, I think we're already basically
[00:33:46.287 --> 00:33:53.177]  Uh, seeing real 1984 now, and the Democrats are all over the news saying, hey, we're getting ready to indict Trump.
[00:33:53.778 --> 00:33:59.767]  I don't see how Letitia James could swear as Attorney General that she would be elected to put him in jail.
[00:33:59.807 --> 00:34:00.648]  That was her main plank.
[00:34:01.910 --> 00:34:08.636]  And now to see the state of New York, the city of New York, the feds, all of them sharpening their knives.
[00:34:09.216 --> 00:34:16.063]  This is just insane with the overwhelming evidence of Biden literally being a communist Chinese agent.
[00:34:17.729 --> 00:34:20.051]  No, Alex, I agree with everything you just said.
[00:34:20.071 --> 00:34:35.900]  I must tell you, I'm really impressed with the power of InfoWars, because right now, my phone and my email are blowing up with patriots telling me that they're praying for my wife, that they've learned about her situation here on the Alex Jones Show.
[00:34:36.540 --> 00:34:41.603]  Folks who do want to help us, I should say, should go to stonefamilyfund.com.
[00:34:42.023 --> 00:34:44.085]  StoneFamilyFund.com.
[00:34:44.445 --> 00:34:46.367]  We need your prayers more than anything else.
[00:34:46.808 --> 00:34:50.611]  We need your help, but God bless you for stepping forward.
[00:34:50.951 --> 00:34:54.475]  God bless you for your prayers and your best wishes.
[00:34:55.209 --> 00:34:59.231]  Anyway, to go back to politics, you're absolutely right, Alex.
[00:34:59.471 --> 00:35:04.174]  This is a police state.
[00:35:04.774 --> 00:35:06.715]  This is political retribution.
[00:35:07.035 --> 00:35:19.962]  We see it in their efforts to crucify Matt Gaetz, when there is no evidence whatsoever that Matt Gaetz has done anything wrong, other than some guy who did do something wrong, who they're squeezing now to lie about others.
[00:35:20.662 --> 00:35:24.626]  Uh, that great patriot, Matt Gaetz, being crucified without evidence.
[00:35:24.947 --> 00:35:27.729]  Now they're going after the President of the United States.
[00:35:28.070 --> 00:35:37.960]  You may have not seen this, but the Secretary of the Army under Joe Biden has opened a new investigation into General Michael Flynn and his contacts with the Russians.
[00:35:38.400 --> 00:35:53.965]  Which is absurd, because Robert Mueller had unlimited cash, an army of 600 Ivy League Republican-hating lawyers, and could find no evidence that that great American patriot, General Flynn, had done anything wrong.
[00:35:54.705 --> 00:35:58.707]  So, what we see here is Witch Hunt 3.0.
[00:35:59.087 --> 00:36:02.788]  The witch hunt to go after the greatest president since Abraham Lincoln.
[00:36:03.328 --> 00:36:04.348]  And why are they doing this?
[00:36:04.589 --> 00:36:05.829]  It's very, very clear.
[00:36:06.676 --> 00:36:08.577]  They're afraid of Donald Trump.
[00:36:09.238 --> 00:36:10.899]  They're afraid he might run again.
[00:36:11.499 --> 00:36:14.561]  They're afraid he might beat their ass in an honest election.
[00:36:14.941 --> 00:36:16.942]  That's why they seek to smear him now.
[00:36:17.403 --> 00:36:19.064]  It is reprehensible.
[00:36:19.444 --> 00:36:20.665]  It's disgusting.
[00:36:21.845 --> 00:36:24.727]  And the American people should really not tolerate it.
[00:36:24.807 --> 00:36:28.629]  We need honest, fair, transparent elections.
[00:36:28.669 --> 00:36:36.194]  Had we had them in 2024, this great man would still be in the White House and America would not be in decline.
[00:36:36.843 --> 00:36:48.648]  But if you look at what's happening under Joe Biden, gas prices skyrocketing out of sight, food prices, steel up, copper up, oil up.
[00:36:49.408 --> 00:36:53.129]  And meanwhile, around the globe, you notice our adversaries are pushing us.
[00:36:53.349 --> 00:36:55.090]  You see, they feared Donald Trump.
[00:36:55.635 --> 00:36:58.796]  But now the North Koreans are retesting their weapons.
[00:36:59.176 --> 00:37:06.539]  The Chinese are threatening our vehicles and our ships in that part of the world, as well as Taiwan.
[00:37:06.919 --> 00:37:10.961]  The Iranians are more obnoxious than usual in their threats against us.
[00:37:12.241 --> 00:37:16.443]  What's going on in the Middle East, where Joe Biden appears to be on both sides.
[00:37:16.903 --> 00:37:17.683]  I'm with Israel, 100%.
[00:37:19.164 --> 00:37:20.324]  But I'm not sure he is.
[00:37:20.704 --> 00:37:21.965]  There's evidence that he's not.
[00:37:22.425 --> 00:37:24.808]  So, we're being tested in the foreign realm.
[00:37:25.069 --> 00:37:26.851]  We're being tested domestically.
[00:37:27.311 --> 00:37:29.234]  Big tax increases coming, folks.
[00:37:30.135 --> 00:37:47.544]  They have taken one of the greatest, most robust, most vital economies in American history with record job growth, record wage growth, the lowest levels of unemployment among all groups, African-Americans, Hispanics, women, Asians, everyone.
[00:37:47.824 --> 00:37:55.488]  They're destroying a model economy brought to you by President Donald J. Trump with the able assistance of Larry Kudlow.
[00:37:55.709 --> 00:37:58.150]  They're destroying this before our very eyes.
[00:37:59.358 --> 00:38:00.619]  And America sees it.
[00:38:00.699 --> 00:38:07.302]  So even though they stole the election, all the numbers coming out, there's a big article in town hall with these numbers.
[00:38:08.222 --> 00:38:15.506]  It says that all Trump has to do is announce and he'll be the primary victor with like 90% of the vote in every case.
[00:38:16.066 --> 00:38:21.029]  With these numbers, all Trump has to do is declare a 2024 run and the GOP primaries are over.
[00:38:22.151 --> 00:38:31.338]  And anybody he backs is now winning by 60, 75 points, record levels, like Green out of Georgia.
