[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[00:26:48.656 --> 00:26:49.496]  It's a gene therapy.
[00:26:49.876 --> 00:26:55.840]  And then the very people, like the CDC head said a month ago, the vaccine doesn't protect you, so you gotta take a booster.
[00:26:56.040 --> 00:26:56.841]  That doesn't even make sense.
[00:26:58.342 --> 00:26:59.442]  Well, now she says again, it's 100%.
[00:26:59.502 --> 00:26:59.883]  It 100% protects you.
[00:26:59.742 --> 00:27:03.121]  100%, it 100% protects you.
[00:27:03.121 --> 00:27:03.961]  Total lie.
[00:27:03.961 --> 00:27:10.282]   She went on, along with the Surgeon General, it's like a Muppet in a space captain outfit,
[00:27:10.282 --> 00:27:12.623]  saying natural immunity's no good.
[00:27:12.623 --> 00:27:22.621]  [BLANK_AUDIO]
[00:27:13.681 --> 00:27:18.800]   I mean, ladies and gentlemen, the lying out of these people and the flip-flopping
[00:27:18.800 --> 00:27:21.519]  would make an Olympic gymnast blush.
[00:27:21.519 --> 00:27:29.440]  Mary Lou Retton has nothing on these people.
[00:27:29.725 --> 00:27:30.305]  Inner prime.
[00:27:31.499 --> 00:27:36.640]  The backflips, the side flips, it's just, but again, that's their mental illness.
[00:27:36.680 --> 00:27:38.921]  They want you to engage with them and they're fraud.
[00:27:39.661 --> 00:27:41.621]  And the question is, how do you transcend them?
[00:27:42.801 --> 00:27:46.801]   How do we just move on and go, "Okay, we know you're criminals, we know you're liars."
[00:27:46.801 --> 00:27:52.801]   When there are the prosecutors, the judges, the mayors, the politicians, the FBI agents,
[00:27:52.801 --> 00:27:58.801]  the bureaucrats, the Hollywood people, all of it.
[00:27:58.801 --> 00:28:04.801]  So I go back.
[00:28:04.908 --> 00:28:09.831]  I can read you all these articles, play all these incredible clips for 10 hours, but none of it matters if you don't get this.
[00:28:10.392 --> 00:28:11.072]  Wednesday Live.
[00:28:12.113 --> 00:28:13.714]  That's the show title today.
[00:28:13.734 --> 00:28:14.615]  I always put an article up.
[00:28:15.055 --> 00:28:16.517]  I'm letting you know what the main thrust is.
[00:28:17.737 --> 00:28:18.418]  Wednesday Live.
[00:28:18.518 --> 00:28:20.279]  Globalism is the disease.
[00:28:20.500 --> 00:28:22.081]  Everything else is a symptom.
[00:28:24.847 --> 00:28:25.487]  And that's true.
[00:28:26.047 --> 00:28:28.668]  I mean, they run the show.
[00:28:29.048 --> 00:28:30.129]  They've got the power.
[00:28:30.229 --> 00:28:31.729]  They stole control of the banks.
[00:28:32.170 --> 00:28:34.010]  They control the issuance of currency and credit.
[00:28:34.270 --> 00:28:35.911]  And they don't need to fix anything.
[00:28:36.191 --> 00:28:50.176]  They don't need to try to make everything work well, because they are organizing the collapse of civilization to get rid of us and hand themselves all the power and the future destiny of our species, which they say they're going to end and that we're a failed species.
[00:28:50.456 --> 00:28:52.837]  They talk like an enemy alien race.
[00:28:54.582 --> 00:28:58.223]  I don't know if they're aliens, but they sure as hell might as well be aliens.
[00:28:59.203 --> 00:29:03.744]  They're saying they're about to end us and this new species is going to rise of silicon.
[00:29:07.145 --> 00:29:09.166]  Their religion is killing humanity.
[00:29:09.466 --> 00:29:13.387]  Their religion is saying we're ugly and bad when we're the opposite.
[00:29:13.427 --> 00:29:14.587]  We are made by the divine.
[00:29:16.198 --> 00:29:16.819]  So let me do this.
[00:29:16.899 --> 00:29:18.440]  I'm going to calm down and get focused.
[00:29:18.980 --> 00:29:20.682]  It's just going over the snooze every day.
[00:29:21.122 --> 00:29:25.085]  It is hard for me to be able to cover it, but I know it's hard for you to tune in and want to know the truth.
[00:29:25.105 --> 00:29:25.585]  I understand.
[00:29:26.026 --> 00:29:28.007]  It's a struggle to fight this, but you know what?
[00:29:28.227 --> 00:29:29.388]  I'm going to say something very important here.
[00:29:30.589 --> 00:29:34.072]  That's because God's in us, and God is angry and upset about this.
[00:29:34.132 --> 00:29:44.120]  You are blessed, and I am blessed that we are so upset and so frustrated and so disgusted by this evil, and that we have a burning desire to stop it.
[00:29:44.904 --> 00:29:47.126]  That's because we are aligned with God.
[00:29:48.107 --> 00:29:52.811]  Imperfect and sinners as we are, we are aligned with God and this is a normal state.
[00:29:53.151 --> 00:29:57.495]  When you've got this level of evil going on, you're damn right we're supposed to be upset.
[00:29:57.775 --> 00:29:59.236]  We're not supposed to be comfortable.
[00:30:01.938 --> 00:30:03.640]  And believe me, I'm good at being comfortable.
[00:30:04.895 --> 00:30:18.147]  I like hiking, I like sports, I like golf, I like to play golf, I like to go out on boats, and I like to lay out and drink beer, and I like to stargaze, and I like to have sex, and all the rest of that stuff.
[00:30:18.427 --> 00:30:21.930]  But I can tell you this, I don't even give a damn about any of that.
[00:30:22.924 --> 00:30:29.465]  Because I understand this is when the evil's making its move on us now, ladies and gentlemen.
[00:30:29.765 --> 00:30:30.886]  It is hammering us.
[00:30:31.226 --> 00:30:32.326]  It is attacking us.
[00:30:32.426 --> 00:30:33.346]  We are in a war.
[00:30:33.706 --> 00:30:37.507]  And everyone needs to get the fact that this is a war.
[00:30:37.686 --> 00:30:42.686]  This is a war! This is a war! This is a war!
[00:30:42.686 --> 00:30:46.686]  On humanity!
[00:30:46.686 --> 00:30:56.686]  [BLANK_AUDIO]
[00:30:49.930 --> 00:30:51.511]  And it's good old-fashioned evil.
[00:30:51.611 --> 00:30:58.174]  We have been tolerant, we have allowed evil to grow, and so it is blooming, and it is taking over, and it wants to kill everybody.
[00:30:59.635 --> 00:31:02.216]  You know what's at the bottom of the rabbit hole with the New World Order?
[00:31:03.036 --> 00:31:03.296]  Death.
[00:31:04.117 --> 00:31:05.857]  Destruction of our children.
[00:31:05.877 --> 00:31:18.510]   I mean, what you saw at that little satanic event definitely was in Houston over the weekend is just a small taste of what's coming.
[00:31:18.850 --> 00:31:20.171]  Because the show just goes on.
[00:31:20.211 --> 00:31:21.292]  The ritual just goes on.
[00:31:21.312 --> 00:31:22.252]  They don't care you're dying.
[00:31:22.532 --> 00:31:23.733]  They don't care you're being trampled.
[00:31:24.193 --> 00:31:30.316]  And now it turns out the literature, the plan, the police plan, the security plan of get ready for dead people.
[00:31:30.336 --> 00:31:31.296]  They're going to be Smurfs.
[00:31:31.556 --> 00:31:35.738]  And then the poster is Smurfs, living humans going through a door and now they're dead.
[00:31:36.832 --> 00:31:43.177]  And Hieronymus Bosch, you walk into the mouth being devoured by Moloch, into hell and the portals and the angel of fire.
[00:31:46.500 --> 00:31:47.281]  It's a spirit.
[00:31:47.381 --> 00:31:48.281]  It's a program.
[00:31:48.381 --> 00:31:50.183]  It's an operating system.
[00:31:50.623 --> 00:31:51.844]  And you can download it.
[00:31:51.864 --> 00:31:52.825]  You can take it on.
[00:31:52.885 --> 00:31:54.406]  You can become possessed.
[00:31:55.547 --> 00:31:58.309]  You can seethe with demonic energy.
[00:31:59.771 --> 00:32:02.092]  But always there is blood involved.
[00:32:02.433 --> 00:32:04.214]  Always there is death involved.
[00:32:04.474 --> 00:32:06.276]  Because that's what these entities demand.
[00:32:07.009 --> 00:32:09.670]  Interspace, interdimensional, alien attack.
[00:32:10.751 --> 00:32:13.532]  Working through our mind that is in every dimension.
[00:32:13.552 --> 00:32:15.053]  We're not just trapped in the third dimension.
[00:32:15.513 --> 00:32:18.674]  And the entire thing is about luring us into this metaverse.
[00:32:19.174 --> 00:32:26.137]  What do you think going to outside at night and you're there in the crowd and everything is now these huge stages in lights and portals?
[00:32:26.457 --> 00:32:27.898]  That is VR.
[00:32:28.338 --> 00:32:34.661]  You are being transported in your mind interdimensionally to another place, to a gate, to an opening.
[00:32:36.917 --> 00:32:37.898]  All right, I'm going to calm down.
[00:32:38.018 --> 00:32:39.598]  Folks, I haven't even scratched the surface.
[00:32:40.259 --> 00:32:42.119]  I've got a stack of news across the country.
[00:32:42.900 --> 00:32:47.662]  Michigan, one article about a bunch of schools closed because the teachers are so sick from the shots.
[00:32:49.063 --> 00:32:50.643]  And you're like, hey, that's dangerous.
[00:32:51.204 --> 00:32:52.124]  We should do something.
[00:32:52.204 --> 00:32:52.624]  Shut up.
[00:32:53.465 --> 00:32:57.587]  I'm the CEO of Pfizer and I've got the FBI and CIA coming after you.
[00:32:57.627 --> 00:32:58.347]  You're the bad guy.
[00:32:59.608 --> 00:33:00.708]  Well, I mean, what do we have to lose?
[00:33:00.728 --> 00:33:01.809]  They're coming after our children.
[00:33:02.089 --> 00:33:04.450]  They think we're just going to sit there while they maim and kill our children.
[00:33:06.181 --> 00:33:09.643]  You won't get what you're after, because you haven't opened up your third eye.
[00:33:10.544 --> 00:33:11.945]  Well, you need Jesus, son.
[00:33:11.965 --> 00:33:17.528]  I know what comes on the other side of death.
[00:33:17.568 --> 00:33:17.989]  I've seen it.
[00:33:19.610 --> 00:33:22.872]  I have transcended these devil worshippers, thanks to God.
[00:33:22.892 --> 00:33:27.495]  And they know it.
[00:33:28.355 --> 00:33:29.556]  And they know you can transcend.
[00:33:29.576 --> 00:33:32.178]  Doesn't mean you're a god.
[00:33:32.218 --> 00:33:33.879]  Doesn't mean you're not still affected by it.
[00:33:34.764 --> 00:33:37.325]  But you understand it, and you are free from it.
[00:33:37.825 --> 00:33:38.445]  You are complete.
[00:33:40.166 --> 00:33:42.287]  All right, let's get into it right now, ladies and gentlemen.
[00:33:43.067 --> 00:33:44.248]  Let me just show you some headlines.
[00:33:44.308 --> 00:33:45.788]  I'm going to play this chilling video.
[00:33:46.729 --> 00:33:48.089]  Again, I'm going to recap this again.
[00:33:48.469 --> 00:33:51.370]  Hundreds of articles, dozens of incredible clips, all of it.
[00:33:51.410 --> 00:33:57.072]  This is the most important thing, in my view, for Congress, for governors, for you, for other leaders around the world.
[00:33:58.873 --> 00:34:01.034]  Globalism is the disease.
[00:34:01.154 --> 00:34:03.395]  Everything else is a symptom of that disease.
[00:34:06.317 --> 00:34:08.078]  Now here are the articles that are so life-saving.
[00:34:08.318 --> 00:34:10.478]  You know, take this, show this to your school district.
[00:34:10.619 --> 00:34:12.279]  Hell, they're going to have the same reports themselves.
[00:34:13.279 --> 00:34:14.540]  We're all under attack.
[00:34:14.560 --> 00:34:16.681]  We can just pretend like, oh, you're the school board.
[00:34:17.101 --> 00:34:18.061]  You're immune from this.
[00:34:18.141 --> 00:34:19.262]  No, you're going to die too.
[00:34:20.102 --> 00:34:21.222]  Oh, you're an FBI agent.
[00:34:21.242 --> 00:34:22.563]  You're immune from all this corruption.
[00:34:22.823 --> 00:34:23.263]  Bull!
[00:34:25.244 --> 00:34:31.626]  In my experience, people that serve evil are in more danger and have more bad stuff happen to them than people that go up against it.
[00:34:33.154 --> 00:34:34.734]  A lot of people join Abel out of fear.
[00:34:34.894 --> 00:34:37.755]  They find out it's real, they go, whoa, let me bow down to it.
[00:34:38.015 --> 00:34:40.896]  That may work for a while, but they always end up eating you.
[00:34:42.396 --> 00:34:43.456]  And I mean that figuratively.
[00:34:44.577 --> 00:34:46.657]  Look at this headline by Adon Salazar last night.
[00:34:46.737 --> 00:34:49.238]  This needs to be retweeted, this needs to be everywhere.
[00:34:50.338 --> 00:34:56.859]  Last night I saw this article, and then I went and looked on Facebook, Twitter, everywhere, just nowhere.
[00:34:57.260 --> 00:34:59.200]  Not even our article, just no one even knows about it.
[00:35:00.561 --> 00:35:05.262]  School shuts down after large number of staff suffer adverse reactions from COVID booster jab.
[00:35:05.562 --> 00:35:12.664]  Then when I actually went and checked in Michigan, it's a bunch of school districts are saying the same thing on their websites, but no one's picking it up.
